Year,Units,Sex,Age,Country,Region,Malaria species,Fatality,Country of birth,Ethnicity,Region of travel,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2003,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,2.243586336
2004,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,2.035016835
2005,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,2.213089719
2006,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,2.278590878
2007,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,1.8558662209999999
2008,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,1.7582233580000002
2009,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,1.893656917
2010,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,2.0124457419999997
2011,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,1.8108515040000002
2012,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,1.57287423
2013,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,1.859430371
2014,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,1.809688512
2015,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,1.640300172
2016,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,1.992442914
2017,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,2.19865985
2000,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.546818349
2001,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.441527125
2002,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.478390906
2003,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.34374828
2004,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.46038085799999995
2005,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.42705845
2006,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.356749077
2007,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.417488359
2008,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.28629764
2009,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.329261805
2010,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.554498113999999
2011,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.655762107
2012,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.423828385
2013,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.279226541
2014,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.348314726
2015,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.317923348
2016,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.25286355
2017,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.248333482
2000,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.208877817
2001,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.265592945
2002,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.224035178
2003,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.224693998
2004,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.20016559
2005,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.19201077600000002
2006,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.174264526
2007,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.176127901
2008,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.12293006
2009,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.110824705
2010,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.157745153
2011,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.121671523
2012,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.103602494
2013,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.121674135
2014,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.201248509
2015,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.145906851
2016,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.134048147
2017,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.16353668300000002
2000,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.050945809
2001,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.062591968
2002,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.072432426
2003,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.045274164000000006
2004,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.046705304
2005,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.048002694000000005
2006,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.039456119
2007,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.048924417000000005
2008,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.032350016
2009,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.057821585
2010,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.058955259
2011,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.048984639
2012,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.050231512
2013,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.060837068
2014,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.063470683
2015,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.035324816
2016,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.06245425
2017,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.08328257
2000,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2001,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2002,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2003,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2004,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2005,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2006,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.001644005
2007,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2008,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2009,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2010,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2011,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2012,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2013,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2014,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2015,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2016,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.001523274
2017,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.003028457
2000,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.027171097999999998
2001,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.027066797000000004
2002,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.021898175
2003,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.025152313
2004,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.020016559
2005,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.016552653
2006,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.032880098999999996
2007,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.024462209
2008,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.014557506999999999
2009,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.009636931
2010,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.019120625
2011,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.0063205990000000005
2012,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.010988143
2013,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.020279023
2014,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.032509374
2015,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.010751031000000001
2016,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.019802567
2017,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.016656514
2000,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.0016981939999999999
2001,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.001691675
2002,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.00336895
2003,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.001676821
2004,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2005,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.004965796
2006,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2007,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2008,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.0016175010000000001
2009,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2010,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2011,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2012,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2013,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2014,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2015,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2016,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.001523274
2017,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2000,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,3.449031265
2001,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,3.442558235
2002,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,3.252721265
2003,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.857302778
2004,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.753944913
2005,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.885127435
2006,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.870432664
2007,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.5147150380000003
2008,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.2062710759999997
2009,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.391565013
2010,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.7916111960000003
2011,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.630949175
2012,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.158385295
2013,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.3305276630000002
2014,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.450587608
2015,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.140991049
2016,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.455518331
2017,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.704412185
2014,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.449039543
2014,"Rate per 100,000 population",,4 and under,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.9189646990000001
2014,"Rate per 100,000 population",,5 to 9,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.088291538
2014,"Rate per 100,000 population",,10 to 14,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.47643636
2014,"Rate per 100,000 population",,15 to 19,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.389809023
2014,"Rate per 100,000 population",,20 to 24,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.0597535089999996
2014,"Rate per 100,000 population",,25 to 29,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.483271078
2014,"Rate per 100,000 population",,30 to 34,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.9711870869999997
2014,"Rate per 100,000 population",,35 to 39,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.630280243
2014,"Rate per 100,000 population",,40 to 44,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.803687801
2014,"Rate per 100,000 population",,45 to 49,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.0448485960000005
2014,"Rate per 100,000 population",,50 to 54,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.27496273
2014,"Rate per 100,000 population",,55 to 59,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.810363684
2014,"Rate per 100,000 population",,60 to 64,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.765577951
2014,"Rate per 100,000 population",,65 to 69,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.235315884
2014,"Rate per 100,000 population",,70 and over,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.5098802689999989
2014,"Rate per 100,000 population",Male,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.406329646
2014,"Rate per 100,000 population",Male,4 and under,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.921270189
2014,"Rate per 100,000 population",Male,5 to 9,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.1643629999999998
2014,"Rate per 100,000 population",Male,10 to 14,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.663900894
2014,"Rate per 100,000 population",Male,15 to 19,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.086001291
2014,"Rate per 100,000 population",Male,20 to 24,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.237830705
2014,"Rate per 100,000 population",Male,25 to 29,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.733268918
2014,"Rate per 100,000 population",Male,30 to 34,,,,,,,,Undefined,Units,"Rate per 100,000 population",,5.824585669
2014,"Rate per 100,000 population",Male,35 to 39,,,,,,,,Undefined,Units,"Rate per 100,000 population",,5.732068055
2014,"Rate per 100,000 population",Male,40 to 44,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.8360309169999995
2014,"Rate per 100,000 population",Male,45 to 49,,,,,,,,Undefined,Units,"Rate per 100,000 population",,5.862693121
2014,"Rate per 100,000 population",Male,50 to 54,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.767340178
2014,"Rate per 100,000 population",Male,55 to 59,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.899631906
2014,"Rate per 100,000 population",Male,60 to 64,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.443596555
2014,"Rate per 100,000 population",Male,65 to 69,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.559848799
2014,"Rate per 100,000 population",Male,70 and over,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.733376123
2014,"Rate per 100,000 population",Female,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.521202329
2014,"Rate per 100,000 population",Female,4 and under,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.916543612
2014,"Rate per 100,000 population",Female,5 to 9,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.008529506
2014,"Rate per 100,000 population",Female,10 to 14,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.2798123559999999
2014,"Rate per 100,000 population",Female,15 to 19,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.655088168
2014,"Rate per 100,000 population",Female,20 to 24,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.8400097380000002
2014,"Rate per 100,000 population",Female,25 to 29,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.232132689
2014,"Rate per 100,000 population",Female,30 to 34,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.1430499519999997
2014,"Rate per 100,000 population",Female,35 to 39,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.545848624
2014,"Rate per 100,000 population",Female,40 to 44,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.79370641
2014,"Rate per 100,000 population",Female,45 to 49,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.278563695
2014,"Rate per 100,000 population",Female,50 to 54,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.817714291
2014,"Rate per 100,000 population",Female,55 to 59,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.747798802
2014,"Rate per 100,000 population",Female,60 to 64,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.11556096
2014,"Rate per 100,000 population",Female,65 to 69,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.9285025709999999
2014,"Rate per 100,000 population",Female,70 and over,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.338135839
2015,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.136383464
2015,"Rate per 100,000 population",,4 and under,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.5214680970000001
2015,"Rate per 100,000 population",,5 to 9,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.809215754
2015,"Rate per 100,000 population",,10 to 14,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.690497516
2015,"Rate per 100,000 population",,15 to 19,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.327483156
2015,"Rate per 100,000 population",,20 to 24,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.607875832
2015,"Rate per 100,000 population",,25 to 29,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.409240315
2015,"Rate per 100,000 population",,30 to 34,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.1039435369999997
2015,"Rate per 100,000 population",,35 to 39,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.407749762
2015,"Rate per 100,000 population",,40 to 44,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.721480666
2015,"Rate per 100,000 population",,45 to 49,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.519951973
2015,"Rate per 100,000 population",,50 to 54,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.110394698
2015,"Rate per 100,000 population",,55 to 59,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.429972496
2015,"Rate per 100,000 population",,60 to 64,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.570657154
2015,"Rate per 100,000 population",,65 to 69,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.2449548209999999
2015,"Rate per 100,000 population",,70 and over,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.425181872
2015,"Rate per 100,000 population",Male,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.9743304989999997
