Year,Age,Observation status,Sex,Unit measure,Unit multiplier,Value
2006,,Undefined,Male,Percentage (%),Units,18.0
2006,15 and under,Undefined,Male,Percentage (%),Units,25.4
2006,16 to 24,Undefined,Male,Percentage (%),Units,19.6
2006,25 to 49,Undefined,Male,Percentage (%),Units,13.0
2006,50 to 64,Undefined,Male,Percentage (%),Units,15.4
2006,65 to 74,Undefined,Male,Percentage (%),Units,18.6
2006,75 and over,Undefined,Male,Percentage (%),Units,27.5
2007,,Undefined,,Percentage (%),Units,18.6
2007,15 and under,Undefined,,Percentage (%),Units,23.2
2007,16 to 24,Undefined,,Percentage (%),Units,19.7
2007,25 to 49,Undefined,,Percentage (%),Units,14.0
2007,50 to 64,Undefined,,Percentage (%),Units,15.3
2007,65 to 74,Undefined,,Percentage (%),Units,22.4
2007,75 and over,Undefined,,Percentage (%),Units,31.2
2007,,Undefined,Female,Percentage (%),Units,19.6
2007,15 and under,Undefined,Female,Percentage (%),Units,23.4
2007,16 to 24,Undefined,Female,Percentage (%),Units,21.0
2007,25 to 49,Undefined,Female,Percentage (%),Units,14.8
2007,50 to 64,Undefined,Female,Percentage (%),Units,15.3
2007,65 to 74,Undefined,Female,Percentage (%),Units,25.3
2007,75 and over,Undefined,Female,Percentage (%),Units,32.7
2007,,Undefined,Male,Percentage (%),Units,17.6
2007,15 and under,Undefined,Male,Percentage (%),Units,23.1
2007,16 to 24,Undefined,Male,Percentage (%),Units,18.4
2007,25 to 49,Undefined,Male,Percentage (%),Units,13.2
2007,50 to 64,Undefined,Male,Percentage (%),Units,15.4
2007,65 to 74,Undefined,Male,Percentage (%),Units,19.1
2007,75 and over,Undefined,Male,Percentage (%),Units,29.0
2008,,Undefined,,Percentage (%),Units,18.7
2008,15 and under,Undefined,,Percentage (%),Units,24.4
2008,16 to 24,Undefined,,Percentage (%),Units,18.8
2008,25 to 49,Undefined,,Percentage (%),Units,13.5
2008,50 to 64,Undefined,,Percentage (%),Units,15.3
2008,65 to 74,Undefined,,Percentage (%),Units,23.9
2008,75 and over,Undefined,,Percentage (%),Units,31.2
2008,,Undefined,Female,Percentage (%),Units,20.0
2008,15 and under,Undefined,Female,Percentage (%),Units,25.4
2008,16 to 24,Undefined,Female,Percentage (%),Units,20.9
2008,25 to 49,Undefined,Female,Percentage (%),Units,14.5
2008,50 to 64,Undefined,Female,Percentage (%),Units,15.5
2008,65 to 74,Undefined,Female,Percentage (%),Units,26.4
2008,75 and over,Undefined,Female,Percentage (%),Units,33.1
2008,,Undefined,Male,Percentage (%),Units,17.4
2008,15 and under,Undefined,Male,Percentage (%),Units,23.5
2008,16 to 24,Undefined,Male,Percentage (%),Units,16.9
2008,25 to 49,Undefined,Male,Percentage (%),Units,12.6
2008,50 to 64,Undefined,Male,Percentage (%),Units,15.0
2008,65 to 74,Undefined,Male,Percentage (%),Units,21.3
2008,75 and over,Undefined,Male,Percentage (%),Units,28.6
2009,,Undefined,,Percentage (%),Units,17.3
2009,15 and under,Undefined,,Percentage (%),Units,20.6
2009,16 to 24,Undefined,,Percentage (%),Units,20.1
2009,25 to 49,Undefined,,Percentage (%),Units,13.7
2009,50 to 64,Undefined,,Percentage (%),Units,14.4
2009,65 to 74,Undefined,,Percentage (%),Units,19.2
2009,75 and over,Undefined,,Percentage (%),Units,25.8
2009,,Undefined,Female,Percentage (%),Units,17.8
2009,15 and under,Undefined,Female,Percentage (%),Units,21.3
2009,16 to 24,Undefined,Female,Percentage (%),Units,20.7
2009,25 to 49,Undefined,Female,Percentage (%),Units,14.0
2009,50 to 64,Undefined,Female,Percentage (%),Units,13.8
2009,65 to 74,Undefined,Female,Percentage (%),Units,21.3
2009,75 and over,Undefined,Female,Percentage (%),Units,27.0
2009,,Undefined,Male,Percentage (%),Units,16.7
2009,15 and under,Undefined,Male,Percentage (%),Units,20.1
2009,16 to 24,Undefined,Male,Percentage (%),Units,19.5
2009,25 to 49,Undefined,Male,Percentage (%),Units,13.4
2009,50 to 64,Undefined,Male,Percentage (%),Units,14.9
2009,65 to 74,Undefined,Male,Percentage (%),Units,16.9
2009,75 and over,Undefined,Male,Percentage (%),Units,24.2
2010,,Undefined,,Percentage (%),Units,17.1
2010,15 and under,Undefined,,Percentage (%),Units,20.0
2010,16 to 24,Undefined,,Percentage (%),Units,21.2
2010,25 to 49,Undefined,,Percentage (%),Units,13.7
2010,50 to 64,Undefined,,Percentage (%),Units,14.3
2010,65 to 74,Undefined,,Percentage (%),Units,17.8
2010,75 and over,Undefined,,Percentage (%),Units,25.5
2010,,Undefined,Female,Percentage (%),Units,17.8
2010,15 and under,Undefined,Female,Percentage (%),Units,19.3
2010,16 to 24,Undefined,Female,Percentage (%),Units,21.3
2010,25 to 49,Undefined,Female,Percentage (%),Units,14.8
2010,50 to 64,Undefined,Female,Percentage (%),Units,13.6
2010,65 to 74,Undefined,Female,Percentage (%),Units,20.0
2010,75 and over,Undefined,Female,Percentage (%),Units,29.0
2010,,Undefined,Male,Percentage (%),Units,16.4
2010,15 and under,Undefined,Male,Percentage (%),Units,20.6
2010,16 to 24,Undefined,Male,Percentage (%),Units,21.0
2010,25 to 49,Undefined,Male,Percentage (%),Units,12.7
2010,50 to 64,Undefined,Male,Percentage (%),Units,15.1
2010,65 to 74,Undefined,Male,Percentage (%),Units,15.4
2010,75 and over,Undefined,Male,Percentage (%),Units,20.6
2011,,Undefined,,Percentage (%),Units,16.2
2011,15 and under,Undefined,,Percentage (%),Units,17.6
2011,16 to 24,Undefined,,Percentage (%),Units,20.1
2011,25 to 49,Undefined,,Percentage (%),Units,12.3
2011,50 to 64,Undefined,,Percentage (%),Units,14.5
2011,65 to 74,Undefined,,Percentage (%),Units,17.3
2011,75 and over,Undefined,,Percentage (%),Units,27.2
2011,,Undefined,Female,Percentage (%),Units,17.6
2011,15 and under,Undefined,Female,Percentage (%),Units,17.5
2011,16 to 24,Undefined,Female,Percentage (%),Units,23.7
2011,25 to 49,Undefined,Female,Percentage (%),Units,13.2
2011,50 to 64,Undefined,Female,Percentage (%),Units,15.0
2011,65 to 74,Undefined,Female,Percentage (%),Units,19.5
2011,75 and over,Undefined,Female,Percentage (%),Units,30.5
2011,,Undefined,Male,Percentage (%),Units,14.8
2011,15 and under,Undefined,Male,Percentage (%),Units,17.7
2011,16 to 24,Undefined,Male,Percentage (%),Units,16.7
2011,25 to 49,Undefined,Male,Percentage (%),Units,11.5
2011,50 to 64,Undefined,Male,Percentage (%),Units,14.1
2011,65 to 74,Undefined,Male,Percentage (%),Units,14.8
2011,75 and over,Undefined,Male,Percentage (%),Units,22.7
2012,,Undefined,,Percentage (%),Units,16.0
2012,15 and under,Undefined,,Percentage (%),Units,17.6
2012,16 to 24,Undefined,,Percentage (%),Units,23.2
2012,25 to 49,Undefined,,Percentage (%),Units,12.9
2012,50 to 64,Undefined,,Percentage (%),Units,15.2
2012,65 to 74,Undefined,,Percentage (%),Units,13.6
2012,75 and over,Undefined,,Percentage (%),Units,19.8
2012,,Undefined,Female,Percentage (%),Units,16.3
2012,15 and under,Undefined,Female,Percentage (%),Units,18.4
2012,16 to 24,Undefined,Female,Percentage (%),Units,21.8
2012,25 to 49,Undefined,Female,Percentage (%),Units,13.3
2012,50 to 64,Undefined,Female,Percentage (%),Units,14.8
2012,65 to 74,Undefined,Female,Percentage (%),Units,14.3
2012,75 and over,Undefined,Female,Percentage (%),Units,21.4
2012,,Undefined,Male,Percentage (%),Units,15.8
2012,15 and under,Undefined,Male,Percentage (%),Units,16.8
2012,16 to 24,Undefined,Male,Percentage (%),Units,24.5
2012,25 to 49,Undefined,Male,Percentage (%),Units,12.6
2012,50 to 64,Undefined,Male,Percentage (%),Units,15.6
2012,65 to 74,Undefined,Male,Percentage (%),Units,12.9
2012,75 and over,Undefined,Male,Percentage (%),Units,17.7
2013,,Undefined,,Percentage (%),Units,15.9
2013,15 and under,Undefined,,Percentage (%),Units,18.1
2013,16 to 24,Undefined,,Percentage (%),Units,22.4
2013,25 to 49,Undefined,,Percentage (%),Units,12.9
2013,50 to 64,Undefined,,Percentage (%),Units,14.5
2013,65 to 74,Undefined,,Percentage (%),Units,13.2
2013,75 and over,Undefined,,Percentage (%),Units,20.7
2013,,Undefined,Female,Percentage (%),Units,16.4
2013,15 and under,Undefined,Female,Percentage (%),Units,18.3
2013,16 to 24,Undefined,Female,Percentage (%),Units,23.1
2013,25 to 49,Undefined,Female,Percentage (%),Units,13.6
2013,50 to 64,Undefined,Female,Percentage (%),Units,13.9
2013,65 to 74,Undefined,Female,Percentage (%),Units,14.2
2013,75 and over,Undefined,Female,Percentage (%),Units,22.7
2013,,Undefined,Male,Percentage (%),Units,15.4
2013,15 and under,Undefined,Male,Percentage (%),Units,18.0
2013,16 to 24,Undefined,Male,Percentage (%),Units,21.7
2013,25 to 49,Undefined,Male,Percentage (%),Units,12.3
2013,50 to 64,Undefined,Male,Percentage (%),Units,15.1
2013,65 to 74,Undefined,Male,Percentage (%),Units,12.2
2013,75 and over,Undefined,Male,Percentage (%),Units,18.0
2014,,Undefined,,Percentage (%),Units,16.8
2014,15 and under,Undefined,,Percentage (%),Units,19.1
2014,16 to 24,Undefined,,Percentage (%),Units,23.2
2014,25 to 49,Undefined,,Percentage (%),Units,14.0
2014,50 to 64,Undefined,,Percentage (%),Units,15.1
2014,65 to 74,Undefined,,Percentage (%),Units,13.6
2014,75 and over,Undefined,,Percentage (%),Units,22.7
2014,,Undefined,Female,Percentage (%),Units,17.6
2014,15 and under,Undefined,Female,Percentage (%),Units,19.0
2014,16 to 24,Undefined,Female,Percentage (%),Units,25.3
2014,25 to 49,Undefined,Female,Percentage (%),Units,14.1
2014,50 to 64,Undefined,Female,Percentage (%),Units,15.5
2014,65 to 74,Undefined,Female,Percentage (%),Units,15.0
2014,75 and over,Undefined,Female,Percentage (%),Units,25.5
2014,,Undefined,Male,Percentage (%),Units,16.0
2014,15 and under,Undefined,Male,Percentage (%),Units,19.2
2014,16 to 24,Undefined,Male,Percentage (%),Units,21.2
2014,25 to 49,Undefined,Male,Percentage (%),Units,13.8
2014,50 to 64,Undefined,Male,Percentage (%),Units,14.7
2014,65 to 74,Undefined,Male,Percentage (%),Units,12.0
2014,75 and over,Undefined,Male,Percentage (%),Units,18.8
2015,,Undefined,,Percentage (%),Units,16.6
2015,15 and under,Undefined,,Percentage (%),Units,19.5
2015,16 to 24,Undefined,,Percentage (%),Units,24.9
2015,25 to 49,Undefined,,Percentage (%),Units,13.6
2015,50 to 64,Undefined,,Percentage (%),Units,14.5
2015,65 to 74,Undefined,,Percentage (%),Units,13.1
2015,75 and over,Undefined,,Percentage (%),Units,20.8
2015,,Undefined,Female,Percentage (%),Units,17.2
2015,15 and under,Undefined,Female,Percentage (%),Units,20.9
2015,16 to 24,Undefined,Female,Percentage (%),Units,25.5
2015,25 to 49,Undefined,Female,Percentage (%),Units,13.6
2015,50 to 64,Undefined,Female,Percentage (%),Units,14.9
2015,65 to 74,Undefined,Female,Percentage (%),Units,13.4
2015,75 and over,Undefined,Female,Percentage (%),Units,22.9
2015,,Undefined,Male,Percentage (%),Units,16.1
2015,15 and under,Undefined,Male,Percentage (%),Units,18.3
2015,16 to 24,Undefined,Male,Percentage (%),Units,24.4
2015,25 to 49,Undefined,Male,Percentage (%),Units,13.6
2015,50 to 64,Undefined,Male,Percentage (%),Units,14.1
2015,65 to 74,Undefined,Male,Percentage (%),Units,12.7
2015,75 and over,Undefined,Male,Percentage (%),Units,18.1
2016,,Undefined,,Percentage (%),Units,15.9
2016,15 and under,Undefined,,Percentage (%),Units,18.1
2016,16 to 24,Undefined,,Percentage (%),Units,19.9
2016,25 to 49,Undefined,,Percentage (%),Units,13.3
2016,50 to 64,Undefined,,Percentage (%),Units,14.7
2016,65 to 74,Undefined,,Percentage (%),Units,13.7
2016,75 and over,Undefined,,Percentage (%),Units,21.4
2016,,Undefined,Female,Percentage (%),Units,16.5
2016,15 and under,Undefined,Female,Percentage (%),Units,18.1
2016,16 to 24,Undefined,Female,Percentage (%),Units,21.6
2016,25 to 49,Undefined,Female,Percentage (%),Units,13.6
2016,50 to 64,Undefined,Female,Percentage (%),Units,14.2
2016,65 to 74,Undefined,Female,Percentage (%),Units,16.0
2016,75 and over,Undefined,Female,Percentage (%),Units,23.4
2016,,Undefined,Male,Percentage (%),Units,15.2
2016,15 and under,Undefined,Male,Percentage (%),Units,18.1
2016,16 to 24,Undefined,Male,Percentage (%),Units,18.2
2016,25 to 49,Undefined,Male,Percentage (%),Units,12.9
2016,50 to 64,Undefined,Male,Percentage (%),Units,15.1
2016,65 to 74,Undefined,Male,Percentage (%),Units,11.3
2016,75 and over,Undefined,Male,Percentage (%),Units,18.8
2017,,Undefined,,Percentage (%),Units,17.0
2017,15 and under,Undefined,,Percentage (%),Units,21.1
2017,16 to 24,Undefined,,Percentage (%),Units,20.8
2017,25 to 49,Undefined,,Percentage (%),Units,13.7
2017,50 to 64,Undefined,,Percentage (%),Units,16.6
2017,65 to 74,Undefined,,Percentage (%),Units,13.4
2017,75 and over,Undefined,,Percentage (%),Units,21.3
2017,,Undefined,Female,Percentage (%),Units,17.9
2017,15 and under,Undefined,Female,Percentage (%),Units,21.0
2017,16 to 24,Undefined,Female,Percentage (%),Units,21.8
2017,25 to 49,Undefined,Female,Percentage (%),Units,15.2
2017,50 to 64,Undefined,Female,Percentage (%),Units,16.3
2017,65 to 74,Undefined,Female,Percentage (%),Units,14.3
2017,75 and over,Undefined,Female,Percentage (%),Units,24.1
2017,,Undefined,Male,Percentage (%),Units,16.1
2017,15 and under,Undefined,Male,Percentage (%),Units,21.1
2017,16 to 24,Undefined,Male,Percentage (%),Units,19.8
2017,25 to 49,Undefined,Male,Percentage (%),Units,12.2
2017,50 to 64,Undefined,Male,Percentage (%),Units,16.8
2017,65 to 74,Undefined,Male,Percentage (%),Units,12.6
2017,75 and over,Undefined,Male,Percentage (%),Units,17.6
2018,,Undefined,,Percentage (%),Units,18.9
2018,15 and under,Undefined,,Percentage (%),Units,23.9
2018,16 to 24,Undefined,,Percentage (%),Units,24.0
2018,25 to 49,Undefined,,Percentage (%),Units,15.2
2018,50 to 64,Undefined,,Percentage (%),Units,17.2
2018,65 to 74,Undefined,,Percentage (%),Units,15.4
2018,75 and over,Undefined,,Percentage (%),Units,24.1
2018,,Undefined,Female,Percentage (%),Units,20.1
2018,15 and under,Undefined,Female,Percentage (%),Units,24.5
2018,16 to 24,Undefined,Female,Percentage (%),Units,26.7
2018,25 to 49,Undefined,Female,Percentage (%),Units,16.5
2018,50 to 64,Undefined,Female,Percentage (%),Units,17.0
2018,65 to 74,Undefined,Female,Percentage (%),Units,16.6
2018,75 and over,Undefined,Female,Percentage (%),Units,27.4
2018,,Undefined,Male,Percentage (%),Units,17.6
2018,15 and under,Undefined,Male,Percentage (%),Units,23.3
2018,16 to 24,Undefined,Male,Percentage (%),Units,21.4
2018,25 to 49,Undefined,Male,Percentage (%),Units,13.8
2018,50 to 64,Undefined,Male,Percentage (%),Units,17.4
2018,65 to 74,Undefined,Male,Percentage (%),Units,14.2
2018,75 and over,Undefined,Male,Percentage (%),Units,19.9
