Year,Age at which FGM took place,Country of birth,Units,Local Authority,FGM type,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2017/18,,,Individuals,,Type 2,,,,,905.0
2018/19,,,Individuals,,Type 2,,,,,1050.0
2015/16,,,Individuals,,Type 3,,,,,720.0
2016/17,,,Individuals,,Type 3,,,,,780.0
2017/18,,,Individuals,,Type 3,,,,,685.0
2018/19,,,Individuals,,Type 3,,,,,830.0
2015/16,,,Individuals,,Type 4,,,,,140.0
2016/17,,,Individuals,,Type 4,,,,,275.0
2017/18,,,Individuals,,Type 4,,,,,345.0
2018/19,,,Individuals,,Type 4,,,,,320.0
2015/16,,,Individuals,,History of type 3,,,,,140.0
2016/17,,,Individuals,,History of type 3,,,,,150.0
2017/18,,,Individuals,,History of type 3,,,,,125.0
2018/19,,,Individuals,,History of type 3,,,,,120.0
2015/16,,,Individuals,,Type 3 reinfibulation identified,,,,,85.0
2016/17,,,Individuals,,Type 3 reinfibulation identified,,,,,50.0
2017/18,,,Individuals,,Type 3 reinfibulation identified,,,,,40.0
2018/19,,,Individuals,,Type 3 reinfibulation identified,,,,,50.0
2018/19,,,Individuals,Adur District Council,,,,,,0.0
2018/19,,,Individuals,Allerdale Borough Council,,,,,,0.0
2018/19,,,Individuals,Amber Valley Borough Council,,,,,,0.0
2018/19,,,Individuals,Arun District Council,,,,,,0.0
2018/19,,,Individuals,Ashfield District Council,,,,,,0.0
2018/19,,,Individuals,Ashford Borough Council,,,,,,0.0
2018/19,,,Individuals,Aylesbury Vale District Council,,,,,,0.0
2018/19,,,Individuals,Babergh District Council,,,,,,0.0
2018/19,,,Individuals,Barnsley Metropolitan Borough Council,,,,,,5.0
2018/19,,,Individuals,Barrow-In-Furness Borough Council,,,,,,0.0
2018/19,,,Individuals,Basildon District Council,,,,,,0.0
2018/19,,,Individuals,Basingstoke and Deane Borough Council,,,,,,0.0
2018/19,,,Individuals,Bassetlaw District Council,,,,,,0.0
2018/19,,,Individuals,Bath and North East Somerset Council,,,,,,5.0
2018/19,,,Individuals,Bedford Borough Council,,,,,,10.0
2018/19,,,Individuals,Birmingham City Council,,,,,,620.0
2018/19,,,Individuals,Blaby District Council,,,,,,0.0
2018/19,,,Individuals,Blackburn with Darwen Borough Council,,,,,,10.0
2018/19,,,Individuals,Blackpool Borough Council,,,,,,5.0
2018/19,,,Individuals,Bolsover District Council,,,,,,0.0
2018/19,,,Individuals,Bolton Metropolitan Borough Council,,,,,,150.0
2018/19,,,Individuals,Borough of Poole Council,,,,,,0.0
2018/19,,,Individuals,Boston Borough Council,,,,,,0.0
2018/19,,,Individuals,Bournemouth Borough Council,,,,,,5.0
2018/19,,,Individuals,Bracknell Forest Borough Council,,,,,,0.0
2018/19,,,Individuals,Braintree District Council,,,,,,0.0
2018/19,,,Individuals,Breckland District Council,,,,,,0.0
2018/19,,,Individuals,Brentwood Borough Council,,,,,,0.0
2018/19,,,Individuals,Brighton & Hove City Council,,,,,,5.0
2018/19,,,Individuals,Bristol City Council,,,,,,425.0
2018/19,,,Individuals,Broadland District Council,,,,,,0.0
2018/19,,,Individuals,Bromsgrove District Council,,,,,,0.0
2018/19,,,Individuals,Broxbourne Borough Council,,,,,,0.0
2018/19,,,Individuals,Broxtowe Borough Council,,,,,,0.0
2018/19,,,Individuals,Buckinghamshire County Council,,,,,,5.0
2018/19,,,Individuals,Burnley Borough Council,,,,,,0.0
2018/19,,,Individuals,Bury Metropolitan Borough Council,,,,,,25.0
2018/19,,,Individuals,Calderdale Metropolitan Borough Council,,,,,,10.0
2018/19,,,Individuals,Cambridge City Council,,,,,,0.0
2018/19,,,Individuals,Cambridgeshire County Council,,,,,,5.0
2018/19,,,Individuals,Cannock Chase District Council,,,,,,0.0
2018/19,,,Individuals,Canterbury City Council,,,,,,0.0
2018/19,,,Individuals,Carlisle City Council,,,,,,0.0
2018/19,,,Individuals,Castle Point Borough Council,,,,,,0.0
2018/19,,,Individuals,Central Bedfordshire Council,,,,,,5.0
2018/19,,,Individuals,Charnwood Borough Council,,,,,,0.0
2018/19,,,Individuals,Chelmsford Borough Council,,,,,,0.0
2018/19,,,Individuals,Cheltenham Borough Council,,,,,,0.0
2018/19,,,Individuals,Cherwell District Council,,,,,,0.0
2018/19,,,Individuals,Cheshire East Council,,,,,,5.0
2018/19,,,Individuals,Cheshire West and Chester Council,,,,,,5.0
2018/19,,,Individuals,Chesterfield Borough Council,,,,,,0.0
2018/19,,,Individuals,Chichester District Council,,,,,,0.0
2018/19,,,Individuals,Chiltern District Council,,,,,,0.0
2018/19,,,Individuals,Chorley Borough Council,,,,,,0.0
2018/19,,,Individuals,Christchurch Borough Council,,,,,,0.0
2018/19,,,Individuals,City of Bradford Metropolitan District Council,,,,,,65.0
2018/19,,,Individuals,City of Lincoln Council,,,,,,0.0
2018/19,,,Individuals,Colchester Borough Council,,,,,,0.0
2018/19,,,Individuals,Copeland Borough Council,,,,,,0.0
2018/19,,,Individuals,Corby Borough Council,,,,,,0.0
2018/19,,,Individuals,Cornwall Council,,,,,,0.0
2018/19,,,Individuals,Corporation of The City of London,,,,,,0.0
2018/19,,,Individuals,Cotswold District Council,,,,,,0.0
2018/19,,,Individuals,Coventry City Council,,,,,,60.0
2018/19,,,Individuals,Craven District Council,,,,,,0.0
2018/19,,,Individuals,Crawley Borough Council,,,,,,0.0
2018/19,,,Individuals,Cumbria County Council,,,,,,10.0
2018/19,,,Individuals,Dacorum Borough Council,,,,,,0.0
2018/19,,,Individuals,Darlington Borough Council (Unitary),,,,,,0.0
2018/19,,,Individuals,Dartford Borough Council,,,,,,0.0
2018/19,,,Individuals,Daventry District Council,,,,,,0.0
2018/19,,,Individuals,Derby City Council,,,,,,10.0
2018/19,,,Individuals,Derbyshire County Council,,,,,,5.0
2018/19,,,Individuals,Derbyshire Dales District Council,,,,,,0.0
2018/19,,,Individuals,Devon County Council,,,,,,5.0
2018/19,,,Individuals,Doncaster Council,,,,,,5.0
2018/19,,,Individuals,Dorset Council,,,,,,0.0
2018/19,,,Individuals,Dover District Council,,,,,,0.0
2018/19,,,Individuals,Dudley Metropolitan Borough Council,,,,,,20.0
2018/19,,,Individuals,Durham County Council,,,,,,0.0
2018/19,,,Individuals,East Cambridgeshire District Council,,,,,,0.0
2018/19,,,Individuals,East Devon District Council,,,,,,0.0
2018/19,,,Individuals,East Dorset District Council,,,,,,0.0
2018/19,,,Individuals,East Hampshire District Council,,,,,,0.0
2018/19,,,Individuals,East Hertfordshire District Council,,,,,,0.0
2018/19,,,Individuals,East Lindsey District Council,,,,,,0.0
2018/19,,,Individuals,East Northamptonshire Council,,,,,,0.0
2018/19,,,Individuals,East Riding of Yorkshire Council,,,,,,5.0
2018/19,,,Individuals,East Staffordshire Borough Council,,,,,,0.0
2018/19,,,Individuals,East Sussex County Council,,,,,,10.0
2018/19,,,Individuals,Eastbourne Borough Council,,,,,,0.0
2018/19,,,Individuals,Eastleigh Borough Council,,,,,,0.0
2018/19,,,Individuals,Eden District Council,,,,,,0.0
2018/19,,,Individuals,Elmbridge Borough Council,,,,,,0.0
2018/19,,,Individuals,Epping Forest District Council,,,,,,0.0
2018/19,,,Individuals,Epsom and Ewell Borough Council,,,,,,0.0
2018/19,,,Individuals,Erewash Borough Council,,,,,,0.0
2018/19,,,Individuals,Essex County Council,,,,,,20.0
2018/19,,,Individuals,Exeter City Council,,,,,,0.0
2018/19,,,Individuals,Fareham Borough Council,,,,,,0.0
2018/19,,,Individuals,Fenland District Council,,,,,,0.0
2018/19,,,Individuals,Forest Heath District Council,,,,,,0.0
2018/19,,,Individuals,Forest of Dean District Council,,,,,,0.0
2018/19,,,Individuals,Fylde Borough Council,,,,,,0.0
2018/19,,,Individuals,Gateshead Metropolitan Borough Council,,,,,,15.0
2018/19,,,Individuals,Gedling Borough Council,,,,,,0.0
2018/19,,,Individuals,Gloucester City Council,,,,,,0.0
2018/19,,,Individuals,Gloucestershire County Council,,,,,,5.0
2018/19,,,Individuals,Gosport Borough Council,,,,,,0.0
2018/19,,,Individuals,Gravesham Borough Council,,,,,,0.0
2018/19,,,Individuals,Great Yarmouth Borough Council,,,,,,0.0
2018/19,,,Individuals,Greater London Authority,,,,,,0.0
2018/19,,,Individuals,Guildford Borough Council,,,,,,0.0
2018/19,,,Individuals,Halton Borough Council (Unitary),,,,,,0.0
2018/19,,,Individuals,Hambleton District Council,,,,,,0.0
2018/19,,,Individuals,Hampshire County Council,,,,,,10.0
2018/19,,,Individuals,Harborough District Council,,,,,,0.0
2018/19,,,Individuals,Harlow District Council,,,,,,0.0
2018/19,,,Individuals,Harrogate Borough Council,,,,,,0.0
2018/19,,,Individuals,Hart District Council,,,,,,0.0
2018/19,,,Individuals,Hartlepool Borough Council,,,,,,5.0
2018/19,,,Individuals,Hastings Borough Council,,,,,,0.0
2018/19,,,Individuals,Havant Borough Council,,,,,,0.0
2018/19,,,Individuals,Herefordshire Council,,,,,,0.0
2018/19,,,Individuals,Hertfordshire County Council,,,,,,35.0
2018/19,,,Individuals,Hertsmere Borough Council,,,,,,0.0
2018/19,,,Individuals,High Peak Borough Council,,,,,,0.0
2018/19,,,Individuals,Hinckley & Bosworth Borough Council,,,,,,0.0
2018/19,,,Individuals,Horsham District Council,,,,,,0.0
2018/19,,,Individuals,Huntingdonshire District Council,,,,,,0.0
2018/19,,,Individuals,Hyndburn Borough Council,,,,,,0.0
2018/19,,,Individuals,Ipswich Borough Council,,,,,,0.0
2018/19,,,Individuals,Isle of Wight Council,,,,,,0.0
2018/19,,,Individuals,Kent County Council,,,,,,35.0
2018/19,,,Individuals,Kettering Borough Council,,,,,,0.0
2018/19,,,Individuals,Kings Lynn & West Norfolk Borough Council,,,,,,0.0
2018/19,,,Individuals,Kingston-Upon-Hull City Council,,,,,,65.0
2018/19,,,Individuals,Kirklees Council,,,,,,45.0
2018/19,,,Individuals,Knowsley Metropolitan Borough Council,,,,,,0.0
2018/19,,,Individuals,Lancashire County Council,,,,,,20.0
2018/19,,,Individuals,Lancaster City Council,,,,,,0.0
2018/19,,,Individuals,Leeds City Council,,,,,,40.0
2018/19,,,Individuals,Leicester City Council,,,,,,20.0
2018/19,,,Individuals,Leicestershire County Council,,,,,,5.0
2018/19,,,Individuals,Lewes District Council,,,,,,0.0
2018/19,,,Individuals,Lichfield District Council,,,,,,0.0
2018/19,,,Individuals,Lincolnshire County Council,,,,,,25.0
2018/19,,,Individuals,Liverpool City Council,,,,,,5.0
2018/19,,,Individuals,London Borough of Barking and Dagenham,,,,,,115.0
2018/19,,,Individuals,London Borough of Barnet,,,,,,95.0
2018/19,,,Individuals,London Borough of Bexley,,,,,,20.0
2018/19,,,Individuals,London Borough of Brent,,,,,,265.0
2018/19,,,Individuals,London Borough of Bromley,,,,,,30.0
2018/19,,,Individuals,London Borough of Camden,,,,,,125.0
2018/19,,,Individuals,London Borough of Croydon,,,,,,30.0
2018/19,,,Individuals,London Borough of Ealing,,,,,,235.0
2018/19,,,Individuals,London Borough of Enfield,,,,,,205.0
2018/19,,,Individuals,London Borough of Greenwich,,,,,,35.0
2018/19,,,Individuals,London Borough of Hackney,,,,,,85.0
2018/19,,,Individuals,London Borough of Hammersmith and Fulham,,,,,,110.0
2018/19,,,Individuals,London Borough of Haringey,,,,,,90.0
2018/19,,,Individuals,London Borough of Harrow,,,,,,75.0
2018/19,,,Individuals,London Borough of Havering,,,,,,20.0
2018/19,,,Individuals,London Borough of Hillingdon,,,,,,125.0
2018/19,,,Individuals,London Borough of Hounslow,,,,,,85.0
2018/19,,,Individuals,London Borough of Islington,,,,,,75.0
2018/19,,,Individuals,London Borough of Lambeth Council,,,,,,150.0
2018/19,,,Individuals,London Borough of Lewisham Council,,,,,,45.0
2018/19,,,Individuals,London Borough of Merton Council,,,,,,5.0
2018/19,,,Individuals,London Borough of Newham Council,,,,,,120.0
2018/19,,,Individuals,London Borough of Redbridge Council,,,,,,55.0
2018/19,,,Individuals,London Borough of Richmond Upon Thames Council,,,,,,5.0
2018/19,,,Individuals,London Borough of Southwark Council,,,,,,195.0
2018/19,,,Individuals,London Borough of Sutton Council,,,,,,0.0
2018/19,,,Individuals,London Borough of Tower Hamlets Council,,,,,,130.0
2018/19,,,Individuals,London Borough of Waltham Forest Council,,,,,,105.0
2018/19,,,Individuals,London Borough of Wandsworth,,,,,,50.0
2018/19,,,Individuals,Luton Borough Council,,,,,,10.0
2018/19,,,Individuals,Maidstone Borough Council,,,,,,0.0
2018/19,,,Individuals,Maldon District Council,,,,,,0.0
2018/19,,,Individuals,Malvern Hills District Council,,,,,,0.0
2018/19,,,Individuals,Manchester City Council,,,,,,360.0
2018/19,,,Individuals,Mansfield District Council,,,,,,0.0
2018/19,,,Individuals,Medway Council,,,,,,15.0
2018/19,,,Individuals,Melton Borough Council,,,,,,0.0
2018/19,,,Individuals,Mendip District Council,,,,,,0.0
2018/19,,,Individuals,Mid Devon District Council,,,,,,0.0
2018/19,,,Individuals,Mid Suffolk District Council,,,,,,0.0
2018/19,,,Individuals,Mid Sussex District Council,,,,,,0.0
2018/19,,,Individuals,Middlesbrough Council,,,,,,15.0
2018/19,,,Individuals,Milton Keynes Council,,,,,,5.0
2018/19,,,Individuals,Mole Valley District Council,,,,,,0.0
2018/19,,,Individuals,New Forest District Council,,,,,,0.0
2018/19,,,Individuals,Newark and Sherwood District Council,,,,,,0.0
2018/19,,,Individuals,Newcastle-Under-Lyme Borough Council,,,,,,0.0
2018/19,,,Individuals,Newcastle-Upon-Tyne City Council,,,,,,65.0
2018/19,,,Individuals,Norfolk County Council,,,,,,15.0
2018/19,,,Individuals,North Devon District Council,,,,,,0.0
2018/19,,,Individuals,North Dorset District Council,,,,,,0.0
2018/19,,,Individuals,North East Derbyshire District Council,,,,,,0.0
2018/19,,,Individuals,North East Lincolnshire Council,,,,,,5.0
2018/19,,,Individuals,North Hertfordshire District Council,,,,,,0.0
2018/19,,,Individuals,North Kesteven District Council,,,,,,0.0
2018/19,,,Individuals,North Lincolnshire Council,,,,,,5.0
2018/19,,,Individuals,North Norfolk District Council,,,,,,0.0
2018/19,,,Individuals,North Somerset District Council,,,,,,5.0
2018/19,,,Individuals,North Tyneside Council,,,,,,10.0
2018/19,,,Individuals,North Warwickshire Borough Council,,,,,,0.0
2018/19,,,Individuals,North West Leicestershire District Council,,,,,,0.0
2018/19,,,Individuals,North Yorkshire County Council,,,,,,5.0
2018/19,,,Individuals,Northampton Borough Council,,,,,,0.0
2018/19,,,Individuals,Northamptonshire County Council,,,,,,55.0
2018/19,,,Individuals,Northumberland County Council,,,,,,0.0
2018/19,,,Individuals,Norwich City Council,,,,,,0.0
2018/19,,,Individuals,Nottingham City Council,,,,,,90.0
2018/19,,,Individuals,Nottinghamshire County Council,,,,,,5.0
2018/19,,,Individuals,Nuneaton and Bedworth Borough Council,,,,,,0.0
2018/19,,,Individuals,Oadby & Wigston Borough Council,,,,,,0.0
2018/19,,,Individuals,Oldham Metropolitian Borough Council,,,,,,25.0
2018/19,,,Individuals,Oxford City Council,,,,,,0.0
2018/19,,,Individuals,Oxfordshire County Council,,,,,,5.0
2018/19,,,Individuals,Pendle Borough Council,,,,,,0.0
2018/19,,,Individuals,Peterborough City Council,,,,,,35.0
2018/19,,,Individuals,Plymouth City Council,,,,,,20.0
2018/19,,,Individuals,Portsmouth City Council,,,,,,20.0
2018/19,,,Individuals,Preston City Council,,,,,,0.0
2018/19,,,Individuals,Purbeck District Council,,,,,,0.0
2018/19,,,Individuals,Reading Borough Council,,,,,,20.0
2018/19,,,Individuals,Redcar & Cleveland Borough Council,,,,,,5.0
2018/19,,,Individuals,Redditch Borough Council,,,,,,0.0
2018/19,,,Individuals,Reigate and Banstead Borough Council,,,,,,0.0
2018/19,,,Individuals,Ribble Valley Borough Council,,,,,,0.0
2018/19,,,Individuals,Richmondshire District Council,,,,,,0.0
2018/19,,,Individuals,Rochdale Metropolitan Borough Council,,,,,,25.0
2018/19,,,Individuals,Rochford District Council,,,,,,0.0
2018/19,,,Individuals,Rossendale Borough Council,,,,,,0.0
2018/19,,,Individuals,Rother District Council,,,,,,0.0
2018/19,,,Individuals,Rotherham Metropolitan Borough Council,,,,,,15.0
2018/19,,,Individuals,Royal Borough of Kensington and Chelsea,,,,,,70.0
2018/19,,,Individuals,Royal Borough of Kingston-Upon-Thames Council,,,,,,5.0
2018/19,,,Individuals,Royal Borough of Windsor & Maidenhead,,,,,,5.0
2018/19,,,Individuals,Rugby Borough Council,,,,,,0.0
2018/19,,,Individuals,Runnymede Borough Council,,,,,,0.0
2018/19,,,Individuals,Rushcliffe Borough Council,,,,,,0.0
2018/19,,,Individuals,Rushmoor Borough Council,,,,,,0.0
2018/19,,,Individuals,Rutland County Council,,,,,,0.0
2018/19,,,Individuals,Ryedale District Council,,,,,,0.0
2018/19,,,Individuals,Salford City Council,,,,,,85.0
2018/19,,,Individuals,Sandwell Metropolitan Borough Council,,,,,,80.0
2018/19,,,Individuals,Scarborough Borough Council,,,,,,0.0
2018/19,,,Individuals,Sedgemoor District Council,,,,,,0.0
2018/19,,,Individuals,Sefton Council,,,,,,0.0
2018/19,,,Individuals,Selby District Council,,,,,,0.0
2018/19,,,Individuals,Sevenoaks District Council,,,,,,0.0
2018/19,,,Individuals,Sheffield City Council,,,,,,155.0
2018/19,,,Individuals,Shepway District Council,,,,,,0.0
2018/19,,,Individuals,Shropshire Council,,,,,,5.0
2018/19,,,Individuals,Slough Borough Council,,,,,,50.0
2018/19,,,Individuals,Solihull Metropolitan Borough Council,,,,,,5.0
2018/19,,,Individuals,Somerset County Council,,,,,,5.0
2018/19,,,Individuals,South Bucks District Council,,,,,,0.0
2018/19,,,Individuals,South Cambridgeshire District Council,,,,,,0.0
2018/19,,,Individuals,South Derbyshire District Council,,,,,,0.0
2018/19,,,Individuals,South Gloucestershire Council,,,,,,15.0
2018/19,,,Individuals,South Hams District Council,,,,,,0.0
2018/19,,,Individuals,South Holland District Council,,,,,,0.0
2018/19,,,Individuals,South Kesteven District Council,,,,,,0.0
2018/19,,,Individuals,South Lakeland District Council,,,,,,0.0
2018/19,,,Individuals,South Norfolk Council,,,,,,0.0
2018/19,,,Individuals,South Northamptonshire District Council,,,,,,0.0
2018/19,,,Individuals,South Oxfordshire District Council,,,,,,0.0
2018/19,,,Individuals,South Ribble Borough Council,,,,,,0.0
2018/19,,,Individuals,South Somerset District Council,,,,,,0.0
2018/19,,,Individuals,South Staffordshire Council,,,,,,0.0
2018/19,,,Individuals,South Tyneside Metropolitan Borough Council,,,,,,0.0
2018/19,,,Individuals,Southampton City Council,,,,,,30.0
2018/19,,,Individuals,Southend-On-Sea Borough Council,,,,,,5.0
2018/19,,,Individuals,Spelthorne Borough Council,,,,,,0.0
2018/19,,,Individuals,St Albans City & District Council,,,,,,0.0
2018/19,,,Individuals,St Edmundsbury Borough Council,,,,,,0.0
2018/19,,,Individuals,St Helens Metropolitan Borough Council,,,,,,0.0
2018/19,,,Individuals,Stafford Borough Council,,,,,,0.0
2018/19,,,Individuals,Staffordshire County Council,,,,,,15.0
2018/19,,,Individuals,Staffordshire Moorlands District Council,,,,,,0.0
2018/19,,,Individuals,Stevenage Borough Council,,,,,,0.0
2018/19,,,Individuals,Stockport Metropolitan Borough Council,,,,,,5.0
2018/19,,,Individuals,Stockton-On-Tees Borough Council,,,,,,25.0
2018/19,,,Individuals,Stoke-On-Trent City Council,,,,,,35.0
2018/19,,,Individuals,Stratford-On-Avon District Council,,,,,,0.0
2018/19,,,Individuals,Stroud District Council,,,,,,0.0
2018/19,,,Individuals,Suffolk Coastal District Council,,,,,,0.0
2018/19,,,Individuals,Suffolk County Council,,,,,,10.0
2018/19,,,Individuals,Sunderland City Council,,,,,,5.0
2018/19,,,Individuals,Surrey County Council,,,,,,5.0
2018/19,,,Individuals,Surrey Heath Borough Council,,,,,,0.0
2018/19,,,Individuals,Swale Borough Council,,,,,,0.0
2018/19,,,Individuals,Swindon Borough Council (Unitary),,,,,,5.0
2018/19,,,Individuals,Tameside Metropolitan Borough Council,,,,,,20.0
2018/19,,,Individuals,Tamworth Borough Council,,,,,,0.0
2018/19,,,Individuals,Tandridge District Council,,,,,,0.0
2018/19,,,Individuals,Taunton Deane Borough Council,,,,,,0.0
2018/19,,,Individuals,Teignbridge District Council,,,,,,0.0
2018/19,,,Individuals,Telford and Wrekin Council (Unitary),,,,,,0.0
2018/19,,,Individuals,Tendring District Council,,,,,,0.0
2018/19,,,Individuals,Test Valley Borough Council,,,,,,0.0
2018/19,,,Individuals,Tewkesbury Borough Council,,,,,,0.0
2018/19,,,Individuals,Thanet District Council,,,,,,0.0
2018/19,,,Individuals,The Council of The Isles of Scilly,,,,,,0.0
2018/19,,,Individuals,Three Rivers District Council,,,,,,0.0
2018/19,,,Individuals,Thurrock Council,,,,,,10.0
2018/19,,,Individuals,Tonbridge and Malling Borough Council,,,,,,0.0
2018/19,,,Individuals,Torbay Council,,,,,,5.0
2018/19,,,Individuals,Torridge District Council,,,,,,0.0
2018/19,,,Individuals,Trafford Metropolitan Borough Council,,,,,,25.0
2018/19,,,Individuals,Tunbridge Wells Borough Council,,,,,,0.0
2018/19,,,Individuals,Uttlesford District Council,,,,,,0.0
2018/19,,,Individuals,Vale of White Horse District Council,,,,,,0.0
2018/19,,,Individuals,Wakefield Council,,,,,,90.0
2018/19,,,Individuals,Walsall Metropolitan Borough Council,,,,,,20.0
2018/19,,,Individuals,Warrington Borough Council (Unitary),,,,,,5.0
2018/19,,,Individuals,Warwick District Council,,,,,,0.0
2018/19,,,Individuals,Warwickshire County Council,,,,,,5.0
2018/19,,,Individuals,Watford Borough Council,,,,,,0.0
2018/19,,,Individuals,Waveney District Council,,,,,,0.0
2018/19,,,Individuals,Waverley Borough Council,,,,,,0.0
2018/19,,,Individuals,Wealden District Council,,,,,,0.0
2018/19,,,Individuals,Wellingborough Borough Council,,,,,,0.0
2018/19,,,Individuals,Welwyn Hatfield Council,,,,,,0.0
2018/19,,,Individuals,West Berkshire District Council,,,,,,0.0
2018/19,,,Individuals,West Devon Borough Council,,,,,,0.0
2018/19,,,Individuals,West Dorset District Council,,,,,,0.0
2018/19,,,Individuals,West Lancashire District Council,,,,,,0.0
2018/19,,,Individuals,West Lindsey District Council,,,,,,0.0
2018/19,,,Individuals,West Oxfordshire District Council,,,,,,0.0
2018/19,,,Individuals,West Somerset District Council,,,,,,0.0
2018/19,,,Individuals,West Sussex County Council,,,,,,25.0
2018/19,,,Individuals,Westminster City Council,,,,,,95.0
