Year,Series,Units,Unit multiplier,Observation status,Value
2010,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,22.807
2011,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,17.544
2012,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,22.807
2013,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,21.053
2014,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,17.544
2015,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,19.298
2016,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,19.298
2017,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,19.298
2018,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,19.298
2019,Proportion of fish stocks that are not within biologically sustainable levels,Percentage (%),Units,Normal value,19.298
1990,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,29.82456140350877
1991,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,31.57894736842105
1992,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,33.33333333333333
1993,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,36.84210526315789
1994,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,40.35087719298245
1995,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,35.08771929824561
1996,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,33.33333333333333
1997,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,36.84210526315789
1998,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,42.10526315789473
1999,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,42.10526315789473
2000,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,35.08771929824561
2001,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,42.10526315789473
2002,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,38.59649122807017
2003,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,45.614035087719294
2004,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,42.10526315789473
2005,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,40.35087719298245
2006,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,42.10526315789473
2007,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,38.59649122807017
2008,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,45.614035087719294
2009,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,49.122807017543856
2010,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,54.38596491228071
2011,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,59.64912280701754
2012,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,54.38596491228071
2013,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,56.14035087719298
2014,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,59.64912280701754
2015,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,57.89473684210527
2016,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,57.89473684210527
2017,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,57.89473684210527
2018,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,57.89473684210527
2019,Proportion of fish stocks within biologically sustainable levels,Percentage (%),Units,Normal value,57.89473684210527
1990,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,47.368421052631575
1991,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,43.85964912280701
1992,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,42.10526315789473
1993,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,35.08771929824561
1994,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,33.33333333333333
1995,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,35.08771929824561
1996,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,31.57894736842105
1997,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,33.33333333333333
1998,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,29.82456140350877
1999,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,28.07017543859649
2000,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,28.07017543859649
2001,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,26.31578947368421
2002,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,26.31578947368421
2003,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,24.561403508771928
2004,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,24.561403508771928
2005,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,24.561403508771928
2006,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,24.561403508771928
2007,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,24.561403508771928
2008,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,22.807017543859647
2009,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,22.807017543859647
2010,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,22.807017543859647
2011,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,22.807017543859647
2012,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,22.807017543859647
2013,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,22.807017543859647
2014,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,22.807017543859647
2015,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,22.807017543859647
2016,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,22.807017543859647
2017,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,22.807017543859647
2018,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,22.807017543859647
2019,Proportion of fish stocks where biologically sustainable status is unknown,Percentage (%),Units,Normal value,22.807017543859647
