Year,Death classification,Country of birth,Age,Deprivation quintile,Ethnicity,Observation status,Value
2011-13,,,,Quintile 2,,Undefined,6.8
2011-13,,,,Quintile 3,,Undefined,5.8
2011-13,,,,Quintile 4,,Undefined,10.2
2011-13,,,,Quintile 5 (most deprived),,Undefined,10.9
2012-14,,,,Quintile 1 (least deprived),,Undefined,5.93
2012-14,,,,Quintile 2,,Undefined,5.88
2012-14,,,,Quintile 3,,Undefined,5.9
2012-14,,,,Quintile 4,,Undefined,9.22
2012-14,,,,Quintile 5 (most deprived),,Undefined,9.59
2013-15,,,,Quintile 1 (least deprived),,Undefined,3.92
2013-15,,,,Quintile 2,,Undefined,4.26
2013-15,,,,Quintile 3,,Undefined,7.37
2013-15,,,,Quintile 4,,Undefined,10.51
2013-15,,,,Quintile 5 (most deprived),,Undefined,9.23
2014-16,,,,Quintile 1 (least deprived),,Undefined,3.26
2014-16,,,,Quintile 2,,Undefined,5.54
2014-16,,,,Quintile 3,,Undefined,10.03
2014-16,,,,Quintile 4,,Undefined,11.84
2014-16,,,,Quintile 5 (most deprived),,Undefined,10.58
2012-14,,,,,White (inc. not known),Undefined,7.42
2012-14,,,,,Asian,Undefined,10.1
2012-14,,,,,Black,Undefined,31.13
2012-14,,,,,Chinese or other,Undefined,4.11
2012-14,,,,,Mixed/multiple ethnic groups,Undefined,3.32
2013-15,,,,,White (inc. not known),Undefined,6.58
2013-15,,,,,Asian,Undefined,10.79
2013-15,,,,,Black,Undefined,28.17
2013-15,,,,,Chinese or other,Undefined,4.07
2013-15,,,,,Mixed/multiple ethnic groups,Undefined,9.92
2014-16,,,,,White (inc. not known),Undefined,8.04
2014-16,,,,,Asian,Undefined,14.52
2014-16,,,,,Black,Undefined,39.66
2014-16,,,,,Chinese or other,Undefined,5.32
2014-16,,,,,Mixed/multiple ethnic groups,Undefined,16.32
2009-11,,Born in UK,,,,Undefined,8.96
2009-11,,Not born in UK,,,,Undefined,12.11
2010-12,,Born in UK,,,,Undefined,8.41
2010-12,,Not born in UK,,,,Undefined,11.46
2011-13,,Born in UK,,,,Undefined,7.9
2011-13,,Not born in UK,,,,Undefined,9.3
2012-14,,Born in UK,,,,Undefined,7.87
2012-14,,Not born in UK,,,,Undefined,8.85
2013-15,,Born in UK,,,,Undefined,7.78
2013-15,,Not born in UK,,,,Undefined,8.23
2014-16,,Born in UK,,,,Undefined,8.38
2014-16,,Not born in UK,,,,Undefined,9.4
2015-17,,,,,,Undefined,9.19
2015-17,Direct,,,,,Undefined,3.82
2015-17,Indirect,,,,,Undefined,5.35
2015-17,,Born in UK,,,,Undefined,7.97
2015-17,,Not born in UK,,,,Undefined,7.85
2015-17,,,19 and under,,,Undefined,12.03
2015-17,,,20 to 24,,,Undefined,5.58
2015-17,,,25 to 29,,,Undefined,8.56
2015-17,,,30 to 34,,,Undefined,7.07
2015-17,,,35 to 39,,,Undefined,12.81
2015-17,,,40 and over,,,Undefined,24.23
2015-17,,,,Quintile 1 (least deprived),,Undefined,5.19
2015-17,,,,Quintile 2,,Undefined,5.19
2015-17,,,,Quintile 3,,Undefined,7.22
2015-17,,,,Quintile 4,,Undefined,10.52
2015-17,,,,Quintile 5 (most deprived),,Undefined,11.58
2015-17,,,,,White (inc. not known),Undefined,7.22
2015-17,,,,,Asian,Undefined,12.74
2015-17,,,,,Black,Undefined,38.03
2015-17,,,,,Chinese or other,Undefined,9.28
2015-17,,,,,Mixed/multiple ethnic groups,Undefined,22.51
