Year,Region,Local Authority,County,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2010.0,East of England,Southend-on-Sea,,Undefined,Units,Percentage (%),E06000033,6.1
2010.0,East of England,Thurrock,,Undefined,Units,Percentage (%),E06000034,6.5
2010.0,South East,Medway,,Undefined,Units,Percentage (%),E06000035,6.1
2010.0,South East,Bracknell Forest,,Undefined,Units,Percentage (%),E06000036,5.6
2010.0,South East,West Berkshire,,Undefined,Units,Percentage (%),E06000037,5.5
2010.0,South East,Reading,,Undefined,Units,Percentage (%),E06000038,5.9
2010.0,South East,Slough,,Undefined,Units,Percentage (%),E06000039,6.8
2010.0,South East,Windsor and Maidenhead,,Undefined,Units,Percentage (%),E06000040,5.9
2010.0,South East,Wokingham,,Undefined,Units,Percentage (%),E06000041,5.7
2010.0,South East,Milton Keynes,,Undefined,Units,Percentage (%),E06000042,5.8
2010.0,South East,Brighton and Hove,,Undefined,Units,Percentage (%),E06000043,5.4
2010.0,South East,Portsmouth,,Undefined,Units,Percentage (%),E06000044,5.9
2010.0,South East,Southampton,,Undefined,Units,Percentage (%),E06000045,6.2
2010.0,South East,Isle of Wight,,Undefined,Units,Percentage (%),E06000046,4.6
2010.0,North East,County Durham,,Undefined,Units,Percentage (%),E06000047,4.3
2010.0,North West,Cheshire East,,Undefined,Units,Percentage (%),E06000049,4.9
2010.0,North West,Cheshire West and Chester,,Undefined,Units,Percentage (%),E06000050,4.7
2010.0,West Midlands,Shropshire,,Undefined,Units,Percentage (%),E06000051,4.2
2010.0,South West,Cornwall,,Undefined,Units,Percentage (%),E06000052,3.8
2010.0,South West,Isles of Scilly,,Undefined,Units,Percentage (%),E06000053,3.2
2010.0,South West,Wiltshire,,Undefined,Units,Percentage (%),E06000054,4.9
2010.0,East of England,Bedford,,Undefined,Units,Percentage (%),E06000055,5.5
2010.0,East of England,Central Bedfordshire,,Undefined,Units,Percentage (%),E06000056,5.5
2010.0,North East,Northumberland,,Undefined,Units,Percentage (%),E06000057,3.9
2010.0,North West,Bolton,,Undefined,Units,Percentage (%),E08000001,5.5
2010.0,North West,Bury,,Undefined,Units,Percentage (%),E08000002,5.5
2010.0,North West,Manchester,,Undefined,Units,Percentage (%),E08000003,5.9
2010.0,North West,Oldham,,Undefined,Units,Percentage (%),E08000004,5.7
2010.0,North West,Rochdale,,Undefined,Units,Percentage (%),E08000005,5.5
2010.0,North West,Salford,,Undefined,Units,Percentage (%),E08000006,5.9
2010.0,North West,Stockport,,Undefined,Units,Percentage (%),E08000007,5.7
2010.0,North West,Tameside,,Undefined,Units,Percentage (%),E08000008,5.8
2010.0,North West,Trafford,,Undefined,Units,Percentage (%),E08000009,5.6
2010.0,North West,Wigan,,Undefined,Units,Percentage (%),E08000010,5.2
2010.0,North West,Knowsley,,Undefined,Units,Percentage (%),E08000011,5.5
2010.0,North West,Liverpool,,Undefined,Units,Percentage (%),E08000012,5.4
2010.0,North West,St. Helens,,Undefined,Units,Percentage (%),E08000013,5.5
2010.0,North West,Sefton,,Undefined,Units,Percentage (%),E08000014,4.6
2010.0,North West,Wirral,,Undefined,Units,Percentage (%),E08000015,4.7
2010.0,Yorkshire and the Humber,Barnsley,,Undefined,Units,Percentage (%),E08000016,5.4
2010.0,Yorkshire and the Humber,Doncaster,,Undefined,Units,Percentage (%),E08000017,5.6
2010.0,Yorkshire and the Humber,Rotherham,,Undefined,Units,Percentage (%),E08000018,5.7
2010.0,Yorkshire and the Humber,Sheffield,,Undefined,Units,Percentage (%),E08000019,5.5
2010.0,North East,Newcastle upon Tyne,,Undefined,Units,Percentage (%),E08000021,4.9
2010.0,North East,North Tyneside,,Undefined,Units,Percentage (%),E08000022,4.8
2010.0,North East,South Tyneside,,Undefined,Units,Percentage (%),E08000023,5.0
2010.0,North East,Sunderland,,Undefined,Units,Percentage (%),E08000024,5.0
2010.0,West Midlands,Birmingham,,Undefined,Units,Percentage (%),E08000025,6.4
2010.0,West Midlands,Coventry,,Undefined,Units,Percentage (%),E08000026,6.2
2010.0,West Midlands,Dudley,,Undefined,Units,Percentage (%),E08000027,5.9
2010.0,West Midlands,Sandwell,,Undefined,Units,Percentage (%),E08000028,6.9
2010.0,West Midlands,Solihull,,Undefined,Units,Percentage (%),E08000029,6.0
2010.0,West Midlands,Walsall,,Undefined,Units,Percentage (%),E08000030,6.4
2010.0,West Midlands,Wolverhampton,,Undefined,Units,Percentage (%),E08000031,5.8
2010.0,Yorkshire and the Humber,Bradford,,Undefined,Units,Percentage (%),E08000032,5.3
2010.0,Yorkshire and the Humber,Calderdale,,Undefined,Units,Percentage (%),E08000033,5.0
2010.0,Yorkshire and the Humber,Kirklees,,Undefined,Units,Percentage (%),E08000034,5.4
2010.0,Yorkshire and the Humber,Leeds,,Undefined,Units,Percentage (%),E08000035,5.5
2010.0,Yorkshire and the Humber,Wakefield,,Undefined,Units,Percentage (%),E08000036,5.7
2010.0,North East,Gateshead,,Undefined,Units,Percentage (%),E08000037,4.9
2010.0,London,City of London,,Undefined,Units,Percentage (%),E09000001,9.0
2010.0,London,Barking and Dagenham,,Undefined,Units,Percentage (%),E09000002,7.1
2010.0,London,Barnet,,Undefined,Units,Percentage (%),E09000003,6.8
2010.0,London,Bexley,,Undefined,Units,Percentage (%),E09000004,6.6
2010.0,London,Brent,,Undefined,Units,Percentage (%),E09000005,7.2
2010.0,London,Bromley,,Undefined,Units,Percentage (%),E09000006,6.3
2010.0,London,Camden,,Undefined,Units,Percentage (%),E09000007,7.7
2010.0,London,Croydon,,Undefined,Units,Percentage (%),E09000008,6.5
2010.0,London,Ealing,,Undefined,Units,Percentage (%),E09000009,7.2
2010.0,London,Enfield,,Undefined,Units,Percentage (%),E09000010,6.6
2010.0,London,Greenwich,,Undefined,Units,Percentage (%),E09000011,7.2
2010.0,London,Hackney,,Undefined,Units,Percentage (%),E09000012,7.8
2010.0,London,Hammersmith and Fulham,,Undefined,Units,Percentage (%),E09000013,7.9
2010.0,London,Haringey,,Undefined,Units,Percentage (%),E09000014,7.1
2010.0,London,Harrow,,Undefined,Units,Percentage (%),E09000015,6.4
2010.0,London,Havering,,Undefined,Units,Percentage (%),E09000016,6.3
2010.0,London,Hillingdon,,Undefined,Units,Percentage (%),E09000017,6.5
2010.0,London,Hounslow,,Undefined,Units,Percentage (%),E09000018,7.1
2010.0,London,Islington,,Undefined,Units,Percentage (%),E09000019,7.9
2010.0,London,Kensington and Chelsea,,Undefined,Units,Percentage (%),E09000020,8.3
2010.0,London,Kingston upon Thames,,Undefined,Units,Percentage (%),E09000021,6.7
2010.0,London,Lambeth,,Undefined,Units,Percentage (%),E09000022,7.7
2010.0,London,Lewisham,,Undefined,Units,Percentage (%),E09000023,7.2
2010.0,London,Merton,,Undefined,Units,Percentage (%),E09000024,6.9
2010.0,London,Newham,,Undefined,Units,Percentage (%),E09000025,7.6
2010.0,London,Redbridge,,Undefined,Units,Percentage (%),E09000026,7.0
2010.0,London,Richmond upon Thames,,Undefined,Units,Percentage (%),E09000027,6.8
2010.0,London,Southwark,,Undefined,Units,Percentage (%),E09000028,7.9
2010.0,London,Sutton,,Undefined,Units,Percentage (%),E09000029,6.4
2010.0,London,Tower Hamlets,,Undefined,Units,Percentage (%),E09000030,8.1
2010.0,London,Waltham Forest,,Undefined,Units,Percentage (%),E09000031,7.3
2010.0,London,Wandsworth,,Undefined,Units,Percentage (%),E09000032,7.3
2010.0,London,Westminster,,Undefined,Units,Percentage (%),E09000033,8.3
2010.0,South East,,Buckinghamshire,Undefined,Units,Percentage (%),E10000002,5.6
2010.0,East of England,,Cambridgeshire,Undefined,Units,Percentage (%),E10000003,5.5
2010.0,North West,,Cumbria,Undefined,Units,Percentage (%),E10000006,3.6
2010.0,East Midlands,,Derbyshire,Undefined,Units,Percentage (%),E10000007,5.4
2010.0,South West,,Devon,Undefined,Units,Percentage (%),E10000008,3.9
2010.0,South West,,Dorset,Undefined,Units,Percentage (%),E10000009,4.4
2010.0,South East,,East Sussex,Undefined,Units,Percentage (%),E10000011,4.8
2010.0,East of England,,Essex,Undefined,Units,Percentage (%),E10000012,5.7
2010.0,South West,,Gloucestershire,Undefined,Units,Percentage (%),E10000013,5.0
2010.0,South East,,Hampshire,Undefined,Units,Percentage (%),E10000014,5.3
2010.0,East of England,,Hertfordshire,Undefined,Units,Percentage (%),E10000015,5.8
2010.0,South East,,Kent,Undefined,Units,Percentage (%),E10000016,5.6
2010.0,North West,,Lancashire,Undefined,Units,Percentage (%),E10000017,4.6
2010.0,East Midlands,,Leicestershire,Undefined,Units,Percentage (%),E10000018,5.7
2010.0,East Midlands,,Lincolnshire,Undefined,Units,Percentage (%),E10000019,5.2
2010.0,East of England,,Norfolk,Undefined,Units,Percentage (%),E10000020,5.0
2010.0,East Midlands,,Northamptonshire,Undefined,Units,Percentage (%),E10000021,5.7
2010.0,Yorkshire and the Humber,,North Yorkshire,Undefined,Units,Percentage (%),E10000023,4.3
2010.0,East Midlands,,Nottinghamshire,Undefined,Units,Percentage (%),E10000024,5.7
2010.0,South East,,Oxfordshire,Undefined,Units,Percentage (%),E10000025,5.6
2010.0,South West,,Somerset,Undefined,Units,Percentage (%),E10000027,4.4
2010.0,West Midlands,,Staffordshire,Undefined,Units,Percentage (%),E10000028,5.2
2010.0,East of England,,Suffolk,Undefined,Units,Percentage (%),E10000029,5.3
2010.0,South East,,Surrey,Undefined,Units,Percentage (%),E10000030,5.7
2010.0,West Midlands,,Warwickshire,Undefined,Units,Percentage (%),E10000031,5.5
2010.0,South East,,West Sussex,Undefined,Units,Percentage (%),E10000032,5.0
2010.0,West Midlands,,Worcestershire,Undefined,Units,Percentage (%),E10000034,5.2
2011.0,,,,Undefined,Units,Percentage (%),,5.4
2011.0,North East,,,Undefined,Units,Percentage (%),E12000001,4.1
2011.0,North West,,,Undefined,Units,Percentage (%),E12000002,4.6
2011.0,Yorkshire and the Humber,,,Undefined,Units,Percentage (%),E12000003,5.0
2011.0,East Midlands,,,Undefined,Units,Percentage (%),E12000004,5.3
2011.0,West Midlands,,,Undefined,Units,Percentage (%),E12000005,5.3
2011.0,East of England,,,Undefined,Units,Percentage (%),E12000006,5.5
2011.0,London,,,Undefined,Units,Percentage (%),E12000007,7.2
2011.0,South East,,,Undefined,Units,Percentage (%),E12000008,5.5
2011.0,South West,,,Undefined,Units,Percentage (%),E12000009,4.4
2011.0,North East,Hartlepool,,Undefined,Units,Percentage (%),E06000001,4.2
2011.0,North East,Middlesbrough,,Undefined,Units,Percentage (%),E06000002,4.4
2011.0,North East,Redcar and Cleveland,,Undefined,Units,Percentage (%),E06000003,4.0
2011.0,North East,Stockton-on-Tees,,Undefined,Units,Percentage (%),E06000004,4.2
2011.0,North East,Darlington,,Undefined,Units,Percentage (%),E06000005,4.0
2011.0,North West,Halton,,Undefined,Units,Percentage (%),E06000006,4.9
2011.0,North West,Warrington,,Undefined,Units,Percentage (%),E06000007,4.9
2011.0,North West,Blackburn with Darwen,,Undefined,Units,Percentage (%),E06000008,4.5
2011.0,North West,Blackpool,,Undefined,Units,Percentage (%),E06000009,3.6
2011.0,Yorkshire and the Humber,Kingston upon Hull,,Undefined,Units,Percentage (%),E06000010,5.6
2011.0,Yorkshire and the Humber,East Riding of Yorkshire,,Undefined,Units,Percentage (%),E06000011,4.7
2011.0,Yorkshire and the Humber,North East Lincolnshire,,Undefined,Units,Percentage (%),E06000012,5.0
2011.0,Yorkshire and the Humber,North Lincolnshire,,Undefined,Units,Percentage (%),E06000013,5.2
2011.0,Yorkshire and the Humber,York,,Undefined,Units,Percentage (%),E06000014,4.5
2011.0,East Midlands,Derby,,Undefined,Units,Percentage (%),E06000015,5.6
2011.0,East Midlands,Leicester,,Undefined,Units,Percentage (%),E06000016,6.2
2011.0,East Midlands,Rutland,,Undefined,Units,Percentage (%),E06000017,4.9
2011.0,East Midlands,Nottingham,,Undefined,Units,Percentage (%),E06000018,5.9
2011.0,West Midlands,Herefordshire,,Undefined,Units,Percentage (%),E06000019,4.0
2011.0,West Midlands,Telford and Wrekin,,Undefined,Units,Percentage (%),E06000020,4.4
2011.0,West Midlands,Stoke-on-Trent,,Undefined,Units,Percentage (%),E06000021,5.2
2011.0,South West,Bath and North East Somerset,,Undefined,Units,Percentage (%),E06000022,4.7
2011.0,South West,Bristol,,Undefined,Units,Percentage (%),E06000023,5.3
2011.0,South West,North Somerset,,Undefined,Units,Percentage (%),E06000024,4.3
2011.0,South West,South Gloucestershire,,Undefined,Units,Percentage (%),E06000025,5.2
2011.0,South West,Plymouth,,Undefined,Units,Percentage (%),E06000026,4.3
2011.0,South West,Torbay,,Undefined,Units,Percentage (%),E06000027,3.9
2011.0,South West,Bournemouth,,Undefined,Units,Percentage (%),E06000028,4.9
2011.0,South West,Poole,,Undefined,Units,Percentage (%),E06000029,4.9
2011.0,South West,Swindon,,Undefined,Units,Percentage (%),E06000030,5.5
2011.0,East of England,Peterborough,,Undefined,Units,Percentage (%),E06000031,5.5
2011.0,East of England,Luton,,Undefined,Units,Percentage (%),E06000032,6.4
2011.0,East of England,Southend-on-Sea,,Undefined,Units,Percentage (%),E06000033,5.7
2011.0,East of England,Thurrock,,Undefined,Units,Percentage (%),E06000034,6.3
2011.0,South East,Medway,,Undefined,Units,Percentage (%),E06000035,5.8
2011.0,South East,Bracknell Forest,,Undefined,Units,Percentage (%),E06000036,5.7
2011.0,South East,West Berkshire,,Undefined,Units,Percentage (%),E06000037,5.6
2011.0,South East,Reading,,Undefined,Units,Percentage (%),E06000038,6.0
2011.0,South East,Slough,,Undefined,Units,Percentage (%),E06000039,6.8
2011.0,South East,Windsor and Maidenhead,,Undefined,Units,Percentage (%),E06000040,6.1
2011.0,South East,Wokingham,,Undefined,Units,Percentage (%),E06000041,5.9
2011.0,South East,Milton Keynes,,Undefined,Units,Percentage (%),E06000042,5.7
2011.0,South East,Brighton and Hove,,Undefined,Units,Percentage (%),E06000043,5.6
2011.0,South East,Portsmouth,,Undefined,Units,Percentage (%),E06000044,5.9
2011.0,South East,Southampton,,Undefined,Units,Percentage (%),E06000045,6.3
2011.0,South East,Isle of Wight,,Undefined,Units,Percentage (%),E06000046,4.6
2011.0,North East,County Durham,,Undefined,Units,Percentage (%),E06000047,3.8
2011.0,North West,Cheshire East,,Undefined,Units,Percentage (%),E06000049,4.5
2011.0,North West,Cheshire West and Chester,,Undefined,Units,Percentage (%),E06000050,4.2
2011.0,West Midlands,Shropshire,,Undefined,Units,Percentage (%),E06000051,3.8
2011.0,South West,Cornwall,,Undefined,Units,Percentage (%),E06000052,3.4
2011.0,South West,Wiltshire,,Undefined,Units,Percentage (%),E06000054,4.8
2011.0,East of England,Bedford,,Undefined,Units,Percentage (%),E06000055,5.6
2011.0,East of England,Central Bedfordshire,,Undefined,Units,Percentage (%),E06000056,5.6
2011.0,North East,Northumberland,,Undefined,Units,Percentage (%),E06000057,3.4
2011.0,North West,Bolton,,Undefined,Units,Percentage (%),E08000001,5.0
2011.0,North West,Bury,,Undefined,Units,Percentage (%),E08000002,5.2
2011.0,North West,Manchester,,Undefined,Units,Percentage (%),E08000003,5.4
2011.0,North West,Oldham,,Undefined,Units,Percentage (%),E08000004,5.3
2011.0,North West,Rochdale,,Undefined,Units,Percentage (%),E08000005,5.2
2011.0,North West,Salford,,Undefined,Units,Percentage (%),E08000006,5.5
2011.0,North West,Stockport,,Undefined,Units,Percentage (%),E08000007,5.2
2011.0,North West,Tameside,,Undefined,Units,Percentage (%),E08000008,5.4
2011.0,North West,Trafford,,Undefined,Units,Percentage (%),E08000009,5.1
2011.0,North West,Wigan,,Undefined,Units,Percentage (%),E08000010,4.8
2011.0,North West,Knowsley,,Undefined,Units,Percentage (%),E08000011,4.9
2011.0,North West,Liverpool,,Undefined,Units,Percentage (%),E08000012,4.7
2011.0,North West,St. Helens,,Undefined,Units,Percentage (%),E08000013,4.9
2011.0,North West,Sefton,,Undefined,Units,Percentage (%),E08000014,4.1
2011.0,North West,Wirral,,Undefined,Units,Percentage (%),E08000015,4.0
2011.0,Yorkshire and the Humber,Barnsley,,Undefined,Units,Percentage (%),E08000016,5.1
2011.0,Yorkshire and the Humber,Doncaster,,Undefined,Units,Percentage (%),E08000017,5.3
2011.0,Yorkshire and the Humber,Rotherham,,Undefined,Units,Percentage (%),E08000018,5.4
2011.0,Yorkshire and the Humber,Sheffield,,Undefined,Units,Percentage (%),E08000019,5.1
2011.0,North East,Newcastle upon Tyne,,Undefined,Units,Percentage (%),E08000021,4.3
2011.0,North East,North Tyneside,,Undefined,Units,Percentage (%),E08000022,4.3
2011.0,North East,South Tyneside,,Undefined,Units,Percentage (%),E08000023,4.4
2011.0,North East,Sunderland,,Undefined,Units,Percentage (%),E08000024,4.3
2011.0,West Midlands,Birmingham,,Undefined,Units,Percentage (%),E08000025,5.9
2011.0,West Midlands,Coventry,,Undefined,Units,Percentage (%),E08000026,5.8
2011.0,West Midlands,Dudley,,Undefined,Units,Percentage (%),E08000027,5.3
2011.0,West Midlands,Sandwell,,Undefined,Units,Percentage (%),E08000028,6.2
2011.0,West Midlands,Solihull,,Undefined,Units,Percentage (%),E08000029,5.6
2011.0,West Midlands,Walsall,,Undefined,Units,Percentage (%),E08000030,6.0
2011.0,West Midlands,Wolverhampton,,Undefined,Units,Percentage (%),E08000031,5.4
2011.0,Yorkshire and the Humber,Bradford,,Undefined,Units,Percentage (%),E08000032,4.9
2011.0,Yorkshire and the Humber,Calderdale,,Undefined,Units,Percentage (%),E08000033,4.7
2011.0,Yorkshire and the Humber,Kirklees,,Undefined,Units,Percentage (%),E08000034,5.0
2011.0,Yorkshire and the Humber,Leeds,,Undefined,Units,Percentage (%),E08000035,5.2
2011.0,Yorkshire and the Humber,Wakefield,,Undefined,Units,Percentage (%),E08000036,5.3
2011.0,North East,Gateshead,,Undefined,Units,Percentage (%),E08000037,4.2
2011.0,London,City of London,,Undefined,Units,Percentage (%),E09000001,8.9
2011.0,London,Barking and Dagenham,,Undefined,Units,Percentage (%),E09000002,7.0
2011.0,London,Barnet,,Undefined,Units,Percentage (%),E09000003,7.0
2011.0,London,Bexley,,Undefined,Units,Percentage (%),E09000004,6.5
2011.0,London,Brent,,Undefined,Units,Percentage (%),E09000005,7.5
2011.0,London,Bromley,,Undefined,Units,Percentage (%),E09000006,6.1
2011.0,London,Camden,,Undefined,Units,Percentage (%),E09000007,7.9
2011.0,London,Croydon,,Undefined,Units,Percentage (%),E09000008,6.4
2011.0,London,Ealing,,Undefined,Units,Percentage (%),E09000009,7.3
2011.0,London,Enfield,,Undefined,Units,Percentage (%),E09000010,6.9
2011.0,London,Greenwich,,Undefined,Units,Percentage (%),E09000011,6.9
2011.0,London,Hackney,,Undefined,Units,Percentage (%),E09000012,8.0
2011.0,London,Hammersmith and Fulham,,Undefined,Units,Percentage (%),E09000013,7.9
2011.0,London,Haringey,,Undefined,Units,Percentage (%),E09000014,7.3
2011.0,London,Harrow,,Undefined,Units,Percentage (%),E09000015,6.7
2011.0,London,Havering,,Undefined,Units,Percentage (%),E09000016,6.3
2011.0,London,Hillingdon,,Undefined,Units,Percentage (%),E09000017,6.9
2011.0,London,Hounslow,,Undefined,Units,Percentage (%),E09000018,7.1
2011.0,London,Islington,,Undefined,Units,Percentage (%),E09000019,8.1
2011.0,London,Kensington and Chelsea,,Undefined,Units,Percentage (%),E09000020,8.3
2011.0,London,Kingston upon Thames,,Undefined,Units,Percentage (%),E09000021,6.7
2011.0,London,Lambeth,,Undefined,Units,Percentage (%),E09000022,7.5
2011.0,London,Lewisham,,Undefined,Units,Percentage (%),E09000023,7.0
2011.0,London,Merton,,Undefined,Units,Percentage (%),E09000024,6.8
2011.0,London,Newham,,Undefined,Units,Percentage (%),E09000025,7.6
2011.0,London,Redbridge,,Undefined,Units,Percentage (%),E09000026,7.1
2011.0,London,Richmond upon Thames,,Undefined,Units,Percentage (%),E09000027,6.8
2011.0,London,Southwark,,Undefined,Units,Percentage (%),E09000028,7.7
2011.0,London,Sutton,,Undefined,Units,Percentage (%),E09000029,6.4
2011.0,London,Tower Hamlets,,Undefined,Units,Percentage (%),E09000030,8.1
2011.0,London,Waltham Forest,,Undefined,Units,Percentage (%),E09000031,7.4
2011.0,London,Wandsworth,,Undefined,Units,Percentage (%),E09000032,7.2
2011.0,London,Westminster,,Undefined,Units,Percentage (%),E09000033,8.3
2011.0,South East,,Buckinghamshire,Undefined,Units,Percentage (%),E10000002,5.8
2011.0,East of England,,Cambridgeshire,Undefined,Units,Percentage (%),E10000003,5.4
2011.0,North West,,Cumbria,Undefined,Units,Percentage (%),E10000006,3.0
2011.0,East Midlands,,Derbyshire,Undefined,Units,Percentage (%),E10000007,4.9
2011.0,South West,,Devon,Undefined,Units,Percentage (%),E10000008,3.7
2011.0,South West,,Dorset,Undefined,Units,Percentage (%),E10000009,4.4
2011.0,South East,,East Sussex,Undefined,Units,Percentage (%),E10000011,4.9
2011.0,East of England,,Essex,Undefined,Units,Percentage (%),E10000012,5.6
2011.0,South West,,Gloucestershire,Undefined,Units,Percentage (%),E10000013,4.7
2011.0,South East,,Hampshire,Undefined,Units,Percentage (%),E10000014,5.4
2011.0,East of England,,Hertfordshire,Undefined,Units,Percentage (%),E10000015,6.0
2011.0,South East,,Kent,Undefined,Units,Percentage (%),E10000016,5.4
2011.0,North West,,Lancashire,Undefined,Units,Percentage (%),E10000017,4.1
2011.0,East Midlands,,Leicestershire,Undefined,Units,Percentage (%),E10000018,5.3
2011.0,East Midlands,,Lincolnshire,Undefined,Units,Percentage (%),E10000019,4.9
2011.0,East of England,,Norfolk,Undefined,Units,Percentage (%),E10000020,4.8
2011.0,East Midlands,,Northamptonshire,Undefined,Units,Percentage (%),E10000021,5.5
2011.0,Yorkshire and the Humber,,North Yorkshire,Undefined,Units,Percentage (%),E10000023,4.1
2011.0,East Midlands,,Nottinghamshire,Undefined,Units,Percentage (%),E10000024,5.3
2011.0,South East,,Oxfordshire,Undefined,Units,Percentage (%),E10000025,5.5
2011.0,South West,,Somerset,Undefined,Units,Percentage (%),E10000027,4.3
2011.0,West Midlands,,Staffordshire,Undefined,Units,Percentage (%),E10000028,4.9
2011.0,East of England,,Suffolk,Undefined,Units,Percentage (%),E10000029,5.1
2011.0,South East,,Surrey,Undefined,Units,Percentage (%),E10000030,5.8
2011.0,West Midlands,,Warwickshire,Undefined,Units,Percentage (%),E10000031,5.2
2011.0,South East,,West Sussex,Undefined,Units,Percentage (%),E10000032,5.2
2011.0,West Midlands,,Worcestershire,Undefined,Units,Percentage (%),E10000034,4.8
2012.0,,,,Undefined,Units,Percentage (%),,5.1
2012.0,North East,,,Undefined,Units,Percentage (%),E12000001,4.1
2012.0,North West,,,Undefined,Units,Percentage (%),E12000002,4.4
2012.0,Yorkshire and the Humber,,,Undefined,Units,Percentage (%),E12000003,4.9
2012.0,East Midlands,,,Undefined,Units,Percentage (%),E12000004,5.2
2012.0,West Midlands,,,Undefined,Units,Percentage (%),E12000005,5.1
2012.0,East of England,,,Undefined,Units,Percentage (%),E12000006,5.3
2012.0,London,,,Undefined,Units,Percentage (%),E12000007,6.6
2012.0,South East,,,Undefined,Units,Percentage (%),E12000008,5.1
2012.0,South West,,,Undefined,Units,Percentage (%),E12000009,4.2
2012.0,North East,Hartlepool,,Undefined,Units,Percentage (%),E06000001,4.2
2012.0,North East,Middlesbrough,,Undefined,Units,Percentage (%),E06000002,4.4
2012.0,North East,Redcar and Cleveland,,Undefined,Units,Percentage (%),E06000003,4.1
2012.0,North East,Stockton-on-Tees,,Undefined,Units,Percentage (%),E06000004,4.2
2012.0,North East,Darlington,,Undefined,Units,Percentage (%),E06000005,4.1
2012.0,North West,Halton,,Undefined,Units,Percentage (%),E06000006,4.8
2012.0,North West,Warrington,,Undefined,Units,Percentage (%),E06000007,4.7
2012.0,North West,Blackburn with Darwen,,Undefined,Units,Percentage (%),E06000008,4.3
2012.0,North West,Blackpool,,Undefined,Units,Percentage (%),E06000009,3.4
2012.0,Yorkshire and the Humber,Kingston upon Hull,,Undefined,Units,Percentage (%),E06000010,5.4
2012.0,Yorkshire and the Humber,East Riding of Yorkshire,,Undefined,Units,Percentage (%),E06000011,4.9
2012.0,Yorkshire and the Humber,North East Lincolnshire,,Undefined,Units,Percentage (%),E06000012,5.0
