Year,Series,Country income classification,Sector,Type of study,Units,Observation status,Value
2015,"Total official flows for scholarships, by recipient countries",Other LICs,,,Constant USD ($ thousands),Normal value,2285.044
2017,"Total official flows for scholarships, by recipient countries",Other LICs,,,GBP (£ thousands),Normal value,866.333
2018,"Total official flows for scholarships, by recipient countries",Other LICs,,,GBP (£ thousands),Normal value,711.531
2019,"Total official flows for scholarships, by recipient countries",Other LICs,,,GBP (£ thousands),Normal value,965.236
2020,"Total official flows for scholarships, by recipient countries",Other LICs,,,GBP (£ thousands),Normal value,455.112
2021,"Total official flows for scholarships, by recipient countries",Other LICs,,,GBP (£ thousands),Normal value,455.406
2017,"Total official flows for scholarships, by recipient countries",Other LICs,,,Constant USD ($ thousands),Normal value,1223.948
2018,"Total official flows for scholarships, by recipient countries",Other LICs,,,Constant USD ($ thousands),Normal value,985.544
2019,"Total official flows for scholarships, by recipient countries",Other LICs,,,Constant USD ($ thousands),Normal value,1310.541
2020,"Total official flows for scholarships, by recipient countries",Other LICs,,,Constant USD ($ thousands),Normal value,583.701
2021,"Total official flows for scholarships, by recipient countries",Other LICs,,,Constant USD ($ thousands),Normal value,579.426
2009,"Total official flows for scholarships, by recipient countries",UMICs,,,GBP (£ thousands),Normal value,0.12
2010,"Total official flows for scholarships, by recipient countries",UMICs,,,GBP (£ thousands),Normal value,31.32
2011,"Total official flows for scholarships, by recipient countries",UMICs,,,GBP (£ thousands),Normal value,4145.82
2012,"Total official flows for scholarships, by recipient countries",UMICs,,,GBP (£ thousands),Normal value,10790.3
2013,"Total official flows for scholarships, by recipient countries",UMICs,,,GBP (£ thousands),Normal value,7815.06
2014,"Total official flows for scholarships, by recipient countries",UMICs,,,GBP (£ thousands),Normal value,8874.31
2015,"Total official flows for scholarships, by recipient countries",UMICs,,,GBP (£ thousands),Normal value,21468.73
2016,"Total official flows for scholarships, by recipient countries",UMICs,,,GBP (£ thousands),Normal value,3544.69
2009,"Total official flows for scholarships, by recipient countries",UMICs,,,Constant USD ($ thousands),Normal value,0.193
2010,"Total official flows for scholarships, by recipient countries",UMICs,,,Constant USD ($ thousands),Normal value,49.707
2011,"Total official flows for scholarships, by recipient countries",UMICs,,,Constant USD ($ thousands),Normal value,6446.487
2012,"Total official flows for scholarships, by recipient countries",UMICs,,,Constant USD ($ thousands),Normal value,16512.076
2013,"Total official flows for scholarships, by recipient countries",UMICs,,,Constant USD ($ thousands),Normal value,11697.276
2014,"Total official flows for scholarships, by recipient countries",UMICs,,,Constant USD ($ thousands),Normal value,13074.782
2015,"Total official flows for scholarships, by recipient countries",UMICs,,,Constant USD ($ thousands),Normal value,31469.585
2016,"Total official flows for scholarships, by recipient countries",UMICs,,,Constant USD ($ thousands),Normal value,5098.988
2017,"Total official flows for scholarships, by recipient countries",UMICs,,,GBP (£ thousands),Normal value,29993.647
2018,"Total official flows for scholarships, by recipient countries",UMICs,,,GBP (£ thousands),Normal value,28793.89
2019,"Total official flows for scholarships, by recipient countries",UMICs,,,GBP (£ thousands),Normal value,28944.904
2020,"Total official flows for scholarships, by recipient countries",UMICs,,,GBP (£ thousands),Normal value,23754.062
2021,"Total official flows for scholarships, by recipient countries",UMICs,,,GBP (£ thousands),Normal value,24994.85
2017,"Total official flows for scholarships, by recipient countries",UMICs,,,Constant USD ($ thousands),Normal value,42374.756
2018,"Total official flows for scholarships, by recipient countries",UMICs,,,Constant USD ($ thousands),Normal value,39882.485
2019,"Total official flows for scholarships, by recipient countries",UMICs,,,Constant USD ($ thousands),Normal value,39299.724
2020,"Total official flows for scholarships, by recipient countries",UMICs,,,Constant USD ($ thousands),Normal value,30465.643
2021,"Total official flows for scholarships, by recipient countries",UMICs,,,Constant USD ($ thousands),Normal value,31801.675
2009,"Total official flows for scholarships, by recipient countries",Unspecified,,,GBP (£ thousands),Normal value,15424.07
2010,"Total official flows for scholarships, by recipient countries",Unspecified,,,GBP (£ thousands),Normal value,12446.49
2011,"Total official flows for scholarships, by recipient countries",Unspecified,,,GBP (£ thousands),Normal value,142.04
2012,"Total official flows for scholarships, by recipient countries",Unspecified,,,GBP (£ thousands),Normal value,134.93
2013,"Total official flows for scholarships, by recipient countries",Unspecified,,,GBP (£ thousands),Normal value,45.78
2014,"Total official flows for scholarships, by recipient countries",Unspecified,,,GBP (£ thousands),Normal value,34.79
2015,"Total official flows for scholarships, by recipient countries",Unspecified,,,GBP (£ thousands),Normal value,25823.8
2016,"Total official flows for scholarships, by recipient countries",Unspecified,,,GBP (£ thousands),Normal value,86670.06
2009,"Total official flows for scholarships, by recipient countries",Unspecified,,,Constant USD ($ thousands),Normal value,24816.152
2010,"Total official flows for scholarships, by recipient countries",Unspecified,,,Constant USD ($ thousands),Normal value,19753.603
2011,"Total official flows for scholarships, by recipient countries",Unspecified,,,Constant USD ($ thousands),Normal value,220.863
2012,"Total official flows for scholarships, by recipient countries",Unspecified,,,Constant USD ($ thousands),Normal value,206.479
2013,"Total official flows for scholarships, by recipient countries",Unspecified,,,Constant USD ($ thousands),Normal value,68.522
2014,"Total official flows for scholarships, by recipient countries",Unspecified,,,Constant USD ($ thousands),Normal value,51.257
2015,"Total official flows for scholarships, by recipient countries",Unspecified,,,Constant USD ($ thousands),Normal value,37853.393
2016,"Total official flows for scholarships, by recipient countries",Unspecified,,,Constant USD ($ thousands),Normal value,124673.702
2017,"Total official flows for scholarships, by recipient countries",Unspecified,,,GBP (£ thousands),Normal value,28619.11
2018,"Total official flows for scholarships, by recipient countries",Unspecified,,,GBP (£ thousands),Normal value,28047.433
2019,"Total official flows for scholarships, by recipient countries",Unspecified,,,GBP (£ thousands),Normal value,39354.004
2020,"Total official flows for scholarships, by recipient countries",Unspecified,,,GBP (£ thousands),Normal value,24009.798
2021,"Total official flows for scholarships, by recipient countries",Unspecified,,,GBP (£ thousands),Normal value,34206.699
2017,"Total official flows for scholarships, by recipient countries",Unspecified,,,Constant USD ($ thousands),Normal value,40432.821
2018,"Total official flows for scholarships, by recipient countries",Unspecified,,,Constant USD ($ thousands),Normal value,38848.565
2019,"Total official flows for scholarships, by recipient countries",Unspecified,,,Constant USD ($ thousands),Normal value,53432.602
2020,"Total official flows for scholarships, by recipient countries",Unspecified,,,Constant USD ($ thousands),Normal value,30793.636
2021,"Total official flows for scholarships, by recipient countries",Unspecified,,,Constant USD ($ thousands),Normal value,43522.178
2010,"Total official flows for scholarships, by recipient countries",,Economic infrastructure & services,,GBP (£ thousands),Normal value,17.95
2010,"Total official flows for scholarships, by recipient countries",,Economic infrastructure & services,,Constant USD ($ thousands),Normal value,28.488
2009,"Total official flows for scholarships, by recipient countries",,Education,,GBP (£ thousands),Normal value,15428.77
2010,"Total official flows for scholarships, by recipient countries",,Education,,GBP (£ thousands),Normal value,12489.12
2011,"Total official flows for scholarships, by recipient countries",,Education,,GBP (£ thousands),Normal value,8505.37
2012,"Total official flows for scholarships, by recipient countries",,Education,,GBP (£ thousands),Normal value,21624.7
2013,"Total official flows for scholarships, by recipient countries",,Education,,GBP (£ thousands),Normal value,16702.45
2014,"Total official flows for scholarships, by recipient countries",,Education,,GBP (£ thousands),Normal value,17984.9
2015,"Total official flows for scholarships, by recipient countries",,Education,,GBP (£ thousands),Normal value,65132.03
2016,"Total official flows for scholarships, by recipient countries",,Education,,GBP (£ thousands),Normal value,86818.51
2009,"Total official flows for scholarships, by recipient countries",,Education,,Constant USD ($ thousands),Normal value,24823.714
2010,"Total official flows for scholarships, by recipient countries",,Education,,Constant USD ($ thousands),Normal value,19821.26
2011,"Total official flows for scholarships, by recipient countries",,Education,,Constant USD ($ thousands),Normal value,13225.31
2012,"Total official flows for scholarships, by recipient countries",,Education,,Constant USD ($ thousands),Normal value,33091.636
2013,"Total official flows for scholarships, by recipient countries",,Education,,Constant USD ($ thousands),Normal value,24999.573
2014,"Total official flows for scholarships, by recipient countries",,Education,,Constant USD ($ thousands),Normal value,26497.683
2015,"Total official flows for scholarships, by recipient countries",,Education,,Constant USD ($ thousands),Normal value,95472.716
2016,"Total official flows for scholarships, by recipient countries",,Education,,Constant USD ($ thousands),Normal value,124887.246
2017,"Total official flows for scholarships, by recipient countries",,Education,,GBP (£ thousands),Normal value,86374.748
2018,"Total official flows for scholarships, by recipient countries",,Education,,GBP (£ thousands),Normal value,89625.988
2019,"Total official flows for scholarships, by recipient countries",,Education,,GBP (£ thousands),Normal value,99939.788
2020,"Total official flows for scholarships, by recipient countries",,Education,,GBP (£ thousands),Normal value,69049.693
2021,"Total official flows for scholarships, by recipient countries",,Education,,GBP (£ thousands),Normal value,88941.782
2017,"Total official flows for scholarships, by recipient countries",,Education,Advanced technical and managerial training,GBP (£ thousands),Normal value,5995.899
2017,"Total official flows for scholarships, by recipient countries",,Education,Education policy and administrative management,GBP (£ thousands),Normal value,21.563
2017,"Total official flows for scholarships, by recipient countries",,Education,Higher education,GBP (£ thousands),Normal value,80249.449
2017,"Total official flows for scholarships, by recipient countries",,Education,Primary education,GBP (£ thousands),Normal value,86.269
2017,"Total official flows for scholarships, by recipient countries",,Education,Upper secondary education,GBP (£ thousands),Normal value,21.567
2018,"Total official flows for scholarships, by recipient countries",,Education,Advanced technical and managerial training,GBP (£ thousands),Normal value,6663.923
2018,"Total official flows for scholarships, by recipient countries",,Education,Higher education,GBP (£ thousands),Normal value,82906.036
2018,"Total official flows for scholarships, by recipient countries",,Education,Primary education,GBP (£ thousands),Normal value,44.823
2018,"Total official flows for scholarships, by recipient countries",,Education,Upper secondary education,GBP (£ thousands),Normal value,11.206
2019,"Total official flows for scholarships, by recipient countries",,Education,Advanced technical and managerial training,GBP (£ thousands),Normal value,8467.625
2019,"Total official flows for scholarships, by recipient countries",,Education,Higher education,GBP (£ thousands),Normal value,91472.164
2020,"Total official flows for scholarships, by recipient countries",,Education,Advanced technical and managerial training,GBP (£ thousands),Normal value,8296.659
2020,"Total official flows for scholarships, by recipient countries",,Education,Higher education,GBP (£ thousands),Normal value,60753.034
2021,"Total official flows for scholarships, by recipient countries",,Education,Advanced technical and managerial training,GBP (£ thousands),Normal value,5356.913
2021,"Total official flows for scholarships, by recipient countries",,Education,Higher education,GBP (£ thousands),Normal value,83584.869
2017,"Total official flows for scholarships, by recipient countries",,Education,,Constant USD ($ thousands),Normal value,122029.468
2018,"Total official flows for scholarships, by recipient countries",,Education,,Constant USD ($ thousands),Normal value,124141.167
2019,"Total official flows for scholarships, by recipient countries",,Education,,Constant USD ($ thousands),Normal value,135692.493
2020,"Total official flows for scholarships, by recipient countries",,Education,,Constant USD ($ thousands),Normal value,88559.309
2021,"Total official flows for scholarships, by recipient countries",,Education,,Constant USD ($ thousands),Normal value,113163.217
2017,"Total official flows for scholarships, by recipient countries",,Education,Advanced technical and managerial training,Constant USD ($ thousands),Normal value,8470.952
2017,"Total official flows for scholarships, by recipient countries",,Education,Education policy and administrative management,Constant USD ($ thousands),Normal value,30.464
2017,"Total official flows for scholarships, by recipient countries",,Education,Higher education,Constant USD ($ thousands),Normal value,113375.701
2017,"Total official flows for scholarships, by recipient countries",,Education,Primary education,Constant USD ($ thousands),Normal value,121.881
2017,"Total official flows for scholarships, by recipient countries",,Education,Upper secondary education,Constant USD ($ thousands),Normal value,30.47
2018,"Total official flows for scholarships, by recipient countries",,Education,Advanced technical and managerial training,Constant USD ($ thousands),Normal value,9230.215
2018,"Total official flows for scholarships, by recipient countries",,Education,Higher education,Constant USD ($ thousands),Normal value,114833.345
2018,"Total official flows for scholarships, by recipient countries",,Education,Primary education,Constant USD ($ thousands),Normal value,62.085
2018,"Total official flows for scholarships, by recipient countries",,Education,Upper secondary education,Constant USD ($ thousands),Normal value,15.521
2019,"Total official flows for scholarships, by recipient countries",,Education,Advanced technical and managerial training,Constant USD ($ thousands),Normal value,11496.853
2019,"Total official flows for scholarships, by recipient countries",,Education,Higher education,Constant USD ($ thousands),Normal value,124195.639
2020,"Total official flows for scholarships, by recipient countries",,Education,Advanced technical and managerial training,Constant USD ($ thousands),Normal value,10640.835
2020,"Total official flows for scholarships, by recipient countries",,Education,Higher education,Constant USD ($ thousands),Normal value,77918.474
2021,"Total official flows for scholarships, by recipient countries",,Education,Advanced technical and managerial training,Constant USD ($ thousands),Normal value,6815.757
2021,"Total official flows for scholarships, by recipient countries",,Education,Higher education,Constant USD ($ thousands),Normal value,106347.46
2010,"Total official flows for scholarships, by recipient countries",,Government and civil society,,GBP (£ thousands),Normal value,47.08
2011,"Total official flows for scholarships, by recipient countries",,Government and civil society,,GBP (£ thousands),Normal value,51.84
2012,"Total official flows for scholarships, by recipient countries",,Government and civil society,,GBP (£ thousands),Normal value,303.79
2013,"Total official flows for scholarships, by recipient countries",,Government and civil society,,GBP (£ thousands),Normal value,277.07
2014,"Total official flows for scholarships, by recipient countries",,Government and civil society,,GBP (£ thousands),Normal value,317.87
2015,"Total official flows for scholarships, by recipient countries",,Government and civil society,,GBP (£ thousands),Normal value,131.38
2016,"Total official flows for scholarships, by recipient countries",,Government and civil society,,GBP (£ thousands),Normal value,179.36
2010,"Total official flows for scholarships, by recipient countries",,Government and civil society,,Constant USD ($ thousands),Normal value,74.72
2011,"Total official flows for scholarships, by recipient countries",,Government and civil society,,Constant USD ($ thousands),Normal value,80.608
2012,"Total official flows for scholarships, by recipient countries",,Government and civil society,,Constant USD ($ thousands),Normal value,464.881
2013,"Total official flows for scholarships, by recipient countries",,Government and civil society,,Constant USD ($ thousands),Normal value,414.708
2014,"Total official flows for scholarships, by recipient countries",,Government and civil society,,Constant USD ($ thousands),Normal value,468.327
2015,"Total official flows for scholarships, by recipient countries",,Government and civil society,,Constant USD ($ thousands),Normal value,192.581
2016,"Total official flows for scholarships, by recipient countries",,Government and civil society,,Constant USD ($ thousands),Normal value,258.007
2017,"Total official flows for scholarships, by recipient countries",,Government and civil society,,GBP (£ thousands),Normal value,183.75
2018,"Total official flows for scholarships, by recipient countries",,Government and civil society,,GBP (£ thousands),Normal value,178.942
2017,"Total official flows for scholarships, by recipient countries",,Government and civil society,,Constant USD ($ thousands),Normal value,259.6
2018,"Total official flows for scholarships, by recipient countries",,Government and civil society,,Constant USD ($ thousands),Normal value,247.853
2015,"Total official flows for scholarships, by recipient countries",,Health,,GBP (£ thousands),Normal value,134.24
2016,"Total official flows for scholarships, by recipient countries",,Health,,GBP (£ thousands),Normal value,66.07
2015,"Total official flows for scholarships, by recipient countries",,Health,,Constant USD ($ thousands),Normal value,196.773
2016,"Total official flows for scholarships, by recipient countries",,Health,,Constant USD ($ thousands),Normal value,95.041
2014,"Total official flows for scholarships, by recipient countries",,Multisector,,GBP (£ thousands),Normal value,69.23
2015,"Total official flows for scholarships, by recipient countries",,Multisector,,GBP (£ thousands),Normal value,3192.45
2016,"Total official flows for scholarships, by recipient countries",,Multisector,,GBP (£ thousands),Normal value,3584.76
2014,"Total official flows for scholarships, by recipient countries",,Multisector,,Constant USD ($ thousands),Normal value,101.999
2015,"Total official flows for scholarships, by recipient countries",,Multisector,,Constant USD ($ thousands),Normal value,4679.6
2016,"Total official flows for scholarships, by recipient countries",,Multisector,,Constant USD ($ thousands),Normal value,5156.628
2017,"Total official flows for scholarships, by recipient countries",,Multisector / Cross-Cutting,,GBP (£ thousands),Normal value,4774.304
2018,"Total official flows for scholarships, by recipient countries",,Multisector / Cross-Cutting,,GBP (£ thousands),Normal value,3690.565
2019,"Total official flows for scholarships, by recipient countries",,Multisector / Cross-Cutting,,GBP (£ thousands),Normal value,2903.231
2020,"Total official flows for scholarships, by recipient countries",,Multisector / Cross-Cutting,,GBP (£ thousands),Normal value,3472.229
2021,"Total official flows for scholarships, by recipient countries",,Multisector / Cross-Cutting,,GBP (£ thousands),Normal value,2044.914
2017,"Total official flows for scholarships, by recipient countries",,Multisector / Cross-Cutting,,Constant USD ($ thousands),Normal value,6745.094
2018,"Total official flows for scholarships, by recipient countries",,Multisector / Cross-Cutting,,Constant USD ($ thousands),Normal value,5111.811
2019,"Total official flows for scholarships, by recipient countries",,Multisector / Cross-Cutting,,Constant USD ($ thousands),Normal value,3941.841
2020,"Total official flows for scholarships, by recipient countries",,Multisector / Cross-Cutting,,Constant USD ($ thousands),Normal value,4453.289
2021,"Total official flows for scholarships, by recipient countries",,Multisector / Cross-Cutting,,Constant USD ($ thousands),Normal value,2601.803
2009,"Total official flows for scholarships, by recipient countries",,Other social infrastructure and services,,GBP (£ thousands),Normal value,30.0
2009,"Total official flows for scholarships, by recipient countries",,Other social infrastructure and services,,Constant USD ($ thousands),Normal value,48.268
2017,"Total official flows for scholarships, by recipient countries",,Production sectors,,GBP (£ thousands),Normal value,3199.697
2018,"Total official flows for scholarships, by recipient countries",,Production sectors,,GBP (£ thousands),Normal value,2461.224
2019,"Total official flows for scholarships, by recipient countries",,Production sectors,,GBP (£ thousands),Normal value,2735.813
2020,"Total official flows for scholarships, by recipient countries",,Production sectors,,GBP (£ thousands),Normal value,5755.395
2021,"Total official flows for scholarships, by recipient countries",,Production sectors,,GBP (£ thousands),Normal value,1662.623
2017,"Total official flows for scholarships, by recipient countries",,Production sectors,,Constant USD ($ thousands),Normal value,4520.504
2018,"Total official flows for scholarships, by recipient countries",,Production sectors,,Constant USD ($ thousands),Normal value,3409.047
2019,"Total official flows for scholarships, by recipient countries",,Production sectors,,Constant USD ($ thousands),Normal value,3714.529
2020,"Total official flows for scholarships, by recipient countries",,Production sectors,,Constant USD ($ thousands),Normal value,7381.551
2021,"Total official flows for scholarships, by recipient countries",,Production sectors,,Constant USD ($ thousands),Normal value,2115.404
2015,"Total official flows for scholarships, by recipient countries",,Production services,,GBP (£ thousands),Normal value,1486.44
2016,"Total official flows for scholarships, by recipient countries",,Production services,,GBP (£ thousands),Normal value,2260.72
2015,"Total official flows for scholarships, by recipient countries",,Production services,,Constant USD ($ thousands),Normal value,2178.874
2016,"Total official flows for scholarships, by recipient countries",,Production services,,Constant USD ($ thousands),Normal value,3252.015
2009,"Total official flows for scholarships, by recipient countries",,,,GBP (£ thousands),Normal value,15458.77
2010,"Total official flows for scholarships, by recipient countries",,,,GBP (£ thousands),Normal value,12554.15
2011,"Total official flows for scholarships, by recipient countries",,,,GBP (£ thousands),Normal value,8557.21
2012,"Total official flows for scholarships, by recipient countries",,,,GBP (£ thousands),Normal value,21928.49
2013,"Total official flows for scholarships, by recipient countries",,,,GBP (£ thousands),Normal value,16979.52
2014,"Total official flows for scholarships, by recipient countries",,,,GBP (£ thousands),Normal value,18372.0
2015,"Total official flows for scholarships, by recipient countries",,,,GBP (£ thousands),Normal value,70076.54
2016,"Total official flows for scholarships, by recipient countries",,,,GBP (£ thousands),Normal value,92909.42
2009,"Total official flows for scholarships, by recipient countries",,,,Constant USD ($ thousands),Normal value,24871.982
2010,"Total official flows for scholarships, by recipient countries",,,,Constant USD ($ thousands),Normal value,19924.468
2011,"Total official flows for scholarships, by recipient countries",,,,Constant USD ($ thousands),Normal value,13305.918
2012,"Total official flows for scholarships, by recipient countries",,,,Constant USD ($ thousands),Normal value,33556.517
2013,"Total official flows for scholarships, by recipient countries",,,,Constant USD ($ thousands),Normal value,25414.28
2014,"Total official flows for scholarships, by recipient countries",,,,Constant USD ($ thousands),Normal value,27068.009
2015,"Total official flows for scholarships, by recipient countries",,,,Constant USD ($ thousands),Normal value,102720.544
2016,"Total official flows for scholarships, by recipient countries",,,,Constant USD ($ thousands),Normal value,133648.937
2017,"Total official flows for scholarships, by recipient countries",,,,GBP (£ thousands),Normal value,94532.499
2018,"Total official flows for scholarships, by recipient countries",,,,GBP (£ thousands),Normal value,95956.719
2019,"Total official flows for scholarships, by recipient countries",,,,GBP (£ thousands),Normal value,105578.833
2020,"Total official flows for scholarships, by recipient countries",,,,GBP (£ thousands),Normal value,78277.318
2021,"Total official flows for scholarships, by recipient countries",,,,GBP (£ thousands),Normal value,92649.319
2017,"Total official flows for scholarships, by recipient countries",,,,Constant USD ($ thousands),Normal value,133554.667
2018,"Total official flows for scholarships, by recipient countries",,,,Constant USD ($ thousands),Normal value,132909.878
2019,"Total official flows for scholarships, by recipient countries",,,,Constant USD ($ thousands),Normal value,143348.862
2020,"Total official flows for scholarships, by recipient countries",,,,Constant USD ($ thousands),Normal value,100394.149
2021,"Total official flows for scholarships, by recipient countries",,,,Constant USD ($ thousands),Normal value,117880.424
