Year,Region,Local authority,Age,Main method of contraception,Type of contraception,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2019/20,North East,Newcastle upon Tyne,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.045
2019/20,North East,North Tyneside,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.02
2019/20,North East,Northumberland,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.05
2019/20,North East,Redcar and Cleveland,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.02
2019/20,North East,South Tyneside,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.045
2019/20,North East,Stockton-on-Tees,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.04
2019/20,North East,Sunderland,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.01
2019/20,North West,Blackburn with Darwen,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.075
2019/20,North West,Blackpool,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.03
2019/20,North West,Bolton,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.01
2019/20,North West,Bury,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.03
2019/20,North West,Cheshire East,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.09
2019/20,North West,Cheshire West and Chester,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.105
2019/20,North West,Cumbria,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.025
2019/20,North West,Halton,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.04
2019/20,North West,Knowsley,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.135
2019/20,North West,Lancashire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.47
2019/20,North West,Liverpool,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.515
2019/20,North West,Manchester,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.035
2019/20,North West,Oldham,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.09
2019/20,North West,Rochdale,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.08
2019/20,North West,Salford,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.045
2019/20,North West,Sefton,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.175
2019/20,North West,St. Helens,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.11
2019/20,North West,Trafford,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.015
2019/20,North West,Warrington,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.01
2019/20,North West,Wigan,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.02
2019/20,North West,Wirral,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.235
2019/20,Yorkshire and The Humber,Barnsley,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.035
2019/20,Yorkshire and The Humber,Bradford,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.09
2019/20,Yorkshire and The Humber,Calderdale,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.045
2019/20,Yorkshire and The Humber,Doncaster,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.14
2019/20,Yorkshire and The Humber,East Riding of Yorkshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.06
2019/20,Yorkshire and The Humber,"Kingston upon Hull, City of",,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.075
2019/20,Yorkshire and The Humber,Kirklees,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.06
2019/20,Yorkshire and The Humber,Leeds,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.1
2019/20,Yorkshire and The Humber,North East Lincolnshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.04
2019/20,Yorkshire and The Humber,North Lincolnshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.04
2019/20,Yorkshire and The Humber,North Yorkshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.035
2019/20,Yorkshire and The Humber,Rotherham,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.015
2019/20,Yorkshire and The Humber,Wakefield,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.025
2019/20,Yorkshire and The Humber,York,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.02
2019/20,East Midlands,Derby,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000004,0.055
2019/20,East Midlands,Derbyshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000004,0.115
2019/20,East Midlands,Leicester,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000004,0.06
2019/20,East Midlands,Leicestershire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000004,0.035
2019/20,East Midlands,Lincolnshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000004,0.035
2019/20,East Midlands,Northamptonshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000004,0.085
2019/20,East Midlands,Nottingham,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000004,0.12
2019/20,East Midlands,Nottinghamshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000004,0.16
2019/20,West Midlands,Birmingham,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000005,0.46
2019/20,West Midlands,Coventry,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000005,0.015
2019/20,West Midlands,Dudley,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000005,0.06
2019/20,West Midlands,"Herefordshire, County of",,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000005,0.0
2019/20,West Midlands,Sandwell,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000005,0.18
2019/20,West Midlands,Shropshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000005,0.015
2019/20,West Midlands,Solihull,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000005,0.065
2019/20,West Midlands,Staffordshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000005,0.125
2019/20,West Midlands,Stoke-on-Trent,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000005,0.085
2019/20,West Midlands,Telford and Wrekin,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000005,0.01
2019/20,West Midlands,Walsall,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000005,0.08
2019/20,West Midlands,Warwickshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000005,0.07
2019/20,West Midlands,Wolverhampton,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000005,0.055
2019/20,West Midlands,Worcestershire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000005,0.065
2019/20,East of England,Bedford,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000006,0.04
2019/20,East of England,Cambridgeshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000006,0.06
2019/20,East of England,Central Bedfordshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000006,0.025
2019/20,East of England,Essex,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000006,0.15
2019/20,East of England,Hertfordshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000006,0.175
2019/20,East of England,Luton,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000006,0.07
2019/20,East of England,Norfolk,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000006,0.15
2019/20,East of England,Peterborough,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000006,0.065
2019/20,East of England,Suffolk,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000006,0.155
2019/20,East of England,Thurrock,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000006,0.03
2019/20,London,Barking and Dagenham,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.085
2019/20,London,Barnet,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.22
2019/20,London,Bexley,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.05
2019/20,London,Brent,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.225
2019/20,London,Bromley,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.035
2019/20,London,Camden,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.12
2019/20,London,Croydon,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.165
2019/20,London,Ealing,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.325
2019/20,London,Enfield,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.07
2019/20,London,Greenwich,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.19
2019/20,London,Hackney,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.295
2019/20,London,Hammersmith and Fulham,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.125
2019/20,London,Haringey,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.19
2019/20,London,Harrow,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.175
2019/20,London,Havering,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.075
2019/20,London,Hillingdon,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.135
2019/20,London,Hounslow,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.085
2019/20,London,Islington,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.18
2019/20,London,Kensington and Chelsea,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.07
2019/20,London,Kingston upon Thames,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.075
2019/20,London,Lambeth,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.205
2019/20,London,Lewisham,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.365
2019/20,London,Merton,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.08
2019/20,London,Newham,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.065
2019/20,London,Redbridge,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.055
2019/20,London,Richmond upon Thames,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.02
2019/20,London,Southwark,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.245
2019/20,London,Sutton,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.02
2019/20,London,Tower Hamlets,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.05
2019/20,London,Waltham Forest,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.075
2019/20,London,Wandsworth,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.12
2019/20,London,Westminster,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.105
2019/20,South East,Bracknell Forest,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.02
2019/20,South East,Brighton and Hove,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.11
2019/20,South East,Buckinghamshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.03
2019/20,South East,East Sussex,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.115
2019/20,South East,Hampshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.055
2019/20,South East,Isle of Wight,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.0
2019/20,South East,Kent,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.205
2019/20,South East,Medway,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.04
2019/20,South East,Milton Keynes,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.07
2019/20,South East,Oxfordshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.205
2019/20,South East,Reading,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.055
2019/20,South East,Slough,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.05
2019/20,South East,Surrey,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.085
2019/20,South East,West Berkshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.02
2019/20,South East,West Sussex,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.16
2019/20,South East,Windsor and Maidenhead,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.015
2019/20,South East,Wokingham,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.015
2019/20,South West,"Bournemouth, Christchurch and Poole",,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000009,0.06
2019/20,South West,"Bristol, City of",,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000009,0.02
2019/20,South West,Cornwall,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000009,0.045
2019/20,South West,Devon,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000009,0.085
2019/20,South West,Dorset,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000009,0.045
2019/20,South West,Gloucestershire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000009,0.01
2019/20,South West,North Somerset,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000009,0.015
2019/20,South West,Plymouth,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000009,0.085
2019/20,South West,Somerset,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000009,0.08
2019/20,South West,Swindon,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000009,0.045
2019/20,South West,Torbay,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000009,0.05
2020/21,,,15 and under,User dependent,Contraceptive patch,Normal value,Thousands,Number,,0.133
2020/21,,,16 to 17,User dependent,Contraceptive patch,Normal value,Thousands,Number,,0.686
2020/21,,,18 to 19,User dependent,Contraceptive patch,Normal value,Thousands,Number,,1.086
2020/21,,,20 to 24,User dependent,Contraceptive patch,Normal value,Thousands,Number,,2.848
2020/21,,,25 to 34,User dependent,Contraceptive patch,Normal value,Thousands,Number,,2.76
2020/21,,,35 to 44,User dependent,Contraceptive patch,Normal value,Thousands,Number,,0.554
2020/21,,,45 and over,User dependent,Contraceptive patch,Normal value,Thousands,Number,,0.025
2020/21,,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,,8.092
2020/21,North East,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.245
2020/21,North West,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,1.295
2020/21,Yorkshire and The Humber,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.61
2020/21,East Midlands,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000004,0.425
2020/21,West Midlands,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000005,0.51
2020/21,East of England,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000006,0.685
2020/21,London,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,2.775
2020/21,South East,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.845
2020/21,South West,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000009,0.435
2020/21,North East,Darlington,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.0
2020/21,North East,Gateshead,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.03
2020/21,North East,Hartlepool,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.02
2020/21,North East,Middlesbrough,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.015
2020/21,North East,Newcastle upon Tyne,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.03
2020/21,North East,North Tyneside,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.03
2020/21,North East,Northumberland,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.03
2020/21,North East,Redcar and Cleveland,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.015
2020/21,North East,South Tyneside,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.045
2020/21,North East,Stockton-on-Tees,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.015
2020/21,North East,Sunderland,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.015
2020/21,North West,Blackburn with Darwen,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.04
2020/21,North West,Blackpool,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.035
2020/21,North West,Bury,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.01
2020/21,North West,Cheshire East,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.075
2020/21,North West,Cheshire West and Chester,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.06
2020/21,North West,Cumbria,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.015
2020/21,North West,Halton,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.015
2020/21,North West,Knowsley,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.085
2020/21,North West,Lancashire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.305
2020/21,North West,Liverpool,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.25
2020/21,North West,Manchester,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.015
2020/21,North West,Oldham,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.035
2020/21,North West,Rochdale,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.025
2020/21,North West,Salford,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.015
2020/21,North West,Sefton,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.09
2020/21,North West,St. Helens,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.06
2020/21,North West,Stockport,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.01
2020/21,North West,Warrington,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.01
2020/21,North West,Wigan,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.03
2020/21,North West,Wirral,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.11
2020/21,Yorkshire and The Humber,Barnsley,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.015
2020/21,Yorkshire and The Humber,Bradford,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.065
2020/21,Yorkshire and The Humber,Calderdale,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.03
2020/21,Yorkshire and The Humber,Doncaster,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.105
2020/21,Yorkshire and The Humber,East Riding of Yorkshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.045
2020/21,Yorkshire and The Humber,"Kingston upon Hull, City of",,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.08
2020/21,Yorkshire and The Humber,Kirklees,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.03
2020/21,Yorkshire and The Humber,Leeds,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.08
2020/21,Yorkshire and The Humber,North East Lincolnshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.03
2020/21,Yorkshire and The Humber,North Lincolnshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.03
2020/21,Yorkshire and The Humber,North Yorkshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.02
2020/21,Yorkshire and The Humber,Rotherham,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.02
2020/21,Yorkshire and The Humber,Wakefield,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.025
2020/21,Yorkshire and The Humber,York,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.025
2020/21,East Midlands,Derby,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000004,0.025
2020/21,East Midlands,Derbyshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000004,0.09
2020/21,East Midlands,Leicester,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000004,0.025
2020/21,East Midlands,Leicestershire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000004,0.02
2020/21,East Midlands,Lincolnshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000004,0.03
2020/21,East Midlands,Northamptonshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000004,0.03
2020/21,East Midlands,Nottingham,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000004,0.085
2020/21,East Midlands,Nottinghamshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000004,0.12
2020/21,West Midlands,Birmingham,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000005,0.045
2020/21,West Midlands,Dudley,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000005,0.06
2020/21,West Midlands,Sandwell,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000005,0.12
2020/21,West Midlands,Staffordshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000005,0.04
2020/21,West Midlands,Stoke-on-Trent,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000005,0.04
2020/21,West Midlands,Walsall,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000005,0.06
