Year,Series,Observation status,Unit multiplier,Units,Value
2011,Net open position in foreign exchange to capital,Normal value,Units,Percentage (%),4.590273037183761
2012,Tier 1 capital to assets,Normal value,Units,Percentage (%),4.682679158806466
2012,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),14.50768180816706
2012,Nonperforming loans net of provisions to capital,Normal value,Units,Percentage (%),13.87214928161372
2012,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),3.586284007737941
2012,Return on assets,Normal value,Units,Percentage (%),0.018516624655518
2012,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),36.80811264158323
2012,Net open position in foreign exchange to capital,Normal value,Units,Percentage (%),-8.857613635171017
2013,Tier 1 capital to assets,Normal value,Units,Percentage (%),5.201382775264868
2013,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),16.07773526922122
2013,Nonperforming loans net of provisions to capital,Normal value,Units,Percentage (%),9.477060343177904
2013,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),3.111741738737986
2013,Return on assets,Normal value,Units,Percentage (%),-0.0182122455804481
2013,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),35.694651387699665
2013,Net open position in foreign exchange to capital,Normal value,Units,Percentage (%),-13.258077119346815
2014,Tier 1 capital to assets,Normal value,Units,Percentage (%),4.372238785374971
2014,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),13.610224147447363
2014,Nonperforming loans net of provisions to capital,Normal value,Units,Percentage (%),2.69145819329573
2014,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),1.6543924547247064
2014,Return on assets,Normal value,Units,Percentage (%),0.1371834873045976
2014,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),35.84758767919728
2014,Net open position in foreign exchange to capital,Normal value,Units,Percentage (%),5.198984788263144
2015,Tier 1 capital to assets,Normal value,Units,Percentage (%),5.433442685419216
2015,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),15.6783845971087
2015,Nonperforming loans net of provisions to capital,Normal value,Units,Percentage (%),-1.581227777063788
2015,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),1.0145085508733755
2015,Return on assets,Normal value,Units,Percentage (%),0.1467703283264411
2015,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),35.696581655468826
2015,Net open position in foreign exchange to capital,Normal value,Units,Percentage (%),-0.7547307544017479
2016,Tier 1 capital to assets,Normal value,Units,Percentage (%),5.459887334596441
2016,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),16.50145886953452
2016,Nonperforming loans net of provisions to capital,Normal value,Units,Percentage (%),3.826762351148699
2016,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),1.6873015872144503
2016,Return on assets,Normal value,Units,Percentage (%),0.1617984457343948
2016,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),40.4670171091325
2016,Net open position in foreign exchange to capital,Normal value,Units,Percentage (%),-7.342196711819203
2017,Tier 1 capital to assets,Normal value,Units,Percentage (%),5.386358475731063
2017,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),17.131242430354543
2017,Nonperforming loans net of provisions to capital,Normal value,Units,Percentage (%),3.146477232985941
2017,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),1.3597441300958508
2017,Return on assets,Normal value,Units,Percentage (%),0.3269251369105269
2017,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),44.10662862977955
2017,Net open position in foreign exchange to capital,Normal value,Units,Percentage (%),-8.569711645191603
2018,Tier 1 capital to assets,Normal value,Units,Percentage (%),5.577135531824805
2018,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),17.90319901180905
2018,Nonperforming loans net of provisions to capital,Normal value,Units,Percentage (%),4.8937149816915975
2018,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),1.096420898778075
2018,Return on assets,Normal value,Units,Percentage (%),0.5042232138213966
2018,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),50.9554086380534
2018,Net open position in foreign exchange to capital,Normal value,Units,Percentage (%),-8.448713978424
2019,Tier 1 capital to assets,Normal value,Units,Percentage (%),5.5266114582772845
2019,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),17.937862027327775
2019,Nonperforming loans net of provisions to capital,Normal value,Units,Percentage (%),4.326016068022924
2019,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),1.0180993504603246
2019,Return on assets,Normal value,Units,Percentage (%),0.3468858758664606
2019,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),44.2032307142053
2019,Net open position in foreign exchange to capital,Normal value,Units,Percentage (%),-15.090119465081688
2020,Tier 1 capital to assets,Normal value,Units,Percentage (%),5.481813208058111
2020,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),18.528269264512662
2020,Nonperforming loans net of provisions to capital,Normal value,Units,Percentage (%),3.1124374271793225
2020,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),0.9833246310716784
2020,Return on assets,Normal value,Units,Percentage (%),0.2151928758950027
2020,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),46.6071730362337
2020,Net open position in foreign exchange to capital,Normal value,Units,Percentage (%),-13.290320285872248
2021,Tier 1 capital to assets,Normal value,Units,Percentage (%),5.252497553480001
2021,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),19.0835288591773
2021,Nonperforming loans net of provisions to capital,Normal value,Units,Percentage (%),4.42352878608126
2021,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),0.9693132418582528
2021,Return on assets,Normal value,Units,Percentage (%),0.5017760358784173
2021,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),47.633104997422016
2021,Net open position in foreign exchange to capital,Normal value,Units,Percentage (%),-8.387545547236115
2022,Tier 1 capital to assets,Normal value,Units,Percentage (%),6.437530607876757
2022,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),18.422779003653964
2022,Nonperforming loans net of provisions to capital,Normal value,Units,Percentage (%),4.297456782496556
2022,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),0.9743039007039482
2022,Return on assets,Normal value,Units,Percentage (%),0.5419427258175478
2022,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),35.39430170425053
2022,Net open position in foreign exchange to capital,Missing value,Units,Percentage (%),
