Year,Units,Waste type,Sector,Household Waste disposal routes,Observation status,Unit measure,Unit multiplier,Value
2012,Food and inedible waste (Kilogrammes per person),Household,,Home composted,estimate,Kg per person,Units,
2015,Food and inedible waste (Kilogrammes per person),Household,,Home composted,estimate,Kg per person,Units,8.0
2017,Food and inedible waste (Kilogrammes per person),Household,,Home composted,estimate,Kg per person,Units,
2018,Food and inedible waste (Kilogrammes per person),Household,,Home composted,estimate,Kg per person,Units,7.9
2007,Food and inedible waste (Kilogrammes per person),Supply chain,,,estimate,Kg per person,Units,49.2
2009,Food and inedible waste (Kilogrammes per person),Supply chain,,,estimate,Kg per person,Units,
2011,Food and inedible waste (Kilogrammes per person),Supply chain,,,estimate,Kg per person,Units,
2012,Food and inedible waste (Kilogrammes per person),Supply chain,,,estimate,Kg per person,Units,
2015,Food and inedible waste (Kilogrammes per person),Supply chain,,,estimate,Kg per person,Units,45.3
2017,Food and inedible waste (Kilogrammes per person),Supply chain,,,estimate,Kg per person,Units,
2018,Food and inedible waste (Kilogrammes per person),Supply chain,,,estimate,Kg per person,Units,43.3
2007,Food and inedible waste (Kilogrammes per person),Supply chain,Retail,,estimate,Kg per person,Units,
2009,Food and inedible waste (Kilogrammes per person),Supply chain,Retail,,estimate,Kg per person,Units,4.7
2011,Food and inedible waste (Kilogrammes per person),Supply chain,Retail,,estimate,Kg per person,Units,
2012,Food and inedible waste (Kilogrammes per person),Supply chain,Retail,,estimate,Kg per person,Units,
2015,Food and inedible waste (Kilogrammes per person),Supply chain,Retail,,estimate,Kg per person,Units,4.0
2017,Food and inedible waste (Kilogrammes per person),Supply chain,Retail,,estimate,Kg per person,Units,
2018,Food and inedible waste (Kilogrammes per person),Supply chain,Retail,,estimate,Kg per person,Units,4.2
2007,Food and inedible waste (Kilogrammes per person),Supply chain,Manufacture,,estimate,Kg per person,Units,
2009,Food and inedible waste (Kilogrammes per person),Supply chain,Manufacture,,estimate,Kg per person,Units,
2011,Food and inedible waste (Kilogrammes per person),Supply chain,Manufacture,,estimate,Kg per person,Units,30.0
2012,Food and inedible waste (Kilogrammes per person),Supply chain,Manufacture,,estimate,Kg per person,Units,
2015,Food and inedible waste (Kilogrammes per person),Supply chain,Manufacture,,estimate,Kg per person,Units,25.6
2017,Food and inedible waste (Kilogrammes per person),Supply chain,Manufacture,,estimate,Kg per person,Units,
2018,Food and inedible waste (Kilogrammes per person),Supply chain,Manufacture,,estimate,Kg per person,Units,22.7
2007,Food and inedible waste (Kilogrammes per person),Supply chain,Hospitality and Food Serivces,,estimate,Kg per person,Units,
2009,Food and inedible waste (Kilogrammes per person),Supply chain,Hospitality and Food Serivces,,estimate,Kg per person,Units,
2011,Food and inedible waste (Kilogrammes per person),Supply chain,Hospitality and Food Serivces,,estimate,Kg per person,Units,14.5
2012,Food and inedible waste (Kilogrammes per person),Supply chain,Hospitality and Food Serivces,,estimate,Kg per person,Units,
2015,Food and inedible waste (Kilogrammes per person),Supply chain,Hospitality and Food Serivces,,estimate,Kg per person,Units,15.7
2017,Food and inedible waste (Kilogrammes per person),Supply chain,Hospitality and Food Serivces,,estimate,Kg per person,Units,
2018,Food and inedible waste (Kilogrammes per person),Supply chain,Hospitality and Food Serivces,,estimate,Kg per person,Units,16.5
2007,Food and inedible waste (Kilogrammes per person),,,,estimate,Kg per person,Units,181.2
2009,Food and inedible waste (Kilogrammes per person),,,,estimate,Kg per person,Units,
2011,Food and inedible waste (Kilogrammes per person),,,,estimate,Kg per person,Units,
2012,Food and inedible waste (Kilogrammes per person),,,,estimate,Kg per person,Units,
2015,Food and inedible waste (Kilogrammes per person),,,,estimate,Kg per person,Units,153.6
2017,Food and inedible waste (Kilogrammes per person),,,,estimate,Kg per person,Units,
2018,Food and inedible waste (Kilogrammes per person),,,,estimate,Kg per person,Units,143.4
2007,Food (Kilotonnes),Household,,,estimate,Kilotonnes,Thousands,6125.0
2009,Food (Kilotonnes),Household,,,estimate,Kilotonnes,Thousands,
2011,Food (Kilotonnes),Household,,,estimate,Kilotonnes,Thousands,
2012,Food (Kilotonnes),Household,,,estimate,Kilotonnes,Thousands,
2015,Food (Kilotonnes),Household,,,estimate,Kilotonnes,Thousands,4995.0
2017,Food (Kilotonnes),Household,,,estimate,Kilotonnes,Thousands,
2018,Food (Kilotonnes),Household,,,estimate,Kilotonnes,Thousands,4549.0
2007,Food (Kilotonnes),Supply chain,,,estimate,Kilotonnes,Thousands,2040.0
2009,Food (Kilotonnes),Supply chain,,,estimate,Kilotonnes,Thousands,
2011,Food (Kilotonnes),Supply chain,,,estimate,Kilotonnes,Thousands,
2012,Food (Kilotonnes),Supply chain,,,estimate,Kilotonnes,Thousands,
2015,Food (Kilotonnes),Supply chain,,,estimate,Kilotonnes,Thousands,1914.0
2017,Food (Kilotonnes),Supply chain,,,estimate,Kilotonnes,Thousands,
2018,Food (Kilotonnes),Supply chain,,,estimate,Kilotonnes,Thousands,1859.0
2007,Food (Kilotonnes),Supply chain,Retail,,estimate,Kilotonnes,Thousands,
2009,Food (Kilotonnes),Supply chain,Retail,,estimate,Kilotonnes,Thousands,290.0
2011,Food (Kilotonnes),Supply chain,Retail,,estimate,Kilotonnes,Thousands,
2012,Food (Kilotonnes),Supply chain,Retail,,estimate,Kilotonnes,Thousands,
2015,Food (Kilotonnes),Supply chain,Retail,,estimate,Kilotonnes,Thousands,261.0
2017,Food (Kilotonnes),Supply chain,Retail,,estimate,Kilotonnes,Thousands,
2018,Food (Kilotonnes),Supply chain,Retail,,estimate,Kilotonnes,Thousands,277.0
2007,Food (Kilotonnes),Supply chain,Manufacture,,estimate,Kilotonnes,Thousands,
2009,Food (Kilotonnes),Supply chain,Manufacture,,estimate,Kilotonnes,Thousands,
2011,Food (Kilotonnes),Supply chain,Manufacture,,estimate,Kilotonnes,Thousands,1070.0
2012,Food (Kilotonnes),Supply chain,Manufacture,,estimate,Kilotonnes,Thousands,
2015,Food (Kilotonnes),Supply chain,Manufacture,,estimate,Kilotonnes,Thousands,898.0
2017,Food (Kilotonnes),Supply chain,Manufacture,,estimate,Kilotonnes,Thousands,
2018,Food (Kilotonnes),Supply chain,Manufacture,,estimate,Kilotonnes,Thousands,770.0
2007,Food (Kilotonnes),Supply chain,Hospitality and Food Serivces,,estimate,Kilotonnes,Thousands,
2009,Food (Kilotonnes),Supply chain,Hospitality and Food Serivces,,estimate,Kilotonnes,Thousands,
2011,Food (Kilotonnes),Supply chain,Hospitality and Food Serivces,,estimate,Kilotonnes,Thousands,680.0
2012,Food (Kilotonnes),Supply chain,Hospitality and Food Serivces,,estimate,Kilotonnes,Thousands,
2015,Food (Kilotonnes),Supply chain,Hospitality and Food Serivces,,estimate,Kilotonnes,Thousands,755.0
2017,Food (Kilotonnes),Supply chain,Hospitality and Food Serivces,,estimate,Kilotonnes,Thousands,
2018,Food (Kilotonnes),Supply chain,Hospitality and Food Serivces,,estimate,Kilotonnes,Thousands,812.0
2007,Food (Kilotonnes),,,,estimate,Kilotonnes,Thousands,8165.0
2009,Food (Kilotonnes),,,,estimate,Kilotonnes,Thousands,
2011,Food (Kilotonnes),,,,estimate,Kilotonnes,Thousands,
2012,Food (Kilotonnes),,,,estimate,Kilotonnes,Thousands,
2015,Food (Kilotonnes),,,,estimate,Kilotonnes,Thousands,6910.0
2017,Food (Kilotonnes),,,,estimate,Kilotonnes,Thousands,
2018,Food (Kilotonnes),,,,estimate,Kilotonnes,Thousands,6408.0
2007,Food (Kilogrammes per person),Household,,,estimate,Kg per person,Units,100.0
2009,Food (Kilogrammes per person),Household,,,estimate,Kg per person,Units,
2011,Food (Kilogrammes per person),Household,,,estimate,Kg per person,Units,
2012,Food (Kilogrammes per person),Household,,,estimate,Kg per person,Units,
2015,Food (Kilogrammes per person),Household,,,estimate,Kg per person,Units,76.7
2017,Food (Kilogrammes per person),Household,,,estimate,Kg per person,Units,
2018,Food (Kilogrammes per person),Household,,,estimate,Kg per person,Units,68.5
2007,Food (Kilogrammes per person),Supply chain,,,estimate,Kg per person,Units,32.3
2009,Food (Kilogrammes per person),Supply chain,,,estimate,Kg per person,Units,
2011,Food (Kilogrammes per person),Supply chain,,,estimate,Kg per person,Units,
2012,Food (Kilogrammes per person),Supply chain,,,estimate,Kg per person,Units,
2015,Food (Kilogrammes per person),Supply chain,,,estimate,Kg per person,Units,29.4
2017,Food (Kilogrammes per person),Supply chain,,,estimate,Kg per person,Units,
2018,Food (Kilogrammes per person),Supply chain,,,estimate,Kg per person,Units,28.0
2007,Food (Kilogrammes per person),Supply chain,Retail,,estimate,Kg per person,Units,
2009,Food (Kilogrammes per person),Supply chain,Retail,,estimate,Kg per person,Units,4.7
2011,Food (Kilogrammes per person),Supply chain,Retail,,estimate,Kg per person,Units,
2012,Food (Kilogrammes per person),Supply chain,Retail,,estimate,Kg per person,Units,
2015,Food (Kilogrammes per person),Supply chain,Retail,,estimate,Kg per person,Units,4.0
2017,Food (Kilogrammes per person),Supply chain,Retail,,estimate,Kg per person,Units,
2018,Food (Kilogrammes per person),Supply chain,Retail,,estimate,Kg per person,Units,4.2
2007,Food (Kilogrammes per person),Supply chain,Manufacture,,estimate,Kg per person,Units,
2009,Food (Kilogrammes per person),Supply chain,Manufacture,,estimate,Kg per person,Units,
2011,Food (Kilogrammes per person),Supply chain,Manufacture,,estimate,Kg per person,Units,16.9
2012,Food (Kilogrammes per person),Supply chain,Manufacture,,estimate,Kg per person,Units,
2015,Food (Kilogrammes per person),Supply chain,Manufacture,,estimate,Kg per person,Units,13.8
2017,Food (Kilogrammes per person),Supply chain,Manufacture,,estimate,Kg per person,Units,
2018,Food (Kilogrammes per person),Supply chain,Manufacture,,estimate,Kg per person,Units,11.6
2007,Food (Kilogrammes per person),Supply chain,Hospitality and Food Serivces,,estimate,Kg per person,Units,
2009,Food (Kilogrammes per person),Supply chain,Hospitality and Food Serivces,,estimate,Kg per person,Units,
2011,Food (Kilogrammes per person),Supply chain,Hospitality and Food Serivces,,estimate,Kg per person,Units,10.7
2012,Food (Kilogrammes per person),Supply chain,Hospitality and Food Serivces,,estimate,Kg per person,Units,
2015,Food (Kilogrammes per person),Supply chain,Hospitality and Food Serivces,,estimate,Kg per person,Units,11.6
2017,Food (Kilogrammes per person),Supply chain,Hospitality and Food Serivces,,estimate,Kg per person,Units,
2018,Food (Kilogrammes per person),Supply chain,Hospitality and Food Serivces,,estimate,Kg per person,Units,12.2
2007,Food (Kilogrammes per person),,,,estimate,Kg per person,Units,132.3
2009,Food (Kilogrammes per person),,,,estimate,Kg per person,Units,
2011,Food (Kilogrammes per person),,,,estimate,Kg per person,Units,
2012,Food (Kilogrammes per person),,,,estimate,Kg per person,Units,
2015,Food (Kilogrammes per person),,,,estimate,Kg per person,Units,106.1
2017,Food (Kilogrammes per person),,,,estimate,Kg per person,Units,
2018,Food (Kilogrammes per person),,,,estimate,Kg per person,Units,96.4
