Year,Series,Units,Material category,Observation status,Unit multiplier,Unit measure,Value
2016,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1070.756
2017,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,970.509
2018,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,971.213
1990,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),19.0
1991,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),18.5
1992,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),16.8
1993,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),16.2
1994,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),16.0
1995,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),14.9
1996,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),16.2
1997,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),19.6
1998,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),22.8
1999,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),23.7
2000,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),23.2
2001,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),24.2
2002,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),22.6
2003,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),22.0
2004,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),24.4
2005,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),22.6
2006,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),22.2
2007,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),21.2
2008,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),18.7
2009,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),16.3
2010,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),15.2
2011,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),15.2
2012,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),14.9
2013,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),16.0
2014,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),17.2
2015,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),18.4
2016,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),16.3
2017,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),14.7
2018,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),14.6
1990,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),889.0
1991,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),880.0
1992,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),796.0
1993,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),752.0
1994,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),719.0
1995,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),655.0
1996,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),695.0
1997,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),805.0
1998,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),902.0
1999,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),914.0
2000,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),865.0
2001,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),881.0
2002,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),812.0
2003,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),765.0
2004,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),836.0
2005,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),758.0
2006,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),731.0
2007,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),688.0
2008,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),612.0
2009,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),559.0
2010,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),516.0
2011,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),515.0
2012,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),501.0
2013,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),528.0
2014,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),557.0
2015,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),585.0
2016,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),515.0
2017,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),459.0
2018,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),453.0
1990,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,223.076
1991,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,223.854
1992,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,219.603
1993,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,211.72
1994,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,210.079
1995,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,200.69
1996,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,223.534
1997,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,252.335
1998,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,269.067
1999,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,273.075
2000,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,270.481
2001,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,260.938
2002,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,280.069
2003,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,276.739
2004,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,295.43
2005,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,288.585
2006,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,280.28
2007,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,272.537
2008,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,270.041
2009,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,256.694
2010,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,252.072
2011,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,261.938
2012,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,259.161
2013,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,263.203
2014,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,281.113
2015,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,281.6
2016,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,257.725
2017,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,252.425
2018,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,246.871
1990,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,40.586
1991,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,39.776
1992,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,36.859
1993,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,36.046
1994,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,37.369
1995,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,35.285
1996,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,38.388
1997,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,47.843
1998,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,59.356
1999,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,64.45
2000,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,66.102
2001,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,72.74
2002,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,68.274
2003,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,63.767
2004,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,66.314
2005,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,64.027
2006,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,64.375
2007,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,67.796
2008,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,56.26
2009,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,48.37
2010,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,49.132
2011,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,48.749
2012,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,50.674
2013,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,54.02
2014,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,54.803
2015,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,53.56
2016,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,51.249
2017,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,45.174
2018,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,49.497
1990,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,369.919
1991,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,364.13
1992,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,357.659
1993,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,356.035
1994,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,377.765
1995,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,349.157
1996,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,310.765
1997,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,418.479
1998,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,463.243
1999,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,490.312
2000,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,552.788
2001,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,595.119
2002,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,571.586
2003,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,596.932
2004,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,639.17
2005,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,615.696
2006,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,600.033
2007,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,580.562
2008,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,482.148
2009,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,392.241
2010,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,374.938
2011,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,396.114
2012,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,386.379
2013,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,422.311
2014,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,516.363
2015,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,594.097
2016,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,545.295
2017,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,497.023
2018,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,496.62
1990,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,451.833
1991,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,435.069
1992,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,351.046
1993,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,330.087
1994,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,302.478
1995,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,281.326
1996,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,369.234
1997,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,426.81
1998,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,539.855
1999,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,565.664
2000,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,476.371
2001,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,499.106
2002,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,424.54
2003,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,372.173
2004,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,463.485
2005,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,397.19
2006,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,407.463
2007,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,381.722
2008,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,347.659
2009,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,315.314
2010,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,278.194
2011,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,258.064
2012,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,255.77
2013,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,284.535
2014,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,260.102
2015,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,266.38
2016,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,216.487
2017,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,175.888
2018,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,178.226
1990,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),3.9
1991,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),3.9
1992,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),3.8
1993,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),3.7
1994,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),3.6
1995,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),3.5
1996,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),3.8
1997,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.3
1998,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.6
1999,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.7
2000,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.6
2001,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.4
2002,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.7
2003,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.6
2004,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.9
2005,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.8
2006,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.6
2007,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.4
2008,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.4
2009,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.1
2010,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.0
2011,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.1
2012,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.1
2013,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.1
2014,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.4
2015,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.3
2016,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),3.9
2017,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),3.8
2018,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),3.7
1990,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.7
1991,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.7
1992,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.6
1993,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.6
1994,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.6
1995,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.6
1996,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.7
1997,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.8
1998,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),1.0
1999,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),1.1
2000,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),1.1
2001,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),1.2
2002,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),1.2
2003,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),1.1
2004,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),1.1
2005,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),1.1
2006,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),1.1
2007,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),1.1
2008,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.9
2009,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.8
2010,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.8
2011,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.8
2012,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.8
2013,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.8
2014,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.8
2015,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.8
2016,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.8
2017,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.7
2018,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.7
1990,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),6.5
1991,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),6.3
1992,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),6.2
1993,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),6.2
1994,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),6.5
1995,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),6.0
1996,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),5.3
1997,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),7.2
1998,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),7.9
1999,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),8.4
2000,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),9.4
2001,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),10.1
2002,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),9.6
2003,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),10.0
2004,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),10.7
2005,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),10.2
2006,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),9.9
2007,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),9.5
2008,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),7.8
2009,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),6.3
