Year,Units,Urbanisation,Household composition,Age of oldest person,Age of youngest person,Income quintile,Living in poverty,Economic activity,Disability status,Ethnicity of household reference person (HRP),Length of residence,Sub-national area,Decent homes criteria,Value
2010,Percentage (%),,,,,,,,,,5-9 years,,,21.911
2010,Percentage (%),,,,,,,,,,10-19 years,,,23.159
2010,Percentage (%),,,,,,,,,,20-29 years,,,27.991
2010,Percentage (%),,,,,,,,,,30 or more years,,,33.928
2010,Percentage (%),,,,,,,,,,,North,,24.575
2010,Percentage (%),,,,,,,,,,,South East,,25.442
2010,Percentage (%),,,,,,,,,,,Rest of England,,28.716
2011,Percentage (%),,,,,,,,,,,,,23.574
2011,Percentage (%),City centre,,,,,,,,,,,,32.34
2011,Percentage (%),Other urban centre,,,,,,,,,,,,29.003
2011,Percentage (%),Suburban residential,,,,,,,,,,,,19.957
2011,Percentage (%),Rural residential,,,,,,,,,,,,22.074
2011,Percentage (%),Village centre,,,,,,,,,,,,32.641
2011,Percentage (%),Rural,,,,,,,,,,,,51.574
2011,Percentage (%),All city and urban centres,,,,,,,,,,,,29.55
2011,Percentage (%),Suburban residential,,,,,,,,,,,,19.957
2011,Percentage (%),All rural areas,,,,,,,,,,,,29.588
2011,Percentage (%),,Couple under 60,,,,,,,,,,,22.873
2011,Percentage (%),,Couple 60 or over,,,,,,,,,,,20.386
2011,Percentage (%),,Couple with children,,,,,,,,,,,20.484
2011,Percentage (%),,Lone parent,,,,,,,,,,,23.911
2011,Percentage (%),,Multi-person household,,,,,,,,,,,28.315
2011,Percentage (%),,One person under 60,,,,,,,,,,,27.824
2011,Percentage (%),,One person 60 or over,,,,,,,,,,,24.406
2011,Percentage (%),,,59 and under,,,,,,,,,,23.577
2011,Percentage (%),,,60 and over,,,,,,,,,,22.62
2011,Percentage (%),,,75 and over,,,,,,,,,,23.192
2011,Percentage (%),,,,4 and under,,,,,,,,,23.147
2011,Percentage (%),,,,15 and under,,,,,,,,,21.509
2011,Percentage (%),,,,16 and over,,,,,,,,,23.904
2011,Percentage (%),,,,,1st quintile (lowest),,,,,,,,25.393
2011,Percentage (%),,,,,2nd quintile,,,,,,,,26.028
2011,Percentage (%),,,,,3rd quintile,,,,,,,,23.539
2011,Percentage (%),,,,,4th quintile,,,,,,,,21.224
2011,Percentage (%),,,,,5th quintile (highest),,,,,,,,20.008
2011,Percentage (%),,,,,,In poverty,,,,,,,25.64
2011,Percentage (%),,,,,,Not in poverty,,,,,,,22.791
2011,Percentage (%),,,,,,,Workless household,,,,,,23.305
2011,Percentage (%),,,,,,,Working household,,,,,,23.681
2011,Percentage (%),,,,,,,,Long-term illness/disability,,,,,22.863
2011,Percentage (%),,,,,,,,No long-term illness/disability,,,,,23.371
2011,Percentage (%),,,,,,,,,White,,,,23.057
2011,Percentage (%),,,,,,,,,Black,,,,25.437
2011,Percentage (%),,,,,,,,,Asian,,,,25.074
2011,Percentage (%),,,,,,,,,Other,,,,23.112
2011,Percentage (%),,,,,,,,,All minority,,,,24.628
2011,Percentage (%),,,,,,,,,,Less than 1 year,,,26.167
2011,Percentage (%),,,,,,,,,,1-4 years,,,22.896
2011,Percentage (%),,,,,,,,,,5-9 years,,,20.19
2011,Percentage (%),,,,,,,,,,10-19 years,,,20.4
2011,Percentage (%),,,,,,,,,,20-29 years,,,24.967
2011,Percentage (%),,,,,,,,,,30 or more years,,,28.599
2011,Percentage (%),,,,,,,,,,,North,,23.066
2011,Percentage (%),,,,,,,,,,,South East,,20.892
2011,Percentage (%),,,,,,,,,,,Rest of England,,25.918
2012,Percentage (%),,,,,,,,,,,,,21.777
2012,Percentage (%),City centre,,,,,,,,,,,,30.393
2012,Percentage (%),Other urban centre,,,,,,,,,,,,28.388
2012,Percentage (%),Suburban residential,,,,,,,,,,,,17.653
2012,Percentage (%),Rural residential,,,,,,,,,,,,21.382
2012,Percentage (%),Village centre,,,,,,,,,,,,33.172
2012,Percentage (%),Rural,,,,,,,,,,,,45.368
2012,Percentage (%),All city and urban centres,,,,,,,,,,,,28.693
2012,Percentage (%),Suburban residential,,,,,,,,,,,,17.653
2012,Percentage (%),All rural areas,,,,,,,,,,,,28.44
2012,Percentage (%),,Couple under 60,,,,,,,,,,,20.295
2012,Percentage (%),,Couple 60 or over,,,,,,,,,,,18.867
2012,Percentage (%),,Couple with children,,,,,,,,,,,19.354
2012,Percentage (%),,Lone parent,,,,,,,,,,,20.676
2012,Percentage (%),,Multi-person household,,,,,,,,,,,28.622
2012,Percentage (%),,One person under 60,,,,,,,,,,,26.071
2012,Percentage (%),,One person 60 or over,,,,,,,,,,,22.812
2012,Percentage (%),,,59 and under,,,,,,,,,,21.843
2012,Percentage (%),,,60 and over,,,,,,,,,,21.136
2012,Percentage (%),,,75 and over,,,,,,,,,,21.384
2012,Percentage (%),,,,4 and under,,,,,,,,,20.558
2012,Percentage (%),,,,15 and under,,,,,,,,,20.136
2012,Percentage (%),,,,16 and over,,,,,,,,,22.184
2012,Percentage (%),,,,,1st quintile (lowest),,,,,,,,25.529
2012,Percentage (%),,,,,2nd quintile,,,,,,,,24.499
2012,Percentage (%),,,,,3rd quintile,,,,,,,,21.558
2012,Percentage (%),,,,,4th quintile,,,,,,,,18.158
2012,Percentage (%),,,,,5th quintile (highest),,,,,,,,18.598
2012,Percentage (%),,,,,,In poverty,,,,,,,26.415
2012,Percentage (%),,,,,,Not in poverty,,,,,,,20.841
2012,Percentage (%),,,,,,,Workless household,,,,,,22.532
2012,Percentage (%),,,,,,,Working household,,,,,,21.702
2012,Percentage (%),,,,,,,,Long-term illness/disability,,,,,21.387
2012,Percentage (%),,,,,,,,No long-term illness/disability,,,,,21.607
2012,Percentage (%),,,,,,,,,White,,,,21.15
2012,Percentage (%),,,,,,,,,Black,,,,25.755
2012,Percentage (%),,,,,,,,,Asian,,,,26.261
2012,Percentage (%),,,,,,,,,Other,,,,22.502
2012,Percentage (%),,,,,,,,,All minority,,,,25.2
2012,Percentage (%),,,,,,,,,,Less than 1 year,,,24.581
2012,Percentage (%),,,,,,,,,,1-4 years,,,21.202
2012,Percentage (%),,,,,,,,,,5-9 years,,,18.83
2012,Percentage (%),,,,,,,,,,10-19 years,,,18.915
2012,Percentage (%),,,,,,,,,,20-29 years,,,22.582
2012,Percentage (%),,,,,,,,,,30 or more years,,,27.203
2012,Percentage (%),,,,,,,,,,,North,,21.046
2012,Percentage (%),,,,,,,,,,,South East,,18.927
2012,Percentage (%),,,,,,,,,,,Rest of England,,24.413
2013,Percentage (%),,,,,,,,,,,,,20.57924687602403
2013,Percentage (%),City centre,,,,,,,,,,,,35.88711918284782
2013,Percentage (%),Other urban centre,,,,,,,,,,,,26.28139529280837
2013,Percentage (%),Suburban residential,,,,,,,,,,,,16.77047249451481
2013,Percentage (%),Rural residential,,,,,,,,,,,,18.20263098243667
2013,Percentage (%),Village centre,,,,,,,,,,,,31.05804789113313
2013,Percentage (%),Rural,,,,,,,,,,,,42.48086550089115
2013,Percentage (%),All city and urban centres,,,,,,,,,,,,27.66556602630929
2013,Percentage (%),Suburban residential,,,,,,,,,,,,16.77047249451481
2013,Percentage (%),All rural areas,,,,,,,,,,,,25.00247096912613
2013,Percentage (%),,Couple under 60,,,,,,,,,,,18.3055509931
2013,Percentage (%),,Couple 60 or over,,,,,,,,,,,17.6241884474
2013,Percentage (%),,Couple with children,,,,,,,,,,,17.3370252574
2013,Percentage (%),,Lone parent,,,,,,,,,,,19.5768503165
2013,Percentage (%),,Multi-person household,,,,,,,,,,,25.0039523552
2013,Percentage (%),,One person under 60,,,,,,,,,,,25.1238068591
2013,Percentage (%),,One person 60 or over,,,,,,,,,,,22.6086670521
2013,Percentage (%),,,59 and under,,,,,,,,,,20.2543265442
2013,Percentage (%),,,60 and over,,,,,,,,,,19.880415528
2013,Percentage (%),,,75 and over,,,,,,,,,,21.3096740253
2013,Percentage (%),,,,4 and under,,,,,,,,,18.0802130801
2013,Percentage (%),,,,15 and under,,,,,,,,,18.621741369
2013,Percentage (%),,,,16 and over,,,,,,,,,20.6541090673
2013,Percentage (%),,,,,1st quintile (lowest),,,,,,,,25.2086583809
2013,Percentage (%),,,,,2nd quintile,,,,,,,,21.0618346951
2013,Percentage (%),,,,,3rd quintile,,,,,,,,22.1766627364
2013,Percentage (%),,,,,4th quintile,,,,,,,,16.495065922
2013,Percentage (%),,,,,5th quintile (highest),,,,,,,,16.337960696
2013,Percentage (%),,,,,,In poverty,,,,,,,25.631760147
2013,Percentage (%),,,,,,Not in poverty,,,,,,,19.2829469161
2013,Percentage (%),,,,,,,Workless household,,,,,,23.1424170752
2013,Percentage (%),,,,,,,Working household,,,,,,19.3533456544
2013,Percentage (%),,,,,,,,Long-term illness/disability,,,,,20.022234468
2013,Percentage (%),,,,,,,,No long-term illness/disability,,,,,20.1354373373
2013,Percentage (%),,,,,,,,,White,,,,19.7400555885
2013,Percentage (%),,,,,,,,,Black,,,,24.9866806385
2013,Percentage (%),,,,,,,,,Asian,,,,22.9140135194
2013,Percentage (%),,,,,,,,,Other,,,,21.9275258158
2013,Percentage (%),,,,,,,,,All minority,,,,23.2595374043
2013,Percentage (%),,,,,,,,,,Less than 1 year,,,20.330519286
2013,Percentage (%),,,,,,,,,,1-4 years,,,20.170618834
2013,Percentage (%),,,,,,,,,,5-9 years,,,16.6091743771
2013,Percentage (%),,,,,,,,,,10-19 years,,,17.7774510196
2013,Percentage (%),,,,,,,,,,20-29 years,,,21.2914166383
2013,Percentage (%),,,,,,,,,,30 or more years,,,26.6492253676
2013,Percentage (%),,,,,,,,,,,North,,19.5406048525
2013,Percentage (%),,,,,,,,,,,South East,,19.2842768642
2013,Percentage (%),,,,,,,,,,,Rest of England,,22.2959163378
2014,Percentage (%),,,,,,,,,,,,,19.84143905825653
2014,Percentage (%),City centre,,,,,,,,,,,,33.47746688776473
2014,Percentage (%),Other urban centre,,,,,,,,,,,,24.04738636269074
2014,Percentage (%),Suburban residential,,,,,,,,,,,,16.37562095133795
2014,Percentage (%),Rural residential,,,,,,,,,,,,17.94176096335504
2014,Percentage (%),Village centre,,,,,,,,,,,,32.65442786273846
2014,Percentage (%),Rural,,,,,,,,,,,,42.24214446157887
2014,Percentage (%),All city and urban centres,,,,,,,,,,,,25.45999224928685
2014,Percentage (%),Suburban residential,,,,,,,,,,,,16.37562095133795
2014,Percentage (%),All rural areas,,,,,,,,,,,,24.82012982077213
2014,Percentage (%),,Couple under 60,,,,,,,,,,,19.7044425512
2014,Percentage (%),,Couple 60 or over,,,,,,,,,,,16.5574944911
2014,Percentage (%),,Couple with children,,,,,,,,,,,17.6213741645
2014,Percentage (%),,Lone parent,,,,,,,,,,,18.9566157691
2014,Percentage (%),,Multi-person household,,,,,,,,,,,20.3402102971
2014,Percentage (%),,One person under 60,,,,,,,,,,,23.3700958392
2014,Percentage (%),,One person 60 or over,,,,,,,,,,,21.9041387872
2014,Percentage (%),,,59 and under,,,,,,,,,,19.4889210626
2014,Percentage (%),,,60 and over,,,,,,,,,,19.4016644421
2014,Percentage (%),,,75 and over,,,,,,,,,,21.1659876244
2014,Percentage (%),,,,4 and under,,,,,,,,,18.65359574
2014,Percentage (%),,,,15 and under,,,,,,,,,18.298400478
2014,Percentage (%),,,,16 and over,,,,,,,,,19.8759477783
2014,Percentage (%),,,,,1st quintile (lowest),,,,,,,,23.7773974271
2014,Percentage (%),,,,,2nd quintile,,,,,,,,19.4046536133
2014,Percentage (%),,,,,3rd quintile,,,,,,,,22.2112237955
2014,Percentage (%),,,,,4th quintile,,,,,,,,17.3940063081
2014,Percentage (%),,,,,5th quintile (highest),,,,,,,,15.2203070184
2014,Percentage (%),,,,,,In poverty,,,,,,,23.3632748151
2014,Percentage (%),,,,,,Not in poverty,,,,,,,18.8593171017
2014,Percentage (%),,,,,,,Workless household,,,,,,23.97040073
2014,Percentage (%),,,,,,,Working household,,,,,,18.3967336414
2014,Percentage (%),,,,,,,,Long-term illness/disability,,,,,20.6115883343
2014,Percentage (%),,,,,,,,No long-term illness/disability,,,,,18.9053424234
2014,Percentage (%),,,,,,,,,White,,,,19.2479245261
2014,Percentage (%),,,,,,,,,Black,,,,22.3794539788
2014,Percentage (%),,,,,,,,,Asian,,,,21.0466667975
2014,Percentage (%),,,,,,,,,Other,,,,20.4432859375
2014,Percentage (%),,,,,,,,,All minority,,,,21.2622853076
2014,Percentage (%),,,,,,,,,,Less than 1 year,,,19.4560544646
2014,Percentage (%),,,,,,,,,,1-4 years,,,19.0772545686
2014,Percentage (%),,,,,,,,,,5-9 years,,,16.2984965808
2014,Percentage (%),,,,,,,,,,10-19 years,,,17.8902653443
2014,Percentage (%),,,,,,,,,,20-29 years,,,20.9085554519
2014,Percentage (%),,,,,,,,,,30 or more years,,,25.1007841159
2014,Percentage (%),,,,,,,,,,,North,,19.0908305425
2014,Percentage (%),,,,,,,,,,,South East,,18.5798674554
2014,Percentage (%),,,,,,,,,,,Rest of England,,21.3212502896
2015,Percentage (%),,,,,,,,,,,,,19.40880308505087
2015,Percentage (%),City centre,,,,,,,,,,,,26.48433618596449
2015,Percentage (%),Other urban centre,,,,,,,,,,,,22.27699332490394
2015,Percentage (%),Suburban residential,,,,,,,,,,,,16.28095273531662
2015,Percentage (%),Rural residential,,,,,,,,,,,,20.19903163106376
2015,Percentage (%),Village centre,,,,,,,,,,,,31.03145866070889
2015,Percentage (%),Rural,,,,,,,,,,,,42.62444484378607
2015,Percentage (%),Suburban residential,,,,,,,,,,,,16.28095273531662
2015,Percentage (%),All rural areas,,,,,,,,,,,,26.11443052554388
2015,Percentage (%),,Couple under 60,,,,,,,,,,,18.7016896464
2015,Percentage (%),,Couple 60 or over,,,,,,,,,,,17.3194934515
2015,Percentage (%),,Couple with children,,,,,,,,,,,18.3419988151
2015,Percentage (%),,Lone parent,,,,,,,,,,,20.3067580497
2015,Percentage (%),,Multi-person household,,,,,,,,,,,20.6593760218
2015,Percentage (%),,One person under 60,,,,,,,,,,,20.9082318322
2015,Percentage (%),,One person 60 or over,,,,,,,,,,,20.2095323601
2015,Percentage (%),,,59 and under,,,,,,,,,,19.2563215219
2015,Percentage (%),,,60 and over,,,,,,,,,,18.954752942
2015,Percentage (%),,,75 and over,,,,,,,,,,20.1784367925
2015,Percentage (%),,,,4 and under,,,,,,,,,18.8121332551
2015,Percentage (%),,,,15 and under,,,,,,,,,18.4353456615
2015,Percentage (%),,,,16 and over,,,,,,,,,19.3991746118
2015,Percentage (%),,,,,1st quintile (lowest),,,,,,,,23.3432116732
2015,Percentage (%),,,,,2nd quintile,,,,,,,,19.2883041431
2015,Percentage (%),,,,,3rd quintile,,,,,,,,20.9408495303
2015,Percentage (%),,,,,4th quintile,,,,,,,,17.4795651228
2015,Percentage (%),,,,,5th quintile (highest),,,,,,,,15.1711767831
2015,Percentage (%),,,,,,In poverty,,,,,,,23.8830189972
2015,Percentage (%),,,,,,Not in poverty,,,,,,,18.3635175737
2015,Percentage (%),,,,,,,Workless household,,,,,,23.999879936
2015,Percentage (%),,,,,,,Working household,,,,,,18.4443007518
2015,Percentage (%),,,,,,,,Long-term illness/disability,,,,,19.671971163
2015,Percentage (%),,,,,,,,No long-term illness/disability,,,,,18.8927671382
2015,Percentage (%),,,,,,,,,White,,,,18.9746365514
2015,Percentage (%),,,,,,,,,Black,,,,19.8093590217
2015,Percentage (%),,,,,,,,,Asian,,,,22.491180133
2015,Percentage (%),,,,,,,,,Other,,,,17.8020705574
2015,Percentage (%),,,,,,,,,All minority,,,,20.4780609836
2015,Percentage (%),,,,,,,,,,Less than 1 year,,,21.7455253054
2015,Percentage (%),,,,,,,,,,1-4 years,,,18.4619045644
2015,Percentage (%),,,,,,,,,,5-9 years,,,17.2992657874
2015,Percentage (%),,,,,,,,,,10-19 years,,,16.9182186136
2015,Percentage (%),,,,,,,,,,20-29 years,,,17.8399505694
2015,Percentage (%),,,,,,,,,,30 or more years,,,25.0024348091
2015,Percentage (%),,,,,,,,,,,North,,20.0371376834
2015,Percentage (%),,,,,,,,,,,South East,,16.7934079568
2015,Percentage (%),,,,,,,,,,,Rest of England,,20.9416922656
2008,Percentage (%),,,,,,,,,,,,Minimum standard,21.77158752228806
2008,Percentage (%),City centre,,,,,,,,,,,Minimum standard,28.49278431884707
2008,Percentage (%),Other urban centre,,,,,,,,,,,Minimum standard,22.87285186618755
2008,Percentage (%),Suburban residential,,,,,,,,,,,Minimum standard,17.57616880814181
2008,Percentage (%),Rural residential,,,,,,,,,,,Minimum standard,25.58537793890231
2008,Percentage (%),Village centre,,,,,,,,,,,Minimum standard,38.45567068791755
2008,Percentage (%),Rural,,,,,,,,,,,Minimum standard,54.11940672387375
2008,Percentage (%),All city and urban centres,,,,,,,,,,,Minimum standard,23.67568893945197
2008,Percentage (%),Suburban residential,,,,,,,,,,,Minimum standard,17.57616880814181
2008,Percentage (%),All rural areas,,,,,,,,,,,Minimum standard,32.93504174093945
2008,Percentage (%),,Couple under 60,,,,,,,,,,Minimum standard,22.0145059782
2008,Percentage (%),,Couple 60 or over,,,,,,,,,,Minimum standard,21.1996829945
2008,Percentage (%),,Couple with children,,,,,,,,,,Minimum standard,20.209765634
2008,Percentage (%),,Lone parent,,,,,,,,,,Minimum standard,18.4374755277
2008,Percentage (%),,Multi-person household,,,,,,,,,,Minimum standard,25.2690365173
2008,Percentage (%),,One person under 60,,,,,,,,,,Minimum standard,21.5444543454
2008,Percentage (%),,One person 60 or over,,,,,,,,,,Minimum standard,20.9809403142
2008,Percentage (%),,,59 and under,,,,,,,,,Minimum standard,21.2557764251
2008,Percentage (%),,,60 and over,,,,,,,,,Minimum standard,21.3291086617
2008,Percentage (%),,,75 and over,,,,,,,,,Minimum standard,21.6661400198
2008,Percentage (%),,,,4 and under,,,,,,,,Minimum standard,20.5030259971
2008,Percentage (%),,,,15 and under,,,,,,,,Minimum standard,20.085749544
2008,Percentage (%),,,,16 and over,,,,,,,,Minimum standard,21.7183794763
2008,Percentage (%),,,,,1st quintile (lowest),,,,,,,Minimum standard,23.188953595
2008,Percentage (%),,,,,2nd quintile,,,,,,,Minimum standard,21.1024339151
2008,Percentage (%),,,,,3rd quintile,,,,,,,Minimum standard,21.2325782207
2008,Percentage (%),,,,,4th quintile,,,,,,,Minimum standard,18.6396977021
2008,Percentage (%),,,,,5th quintile (highest),,,,,,,Minimum standard,22.1855066135
2008,Percentage (%),,,,,,In poverty,,,,,,Minimum standard,22.8756747997
2008,Percentage (%),,,,,,Not in poverty,,,,,,Minimum standard,20.9384343448
2008,Percentage (%),,,,,,,Workless household,,,,,Minimum standard,20.7339228905
