Year,Country,Sustainably managed status,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2012,Scotland,,Undefined,Units,Percentage (%),S92000003,18.009890229308667
2013,Scotland,,Undefined,Units,Percentage (%),S92000003,18.10792154295801
2014,Scotland,,Undefined,Units,Percentage (%),S92000003,18.28238417064199
2015,Scotland,,Undefined,Units,Percentage (%),S92000003,18.377178785670985
2016,Scotland,,Undefined,Units,Percentage (%),S92000003,18.420544382379138
2017,Scotland,,Undefined,Units,Percentage (%),S92000003,18.454413300793306
2018,Scotland,,Undefined,Units,Percentage (%),S92000003,18.56070276874384
2019,Scotland,,Undefined,Units,Percentage (%),S92000003,18.6912379759562
2020,Scotland,,Undefined,Units,Percentage (%),S92000003,18.830592211064136
2013,,,Undefined,Units,Percentage (%),,12.879082643638332
2014,,,Undefined,Units,Percentage (%),,12.94974459102352
2015,,,Undefined,Units,Percentage (%),,12.995559563810192
2016,,,Undefined,Units,Percentage (%),,13.013671519048511
2017,,,Undefined,Units,Percentage (%),,13.03383852785026
2018,,,Undefined,Units,Percentage (%),,13.077924666426547
2019,,,Undefined,Units,Percentage (%),,13.130271867231723
2020,,,Undefined,Units,Percentage (%),,13.205109941621176
2004,England,Certified,Undefined,Units,Percentage (%),E92000001,2.28884693635598
2005,England,Certified,Undefined,Units,Percentage (%),E92000001,2.6375322725751515
2006,England,Certified,Undefined,Units,Percentage (%),E92000001,2.713329643099418
2007,England,Certified,Undefined,Units,Percentage (%),E92000001,2.7922559076445346
2008,England,Certified,Undefined,Units,Percentage (%),E92000001,2.6495484605078428
2009,England,Certified,Undefined,Units,Percentage (%),E92000001,2.705046284544088
2010,England,Certified,Undefined,Units,Percentage (%),E92000001,2.740896279976969
2011,England,Certified,Undefined,Units,Percentage (%),E92000001,2.5724450275950765
2012,England,Certified,Undefined,Units,Percentage (%),E92000001,2.724044171460509
2013,England,Certified,Undefined,Units,Percentage (%),E92000001,2.722244345666443
2014,England,Certified,Undefined,Units,Percentage (%),E92000001,2.6800541667447377
2015,England,Certified,Undefined,Units,Percentage (%),E92000001,2.7294245819827534
2016,England,Certified,Undefined,Units,Percentage (%),E92000001,2.5875562609929696
2017,England,Certified,Undefined,Units,Percentage (%),E92000001,2.585187788859812
2018,England,Certified,Undefined,Units,Percentage (%),E92000001,2.5489836761525013
2019,England,Certified,Undefined,Units,Percentage (%),E92000001,2.493019308598865
2020,England,Certified,Undefined,Units,Percentage (%),E92000001,2.4808395552838984
2004,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.107917870465126
2005,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.329158667620096
2006,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.32390786313574
2007,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.394130438323739
2008,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.267524956600303
2009,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.449592016105292
2010,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.436846468767582
2011,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.443135088985567
2012,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.6693580739484055
2013,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.772851960932122
2014,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.805639852553583
2015,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.817261213108984
2016,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.810449286224098
2017,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.99770256678671
2018,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.981083898726531
2019,Wales,Certified,Undefined,Units,Percentage (%),W92000004,7.056669686912666
2020,Wales,Certified,Undefined,Units,Percentage (%),W92000004,7.036607190398701
2004,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,8.599257563578815
2005,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,9.225552813639853
2006,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,9.298343937098034
2007,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,9.811079981507978
2008,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,9.884228127745214
2009,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,10.022119583913655
2010,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,10.172447831407313
2011,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,10.163586824195992
2012,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,10.368479163548852
2013,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,10.31664081198568
2014,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,10.5486013860031
2015,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,10.440246261908436
2016,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,10.350598097724715
2017,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,10.791679670311668
2018,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,10.690923718804086
2019,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,11.07282704474634
2020,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,11.030442549584606
2004,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.721252318557569
2005,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.600248477653506
2006,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.598798461585152
2007,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.651392305511016
2008,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.671871593887342
2009,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.716866019950801
2010,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.650890288840736
2011,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.6005747312688845
2012,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.680253114224885
2013,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.68956366739978
2014,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.700879592797207
2015,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.721324819360985
2016,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.731499582112618
2017,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.737554849214061
2018,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.737546866344737
2019,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.749702358826689
2020,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.759663588152557
2004,,Certified,Undefined,Units,Percentage (%),,4.778483543432336
2005,,Certified,Undefined,Units,Percentage (%),,5.1786867034542565
2006,,Certified,Undefined,Units,Percentage (%),,5.242206615958947
2007,,Certified,Undefined,Units,Percentage (%),,5.458114873983018
2008,,Certified,Undefined,Units,Percentage (%),,5.395329480470122
2009,,Certified,Undefined,Units,Percentage (%),,5.487484848499348
2010,,Certified,Undefined,Units,Percentage (%),,5.550137090833952
2011,,Certified,Undefined,Units,Percentage (%),,5.4545422465164775
2012,,Certified,Undefined,Units,Percentage (%),,5.6255326477370255
2013,,Certified,Undefined,Units,Percentage (%),,5.617299870982265
2014,,Certified,Undefined,Units,Percentage (%),,5.672537494300591
2015,,Certified,Undefined,Units,Percentage (%),,5.666421156898699
2016,,Certified,Undefined,Units,Percentage (%),,5.561487943556489
2017,,Certified,Undefined,Units,Percentage (%),,5.7181117475791865
2018,,Certified,Undefined,Units,Percentage (%),,5.664920893553653
2019,,Certified,Undefined,Units,Percentage (%),,5.764588618270835
2020,,Certified,Undefined,Units,Percentage (%),,5.743300024200776
2004,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.47044213662973
2005,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.159740868273618
2006,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.109927627634172
2007,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.053555189878438
2008,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.214634374276729
2009,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.176967614272499
2010,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.157348146887351
2011,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.345229795515031
2012,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.234297273858621
2013,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.24024002693857
2014,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.310738933439541
2015,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.285350346852496
2016,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.429080145885817
2017,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.438304791957763
2018,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.484555624758453
2019,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.552051194927431
2020,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.578491469348808
2004,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,8.4218754465968
2005,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,8.225531831217332
2006,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,8.253553239543734
2007,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,8.207174121026892
2008,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,8.341517515168283
2009,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,8.167011117831747
2010,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,8.188501120970665
2011,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,8.196522005285505
2012,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,8.018425290724021
2013,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,8.003784861055394
2014,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,7.943295245271335
2015,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,7.939504553756758
2016,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,7.975284060264753
2017,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,7.839751484264719
2018,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,7.898477390935188
2019,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,7.854102434627246
2020,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,7.87783007789403
2004,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,8.75828320245621
2005,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,8.203588597224613
2006,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,8.181073698703061
2007,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,7.751355760764147
2008,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,7.730879309792652
2009,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,7.63625629002545
2010,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,7.520094082819115
2011,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,7.5944467006231555
2012,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,7.641411065759815
2013,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,7.79128073097233
2014,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,7.733782784638889
2015,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,7.936932523762547
2016,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,8.069946284654423
2017,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,7.662733630481634
2018,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,7.869779049939755
2019,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,7.618410931209862
2020,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,7.80014966147953
2013,Northern Ireland,Non-certified,Undefined,Units,Percentage (%),N92000002,3.359185524814393
2014,Northern Ireland,Non-certified,Undefined,Units,Percentage (%),N92000002,3.380277458544657
2015,Northern Ireland,Non-certified,Undefined,Units,Percentage (%),N92000002,3.392385092715404
2016,Northern Ireland,Non-certified,Undefined,Units,Percentage (%),N92000002,3.3948979705618614
2017,Northern Ireland,Non-certified,Undefined,Units,Percentage (%),N92000002,3.4099404372549555
2018,Northern Ireland,Non-certified,Undefined,Units,Percentage (%),N92000002,3.427276112141098
2019,Northern Ireland,Non-certified,Undefined,Units,Percentage (%),N92000002,3.4432509313851964
2020,Northern Ireland,Non-certified,Undefined,Units,Percentage (%),N92000002,3.823054021232632
2013,,Non-certified,Undefined,Units,Percentage (%),,7.261782772656067
2014,,Non-certified,Undefined,Units,Percentage (%),,7.27720709672293
2015,,Non-certified,Undefined,Units,Percentage (%),,7.329138406911494
2016,,Non-certified,Undefined,Units,Percentage (%),,7.452183575492023
2017,,Non-certified,Undefined,Units,Percentage (%),,7.315726780271074
2018,,Non-certified,Undefined,Units,Percentage (%),,7.413003772872894
2019,,Non-certified,Undefined,Units,Percentage (%),,7.365683248960888
2020,,Non-certified,Undefined,Units,Percentage (%),,7.4618099174204
