Year,Series,Poverty reduction aid type,Observation status,Unit multiplier,Units,Value
2014,Official development assistance grants for poverty reduction (percentage of GNI),Basic education,Normal value,Units,Percentage (%),0.012
2014,Official development assistance grants for poverty reduction (percentage of GNI),Basic health,Normal value,Units,Percentage (%),0.035
2014,Official development assistance grants for poverty reduction (percentage of GNI),Development food aid,Normal value,Units,Percentage (%),0.001
2014,Official development assistance grants for poverty reduction (percentage of GNI),Water supply and sanitation,Normal value,Units,Percentage (%),0.011
2014,Official development assistance grants for poverty reduction (percentage of GNI),,Normal value,Units,Percentage (%),0.059
2015,Official development assistance grants for poverty reduction (percentage of GNI),Basic education,Normal value,Units,Percentage (%),0.012
2015,Official development assistance grants for poverty reduction (percentage of GNI),Basic health,Normal value,Units,Percentage (%),0.027
2015,Official development assistance grants for poverty reduction (percentage of GNI),Basic social services,Normal value,Units,Percentage (%),0.0
2015,Official development assistance grants for poverty reduction (percentage of GNI),Development food aid,Normal value,Units,Percentage (%),0.001
2015,Official development assistance grants for poverty reduction (percentage of GNI),Water supply and sanitation,Normal value,Units,Percentage (%),0.011
2015,Official development assistance grants for poverty reduction (percentage of GNI),,Normal value,Units,Percentage (%),0.051
2016,Official development assistance grants for poverty reduction (percentage of GNI),Basic education,Normal value,Units,Percentage (%),0.024
2016,Official development assistance grants for poverty reduction (percentage of GNI),Basic health,Normal value,Units,Percentage (%),0.026
2016,Official development assistance grants for poverty reduction (percentage of GNI),Basic social services,Normal value,Units,Percentage (%),0.0
2016,Official development assistance grants for poverty reduction (percentage of GNI),Development food aid,Normal value,Units,Percentage (%),0.002
2016,Official development assistance grants for poverty reduction (percentage of GNI),Water supply and sanitation,Normal value,Units,Percentage (%),0.009
2016,Official development assistance grants for poverty reduction (percentage of GNI),,Normal value,Units,Percentage (%),0.06
2017,Official development assistance grants for poverty reduction (percentage of GNI),Basic education,Normal value,Units,Percentage (%),0.018
2017,Official development assistance grants for poverty reduction (percentage of GNI),Basic health,Normal value,Units,Percentage (%),0.026
2017,Official development assistance grants for poverty reduction (percentage of GNI),Development food aid,Normal value,Units,Percentage (%),0.002
2017,Official development assistance grants for poverty reduction (percentage of GNI),Water supply and sanitation,Normal value,Units,Percentage (%),0.009
2017,Official development assistance grants for poverty reduction (percentage of GNI),,Normal value,Units,Percentage (%),0.055
2018,Official development assistance grants for poverty reduction (percentage of GNI),Basic education,Normal value,Units,Percentage (%),0.012
2018,Official development assistance grants for poverty reduction (percentage of GNI),Basic health,Normal value,Units,Percentage (%),0.021
2018,Official development assistance grants for poverty reduction (percentage of GNI),Development food aid,Normal value,Units,Percentage (%),0.002
2018,Official development assistance grants for poverty reduction (percentage of GNI),Water supply and sanitation,Normal value,Units,Percentage (%),0.01
2018,Official development assistance grants for poverty reduction (percentage of GNI),,Normal value,Units,Percentage (%),0.044
2019,Official development assistance grants for poverty reduction (percentage of GNI),Basic education,Normal value,Units,Percentage (%),0.015
2019,Official development assistance grants for poverty reduction (percentage of GNI),Basic health,Normal value,Units,Percentage (%),0.023
2019,Official development assistance grants for poverty reduction (percentage of GNI),Basic social services,Normal value,Units,Percentage (%),0.001
2019,Official development assistance grants for poverty reduction (percentage of GNI),Development food aid,Normal value,Units,Percentage (%),0.003
2019,Official development assistance grants for poverty reduction (percentage of GNI),Water supply and sanitation,Normal value,Units,Percentage (%),0.008
2019,Official development assistance grants for poverty reduction (percentage of GNI),,Normal value,Units,Percentage (%),0.05
2020,Official development assistance grants for poverty reduction (percentage of GNI),Basic education,Normal value,Units,Percentage (%),0.007
2020,Official development assistance grants for poverty reduction (percentage of GNI),Basic health,Normal value,Units,Percentage (%),0.036
2020,Official development assistance grants for poverty reduction (percentage of GNI),Development food aid,Normal value,Units,Percentage (%),0.003
2020,Official development assistance grants for poverty reduction (percentage of GNI),Water supply and sanitation,Normal value,Units,Percentage (%),0.005
2020,Official development assistance grants for poverty reduction (percentage of GNI),,Normal value,Units,Percentage (%),0.051
2021,Official development assistance grants for poverty reduction (percentage of GNI),Basic education,Normal value,Units,Percentage (%),0.004
2021,Official development assistance grants for poverty reduction (percentage of GNI),Basic health,Normal value,Units,Percentage (%),0.017
2021,Official development assistance grants for poverty reduction (percentage of GNI),Basic social services,Normal value,Units,Percentage (%),0.0
2021,Official development assistance grants for poverty reduction (percentage of GNI),Development food aid,Normal value,Units,Percentage (%),0.001
2021,Official development assistance grants for poverty reduction (percentage of GNI),Water supply and sanitation,Normal value,Units,Percentage (%),0.003
2021,Official development assistance grants for poverty reduction (percentage of GNI),,Normal value,Units,Percentage (%),0.025
