Year,Series,Region,Local authority,Sex,Unit measure,Observation status,GeoCode,Value
2010 to 2011,All state-funded schools,Inner London,Lambeth,,Percentage (%),Normal value,E13000001,94.2274
2010 to 2011,All state-funded schools,Inner London,Lewisham,,Percentage (%),Normal value,E13000001,95.5289
2010 to 2011,All state-funded schools,Inner London,Newham,,Percentage (%),Normal value,E13000001,96.1476
2010 to 2011,All state-funded schools,Inner London,Southwark,,Percentage (%),Normal value,E13000001,94.4184
2010 to 2011,All state-funded schools,Inner London,Tower Hamlets,,Percentage (%),Normal value,E13000001,94.4444
2010 to 2011,All state-funded schools,Inner London,Wandsworth,,Percentage (%),Normal value,E13000001,93.9955
2010 to 2011,All state-funded schools,Inner London,Westminster,,Percentage (%),Normal value,E13000001,89.1243
2010 to 2011,All state-funded schools,Inner London,,,Percentage (%),Normal value,E13000001,94.0377
2010 to 2011,All state-funded schools,North East,County Durham,,Percentage (%),Normal value,E12000001,97.3747
2010 to 2011,All state-funded schools,North East,Darlington,,Percentage (%),Normal value,E12000001,98.6536
2010 to 2011,All state-funded schools,North East,Gateshead,,Percentage (%),Normal value,E12000001,99.0566
2010 to 2011,All state-funded schools,North East,Hartlepool,,Percentage (%),Normal value,E12000001,96.905
2010 to 2011,All state-funded schools,North East,Middlesbrough,,Percentage (%),Normal value,E12000001,97.2538
2010 to 2011,All state-funded schools,North East,Newcastle Upon Tyne,,Percentage (%),Normal value,E12000001,98.5056
2010 to 2011,All state-funded schools,North East,North Tyneside,,Percentage (%),Normal value,E12000001,98.8433
2010 to 2011,All state-funded schools,North East,Northumberland,,Percentage (%),Normal value,E12000001,98.8103
2010 to 2011,All state-funded schools,North East,Redcar and Cleveland,,Percentage (%),Normal value,E12000001,96.5909
2010 to 2011,All state-funded schools,North East,South Tyneside,,Percentage (%),Normal value,E12000001,99.4307
2010 to 2011,All state-funded schools,North East,Stockton-on-Tees,,Percentage (%),Normal value,E12000001,96.8732
2010 to 2011,All state-funded schools,North East,Sunderland,,Percentage (%),Normal value,E12000001,98.445
2010 to 2011,All state-funded schools,North East,,,Percentage (%),Normal value,E12000001,98.0785
2010 to 2011,All state-funded schools,North West,Blackburn with Darwen,,Percentage (%),Normal value,E12000002,97.1776
2010 to 2011,All state-funded schools,North West,Blackpool,,Percentage (%),Normal value,E12000002,99.0415
2010 to 2011,All state-funded schools,North West,Bolton,,Percentage (%),Normal value,E12000002,98.1012
2010 to 2011,All state-funded schools,North West,Bury,,Percentage (%),Normal value,E12000002,98.8242
2010 to 2011,All state-funded schools,North West,Cheshire East,,Percentage (%),Normal value,E12000002,97.5556
2010 to 2011,All state-funded schools,North West,Cheshire West and Chester,,Percentage (%),Normal value,E12000002,98.4506
2010 to 2011,All state-funded schools,North West,Cumbria,,Percentage (%),Normal value,E12000002,97.716
2010 to 2011,All state-funded schools,North West,Halton,,Percentage (%),Normal value,E12000002,99.0282
2010 to 2011,All state-funded schools,North West,Knowsley,,Percentage (%),Normal value,E12000002,99.2109
2010 to 2011,All state-funded schools,North West,Lancashire,,Percentage (%),Normal value,E12000002,98.0044
2010 to 2011,All state-funded schools,North West,Liverpool,,Percentage (%),Normal value,E12000002,98.5435
2010 to 2011,All state-funded schools,North West,Manchester,,Percentage (%),Normal value,E12000002,96.9323
2010 to 2011,All state-funded schools,North West,Oldham,,Percentage (%),Normal value,E12000002,96.6442
2010 to 2011,All state-funded schools,North West,Rochdale,,Percentage (%),Normal value,E12000002,96.3509
2010 to 2011,All state-funded schools,North West,Salford,,Percentage (%),Normal value,E12000002,97.7871
2010 to 2011,All state-funded schools,North West,Sefton,,Percentage (%),Normal value,E12000002,97.9806
2010 to 2011,All state-funded schools,North West,St. Helens,,Percentage (%),Normal value,E12000002,99.7176
2010 to 2011,All state-funded schools,North West,Stockport,,Percentage (%),Normal value,E12000002,98.2615
2010 to 2011,All state-funded schools,North West,Tameside,,Percentage (%),Normal value,E12000002,97.9087
2010 to 2011,All state-funded schools,North West,Trafford,,Percentage (%),Normal value,E12000002,97.0359
2010 to 2011,All state-funded schools,North West,Warrington,,Percentage (%),Normal value,E12000002,97.8183
2010 to 2011,All state-funded schools,North West,Wigan,,Percentage (%),Normal value,E12000002,98.3533
2010 to 2011,All state-funded schools,North West,Wirral,,Percentage (%),Normal value,E12000002,98.6921
2010 to 2011,All state-funded schools,North West,,,Percentage (%),Normal value,E12000002,97.9656
2010 to 2011,All state-funded schools,Outer London,Barking and Dagenham,,Percentage (%),Normal value,E13000002,94.7094
2010 to 2011,All state-funded schools,Outer London,Barnet,,Percentage (%),Normal value,E13000002,91.8065
2010 to 2011,All state-funded schools,Outer London,Bexley,,Percentage (%),Normal value,E13000002,97.211
2010 to 2011,All state-funded schools,Outer London,Brent,,Percentage (%),Normal value,E13000002,94.4145
2010 to 2011,All state-funded schools,Outer London,Bromley,,Percentage (%),Normal value,E13000002,95.9954
2010 to 2011,All state-funded schools,Outer London,Croydon,,Percentage (%),Normal value,E13000002,91.2317
2010 to 2011,All state-funded schools,Outer London,Ealing,,Percentage (%),Normal value,E13000002,95.0668
2010 to 2011,All state-funded schools,Outer London,Enfield,,Percentage (%),Normal value,E13000002,96.7349
2010 to 2011,All state-funded schools,Outer London,Greenwich,,Percentage (%),Normal value,E13000002,91.9431
2010 to 2011,All state-funded schools,Outer London,Harrow,,Percentage (%),Normal value,E13000002,93.3562
2010 to 2011,All state-funded schools,Outer London,Havering,,Percentage (%),Normal value,E13000002,92.6973
2010 to 2011,All state-funded schools,Outer London,Hillingdon,,Percentage (%),Normal value,E13000002,94.3237
2010 to 2011,All state-funded schools,Outer London,Hounslow,,Percentage (%),Normal value,E13000002,94.6548
2010 to 2011,All state-funded schools,Outer London,Kingston Upon Thames,,Percentage (%),Normal value,E13000002,93.3634
2010 to 2011,All state-funded schools,Outer London,Merton,,Percentage (%),Normal value,E13000002,95.6373
2010 to 2011,All state-funded schools,Outer London,Redbridge,,Percentage (%),Normal value,E13000002,93.3986
2010 to 2011,All state-funded schools,Outer London,Richmond Upon Thames,,Percentage (%),Normal value,E13000002,98.2511
2010 to 2011,All state-funded schools,Outer London,Sutton,,Percentage (%),Normal value,E13000002,96.948
2010 to 2011,All state-funded schools,Outer London,Waltham Forest,,Percentage (%),Normal value,E13000002,94.4981
2010 to 2011,All state-funded schools,Outer London,,,Percentage (%),Normal value,E13000002,94.3387
2010 to 2011,All state-funded schools,South East,Bracknell Forest,,Percentage (%),Normal value,E12000008,94.9629
2010 to 2011,All state-funded schools,South East,Brighton and Hove,,Percentage (%),Normal value,E12000008,97.3995
2010 to 2011,All state-funded schools,South East,Buckinghamshire,,Percentage (%),Normal value,E12000008,94.5447
2010 to 2011,All state-funded schools,South East,East Sussex,,Percentage (%),Normal value,E12000008,95.8333
2010 to 2011,All state-funded schools,South East,Hampshire,,Percentage (%),Normal value,E12000008,98.4818
2010 to 2011,All state-funded schools,South East,Isle of Wight,,Percentage (%),Normal value,E12000008,94.276
2010 to 2011,All state-funded schools,South East,Kent,,Percentage (%),Normal value,E12000008,93.9447
2010 to 2011,All state-funded schools,South East,Medway,,Percentage (%),Normal value,E12000008,95.9093
2010 to 2011,All state-funded schools,South East,Milton Keynes,,Percentage (%),Normal value,E12000008,95.2129
2010 to 2011,All state-funded schools,South East,Oxfordshire,,Percentage (%),Normal value,E12000008,96.8331
2010 to 2011,All state-funded schools,South East,Portsmouth,,Percentage (%),Normal value,E12000008,96.716
2010 to 2011,All state-funded schools,South East,Reading,,Percentage (%),Normal value,E12000008,96.1506
2010 to 2011,All state-funded schools,South East,Slough,,Percentage (%),Normal value,E12000008,90.9365
2010 to 2011,All state-funded schools,South East,Southampton,,Percentage (%),Normal value,E12000008,98.1951
2010 to 2011,All state-funded schools,South East,Surrey,,Percentage (%),Normal value,E12000008,96.7565
2010 to 2011,All state-funded schools,South East,West Berkshire,,Percentage (%),Normal value,E12000008,95.2792
2010 to 2011,All state-funded schools,South East,West Sussex,,Percentage (%),Normal value,E12000008,97.7933
2010 to 2011,All state-funded schools,South East,Windsor and Maidenhead,,Percentage (%),Normal value,E12000008,95.1448
2010 to 2011,All state-funded schools,South East,Wokingham,,Percentage (%),Normal value,E12000008,97.3852
2010 to 2011,All state-funded schools,South East,,,Percentage (%),Normal value,E12000008,96.0996
2010 to 2011,All state-funded schools,South West,Bath and North East Somerset,,Percentage (%),Normal value,E12000009,99.0326
2010 to 2011,All state-funded schools,South West,Bournemouth,,Percentage (%),Normal value,E12000009,95.4238
2010 to 2011,All state-funded schools,South West,"Bristol, City of",,Percentage (%),Normal value,E12000009,98.4197
2010 to 2011,All state-funded schools,South West,Cornwall,,Percentage (%),Normal value,E12000009,96.4061
2010 to 2011,All state-funded schools,South West,Devon,,Percentage (%),Normal value,E12000009,98.0888
2010 to 2011,All state-funded schools,South West,Dorset,,Percentage (%),Normal value,E12000009,95.9868
2010 to 2011,All state-funded schools,South West,Gloucestershire,,Percentage (%),Normal value,E12000009,97.7566
2010 to 2011,All state-funded schools,South West,Isles of Scilly,,Percentage (%),Normal value,E12000009,96.9696
2010 to 2011,All state-funded schools,South West,North Somerset,,Percentage (%),Normal value,E12000009,98.9241
2010 to 2011,All state-funded schools,South West,Plymouth,,Percentage (%),Normal value,E12000009,97.3316
2010 to 2011,All state-funded schools,South West,Poole,,Percentage (%),Normal value,E12000009,97.9694
2010 to 2011,All state-funded schools,South West,Somerset,,Percentage (%),Normal value,E12000009,97.1126
2010 to 2011,All state-funded schools,South West,South Gloucestershire,,Percentage (%),Normal value,E12000009,99.1819
2010 to 2011,All state-funded schools,South West,Swindon,,Percentage (%),Normal value,E12000009,97.9853
2010 to 2011,All state-funded schools,South West,Torbay,,Percentage (%),Normal value,E12000009,97.4443
2010 to 2011,All state-funded schools,South West,Wiltshire,,Percentage (%),Normal value,E12000009,97.3183
2010 to 2011,All state-funded schools,South West,,,Percentage (%),Normal value,E12000009,97.5571
2010 to 2011,All state-funded schools,West Midlands,Birmingham,,Percentage (%),Normal value,E12000005,95.8237
2010 to 2011,All state-funded schools,West Midlands,Coventry,,Percentage (%),Normal value,E12000005,94.7461
2010 to 2011,All state-funded schools,West Midlands,Dudley,,Percentage (%),Normal value,E12000005,97.9921
2010 to 2011,All state-funded schools,West Midlands,"Herefordshire, County of",,Percentage (%),Normal value,E12000005,96.3033
2010 to 2011,All state-funded schools,West Midlands,Sandwell,,Percentage (%),Normal value,E12000005,96.1022
2010 to 2011,All state-funded schools,West Midlands,Shropshire,,Percentage (%),Normal value,E12000005,98.2895
2010 to 2011,All state-funded schools,West Midlands,Solihull,,Percentage (%),Normal value,E12000005,95.0544
2010 to 2011,All state-funded schools,West Midlands,Staffordshire,,Percentage (%),Normal value,E12000005,95.8534
2010 to 2011,All state-funded schools,West Midlands,Stoke-on-Trent,,Percentage (%),Normal value,E12000005,95.7786
2010 to 2011,All state-funded schools,West Midlands,Telford and Wrekin,,Percentage (%),Normal value,E12000005,97.6991
2010 to 2011,All state-funded schools,West Midlands,Walsall,,Percentage (%),Normal value,E12000005,97.2375
2010 to 2011,All state-funded schools,West Midlands,Warwickshire,,Percentage (%),Normal value,E12000005,96.4608
2010 to 2011,All state-funded schools,West Midlands,Wolverhampton,,Percentage (%),Normal value,E12000005,95.5329
2010 to 2011,All state-funded schools,West Midlands,Worcestershire,,Percentage (%),Normal value,E12000005,98.8507
2010 to 2011,All state-funded schools,West Midlands,,,Percentage (%),Normal value,E12000005,96.4332
2010 to 2011,All state-funded schools,Yorkshire and The Humber,Barnsley,,Percentage (%),Normal value,E12000003,97.2147
2010 to 2011,All state-funded schools,Yorkshire and The Humber,Bradford,,Percentage (%),Normal value,E12000003,97.5122
2010 to 2011,All state-funded schools,Yorkshire and The Humber,Calderdale,,Percentage (%),Normal value,E12000003,96.9106
2010 to 2011,All state-funded schools,Yorkshire and The Humber,Doncaster,,Percentage (%),Normal value,E12000003,97.8033
2010 to 2011,All state-funded schools,Yorkshire and The Humber,East Riding of Yorkshire,,Percentage (%),Normal value,E12000003,96.4762
2010 to 2011,All state-funded schools,Yorkshire and The Humber,"Kingston Upon Hull, City of",,Percentage (%),Normal value,E12000003,94.5921
2010 to 2011,All state-funded schools,Yorkshire and The Humber,Kirklees,,Percentage (%),Normal value,E12000003,97.8071
2010 to 2011,All state-funded schools,Yorkshire and The Humber,Leeds,,Percentage (%),Normal value,E12000003,97.3102
2010 to 2011,All state-funded schools,Yorkshire and The Humber,North East Lincolnshire,,Percentage (%),Normal value,E12000003,91.9887
2010 to 2011,All state-funded schools,Yorkshire and The Humber,North Lincolnshire,,Percentage (%),Normal value,E12000003,95.5395
2010 to 2011,All state-funded schools,Yorkshire and The Humber,North Yorkshire,,Percentage (%),Normal value,E12000003,99.5806
2010 to 2011,All state-funded schools,Yorkshire and The Humber,Rotherham,,Percentage (%),Normal value,E12000003,97.7192
2010 to 2011,All state-funded schools,Yorkshire and The Humber,Sheffield,,Percentage (%),Normal value,E12000003,97.7025
2010 to 2011,All state-funded schools,Yorkshire and The Humber,Wakefield,,Percentage (%),Normal value,E12000003,97.631
2010 to 2011,All state-funded schools,Yorkshire and The Humber,York,,Percentage (%),Normal value,E12000003,98.8771
2010 to 2011,All state-funded schools,Yorkshire and The Humber,,,Percentage (%),Normal value,E12000003,97.3494
2010 to 2011,All state-funded schools,,,Female,Percentage (%),Normal value,,96.6929
2010 to 2011,All state-funded schools,,,Gender unclassified,Percentage (%),Normal value,,91.434
2010 to 2011,All state-funded schools,,,Male,Percentage (%),Normal value,,95.2933
2010 to 2011,All state-funded schools,,,,Percentage (%),Normal value,,96.332
2010 to 2011,Nursery,East Midlands,,,Percentage (%),Normal value,E12000004,97.1962
2010 to 2011,Nursery,East of England,,,Percentage (%),Normal value,E12000006,99.4285
2010 to 2011,Nursery,Inner London,,,Percentage (%),Normal value,E13000001,95.0
2010 to 2011,Nursery,North East,,,Percentage (%),Normal value,E12000001,100.0
2010 to 2011,Nursery,North West,,,Percentage (%),Normal value,E12000002,99.1525
2010 to 2011,Nursery,Outer London,,,Percentage (%),Normal value,E13000002,97.3509
2010 to 2011,Nursery,South East,,,Percentage (%),Normal value,E12000008,97.8723
2010 to 2011,Nursery,South West,,,Percentage (%),Normal value,E12000009,97.7272
2010 to 2011,Nursery,West Midlands,,,Percentage (%),Normal value,E12000005,99.5024
2010 to 2011,Nursery,Yorkshire and The Humber,,,Percentage (%),Normal value,E12000003,97.7099
2010 to 2011,Nursery,,,Female,Percentage (%),Normal value,,98.0371
2010 to 2011,Nursery,,,Gender unclassified,Percentage (%),Normal value,,100.0
2010 to 2011,Nursery,,,Male,Percentage (%),Normal value,,97.9591
2010 to 2011,Nursery,,,,Percentage (%),Normal value,,98.0372
2010 to 2011,Primary,,,Female,Percentage (%),Normal value,,98.2777359199311
2010 to 2011,Primary,,,Gender unclassified,Percentage (%),Normal value,,96.7788440276886
2010 to 2011,Primary,,,Male,Percentage (%),Normal value,,97.0129456192408
2010 to 2011,Primary,,,,Percentage (%),Normal value,,98.115263410777
2010 to 2011,Primary,East Midlands,,,Percentage (%),Normal value,E12000004,98.3330372289579
2010 to 2011,Primary,East of England,,,Percentage (%),Normal value,E12000006,97.4951883440568
2010 to 2011,Primary,Inner London,,,Percentage (%),Normal value,E13000001,95.2605749829794
2010 to 2011,Primary,North East,,,Percentage (%),Normal value,E12000001,99.2905117775045
2010 to 2011,Primary,North West,,,Percentage (%),Normal value,E12000002,99.0314060654399
2010 to 2011,Primary,Outer London,,,Percentage (%),Normal value,E13000002,96.092057958576
2010 to 2011,Primary,South East,,,Percentage (%),Normal value,E12000008,98.0980895080046
2010 to 2011,Primary,South West,,,Percentage (%),Normal value,E12000009,99.039718805206
2010 to 2011,Primary,West Midlands,,,Percentage (%),Normal value,E12000005,98.6942789645182
2010 to 2011,Primary,Yorkshire and The Humber,,,Percentage (%),Normal value,E12000003,98.9351117050161
2010 to 2011,Secondary,East Midlands,,,Percentage (%),Normal value,E12000004,94.7622
2010 to 2011,Secondary,East of England,,,Percentage (%),Normal value,E12000006,93.1909
2010 to 2011,Secondary,Inner London,,,Percentage (%),Normal value,E13000001,93.1377
2010 to 2011,Secondary,North East,,,Percentage (%),Normal value,E12000001,97.7197
2010 to 2011,Secondary,North West,,,Percentage (%),Normal value,E12000002,97.3787
2010 to 2011,Secondary,Outer London,,,Percentage (%),Normal value,E13000002,94.2766
2010 to 2011,Secondary,South East,,,Percentage (%),Normal value,E12000008,94.8801
2010 to 2011,Secondary,South West,,,Percentage (%),Normal value,E12000009,97.078
2010 to 2011,Secondary,West Midlands,,,Percentage (%),Normal value,E12000005,95.9187
2010 to 2011,Secondary,Yorkshire and The Humber,,,Percentage (%),Normal value,E12000003,96.396
2010 to 2011,Secondary,,,Female,Percentage (%),Normal value,,95.3225
2010 to 2011,Secondary,,,Gender unclassified,Percentage (%),Normal value,,87.457
2010 to 2011,Secondary,,,Male,Percentage (%),Normal value,,95.7585
2010 to 2011,Secondary,,,,Percentage (%),Normal value,,95.4821
2011 to 2012,All state-funded schools,East Midlands,Derby,,Percentage (%),Normal value,E12000004,96.5201
2011 to 2012,All state-funded schools,East Midlands,Derbyshire,,Percentage (%),Normal value,E12000004,98.3066
2011 to 2012,All state-funded schools,East Midlands,Leicester,,Percentage (%),Normal value,E12000004,96.0959
2011 to 2012,All state-funded schools,East Midlands,Leicestershire,,Percentage (%),Normal value,E12000004,96.0987
2011 to 2012,All state-funded schools,East Midlands,Lincolnshire,,Percentage (%),Normal value,E12000004,94.7375
2011 to 2012,All state-funded schools,East Midlands,Northamptonshire,,Percentage (%),Normal value,E12000004,95.5099
2011 to 2012,All state-funded schools,East Midlands,Nottingham,,Percentage (%),Normal value,E12000004,96.5089
2011 to 2012,All state-funded schools,East Midlands,Nottinghamshire,,Percentage (%),Normal value,E12000004,97.3115
2011 to 2012,All state-funded schools,East Midlands,Rutland,,Percentage (%),Normal value,E12000004,95.4838
2011 to 2012,All state-funded schools,East Midlands,,,Percentage (%),Normal value,E12000004,96.4012
2011 to 2012,All state-funded schools,East of England,Bedford,,Percentage (%),Normal value,E12000006,94.4613
2011 to 2012,All state-funded schools,East of England,Cambridgeshire,,Percentage (%),Normal value,E12000006,95.9229
2011 to 2012,All state-funded schools,East of England,Central Bedfordshire,,Percentage (%),Normal value,E12000006,95.7478
2011 to 2012,All state-funded schools,East of England,Essex,,Percentage (%),Normal value,E12000006,95.5505
2011 to 2012,All state-funded schools,East of England,Hertfordshire,,Percentage (%),Normal value,E12000006,95.2757
2011 to 2012,All state-funded schools,East of England,Luton,,Percentage (%),Normal value,E12000006,94.6902
2011 to 2012,All state-funded schools,East of England,Norfolk,,Percentage (%),Normal value,E12000006,95.6086
2011 to 2012,All state-funded schools,East of England,Peterborough,,Percentage (%),Normal value,E12000006,94.7446
2011 to 2012,All state-funded schools,East of England,Southend-on-Sea,,Percentage (%),Normal value,E12000006,86.6886
2011 to 2012,All state-funded schools,East of England,Suffolk,,Percentage (%),Normal value,E12000006,96.1418
2011 to 2012,All state-funded schools,East of England,Thurrock,,Percentage (%),Normal value,E12000006,92.9081
2011 to 2012,All state-funded schools,East of England,,,Percentage (%),Normal value,E12000006,95.1386
2011 to 2012,All state-funded schools,Inner London,Camden,,Percentage (%),Normal value,E13000001,96.8199
2011 to 2012,All state-funded schools,Inner London,City of London,,Percentage (%),Normal value,E13000001,78.9473
2011 to 2012,All state-funded schools,Inner London,Hackney,,Percentage (%),Normal value,E13000001,93.851
2011 to 2012,All state-funded schools,Inner London,Hammersmith and Fulham,,Percentage (%),Normal value,E13000001,89.038
2011 to 2012,All state-funded schools,Inner London,Haringey,,Percentage (%),Normal value,E13000001,95.0316
2011 to 2012,All state-funded schools,Inner London,Islington,,Percentage (%),Normal value,E13000001,96.4171
2011 to 2012,All state-funded schools,Inner London,Kensington and Chelsea,,Percentage (%),Normal value,E13000001,91.4183
2011 to 2012,All state-funded schools,Inner London,Lambeth,,Percentage (%),Normal value,E13000001,93.9214
2011 to 2012,All state-funded schools,Inner London,Lewisham,,Percentage (%),Normal value,E13000001,95.3325
2011 to 2012,All state-funded schools,Inner London,Newham,,Percentage (%),Normal value,E13000001,96.2764
2011 to 2012,All state-funded schools,Inner London,Southwark,,Percentage (%),Normal value,E13000001,94.7619
2011 to 2012,All state-funded schools,Inner London,Tower Hamlets,,Percentage (%),Normal value,E13000001,95.4063
2011 to 2012,All state-funded schools,Inner London,Wandsworth,,Percentage (%),Normal value,E13000001,92.9544
2011 to 2012,All state-funded schools,Inner London,Westminster,,Percentage (%),Normal value,E13000001,90.4672
2011 to 2012,All state-funded schools,Inner London,,,Percentage (%),Normal value,E13000001,94.3186
2011 to 2012,All state-funded schools,North East,County Durham,,Percentage (%),Normal value,E12000001,97.088
2011 to 2012,All state-funded schools,North East,Darlington,,Percentage (%),Normal value,E12000001,97.5243
2011 to 2012,All state-funded schools,North East,Gateshead,,Percentage (%),Normal value,E12000001,98.6999
2011 to 2012,All state-funded schools,North East,Hartlepool,,Percentage (%),Normal value,E12000001,95.2531
2011 to 2012,All state-funded schools,North East,Middlesbrough,,Percentage (%),Normal value,E12000001,96.445
2011 to 2012,All state-funded schools,North East,Newcastle Upon Tyne,,Percentage (%),Normal value,E12000001,97.8589
2011 to 2012,All state-funded schools,North East,North Tyneside,,Percentage (%),Normal value,E12000001,99.1507
2011 to 2012,All state-funded schools,North East,Northumberland,,Percentage (%),Normal value,E12000001,98.4493
2011 to 2012,All state-funded schools,North East,Redcar and Cleveland,,Percentage (%),Normal value,E12000001,96.137
2011 to 2012,All state-funded schools,North East,South Tyneside,,Percentage (%),Normal value,E12000001,98.715
2011 to 2012,All state-funded schools,North East,Stockton-on-Tees,,Percentage (%),Normal value,E12000001,96.6647
2011 to 2012,All state-funded schools,North East,Sunderland,,Percentage (%),Normal value,E12000001,99.1812
2011 to 2012,All state-funded schools,North East,,,Percentage (%),Normal value,E12000001,97.7557
2011 to 2012,All state-funded schools,North West,Blackburn with Darwen,,Percentage (%),Normal value,E12000002,97.1266
2011 to 2012,All state-funded schools,North West,Blackpool,,Percentage (%),Normal value,E12000002,98.7844
2011 to 2012,All state-funded schools,North West,Bolton,,Percentage (%),Normal value,E12000002,98.0696
2011 to 2012,All state-funded schools,North West,Bury,,Percentage (%),Normal value,E12000002,99.2647
2011 to 2012,All state-funded schools,North West,Cheshire East,,Percentage (%),Normal value,E12000002,98.1589
2011 to 2012,All state-funded schools,North West,Cheshire West and Chester,,Percentage (%),Normal value,E12000002,97.4509
2011 to 2012,All state-funded schools,North West,Cumbria,,Percentage (%),Normal value,E12000002,98.0982
2011 to 2012,All state-funded schools,North West,Halton,,Percentage (%),Normal value,E12000002,99.234
2011 to 2012,All state-funded schools,North West,Knowsley,,Percentage (%),Normal value,E12000002,98.9461
2011 to 2012,All state-funded schools,North West,Lancashire,,Percentage (%),Normal value,E12000002,98.4218
2011 to 2012,All state-funded schools,North West,Liverpool,,Percentage (%),Normal value,E12000002,98.3386
2011 to 2012,All state-funded schools,North West,Manchester,,Percentage (%),Normal value,E12000002,98.0662
2011 to 2012,All state-funded schools,North West,Oldham,,Percentage (%),Normal value,E12000002,97.7484
2011 to 2012,All state-funded schools,North West,Rochdale,,Percentage (%),Normal value,E12000002,98.3392
2011 to 2012,All state-funded schools,North West,Salford,,Percentage (%),Normal value,E12000002,96.4186
2011 to 2012,All state-funded schools,North West,Sefton,,Percentage (%),Normal value,E12000002,98.5254
2011 to 2012,All state-funded schools,North West,St. Helens,,Percentage (%),Normal value,E12000002,99.3455
2011 to 2012,All state-funded schools,North West,Stockport,,Percentage (%),Normal value,E12000002,98.3511
2011 to 2012,All state-funded schools,North West,Tameside,,Percentage (%),Normal value,E12000002,98.2368
2011 to 2012,All state-funded schools,North West,Trafford,,Percentage (%),Normal value,E12000002,95.758
2011 to 2012,All state-funded schools,North West,Warrington,,Percentage (%),Normal value,E12000002,97.9844
2011 to 2012,All state-funded schools,North West,Wigan,,Percentage (%),Normal value,E12000002,98.8715
2011 to 2012,All state-funded schools,North West,Wirral,,Percentage (%),Normal value,E12000002,99.1032
2011 to 2012,All state-funded schools,North West,,,Percentage (%),Normal value,E12000002,98.1934
2011 to 2012,All state-funded schools,Outer London,Barking and Dagenham,,Percentage (%),Normal value,E13000002,95.1331
2011 to 2012,All state-funded schools,Outer London,Barnet,,Percentage (%),Normal value,E13000002,92.7173
2011 to 2012,All state-funded schools,Outer London,Bexley,,Percentage (%),Normal value,E13000002,98.027
2011 to 2012,All state-funded schools,Outer London,Brent,,Percentage (%),Normal value,E13000002,95.4938
2011 to 2012,All state-funded schools,Outer London,Bromley,,Percentage (%),Normal value,E13000002,96.6087
2011 to 2012,All state-funded schools,Outer London,Croydon,,Percentage (%),Normal value,E13000002,92.3168
