Year,Series,Sex,Relationship to perpetrator,Age,Ethnicity,Income,Disability status,Country of birth,Region,Units,Unit multiplier,Observation status,GeoCode,Value
2008/09,Percentage of adults aged 16 to 59 (%),Female,Partner,,,,,,,Percentage (%),Units,Normal value,,0.2686457351589055
2008/09,Percentage of adults aged 16 to 59 (%),Female,,,,,,,,Percentage (%),Units,Normal value,,2.9796500560357337
2008/09,Percentage of adults aged 16 to 59 (%),Male,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0081908299567925
2008/09,Percentage of adults aged 16 to 59 (%),Male,Partner,,,,,,,Percentage (%),Units,Normal value,,0.1772537707530306
2008/09,Percentage of adults aged 16 to 59 (%),Male,,,,,,,,Percentage (%),Units,Normal value,,0.6913240502662868
2008/09,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0234790674628576
2008/09,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Percentage (%),Units,Normal value,,0.2204798946418313
2008/09,Percentage of adults aged 16 to 59 (%),,,,,,,,,Percentage (%),Units,Normal value,,1.887869890969026
2009/10,Percentage of adults aged 16 to 59 (%),Female,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0343295513931812
2009/10,Percentage of adults aged 16 to 59 (%),Female,Partner,,,,,,,Percentage (%),Units,Normal value,,0.4400372725020354
2009/10,Percentage of adults aged 16 to 59 (%),Female,,,,,,,,Percentage (%),Units,Normal value,,2.750517656315929
2009/10,Percentage of adults aged 16 to 59 (%),Male,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0
2009/10,Percentage of adults aged 16 to 59 (%),Male,Partner,,,,,,,Percentage (%),Units,Normal value,,0.1959297468994902
2009/10,Percentage of adults aged 16 to 59 (%),Male,,,,,,,,Percentage (%),Units,Normal value,,1.02214864516915
2009/10,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0171259598303727
2009/10,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Percentage (%),Units,Normal value,,0.3190584814468588
2009/10,Percentage of adults aged 16 to 59 (%),,,,,,,,,Percentage (%),Units,Normal value,,1.8663253703843976
2010/11,Percentage of adults aged 16 to 59 (%),Female,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0860683571329515
2010/11,Percentage of adults aged 16 to 59 (%),Female,Partner,,,,,,,Percentage (%),Units,Normal value,,0.4457061667101186
2010/11,Percentage of adults aged 16 to 59 (%),Female,,,,,,,,Percentage (%),Units,Normal value,,2.9241257833519048
2010/11,Percentage of adults aged 16 to 59 (%),Male,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0
2010/11,Percentage of adults aged 16 to 59 (%),Male,Partner,,,,,,,Percentage (%),Units,Normal value,,0.1545054539121381
2010/11,Percentage of adults aged 16 to 59 (%),Male,,,,,,,,Percentage (%),Units,Normal value,,0.8525419993938651
2010/11,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0431860164615531
2010/11,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Percentage (%),Units,Normal value,,0.3047823828494001
2010/11,Percentage of adults aged 16 to 59 (%),,,,,,,,,Percentage (%),Units,Normal value,,1.9124697866567124
2011/12,Percentage of adults aged 16 to 59 (%),Female,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0194953676221905
2011/12,Percentage of adults aged 16 to 59 (%),Female,Partner,,,,,,,Percentage (%),Units,Normal value,,0.402680877040676
2011/12,Percentage of adults aged 16 to 59 (%),Female,,,,,,,,Percentage (%),Units,Normal value,,3.3450652048261045
2011/12,Percentage of adults aged 16 to 59 (%),Male,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0
2011/12,Percentage of adults aged 16 to 59 (%),Male,Partner,,,,,,,Percentage (%),Units,Normal value,,0.0
2011/12,Percentage of adults aged 16 to 59 (%),Male,,,,,,,,Percentage (%),Units,Normal value,,0.8019246449108717
2011/12,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0097204815405059
2011/12,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Percentage (%),Units,Normal value,,0.2128713881147914
2011/12,Percentage of adults aged 16 to 59 (%),,,,,,,,,Percentage (%),Units,Normal value,,2.1201791277459545
2012/13,Percentage of adults aged 16 to 59 (%),Female,Family member,,,,,,,Percentage (%),Units,Normal value,,0.02765640168892
2012/13,Percentage of adults aged 16 to 59 (%),Female,Partner,,,,,,,Percentage (%),Units,Normal value,,0.2414814727478358
2012/13,Percentage of adults aged 16 to 59 (%),Female,,,,,,,,Percentage (%),Units,Normal value,,2.3453355670110603
2012/13,Percentage of adults aged 16 to 59 (%),Male,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0126187555055138
2012/13,Percentage of adults aged 16 to 59 (%),Male,Partner,,,,,,,Percentage (%),Units,Normal value,,0.1219949989119881
2012/13,Percentage of adults aged 16 to 59 (%),Male,,,,,,,,Percentage (%),Units,Normal value,,0.7889063825956348
2012/13,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0201651583446617
2012/13,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Percentage (%),Units,Normal value,,0.1818524782663706
2012/13,Percentage of adults aged 16 to 59 (%),,,,,,,,,Percentage (%),Units,Normal value,,1.568753275268881
2013/14,Percentage of adults aged 16 to 59 (%),Female,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0392408905892831
2013/14,Percentage of adults aged 16 to 59 (%),Female,Partner,,,,,,,Percentage (%),Units,Normal value,,0.2133264935196214
2013/14,Percentage of adults aged 16 to 59 (%),Female,,,,,,,,Percentage (%),Units,Normal value,,1.813297347583786
2013/14,Percentage of adults aged 16 to 59 (%),Male,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0347529618357633
2013/14,Percentage of adults aged 16 to 59 (%),Male,Partner,,,,,,,Percentage (%),Units,Normal value,,0.0831878750101829
2013/14,Percentage of adults aged 16 to 59 (%),Male,,,,,,,,Percentage (%),Units,Normal value,,0.6741722037520375
2013/14,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0370111138564946
2013/14,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Percentage (%),Units,Normal value,,0.1486918763743441
2013/14,Percentage of adults aged 16 to 59 (%),,,,,,,,,Percentage (%),Units,Normal value,,1.2473063626980463
2014/15,Percentage of adults aged 16 to 59 (%),Female,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0387835962382943
2014/15,Percentage of adults aged 16 to 59 (%),Female,Partner,,,,,,,Percentage (%),Units,Normal value,,0.3339368703317226
2014/15,Percentage of adults aged 16 to 59 (%),Female,,,,,,,,Percentage (%),Units,Normal value,,2.3701036303484897
2014/15,Percentage of adults aged 16 to 59 (%),Male,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0
2014/15,Percentage of adults aged 16 to 59 (%),Male,Partner,,,,,,,Percentage (%),Units,Normal value,,0.0449068296943657
2014/15,Percentage of adults aged 16 to 59 (%),Male,,,,,,,,Percentage (%),Units,Normal value,,0.6232282040002418
2014/15,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0195804532360345
2014/15,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Percentage (%),Units,Normal value,,0.1907556345200028
2014/15,Percentage of adults aged 16 to 59 (%),,,,,,,,,Percentage (%),Units,Normal value,,1.5052141786840456
2015/16,Percentage of adults aged 16 to 59 (%),Female,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0226693926614473
2015/16,Percentage of adults aged 16 to 59 (%),Female,Partner,,,,,,,Percentage (%),Units,Normal value,,0.3781658131002129
2015/16,Percentage of adults aged 16 to 59 (%),Female,,,,,,,,Percentage (%),Units,Normal value,,2.8245726902570256
2015/16,Percentage of adults aged 16 to 59 (%),Male,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0
2015/16,Percentage of adults aged 16 to 59 (%),Male,Partner,,,,,,,Percentage (%),Units,Normal value,,0.0699209817509307
2015/16,Percentage of adults aged 16 to 59 (%),Male,,,,,,,,Percentage (%),Units,Normal value,,0.5897704524117864
2015/16,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0114312439382766
2015/16,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Percentage (%),Units,Normal value,,0.2250003700231362
2015/16,Percentage of adults aged 16 to 59 (%),,,,,,,,,Percentage (%),Units,Normal value,,1.715373385729858
2016/17,Percentage of adults aged 16 to 59 (%),Female,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0239109566316042
2016/17,Percentage of adults aged 16 to 59 (%),Female,Partner,,,,,,,Percentage (%),Units,Normal value,,0.2566273183447821
2016/17,Percentage of adults aged 16 to 59 (%),Female,,,,,,,,Percentage (%),Units,Normal value,,2.673493973298345
2016/17,Percentage of adults aged 16 to 59 (%),Female,,16 to 19,,,,,,Percentage (%),Units,Normal value,,8.362879614480724
2016/17,Percentage of adults aged 16 to 59 (%),Female,,20 to 24,,,,,,Percentage (%),Units,Normal value,,6.186424784666137
2016/17,Percentage of adults aged 16 to 59 (%),Female,,25 to 34,,,,,,Percentage (%),Units,Normal value,,2.8751542899058182
2016/17,Percentage of adults aged 16 to 59 (%),Female,,35 to 44,,,,,,Percentage (%),Units,Normal value,,1.3631080251104648
2016/17,Percentage of adults aged 16 to 59 (%),Female,,45 to 54,,,,,,Percentage (%),Units,Normal value,,1.043001704921817
2016/17,Percentage of adults aged 16 to 59 (%),Female,,55 to 59,,,,,,Percentage (%),Units,Normal value,,0.9948036549832432
2016/17,Percentage of adults aged 16 to 59 (%),Female,,,White,,,,,Percentage (%),Units,Normal value,,2.655470620497132
2016/17,Percentage of adults aged 16 to 59 (%),Female,,,Mixed/Multiple ethnic groups,,,,,Percentage (%),Units,Normal value,,7.915370883820403
2016/17,Percentage of adults aged 16 to 59 (%),Female,,,Asian/Asian British,,,,,Percentage (%),Units,Normal value,,1.3837783121048963
2016/17,Percentage of adults aged 16 to 59 (%),Female,,,Black/African/Caribbean/Black British,,,,,Percentage (%),Units,Normal value,,3.484754505535031
2016/17,Percentage of adults aged 16 to 59 (%),Female,,,Other ethnic group,,,,,Percentage (%),Units,Normal value,,3.2670855856483256
2016/17,Percentage of adults aged 16 to 59 (%),Female,,,,"Less than £10,000",,,,Percentage (%),Units,Normal value,,2.002250128452912
2016/17,Percentage of adults aged 16 to 59 (%),Female,,,,"£10,000 to less than £20,000",,,,Percentage (%),Units,Normal value,,2.1283860416256024
2016/17,Percentage of adults aged 16 to 59 (%),Female,,,,"£20,000 to less than £30,000",,,,Percentage (%),Units,Normal value,,2.849108535864769
2016/17,Percentage of adults aged 16 to 59 (%),Female,,,,"£30,000 to less than £40,000",,,,Percentage (%),Units,Normal value,,2.047737029511293
2016/17,Percentage of adults aged 16 to 59 (%),Female,,,,"£40,000 to less than £50,000",,,,Percentage (%),Units,Normal value,,2.328704509447902
2016/17,Percentage of adults aged 16 to 59 (%),Female,,,,"£50,000 or more",,,,Percentage (%),Units,Normal value,,2.552372352921863
2016/17,Percentage of adults aged 16 to 59 (%),Female,,,,No income stated or not enough information provided,,,,Percentage (%),Units,Normal value,,4.039596935340057
2016/17,Percentage of adults aged 16 to 59 (%),Female,,,,,,,North East,Percentage (%),Units,Normal value,E12000001,4.383127158047293
2016/17,Percentage of adults aged 16 to 59 (%),Female,,,,,,,North West,Percentage (%),Units,Normal value,E12000002,1.947006276443231
2016/17,Percentage of adults aged 16 to 59 (%),Female,,,,,,,Yorkshire and The Humber,Percentage (%),Units,Normal value,E12000003,1.5510738254308756
2016/17,Percentage of adults aged 16 to 59 (%),Female,,,,,,,East Midlands,Percentage (%),Units,Normal value,E12000004,2.475070758258445
2016/17,Percentage of adults aged 16 to 59 (%),Female,,,,,,,West Midlands,Percentage (%),Units,Normal value,E12000005,2.450002398015956
2016/17,Percentage of adults aged 16 to 59 (%),Female,,,,,,,East,Percentage (%),Units,Normal value,E12000006,2.3749725896884706
2016/17,Percentage of adults aged 16 to 59 (%),Female,,,,,,,London,Percentage (%),Units,Normal value,E12000007,3.014889370753691
2016/17,Percentage of adults aged 16 to 59 (%),Female,,,,,,,South East,Percentage (%),Units,Normal value,E12000008,2.9129343499194413
2016/17,Percentage of adults aged 16 to 59 (%),Female,,,,,,,South West,Percentage (%),Units,Normal value,E12000009,3.315841589824461
2016/17,Percentage of adults aged 16 to 59 (%),Female,,,,,,,Wales,Percentage (%),Units,Normal value,W92000004,3.184628097454394
2016/17,Percentage of adults aged 16 to 59 (%),Male,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0258999241082854
2016/17,Percentage of adults aged 16 to 59 (%),Male,Partner,,,,,,,Percentage (%),Units,Normal value,,0.0542261055438619
2016/17,Percentage of adults aged 16 to 59 (%),Male,,,,,,,,Percentage (%),Units,Normal value,,0.8018492776244551
2016/17,Percentage of adults aged 16 to 59 (%),Male,,16 to 19,,,,,,Percentage (%),Units,Normal value,,3.037513840087863
2016/17,Percentage of adults aged 16 to 59 (%),Male,,20 to 24,,,,,,Percentage (%),Units,Normal value,,1.6659956122708386
2016/17,Percentage of adults aged 16 to 59 (%),Male,,25 to 34,,,,,,Percentage (%),Units,Normal value,,1.0360621397775551
2016/17,Percentage of adults aged 16 to 59 (%),Male,,35 to 44,,,,,,Percentage (%),Units,Normal value,,0.3213437180002343
2016/17,Percentage of adults aged 16 to 59 (%),Male,,45 to 54,,,,,,Percentage (%),Units,Normal value,,0.1536907386804137
2016/17,Percentage of adults aged 16 to 59 (%),Male,,55 to 59,,,,,,Percentage (%),Units,Normal value,,0.0820519075357496
2016/17,Percentage of adults aged 16 to 59 (%),Male,,,White,,,,,Percentage (%),Units,Normal value,,0.8495725219497449
2016/17,Percentage of adults aged 16 to 59 (%),Male,,,Mixed/Multiple ethnic groups,,,,,Percentage (%),Units,Normal value,,1.403893577100262
2016/17,Percentage of adults aged 16 to 59 (%),Male,,,Asian/Asian British,,,,,Percentage (%),Units,Normal value,,0.4726501563065205
2016/17,Percentage of adults aged 16 to 59 (%),Male,,,Black/African/Caribbean/Black British,,,,,Percentage (%),Units,Normal value,,0.0
2016/17,Percentage of adults aged 16 to 59 (%),Male,,,Other ethnic group,,,,,Percentage (%),Units,Normal value,,1.3471774495790587
2016/17,Percentage of adults aged 16 to 59 (%),Male,,,,"Less than £10,000",,,,Percentage (%),Units,Normal value,,1.6612751463262432
2016/17,Percentage of adults aged 16 to 59 (%),Male,,,,"£10,000 to less than £20,000",,,,Percentage (%),Units,Normal value,,0.572082645154207
2016/17,Percentage of adults aged 16 to 59 (%),Male,,,,"£20,000 to less than £30,000",,,,Percentage (%),Units,Normal value,,0.9662799560028522
2016/17,Percentage of adults aged 16 to 59 (%),Male,,,,"£30,000 to less than £40,000",,,,Percentage (%),Units,Normal value,,1.017016950553519
2016/17,Percentage of adults aged 16 to 59 (%),Male,,,,"£40,000 to less than £50,000",,,,Percentage (%),Units,Normal value,,0.2491439393884193
2016/17,Percentage of adults aged 16 to 59 (%),Male,,,,"£50,000 or more",,,,Percentage (%),Units,Normal value,,0.6826890375209541
2016/17,Percentage of adults aged 16 to 59 (%),Male,,,,No income stated or not enough information provided,,,,Percentage (%),Units,Normal value,,1.0233424593656166
2016/17,Percentage of adults aged 16 to 59 (%),Male,,,,,,,North East,Percentage (%),Units,Normal value,E12000001,0.0
2016/17,Percentage of adults aged 16 to 59 (%),Male,,,,,,,North West,Percentage (%),Units,Normal value,E12000002,0.6142775646233953
2016/17,Percentage of adults aged 16 to 59 (%),Male,,,,,,,Yorkshire and The Humber,Percentage (%),Units,Normal value,E12000003,0.5549000672142662
2016/17,Percentage of adults aged 16 to 59 (%),Male,,,,,,,East Midlands,Percentage (%),Units,Normal value,E12000004,0.580044599429054
2016/17,Percentage of adults aged 16 to 59 (%),Male,,,,,,,West Midlands,Percentage (%),Units,Normal value,E12000005,1.3861192168051888
2016/17,Percentage of adults aged 16 to 59 (%),Male,,,,,,,East,Percentage (%),Units,Normal value,E12000006,0.9225236374749048
2016/17,Percentage of adults aged 16 to 59 (%),Male,,,,,,,London,Percentage (%),Units,Normal value,E12000007,1.0225564368922362
2016/17,Percentage of adults aged 16 to 59 (%),Male,,,,,,,South East,Percentage (%),Units,Normal value,E12000008,0.6252288813412801
2016/17,Percentage of adults aged 16 to 59 (%),Male,,,,,,,South West,Percentage (%),Units,Normal value,E12000009,1.1725549760417393
2016/17,Percentage of adults aged 16 to 59 (%),Male,,,,,,,Wales,Percentage (%),Units,Normal value,W92000004,0.4215998530778582
2016/17,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0249035369795763
2016/17,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Percentage (%),Units,Normal value,,0.1552139436659
2016/17,Percentage of adults aged 16 to 59 (%),,,,,,,,,Percentage (%),Units,Normal value,,1.738902155951773
2017/18,Percentage of adults aged 16 to 59 (%),Female,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0607097539504903
2017/18,Percentage of adults aged 16 to 59 (%),Female,Partner,,,,,,,Percentage (%),Units,Normal value,,0.2594601655545305
2017/18,Percentage of adults aged 16 to 59 (%),Female,,,,,,,,Percentage (%),Units,Normal value,,3.836737919901081
2017/18,Percentage of adults aged 16 to 59 (%),Female,,16 to 19,,,,,,Percentage (%),Units,Normal value,,15.765318728511325
2017/18,Percentage of adults aged 16 to 59 (%),Female,,20 to 24,,,,,,Percentage (%),Units,Normal value,,10.072858843128325
2017/18,Percentage of adults aged 16 to 59 (%),Female,,25 to 34,,,,,,Percentage (%),Units,Normal value,,2.7960895766197185
2017/18,Percentage of adults aged 16 to 59 (%),Female,,35 to 44,,,,,,Percentage (%),Units,Normal value,,1.5846374307146591
2017/18,Percentage of adults aged 16 to 59 (%),Female,,45 to 54,,,,,,Percentage (%),Units,Normal value,,1.6991519254694507
2017/18,Percentage of adults aged 16 to 59 (%),Female,,55 to 59,,,,,,Percentage (%),Units,Normal value,,1.987944337089789
2017/18,Percentage of adults aged 16 to 59 (%),Female,,,White,,,,,Percentage (%),Units,Normal value,,3.565087259598908
2017/18,Percentage of adults aged 16 to 59 (%),Female,,,Mixed/Multiple ethnic groups,,,,,Percentage (%),Units,Normal value,,6.665798848837354
2017/18,Percentage of adults aged 16 to 59 (%),Female,,,Asian/Asian British,,,,,Percentage (%),Units,Normal value,,3.532645481943971
2017/18,Percentage of adults aged 16 to 59 (%),Female,,,Black/African/Caribbean/Black British,,,,,Percentage (%),Units,Normal value,,8.970713774337106
2017/18,Percentage of adults aged 16 to 59 (%),Female,,,Other ethnic group,,,,,Percentage (%),Units,Normal value,,0.9325843673448012
2017/18,Percentage of adults aged 16 to 59 (%),Female,,,,"Less than £10,000",,,,Percentage (%),Units,Normal value,,5.973540176237726
2017/18,Percentage of adults aged 16 to 59 (%),Female,,,,"£10,000 to less than £20,000",,,,Percentage (%),Units,Normal value,,4.773448300826203
2017/18,Percentage of adults aged 16 to 59 (%),Female,,,,"£20,000 to less than £30,000",,,,Percentage (%),Units,Normal value,,3.823857021483824
2017/18,Percentage of adults aged 16 to 59 (%),Female,,,,"£30,000 to less than £40,000",,,,Percentage (%),Units,Normal value,,3.725808485298448
2017/18,Percentage of adults aged 16 to 59 (%),Female,,,,"£40,000 to less than £50,000",,,,Percentage (%),Units,Normal value,,2.9249085359227265
2017/18,Percentage of adults aged 16 to 59 (%),Female,,,,"£50,000 or more",,,,Percentage (%),Units,Normal value,,3.3272893495778315
2017/18,Percentage of adults aged 16 to 59 (%),Female,,,,No income stated or not enough information provided,,,,Percentage (%),Units,Normal value,,3.904182535836093
2017/18,Percentage of adults aged 16 to 59 (%),Female,,,,,Disabled (GSS harmonised),,,Percentage (%),Units,Normal value,,6.267541156337666
2017/18,Percentage of adults aged 16 to 59 (%),Female,,,,,Non-disabled (GSS harmonised),,,Percentage (%),Units,Normal value,,3.467378277794434
2017/18,Percentage of adults aged 16 to 59 (%),Female,,,,,,Born in UK,,Percentage (%),Units,Normal value,,3.969369004433475
2017/18,Percentage of adults aged 16 to 59 (%),Female,,,,,,Not born in UK,,Percentage (%),Units,Normal value,,3.240731663692055
2017/18,Percentage of adults aged 16 to 59 (%),Female,,,,,,,North East,Percentage (%),Units,Normal value,E12000001,0.99067221055655
2017/18,Percentage of adults aged 16 to 59 (%),Female,,,,,,,North West,Percentage (%),Units,Normal value,E12000002,4.018330709062895
2017/18,Percentage of adults aged 16 to 59 (%),Female,,,,,,,Yorkshire and The Humber,Percentage (%),Units,Normal value,E12000003,4.935791606702722
2017/18,Percentage of adults aged 16 to 59 (%),Female,,,,,,,East Midlands,Percentage (%),Units,Normal value,E12000004,3.393760710054132
2017/18,Percentage of adults aged 16 to 59 (%),Female,,,,,,,West Midlands,Percentage (%),Units,Normal value,E12000005,4.124530690186661
2017/18,Percentage of adults aged 16 to 59 (%),Female,,,,,,,East,Percentage (%),Units,Normal value,E12000006,2.8971117469360834
2017/18,Percentage of adults aged 16 to 59 (%),Female,,,,,,,London,Percentage (%),Units,Normal value,E12000007,4.919636579410367
2017/18,Percentage of adults aged 16 to 59 (%),Female,,,,,,,South East,Percentage (%),Units,Normal value,E12000008,3.450859308550772
2017/18,Percentage of adults aged 16 to 59 (%),Female,,,,,,,South West,Percentage (%),Units,Normal value,E12000009,3.559847632515889
2017/18,Percentage of adults aged 16 to 59 (%),Female,,,,,,,Wales,Percentage (%),Units,Normal value,W92000004,4.260756281026612
2017/18,Percentage of adults aged 16 to 59 (%),Male,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0371602753468076
2017/18,Percentage of adults aged 16 to 59 (%),Male,Partner,,,,,,,Percentage (%),Units,Normal value,,0.0653234848835438
2017/18,Percentage of adults aged 16 to 59 (%),Male,,,,,,,,Percentage (%),Units,Normal value,,1.1853964199235367
2017/18,Percentage of adults aged 16 to 59 (%),Male,,16 to 19,,,,,,Percentage (%),Units,Normal value,,2.245941937517596
2017/18,Percentage of adults aged 16 to 59 (%),Male,,20 to 24,,,,,,Percentage (%),Units,Normal value,,3.588374999088877
2017/18,Percentage of adults aged 16 to 59 (%),Male,,25 to 34,,,,,,Percentage (%),Units,Normal value,,1.986826528654553
2017/18,Percentage of adults aged 16 to 59 (%),Male,,35 to 44,,,,,,Percentage (%),Units,Normal value,,0.2218326510536739
2017/18,Percentage of adults aged 16 to 59 (%),Male,,45 to 54,,,,,,Percentage (%),Units,Normal value,,0.189660160908116
2017/18,Percentage of adults aged 16 to 59 (%),Male,,55 to 59,,,,,,Percentage (%),Units,Normal value,,0.1013158170715044
2017/18,Percentage of adults aged 16 to 59 (%),Male,,,White,,,,,Percentage (%),Units,Normal value,,1.289414352630696
2017/18,Percentage of adults aged 16 to 59 (%),Male,,,Mixed/Multiple ethnic groups,,,,,Percentage (%),Units,Normal value,,0.0
2017/18,Percentage of adults aged 16 to 59 (%),Male,,,Asian/Asian British,,,,,Percentage (%),Units,Normal value,,0.4647311974489664
