Year,Series,Units,Material category,Observation status,Unit multiplier,Value
2019,Domestic material consumption,Tonnes,,Normal value,Millions,574.4623
2020,Domestic material consumption,Tonnes,,Normal value,Millions,518.2729
2000,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.9288796507155337
2001,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.8493884593913354
2002,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.9518813051981194
2003,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.8609884302377617
2004,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.896451137477664
2005,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.8466987951456235
2006,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.749302378824217
2007,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.633883501993466
2008,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.7269203179644235
2009,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.626535873812485
2010,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.5569342092448983
2011,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.606039695413513
2012,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.497251786868321
2013,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.646655784839197
2014,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.8026285284436594
2015,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.6830104250905475
2016,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.5636388246938746
2017,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.7634201571287704
2018,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.630487743384378
2019,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.8000619849987745
2020,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.450931358835766
2000,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,4.085753683806535
2001,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,4.097719621741411
2002,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,3.8996912358483096
2003,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,4.096766851236577
2004,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,4.239503866898956
2005,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,4.151926804962539
2006,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,4.039298820704277
2007,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,3.9040902035785767
2008,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,3.660514275964915
2009,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,3.35255333535302
2010,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,3.080643337635049
2011,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,3.045150643172264
2012,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,3.048151770747145
2013,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,2.859145622319055
2014,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,2.641892892695286
2015,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,2.470735923744104
2016,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,2.2701937212030683
2017,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,2.2041913270773184
2018,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,2.2356810472706257
2019,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,2.1367563272897163
2020,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,1.8394160727573976
2000,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.2881070405409766
2001,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.3434895877387376
2002,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.3181416204980317
2003,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.291810430302085
2004,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.3218078876051528
2005,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.2858874926762786
2006,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.2972114371386672
2007,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.3347979401189597
2008,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.2496838918207708
2009,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.1004376997635386
2010,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.1503661854557821
2011,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.1418405535769887
2012,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.1546471291199454
2013,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.1974272035349643
2014,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.2304125136198798
2015,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.2094009043214445
2016,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.1857541733072544
2017,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.1750841899715399
2018,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.1693746796707485
2019,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.2005589877971263
2020,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.1171758408618422
2000,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,5.014911838277624
2001,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,5.140316004939692
2002,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,4.880466329884092
2003,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,4.759027257427654
2004,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,4.922063525752737
2005,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,4.712863113068061
2006,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,4.671642313445756
2007,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,4.721811279768978
2008,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,4.145376312529103
2009,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,3.306739365959977
2010,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,3.237077134639281
2011,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,3.267381310416529
2012,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,2.904678013651356
2013,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,2.9501953135054206
2014,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,3.2721366547965136
2015,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,3.2163859720914907
2016,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,3.3472340246368915
2017,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,3.326950910482155
2018,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,3.4239785777343608
2019,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,3.3100309719894248
2020,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,3.183076506911009
2000,Domestic material consumption per capita,Tonnes,,Normal value,Units,12.453465249014624
2001,Domestic material consumption per capita,Tonnes,,Normal value,Units,12.566249386767716
2002,Domestic material consumption per capita,Tonnes,,Normal value,Units,12.160885831380748
2003,Domestic material consumption per capita,Tonnes,,Normal value,Units,12.12359269873287
2004,Domestic material consumption per capita,Tonnes,,Normal value,Units,12.53947015234136
2005,Domestic material consumption per capita,Tonnes,,Normal value,Units,12.121382061783905
2006,Domestic material consumption per capita,Tonnes,,Normal value,Units,11.900069092596558
2007,Domestic material consumption per capita,Tonnes,,Normal value,Units,11.717034218145004
2008,Domestic material consumption per capita,Tonnes,,Normal value,Units,10.907477466758255
2009,Domestic material consumption per capita,Tonnes,,Normal value,Units,9.501154552503817
2010,Domestic material consumption per capita,Tonnes,,Normal value,Units,9.165958991104064
2011,Domestic material consumption per capita,Tonnes,,Normal value,Units,9.18482686576763
2012,Domestic material consumption per capita,Tonnes,,Normal value,Units,8.720830992466372
2013,Domestic material consumption per capita,Tonnes,,Normal value,Units,8.780585874687434
2014,Domestic material consumption per capita,Tonnes,,Normal value,Units,9.075310783427623
2015,Domestic material consumption per capita,Tonnes,,Normal value,Units,8.697579546648676
2016,Domestic material consumption per capita,Tonnes,,Normal value,Units,8.49968378346752
2017,Domestic material consumption per capita,Tonnes,,Normal value,Units,8.600952913109976
2018,Domestic material consumption per capita,Tonnes,,Normal value,Units,8.592822667984233
2019,Domestic material consumption per capita,Tonnes,,Normal value,Units,8.600146111774475
2020,Domestic material consumption per capita,Tonnes,,Normal value,Units,7.726048987113147
2000,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,48.53528750028125
2001,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,49.8769686201147
2002,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,49.550041278959306
2003,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,43.8230071339642
2004,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,39.872665036445085
2005,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,40.01118307468762
2006,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,38.59868608080367
2007,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,34.41925110248868
2008,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,40.609328637630114
2009,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,48.01394500921959
2010,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,47.20263866312342
2011,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,47.02730775093792
2012,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,46.09663447851876
2013,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,49.75778375659618
2014,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,49.86231434583596
2015,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,51.00035980133504
2016,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,54.96709523699021
2017,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,62.312578333842
2018,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,58.028314389587855
2019,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,64.98553960633765
2020,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,62.64836414559803
2000,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,67.70617210250934
2001,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,71.72831500527771
2002,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,65.45990225664262
2003,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,62.75196398924567
2004,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,58.36118393931627
2005,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,58.35654400435467
2006,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,56.7095232477131
2007,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,51.0181490343192
2008,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,54.51242056326755
2009,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,61.28578447720362
2010,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,56.87064367576704
2011,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,54.95128746367983
2012,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,56.26566722268196
2013,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,53.75264528878421
2014,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,47.00262362517031
2015,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,46.96531176571205
2016,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,48.67532558713181
2017,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,49.702483488427525
2018,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,49.31891547951067
2019,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,49.59113893910431
2020,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,47.01739505104317
2000,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,4.774302706529887
2001,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,6.012595205302689
2002,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,5.340299557598391
2003,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,4.469787585904598
2004,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,4.43002056638878
2005,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,4.018232216116441
2006,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,4.172684332614625
2007,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,4.375096453897387
2008,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,3.718295379470803
2009,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,1.8360343909177976
2010,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,2.7758558251358147
2011,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,2.559584712530645
2012,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,2.854622918554073
2013,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,3.711680286282149
2014,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,4.099330705703125
2015,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,3.980424885139306
2016,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,3.98276357671696
2017,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,3.947987161660728
2018,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,3.73638964343722
2019,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,4.654694829872792
2020,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,2.9951368164249104
2000,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,83.10351290805174
2001,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,89.97838789963271
2002,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,81.92311380558615
2003,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,72.89609536647103
2004,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,67.75732816999964
2005,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,66.2406676619478
2006,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,65.58727644050873
2007,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,61.704022966060215
2008,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,61.73299157043352
2009,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,60.44828995484679
2010,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,59.75851148558127
2011,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,58.96155254083323
2012,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,53.617292968679216
2013,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,55.46440201631472
2014,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,58.21545909782021
2015,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,61.139099685420256
2016,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,71.76819512970206
2017,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,75.01967758593211
2018,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,75.53264822148623
2019,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,76.82120966637002
2020,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,81.36275844256379
2000,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,206.36987118539395
2001,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,219.96524351412376
2002,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,204.13164779780496
2003,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,185.70235507093395
2004,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,172.61885990392054
2005,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,170.36956548381875
2006,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,167.07039385076564
2007,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,153.11669731237248
2008,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,162.43427948264315
2009,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,173.6842495685566
2010,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,169.20945744077744
2011,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,165.74485815228505
2012,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,160.97734346314743
2013,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,165.07718748755426
2014,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,161.46128339052905
2015,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,165.32909530712868
2016,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,182.24210193335225
2017,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,193.94356329104457
2018,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,189.5568669824837
2019,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,199.5974156148031
2020,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,197.4858776058555
