Year,Developing country participation,Institution,Observation status,Unit multiplier,Unit measure,Value
2010,Voting rights in international organisations,Inter-American Development Bank,Undefined,Units,Percentage (%),2.08333
2010,Voting rights in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),0.53476
2010,Voting rights in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),0.54945
2010,Voting rights in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),0.54945
2010,Voting rights in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.52083
2010,Voting rights in international organisations,UN Security Council,Undefined,Units,Percentage (%),6.66667
2010,Voting rights in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.65359
2014,Voting rights in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.26582
2015,Voting rights in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),1.49254
2015,Voting rights in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.25
2015,Voting rights in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85185
2015,Voting rights in international organisations,Financial Stability Board,Undefined,Units,Percentage (%),4.16667
2015,Voting rights in international organisations,Inter-American Development Bank,Undefined,Units,Percentage (%),2.08333
2015,Voting rights in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),0.53191
2015,Voting rights in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),0.54348
2015,Voting rights in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),0.53191
2015,Voting rights in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.51813
2015,Voting rights in international organisations,UN Security Council,Undefined,Units,Percentage (%),6.66667
2015,Voting rights in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.625
2016,Voting rights in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),1.493
2016,Voting rights in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.25
2016,Voting rights in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85185
2016,Voting rights in international organisations,Financial Stability Board,Undefined,Units,Percentage (%),4.16667
2016,Voting rights in international organisations,Inter-American Development Bank,Undefined,Units,Percentage (%),2.08333
2016,Voting rights in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),0.53191
2016,Voting rights in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),0.54348
2016,Voting rights in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),0.53191
2016,Voting rights in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.51813
2016,Voting rights in international organisations,UN Security Council,Undefined,Units,Percentage (%),6.66667
2016,Voting rights in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.61728
2017,Voting rights in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),1.493
2017,Voting rights in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.25
2017,Voting rights in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85185
2017,Voting rights in international organisations,Financial Stability Board,Undefined,Units,Percentage (%),4.16667
2017,Voting rights in international organisations,Inter-American Development Bank,Undefined,Units,Percentage (%),2.08333
2017,Voting rights in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),0.5291
2017,Voting rights in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),0.54348
2017,Voting rights in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),0.5291
2017,Voting rights in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.51813
2017,Voting rights in international organisations,UN Security Council,Undefined,Units,Percentage (%),6.66667
2017,Voting rights in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.60976
2018,Voting rights in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85185
2018,Voting rights in international organisations,Financial Stability Board,Undefined,Units,Percentage (%),4.16667
2018,Voting rights in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),0.5291
2018,Voting rights in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),0.54348
2018,Voting rights in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),0.5291
2018,Voting rights in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.51813
2018,Voting rights in international organisations,UN Security Council,Undefined,Units,Percentage (%),6.66667
2018,Voting rights in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.60976
2000,Membership in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),2.003
2000,Membership in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.75
2000,Membership in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85185
2000,Membership in international organisations,Inter-American Development Bank,Undefined,Units,Percentage (%),0.964
2000,Membership in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),4.32714
2000,Membership in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),5.05049
2000,Membership in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),5.02788
2000,Membership in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.5291
2000,Membership in international organisations,UN Security Council,Undefined,Units,Percentage (%),6.66667
2000,Membership in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.71429
2005,Membership in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),1.96
2005,Membership in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.677
2005,Membership in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85185
2005,Membership in international organisations,Inter-American Development Bank,Undefined,Units,Percentage (%),0.964
2005,Membership in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),4.30275
2005,Membership in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),5.0351
2005,Membership in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),4.94795
2005,Membership in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.52356
2005,Membership in international organisations,UN Security Council,Undefined,Units,Percentage (%),6.66667
2005,Membership in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.67114
2010,Membership in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),2.154
2010,Membership in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.649
2010,Membership in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85185
2010,Membership in international organisations,Financial Stability Board,Undefined,Units,Percentage (%),5.76923
2010,Membership in international organisations,Inter-American Development Bank,Undefined,Units,Percentage (%),0.964
2010,Membership in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),4.29581
2010,Membership in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),5.02154
2010,Membership in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),4.86023
2010,Membership in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.52083
2010,Membership in international organisations,UN Security Council,Undefined,Units,Percentage (%),6.66667
2010,Membership in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.65359
2014,Membership in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.689
2015,Membership in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),1.934
2015,Membership in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.75
2015,Membership in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85185
2015,Membership in international organisations,Financial Stability Board,Undefined,Units,Percentage (%),5.26316
2015,Membership in international organisations,Inter-American Development Bank,Undefined,Units,Percentage (%),0.964
2015,Membership in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),3.93197
2015,Membership in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),4.48893
2015,Membership in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),4.28962
2015,Membership in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.51813
2015,Membership in international organisations,UN Security Council,Undefined,Units,Percentage (%),6.66667
2015,Membership in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.625
2016,Membership in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),1.932
2016,Membership in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.75185
2016,Membership in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85185
2016,Membership in international organisations,Financial Stability Board,Undefined,Units,Percentage (%),5.26316
2016,Membership in international organisations,Inter-American Development Bank,Undefined,Units,Percentage (%),0.964
2016,Membership in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),3.94
2016,Membership in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),4.48893
2016,Membership in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),4.069
2016,Membership in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.51813
2016,Membership in international organisations,UN Security Council,Undefined,Units,Percentage (%),6.66667
2016,Membership in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.61728
2017,Membership in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),1.932
2017,Membership in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.75185
2017,Membership in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85185
2017,Membership in international organisations,Financial Stability Board,Undefined,Units,Percentage (%),5.26316
2017,Membership in international organisations,Inter-American Development Bank,Undefined,Units,Percentage (%),0.964
2017,Membership in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),3.85952
2017,Membership in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),4.48893
2017,Membership in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),4.03566
2017,Membership in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.51813
2017,Membership in international organisations,UN Security Council,Undefined,Units,Percentage (%),6.66667
2017,Membership in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.60976
2018,Membership in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85185
2018,Membership in international organisations,Financial Stability Board,Undefined,Units,Percentage (%),5.26316
2018,Membership in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),3.77874
2018,Membership in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),4.48404
2018,Membership in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),4.03481
2018,Membership in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.51813
2018,Membership in international organisations,UN Security Council,Undefined,Units,Percentage (%),6.66667
2018,Membership in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.60976
