Year,Units,Local Authority,Deprivation decile,Unit multiplier,Unit measure,GeoCode,Value
2018/19,Number of people in treatment,Barking and Dagenham,,Units,Count,E09000002,355.0
2010/11,Estimated prevalence,Barnet,,Units,Number,E09000003,3042.0
2011/12,Estimated prevalence,Barnet,,Units,Number,E09000003,3057.0
2012/13,Estimated prevalence,Barnet,,Units,Number,E09000003,3040.0
2013/14,Estimated prevalence,Barnet,,Units,Number,E09000003,3095.0
2014/15,Estimated prevalence,Barnet,,Units,Number,E09000003,3114.0
2015/16,Estimated prevalence,Barnet,,Units,Number,E09000003,3029.0
2016/17,Estimated prevalence,Barnet,,Units,Number,E09000003,3055.0
2017/18,Estimated prevalence,Barnet,,Units,Number,E09000003,3046.0
2018/19,Estimated prevalence,Barnet,,Units,Number,E09000003,3043.333333
2010/11,Met need (%),Barnet,,Units,Percentage (%),E09000003,13.6423405654175
2011/12,Met need (%),Barnet,,Units,Percentage (%),E09000003,13.2482826300294
2012/13,Met need (%),Barnet,,Units,Percentage (%),E09000003,19.5723684210526
2013/14,Met need (%),Barnet,,Units,Percentage (%),E09000003,21.9709208400646
2014/15,Met need (%),Barnet,,Units,Percentage (%),E09000003,19.1072575465639
2015/16,Met need (%),Barnet,,Units,Percentage (%),E09000003,17.3324529547706
2016/17,Met need (%),Barnet,,Units,Percentage (%),E09000003,12.7659574468085
2017/18,Met need (%),Barnet,,Units,Percentage (%),E09000003,13.6244254760341
2018/19,Met need (%),Barnet,,Units,Percentage (%),E09000003,12.78203724
2010/11,Number of people in treatment,Barnet,,Units,Count,E09000003,415.0
2011/12,Number of people in treatment,Barnet,,Units,Count,E09000003,405.0
2012/13,Number of people in treatment,Barnet,,Units,Count,E09000003,595.0
2013/14,Number of people in treatment,Barnet,,Units,Count,E09000003,680.0
2014/15,Number of people in treatment,Barnet,,Units,Count,E09000003,595.0
2015/16,Number of people in treatment,Barnet,,Units,Count,E09000003,525.0
2016/17,Number of people in treatment,Barnet,,Units,Count,E09000003,390.0
2017/18,Number of people in treatment,Barnet,,Units,Count,E09000003,415.0
2018/19,Number of people in treatment,Barnet,,Units,Count,E09000003,389.0
2018/19,Number of people in treatment,Barnet,,Units,Count,E09000003,390.0
2010/11,Estimated prevalence,Barnsley,,Units,Number,E08000016,3454.0
2011/12,Estimated prevalence,Barnsley,,Units,Number,E08000016,3472.0
2012/13,Estimated prevalence,Barnsley,,Units,Number,E08000016,3475.0
2013/14,Estimated prevalence,Barnsley,,Units,Number,E08000016,3549.0
2014/15,Estimated prevalence,Barnsley,,Units,Number,E08000016,3555.0
2015/16,Estimated prevalence,Barnsley,,Units,Number,E08000016,3597.0
2016/17,Estimated prevalence,Barnsley,,Units,Number,E08000016,3458.0
2017/18,Estimated prevalence,Barnsley,,Units,Number,E08000016,3551.0
2018/19,Estimated prevalence,Barnsley,,Units,Number,E08000016,3535.333333
2010/11,Met need (%),Barnsley,,Units,Percentage (%),E08000016,17.9502026635785
2011/12,Met need (%),Barnsley,,Units,Percentage (%),E08000016,24.6255760368664
2012/13,Met need (%),Barnsley,,Units,Percentage (%),E08000016,27.3381294964029
2013/14,Met need (%),Barnsley,,Units,Percentage (%),E08000016,24.3730628346013
2014/15,Met need (%),Barnsley,,Units,Percentage (%),E08000016,19.1279887482419
2015/16,Met need (%),Barnsley,,Units,Percentage (%),E08000016,15.9855435084793
2016/17,Met need (%),Barnsley,,Units,Percentage (%),E08000016,13.1578947368421
2017/18,Met need (%),Barnsley,,Units,Percentage (%),E08000016,14.6437623204731
2018/19,Met need (%),Barnsley,,Units,Percentage (%),E08000016,11.85178201
2010/11,Number of people in treatment,Barnsley,,Units,Count,E08000016,620.0
2011/12,Number of people in treatment,Barnsley,,Units,Count,E08000016,855.0
2012/13,Number of people in treatment,Barnsley,,Units,Count,E08000016,950.0
2013/14,Number of people in treatment,Barnsley,,Units,Count,E08000016,865.0
2014/15,Number of people in treatment,Barnsley,,Units,Count,E08000016,680.0
2015/16,Number of people in treatment,Barnsley,,Units,Count,E08000016,575.0
2016/17,Number of people in treatment,Barnsley,,Units,Count,E08000016,455.0
2017/18,Number of people in treatment,Barnsley,,Units,Count,E08000016,520.0
2018/19,Number of people in treatment,Barnsley,,Units,Count,E08000016,419.0
2018/19,Number of people in treatment,Barnsley,,Units,Count,E08000016,420.0
2010/11,Estimated prevalence,Bath and North East Somerset,,Units,Number,E06000022,1667.0
2011/12,Estimated prevalence,Bath and North East Somerset,,Units,Number,E06000022,1667.0
2012/13,Estimated prevalence,Bath and North East Somerset,,Units,Number,E06000022,1682.0
2013/14,Estimated prevalence,Bath and North East Somerset,,Units,Number,E06000022,1732.0
2014/15,Estimated prevalence,Bath and North East Somerset,,Units,Number,E06000022,1719.0
2015/16,Estimated prevalence,Bath and North East Somerset,,Units,Number,E06000022,1783.0
2016/17,Estimated prevalence,Bath and North East Somerset,,Units,Number,E06000022,1732.0
2017/18,Estimated prevalence,Bath and North East Somerset,,Units,Number,E06000022,1815.0
2018/19,Estimated prevalence,Bath and North East Somerset,,Units,Number,E06000022,1776.666667
2010/11,Met need (%),Bath and North East Somerset,,Units,Percentage (%),E06000022,23.995200959808
2011/12,Met need (%),Bath and North East Somerset,,Units,Percentage (%),E06000022,24.2951409718056
2012/13,Met need (%),Bath and North East Somerset,,Units,Percentage (%),E06000022,28.2401902497027
2013/14,Met need (%),Bath and North East Somerset,,Units,Percentage (%),E06000022,30.0230946882217
2014/15,Met need (%),Bath and North East Somerset,,Units,Percentage (%),E06000022,25.8871436881908
2015/16,Met need (%),Bath and North East Somerset,,Units,Percentage (%),E06000022,22.9949523275379
2016/17,Met need (%),Bath and North East Somerset,,Units,Percentage (%),E06000022,19.3418013856813
2017/18,Met need (%),Bath and North East Somerset,,Units,Percentage (%),E06000022,18.732782369146
2018/19,Met need (%),Bath and North East Somerset,,Units,Percentage (%),E06000022,21.89493433
2010/11,Number of people in treatment,Bath and North East Somerset,,Units,Count,E06000022,400.0
2011/12,Number of people in treatment,Bath and North East Somerset,,Units,Count,E06000022,405.0
2012/13,Number of people in treatment,Bath and North East Somerset,,Units,Count,E06000022,475.0
2013/14,Number of people in treatment,Bath and North East Somerset,,Units,Count,E06000022,520.0
2014/15,Number of people in treatment,Bath and North East Somerset,,Units,Count,E06000022,445.0
2015/16,Number of people in treatment,Bath and North East Somerset,,Units,Count,E06000022,410.0
2016/17,Number of people in treatment,Bath and North East Somerset,,Units,Count,E06000022,335.0
2017/18,Number of people in treatment,Bath and North East Somerset,,Units,Count,E06000022,340.0
2018/19,Number of people in treatment,Bath and North East Somerset,,Units,Count,E06000022,389.0
2018/19,Number of people in treatment,Bath and North East Somerset,,Units,Count,E06000022,390.0
2010/11,Estimated prevalence,Bedford,,Units,Number,E06000055,1434.0
2011/12,Estimated prevalence,Bedford,,Units,Number,E06000055,1431.0
2012/13,Estimated prevalence,Bedford,,Units,Number,E06000055,1435.0
2013/14,Estimated prevalence,Bedford,,Units,Number,E06000055,1455.0
2014/15,Estimated prevalence,Bedford,,Units,Number,E06000055,1443.0
2015/16,Estimated prevalence,Bedford,,Units,Number,E06000055,1685.0
2016/17,Estimated prevalence,Bedford,,Units,Number,E06000055,1546.0
2017/18,Estimated prevalence,Bedford,,Units,Number,E06000055,1474.0
2018/19,Estimated prevalence,Bedford,,Units,Number,E06000055,1568.333333
2012/13,Met need (%),Bedford,,Units,Percentage (%),E06000055,20.9059233449477
2013/14,Met need (%),Bedford,,Units,Percentage (%),E06000055,15.807560137457
2014/15,Met need (%),Bedford,,Units,Percentage (%),E06000055,18.018018018018
2015/16,Met need (%),Bedford,,Units,Percentage (%),E06000055,15.13353115727
2016/17,Met need (%),Bedford,,Units,Percentage (%),E06000055,26.1966364812419
2017/18,Met need (%),Bedford,,Units,Percentage (%),E06000055,25.1017639077341
2018/19,Met need (%),Bedford,,Units,Percentage (%),E06000055,25.95111583
2012/13,Number of people in treatment,Bedford,,Units,Count,E06000055,300.0
2013/14,Number of people in treatment,Bedford,,Units,Count,E06000055,230.0
2014/15,Number of people in treatment,Bedford,,Units,Count,E06000055,260.0
2015/16,Number of people in treatment,Bedford,,Units,Count,E06000055,255.0
2016/17,Number of people in treatment,Bedford,,Units,Count,E06000055,405.0
2017/18,Number of people in treatment,Bedford,,Units,Count,E06000055,370.0
2018/19,Number of people in treatment,Bedford,,Units,Count,E06000055,407.0
2018/19,Number of people in treatment,Bedford,,Units,Count,E06000055,410.0
2010/11,Number of people in treatment,Bedfordshire (Discontinued),,Units,Count,,610.0
2011/12,Number of people in treatment,Bedfordshire (Discontinued),,Units,Count,,605.0
2012/13,Number of people in treatment,Bedfordshire (Discontinued),,Units,Count,,5.0
2013/14,Number of people in treatment,Bedfordshire (Discontinued),,Units,Count,,0.0
2014/15,Number of people in treatment,Bedfordshire (Discontinued),,Units,Count,,0.0
2015/16,Number of people in treatment,Bedfordshire (Discontinued),,Units,Count,,0.0
2016/17,Number of people in treatment,Bedfordshire (Discontinued),,Units,Count,,0.0
2010/11,Estimated prevalence,Bexley,,Units,Number,E09000004,2010.0
2011/12,Estimated prevalence,Bexley,,Units,Number,E09000004,2017.0
2012/13,Estimated prevalence,Bexley,,Units,Number,E09000004,2016.0
2013/14,Estimated prevalence,Bexley,,Units,Number,E09000004,2023.0
2014/15,Estimated prevalence,Bexley,,Units,Number,E09000004,2027.0
2015/16,Estimated prevalence,Bexley,,Units,Number,E09000004,2002.0
2016/17,Estimated prevalence,Bexley,,Units,Number,E09000004,1992.0
2017/18,Estimated prevalence,Bexley,,Units,Number,E09000004,2096.0
2018/19,Estimated prevalence,Bexley,,Units,Number,E09000004,2030.0
2010/11,Met need (%),Bexley,,Units,Percentage (%),E09000004,17.6616915422886
2011/12,Met need (%),Bexley,,Units,Percentage (%),E09000004,15.3693604362915
2012/13,Met need (%),Bexley,,Units,Percentage (%),E09000004,16.6170634920635
2013/14,Met need (%),Bexley,,Units,Percentage (%),E09000004,20.5140879881364
2014/15,Met need (%),Bexley,,Units,Percentage (%),E09000004,24.6669955599408
2015/16,Met need (%),Bexley,,Units,Percentage (%),E09000004,22.977022977023
2016/17,Met need (%),Bexley,,Units,Percentage (%),E09000004,22.0883534136546
2017/18,Met need (%),Bexley,,Units,Percentage (%),E09000004,16.9370229007634
2018/19,Met need (%),Bexley,,Units,Percentage (%),E09000004,22.36453202
2010/11,Number of people in treatment,Bexley,,Units,Count,E09000004,355.0
2011/12,Number of people in treatment,Bexley,,Units,Count,E09000004,310.0
2012/13,Number of people in treatment,Bexley,,Units,Count,E09000004,335.0
2013/14,Number of people in treatment,Bexley,,Units,Count,E09000004,415.0
2014/15,Number of people in treatment,Bexley,,Units,Count,E09000004,500.0
2015/16,Number of people in treatment,Bexley,,Units,Count,E09000004,460.0
2016/17,Number of people in treatment,Bexley,,Units,Count,E09000004,440.0
2017/18,Number of people in treatment,Bexley,,Units,Count,E09000004,355.0
2018/19,Number of people in treatment,Bexley,,Units,Count,E09000004,454.0
2018/19,Number of people in treatment,Bexley,,Units,Count,E09000004,455.0
2010/11,Estimated prevalence,Birmingham,,Units,Number,E08000025,13177.0
2011/12,Estimated prevalence,Birmingham,,Units,Number,E08000025,13113.0
2012/13,Estimated prevalence,Birmingham,,Units,Number,E08000025,13086.0
2013/14,Estimated prevalence,Birmingham,,Units,Number,E08000025,13619.0
2014/15,Estimated prevalence,Birmingham,,Units,Number,E08000025,13603.0
2015/16,Estimated prevalence,Birmingham,,Units,Number,E08000025,13907.0
2016/17,Estimated prevalence,Birmingham,,Units,Number,E08000025,13295.0
2017/18,Estimated prevalence,Birmingham,,Units,Number,E08000025,12667.0
2018/19,Estimated prevalence,Birmingham,,Units,Number,E08000025,13289.66667
2010/11,Met need (%),Birmingham,,Units,Percentage (%),E08000025,21.059421719663
2011/12,Met need (%),Birmingham,,Units,Percentage (%),E08000025,21.0478151452757
2012/13,Met need (%),Birmingham,,Units,Percentage (%),E08000025,23.0016811860003
2013/14,Met need (%),Birmingham,,Units,Percentage (%),E08000025,23.4598722373155
2014/15,Met need (%),Birmingham,,Units,Percentage (%),E08000025,20.730721164449
2015/16,Met need (%),Birmingham,,Units,Percentage (%),E08000025,17.3653555763285
2016/17,Met need (%),Birmingham,,Units,Percentage (%),E08000025,18.6536291839037
2017/18,Met need (%),Birmingham,,Units,Percentage (%),E08000025,14.8022420462619
2018/19,Met need (%),Birmingham,,Units,Percentage (%),E08000025,12.16734806
2010/11,Number of people in treatment,Birmingham,,Units,Count,E08000025,2775.0
2011/12,Number of people in treatment,Birmingham,,Units,Count,E08000025,2760.0
2012/13,Number of people in treatment,Birmingham,,Units,Count,E08000025,3010.0
2013/14,Number of people in treatment,Birmingham,,Units,Count,E08000025,3195.0
2014/15,Number of people in treatment,Birmingham,,Units,Count,E08000025,2820.0
2015/16,Number of people in treatment,Birmingham,,Units,Count,E08000025,2415.0
2016/17,Number of people in treatment,Birmingham,,Units,Count,E08000025,2480.0
2017/18,Number of people in treatment,Birmingham,,Units,Count,E08000025,1875.0
2018/19,Number of people in treatment,Birmingham,,Units,Count,E08000025,1617.0
2018/19,Number of people in treatment,Birmingham,,Units,Count,E08000025,1615.0
2010/11,Estimated prevalence,Blackburn with Darwen,,Units,Number,E06000008,2452.0
2011/12,Estimated prevalence,Blackburn with Darwen,,Units,Number,E06000008,2445.0
2012/13,Estimated prevalence,Blackburn with Darwen,,Units,Number,E06000008,2420.0
2013/14,Estimated prevalence,Blackburn with Darwen,,Units,Number,E06000008,2604.0
2014/15,Estimated prevalence,Blackburn with Darwen,,Units,Number,E06000008,2628.0
2015/16,Estimated prevalence,Blackburn with Darwen,,Units,Number,E06000008,2478.0
2016/17,Estimated prevalence,Blackburn with Darwen,,Units,Number,E06000008,2459.0
2017/18,Estimated prevalence,Blackburn with Darwen,,Units,Number,E06000008,2357.0
2018/19,Estimated prevalence,Blackburn with Darwen,,Units,Number,E06000008,2431.333333
2010/11,Met need (%),Blackburn with Darwen,,Units,Percentage (%),E06000008,18.7601957585644
2011/12,Met need (%),Blackburn with Darwen,,Units,Percentage (%),E06000008,19.0184049079755
2012/13,Met need (%),Blackburn with Darwen,,Units,Percentage (%),E06000008,21.900826446281
2013/14,Met need (%),Blackburn with Darwen,,Units,Percentage (%),E06000008,19.9692780337942
2014/15,Met need (%),Blackburn with Darwen,,Units,Percentage (%),E06000008,16.9330289193303
2015/16,Met need (%),Blackburn with Darwen,,Units,Percentage (%),E06000008,17.9580306698951
2016/17,Met need (%),Blackburn with Darwen,,Units,Percentage (%),E06000008,21.3501423342822
2017/18,Met need (%),Blackburn with Darwen,,Units,Percentage (%),E06000008,17.6071277047094
2018/19,Met need (%),Blackburn with Darwen,,Units,Percentage (%),E06000008,16.16397039
2010/11,Number of people in treatment,Blackburn with Darwen,,Units,Count,E06000008,460.0
2011/12,Number of people in treatment,Blackburn with Darwen,,Units,Count,E06000008,465.0
2012/13,Number of people in treatment,Blackburn with Darwen,,Units,Count,E06000008,530.0
2013/14,Number of people in treatment,Blackburn with Darwen,,Units,Count,E06000008,520.0
2014/15,Number of people in treatment,Blackburn with Darwen,,Units,Count,E06000008,445.0
2015/16,Number of people in treatment,Blackburn with Darwen,,Units,Count,E06000008,445.0
2016/17,Number of people in treatment,Blackburn with Darwen,,Units,Count,E06000008,525.0
2017/18,Number of people in treatment,Blackburn with Darwen,,Units,Count,E06000008,415.0
2018/19,Number of people in treatment,Blackburn with Darwen,,Units,Count,E06000008,393.0
2018/19,Number of people in treatment,Blackburn with Darwen,,Units,Count,E06000008,395.0
2010/11,Estimated prevalence,Blackpool,,Units,Number,E06000009,4006.0
2011/12,Estimated prevalence,Blackpool,,Units,Number,E06000009,3958.0
2012/13,Estimated prevalence,Blackpool,,Units,Number,E06000009,3991.0
2013/14,Estimated prevalence,Blackpool,,Units,Number,E06000009,4269.0
2014/15,Estimated prevalence,Blackpool,,Units,Number,E06000009,4305.0
2015/16,Estimated prevalence,Blackpool,,Units,Number,E06000009,4355.0
2016/17,Estimated prevalence,Blackpool,,Units,Number,E06000009,4349.0
2017/18,Estimated prevalence,Blackpool,,Units,Number,E06000009,4188.0
2018/19,Estimated prevalence,Blackpool,,Units,Number,E06000009,4297.333333
2010/11,Met need (%),Blackpool,,Units,Percentage (%),E06000009,22.09186220669
2011/12,Met need (%),Blackpool,,Units,Percentage (%),E06000009,21.6018191005558
2012/13,Met need (%),Blackpool,,Units,Percentage (%),E06000009,20.0451014783262
2013/14,Met need (%),Blackpool,,Units,Percentage (%),E06000009,18.9739985945186
2014/15,Met need (%),Blackpool,,Units,Percentage (%),E06000009,15.5632984901278
2015/16,Met need (%),Blackpool,,Units,Percentage (%),E06000009,14.1216991963261
2016/17,Met need (%),Blackpool,,Units,Percentage (%),E06000009,11.8418027132674
2017/18,Met need (%),Blackpool,,Units,Percentage (%),E06000009,11.8194842406877
2018/19,Met need (%),Blackpool,,Units,Percentage (%),E06000009,15.52125349
2010/11,Number of people in treatment,Blackpool,,Units,Count,E06000009,885.0
2011/12,Number of people in treatment,Blackpool,,Units,Count,E06000009,855.0
2012/13,Number of people in treatment,Blackpool,,Units,Count,E06000009,800.0
2013/14,Number of people in treatment,Blackpool,,Units,Count,E06000009,810.0
2014/15,Number of people in treatment,Blackpool,,Units,Count,E06000009,670.0
2015/16,Number of people in treatment,Blackpool,,Units,Count,E06000009,615.0
2016/17,Number of people in treatment,Blackpool,,Units,Count,E06000009,515.0
2017/18,Number of people in treatment,Blackpool,,Units,Count,E06000009,495.0
2018/19,Number of people in treatment,Blackpool,,Units,Count,E06000009,667.0
2018/19,Number of people in treatment,Blackpool,,Units,Count,E06000009,670.0
2010/11,Estimated prevalence,Bolton,,Units,Number,E08000001,3662.0
2011/12,Estimated prevalence,Bolton,,Units,Number,E08000001,3649.0
2012/13,Estimated prevalence,Bolton,,Units,Number,E08000001,3617.0
2013/14,Estimated prevalence,Bolton,,Units,Number,E08000001,3811.0
2014/15,Estimated prevalence,Bolton,,Units,Number,E08000001,3768.0
2015/16,Estimated prevalence,Bolton,,Units,Number,E08000001,3736.0
2016/17,Estimated prevalence,Bolton,,Units,Number,E08000001,3597.0
2017/18,Estimated prevalence,Bolton,,Units,Number,E08000001,3486.0
2018/19,Estimated prevalence,Bolton,,Units,Number,E08000001,3606.333333
2010/11,Met need (%),Bolton,,Units,Percentage (%),E08000001,16.1114145275806
2011/12,Met need (%),Bolton,,Units,Percentage (%),E08000001,15.2096464784873
2012/13,Met need (%),Bolton,,Units,Percentage (%),E08000001,16.4500967652751
2013/14,Met need (%),Bolton,,Units,Percentage (%),E08000001,22.1726580949882
2014/15,Met need (%),Bolton,,Units,Percentage (%),E08000001,20.8333333333333
2015/16,Met need (%),Bolton,,Units,Percentage (%),E08000001,19.271948608137
2016/17,Met need (%),Bolton,,Units,Percentage (%),E08000001,19.4606616624965
2017/18,Met need (%),Bolton,,Units,Percentage (%),E08000001,20.223752151463
2018/19,Met need (%),Bolton,,Units,Percentage (%),E08000001,21.68407431
2010/11,Number of people in treatment,Bolton,,Units,Count,E08000001,590.0
2011/12,Number of people in treatment,Bolton,,Units,Count,E08000001,555.0
2012/13,Number of people in treatment,Bolton,,Units,Count,E08000001,595.0
2013/14,Number of people in treatment,Bolton,,Units,Count,E08000001,845.0
2014/15,Number of people in treatment,Bolton,,Units,Count,E08000001,785.0
2015/16,Number of people in treatment,Bolton,,Units,Count,E08000001,720.0
2016/17,Number of people in treatment,Bolton,,Units,Count,E08000001,700.0
2017/18,Number of people in treatment,Bolton,,Units,Count,E08000001,705.0
2018/19,Number of people in treatment,Bolton,,Units,Count,E08000001,782.0
2018/19,Number of people in treatment,Bolton,,Units,Count,E08000001,780.0
2010/11,Estimated prevalence,Bournemouth,,Units,Number,E06000028,2987.0
2011/12,Estimated prevalence,Bournemouth,,Units,Number,E06000028,2949.0
2012/13,Estimated prevalence,Bournemouth,,Units,Number,E06000028,2946.0
2013/14,Estimated prevalence,Bournemouth,,Units,Number,E06000028,2986.0
2014/15,Estimated prevalence,Bournemouth,,Units,Number,E06000028,2988.0
2015/16,Estimated prevalence,Bournemouth,,Units,Number,E06000028,2976.0
2016/17,Estimated prevalence,Bournemouth,,Units,Number,E06000028,2850.0
2017/18,Estimated prevalence,Bournemouth,,Units,Number,E06000028,2644.0
2010/11,Met need (%),Bournemouth,,Units,Percentage (%),E06000028,20.5892199531302
2011/12,Met need (%),Bournemouth,,Units,Percentage (%),E06000028,18.8199389623601
2012/13,Met need (%),Bournemouth,,Units,Percentage (%),E06000028,14.2566191446028
2013/14,Met need (%),Bournemouth,,Units,Percentage (%),E06000028,10.7166778298727
2014/15,Met need (%),Bournemouth,,Units,Percentage (%),E06000028,12.8848728246319
2015/16,Met need (%),Bournemouth,,Units,Percentage (%),E06000028,12.9368279569892
2016/17,Met need (%),Bournemouth,,Units,Percentage (%),E06000028,14.5614035087719
2017/18,Met need (%),Bournemouth,,Units,Percentage (%),E06000028,14.750378214826
2010/11,Number of people in treatment,Bournemouth,,Units,Count,E06000028,615.0
2011/12,Number of people in treatment,Bournemouth,,Units,Count,E06000028,555.0
2012/13,Number of people in treatment,Bournemouth,,Units,Count,E06000028,420.0
2013/14,Number of people in treatment,Bournemouth,,Units,Count,E06000028,320.0
2014/15,Number of people in treatment,Bournemouth,,Units,Count,E06000028,385.0
2015/16,Number of people in treatment,Bournemouth,,Units,Count,E06000028,385.0
2016/17,Number of people in treatment,Bournemouth,,Units,Count,E06000028,415.0
2017/18,Number of people in treatment,Bournemouth,,Units,Count,E06000028,390.0
2018/19,Number of people in treatment,Bournemouth,,Units,Count,E06000028,430.0
2010/11,Estimated prevalence,Bracknell Forest,,Units,Number,E06000036,791.0
2011/12,Estimated prevalence,Bracknell Forest,,Units,Number,E06000036,798.0
2012/13,Estimated prevalence,Bracknell Forest,,Units,Number,E06000036,795.0
2013/14,Estimated prevalence,Bracknell Forest,,Units,Number,E06000036,810.0
2014/15,Estimated prevalence,Bracknell Forest,,Units,Number,E06000036,809.0
2015/16,Estimated prevalence,Bracknell Forest,,Units,Number,E06000036,834.0
2016/17,Estimated prevalence,Bracknell Forest,,Units,Number,E06000036,888.0
2017/18,Estimated prevalence,Bracknell Forest,,Units,Number,E06000036,850.0
2018/19,Estimated prevalence,Bracknell Forest,,Units,Number,E06000036,857.3333333
2010/11,Met need (%),Bracknell Forest,,Units,Percentage (%),E06000036,26.5486725663717
2011/12,Met need (%),Bracknell Forest,,Units,Percentage (%),E06000036,25.6892230576441
2012/13,Met need (%),Bracknell Forest,,Units,Percentage (%),E06000036,33.9622641509434
2013/14,Met need (%),Bracknell Forest,,Units,Percentage (%),E06000036,38.2716049382716
2014/15,Met need (%),Bracknell Forest,,Units,Percentage (%),E06000036,30.2843016069221
2015/16,Met need (%),Bracknell Forest,,Units,Percentage (%),E06000036,25.779376498801
2016/17,Met need (%),Bracknell Forest,,Units,Percentage (%),E06000036,25.3378378378378
2017/18,Met need (%),Bracknell Forest,,Units,Percentage (%),E06000036,27.6470588235294
2018/19,Met need (%),Bracknell Forest,,Units,Percentage (%),E06000036,29.51010886
2010/11,Number of people in treatment,Bracknell Forest,,Units,Count,E06000036,210.0
2011/12,Number of people in treatment,Bracknell Forest,,Units,Count,E06000036,205.0
2012/13,Number of people in treatment,Bracknell Forest,,Units,Count,E06000036,270.0
2013/14,Number of people in treatment,Bracknell Forest,,Units,Count,E06000036,310.0
2014/15,Number of people in treatment,Bracknell Forest,,Units,Count,E06000036,245.0
2015/16,Number of people in treatment,Bracknell Forest,,Units,Count,E06000036,215.0
2016/17,Number of people in treatment,Bracknell Forest,,Units,Count,E06000036,225.0
2017/18,Number of people in treatment,Bracknell Forest,,Units,Count,E06000036,235.0
2018/19,Number of people in treatment,Bracknell Forest,,Units,Count,E06000036,253.0
2018/19,Number of people in treatment,Bracknell Forest,,Units,Count,E06000036,255.0
2010/11,Estimated prevalence,Bradford,,Units,Number,E08000032,6009.0
2011/12,Estimated prevalence,Bradford,,Units,Number,E08000032,6005.0
2012/13,Estimated prevalence,Bradford,,Units,Number,E08000032,5989.0
2013/14,Estimated prevalence,Bradford,,Units,Number,E08000032,6281.0
2014/15,Estimated prevalence,Bradford,,Units,Number,E08000032,6275.0
2015/16,Estimated prevalence,Bradford,,Units,Number,E08000032,5928.0
2016/17,Estimated prevalence,Bradford,,Units,Number,E08000032,5878.0
2017/18,Estimated prevalence,Bradford,,Units,Number,E08000032,5958.0
2018/19,Estimated prevalence,Bradford,,Units,Number,E08000032,5921.333333
2010/11,Met need (%),Bradford,,Units,Percentage (%),E08000032,17.8898319187885
2011/12,Met need (%),Bradford,,Units,Percentage (%),E08000032,18.1515403830142
2012/13,Met need (%),Bradford,,Units,Percentage (%),E08000032,18.4504925697111
2013/14,Met need (%),Bradford,,Units,Percentage (%),E08000032,20.4585257124662
2014/15,Met need (%),Bradford,,Units,Percentage (%),E08000032,25.2589641434263
2015/16,Met need (%),Bradford,,Units,Percentage (%),E08000032,25.9784075573549
2016/17,Met need (%),Bradford,,Units,Percentage (%),E08000032,21.8611772711807
2017/18,Met need (%),Bradford,,Units,Percentage (%),E08000032,15.9449479691172
2018/19,Met need (%),Bradford,,Units,Percentage (%),E08000032,17.00630489
2010/11,Number of people in treatment,Bradford,,Units,Count,E08000032,1075.0
2011/12,Number of people in treatment,Bradford,,Units,Count,E08000032,1090.0
