Year,Region,Local Authority,Gender,Ethnicity,Free School Meals,Learning category,Learning sub-category (higher),Observation status,Unit multiplier,Unit measure,GeoCode,Value
2012/13,East of England,Cambridgeshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,71.1
2012/13,London,Camden,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000007,66.3
2012/13,East of England,Central Bedfordshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000056,78.0
2012/13,North West,Cheshire East,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000049,75.7
2012/13,North West,Cheshire West and Chester,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000050,77.2
2012/13,London,City of London,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000001,77.3
2012/13,South West,Cornwall,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000052,72.1
2012/13,North East,County Durham,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000047,60.0
2012/13,West Midlands,Coventry,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000026,73.4
2012/13,London,Croydon,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000008,65.0
2012/13,North West,Cumbria,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,72.3
2012/13,North East,Darlington,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000005,70.0
2012/13,East Midlands,Derby,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000015,64.4
2012/13,East Midlands,Derbyshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,71.8
2012/13,South West,Devon,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,82.0
2012/13,Yorkshire and The Humber,Doncaster,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000017,66.1
2012/13,South West,Dorset,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,81.0
2012/13,West Midlands,Dudley,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000027,69.0
2012/13,London,Ealing,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000009,74.7
2012/13,Yorkshire and The Humber,East Riding of Yorkshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000011,76.2
2012/13,South East,East Sussex,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,69.9
2012/13,London,Enfield,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000010,68.8
2012/13,East of England,Essex,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,73.3
2012/13,North East,Gateshead,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000037,63.9
2012/13,South West,Gloucestershire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,72.9
2012/13,London,Greenwich,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000011,81.7
2012/13,London,Hackney,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000012,73.9
2012/13,North West,Halton,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000006,65.2
2012/13,London,Hammersmith and Fulham,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000013,75.6
2012/13,South East,Hampshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,78.5
2012/13,London,Haringey,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000014,67.5
2012/13,London,Harrow,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000015,64.9
2012/13,North East,Hartlepool,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000001,69.6
2012/13,London,Havering,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000016,80.2
2012/13,West Midlands,Herefordshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000019,73.2
2012/13,East of England,Hertfordshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,80.2
2012/13,London,Hillingdon,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000017,63.8
2012/13,London,Hounslow,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000018,63.3
2012/13,South East,Isle of Wight,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000046,67.4
2012/13,London,Islington,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000019,70.8
2012/13,London,Kensington and Chelsea,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000020,68.5
2012/13,South East,Kent,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,81.3
2012/13,Yorkshire and The Humber,"Kingston upon Hull, City of",,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,62.7
2012/13,London,Kingston upon Thames,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000021,79.8
2012/13,Yorkshire and The Humber,Kirklees,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000034,73.8
2012/13,North West,Knowsley,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000011,76.7
2012/13,London,Lambeth,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000022,66.4
2012/13,North West,Lancashire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,75.9
2012/13,Yorkshire and The Humber,Leeds,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000035,66.7
2012/13,East Midlands,Leicester,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000016,51.8
2012/13,East Midlands,Leicestershire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,71.2
2012/13,London,Lewisham,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000023,82.9
2012/13,East Midlands,Lincolnshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,80.3
2012/13,North West,Liverpool,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000012,76.0
2012/13,East of England,Luton,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000032,65.0
2012/13,North West,Manchester,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000003,65.1
2012/13,South East,Medway,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000035,77.0
2012/13,London,Merton,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000024,73.4
2012/13,North East,Middlesbrough,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000002,55.4
2012/13,South East,Milton Keynes,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000042,70.6
2012/13,North East,Newcastle upon Tyne,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000021,68.4
2012/13,London,Newham,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000025,71.2
2012/13,East of England,Norfolk,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,68.4
2012/13,Yorkshire and The Humber,North East Lincolnshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000012,74.3
2012/13,Yorkshire and The Humber,North Lincolnshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000013,72.1
2012/13,South West,North Somerset,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000024,84.4
2012/13,North East,North Tyneside,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000022,72.4
2012/13,Yorkshire and The Humber,North Yorkshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,69.8
2012/13,East Midlands,Northamptonshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,71.2
2012/13,North East,Northumberland,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000057,70.0
2012/13,East Midlands,Nottingham,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000018,62.8
2012/13,East Midlands,Nottinghamshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,76.0
2012/13,North West,Oldham,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000004,61.4
2012/13,South East,Oxfordshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,73.3
2012/13,East of England,Peterborough,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000031,66.4
2012/13,South West,Plymouth,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000026,75.5
2012/13,South West,Poole,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000029,75.6
2012/13,South East,Portsmouth,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000044,74.9
2012/13,South East,Reading,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000038,72.6
2012/13,London,Redbridge,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000026,76.5
2012/13,North East,Redcar and Cleveland,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000003,68.4
2012/13,London,Richmond upon Thames,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000027,72.1
2012/13,North West,Rochdale,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000005,61.7
2012/13,Yorkshire and The Humber,Rotherham,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000018,73.5
2012/13,East Midlands,Rutland,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000017,80.4
2012/13,North West,Salford,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000006,72.2
2012/13,West Midlands,Sandwell,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000028,68.7
2012/13,North West,Sefton,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000014,73.8
2012/13,Yorkshire and The Humber,Sheffield,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000019,70.3
2012/13,West Midlands,Shropshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000051,74.6
2012/13,South East,Slough,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000039,71.3
2012/13,West Midlands,Solihull,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000029,73.7
2012/13,South West,Somerset,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,74.0
2012/13,South West,South Gloucestershire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000025,82.1
2012/13,North East,South Tyneside,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000023,68.6
2012/13,South East,Southampton,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000045,71.7
2012/13,East of England,Southend-on-Sea,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000033,70.6
2012/13,London,Southwark,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000028,76.1
2012/13,North West,St. Helens,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000013,72.7
2012/13,West Midlands,Staffordshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,74.5
2012/13,North West,Stockport,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000007,74.2
2012/13,North East,Stockton-on-Tees,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000004,64.2
2012/13,West Midlands,Stoke-on-Trent,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000021,70.9
2012/13,East of England,Suffolk,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,71.6
2012/13,North East,Sunderland,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000024,71.9
2012/13,South East,Surrey,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,74.1
2012/13,London,Sutton,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000029,67.6
2012/13,South West,Swindon,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000030,77.4
2012/13,North West,Tameside,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000008,65.2
2012/13,West Midlands,Telford and Wrekin,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000020,67.6
2012/13,East of England,Thurrock,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000034,75.6
2012/13,South West,Torbay,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000027,71.2
2012/13,London,Tower Hamlets,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000030,66.8
2012/13,North West,Trafford,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000009,78.5
2012/13,Yorkshire and The Humber,Wakefield,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000036,74.1
2012/13,West Midlands,Walsall,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000030,64.0
2012/13,London,Waltham Forest,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000031,72.0
2012/13,London,Wandsworth,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000032,72.3
2012/13,North West,Warrington,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000007,67.8
2012/13,West Midlands,Warwickshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,65.8
2012/13,South East,West Berkshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000037,81.3
2012/13,South East,West Sussex,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,76.5
2012/13,London,Westminster,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000033,67.9
2012/13,North West,Wigan,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000010,57.8
2012/13,South West,Wiltshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000054,74.6
2012/13,South East,Windsor and Maidenhead,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000040,79.9
2012/13,North West,Wirral,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000015,67.6
2012/13,South East,Wokingham,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000041,76.8
2012/13,West Midlands,Wolverhampton,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000031,61.3
2012/13,West Midlands,Worcestershire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,71.1
2012/13,Yorkshire and The Humber,York,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000014,74.7
2012/13,East Midlands,,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E12000004,71.0
2012/13,East of England,,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E12000006,73.1
2012/13,London,,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E12000007,72.1
2012/13,North East,,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E12000001,66.3
2012/13,North West,,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E12000002,70.7
2012/13,South East,,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E12000008,75.9
2012/13,South West,,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E12000009,76.1
2012/13,West Midlands,,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E12000005,69.9
2012/13,Yorkshire and The Humber,,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E12000003,69.9
2012/13,,,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,72.2
2012/13,,,Boys,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),,70.1
2012/13,,,Girls,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),,82.9
2012/13,London,Barking and Dagenham,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E09000002,71.8
2012/13,London,Barnet,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E09000003,81.7
2012/13,Yorkshire and The Humber,Barnsley,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E08000016,73.9
2012/13,South West,Bath and North East Somerset,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E06000022,77.5
2012/13,East of England,Bedford,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E06000055,75.4
2012/13,London,Bexley,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E09000004,84.6
2012/13,West Midlands,Birmingham,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E08000025,73.3
2012/13,North West,Blackburn with Darwen,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E06000008,65.9
2012/13,North West,Blackpool,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E06000009,81.0
2012/13,North West,Bolton,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E08000001,72.3
2012/13,South West,Bournemouth,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E06000028,82.5
2012/13,South East,Bracknell Forest,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E06000036,79.5
2012/13,Yorkshire and The Humber,Bradford,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E08000032,71.4
2012/13,London,Brent,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E09000005,79.4
2012/13,South East,Brighton and Hove,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E06000043,74.8
2012/13,South West,"Bristol, City of",,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),,74.8
2012/13,London,Bromley,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E09000006,81.0
2012/13,South East,Buckinghamshire,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),,78.8
2012/13,North West,Bury,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E08000002,71.5
2012/13,Yorkshire and The Humber,Calderdale,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E08000033,72.5
2012/13,East of England,Cambridgeshire,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),,74.8
2012/13,London,Camden,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E09000007,72.1
2012/13,East of England,Central Bedfordshire,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E06000056,80.3
2012/13,North West,Cheshire East,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E06000049,78.4
2012/13,North West,Cheshire West and Chester,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E06000050,80.2
2012/13,London,City of London,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E09000001,77.3
2012/13,South West,Cornwall,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E06000052,74.6
2012/13,North East,County Durham,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E06000047,66.8
2012/13,West Midlands,Coventry,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E08000026,79.9
2012/13,London,Croydon,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E09000008,69.8
2012/13,North West,Cumbria,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),,76.9
2012/13,North East,Darlington,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E06000005,70.9
2012/13,East Midlands,Derby,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E06000015,67.2
2012/13,East Midlands,Derbyshire,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),,74.5
2012/13,South West,Devon,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),,84.9
2012/13,Yorkshire and The Humber,Doncaster,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E08000017,68.9
2012/13,South West,Dorset,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),,83.9
2012/13,West Midlands,Dudley,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E08000027,72.9
2012/13,London,Ealing,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E09000009,79.3
2012/13,Yorkshire and The Humber,East Riding of Yorkshire,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E06000011,80.1
2012/13,South East,East Sussex,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),,71.0
2012/13,London,Enfield,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E09000010,74.6
2012/13,East of England,Essex,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),,77.5
2012/13,North East,Gateshead,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E08000037,68.9
2012/13,South West,Gloucestershire,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),,76.8
2012/13,London,Greenwich,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E09000011,85.2
2012/13,London,Hackney,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E09000012,79.3
2012/13,North West,Halton,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E06000006,68.4
2012/13,London,Hammersmith and Fulham,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E09000013,80.1
2012/13,South East,Hampshire,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),,81.9
2012/13,London,Haringey,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E09000014,74.6
2012/13,London,Harrow,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E09000015,71.6
2012/13,North East,Hartlepool,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E06000001,70.2
2012/13,London,Havering,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E09000016,84.7
2012/13,West Midlands,Herefordshire,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E06000019,77.7
2012/13,East of England,Hertfordshire,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),,81.9
2012/13,London,Hillingdon,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E09000017,71.4
2012/13,London,Hounslow,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E09000018,67.7
2012/13,South East,Isle of Wight,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E06000046,71.3
2012/13,London,Islington,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E09000019,73.0
2012/13,London,Kensington and Chelsea,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E09000020,74.5
2012/13,South East,Kent,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),,85.6
2012/13,Yorkshire and The Humber,"Kingston upon Hull, City of",,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),,67.2
2012/13,London,Kingston upon Thames,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E09000021,82.1
2012/13,Yorkshire and The Humber,Kirklees,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E08000034,78.7
2012/13,North West,Knowsley,,,,Prime areas of learning,"Personal, Social and Emotional Development",Normal value,Units,Percentage (%),E08000011,80.1
