Year,Series,Units,Material category,Observation status,Unit multiplier,Unit measure,Value
2015,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1195.6
2016,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1070.8
2017,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,970.5
2018,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,971.2
1990,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),19.0
1991,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),18.5
1992,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),16.8
1993,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),16.2
1994,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),16.0
1995,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),14.9
1996,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),16.2
1997,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),19.6
1998,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),22.8
1999,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),23.7
2000,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),23.2
2001,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),24.2
2002,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),22.6
2003,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),22.0
2004,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),24.4
2005,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),22.6
2006,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),22.2
2007,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),21.2
2008,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),18.7
2009,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),16.3
2010,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),15.2
2011,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),15.2
2012,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),14.9
2013,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),16.0
2014,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),17.2
2015,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),18.4
2016,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),16.3
2017,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),14.7
2018,Material footprint per capita,Tonnes,,Undefined,Units,Material footprint per capita (Tonnes),14.6
1990,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),889.0
1991,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),880.0
1992,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),796.0
1993,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),752.0
1994,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),719.0
1995,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),655.0
1996,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),695.0
1997,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),805.0
1998,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),902.0
1999,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),914.0
2000,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),865.0
2001,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),881.0
2002,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),812.0
2003,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),765.0
2004,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),836.0
2005,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),758.0
2006,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),731.0
2007,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),688.0
2008,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),612.0
2009,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),559.0
2010,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),516.0
2011,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),515.0
2012,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),501.0
2013,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),528.0
2014,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),557.0
2015,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),585.0
2016,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),515.0
2017,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),459.0
2018,Material footprint per GDP,Tonnes per £m,,Undefined,Units,Tonnes of Material Footprint per GDP (£m),453.0
1990,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,223.1
1991,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,223.9
1992,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,219.6
1993,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,211.7
1994,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,210.1
1995,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,200.7
1996,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,223.5
1997,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,252.3
1998,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,269.1
1999,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,273.1
2000,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,270.5
2001,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,260.9
2002,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,280.1
2003,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,276.7
2004,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,295.4
2005,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,288.6
2006,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,280.3
2007,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,272.5
2008,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,270.0
2009,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,256.7
2010,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,252.1
2011,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,261.9
2012,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,259.2
2013,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,263.2
2014,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,281.1
2015,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,281.6
2016,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,257.7
2017,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,252.4
2018,Material footprint,Million metric tonnes,Biomass,Undefined,Units,Million metric tonnes,246.8
1990,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,40.5
1991,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,39.8
1992,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,36.9
1993,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,36.1
1994,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,37.4
1995,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,35.3
1996,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,38.4
1997,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,47.8
1998,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,59.4
1999,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,64.5
2000,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,66.1
2001,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,72.7
2002,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,68.3
2003,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,63.8
2004,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,66.3
2005,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,64.0
2006,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,64.4
2007,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,67.8
2008,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,56.3
2009,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,48.4
2010,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,49.1
2011,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,48.8
2012,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,50.7
2013,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,54.0
2014,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,54.8
2015,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,53.6
2016,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,51.2
2017,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,45.8
2018,Material footprint,Million metric tonnes,Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,49.5
1990,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,369.9
1991,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,364.1
1992,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,357.7
1993,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,356.0
1994,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,377.8
1995,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,349.2
1996,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,310.8
1997,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,418.5
1998,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,463.2
1999,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,490.3
2000,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,552.8
2001,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,595.1
2002,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,571.6
2003,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,596.9
2004,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,639.2
2005,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,615.7
2006,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,600.0
2007,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,580.6
2008,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,482.1
2009,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,392.2
2010,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,374.9
2011,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,396.1
2012,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,386.4
2013,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,422.3
2014,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,516.4
2015,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,594.1
2016,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,545.3
2017,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,497.0
2018,Material footprint,Million metric tonnes,Non-metallic minerals,Undefined,Units,Million metric tonnes,496.6
1990,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,451.8
1991,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,435.1
1992,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,351.0
1993,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,330.1
1994,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,302.5
1995,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,281.3
1996,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,369.2
1997,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,426.8
1998,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,539.9
1999,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,565.7
2000,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,476.4
2001,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,499.1
2002,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,424.5
2003,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,372.2
2004,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,463.5
2005,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,397.2
2006,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,407.5
2007,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,381.7
2008,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,347.7
2009,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,315.3
2010,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,278.2
2011,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,258.1
2012,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,255.8
2013,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,284.5
2014,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,260.1
2015,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,266.4
2016,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,216.5
2017,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,175.9
2018,Material footprint,Million metric tonnes,Fossil fuels,Undefined,Units,Million metric tonnes,178.2
1990,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),3.9
1991,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),3.9
1992,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),3.8
1993,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),3.7
1994,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),3.6
1995,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),3.5
1996,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),3.8
1997,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.3
1998,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.6
1999,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.7
2000,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.6
2001,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.4
2002,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.7
2003,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.6
2004,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.9
2005,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.8
2006,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.6
2007,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.4
2008,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.4
2009,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.1
2010,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.0
2011,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.1
2012,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.1
2013,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.1
2014,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.4
2015,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),4.3
2016,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),3.9
2017,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),3.8
2018,Material footprint per capita,Tonnes,Biomass,Undefined,Units,Material footprint per capita (Tonnes),3.7
1990,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.7
1991,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.7
1992,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.6
1993,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.6
1994,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.6
1995,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.6
1996,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.7
1997,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.8
1998,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),1.0
1999,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),1.1
2000,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),1.1
2001,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),1.2
2002,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),1.2
2003,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),1.1
2004,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),1.1
2005,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),1.1
2006,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),1.1
2007,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),1.1
2008,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.9
2009,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.8
2010,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.8
2011,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.8
2012,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.8
2013,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.8
2014,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.8
2015,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.8
2016,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.8
2017,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.7
2018,Material footprint per capita,Tonnes,Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.7
1990,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),6.5
1991,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),6.3
1992,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),6.2
1993,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),6.2
1994,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),6.5
1995,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),6.0
1996,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),5.3
1997,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),7.2
1998,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),7.9
1999,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),8.4
2000,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),9.4
2001,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),10.1
2002,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),9.6
2003,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),10.0
2004,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),10.7
2005,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),10.2
2006,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),9.9
2007,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),9.5
2008,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),7.8
2009,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),6.3
