Year,Country,Sex,Cause of death,Observation status,Unit measure,Unit multiplier,GeoCode,Value
2013,England,,Exposure to excessive natural heat,Normal value,Deaths,,E92000001,1
2014,England,,Exposure to excessive natural heat,Normal value,Deaths,,E92000001,0
2015,England,,Exposure to excessive natural heat,Normal value,Deaths,,E92000001,3
2016,England,,Exposure to excessive natural heat,Normal value,Deaths,,E92000001,2
2017,England,,Exposure to excessive natural heat,Normal value,Deaths,,E92000001,8
2018,England,,Exposure to excessive natural heat,Normal value,Deaths,,E92000001,4
2019,England,,Exposure to excessive natural heat,Normal value,Deaths,,E92000001,1
2020,England,,Exposure to excessive natural heat,Normal value,Deaths,,E92000001,10
2013,Wales,,Exposure to excessive natural heat,Normal value,Deaths,,W92000004,0
2014,Wales,,Exposure to excessive natural heat,Normal value,Deaths,,W92000004,0
2015,Wales,,Exposure to excessive natural heat,Normal value,Deaths,,W92000004,0
2016,Wales,,Exposure to excessive natural heat,Normal value,Deaths,,W92000004,0
2017,Wales,,Exposure to excessive natural heat,Normal value,Deaths,,W92000004,0
2018,Wales,,Exposure to excessive natural heat,Normal value,Deaths,,W92000004,0
2019,Wales,,Exposure to excessive natural heat,Normal value,Deaths,,W92000004,0
2020,Wales,,Exposure to excessive natural heat,Normal value,Deaths,,W92000004,0
2013,,,Exposure to excessive natural heat,Normal value,Deaths,,,1
2014,,,Exposure to excessive natural heat,Normal value,Deaths,,,0
2015,,,Exposure to excessive natural heat,Normal value,Deaths,,,3
2016,,,Exposure to excessive natural heat,Normal value,Deaths,,,2
2017,,,Exposure to excessive natural heat,Normal value,Deaths,,,8
2018,,,Exposure to excessive natural heat,Normal value,Deaths,,,4
2019,,,Exposure to excessive natural heat,Normal value,Deaths,,,1
2020,,,Exposure to excessive natural heat,Normal value,Deaths,,,10
2013,England,Female,Exposure to other and unspecified forces of nature,Normal value,Deaths,,E92000001,0
2014,England,Female,Exposure to other and unspecified forces of nature,Normal value,Deaths,,E92000001,1
2015,England,Female,Exposure to other and unspecified forces of nature,Normal value,Deaths,,E92000001,2
2016,England,Female,Exposure to other and unspecified forces of nature,Normal value,Deaths,,E92000001,5
2017,England,Female,Exposure to other and unspecified forces of nature,Normal value,Deaths,,E92000001,1
2018,England,Female,Exposure to other and unspecified forces of nature,Normal value,Deaths,,E92000001,2
2019,England,Female,Exposure to other and unspecified forces of nature,Normal value,Deaths,,E92000001,2
2020,England,Female,Exposure to other and unspecified forces of nature,Normal value,Deaths,,E92000001,3
2013,Wales,Female,Exposure to other and unspecified forces of nature,Normal value,Deaths,,W92000004,0
2014,Wales,Female,Exposure to other and unspecified forces of nature,Normal value,Deaths,,W92000004,0
2015,Wales,Female,Exposure to other and unspecified forces of nature,Normal value,Deaths,,W92000004,0
2016,Wales,Female,Exposure to other and unspecified forces of nature,Normal value,Deaths,,W92000004,0
2017,Wales,Female,Exposure to other and unspecified forces of nature,Normal value,Deaths,,W92000004,0
2018,Wales,Female,Exposure to other and unspecified forces of nature,Normal value,Deaths,,W92000004,0
2019,Wales,Female,Exposure to other and unspecified forces of nature,Normal value,Deaths,,W92000004,0
2020,Wales,Female,Exposure to other and unspecified forces of nature,Normal value,Deaths,,W92000004,0
2013,,Female,Exposure to other and unspecified forces of nature,Normal value,Deaths,,,0
2014,,Female,Exposure to other and unspecified forces of nature,Normal value,Deaths,,,1
2015,,Female,Exposure to other and unspecified forces of nature,Normal value,Deaths,,,2
2016,,Female,Exposure to other and unspecified forces of nature,Normal value,Deaths,,,5
2017,,Female,Exposure to other and unspecified forces of nature,Normal value,Deaths,,,1
2018,,Female,Exposure to other and unspecified forces of nature,Normal value,Deaths,,,2
2019,,Female,Exposure to other and unspecified forces of nature,Normal value,Deaths,,,2
2020,,Female,Exposure to other and unspecified forces of nature,Normal value,Deaths,,,3
2013,England,Male,Exposure to other and unspecified forces of nature,Normal value,Deaths,,E92000001,5
2014,England,Male,Exposure to other and unspecified forces of nature,Normal value,Deaths,,E92000001,1
2015,England,Male,Exposure to other and unspecified forces of nature,Normal value,Deaths,,E92000001,0
2016,England,Male,Exposure to other and unspecified forces of nature,Normal value,Deaths,,E92000001,4
2017,England,Male,Exposure to other and unspecified forces of nature,Normal value,Deaths,,E92000001,0
2018,England,Male,Exposure to other and unspecified forces of nature,Normal value,Deaths,,E92000001,0
2019,England,Male,Exposure to other and unspecified forces of nature,Normal value,Deaths,,E92000001,2
2020,England,Male,Exposure to other and unspecified forces of nature,Normal value,Deaths,,E92000001,3
2013,Wales,Male,Exposure to other and unspecified forces of nature,Normal value,Deaths,,W92000004,0
2014,Wales,Male,Exposure to other and unspecified forces of nature,Normal value,Deaths,,W92000004,1
2015,Wales,Male,Exposure to other and unspecified forces of nature,Normal value,Deaths,,W92000004,0
2016,Wales,Male,Exposure to other and unspecified forces of nature,Normal value,Deaths,,W92000004,0
2017,Wales,Male,Exposure to other and unspecified forces of nature,Normal value,Deaths,,W92000004,0
2018,Wales,Male,Exposure to other and unspecified forces of nature,Normal value,Deaths,,W92000004,0
2019,Wales,Male,Exposure to other and unspecified forces of nature,Normal value,Deaths,,W92000004,1
2020,Wales,Male,Exposure to other and unspecified forces of nature,Normal value,Deaths,,W92000004,0
2013,,Male,Exposure to other and unspecified forces of nature,Normal value,Deaths,,,5
2014,,Male,Exposure to other and unspecified forces of nature,Normal value,Deaths,,,2
2015,,Male,Exposure to other and unspecified forces of nature,Normal value,Deaths,,,0
2016,,Male,Exposure to other and unspecified forces of nature,Normal value,Deaths,,,4
2017,,Male,Exposure to other and unspecified forces of nature,Normal value,Deaths,,,0
2018,,Male,Exposure to other and unspecified forces of nature,Normal value,Deaths,,,0
2019,,Male,Exposure to other and unspecified forces of nature,Normal value,Deaths,,,3
2020,,Male,Exposure to other and unspecified forces of nature,Normal value,Deaths,,,3
2013,England,,Exposure to other and unspecified forces of nature,Normal value,Deaths,,E92000001,5
2014,England,,Exposure to other and unspecified forces of nature,Normal value,Deaths,,E92000001,2
2015,England,,Exposure to other and unspecified forces of nature,Normal value,Deaths,,E92000001,2
2016,England,,Exposure to other and unspecified forces of nature,Normal value,Deaths,,E92000001,9
2017,England,,Exposure to other and unspecified forces of nature,Normal value,Deaths,,E92000001,1
2018,England,,Exposure to other and unspecified forces of nature,Normal value,Deaths,,E92000001,2
2019,England,,Exposure to other and unspecified forces of nature,Normal value,Deaths,,E92000001,4
2020,England,,Exposure to other and unspecified forces of nature,Normal value,Deaths,,E92000001,6
2013,Wales,,Exposure to other and unspecified forces of nature,Normal value,Deaths,,W92000004,0
2014,Wales,,Exposure to other and unspecified forces of nature,Normal value,Deaths,,W92000004,1
2015,Wales,,Exposure to other and unspecified forces of nature,Normal value,Deaths,,W92000004,0
2016,Wales,,Exposure to other and unspecified forces of nature,Normal value,Deaths,,W92000004,0
2017,Wales,,Exposure to other and unspecified forces of nature,Normal value,Deaths,,W92000004,0
2018,Wales,,Exposure to other and unspecified forces of nature,Normal value,Deaths,,W92000004,0
2019,Wales,,Exposure to other and unspecified forces of nature,Normal value,Deaths,,W92000004,1
2020,Wales,,Exposure to other and unspecified forces of nature,Normal value,Deaths,,W92000004,0
2013,,,Exposure to other and unspecified forces of nature,Normal value,Deaths,,,5
2014,,,Exposure to other and unspecified forces of nature,Normal value,Deaths,,,3
2015,,,Exposure to other and unspecified forces of nature,Normal value,Deaths,,,2
2016,,,Exposure to other and unspecified forces of nature,Normal value,Deaths,,,9
2017,,,Exposure to other and unspecified forces of nature,Normal value,Deaths,,,1
2018,,,Exposure to other and unspecified forces of nature,Normal value,Deaths,,,2
2019,,,Exposure to other and unspecified forces of nature,Normal value,Deaths,,,5
2020,,,Exposure to other and unspecified forces of nature,Normal value,Deaths,,,6
2013,England,Female,Exposure to sunlight,Normal value,Deaths,,E92000001,0
2014,England,Female,Exposure to sunlight,Normal value,Deaths,,E92000001,0
2015,England,Female,Exposure to sunlight,Normal value,Deaths,,E92000001,0
2016,England,Female,Exposure to sunlight,Normal value,Deaths,,E92000001,0
2017,England,Female,Exposure to sunlight,Normal value,Deaths,,E92000001,0
2018,England,Female,Exposure to sunlight,Normal value,Deaths,,E92000001,0
2019,England,Female,Exposure to sunlight,Normal value,Deaths,,E92000001,0
2020,England,Female,Exposure to sunlight,Normal value,Deaths,,E92000001,0
2013,Wales,Female,Exposure to sunlight,Normal value,Deaths,,W92000004,0
2014,Wales,Female,Exposure to sunlight,Normal value,Deaths,,W92000004,0
2015,Wales,Female,Exposure to sunlight,Normal value,Deaths,,W92000004,0
2016,Wales,Female,Exposure to sunlight,Normal value,Deaths,,W92000004,0
2017,Wales,Female,Exposure to sunlight,Normal value,Deaths,,W92000004,0
2018,Wales,Female,Exposure to sunlight,Normal value,Deaths,,W92000004,0
2019,Wales,Female,Exposure to sunlight,Normal value,Deaths,,W92000004,0
2020,Wales,Female,Exposure to sunlight,Normal value,Deaths,,W92000004,0
2013,,Female,Exposure to sunlight,Normal value,Deaths,,,0
2014,,Female,Exposure to sunlight,Normal value,Deaths,,,0
2015,,Female,Exposure to sunlight,Normal value,Deaths,,,0
2016,,Female,Exposure to sunlight,Normal value,Deaths,,,0
2017,,Female,Exposure to sunlight,Normal value,Deaths,,,0
2018,,Female,Exposure to sunlight,Normal value,Deaths,,,0
2019,,Female,Exposure to sunlight,Normal value,Deaths,,,0
2020,,Female,Exposure to sunlight,Normal value,Deaths,,,0
2013,England,Male,Exposure to sunlight,Normal value,Deaths,,E92000001,0
2014,England,Male,Exposure to sunlight,Normal value,Deaths,,E92000001,0
2015,England,Male,Exposure to sunlight,Normal value,Deaths,,E92000001,0
2016,England,Male,Exposure to sunlight,Normal value,Deaths,,E92000001,0
2017,England,Male,Exposure to sunlight,Normal value,Deaths,,E92000001,0
2018,England,Male,Exposure to sunlight,Normal value,Deaths,,E92000001,0
2019,England,Male,Exposure to sunlight,Normal value,Deaths,,E92000001,0
2020,England,Male,Exposure to sunlight,Normal value,Deaths,,E92000001,1
2013,Wales,Male,Exposure to sunlight,Normal value,Deaths,,W92000004,0
2014,Wales,Male,Exposure to sunlight,Normal value,Deaths,,W92000004,0
2015,Wales,Male,Exposure to sunlight,Normal value,Deaths,,W92000004,0
2016,Wales,Male,Exposure to sunlight,Normal value,Deaths,,W92000004,0
2017,Wales,Male,Exposure to sunlight,Normal value,Deaths,,W92000004,0
2018,Wales,Male,Exposure to sunlight,Normal value,Deaths,,W92000004,0
2019,Wales,Male,Exposure to sunlight,Normal value,Deaths,,W92000004,0
2020,Wales,Male,Exposure to sunlight,Normal value,Deaths,,W92000004,0
2013,,Male,Exposure to sunlight,Normal value,Deaths,,,0
2014,,Male,Exposure to sunlight,Normal value,Deaths,,,0
2015,,Male,Exposure to sunlight,Normal value,Deaths,,,0
2016,,Male,Exposure to sunlight,Normal value,Deaths,,,0
2017,,Male,Exposure to sunlight,Normal value,Deaths,,,0
2018,,Male,Exposure to sunlight,Normal value,Deaths,,,0
2019,,Male,Exposure to sunlight,Normal value,Deaths,,,0
2020,,Male,Exposure to sunlight,Normal value,Deaths,,,1
2013,England,,Exposure to sunlight,Normal value,Deaths,,E92000001,0
2014,England,,Exposure to sunlight,Normal value,Deaths,,E92000001,0
2015,England,,Exposure to sunlight,Normal value,Deaths,,E92000001,0
2016,England,,Exposure to sunlight,Normal value,Deaths,,E92000001,0
2017,England,,Exposure to sunlight,Normal value,Deaths,,E92000001,0
2018,England,,Exposure to sunlight,Normal value,Deaths,,E92000001,0
2019,England,,Exposure to sunlight,Normal value,Deaths,,E92000001,0
2020,England,,Exposure to sunlight,Normal value,Deaths,,E92000001,1
2013,Wales,,Exposure to sunlight,Normal value,Deaths,,W92000004,0
2014,Wales,,Exposure to sunlight,Normal value,Deaths,,W92000004,0
2015,Wales,,Exposure to sunlight,Normal value,Deaths,,W92000004,0
2016,Wales,,Exposure to sunlight,Normal value,Deaths,,W92000004,0
2017,Wales,,Exposure to sunlight,Normal value,Deaths,,W92000004,0
2018,Wales,,Exposure to sunlight,Normal value,Deaths,,W92000004,0
2019,Wales,,Exposure to sunlight,Normal value,Deaths,,W92000004,0
2020,Wales,,Exposure to sunlight,Normal value,Deaths,,W92000004,0
2013,,,Exposure to sunlight,Normal value,Deaths,,,0
2014,,,Exposure to sunlight,Normal value,Deaths,,,0
2015,,,Exposure to sunlight,Normal value,Deaths,,,0
2016,,,Exposure to sunlight,Normal value,Deaths,,,0
2017,,,Exposure to sunlight,Normal value,Deaths,,,0
2018,,,Exposure to sunlight,Normal value,Deaths,,,0
2019,,,Exposure to sunlight,Normal value,Deaths,,,0
2020,,,Exposure to sunlight,Normal value,Deaths,,,1
2013,England,Female,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,E92000001,0
2014,England,Female,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,E92000001,1
2015,England,Female,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,E92000001,0
2016,England,Female,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,E92000001,1
2017,England,Female,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,E92000001,0
2018,England,Female,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,E92000001,0
2019,England,Female,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,E92000001,0
2020,England,Female,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,E92000001,0
2013,Wales,Female,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,W92000004,0
2014,Wales,Female,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,W92000004,0
2015,Wales,Female,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,W92000004,0
2016,Wales,Female,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,W92000004,0
2017,Wales,Female,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,W92000004,0
2018,Wales,Female,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,W92000004,0
2019,Wales,Female,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,W92000004,0
2020,Wales,Female,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,W92000004,0
2013,,Female,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,,0
2014,,Female,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,,1
2015,,Female,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,,0
2016,,Female,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,,1
2017,,Female,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,,0
2018,,Female,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,,0
2019,,Female,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,,0
2020,,Female,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,,0
2013,England,Male,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,E92000001,0
2014,England,Male,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,E92000001,1
2015,England,Male,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,E92000001,0
2016,England,Male,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,E92000001,0
2017,England,Male,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,E92000001,0
2018,England,Male,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,E92000001,0
2019,England,Male,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,E92000001,0
2020,England,Male,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,E92000001,0
2013,Wales,Male,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,W92000004,0
2014,Wales,Male,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,W92000004,0
2015,Wales,Male,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,W92000004,0
2016,Wales,Male,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,W92000004,0
2017,Wales,Male,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,W92000004,0
2018,Wales,Male,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,W92000004,0
2019,Wales,Male,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,W92000004,0
2020,Wales,Male,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,W92000004,0
2013,,Male,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,,0
2014,,Male,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,,1
2015,,Male,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,,0
2016,,Male,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,,0
2017,,Male,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,,0
2018,,Male,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,,0
2019,,Male,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,,0
2020,,Male,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,,0
2013,England,,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,E92000001,0
2014,England,,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,E92000001,2
2015,England,,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,E92000001,0
2016,England,,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,E92000001,1
2017,England,,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,E92000001,0
2018,England,,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,E92000001,0
2019,England,,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,E92000001,0
2020,England,,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,E92000001,0
2013,Wales,,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,W92000004,0
2014,Wales,,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,W92000004,0
2015,Wales,,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,W92000004,0
2016,Wales,,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,W92000004,0
2017,Wales,,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,W92000004,0
2018,Wales,,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,W92000004,0
2019,Wales,,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,W92000004,0
2020,Wales,,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,W92000004,0
2013,,,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,,0
2014,,,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,,2
2015,,,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,,0
2016,,,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,,1
2017,,,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,,0
