Year,Series,Product,Units,Unit multiplier,Observation status,Value
2014,Tourism direct GDP as a proportion of total GDP,Road passenger transport services,Percentage (%),Units,Normal value,0.09295663847087479
2014,Tourism direct GDP as a proportion of total GDP,Water passenger transport services,Percentage (%),Units,Normal value,0.03906086941145439
2014,Tourism direct GDP as a proportion of total GDP,Air passenger transport services,Percentage (%),Units,Normal value,0.032513499056674736
2014,Tourism direct GDP as a proportion of total GDP,Transport equipment rental services,Percentage (%),Units,Normal value,0.030273448916268767
2014,Tourism direct GDP as a proportion of total GDP,Travel agencies and other reservation services,Percentage (%),Units,Normal value,0.03342651812505924
2014,Tourism direct GDP as a proportion of total GDP,Cultural activities,Percentage (%),Units,Normal value,0.1455851392246018
2014,Tourism direct GDP as a proportion of total GDP,Sport and recreation activities,Percentage (%),Units,Normal value,0.18198398434487645
2014,Tourism direct GDP as a proportion of total GDP,Exhibitions & Conferences etc.,Percentage (%),Units,Normal value,0.012740992483359798
2014,Tourism direct GDP as a proportion of total GDP,Other consumption products,Percentage (%),Units,Normal value,2.067807776773027
2014,Tourism direct GDP as a proportion of total GDP,,Percentage (%),Units,Normal value,5.51146279034699
2015,Tourism direct GDP as a proportion of total GDP,Accommodation services for visitors,Percentage (%),Units,Normal value,0.21598085081636748
2015,Tourism direct GDP as a proportion of total GDP,Food and beverage serving activities,Percentage (%),Units,Normal value,1.1987883595166533
2015,Tourism direct GDP as a proportion of total GDP,Railway passenger transport services,Percentage (%),Units,Normal value,0.1020659917390086
2015,Tourism direct GDP as a proportion of total GDP,Road passenger transport services,Percentage (%),Units,Normal value,0.10115721006549981
2015,Tourism direct GDP as a proportion of total GDP,Water passenger transport services,Percentage (%),Units,Normal value,0.03179492612462622
2015,Tourism direct GDP as a proportion of total GDP,Air passenger transport services,Percentage (%),Units,Normal value,0.012453286143762466
2015,Tourism direct GDP as a proportion of total GDP,Transport equipment rental services,Percentage (%),Units,Normal value,0.03141451059565058
2015,Tourism direct GDP as a proportion of total GDP,Travel agencies and other reservation services,Percentage (%),Units,Normal value,0.024925053579550407
2015,Tourism direct GDP as a proportion of total GDP,Cultural activities,Percentage (%),Units,Normal value,0.15925042299557282
2015,Tourism direct GDP as a proportion of total GDP,Sport and recreation activities,Percentage (%),Units,Normal value,0.19630277478342936
2015,Tourism direct GDP as a proportion of total GDP,Exhibitions & Conferences etc.,Percentage (%),Units,Normal value,0.012983230731025697
2015,Tourism direct GDP as a proportion of total GDP,Other consumption products,Percentage (%),Units,Normal value,2.342308453409787
2015,Tourism direct GDP as a proportion of total GDP,,Percentage (%),Units,Normal value,6.018266631965708
2016,Tourism direct GDP as a proportion of total GDP,Accommodation services for visitors,Percentage (%),Units,Normal value,-0.21267391583184997
2016,Tourism direct GDP as a proportion of total GDP,Food and beverage serving activities,Percentage (%),Units,Normal value,1.1899038466684049
2016,Tourism direct GDP as a proportion of total GDP,Railway passenger transport services,Percentage (%),Units,Normal value,0.138632807959573
2016,Tourism direct GDP as a proportion of total GDP,Road passenger transport services,Percentage (%),Units,Normal value,0.0731390026865961
2016,Tourism direct GDP as a proportion of total GDP,Water passenger transport services,Percentage (%),Units,Normal value,0.033281101099437244
2016,Tourism direct GDP as a proportion of total GDP,Air passenger transport services,Percentage (%),Units,Normal value,0.15991873650805835
2016,Tourism direct GDP as a proportion of total GDP,Transport equipment rental services,Percentage (%),Units,Normal value,0.05667222068672078
2016,Tourism direct GDP as a proportion of total GDP,Travel agencies and other reservation services,Percentage (%),Units,Normal value,0.0922008218619051
2016,Tourism direct GDP as a proportion of total GDP,Cultural activities,Percentage (%),Units,Normal value,0.15218584390080425
2016,Tourism direct GDP as a proportion of total GDP,Sport and recreation activities,Percentage (%),Units,Normal value,0.1590628316722048
2016,Tourism direct GDP as a proportion of total GDP,Exhibitions & Conferences etc.,Percentage (%),Units,Normal value,0.022713056753350537
2016,Tourism direct GDP as a proportion of total GDP,Other consumption products,Percentage (%),Units,Normal value,2.3846017394777306
2016,Tourism direct GDP as a proportion of total GDP,,Percentage (%),Units,Normal value,5.95570052555525
2017,Tourism direct GDP growth rate,Accommodation services for visitors,Percentage (%),Units,Normal value,24.59467104632531
2017,Tourism direct GDP growth rate,Food and beverage serving activities,Percentage (%),Units,Normal value,5.714449983446192
2017,Tourism direct GDP growth rate,Railway passenger transport services,Percentage (%),Units,Normal value,9.992681481268011
2017,Tourism direct GDP growth rate,Road passenger transport services,Percentage (%),Units,Normal value,8.634229382756855
2017,Tourism direct GDP growth rate,Water passenger transport services,Percentage (%),Units,Normal value,47.55439295785937
2017,Tourism direct GDP growth rate,Air passenger transport services,Percentage (%),Units,Normal value,4.922689681133975
2017,Tourism direct GDP growth rate,Transport equipment rental services,Percentage (%),Units,Normal value,89.87741088232482
2017,Tourism direct GDP growth rate,Travel agencies and other reservation services,Percentage (%),Units,Normal value,3.2632644159370776
2017,Tourism direct GDP growth rate,Cultural activities,Percentage (%),Units,Normal value,-0.04191898517303588
2017,Tourism direct GDP growth rate,Sport and recreation activities,Percentage (%),Units,Normal value,16.598579486301592
2017,Tourism direct GDP growth rate,Exhibitions & Conferences etc.,Percentage (%),Units,Normal value,-28.579464873233924
2017,Tourism direct GDP growth rate,Other consumption products,Percentage (%),Units,Normal value,-4.318567837406443
2017,Tourism direct GDP growth rate,,Percentage (%),Units,Normal value,0.8841845644816538
2018,Tourism direct GDP growth rate,Accommodation services for visitors,Percentage (%),Units,Normal value,-18.397671322469268
2018,Tourism direct GDP growth rate,Food and beverage serving activities,Percentage (%),Units,Normal value,-0.4334052040202617
2018,Tourism direct GDP growth rate,Railway passenger transport services,Percentage (%),Units,Normal value,-2.718487785432881
2018,Tourism direct GDP growth rate,Road passenger transport services,Percentage (%),Units,Normal value,4.735617463979467
2018,Tourism direct GDP growth rate,Water passenger transport services,Percentage (%),Units,Normal value,-21.46181681123622
2018,Tourism direct GDP growth rate,Air passenger transport services,Percentage (%),Units,Normal value,9.198543365767488
2018,Tourism direct GDP growth rate,Transport equipment rental services,Percentage (%),Units,Normal value,-21.03474619089693
2018,Tourism direct GDP growth rate,Travel agencies and other reservation services,Percentage (%),Units,Normal value,4.243244723380803
2018,Tourism direct GDP growth rate,Cultural activities,Percentage (%),Units,Normal value,7.915384546813678
2018,Tourism direct GDP growth rate,Sport and recreation activities,Percentage (%),Units,Normal value,-16.291151074194975
2018,Tourism direct GDP growth rate,Exhibitions & Conferences etc.,Percentage (%),Units,Normal value,16.023544420925035
2018,Tourism direct GDP growth rate,Other consumption products,Percentage (%),Units,Normal value,-0.8619802075019732
2018,Tourism direct GDP growth rate,,Percentage (%),Units,Normal value,-1.1466823440029774
2019,Tourism direct GDP growth rate,Accommodation services for visitors,Percentage (%),Units,Normal value,11.791640786676345
2019,Tourism direct GDP growth rate,Food and beverage serving activities,Percentage (%),Units,Normal value,6.513893801149051
2019,Tourism direct GDP growth rate,Railway passenger transport services,Percentage (%),Units,Normal value,1.6229230118259768
2019,Tourism direct GDP growth rate,Road passenger transport services,Percentage (%),Units,Normal value,13.860734070528144
2019,Tourism direct GDP growth rate,Water passenger transport services,Percentage (%),Units,Normal value,24.17475907777845
2019,Tourism direct GDP growth rate,Air passenger transport services,Percentage (%),Units,Normal value,-12.271084107116137
2019,Tourism direct GDP growth rate,Transport equipment rental services,Percentage (%),Units,Normal value,82.800225896743
2019,Tourism direct GDP growth rate,Travel agencies and other reservation services,Percentage (%),Units,Normal value,-4.8901496487935106
2019,Tourism direct GDP growth rate,Cultural activities,Percentage (%),Units,Normal value,5.5742755168181715
2019,Tourism direct GDP growth rate,Sport and recreation activities,Percentage (%),Units,Normal value,23.71442579022415
2019,Tourism direct GDP growth rate,Exhibitions & Conferences etc.,Percentage (%),Units,Normal value,59.65923932355174
2019,Tourism direct GDP growth rate,Other consumption products,Percentage (%),Units,Normal value,18.8977217510745
2019,Tourism direct GDP growth rate,,Percentage (%),Units,Normal value,14.777003112917471
2017,Tourism direct GDP as a proportion of total GDP,Accommodation services for visitors,Percentage (%),Units,Normal value,-0.2594426833401072
2017,Tourism direct GDP as a proportion of total GDP,Food and beverage serving activities,Percentage (%),Units,Normal value,1.2316121232435138
2017,Tourism direct GDP as a proportion of total GDP,Railway passenger transport services,Percentage (%),Units,Normal value,0.14929922098250734
2017,Tourism direct GDP as a proportion of total GDP,Road passenger transport services,Percentage (%),Units,Normal value,0.07779352559967559
2017,Tourism direct GDP as a proportion of total GDP,Water passenger transport services,Percentage (%),Units,Normal value,0.04808145066517734
2017,Tourism direct GDP as a proportion of total GDP,Air passenger transport services,Percentage (%),Units,Normal value,0.16428446473798833
2017,Tourism direct GDP as a proportion of total GDP,Transport equipment rental services,Percentage (%),Units,Normal value,0.10535890879610149
2017,Tourism direct GDP as a proportion of total GDP,Travel agencies and other reservation services,Percentage (%),Units,Normal value,0.09321984457653895
2017,Tourism direct GDP as a proportion of total GDP,Cultural activities,Percentage (%),Units,Normal value,0.1489429320546557
2017,Tourism direct GDP as a proportion of total GDP,Sport and recreation activities,Percentage (%),Units,Normal value,0.18158906864918747
2017,Tourism direct GDP as a proportion of total GDP,Exhibitions & Conferences etc.,Percentage (%),Units,Normal value,0.015882776260829404
2017,Tourism direct GDP as a proportion of total GDP,Other consumption products,Percentage (%),Units,Normal value,2.2339387206171213
2017,Tourism direct GDP as a proportion of total GDP,,Percentage (%),Units,Normal value,5.882794420292268
2018,Tourism direct GDP as a proportion of total GDP,Accommodation services for visitors,Percentage (%),Units,Normal value,-0.2082728418275478
2018,Tourism direct GDP as a proportion of total GDP,Food and beverage serving activities,Percentage (%),Units,Normal value,1.206358177970207
2018,Tourism direct GDP as a proportion of total GDP,Railway passenger transport services,Percentage (%),Units,Normal value,0.1428816700352995
2018,Tourism direct GDP as a proportion of total GDP,Road passenger transport services,Percentage (%),Units,Normal value,0.0801542425896939
2018,Tourism direct GDP as a proportion of total GDP,Water passenger transport services,Percentage (%),Units,Normal value,0.03714899557896548
2018,Tourism direct GDP as a proportion of total GDP,Air passenger transport services,Percentage (%),Units,Normal value,0.1764826455511804
2018,Tourism direct GDP as a proportion of total GDP,Transport equipment rental services,Percentage (%),Units,Normal value,0.08184571794993156
2018,Tourism direct GDP as a proportion of total GDP,Travel agencies and other reservation services,Percentage (%),Units,Normal value,0.09559715297993585
2018,Tourism direct GDP as a proportion of total GDP,Cultural activities,Percentage (%),Units,Normal value,0.15812186378306559
2018,Tourism direct GDP as a proportion of total GDP,Sport and recreation activities,Percentage (%),Units,Normal value,0.14953736865751477
2018,Tourism direct GDP as a proportion of total GDP,Exhibitions & Conferences etc.,Percentage (%),Units,Normal value,0.01812847240473847
2018,Tourism direct GDP as a proportion of total GDP,Other consumption products,Percentage (%),Units,Normal value,2.178713672389998
2018,Tourism direct GDP as a proportion of total GDP,,Percentage (%),Units,Normal value,5.720889828906463
2019,Tourism direct GDP as a proportion of total GDP,Accommodation services for visitors,Percentage (%),Units,Normal value,-0.2290028276322338
2019,Tourism direct GDP as a proportion of total GDP,Food and beverage serving activities,Percentage (%),Units,Normal value,1.2638088887689471
2019,Tourism direct GDP as a proportion of total GDP,Railway passenger transport services,Percentage (%),Units,Normal value,0.1428127795132749
2019,Tourism direct GDP as a proportion of total GDP,Road passenger transport services,Percentage (%),Units,Normal value,0.08976341476871944
2019,Tourism direct GDP as a proportion of total GDP,Water passenger transport services,Percentage (%),Units,Normal value,0.04537109633341703
2019,Tourism direct GDP as a proportion of total GDP,Air passenger transport services,Percentage (%),Units,Normal value,0.15228027048749046
2019,Tourism direct GDP as a proportion of total GDP,Transport equipment rental services,Percentage (%),Units,Normal value,0.14715382737538796
2019,Tourism direct GDP as a proportion of total GDP,Travel agencies and other reservation services,Percentage (%),Units,Normal value,0.08942713727873862
2019,Tourism direct GDP as a proportion of total GDP,Cultural activities,Percentage (%),Units,Normal value,0.16419083296705533
2019,Tourism direct GDP as a proportion of total GDP,Sport and recreation activities,Percentage (%),Units,Normal value,0.1819570761434306
2019,Tourism direct GDP as a proportion of total GDP,Exhibitions & Conferences etc.,Percentage (%),Units,Normal value,0.028467815149989955
2019,Tourism direct GDP as a proportion of total GDP,Other consumption products,Percentage (%),Units,Normal value,2.547842415728472
2019,Tourism direct GDP as a proportion of total GDP,,Percentage (%),Units,Normal value,6.45828694123319
