Year,Series,Legislative authority,Observation status,Unit multiplier,Units,Value
2013,Local Government,English Local Authority Councillors,Undefined,Units,Percentage (%),31.7
2018,Local Government,English Local Authority Councillors,Undefined,Units,Percentage (%),35.7
2019,Local Government,English Local Authority Councillors,Undefined,Units,Percentage (%),35.34
2020,Local Government,English Local Authority Councillors,Undefined,Units,Percentage (%),35.49
2021,Local Government,English Local Authority Councillors,Undefined,Units,Percentage (%),35.81
2004,Local Government,Welsh Local Authority Councillors,Undefined,Units,Percentage (%),22.0
2008,Local Government,Welsh Local Authority Councillors,Undefined,Units,Percentage (%),25.0
2012,Local Government,Welsh Local Authority Councillors,Undefined,Units,Percentage (%),26.0
2019,Local Government,Welsh Local Authority Councillors,Undefined,Units,Percentage (%),27.87
2020,Local Government,Welsh Local Authority Councillors,Undefined,Units,Percentage (%),28.3
2021,Local Government,Welsh Local Authority Councillors,Undefined,Units,Percentage (%),29.02
2005,Local Government,Northern Ireland Local Authority Councillors,Undefined,Units,Percentage (%),21.0
2011,Local Government,Northern Ireland Local Authority Councillors,Undefined,Units,Percentage (%),23.5
2014,Local Government,Northern Ireland Local Authority Councillors,Undefined,Units,Percentage (%),25.11
2019,Local Government,Northern Ireland Local Authority Councillors,Undefined,Units,Percentage (%),26.2
