Year,Sex,Age,Observation status,Unit multiplier,Unit measure,Value
2011,Male,15 and under,Undefined,Units,Percentage (%),17.7
2011,Male,16 to 24,Undefined,Units,Percentage (%),16.7
2011,Male,25 to 49,Undefined,Units,Percentage (%),11.5
2011,Male,50 to 64,Undefined,Units,Percentage (%),14.1
2011,Male,65 to 74,Undefined,Units,Percentage (%),14.8
2011,Male,75 and over,Undefined,Units,Percentage (%),22.7
2011,Female,,Undefined,Units,Percentage (%),17.6
2011,Female,15 and under,Undefined,Units,Percentage (%),17.5
2011,Female,16 to 24,Undefined,Units,Percentage (%),23.7
2011,Female,25 to 49,Undefined,Units,Percentage (%),13.2
2011,Female,50 to 64,Undefined,Units,Percentage (%),15.0
2011,Female,65 to 74,Undefined,Units,Percentage (%),19.5
2011,Female,75 and over,Undefined,Units,Percentage (%),30.5
2012,,,Undefined,Units,Percentage (%),16.0
2012,,15 and under,Undefined,Units,Percentage (%),17.6
2012,,16 to 24,Undefined,Units,Percentage (%),23.2
2012,,25 to 49,Undefined,Units,Percentage (%),12.9
2012,,50 to 64,Undefined,Units,Percentage (%),15.2
2012,,65 to 74,Undefined,Units,Percentage (%),13.6
2012,,75 and over,Undefined,Units,Percentage (%),19.8
2012,Male,,Undefined,Units,Percentage (%),15.8
2012,Male,15 and under,Undefined,Units,Percentage (%),16.8
2012,Male,16 to 24,Undefined,Units,Percentage (%),24.5
2012,Male,25 to 49,Undefined,Units,Percentage (%),12.6
2012,Male,50 to 64,Undefined,Units,Percentage (%),15.6
2012,Male,65 to 74,Undefined,Units,Percentage (%),12.9
2012,Male,75 and over,Undefined,Units,Percentage (%),17.7
2012,Female,,Undefined,Units,Percentage (%),16.3
2012,Female,15 and under,Undefined,Units,Percentage (%),18.4
2012,Female,16 to 24,Undefined,Units,Percentage (%),21.8
2012,Female,25 to 49,Undefined,Units,Percentage (%),13.3
2012,Female,50 to 64,Undefined,Units,Percentage (%),14.8
2012,Female,65 to 74,Undefined,Units,Percentage (%),14.3
2012,Female,75 and over,Undefined,Units,Percentage (%),21.4
2013,,,Undefined,Units,Percentage (%),15.9
2013,,15 and under,Undefined,Units,Percentage (%),18.1
2013,,16 to 24,Undefined,Units,Percentage (%),22.4
2013,,25 to 49,Undefined,Units,Percentage (%),12.9
2013,,50 to 64,Undefined,Units,Percentage (%),14.5
2013,,65 to 74,Undefined,Units,Percentage (%),13.2
2013,,75 and over,Undefined,Units,Percentage (%),20.7
2013,Male,,Undefined,Units,Percentage (%),15.4
2013,Male,15 and under,Undefined,Units,Percentage (%),18.0
2013,Male,16 to 24,Undefined,Units,Percentage (%),21.7
2013,Male,25 to 49,Undefined,Units,Percentage (%),12.3
2013,Male,50 to 64,Undefined,Units,Percentage (%),15.1
2013,Male,65 to 74,Undefined,Units,Percentage (%),12.2
2013,Male,75 and over,Undefined,Units,Percentage (%),18.0
2013,Female,,Undefined,Units,Percentage (%),16.4
2013,Female,15 and under,Undefined,Units,Percentage (%),18.3
2013,Female,16 to 24,Undefined,Units,Percentage (%),23.1
2013,Female,25 to 49,Undefined,Units,Percentage (%),13.6
2013,Female,50 to 64,Undefined,Units,Percentage (%),13.9
2013,Female,65 to 74,Undefined,Units,Percentage (%),14.2
2013,Female,75 and over,Undefined,Units,Percentage (%),22.7
2014,,,Undefined,Units,Percentage (%),16.8
2014,,15 and under,Undefined,Units,Percentage (%),19.1
2014,,16 to 24,Undefined,Units,Percentage (%),23.2
2014,,25 to 49,Undefined,Units,Percentage (%),14.0
2014,,50 to 64,Undefined,Units,Percentage (%),15.1
2014,,65 to 74,Undefined,Units,Percentage (%),13.6
2014,,75 and over,Undefined,Units,Percentage (%),22.7
2014,Male,,Undefined,Units,Percentage (%),16.0
2014,Male,15 and under,Undefined,Units,Percentage (%),19.2
2014,Male,16 to 24,Undefined,Units,Percentage (%),21.2
2014,Male,25 to 49,Undefined,Units,Percentage (%),13.8
2014,Male,50 to 64,Undefined,Units,Percentage (%),14.7
2014,Male,65 to 74,Undefined,Units,Percentage (%),12.0
2014,Male,75 and over,Undefined,Units,Percentage (%),18.8
2014,Female,,Undefined,Units,Percentage (%),17.6
2014,Female,15 and under,Undefined,Units,Percentage (%),19.0
2014,Female,16 to 24,Undefined,Units,Percentage (%),25.3
2014,Female,25 to 49,Undefined,Units,Percentage (%),14.1
2014,Female,50 to 64,Undefined,Units,Percentage (%),15.5
2014,Female,65 to 74,Undefined,Units,Percentage (%),15.0
2014,Female,75 and over,Undefined,Units,Percentage (%),25.5
2015,,,Undefined,Units,Percentage (%),16.6
2015,,15 and under,Undefined,Units,Percentage (%),19.5
2015,,16 to 24,Undefined,Units,Percentage (%),24.9
2015,,25 to 49,Undefined,Units,Percentage (%),13.6
2015,,50 to 64,Undefined,Units,Percentage (%),14.5
2015,,65 to 74,Undefined,Units,Percentage (%),13.1
2015,,75 and over,Undefined,Units,Percentage (%),20.8
2015,Male,,Undefined,Units,Percentage (%),16.1
2015,Male,15 and under,Undefined,Units,Percentage (%),18.3
2015,Male,16 to 24,Undefined,Units,Percentage (%),24.4
2015,Male,25 to 49,Undefined,Units,Percentage (%),13.6
2015,Male,50 to 64,Undefined,Units,Percentage (%),14.1
2015,Male,65 to 74,Undefined,Units,Percentage (%),12.7
2015,Male,75 and over,Undefined,Units,Percentage (%),18.1
2015,Female,,Undefined,Units,Percentage (%),17.2
2015,Female,15 and under,Undefined,Units,Percentage (%),20.9
2015,Female,16 to 24,Undefined,Units,Percentage (%),25.5
2015,Female,25 to 49,Undefined,Units,Percentage (%),13.6
2015,Female,50 to 64,Undefined,Units,Percentage (%),14.9
2015,Female,65 to 74,Undefined,Units,Percentage (%),13.4
2015,Female,75 and over,Undefined,Units,Percentage (%),22.9
2016,,,Undefined,Units,Percentage (%),15.9
2016,,15 and under,Undefined,Units,Percentage (%),18.1
2016,,16 to 24,Undefined,Units,Percentage (%),19.9
2016,,25 to 49,Undefined,Units,Percentage (%),13.3
2016,,50 to 64,Undefined,Units,Percentage (%),14.7
2016,,65 to 74,Undefined,Units,Percentage (%),13.7
2016,,75 and over,Undefined,Units,Percentage (%),21.4
2016,Male,,Undefined,Units,Percentage (%),15.2
2016,Male,15 and under,Undefined,Units,Percentage (%),18.1
2016,Male,16 to 24,Undefined,Units,Percentage (%),18.2
2016,Male,25 to 49,Undefined,Units,Percentage (%),12.9
2016,Male,50 to 64,Undefined,Units,Percentage (%),15.1
2016,Male,65 to 74,Undefined,Units,Percentage (%),11.3
2016,Male,75 and over,Undefined,Units,Percentage (%),18.8
2016,Female,,Undefined,Units,Percentage (%),16.5
2016,Female,15 and under,Undefined,Units,Percentage (%),18.1
2016,Female,16 to 24,Undefined,Units,Percentage (%),21.6
2016,Female,25 to 49,Undefined,Units,Percentage (%),13.6
2016,Female,50 to 64,Undefined,Units,Percentage (%),14.2
2016,Female,65 to 74,Undefined,Units,Percentage (%),16.0
2016,Female,75 and over,Undefined,Units,Percentage (%),23.4
2017,,,Undefined,Units,Percentage (%),17.0
2017,,15 and under,Undefined,Units,Percentage (%),21.1
2017,,16 to 24,Undefined,Units,Percentage (%),20.8
2017,,25 to 49,Undefined,Units,Percentage (%),13.7
2017,,50 to 64,Undefined,Units,Percentage (%),16.6
2017,,65 to 74,Undefined,Units,Percentage (%),13.4
2017,,75 and over,Undefined,Units,Percentage (%),21.3
2017,Male,,Undefined,Units,Percentage (%),16.1
2017,Male,15 and under,Undefined,Units,Percentage (%),21.1
2017,Male,16 to 24,Undefined,Units,Percentage (%),19.8
2017,Male,25 to 49,Undefined,Units,Percentage (%),12.2
2017,Male,50 to 64,Undefined,Units,Percentage (%),16.8
2017,Male,65 to 74,Undefined,Units,Percentage (%),12.6
2017,Male,75 and over,Undefined,Units,Percentage (%),17.6
2017,Female,,Undefined,Units,Percentage (%),17.9
2017,Female,15 and under,Undefined,Units,Percentage (%),21.0
2017,Female,16 to 24,Undefined,Units,Percentage (%),21.8
2017,Female,25 to 49,Undefined,Units,Percentage (%),15.2
2017,Female,50 to 64,Undefined,Units,Percentage (%),16.3
2017,Female,65 to 74,Undefined,Units,Percentage (%),14.3
2017,Female,75 and over,Undefined,Units,Percentage (%),24.1
2018,,,Undefined,Units,Percentage (%),18.9
2018,,15 and under,Undefined,Units,Percentage (%),23.9
2018,,16 to 24,Undefined,Units,Percentage (%),24.0
2018,,25 to 49,Undefined,Units,Percentage (%),15.2
2018,,50 to 64,Undefined,Units,Percentage (%),17.2
2018,,65 to 74,Undefined,Units,Percentage (%),15.4
2018,,75 and over,Undefined,Units,Percentage (%),24.1
2018,Male,,Undefined,Units,Percentage (%),17.6
2018,Male,15 and under,Undefined,Units,Percentage (%),23.3
2018,Male,16 to 24,Undefined,Units,Percentage (%),21.4
2018,Male,25 to 49,Undefined,Units,Percentage (%),13.8
2018,Male,50 to 64,Undefined,Units,Percentage (%),17.4
2018,Male,65 to 74,Undefined,Units,Percentage (%),14.2
2018,Male,75 and over,Undefined,Units,Percentage (%),19.9
2018,Female,,Undefined,Units,Percentage (%),20.1
2018,Female,15 and under,Undefined,Units,Percentage (%),24.5
2018,Female,16 to 24,Undefined,Units,Percentage (%),26.7
2018,Female,25 to 49,Undefined,Units,Percentage (%),16.5
2018,Female,50 to 64,Undefined,Units,Percentage (%),17.0
2018,Female,65 to 74,Undefined,Units,Percentage (%),16.6
2018,Female,75 and over,Undefined,Units,Percentage (%),27.4
