Year,Type of exploitation,Sex,Observation status,Unit multiplier,Unit measure,Value
2021,Sexual and criminal,,Normal value,Units,Number of children,127.0
2021,Sexual and domestic,Female,Normal value,Units,Number of children,
2021,Sexual and domestic,Male,Normal value,Units,Number of children,20.0
2021,Sexual and domestic,,Normal value,Units,Number of children,16.0
2021,Sexual and labour,Male,Normal value,Units,Number of children,65.0
2021,Sexual and labour,Male,Normal value,Units,Number of children,38.0
2021,Sexual and labour,,Normal value,Units,Number of children,27.0
2021,Sexual and organ harvesting,Female,Normal value,Units,Number of children,
2021,Sexual and organ harvesting,Male,Normal value,Units,Number of children,
2021,Sexual and organ harvesting,,Normal value,Units,Number of children,
2021,"Sexual, domestic and criminal",Female,Normal value,Units,Number of children,
2021,"Sexual, domestic and criminal",Male,Normal value,Units,Number of children,
2021,"Sexual, domestic and criminal",,Normal value,Units,Number of children,
2021,"Sexual, labour and criminal",Female,Normal value,Units,Number of children,42.0
2021,"Sexual, labour and criminal",Male,Normal value,Units,Number of children,18.0
2021,"Sexual, labour and criminal",,Normal value,Units,Number of children,24.0
2021,"Sexual, labour and domestic",Female,Normal value,Units,Number of children,50.0
2021,"Sexual, labour and domestic",Male,Normal value,Units,Number of children,36.0
2021,"Sexual, labour and domestic",,Normal value,Units,Number of children,14.0
2021,"Sexual, labour and organ harvesting",Female,Normal value,Units,Number of children,
2021,"Sexual, labour and organ harvesting",Male,Normal value,Units,Number of children,0.0
2021,"Sexual, labour and organ harvesting",,Normal value,Units,Number of children,
2021,"Sexual, labour, domestic and criminal",Female,Normal value,Units,Number of children,7.0
2021,"Sexual, labour, domestic and criminal",Male,Normal value,Units,Number of children,
2021,"Sexual, labour, domestic and criminal",,Normal value,Units,Number of children,6.0
2021,"Sexual, labour, domestic, organ harvesting and criminal",Female,Normal value,Units,Number of children,
2021,"Sexual, labour, domestic, organ harvesting and criminal",Male,Normal value,Units,Number of children,
2021,"Sexual, labour, domestic, organ harvesting and criminal",,Normal value,Units,Number of children,
2021,Not specified or unknown,Female,Normal value,Units,Number of children,240.0
2021,Not specified or unknown,Male,Normal value,Units,Number of children,335.0
2021,Not specified or unknown,,Normal value,Units,Number of children,94.0
