Year,Series,Water area extent,Quality measure,Water type,Deviation level,Geography (HydroBASINs ID),Units,Observation status,Unit multiplier,Value
2011 to 2015,Open water area,,,Ephemeral,,2060048990 (South West England),% change from baseline,Normal value,Units,-17.1107063874074
2012 to 2016,Open water area,,,Ephemeral,,2060048990 (South West England),% change from baseline,Normal value,Units,-25.3024586965006
2013 to 2017,Open water area,,,Ephemeral,,2060048990 (South West England),% change from baseline,Normal value,Units,-26.2885390919735
2014 to 2018,Open water area,,,Ephemeral,,2060048990 (South West England),% change from baseline,Normal value,Units,-25.5197085989333
2015 to 2019,Open water area,,,Ephemeral,,2060048990 (South West England),% change from baseline,Normal value,Units,-25.0045531416678
2016 to 2020,Open water area,,,Ephemeral,,2060048990 (South West England),% change from baseline,Normal value,Units,-26.0114478990504
1984 to 1988,Open water area,,,Ephemeral,,2060049660 (Severn),% change from baseline,Normal value,Units,-19.4406670942913
1985 to 1989,Open water area,,,Ephemeral,,2060049660 (Severn),% change from baseline,Normal value,Units,-28.8184733803721
1986 to 1990,Open water area,,,Ephemeral,,2060049660 (Severn),% change from baseline,Normal value,Units,-18.6452854393843
1998 to 2002,Open water area,,,Ephemeral,,2060049660 (Severn),% change from baseline,Normal value,Units,-2.03463758819776
1999 to 2003,Open water area,,,Ephemeral,,2060049660 (Severn),% change from baseline,Normal value,Units,-4.60551635663907
2009 to 2013,Open water area,,,Ephemeral,,2060049660 (Severn),% change from baseline,Normal value,Units,-5.96792815907652
2010 to 2014,Open water area,,,Ephemeral,,2060049660 (Severn),% change from baseline,Normal value,Units,-3.84862091084047
2011 to 2015,Open water area,,,Ephemeral,,2060049660 (Severn),% change from baseline,Normal value,Units,-14.2398973701092
2012 to 2016,Open water area,,,Ephemeral,,2060049660 (Severn),% change from baseline,Normal value,Units,-23.2328415651059
2013 to 2017,Open water area,,,Ephemeral,,2060049660 (Severn),% change from baseline,Normal value,Units,-33.400898011546
2014 to 2018,Open water area,,,Ephemeral,,2060049660 (Severn),% change from baseline,Normal value,Units,-33.2392559332907
2015 to 2019,Open water area,,,Ephemeral,,2060049660 (Severn),% change from baseline,Normal value,Units,-36.2232200128288
2016 to 2020,Open water area,,,Ephemeral,,2060049660 (Severn),% change from baseline,Normal value,Units,-38.7940987812701
1984 to 1988,Open water area,,,Ephemeral,,2060049670 (South East Wye),% change from baseline,Normal value,Units,78.2513661202182
1985 to 1989,Open water area,,,Ephemeral,,2060049670 (South East Wye),% change from baseline,Normal value,Units,80.2185792349723
1986 to 1990,Open water area,,,Ephemeral,,2060049670 (South East Wye),% change from baseline,Normal value,Units,79.2349726775952
1998 to 2002,Open water area,,,Ephemeral,,2060049670 (South East Wye),% change from baseline,Normal value,Units,19.6721311475407
1999 to 2003,Open water area,,,Ephemeral,,2060049670 (South East Wye),% change from baseline,Normal value,Units,2.62295081967193
2009 to 2013,Open water area,,,Ephemeral,,2060049670 (South East Wye),% change from baseline,Normal value,Units,-50.0546448087432
2010 to 2014,Open water area,,,Ephemeral,,2060049670 (South East Wye),% change from baseline,Normal value,Units,-45.3551912568306
2011 to 2015,Open water area,,,Ephemeral,,2060049670 (South East Wye),% change from baseline,Normal value,Units,-42.2950819672132
2012 to 2016,Open water area,,,Ephemeral,,2060049670 (South East Wye),% change from baseline,Normal value,Units,-42.6229508196722
2013 to 2017,Open water area,,,Ephemeral,,2060049670 (South East Wye),% change from baseline,Normal value,Units,-51.4754098360656
2014 to 2018,Open water area,,,Ephemeral,,2060049670 (South East Wye),% change from baseline,Normal value,Units,-47.7595628415301
2015 to 2019,Open water area,,,Ephemeral,,2060049670 (South East Wye),% change from baseline,Normal value,Units,-44.0437158469946
2016 to 2020,Open water area,,,Ephemeral,,2060049670 (South East Wye),% change from baseline,Normal value,Units,-47.6502732240438
1984 to 1988,Open water area,,,Ephemeral,,2060049680 (Wye),% change from baseline,Normal value,Units,-20.6393328700487
1985 to 1989,Open water area,,,Ephemeral,,2060049680 (Wye),% change from baseline,Normal value,Units,-33.509381514941
1986 to 1990,Open water area,,,Ephemeral,,2060049680 (Wye),% change from baseline,Normal value,Units,-28.2487838776929
1998 to 2002,Open water area,,,Ephemeral,,2060049680 (Wye),% change from baseline,Normal value,Units,22.4947880472548
1999 to 2003,Open water area,,,Ephemeral,,2060049680 (Wye),% change from baseline,Normal value,Units,17.8874218207086
2009 to 2013,Open water area,,,Ephemeral,,2060049680 (Wye),% change from baseline,Normal value,Units,-13.6066712995137
2010 to 2014,Open water area,,,Ephemeral,,2060049680 (Wye),% change from baseline,Normal value,Units,-14.8644892286311
2011 to 2015,Open water area,,,Ephemeral,,2060049680 (Wye),% change from baseline,Normal value,Units,-22.3974982626826
2012 to 2016,Open water area,,,Ephemeral,,2060049680 (Wye),% change from baseline,Normal value,Units,-27.3592772758862
2013 to 2017,Open water area,,,Ephemeral,,2060049680 (Wye),% change from baseline,Normal value,Units,-46.747741487144
2014 to 2018,Open water area,,,Ephemeral,,2060049680 (Wye),% change from baseline,Normal value,Units,-44.0444753300904
2015 to 2019,Open water area,,,Ephemeral,,2060049680 (Wye),% change from baseline,Normal value,Units,-49.242529534399
2016 to 2020,Open water area,,,Ephemeral,,2060049680 (Wye),% change from baseline,Normal value,Units,-52.1403752605977
1984 to 1988,Open water area,,,Ephemeral,,2060049690 (Wales & Dee),% change from baseline,Normal value,Units,-19.0925011940775
1985 to 1989,Open water area,,,Ephemeral,,2060049690 (Wales & Dee),% change from baseline,Normal value,Units,-28.2112720904315
1986 to 1990,Open water area,,,Ephemeral,,2060049690 (Wales & Dee),% change from baseline,Normal value,Units,-28.1444037573636
1998 to 2002,Open water area,,,Ephemeral,,2060049690 (Wales & Dee),% change from baseline,Normal value,Units,-1.1017353924536
1999 to 2003,Open water area,,,Ephemeral,,2060049690 (Wales & Dee),% change from baseline,Normal value,Units,1.79430027065736
2009 to 2013,Open water area,,,Ephemeral,,2060049690 (Wales & Dee),% change from baseline,Normal value,Units,-13.7422384970547
2010 to 2014,Open water area,,,Ephemeral,,2060049690 (Wales & Dee),% change from baseline,Normal value,Units,-15.6479859894922
2011 to 2015,Open water area,,,Ephemeral,,2060049690 (Wales & Dee),% change from baseline,Normal value,Units,-22.1397866581755
2012 to 2016,Open water area,,,Ephemeral,,2060049690 (Wales & Dee),% change from baseline,Normal value,Units,-27.2767075306481
2013 to 2017,Open water area,,,Ephemeral,,2060049690 (Wales & Dee),% change from baseline,Normal value,Units,-33.4532717720109
2014 to 2018,Open water area,,,Ephemeral,,2060049690 (Wales & Dee),% change from baseline,Normal value,Units,-31.8938067186755
2015 to 2019,Open water area,,,Ephemeral,,2060049690 (Wales & Dee),% change from baseline,Normal value,Units,-36.5180703709601
2016 to 2020,Open water area,,,Ephemeral,,2060049690 (Wales & Dee),% change from baseline,Normal value,Units,-35.6408215252349
1984 to 1988,Open water area,,,Ephemeral,,2060050410 (Mersey),% change from baseline,Normal value,Units,-59.7311009639777
1985 to 1989,Open water area,,,Ephemeral,,2060050410 (Mersey),% change from baseline,Normal value,Units,-65.4540842212075
1986 to 1990,Open water area,,,Ephemeral,,2060050410 (Mersey),% change from baseline,Normal value,Units,-60.3094875697615
1998 to 2002,Open water area,,,Ephemeral,,2060050410 (Mersey),% change from baseline,Normal value,Units,-3.07204464738727
1999 to 2003,Open water area,,,Ephemeral,,2060050410 (Mersey),% change from baseline,Normal value,Units,1.49162861491611
2009 to 2013,Open water area,,,Ephemeral,,2060050410 (Mersey),% change from baseline,Normal value,Units,-8.01623541349582
2010 to 2014,Open water area,,,Ephemeral,,2060050410 (Mersey),% change from baseline,Normal value,Units,-8.72653475393215
2011 to 2015,Open water area,,,Ephemeral,,2060050410 (Mersey),% change from baseline,Normal value,Units,-13.863521055302
2012 to 2016,Open water area,,,Ephemeral,,2060050410 (Mersey),% change from baseline,Normal value,Units,-20.3855910705227
2013 to 2017,Open water area,,,Ephemeral,,2060050410 (Mersey),% change from baseline,Normal value,Units,-28.3079654997464
2014 to 2018,Open water area,,,Ephemeral,,2060050410 (Mersey),% change from baseline,Normal value,Units,-30.5657026889904
2015 to 2019,Open water area,,,Ephemeral,,2060050410 (Mersey),% change from baseline,Normal value,Units,-34.4622019279554
2016 to 2020,Open water area,,,Ephemeral,,2060050410 (Mersey),% change from baseline,Normal value,Units,-33.6605783866058
1984 to 1988,Open water area,,,Ephemeral,,2060050420 (North West England),% change from baseline,Normal value,Units,-36.9836247132348
1985 to 1989,Open water area,,,Ephemeral,,2060050420 (North West England),% change from baseline,Normal value,Units,-42.5100862273555
1986 to 1990,Open water area,,,Ephemeral,,2060050420 (North West England),% change from baseline,Normal value,Units,-44.8769875800966
1998 to 2002,Open water area,,,Ephemeral,,2060050420 (North West England),% change from baseline,Normal value,Units,-11.1510165335022
1999 to 2003,Open water area,,,Ephemeral,,2060050420 (North West England),% change from baseline,Normal value,Units,-7.7153706194132
2009 to 2013,Open water area,,,Ephemeral,,2060050420 (North West England),% change from baseline,Normal value,Units,-18.4328771457956
2010 to 2014,Open water area,,,Ephemeral,,2060050420 (North West England),% change from baseline,Normal value,Units,-24.4221185032831
2011 to 2015,Open water area,,,Ephemeral,,2060050420 (North West England),% change from baseline,Normal value,Units,-32.5227434538408
2012 to 2016,Open water area,,,Ephemeral,,2060050420 (North West England),% change from baseline,Normal value,Units,-38.2090024523377
2013 to 2017,Open water area,,,Ephemeral,,2060050420 (North West England),% change from baseline,Normal value,Units,-47.78023890515
2014 to 2018,Open water area,,,Ephemeral,,2060050420 (North West England),% change from baseline,Normal value,Units,-42.8913851752236
2015 to 2019,Open water area,,,Ephemeral,,2060050420 (North West England),% change from baseline,Normal value,Units,-47.1790206471008
2016 to 2020,Open water area,,,Ephemeral,,2060050420 (North West England),% change from baseline,Normal value,Units,-47.5666482082115
1984 to 1988,Open water area,,,Ephemeral,,2060050790 (Galloway & Ayrshire),% change from baseline,Normal value,Units,-10.6583117257275
1985 to 1989,Open water area,,,Ephemeral,,2060050790 (Galloway & Ayrshire),% change from baseline,Normal value,Units,-14.5880149812735
1986 to 1990,Open water area,,,Ephemeral,,2060050790 (Galloway & Ayrshire),% change from baseline,Normal value,Units,-9.10976663785668
1998 to 2002,Open water area,,,Ephemeral,,2060050790 (Galloway & Ayrshire),% change from baseline,Normal value,Units,16.7905502736961
1999 to 2003,Open water area,,,Ephemeral,,2060050790 (Galloway & Ayrshire),% change from baseline,Normal value,Units,16.2258715067701
2009 to 2013,Open water area,,,Ephemeral,,2060050790 (Galloway & Ayrshire),% change from baseline,Normal value,Units,5.22183808700643
2010 to 2014,Open water area,,,Ephemeral,,2060050790 (Galloway & Ayrshire),% change from baseline,Normal value,Units,-3.04667242869506
2011 to 2015,Open water area,,,Ephemeral,,2060050790 (Galloway & Ayrshire),% change from baseline,Normal value,Units,-12.8925381734371
2012 to 2016,Open water area,,,Ephemeral,,2060050790 (Galloway & Ayrshire),% change from baseline,Normal value,Units,-21.0169979832902
2013 to 2017,Open water area,,,Ephemeral,,2060050790 (Galloway & Ayrshire),% change from baseline,Normal value,Units,-36.6810717372516
2014 to 2018,Open water area,,,Ephemeral,,2060050790 (Galloway & Ayrshire),% change from baseline,Normal value,Units,-41.7530970901758
2015 to 2019,Open water area,,,Ephemeral,,2060050790 (Galloway & Ayrshire),% change from baseline,Normal value,Units,-42.6332469029099
2016 to 2020,Open water area,,,Ephemeral,,2060050790 (Galloway & Ayrshire),% change from baseline,Normal value,Units,-42.5929127052723
1984 to 1988,Open water area,,,Ephemeral,,2060051150 (Clyde),% change from baseline,Normal value,Units,12.379727296115
1985 to 1989,Open water area,,,Ephemeral,,2060051150 (Clyde),% change from baseline,Normal value,Units,12.3282737329558
1986 to 1990,Open water area,,,Ephemeral,,2060051150 (Clyde),% change from baseline,Normal value,Units,17.6794443015176
1998 to 2002,Open water area,,,Ephemeral,,2060051150 (Clyde),% change from baseline,Normal value,Units,50.9030100334445
1999 to 2003,Open water area,,,Ephemeral,,2060051150 (Clyde),% change from baseline,Normal value,Units,55.6933367635706
2009 to 2013,Open water area,,,Ephemeral,,2060051150 (Clyde),% change from baseline,Normal value,Units,34.3452534087983
2010 to 2014,Open water area,,,Ephemeral,,2060051150 (Clyde),% change from baseline,Normal value,Units,28.3817854386413
2011 to 2015,Open water area,,,Ephemeral,,2060051150 (Clyde),% change from baseline,Normal value,Units,23.6171854900949
2012 to 2016,Open water area,,,Ephemeral,,2060051150 (Clyde),% change from baseline,Normal value,Units,18.3946488294312
2013 to 2017,Open water area,,,Ephemeral,,2060051150 (Clyde),% change from baseline,Normal value,Units,-0.169796758425708
2014 to 2018,Open water area,,,Ephemeral,,2060051150 (Clyde),% change from baseline,Normal value,Units,-5.9171597633138
2015 to 2019,Open water area,,,Ephemeral,,2060051150 (Clyde),% change from baseline,Normal value,Units,-7.04913815281726
2016 to 2020,Open water area,,,Ephemeral,,2060051150 (Clyde),% change from baseline,Normal value,Units,-10.3833290455365
1984 to 1988,Open water area,,,Ephemeral,,2060051160 (North West Scotland),% change from baseline,Normal value,Units,90.5060973071957
1985 to 1989,Open water area,,,Ephemeral,,2060051160 (North West Scotland),% change from baseline,Normal value,Units,88.4101219461436
1986 to 1990,Open water area,,,Ephemeral,,2060051160 (North West Scotland),% change from baseline,Normal value,Units,70.5473009530941
1998 to 2002,Open water area,,,Ephemeral,,2060051160 (North West Scotland),% change from baseline,Normal value,Units,135.997835768093
1999 to 2003,Open water area,,,Ephemeral,,2060051160 (North West Scotland),% change from baseline,Normal value,Units,142.346526823989
2009 to 2013,Open water area,,,Ephemeral,,2060051160 (North West Scotland),% change from baseline,Normal value,Units,160.525242435592
2010 to 2014,Open water area,,,Ephemeral,,2060051160 (North West Scotland),% change from baseline,Normal value,Units,136.644191950721
2011 to 2015,Open water area,,,Ephemeral,,2060051160 (North West Scotland),% change from baseline,Normal value,Units,54.310567278478
2012 to 2016,Open water area,,,Ephemeral,,2060051160 (North West Scotland),% change from baseline,Normal value,Units,37.8732259541346
2013 to 2017,Open water area,,,Ephemeral,,2060051160 (North West Scotland),% change from baseline,Normal value,Units,12.3423648395553
2014 to 2018,Open water area,,,Ephemeral,,2060051160 (North West Scotland),% change from baseline,Normal value,Units,8.37141549090589
2015 to 2019,Open water area,,,Ephemeral,,2060051160 (North West Scotland),% change from baseline,Normal value,Units,17.582719440629
2016 to 2020,Open water area,,,Ephemeral,,2060051160 (North West Scotland),% change from baseline,Normal value,Units,14.7954384650599
1984 to 1988,Open water area,,,Ephemeral,,2060052380 (Spey),% change from baseline,Normal value,Units,26.4496788008563
1985 to 1989,Open water area,,,Ephemeral,,2060052380 (Spey),% change from baseline,Normal value,Units,30.6895074946464
1986 to 1990,Open water area,,,Ephemeral,,2060052380 (Spey),% change from baseline,Normal value,Units,45.1477516059954
1998 to 2002,Open water area,,,Ephemeral,,2060052380 (Spey),% change from baseline,Normal value,Units,106.398286937901
1999 to 2003,Open water area,,,Ephemeral,,2060052380 (Spey),% change from baseline,Normal value,Units,114.415417558886
2009 to 2013,Open water area,,,Ephemeral,,2060052380 (Spey),% change from baseline,Normal value,Units,81.9186295503208
2010 to 2014,Open water area,,,Ephemeral,,2060052380 (Spey),% change from baseline,Normal value,Units,70.5438972162737
2011 to 2015,Open water area,,,Ephemeral,,2060052380 (Spey),% change from baseline,Normal value,Units,48.7965738758026
2012 to 2016,Open water area,,,Ephemeral,,2060052380 (Spey),% change from baseline,Normal value,Units,34.5867237687363
2013 to 2017,Open water area,,,Ephemeral,,2060052380 (Spey),% change from baseline,Normal value,Units,22.5267665952887
2014 to 2018,Open water area,,,Ephemeral,,2060052380 (Spey),% change from baseline,Normal value,Units,20.7280513918626
2015 to 2019,Open water area,,,Ephemeral,,2060052380 (Spey),% change from baseline,Normal value,Units,13.6274089935757
2016 to 2020,Open water area,,,Ephemeral,,2060052380 (Spey),% change from baseline,Normal value,Units,10.9122055674515
1984 to 1988,Open water area,,,Ephemeral,,"2060052390 (Dee, Scotland)",% change from baseline,Normal value,Units,19.9890230515914
1985 to 1989,Open water area,,,Ephemeral,,"2060052390 (Dee, Scotland)",% change from baseline,Normal value,Units,24.2535675082324
1986 to 1990,Open water area,,,Ephemeral,,"2060052390 (Dee, Scotland)",% change from baseline,Normal value,Units,36.2239297475299
1998 to 2002,Open water area,,,Ephemeral,,"2060052390 (Dee, Scotland)",% change from baseline,Normal value,Units,92.3106476399557
1999 to 2003,Open water area,,,Ephemeral,,"2060052390 (Dee, Scotland)",% change from baseline,Normal value,Units,84.7639956092202
2009 to 2013,Open water area,,,Ephemeral,,"2060052390 (Dee, Scotland)",% change from baseline,Normal value,Units,112.985729967068
2010 to 2014,Open water area,,,Ephemeral,,"2060052390 (Dee, Scotland)",% change from baseline,Normal value,Units,96.9868276619096
2011 to 2015,Open water area,,,Ephemeral,,"2060052390 (Dee, Scotland)",% change from baseline,Normal value,Units,83.7047200878152
2012 to 2016,Open water area,,,Ephemeral,,"2060052390 (Dee, Scotland)",% change from baseline,Normal value,Units,73.9352360043904
2013 to 2017,Open water area,,,Ephemeral,,"2060052390 (Dee, Scotland)",% change from baseline,Normal value,Units,46.7892425905595
2014 to 2018,Open water area,,,Ephemeral,,"2060052390 (Dee, Scotland)",% change from baseline,Normal value,Units,31.1580680570799
2015 to 2019,Open water area,,,Ephemeral,,"2060052390 (Dee, Scotland)",% change from baseline,Normal value,Units,25.3238199780458
2016 to 2020,Open water area,,,Ephemeral,,"2060052390 (Dee, Scotland)",% change from baseline,Normal value,Units,24.3962678375409
1984 to 1988,Open water area,,,Ephemeral,,2060052660 (Tay),% change from baseline,Normal value,Units,75.2841904155386
1985 to 1989,Open water area,,,Ephemeral,,2060052660 (Tay),% change from baseline,Normal value,Units,71.5618532080875
1986 to 1990,Open water area,,,Ephemeral,,2060052660 (Tay),% change from baseline,Normal value,Units,86.4352810062088
1998 to 2002,Open water area,,,Ephemeral,,2060052660 (Tay),% change from baseline,Normal value,Units,151.348511383537
1999 to 2003,Open water area,,,Ephemeral,,2060052660 (Tay),% change from baseline,Normal value,Units,176.66613596561
2009 to 2013,Open water area,,,Ephemeral,,2060052660 (Tay),% change from baseline,Normal value,Units,119.554211112879
2010 to 2014,Open water area,,,Ephemeral,,2060052660 (Tay),% change from baseline,Normal value,Units,90.3359337685077
2011 to 2015,Open water area,,,Ephemeral,,2060052660 (Tay),% change from baseline,Normal value,Units,56.2330839038366
2012 to 2016,Open water area,,,Ephemeral,,2060052660 (Tay),% change from baseline,Normal value,Units,49.48893488298
2013 to 2017,Open water area,,,Ephemeral,,2060052660 (Tay),% change from baseline,Normal value,Units,5.19662474128302
2014 to 2018,Open water area,,,Ephemeral,,2060052660 (Tay),% change from baseline,Normal value,Units,4.70307275911459
2015 to 2019,Open water area,,,Ephemeral,,2060052660 (Tay),% change from baseline,Normal value,Units,5.20617736029275
2016 to 2020,Open water area,,,Ephemeral,,2060052660 (Tay),% change from baseline,Normal value,Units,7.90956854004119
1984 to 1988,Open water area,,,Ephemeral,,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,52.4474778713871
1985 to 1989,Open water area,,,Ephemeral,,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,56.9521168817315
1986 to 1990,Open water area,,,Ephemeral,,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,54.5142369627809
1998 to 2002,Open water area,,,Ephemeral,,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,69.7813799722722
1999 to 2003,Open water area,,,Ephemeral,,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,61.7212328036682
2009 to 2013,Open water area,,,Ephemeral,,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,56.9947744481174
2010 to 2014,Open water area,,,Ephemeral,,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,45.161565532686
2011 to 2015,Open water area,,,Ephemeral,,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,35.5764103657883
2012 to 2016,Open water area,,,Ephemeral,,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,28.4696598059078
2013 to 2017,Open water area,,,Ephemeral,,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,16.6812413351815
2014 to 2018,Open water area,,,Ephemeral,,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,11.562333368881
2015 to 2019,Open water area,,,Ephemeral,,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,9.63634424656048
2016 to 2020,Open water area,,,Ephemeral,,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,9.9456116028578
1984 to 1988,Open water area,,,Ephemeral,,2060052940 (Tweed),% change from baseline,Normal value,Units,-35.536453358803
1985 to 1989,Open water area,,,Ephemeral,,2060052940 (Tweed),% change from baseline,Normal value,Units,-34.8360394778734
1986 to 1990,Open water area,,,Ephemeral,,2060052940 (Tweed),% change from baseline,Normal value,Units,-30.18147086915
1998 to 2002,Open water area,,,Ephemeral,,2060052940 (Tweed),% change from baseline,Normal value,Units,24.5399554282073
1999 to 2003,Open water area,,,Ephemeral,,2060052940 (Tweed),% change from baseline,Normal value,Units,26.0999681630051
2009 to 2013,Open water area,,,Ephemeral,,2060052940 (Tweed),% change from baseline,Normal value,Units,18.6182744348931
2010 to 2014,Open water area,,,Ephemeral,,2060052940 (Tweed),% change from baseline,Normal value,Units,15.6383317414834
2011 to 2015,Open water area,,,Ephemeral,,2060052940 (Tweed),% change from baseline,Normal value,Units,7.64087870105043
2012 to 2016,Open water area,,,Ephemeral,,2060052940 (Tweed),% change from baseline,Normal value,Units,-4.4126074498569
2013 to 2017,Open water area,,,Ephemeral,,2060052940 (Tweed),% change from baseline,Normal value,Units,-31.3976440624006
2014 to 2018,Open water area,,,Ephemeral,,2060052940 (Tweed),% change from baseline,Normal value,Units,-34.4157911493156
2015 to 2019,Open water area,,,Ephemeral,,2060052940 (Tweed),% change from baseline,Normal value,Units,-42.9417382999045
2016 to 2020,Open water area,,,Ephemeral,,2060052940 (Tweed),% change from baseline,Normal value,Units,-46.552053486151
1984 to 1988,Open water area,,,Ephemeral,,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,-13.5117056856188
1985 to 1989,Open water area,,,Ephemeral,,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,-6.15384615384632
1986 to 1990,Open water area,,,Ephemeral,,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,25.8862876254178
1998 to 2002,Open water area,,,Ephemeral,,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,-7.22408026755869
1999 to 2003,Open water area,,,Ephemeral,,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,6.42140468227407
2009 to 2013,Open water area,,,Ephemeral,,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,34.3812709030098
2010 to 2014,Open water area,,,Ephemeral,,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,28.9632107023408
2011 to 2015,Open water area,,,Ephemeral,,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,30.6354515050164
2012 to 2016,Open water area,,,Ephemeral,,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,21.4715719063542
2013 to 2017,Open water area,,,Ephemeral,,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,15.4515050167221
2014 to 2018,Open water area,,,Ephemeral,,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,17.8595317725749
2015 to 2019,Open water area,,,Ephemeral,,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,24.9498327759194
2016 to 2020,Open water area,,,Ephemeral,,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,35.250836120401
1984 to 1988,Open water area,,,Ephemeral,,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,-2.66335370357951
1985 to 1989,Open water area,,,Ephemeral,,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,-0.693036062051066
