Year,Series,Country,Region,Sex,Age,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2016,Death rate due to road traffic injuries,England,East of England,,,Normal value,Units,"Rate per 100,000 population",E12000006,3.475278613739098
2017,Death rate due to road traffic injuries,England,East of England,,,Normal value,Units,"Rate per 100,000 population",E12000006,3.2423150648333317
2018,Death rate due to road traffic injuries,England,East of England,,,Normal value,Units,"Rate per 100,000 population",E12000006,2.741398700319002
2019,Death rate due to road traffic injuries,England,East of England,,,Normal value,Units,"Rate per 100,000 population",E12000006,2.9185038274093054
2020,Death rate due to road traffic injuries,England,East of England,,,Normal value,Units,"Rate per 100,000 population",E12000006,2.7100392683086403
2009,Death rate due to road traffic injuries,England,London,,,Normal value,Units,"Rate per 100,000 population",E12000007,2.329213856329557
2010,Death rate due to road traffic injuries,England,London,,,Normal value,Units,"Rate per 100,000 population",E12000007,1.5629855256376142
2011,Death rate due to road traffic injuries,England,London,,,Normal value,Units,"Rate per 100,000 population",E12000007,1.9379828426356713
2012,Death rate due to road traffic injuries,England,London,,,Normal value,Units,"Rate per 100,000 population",E12000007,1.6247769091038415
2013,Death rate due to road traffic injuries,England,London,,,Normal value,Units,"Rate per 100,000 population",E12000007,1.5800494638642688
2014,Death rate due to road traffic injuries,England,London,,,Normal value,Units,"Rate per 100,000 population",E12000007,1.5106451297854955
2015,Death rate due to road traffic injuries,England,London,,,Normal value,Units,"Rate per 100,000 population",E12000007,1.5691830902061052
2016,Death rate due to road traffic injuries,England,London,,,Normal value,Units,"Rate per 100,000 population",E12000007,1.3227424236221728
2017,Death rate due to road traffic injuries,England,London,,,Normal value,Units,"Rate per 100,000 population",E12000007,1.4844190952499607
2018,Death rate due to road traffic injuries,England,London,,,Normal value,Units,"Rate per 100,000 population",E12000007,1.2572853794212244
2019,Death rate due to road traffic injuries,England,London,,,Normal value,Units,"Rate per 100,000 population",E12000007,1.3947796633091158
2020,Death rate due to road traffic injuries,England,London,,,Normal value,Units,"Rate per 100,000 population",E12000007,1.071190781421401
2009,Death rate due to road traffic injuries,England,North East,,,Normal value,Units,"Rate per 100,000 population",E12000001,2.8344660196059626
2010,Death rate due to road traffic injuries,England,North East,,,Normal value,Units,"Rate per 100,000 population",E12000001,1.9714960330407272
2011,Death rate due to road traffic injuries,England,North East,,,Normal value,Units,"Rate per 100,000 population",E12000001,2.233826996261421
2012,Death rate due to road traffic injuries,England,North East,,,Normal value,Units,"Rate per 100,000 population",E12000001,2.958822035308353
2013,Death rate due to road traffic injuries,England,North East,,,Normal value,Units,"Rate per 100,000 population",E12000001,2.9112494124830546
2014,Death rate due to road traffic injuries,England,North East,,,Normal value,Units,"Rate per 100,000 population",E12000001,2.1766226148798506
2015,Death rate due to road traffic injuries,England,North East,,,Normal value,Units,"Rate per 100,000 population",E12000001,2.3622836272026864
2016,Death rate due to road traffic injuries,England,North East,,,Normal value,Units,"Rate per 100,000 population",E12000001,2.123956369384838
2017,Death rate due to road traffic injuries,England,North East,,,Normal value,Units,"Rate per 100,000 population",E12000001,2.193042987045544
2018,Death rate due to road traffic injuries,England,North East,,,Normal value,Units,"Rate per 100,000 population",E12000001,1.9564251447284313
2019,Death rate due to road traffic injuries,England,North East,,,Normal value,Units,"Rate per 100,000 population",E12000001,2.8090508367038822
2020,Death rate due to road traffic injuries,England,North East,,,Normal value,Units,"Rate per 100,000 population",E12000001,2.359602702831261
2009,Death rate due to road traffic injuries,England,North West,,,Normal value,Units,"Rate per 100,000 population",E12000002,3.3637954835248456
2010,Death rate due to road traffic injuries,England,North West,,,Normal value,Units,"Rate per 100,000 population",E12000002,2.7635638634679793
2011,Death rate due to road traffic injuries,England,North West,,,Normal value,Units,"Rate per 100,000 population",E12000002,2.976206926313793
2012,Death rate due to road traffic injuries,England,North West,,,Normal value,Units,"Rate per 100,000 population",E12000002,2.3290380226043728
2013,Death rate due to road traffic injuries,England,North West,,,Normal value,Units,"Rate per 100,000 population",E12000002,2.0975610854836386
2014,Death rate due to road traffic injuries,England,North West,,,Normal value,Units,"Rate per 100,000 population",E12000002,2.565531094377057
2015,Death rate due to road traffic injuries,England,North West,,,Normal value,Units,"Rate per 100,000 population",E12000002,2.466837756498863
2016,Death rate due to road traffic injuries,England,North West,,,Normal value,Units,"Rate per 100,000 population",E12000002,2.5747647308727166
2017,Death rate due to road traffic injuries,England,North West,,,Normal value,Units,"Rate per 100,000 population",E12000002,2.300710588930937
2018,Death rate due to road traffic injuries,England,North West,,,Normal value,Units,"Rate per 100,000 population",E12000002,2.6604158778556446
2019,Death rate due to road traffic injuries,England,North West,,,Normal value,Units,"Rate per 100,000 population",E12000002,2.6698646923471325
2020,Death rate due to road traffic injuries,England,North West,,,Normal value,Units,"Rate per 100,000 population",E12000002,2.152237864239015
2009,Death rate due to road traffic injuries,England,South East,,,Normal value,Units,"Rate per 100,000 population",E12000008,3.4625215023763025
2010,Death rate due to road traffic injuries,England,South East,,,Normal value,Units,"Rate per 100,000 population",E12000008,3.3108834451281104
2011,Death rate due to road traffic injuries,England,South East,,,Normal value,Units,"Rate per 100,000 population",E12000008,2.981699300479476
2012,Death rate due to road traffic injuries,England,South East,,,Normal value,Units,"Rate per 100,000 population",E12000008,2.6705091434565422
2013,Death rate due to road traffic injuries,England,South East,,,Normal value,Units,"Rate per 100,000 population",E12000008,2.672533655159457
2014,Death rate due to road traffic injuries,England,South East,,,Normal value,Units,"Rate per 100,000 population",E12000008,2.783410647165513
2015,Death rate due to road traffic injuries,England,South East,,,Normal value,Units,"Rate per 100,000 population",E12000008,2.625876707602036
2016,Death rate due to road traffic injuries,England,South East,,,Normal value,Units,"Rate per 100,000 population",E12000008,3.100656043449936
2017,Death rate due to road traffic injuries,England,South East,,,Normal value,Units,"Rate per 100,000 population",E12000008,2.9402614850522943
2018,Death rate due to road traffic injuries,England,South East,,,Normal value,Units,"Rate per 100,000 population",E12000008,2.824727312540202
2019,Death rate due to road traffic injuries,England,South East,,,Normal value,Units,"Rate per 100,000 population",E12000008,2.331120402913465
2020,Death rate due to road traffic injuries,England,South East,,,Normal value,Units,"Rate per 100,000 population",E12000008,2.603447552786533
2009,Death rate due to road traffic injuries,England,South West,,,Normal value,Units,"Rate per 100,000 population",E12000009,3.86468180180649
2010,Death rate due to road traffic injuries,England,South West,,,Normal value,Units,"Rate per 100,000 population",E12000009,3.6493090071408614
2011,Death rate due to road traffic injuries,England,South West,,,Normal value,Units,"Rate per 100,000 population",E12000009,3.0183946630254765
2012,Death rate due to road traffic injuries,England,South West,,,Normal value,Units,"Rate per 100,000 population",E12000009,3.8204114470763457
2013,Death rate due to road traffic injuries,England,South West,,,Normal value,Units,"Rate per 100,000 population",E12000009,3.533107635938176
2014,Death rate due to road traffic injuries,England,South West,,,Normal value,Units,"Rate per 100,000 population",E12000009,3.411221036428522
2015,Death rate due to road traffic injuries,England,South West,,,Normal value,Units,"Rate per 100,000 population",E12000009,3.161775053412067
2016,Death rate due to road traffic injuries,England,South West,,,Normal value,Units,"Rate per 100,000 population",E12000009,2.954518718869931
2017,Death rate due to road traffic injuries,England,South West,,,Normal value,Units,"Rate per 100,000 population",E12000009,3.381710987466804
2018,Death rate due to road traffic injuries,England,South West,,,Normal value,Units,"Rate per 100,000 population",E12000009,3.2858697777662695
2020,Death rate due to road traffic injuries,England,South West,,,Normal value,Units,"Rate per 100,000 population",E12000009,2.862376917792535
2020,Death rate due to road traffic injuries,England,South West,,,Normal value,Units,"Rate per 100,000 population",E12000009,2.311236020577823
2009,Death rate due to road traffic injuries,England,West Midlands,,,Normal value,Units,"Rate per 100,000 population",E12000005,4.052093277016473
2010,Death rate due to road traffic injuries,England,West Midlands,,,Normal value,Units,"Rate per 100,000 population",E12000005,2.8027983426119136
