Year,Food security level,Age,Age group,Country,Region,Ethnic group,Ethnicity,Highest qualification,Household compositin - children,Number of adults,Number of children,Household composition - adults over State Pension age,Household composition - disabled adults,Household composition - unemployed adults,State support,State support detail,Total gross weekly income,Tenure,Tenure sub-category,Observation status,Units,GeoCode,Value
2019/2020,Very low,,,England,Outer London,,,,,,,,,,,,,,,,Percentage (%),E13000002,3.0
2019/2020,,,,England,Outer London,,,,,,,,,,,,,,,,Percentage (%),E13000002,9.0
2019/2020,Low,,,England,South East,,,,,,,,,,,,,,,,Percentage (%),E12000008,3.0
2019/2020,,,,,,,,,,,,,,,,,,,,,Percentage (%),,8.0
2019/2020,Very low,,,England,South East,,,,,,,,,,,,,,,,Percentage (%),E12000008,3.0
2019/2020,,,,England,South East,,,,,,,,,,,,,,,,Percentage (%),E12000008,6.0
2019/2020,Low,,,England,South West,,,,,,,,,,,,,,,,Percentage (%),E12000009,2.0
2019/2020,Very low,,,England,South West,,,,,,,,,,,,,,,,Percentage (%),E12000009,4.0
2019/2020,,,,England,South West,,,,,,,,,,,,,,,,Percentage (%),E12000009,6.0
2019/2020,Low,,,England,West Midlands,,,,,,,,,,,,,,,,Percentage (%),E12000005,4.0
2019/2020,Very low,,,England,West Midlands,,,,,,,,,,,,,,,,Percentage (%),E12000005,4.0
2019/2020,,,,England,West Midlands,,,,,,,,,,,,,,,,Percentage (%),E12000005,8.0
2019/2020,Low,,,England,Yorkshire and The Humber,,,,,,,,,,,,,,,,Percentage (%),E12000003,4.0
2019/2020,Very low,,,England,Yorkshire and The Humber,,,,,,,,,,,,,,,,Percentage (%),E12000003,4.0
2019/2020,,,,England,Yorkshire and The Humber,,,,,,,,,,,,,,,,Percentage (%),E12000003,8.0
2019/2020,Low,,,,,,,,without children,,,,,,,,,,,,Percentage (%),,3.0
2019/2020,Low,,,,,,,,without children,One adult,,,,,,,,,,,Percentage (%),,4.0
2019/2020,Low,,,,,,,,without children,Two adults,,,,,,,,,,,Percentage (%),,2.0
2019/2020,Low,,,,,,,,without children,Three or more adults,,,,,,,,,,,Percentage (%),,3.0
2019/2020,Low,,,,,,,,with children,,,,,,,,,,,,Percentage (%),,6.0
2019/2020,Low,,,,,,,,with children,One adult,,,,,,,,,,,Percentage (%),,16.0
2019/2020,Low,,,,,,,,with children,One adult,one child,,,,,,,,,,Percentage (%),,14.0
2019/2020,Low,,,,,,,,with children,One adult,two children,,,,,,,,,,Percentage (%),,15.0
2019/2020,Low,,,,,,,,with children,One adult,three or more children,,,,,,,,,,Percentage (%),,22.0
2019/2020,Low,,,,,,,,with children,Two adults,,,,,,,,,,,Percentage (%),,4.0
2019/2020,Low,,,,,,,,with children,Two adults,one child,,,,,,,,,,Percentage (%),,3.0
2019/2020,Low,,,,,,,,with children,Two adults,two children,,,,,,,,,,Percentage (%),,3.0
2019/2020,Low,,,,,,,,with children,Two adults,three or more children,,,,,,,,,,Percentage (%),,7.0
2019/2020,Low,,,,,,,,with children,Three or more adults,,,,,,,,,,,Percentage (%),,4.0
2019/2020,Low,,,,,,,,with children,Three or more adults,one child,,,,,,,,,,Percentage (%),,3.0
2019/2020,Low,,,,,,,,with children,Three or more adults,two children,,,,,,,,,,Percentage (%),,4.0
2019/2020,Low,,,,,,,,with children,Three or more adults,three or more children,,,,,,,,,Missing value; suppressed,Percentage (%),,
2019/2020,Very low,,,,,,,,without children,,,,,,,,,,,,Percentage (%),,3.0
2019/2020,Very low,,,,,,,,without children,One adult,,,,,,,,,,,Percentage (%),,6.0
2019/2020,Very low,,,,,,,,without children,Two adults,,,,,,,,,,,Percentage (%),,1.0
2019/2020,Very low,,,,,,,,without children,Three or more adults,,,,,,,,,,,Percentage (%),,3.0
2019/2020,Very low,,,,,,,,with children,,,,,,,,,,,,Percentage (%),,5.0
2019/2020,Very low,,,,,,,,with children,One adult,,,,,,,,,,,Percentage (%),,13.0
2019/2020,Very low,,,,,,,,with children,One adult,one child,,,,,,,,,,Percentage (%),,11.0
2019/2020,Very low,,,,,,,,with children,One adult,two children,,,,,,,,,,Percentage (%),,13.0
2019/2020,Very low,,,,,,,,with children,One adult,three or more children,,,,,,,,,,Percentage (%),,19.0
2019/2020,Very low,,,,,,,,with children,Two adults,,,,,,,,,,,Percentage (%),,3.0
2019/2020,Very low,,,,,,,,with children,Two adults,one child,,,,,,,,,,Percentage (%),,3.0
2019/2020,Very low,,,,,,,,with children,Two adults,two children,,,,,,,,,,Percentage (%),,2.0
2019/2020,Very low,,,,,,,,with children,Two adults,three or more children,,,,,,,,,,Percentage (%),,6.0
2019/2020,Very low,,,,,,,,with children,Three or more adults,,,,,,,,,,,Percentage (%),,4.0
2019/2020,Very low,,,,,,,,with children,Three or more adults,one child,,,,,,,,,,Percentage (%),,3.0
2019/2020,Very low,,,,,,,,with children,Three or more adults,two children,,,,,,,,,,Percentage (%),,3.0
2019/2020,Very low,,,,,,,,with children,Three or more adults,three or more children,,,,,,,,,Missing value; suppressed,Percentage (%),,
2019/2020,,,,,,,,,without children,,,,,,,,,,,,Percentage (%),,6.0
2019/2020,,,,,,,,,without children,One adult,,,,,,,,,,,Percentage (%),,10.0
2019/2020,,,,,,,,,without children,Two adults,,,,,,,,,,,Percentage (%),,3.0
2019/2020,,,,,,,,,without children,Three or more adults,,,,,,,,,,,Percentage (%),,6.0
2019/2020,,,,,,,,,with children,,,,,,,,,,,,Percentage (%),,11.0
2019/2020,,,,,,,,,with children,One adult,,,,,,,,,,,Percentage (%),,29.0
2019/2020,,,,,,,,,with children,One adult,one child,,,,,,,,,,Percentage (%),,26.0
2019/2020,,,,,,,,,with children,One adult,two children,,,,,,,,,,Percentage (%),,28.0
2019/2020,,,,,,,,,with children,One adult,three or more children,,,,,,,,,,Percentage (%),,41.0
2019/2020,,,,,,,,,with children,Two adults,,,,,,,,,,,Percentage (%),,7.0
2019/2020,,,,,,,,,with children,Two adults,one child,,,,,,,,,,Percentage (%),,6.0
2019/2020,,,,,,,,,with children,Two adults,two children,,,,,,,,,,Percentage (%),,5.0
2019/2020,,,,,,,,,with children,Two adults,three or more children,,,,,,,,,,Percentage (%),,13.0
2019/2020,,,,,,,,,with children,Three or more adults,,,,,,,,,,,Percentage (%),,8.0
2019/2020,,,,,,,,,with children,Three or more adults,one child,,,,,,,,,,Percentage (%),,6.0
2019/2020,,,,,,,,,with children,Three or more adults,two children,,,,,,,,,,Percentage (%),,7.0
2019/2020,,,,,,,,,with children,Three or more adults,three or more children,,,,,,,,,Missing value; suppressed,Percentage (%),,
2019/2020,Low,16 to 24,,,,,,,,,,,,,,,,,,,Percentage (%),,7.0
2019/2020,Low,25 to 34,,,,,,,,,,,,,,,,,,,Percentage (%),,5.0
2019/2020,Low,35 to 44,,,,,,,,,,,,,,,,,,,Percentage (%),,6.0
2019/2020,Low,45 to 54,,,,,,,,,,,,,,,,,,,Percentage (%),,5.0
2019/2020,Low,55 to 59,,,,,,,,,,,,,,,,,,,Percentage (%),,3.0
2019/2020,Low,60 to 64,,,,,,,,,,,,,,,,,,,Percentage (%),,3.0
2019/2020,Low,65 to 74,,,,,,,,,,,,,,,,,,,Percentage (%),,2.0
2019/2020,Low,75 to 84,,,,,,,,,,,,,,,,,,,Percentage (%),,1.0
2019/2020,Low,85 or over,,,,,,,,,,,,,,,,,,,Percentage (%),,1.0
2019/2020,Very low,16 to 24,,,,,,,,,,,,,,,,,,,Percentage (%),,9.0
2019/2020,Very low,25 to 34,,,,,,,,,,,,,,,,,,,Percentage (%),,5.0
2019/2020,Very low,35 to 44,,,,,,,,,,,,,,,,,,,Percentage (%),,6.0
2019/2020,Very low,45 to 54,,,,,,,,,,,,,,,,,,,Percentage (%),,5.0
2019/2020,Very low,55 to 59,,,,,,,,,,,,,,,,,,,Percentage (%),,4.0
2019/2020,Very low,60 to 64,,,,,,,,,,,,,,,,,,,Percentage (%),,3.0
2019/2020,Very low,65 to 74,,,,,,,,,,,,,,,,,,,Percentage (%),,1.0
2019/2020,Very low,75 to 84,,,,,,,,,,,,,,,,,,Missing value,Percentage (%),,
2019/2020,Very low,85 or over,,,,,,,,,,,,,,,,,,Missing value,Percentage (%),,
2019/2020,,16 to 24,,,,,,,,,,,,,,,,,,,Percentage (%),,15.0
2019/2020,,25 to 34,,,,,,,,,,,,,,,,,,,Percentage (%),,10.0
2019/2020,,35 to 44,,,,,,,,,,,,,,,,,,,Percentage (%),,12.0
2019/2020,,45 to 54,,,,,,,,,,,,,,,,,,,Percentage (%),,10.0
2019/2020,,55 to 59,,,,,,,,,,,,,,,,,,,Percentage (%),,8.0
2019/2020,,60 to 64,,,,,,,,,,,,,,,,,,,Percentage (%),,6.0
2019/2020,,65 to 74,,,,,,,,,,,,,,,,,,,Percentage (%),,3.0
2019/2020,,75 to 84,,,,,,,,,,,,,,,,,,,Percentage (%),,1.0
2019/2020,,85 or over,,,,,,,,,,,,,,,,,,,Percentage (%),,1.0
2019/2020,Low,,,,,,,,,,,One or more adults over State Pension age,,,,,,,,,Percentage (%),,1.0
2019/2020,Low,,,,,,,,,,,,,One or more unemployed adults under State Pension age,,,,,,,Percentage (%),,9.0
2019/2020,Very low,,,,,,,,,,,One or more adults over State Pension age,,,,,,,,,Percentage (%),,1.0
2019/2020,Very low,,,,,,,,,,,,,One or more unemployed adults under State Pension age,,,,,,,Percentage (%),,16.0
2019/2020,,,,,,,,,,,,One or more adults over State Pension age,,,,,,,,,Percentage (%),,2.0
2019/2020,,,,,,,,,,,,,,One or more unemployed adults under State Pension age,,,,,,,Percentage (%),,25.0
2019/2020,Low,,,,,,,,,,,,No disabled adults,,,,,,,,Percentage (%),,3.0
2019/2020,Low,,,,,,,,,,,,One or more disabled adults,,,,,,,,Percentage (%),,5.0
2019/2020,Low,,,,,,,,,,,,One or more disabled adults under State Pension age,,,,,,,,Percentage (%),,8.0
2019/2020,Very low,,,,,,,,,,,,No disabled adults,,,,,,,,Percentage (%),,2.0
2019/2020,Very low,,,,,,,,,,,,One or more disabled adults,,,,,,,,Percentage (%),,7.0
2019/2020,Very low,,,,,,,,,,,,One or more disabled adults under State Pension age,,,,,,,,Percentage (%),,11.0
2019/2020,,,,,,,,,,,,,No disabled adults,,,,,,,,Percentage (%),,5.0
2019/2020,,,,,,,,,,,,,One or more disabled adults,,,,,,,,Percentage (%),,12.0
2019/2020,,,,,,,,,,,,,One or more disabled adults under State Pension age,,,,,,,,Percentage (%),,19.0
2019/2020,Low,,,,,,,Entry level,,,,,,,,,,,,,Percentage (%),,8.0
2019/2020,Low,,,,,,,Level 1,,,,,,,,,,,,,Percentage (%),,5.0
2019/2020,Low,,,,,,,Level 2,,,,,,,,,,,,,Percentage (%),,6.0
2019/2020,Low,,,,,,,Level 3,,,,,,,,,,,,,Percentage (%),,4.0
2019/2020,Low,,,,,,,Level 4 or higher,,,,,,,,,,,,,Percentage (%),,2.0
2019/2020,Low,,,,,,,Other qualification,,,,,,,,,,,,,Percentage (%),,3.0
2019/2020,Low,,,,,,,No reported qualifications,,,,,,,,,,,,,Percentage (%),,5.0
2019/2020,Very low,,,,,,,Entry level,,,,,,,,,,,,,Percentage (%),,5.0
2019/2020,Very low,,,,,,,Level 1,,,,,,,,,,,,,Percentage (%),,6.0
2019/2020,Very low,,,,,,,Level 2,,,,,,,,,,,,,Percentage (%),,6.0
2019/2020,Very low,,,,,,,Level 3,,,,,,,,,,,,,Percentage (%),,4.0
2019/2020,Very low,,,,,,,Level 4 or higher,,,,,,,,,,,,,Percentage (%),,2.0
2019/2020,Very low,,,,,,,Other qualification,,,,,,,,,,,,,Percentage (%),,4.0
2019/2020,Very low,,,,,,,No reported qualifications,,,,,,,,,,,,,Percentage (%),,6.0
2019/2020,,,,,,,,Entry level,,,,,,,,,,,,,Percentage (%),,13.0
2019/2020,,,,,,,,Level 1,,,,,,,,,,,,,Percentage (%),,11.0
2019/2020,,,,,,,,Level 2,,,,,,,,,,,,,Percentage (%),,12.0
2019/2020,,,,,,,,Level 3,,,,,,,,,,,,,Percentage (%),,8.0
2019/2020,,,,,,,,Level 4 or higher,,,,,,,,,,,,,Percentage (%),,4.0
2019/2020,,,,,,,,Other qualification,,,,,,,,,,,,,Percentage (%),,7.0
2019/2020,,,,,,,,No reported qualifications,,,,,,,,,,,,,Percentage (%),,11.0
2019/2020,Low,,,,,White,,,,,,,,,,,,,,,Percentage (%),,3.0
2019/2020,Low,,,,,Mixed/multiple ethnic groups,,,,,,,,,,,,,,,Percentage (%),,4.0
2019/2020,Low,,,,,Asian/Asian British,,,,,,,,,,,,,,,Percentage (%),,5.0
2019/2020,Low,,,,,Asian/Asian British,Indian,,,,,,,,,,,,,,Percentage (%),,4.0
2019/2020,Low,,,,,Asian/Asian British,Pakistani,,,,,,,,,,,,,,Percentage (%),,6.0
2019/2020,Low,,,,,Asian/Asian British,Bangladeshi,,,,,,,,,,,,,Missing value; suppressed,Percentage (%),,
2019/2020,Low,,,,,Asian/Asian British,Chinese,,,,,,,,,,,,,Missing value; suppressed,Percentage (%),,
2019/2020,Low,,,,,Asian/Asian British,Any other Asian background,,,,,,,,,,,,,,Percentage (%),,4.0
2019/2020,Low,,,,,Black/African/Caribbean/Black British,,,,,,,,,,,,,,,Percentage (%),,11.0
2019/2020,Low,,,,,Other ethnic group,,,,,,,,,,,,,,,Percentage (%),,9.0
2019/2020,Very low,,,,,White,,,,,,,,,,,,,,,Percentage (%),,4.0
2019/2020,Very low,,,,,Mixed/multiple ethnic groups,,,,,,,,,,,,,,,Percentage (%),,6.0
2019/2020,Very low,,,,,Asian/Asian British,,,,,,,,,,,,,,,Percentage (%),,3.0
2019/2020,Very low,,,,,Asian/Asian British,Indian,,,,,,,,,,,,,,Percentage (%),,2.0
2019/2020,Very low,,,,,Asian/Asian British,Pakistani,,,,,,,,,,,,,,Percentage (%),,5.0
2019/2020,Very low,,,,,Asian/Asian British,Bangladeshi,,,,,,,,,,,,,Missing value; suppressed,Percentage (%),,
2019/2020,Very low,,,,,Asian/Asian British,Chinese,,,,,,,,,,,,,Missing value; suppressed,Percentage (%),,
2019/2020,Very low,,,,,Asian/Asian British,Any other Asian background,,,,,,,,,,,,,,Percentage (%),,4.0
2019/2020,Very low,,,,,Black/African/Caribbean/Black British,,,,,,,,,,,,,,,Percentage (%),,8.0
2019/2020,Very low,,,,,Other ethnic group,,,,,,,,,,,,,,,Percentage (%),,4.0
2019/2020,,,,,,White,,,,,,,,,,,,,,,Percentage (%),,7.0
2019/2020,,,,,,Mixed/multiple ethnic groups,,,,,,,,,,,,,,,Percentage (%),,10.0
2019/2020,,,,,,Asian/Asian British,,,,,,,,,,,,,,,Percentage (%),,8.0
2019/2020,,,,,,Asian/Asian British,Indian,,,,,,,,,,,,,,Percentage (%),,5.0
2019/2020,,,,,,Asian/Asian British,Pakistani,,,,,,,,,,,,,,Percentage (%),,10.0
2019/2020,,,,,,Asian/Asian British,Bangladeshi,,,,,,,,,,,,,Missing value; suppressed,Percentage (%),,
2019/2020,,,,,,Asian/Asian British,Chinese,,,,,,,,,,,,,Missing value; suppressed,Percentage (%),,
2019/2020,,,,,,Asian/Asian British,Any other Asian background,,,,,,,,,,,,,,Percentage (%),,8.0
2019/2020,,,,,,Black/African/Caribbean/Black British,,,,,,,,,,,,,,,Percentage (%),,19.0
2019/2020,,,,,,Other ethnic group,,,,,,,,,,,,,,,Percentage (%),,14.0
2019/2020,Low,,,,,,,,,,,,,,In receipt of state support (benefit and/or Tax Credits),,,,,,Percentage (%),,5.0
2019/2020,Low,,,,,,,,,,,,,,In receipt of benefit,,,,,,Percentage (%),,5.0
2019/2020,Low,,,,,,,,,,,,,,In receipt of Tax Credits,,,,,,Percentage (%),,11.0
2019/2020,Low,,,,,,,,,,,,,,In receipt of benefit,Income-related benefit,,,,,Percentage (%),,11.0
2019/2020,Low,,,,,,,,,,,,,,In receipt of benefit,Non-income-related benefit,,,,,Percentage (%),,5.0
2019/2020,Low,,,,,,,,,,,,,,In receipt of Tax Credits,Working Tax Credit,,,,,Percentage (%),,9.0
2019/2020,Low,,,,,,,,,,,,,,In receipt of Tax Credits,Child Tax Credit,,,,,Percentage (%),,11.0
2019/2020,Very low,,,,,,,,,,,,,,In receipt of state support (benefit and/or Tax Credits),,,,,,Percentage (%),,5.0
2019/2020,Very low,,,,,,,,,,,,,,In receipt of benefit,,,,,,Percentage (%),,5.0
2019/2020,Very low,,,,,,,,,,,,,,In receipt of Tax Credits,,,,,,Percentage (%),,10.0
2019/2020,Very low,,,,,,,,,,,,,,In receipt of benefit,Income-related benefit,,,,,Percentage (%),,14.0
2019/2020,Very low,,,,,,,,,,,,,,In receipt of benefit,Non-income-related benefit,,,,,Percentage (%),,4.0
2019/2020,Very low,,,,,,,,,,,,,,In receipt of Tax Credits,Working Tax Credit,,,,,Percentage (%),,8.0
2019/2020,Very low,,,,,,,,,,,,,,In receipt of Tax Credits,Child Tax Credit,,,,,Percentage (%),,10.0
2019/2020,,,,,,,,,,,,,,,In receipt of state support (benefit and/or Tax Credits),,,,,,Percentage (%),,10.0
2019/2020,,,,,,,,,,,,,,,In receipt of benefit,,,,,,Percentage (%),,10.0
2019/2020,,,,,,,,,,,,,,,In receipt of Tax Credits,,,,,,Percentage (%),,21.0
2019/2020,,,,,,,,,,,,,,,In receipt of benefit,Income-related benefit,,,,,Percentage (%),,25.0
2019/2020,,,,,,,,,,,,,,,In receipt of benefit,Non-income-related benefit,,,,,Percentage (%),,8.0
2019/2020,,,,,,,,,,,,,,,In receipt of Tax Credits,Working Tax Credit,,,,,Percentage (%),,17.0
2019/2020,,,,,,,,,,,,,,,In receipt of Tax Credits,Child Tax Credit,,,,,Percentage (%),,21.0
2019/2020,Low,,,,,,,,,,,,,,,,Less than £200,,,,Percentage (%),,7.0
2019/2020,Low,,,,,,,,,,,,,,,,£200 but less than £400,,,,Percentage (%),,6.0
2019/2020,Low,,,,,,,,,,,,,,,,£400 but less than £600,,,,Percentage (%),,5.0
2019/2020,Low,,,,,,,,,,,,,,,,£600 but less than £800,,,,Percentage (%),,4.0
2019/2020,Low,,,,,,,,,,,,,,,,"£800 but less than £1,000",,,,Percentage (%),,2.0
2019/2020,Low,,,,,,,,,,,,,,,,"£1,000 or more",,,,Percentage (%),,1.0
2019/2020,Very low,,,,,,,,,,,,,,,,Less than £200,,,,Percentage (%),,12.0
2019/2020,Very low,,,,,,,,,,,,,,,,£200 but less than £400,,,,Percentage (%),,7.0
2019/2020,Very low,,,,,,,,,,,,,,,,£400 but less than £600,,,,Percentage (%),,5.0
2019/2020,Very low,,,,,,,,,,,,,,,,£600 but less than £800,,,,Percentage (%),,3.0
2019/2020,Very low,,,,,,,,,,,,,,,,"£800 but less than £1,000",,,,Percentage (%),,1.0
2019/2020,Very low,,,,,,,,,,,,,,,,"£1,000 or more",,,,Percentage (%),,1.0
2019/2020,,,,,,,,,,,,,,,,,Less than £200,,,,Percentage (%),,19.0
2019/2020,,,,,,,,,,,,,,,,,£200 but less than £400,,,,Percentage (%),,13.0
2019/2020,,,,,,,,,,,,,,,,,£400 but less than £600,,,,Percentage (%),,10.0
2019/2020,,,,,,,,,,,,,,,,,£600 but less than £800,,,,Percentage (%),,7.0
2019/2020,,,,,,,,,,,,,,,,,"£800 but less than £1,000",,,,Percentage (%),,4.0
2019/2020,,,,,,,,,,,,,,,,,"£1,000 or more",,,,Percentage (%),,2.0
2019/2020,Low,,,,,,,,,,,,,,,,,Occupier owned,,,Percentage (%),,1.0
2019/2020,Low,,,,,,,,,,,,,,,,,Occupier owned,Owned outright,,Percentage (%),,1.0
2019/2020,Low,,,,,,,,,,,,,,,,,Occupier owned,Buying with a mortgage,,Percentage (%),,2.0
2019/2020,Low,,,,,,,,,,,,,,,,,Social rented,,,Percentage (%),,11.0
2019/2020,Low,,,,,,,,,,,,,,,,,Private rented,,,Percentage (%),,6.0
2019/2020,Low,,Working age,,,,,,,,,,,,,,,,,,Percentage (%),,5.0
2019/2020,Low,,Working age,,,,,,,,,,,,,,,Occupier owned,,,Percentage (%),,2.0
2019/2020,Low,,Working age,,,,,,,,,,,,,,,Occupier owned,Owned outright,,Percentage (%),,2.0
2019/2020,Low,,Working age,,,,,,,,,,,,,,,Occupier owned,Buying with a mortgage,,Percentage (%),,2.0
2019/2020,Low,,Working age,,,,,,,,,,,,,,,Social rented,,,Percentage (%),,14.0
2019/2020,Low,,Working age,,,,,,,,,,,,,,,Private rented,,,Percentage (%),,6.0
2019/2020,Low,,State Pension age,,,,,,,,,,,,,,,,,,Percentage (%),,1.0
2019/2020,Low,,State Pension age,,,,,,,,,,,,,,,Occupier owned,,,Percentage (%),,1.0
2019/2020,Low,,State Pension age,,,,,,,,,,,,,,,Occupier owned,Owned outright,,Percentage (%),,1.0
2019/2020,Low,,State Pension age,,,,,,,,,,,,,,,Occupier owned,Buying with a mortgage,,Percentage (%),,1.0
2019/2020,Low,,State Pension age,,,,,,,,,,,,,,,Social rented,,,Percentage (%),,4.0
2019/2020,Low,,State Pension age,,,,,,,,,,,,,,,Private rented,,,Percentage (%),,3.0
2019/2020,Very low,,,,,,,,,,,,,,,,,Occupier owned,,,Percentage (%),,1.0
2019/2020,Very low,,,,,,,,,,,,,,,,,Occupier owned,Owned outright,,Percentage (%),,1.0
2019/2020,Very low,,,,,,,,,,,,,,,,,Occupier owned,Buying with a mortgage,,Percentage (%),,1.0
2019/2020,Very low,,,,,,,,,,,,,,,,,Social rented,,,Percentage (%),,13.0
2019/2020,Very low,,,,,,,,,,,,,,,,,Private rented,,,Percentage (%),,6.0
2019/2020,Very low,,Working age,,,,,,,,,,,,,,,,,,Percentage (%),,5.0
2019/2020,Very low,,Working age,,,,,,,,,,,,,,,Occupier owned,,,Percentage (%),,1.0
2019/2020,Very low,,Working age,,,,,,,,,,,,,,,Occupier owned,Owned outright,,Percentage (%),,1.0
2019/2020,Very low,,Working age,,,,,,,,,,,,,,,Occupier owned,Buying with a mortgage,,Percentage (%),,1.0
2019/2020,Very low,,Working age,,,,,,,,,,,,,,,Social rented,,,Percentage (%),,17.0
2019/2020,Very low,,Working age,,,,,,,,,,,,,,,Private rented,,,Percentage (%),,6.0
2019/2020,Very low,,State Pension age,,,,,,,,,,,,,,,,,,Percentage (%),,1.0
2019/2020,Very low,,State Pension age,,,,,,,,,,,,,,,Occupier owned,,Missing value,Percentage (%),,
2019/2020,Very low,,State Pension age,,,,,,,,,,,,,,,Occupier owned,Owned outright,Missing value,Percentage (%),,
2019/2020,Very low,,State Pension age,,,,,,,,,,,,,,,Occupier owned,Buying with a mortgage,,Percentage (%),,2.0
2019/2020,Very low,,State Pension age,,,,,,,,,,,,,,,Social rented,,,Percentage (%),,2.0
2019/2020,Very low,,State Pension age,,,,,,,,,,,,,,,Private rented,,,Percentage (%),,1.0
2019/2020,,,,,,,,,,,,,,,,,,Occupier owned,,,Percentage (%),,2.0
2019/2020,,,,,,,,,,,,,,,,,,Occupier owned,Owned outright,,Percentage (%),,2.0
2019/2020,,,,,,,,,,,,,,,,,,Occupier owned,Buying with a mortgage,,Percentage (%),,3.0
2019/2020,,,,,,,,,,,,,,,,,,Social rented,,,Percentage (%),,24.0
2019/2020,,,,,,,,,,,,,,,,,,Private rented,,,Percentage (%),,12.0
2019/2020,,,Working age,,,,,,,,,,,,,,,,,,Percentage (%),,10.0
2019/2020,,,Working age,,,,,,,,,,,,,,,Occupier owned,,,Percentage (%),,3.0
2019/2020,,,Working age,,,,,,,,,,,,,,,Occupier owned,Owned outright,,Percentage (%),,3.0
2019/2020,,,Working age,,,,,,,,,,,,,,,Occupier owned,Buying with a mortgage,,Percentage (%),,3.0
2019/2020,,,Working age,,,,,,,,,,,,,,,Social rented,,,Percentage (%),,31.0
2019/2020,,,Working age,,,,,,,,,,,,,,,Private rented,,,Percentage (%),,12.0
2019/2020,,,State Pension age,,,,,,,,,,,,,,,,,,Percentage (%),,2.0
2019/2020,,,State Pension age,,,,,,,,,,,,,,,Occupier owned,,,Percentage (%),,1.0
2019/2020,,,State Pension age,,,,,,,,,,,,,,,Occupier owned,Owned outright,,Percentage (%),,1.0
