Year,Units,Age,Sex,Region,Police Force Area,GeoCode,Value
2010/11,"Rate per 100,000 population",45 to 54,,,,,1.1477875405683502
2010/11,"Rate per 100,000 population",55 to 64,Male,,,,1.27570864059242
2010/11,"Rate per 100,000 population",55 to 64,Female,,,,0.5436259853220979
2010/11,"Rate per 100,000 population",55 to 64,,,,,0.904214559386973
2010/11,"Rate per 100,000 population",65 to 74,Male,,,,0.7396771526780659
2010/11,"Rate per 100,000 population",65 to 74,Female,,,,0.602603246022818
2010/11,"Rate per 100,000 population",65 to 74,,,,,0.66840731070496
2010/11,"Rate per 100,000 population",75 and over,Male,,,,0.9781357882623699
2010/11,"Rate per 100,000 population",75 and over,Female,,,,0.770594128072744
2010/11,"Rate per 100,000 population",75 and over,,,,,0.8538330179535691
2011/12,"Rate per 100,000 population",,,,,,0.93642626978334
2011/12,"Rate per 100,000 population",,Male,,,,1.28448665762098
2011/12,"Rate per 100,000 population",,Female,,,,0.595790912436259
2011/12,"Rate per 100,000 population",Under 1,Male,,,,1.36425648021828
2011/12,"Rate per 100,000 population",Under 1,Female,,,,2.57953568357695
2011/12,"Rate per 100,000 population",Under 1,,,,,1.95694716242661
2011/12,"Rate per 100,000 population",1 to 4,Male,,,,0.769930706236438
2011/12,"Rate per 100,000 population",1 to 4,Female,,,,0.5136106831022079
2011/12,"Rate per 100,000 population",1 to 4,,,,,0.64479151740937
2011/12,"Rate per 100,000 population",5 to 15,Male,,,,0.19303954552975502
2011/12,"Rate per 100,000 population",5 to 15,Female,,,,0.20275162925416298
2011/12,"Rate per 100,000 population",5 to 15,,,,,0.197776427875174
2011/12,"Rate per 100,000 population",16 to 24,Male,,,,1.9258118037449599
2011/12,"Rate per 100,000 population",16 to 24,Female,,,,1.00794135613927
2011/12,"Rate per 100,000 population",16 to 24,,,,,1.4738615171749898
2011/12,"Rate per 100,000 population",25 to 34,Male,,,,2.12049725660667
2011/12,"Rate per 100,000 population",25 to 34,Female,,,,0.768293329094473
2011/12,"Rate per 100,000 population",25 to 34,,,,,1.4442250871172402
2011/12,"Rate per 100,000 population",35 to 44,Male,,,,2.24736515809051
2011/12,"Rate per 100,000 population",35 to 44,Female,,,,0.662217920635729
2011/12,"Rate per 100,000 population",35 to 44,,,,,1.4492010157231798
2011/12,"Rate per 100,000 population",45 to 54,Male,,,,1.01750632680216
2011/12,"Rate per 100,000 population",45 to 54,Female,,,,0.6402376562179879
2011/12,"Rate per 100,000 population",45 to 54,,,,,0.8271191697791329
2011/12,"Rate per 100,000 population",55 to 64,Male,,,,1.02189328956739
2011/12,"Rate per 100,000 population",55 to 64,Female,,,,0.27042456656951397
2011/12,"Rate per 100,000 population",55 to 64,,,,,0.640497758257846
2011/12,"Rate per 100,000 population",65 to 74,Male,,,,0.552509668919206
2011/12,"Rate per 100,000 population",65 to 74,Female,,,,0.314700444514377
2011/12,"Rate per 100,000 population",65 to 74,,,,,0.429009193054136
2011/12,"Rate per 100,000 population",75 and over,Male,,,,0.841798080700376
2011/12,"Rate per 100,000 population",75 and over,Female,,,,0.6490035886080779
2011/12,"Rate per 100,000 population",75 and over,,,,,0.727057914707018
2012/13,"Rate per 100,000 population",,,,,,0.961674444915853
2012/13,"Rate per 100,000 population",,Male,,,,1.34681343940237
2012/13,"Rate per 100,000 population",,Female,,,,0.588347925986527
2012/13,"Rate per 100,000 population",Under 1,Male,,,,2.66737796745798
2012/13,"Rate per 100,000 population",Under 1,Female,,,,3.3604032483897996
2012/13,"Rate per 100,000 population",Under 1,,,,,3.00546448087431
2012/13,"Rate per 100,000 population",1 to 4,Male,,,,0.9627286480539119
2012/13,"Rate per 100,000 population",1 to 4,Female,,,,0.5767428447840811
2012/13,"Rate per 100,000 population",1 to 4,,,,,0.7742934572202859
2012/13,"Rate per 100,000 population",5 to 15,Male,,,,0.38438306518038506
2012/13,"Rate per 100,000 population",5 to 15,Female,,,,0.25926139309788504
2012/13,"Rate per 100,000 population",5 to 15,,,,,0.323324336482231
2012/13,"Rate per 100,000 population",16 to 24,Male,,,,2.01153675491791
2012/13,"Rate per 100,000 population",16 to 24,Female,,,,0.583448487640104
2012/13,"Rate per 100,000 population",16 to 24,,,,,1.3108332077745901
2012/13,"Rate per 100,000 population",25 to 34,Male,,,,1.8128316956544501
2012/13,"Rate per 100,000 population",25 to 34,Female,,,,0.7321409894362509
2012/13,"Rate per 100,000 population",25 to 34,,,,,1.27119754671978
2012/13,"Rate per 100,000 population",35 to 44,Male,,,,2.0018965335581003
2012/13,"Rate per 100,000 population",35 to 44,Female,,,,0.6231500233681251
2012/13,"Rate per 100,000 population",35 to 44,,,,,1.3075655744135501
2012/13,"Rate per 100,000 population",45 to 54,Male,,,,1.6933063088488
2012/13,"Rate per 100,000 population",45 to 54,Female,,,,0.553445196347261
2012/13,"Rate per 100,000 population",45 to 54,,,,,1.1177725840869799
2012/13,"Rate per 100,000 population",55 to 64,Male,,,,0.819026618365096
2012/13,"Rate per 100,000 population",55 to 64,Female,,,,0.518941359626362
2012/13,"Rate per 100,000 population",55 to 64,,,,,0.6666253255612049
2012/13,"Rate per 100,000 population",65 to 74,Male,,,,0.8449004224502109
2012/13,"Rate per 100,000 population",65 to 74,Female,,,,0.3735245779172271
2012/13,"Rate per 100,000 population",65 to 74,,,,,0.6004609990896229
2012/13,"Rate per 100,000 population",75 and over,Male,,,,0.600633395216774
2012/13,"Rate per 100,000 population",75 and over,Female,,,,0.7551729346020241
2012/13,"Rate per 100,000 population",75 and over,,,,,0.691995178356176
2013/14,"Rate per 100,000 population",,,,,,0.9148660268258729
2013/14,"Rate per 100,000 population",,Male,,,,1.20859079169328
2013/14,"Rate per 100,000 population",,Female,,,,0.629778857998466
2013/14,"Rate per 100,000 population",Under 1,Male,,,,2.19203305585848
2013/14,"Rate per 100,000 population",Under 1,Female,,,,2.31234590382375
2013/14,"Rate per 100,000 population",Under 1,,,,,2.2505826899245602
2013/14,"Rate per 100,000 population",1 to 4,Male,,,,0.406627210273029
2013/14,"Rate per 100,000 population",1 to 4,Female,,,,0.78212377890925
2013/14,"Rate per 100,000 population",1 to 4,,,,,0.589872240612356
2013/14,"Rate per 100,000 population",5 to 15,Male,,,,0.16339704638052302
2013/14,"Rate per 100,000 population",5 to 15,Female,,,,0.14287922790351298
2013/14,"Rate per 100,000 population",5 to 15,,,,,0.153385011997496
2013/14,"Rate per 100,000 population",16 to 24,Male,,,,2.16710261052742
2013/14,"Rate per 100,000 population",16 to 24,Female,,,,0.742426782798713
2013/14,"Rate per 100,000 population",16 to 24,,,,,1.46943091364518
2013/14,"Rate per 100,000 population",25 to 34,Male,,,,1.71042814348833
2013/14,"Rate per 100,000 population",25 to 34,Female,,,,0.7218336637440992
2013/14,"Rate per 100,000 population",25 to 34,,,,,1.21483237962529
2013/14,"Rate per 100,000 population",35 to 44,Male,,,,1.8171750837503897
2013/14,"Rate per 100,000 population",35 to 44,Female,,,,0.6070164770663891
2013/14,"Rate per 100,000 population",35 to 44,,,,,1.2083234631453301
2013/14,"Rate per 100,000 population",45 to 54,Male,,,,1.4453574990345202
2013/14,"Rate per 100,000 population",45 to 54,Female,,,,0.5955100034514761
2013/14,"Rate per 100,000 population",45 to 54,,,,,1.01582428497257
2013/14,"Rate per 100,000 population",55 to 64,Male,,,,0.9475825747145171
2013/14,"Rate per 100,000 population",55 to 64,Female,,,,0.5507514391441071
2013/14,"Rate per 100,000 population",55 to 64,,,,,0.746011983128317
2013/14,"Rate per 100,000 population",65 to 74,Male,,,,0.46537313618058895
2013/14,"Rate per 100,000 population",65 to 74,Female,,,,0.612725221572253
2013/14,"Rate per 100,000 population",65 to 74,,,,,0.54174560896503
2013/14,"Rate per 100,000 population",75 and over,Male,,,,0.691801408294805
2013/14,"Rate per 100,000 population",75 and over,Female,,,,0.8976690899991809
2013/14,"Rate per 100,000 population",75 and over,,,,,0.8126968730719041
2014/15,"Rate per 100,000 population",,,,,,0.888367806010571
2014/15,"Rate per 100,000 population",,Male,,,,1.1450984256274999
2014/15,"Rate per 100,000 population",,Female,,,,0.635430003898792
2014/15,"Rate per 100,000 population",Under 1,Male,,,,4.47372247262641
2014/15,"Rate per 100,000 population",Under 1,Female,,,,2.64574373326199
2014/15,"Rate per 100,000 population",Under 1,,,,,3.58262170524194
2014/15,"Rate per 100,000 population",1 to 4,Male,,,,0.469428470836756
2014/15,"Rate per 100,000 population",1 to 4,Female,,,,0.42264116919453004
2014/15,"Rate per 100,000 population",1 to 4,,,,,0.44660969988171706
2014/15,"Rate per 100,000 population",5 to 15,Male,,,,0.24248106627007504
2014/15,"Rate per 100,000 population",5 to 15,Female,,,,0.19784434454875197
2014/15,"Rate per 100,000 population",5 to 15,,,,,0.22069680879311201
2014/15,"Rate per 100,000 population",16 to 24,Male,,,,2.02050695708086
2014/15,"Rate per 100,000 population",16 to 24,Female,,,,0.5909845616169829
2014/15,"Rate per 100,000 population",16 to 24,,,,,1.3220948182089198
2014/15,"Rate per 100,000 population",25 to 34,Male,,,,1.3610948749898502
2014/15,"Rate per 100,000 population",25 to 34,Female,,,,0.5632591196772011
2014/15,"Rate per 100,000 population",25 to 34,,,,,0.9615675551208979
2014/15,"Rate per 100,000 population",35 to 44,Male,,,,1.53526627846875
2014/15,"Rate per 100,000 population",35 to 44,Female,,,,0.8788282290279621
2014/15,"Rate per 100,000 population",35 to 44,,,,,1.2051885778654199
2014/15,"Rate per 100,000 population",45 to 54,Male,,,,1.3040677132144398
2014/15,"Rate per 100,000 population",45 to 54,Female,,,,0.8085066661374621
2014/15,"Rate per 100,000 population",45 to 54,,,,,1.05339837469305
2014/15,"Rate per 100,000 population",55 to 64,Male,,,,0.846867531098857
2014/15,"Rate per 100,000 population",55 to 64,Female,,,,0.5770657663630789
2014/15,"Rate per 100,000 population",55 to 64,,,,,0.70979559584177
2014/15,"Rate per 100,000 population",65 to 74,Male,,,,0.792001837444262
2014/15,"Rate per 100,000 population",65 to 74,Female,,,,0.31581030608334804
2014/15,"Rate per 100,000 population",65 to 74,,,,,0.5453235686483301
2014/15,"Rate per 100,000 population",75 and over,Male,,,,0.723632760509086
2014/15,"Rate per 100,000 population",75 and over,Female,,,,1.03075667479369
2014/15,"Rate per 100,000 population",75 and over,,,,,0.9030055896045992
2015/16,"Rate per 100,000 population",,,,,,0.984704039340619
2015/16,"Rate per 100,000 population",,Male,,,,1.37629874185633
2015/16,"Rate per 100,000 population",,Female,,,,0.600056609886082
2015/16,"Rate per 100,000 population",Under 1,Male,,,,1.9586939428788799
2015/16,"Rate per 100,000 population",Under 1,Female,,,,2.35892173687407
2015/16,"Rate per 100,000 population",Under 1,,,,,2.15356652151628
2015/16,"Rate per 100,000 population",1 to 4,Male,,,,0.200926270105184
2015/16,"Rate per 100,000 population",1 to 4,Female,,,,0.42223845494504497
2015/16,"Rate per 100,000 population",1 to 4,,,,,0.308845012307473
2015/16,"Rate per 100,000 population",5 to 15,Male,,,,0.18601576031816103
2015/16,"Rate per 100,000 population",5 to 15,Female,,,,0.19516661513338604
2015/16,"Rate per 100,000 population",5 to 15,,,,,0.190481347726285
2015/16,"Rate per 100,000 population",16 to 24,Male,,,,2.1147511637833
2015/16,"Rate per 100,000 population",16 to 24,Female,,,,0.499828964776115
2015/16,"Rate per 100,000 population",16 to 24,,,,,1.32653011436824
2015/16,"Rate per 100,000 population",25 to 34,Male,,,,1.9312412061821003
2015/16,"Rate per 100,000 population",25 to 34,Female,,,,0.712881229149815
2015/16,"Rate per 100,000 population",25 to 34,,,,,1.32264769650729
2015/16,"Rate per 100,000 population",35 to 44,Male,,,,2.01963516233288
2015/16,"Rate per 100,000 population",35 to 44,Female,,,,0.799065200257725
2015/16,"Rate per 100,000 population",35 to 44,,,,,1.40601229604619
2015/16,"Rate per 100,000 population",45 to 54,Male,,,,1.7423918460044199
2015/16,"Rate per 100,000 population",45 to 54,Female,,,,0.8987890639233349
2015/16,"Rate per 100,000 population",45 to 54,,,,,1.3154471856560601
2015/16,"Rate per 100,000 population",55 to 64,Male,,,,1.05230578768183
2015/16,"Rate per 100,000 population",55 to 64,Female,,,,0.479883868103918
2015/16,"Rate per 100,000 population",55 to 64,,,,,0.7615983817557579
2015/16,"Rate per 100,000 population",65 to 74,Male,,,,0.994779617628821
2015/16,"Rate per 100,000 population",65 to 74,Female,,,,0.308463942107487
2015/16,"Rate per 100,000 population",65 to 74,,,,,0.639221343174501
2015/16,"Rate per 100,000 population",75 and over,Male,,,,1.1660802466006202
2015/16,"Rate per 100,000 population",75 and over,Female,,,,0.695442618114523
2015/16,"Rate per 100,000 population",75 and over,,,,,0.892763577286649
2016/17,"Rate per 100,000 population",,,,,,1.20929305053712
2016/17,"Rate per 100,000 population",,Male,,,,1.8068346067991399
2016/17,"Rate per 100,000 population",,Female,,,,0.6261367978937701
2016/17,"Rate per 100,000 population",Under 1,Male,,,,4.4420136758496
2016/17,"Rate per 100,000 population",Under 1,Female,,,,2.04528255578508
2016/17,"Rate per 100,000 population",Under 1,,,,,3.2742637177413796
2016/17,"Rate per 100,000 population",1 to 4,Male,,,,0.538310552703631
2016/17,"Rate per 100,000 population",1 to 4,Female,,,,0.282939858303718
2016/17,"Rate per 100,000 population",1 to 4,,,,,0.413813223332582
2016/17,"Rate per 100,000 population",5 to 15,Male,,,,0.547912609504248
2016/17,"Rate per 100,000 population",5 to 15,Female,,,,0.273886759875808
2016/17,"Rate per 100,000 population",5 to 15,,,,,0.414224080796678
2016/17,"Rate per 100,000 population",16 to 24,Male,,,,3.8986670457370605
2016/17,"Rate per 100,000 population",16 to 24,Female,,,,0.727150634944772
2016/17,"Rate per 100,000 population",16 to 24,,,,,2.3547503779912997
2016/17,"Rate per 100,000 population",25 to 34,Male,,,,2.7296916575363905
2016/17,"Rate per 100,000 population",25 to 34,Female,,,,0.7338476339993121
2016/17,"Rate per 100,000 population",25 to 34,,,,,1.73696355359583
2016/17,"Rate per 100,000 population",35 to 44,Male,,,,2.29343007830849
2016/17,"Rate per 100,000 population",35 to 44,Female,,,,1.14903950985715
2016/17,"Rate per 100,000 population",35 to 44,,,,,1.71846795896352
2016/17,"Rate per 100,000 population",45 to 54,Male,,,,1.70633820562958
2016/17,"Rate per 100,000 population",45 to 54,Female,,,,0.6992922679977329
2016/17,"Rate per 100,000 population",45 to 54,,,,,1.19646476405165
2016/17,"Rate per 100,000 population",55 to 64,Male,,,,1.5169626766503
2016/17,"Rate per 100,000 population",55 to 64,Female,,,,0.23530761323075802
2016/17,"Rate per 100,000 population",55 to 64,,,,,0.866206233249923
2016/17,"Rate per 100,000 population",65 to 74,Male,,,,0.6476360026610639
2016/17,"Rate per 100,000 population",65 to 74,Female,,,,0.267859444774246
2016/17,"Rate per 100,000 population",65 to 74,,,,,0.45092074547605
2016/17,"Rate per 100,000 population",75 and over,Male,,,,0.7489069702768799
2016/17,"Rate per 100,000 population",75 and over,Female,,,,0.873178467855572
2016/17,"Rate per 100,000 population",75 and over,,,,,0.8207937791408101
2017/18,"Rate per 100,000 population",,,,,,1.235858379822
2017/18,"Rate per 100,000 population",,Male,,,,1.71942955047461
2017/18,"Rate per 100,000 population",,Female,,,,0.763709545178331
2017/18,"Rate per 100,000 population",Under 1,Male,,,,2.55985801320886
2017/18,"Rate per 100,000 population",Under 1,Female,,,,2.69154853759196
2017/18,"Rate per 100,000 population",Under 1,,,,,2.62405206119289
2017/18,"Rate per 100,000 population",1 to 4,Male,,,,0.47578169232829204
2017/18,"Rate per 100,000 population",1 to 4,Female,,,,0.6435885352568521
2017/18,"Rate per 100,000 population",1 to 4,,,,,0.557555009771151
2017/18,"Rate per 100,000 population",5 to 15,Male,,,,0.357641182688736
2017/18,"Rate per 100,000 population",5 to 15,Female,,,,0.50978532939779
2017/18,"Rate per 100,000 population",5 to 15,,,,,0.43184690320622704
2017/18,"Rate per 100,000 population",16 to 24,Male,,,,3.67389644955861
2017/18,"Rate per 100,000 population",16 to 24,Female,,,,0.994607941591488
2017/18,"Rate per 100,000 population",16 to 24,,,,,2.3711794371319197
2017/18,"Rate per 100,000 population",25 to 34,Male,,,,2.4938837501028703
2017/18,"Rate per 100,000 population",25 to 34,Female,,,,1.0078651274886299
2017/18,"Rate per 100,000 population",25 to 34,,,,,1.75469490555668
2017/18,"Rate per 100,000 population",35 to 44,Male,,,,2.4337545531491402
2017/18,"Rate per 100,000 population",35 to 44,Female,,,,0.7753152458524641
2017/18,"Rate per 100,000 population",35 to 44,,,,,1.59980554968512
2017/18,"Rate per 100,000 population",45 to 54,Male,,,,1.7315053583906799
2017/18,"Rate per 100,000 population",45 to 54,Female,,,,0.9163120177455871
2017/18,"Rate per 100,000 population",45 to 54,,,,,1.3187160980069799
2017/18,"Rate per 100,000 population",55 to 64,Male,,,,1.27414127322863
2017/18,"Rate per 100,000 population",55 to 64,Female,,,,0.5169937274299921
2017/18,"Rate per 100,000 population",55 to 64,,,,,0.8896681668999978
2017/18,"Rate per 100,000 population",65 to 74,Male,,,,0.922215388369729
2017/18,"Rate per 100,000 population",65 to 74,Female,,,,0.39571245554417794
2017/18,"Rate per 100,000 population",65 to 74,,,,,0.6493725096350639
2017/18,"Rate per 100,000 population",75 and over,Male,,,,0.9287688094014859
2017/18,"Rate per 100,000 population",75 and over,Female,,,,0.7924335562472941
2017/18,"Rate per 100,000 population",75 and over,,,,,0.850273653316886
2017/18,"Rate per 100,000 population",,,,Cleveland,E23000013,0.529894904177338
2017/18,"Rate per 100,000 population",,,,Durham,E23000008,0.476183673566568
2017/18,"Rate per 100,000 population",,,,Northumbria,E23000007,1.03550540948025
2017/18,"Rate per 100,000 population",,,North East,,E12000001,0.7940328056544208
2017/18,"Rate per 100,000 population",,,,Cheshire,E23000006,0.569189218417824
2017/18,"Rate per 100,000 population",,,,Cumbria,E23000002,0.601956358164033
2017/18,"Rate per 100,000 population",,,,Greater Manchester,E23000005,3.00128733789028
2017/18,"Rate per 100,000 population",,,,Lancashire,E23000003,0.9392840106353779
2017/18,"Rate per 100,000 population",,,,Merseyside,E23000004,2.0468300601697402
2017/18,"Rate per 100,000 population",,,North West,,E12000002,1.87363257541681
2017/18,"Rate per 100,000 population",,,,Humberside,E23000012,1.72070023896224
2017/18,"Rate per 100,000 population",,,,North Yorkshire,E23000009,0.7318893968743441
2017/18,"Rate per 100,000 population",,,,South Yorkshire,E23000011,0.574116667683331
2017/18,"Rate per 100,000 population",,,,West Yorkshire,E23000010,0.996950631438188
2017/18,"Rate per 100,000 population",,,Yorkshire and The Humber,,E12000003,0.9724538680728709
2017/18,"Rate per 100,000 population",,,,Derbyshire,E23000018,0.8579599618684459
2017/18,"Rate per 100,000 population",,,,Leicestershire,E23000021,1.3847525816403898
2017/18,"Rate per 100,000 population",,,,Lincolnshire,E23000020,0.6656274004188121
2017/18,"Rate per 100,000 population",,,,Northamptonshire,E23000022,0.6745735683187869
2017/18,"Rate per 100,000 population",,,,Nottinghamshire,E23000019,1.3076909664708
