Year,Series,Sex,Age,Country,Deprivation level,Household income (£),Region,Socio-economic classification,Urban or rural,Working status,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2015,Percentage of individuals who use a mobile telephone,,,,,17.5K- 29.9K,,,,,Percentage (%),Units,Normal value,,95
2016,Percentage of individuals who use a mobile telephone,,,,,26K+,,,,,Percentage (%),Units,Normal value,,99
2017,Percentage of individuals who use a mobile telephone,,,,,26K+,,,,,Percentage (%),Units,Normal value,,99
2018,Percentage of individuals who use a mobile telephone,,,,,26K+,,,,,Percentage (%),Units,Normal value,,99
2019,Percentage of individuals who use a mobile telephone,,,,,26K+,,,,,Percentage (%),Units,Normal value,,99
2020,Percentage of individuals who use a mobile telephone,,,,,26K+,,,,,Percentage (%),Units,Normal value,,99
2015,Percentage of individuals who use a mobile telephone,,,,,30K+,,,,,Percentage (%),Units,Normal value,,99
2008,Percentage of individuals who use a mobile telephone,Female,,,,,,,,,Percentage (%),Units,Normal value,,86
2008,Percentage of individuals who use a mobile telephone,Male,,,,,,,,,Percentage (%),Units,Normal value,,83
2008,Percentage of individuals who use a mobile telephone,,,England,,,,,,,Percentage (%),Units,Normal value,E92000001,85
2008,Percentage of individuals who use a mobile telephone,,,Northern Ireland,,,,,,,Percentage (%),Units,Normal value,N92000002,85
2008,Percentage of individuals who use a mobile telephone,,,Scotland,,,,,,,Percentage (%),Units,Normal value,S92000003,82
2008,Percentage of individuals who use a mobile telephone,,,Wales,,,,,,,Percentage (%),Units,Normal value,W92000004,81
2008,Percentage of individuals who use a mobile telephone,,,,,,,,Rural,,Percentage (%),Units,Normal value,,84
2008,Percentage of individuals who use a mobile telephone,,,,,,,,Urban,,Percentage (%),Units,Normal value,,84
2008,Percentage of individuals who use a mobile telephone,,,,,,,AB,,,Percentage (%),Units,Normal value,,89
2008,Percentage of individuals who use a mobile telephone,,,,,,,DE,,,Percentage (%),Units,Normal value,,76
2008,Percentage of individuals who use a mobile telephone,,,,,,,C2,,,Percentage (%),Units,Normal value,,87
2008,Percentage of individuals who use a mobile telephone,,,,,,,C1,,,Percentage (%),Units,Normal value,,86
2008,Percentage of individuals who use a mobile telephone,,,,,,,,,,Percentage (%),Units,Normal value,,84
2009,Percentage of individuals who use a mobile telephone,Female,,,,,,,,,Percentage (%),Units,Normal value,,89
2009,Percentage of individuals who use a mobile telephone,Male,,,,,,,,,Percentage (%),Units,Normal value,,89
2009,Percentage of individuals who use a mobile telephone,,,England,,,,,,,Percentage (%),Units,Normal value,E92000001,89
2009,Percentage of individuals who use a mobile telephone,,,Northern Ireland,,,,,,,Percentage (%),Units,Normal value,N92000002,93
2009,Percentage of individuals who use a mobile telephone,,,Scotland,,,,,,,Percentage (%),Units,Normal value,S92000003,85
2009,Percentage of individuals who use a mobile telephone,,,Wales,,,,,,,Percentage (%),Units,Normal value,W92000004,86
2009,Percentage of individuals who use a mobile telephone,,,,,,,,Rural,,Percentage (%),Units,Normal value,,89
2009,Percentage of individuals who use a mobile telephone,,,,,,,,Urban,,Percentage (%),Units,Normal value,,89
2009,Percentage of individuals who use a mobile telephone,,,,,,,AB,,,Percentage (%),Units,Normal value,,91
2009,Percentage of individuals who use a mobile telephone,,,,,,,DE,,,Percentage (%),Units,Normal value,,81
2009,Percentage of individuals who use a mobile telephone,,,,,,,C2,,,Percentage (%),Units,Normal value,,90
2009,Percentage of individuals who use a mobile telephone,,,,,,,C1,,,Percentage (%),Units,Normal value,,93
2009,Percentage of individuals who use a mobile telephone,,,,,,,,,,Percentage (%),Units,Normal value,,89
2010,Percentage of individuals who use a mobile telephone,Female,,,,,,,,,Percentage (%),Units,Normal value,,89
2010,Percentage of individuals who use a mobile telephone,Male,,,,,,,,,Percentage (%),Units,Normal value,,89
2010,Percentage of individuals who use a mobile telephone,,,England,,,,,,,Percentage (%),Units,Normal value,E92000001,90
2010,Percentage of individuals who use a mobile telephone,,,Northern Ireland,,,,,,,Percentage (%),Units,Normal value,N92000002,88
2010,Percentage of individuals who use a mobile telephone,,,Scotland,,,,,,,Percentage (%),Units,Normal value,S92000003,85
2010,Percentage of individuals who use a mobile telephone,,,Wales,,,,,,,Percentage (%),Units,Normal value,W92000004,89
2010,Percentage of individuals who use a mobile telephone,,,,,,,,Rural,,Percentage (%),Units,Normal value,,90
2010,Percentage of individuals who use a mobile telephone,,,,,,,,Urban,,Percentage (%),Units,Normal value,,89
2010,Percentage of individuals who use a mobile telephone,,,,,,,AB,,,Percentage (%),Units,Normal value,,94
2010,Percentage of individuals who use a mobile telephone,,,,,,,DE,,,Percentage (%),Units,Normal value,,83
2010,Percentage of individuals who use a mobile telephone,,,,,,,C2,,,Percentage (%),Units,Normal value,,88
2010,Percentage of individuals who use a mobile telephone,,,,,,,C1,,,Percentage (%),Units,Normal value,,92
2010,Percentage of individuals who use a mobile telephone,,,,,,,,,,Percentage (%),Units,Normal value,,89
2011,Percentage of individuals who use a mobile telephone,Female,,,,,,,,,Percentage (%),Units,Normal value,,91
2011,Percentage of individuals who use a mobile telephone,Male,,,,,,,,,Percentage (%),Units,Normal value,,91
2011,Percentage of individuals who use a mobile telephone,,,England,,,,,,,Percentage (%),Units,Normal value,E92000001,92
2011,Percentage of individuals who use a mobile telephone,,,Northern Ireland,,,,,,,Percentage (%),Units,Normal value,N92000002,92
2011,Percentage of individuals who use a mobile telephone,,,Scotland,,,,,,,Percentage (%),Units,Normal value,S92000003,86
2011,Percentage of individuals who use a mobile telephone,,,Wales,,,,,,,Percentage (%),Units,Normal value,W92000004,87
2011,Percentage of individuals who use a mobile telephone,,,,,,,,Rural,,Percentage (%),Units,Normal value,,92
2011,Percentage of individuals who use a mobile telephone,,,,,,,,Urban,,Percentage (%),Units,Normal value,,91
2011,Percentage of individuals who use a mobile telephone,,,,,,,AB,,,Percentage (%),Units,Normal value,,94
2011,Percentage of individuals who use a mobile telephone,,,,,,,DE,,,Percentage (%),Units,Normal value,,84
2011,Percentage of individuals who use a mobile telephone,,,,,,,C2,,,Percentage (%),Units,Normal value,,93
2011,Percentage of individuals who use a mobile telephone,,,,,,,C1,,,Percentage (%),Units,Normal value,,94
2011,Percentage of individuals who use a mobile telephone,,,,,,,,,,Percentage (%),Units,Normal value,,91
2012,Percentage of individuals who use a mobile telephone,Female,,,,,,,,,Percentage (%),Units,Normal value,,92
2012,Percentage of individuals who use a mobile telephone,Male,,,,,,,,,Percentage (%),Units,Normal value,,92
2012,Percentage of individuals who use a mobile telephone,,,England,,,,,,,Percentage (%),Units,Normal value,E92000001,93
2012,Percentage of individuals who use a mobile telephone,,,Northern Ireland,,,,,,,Percentage (%),Units,Normal value,N92000002,93
2012,Percentage of individuals who use a mobile telephone,,,Scotland,,,,,,,Percentage (%),Units,Normal value,S92000003,85
2012,Percentage of individuals who use a mobile telephone,,,Wales,,,,,,,Percentage (%),Units,Normal value,W92000004,92
2012,Percentage of individuals who use a mobile telephone,,,,,,,,Rural,,Percentage (%),Units,Normal value,,92
2012,Percentage of individuals who use a mobile telephone,,,,,,,,Urban,,Percentage (%),Units,Normal value,,92
2012,Percentage of individuals who use a mobile telephone,,,,,,,AB,,,Percentage (%),Units,Normal value,,95
2012,Percentage of individuals who use a mobile telephone,,,,,,,DE,,,Percentage (%),Units,Normal value,,85
2012,Percentage of individuals who use a mobile telephone,,,,,,,C2,,,Percentage (%),Units,Normal value,,93
2012,Percentage of individuals who use a mobile telephone,,,,,,,C1,,,Percentage (%),Units,Normal value,,94
2012,Percentage of individuals who use a mobile telephone,,,,,,,,,,Percentage (%),Units,Normal value,,92
2013,Percentage of individuals who use a mobile telephone,Female,,,,,,,,,Percentage (%),Units,Normal value,,91
2013,Percentage of individuals who use a mobile telephone,Male,,,,,,,,,Percentage (%),Units,Normal value,,92
2013,Percentage of individuals who use a mobile telephone,,,England,,,,,,,Percentage (%),Units,Normal value,E92000001,92
2013,Percentage of individuals who use a mobile telephone,,,Northern Ireland,,,,,,,Percentage (%),Units,Normal value,N92000002,94
2013,Percentage of individuals who use a mobile telephone,,,Scotland,,,,,,,Percentage (%),Units,Normal value,S92000003,92
2013,Percentage of individuals who use a mobile telephone,,,Wales,,,,,,,Percentage (%),Units,Normal value,W92000004,92
2013,Percentage of individuals who use a mobile telephone,,,,,,,,Rural,,Percentage (%),Units,Normal value,,93
2013,Percentage of individuals who use a mobile telephone,,,,,,,,Urban,,Percentage (%),Units,Normal value,,92
2013,Percentage of individuals who use a mobile telephone,,,,,,,AB,,,Percentage (%),Units,Normal value,,94
2013,Percentage of individuals who use a mobile telephone,,,,,,,DE,,,Percentage (%),Units,Normal value,,88
2013,Percentage of individuals who use a mobile telephone,,,,,,,C2,,,Percentage (%),Units,Normal value,,92
2013,Percentage of individuals who use a mobile telephone,,,,,,,C1,,,Percentage (%),Units,Normal value,,94
2013,Percentage of individuals who use a mobile telephone,,,,,,,,,,Percentage (%),Units,Normal value,,92
2014,Percentage of individuals who use a mobile telephone,Female,,,,,,,,,Percentage (%),Units,Normal value,,93
2014,Percentage of individuals who use a mobile telephone,Male,,,,,,,,,Percentage (%),Units,Normal value,,93
2014,Percentage of individuals who use a mobile telephone,,,England,,,,,,,Percentage (%),Units,Normal value,E92000001,94
2014,Percentage of individuals who use a mobile telephone,,,Northern Ireland,,,,,,,Percentage (%),Units,Normal value,N92000002,94
2014,Percentage of individuals who use a mobile telephone,,,Scotland,,,,,,,Percentage (%),Units,Normal value,S92000003,90
2014,Percentage of individuals who use a mobile telephone,,,Wales,,,,,,,Percentage (%),Units,Normal value,W92000004,92
2014,Percentage of individuals who use a mobile telephone,,,,,,,,Rural,,Percentage (%),Units,Normal value,,93
2014,Percentage of individuals who use a mobile telephone,,,,,,,,Urban,,Percentage (%),Units,Normal value,,93
2014,Percentage of individuals who use a mobile telephone,,,,,,,AB,,,Percentage (%),Units,Normal value,,96
2014,Percentage of individuals who use a mobile telephone,,,,,,,DE,,,Percentage (%),Units,Normal value,,88
2014,Percentage of individuals who use a mobile telephone,,,,,,,C2,,,Percentage (%),Units,Normal value,,93
2014,Percentage of individuals who use a mobile telephone,,,,,,,C1,,,Percentage (%),Units,Normal value,,96
2014,Percentage of individuals who use a mobile telephone,,,,,,,,,,Percentage (%),Units,Normal value,,93
2015,Percentage of individuals who use a mobile telephone,Female,,,,,,,,,Percentage (%),Units,Normal value,,93
2015,Percentage of individuals who use a mobile telephone,Male,,,,,,,,,Percentage (%),Units,Normal value,,92
2015,Percentage of individuals who use a mobile telephone,,,England,,,,,,,Percentage (%),Units,Normal value,E92000001,93
2015,Percentage of individuals who use a mobile telephone,,,Northern Ireland,,,,,,,Percentage (%),Units,Normal value,N92000002,91
2015,Percentage of individuals who use a mobile telephone,,,Scotland,,,,,,,Percentage (%),Units,Normal value,S92000003,91
2015,Percentage of individuals who use a mobile telephone,,,Wales,,,,,,,Percentage (%),Units,Normal value,W92000004,90
2015,Percentage of individuals who use a mobile telephone,,,,,,,,Rural,,Percentage (%),Units,Normal value,,93
2015,Percentage of individuals who use a mobile telephone,,,,,,,,Urban,,Percentage (%),Units,Normal value,,92
2015,Percentage of individuals who use a mobile telephone,,,,,,,AB,,,Percentage (%),Units,Normal value,,96
2015,Percentage of individuals who use a mobile telephone,,,,,,,DE,,,Percentage (%),Units,Normal value,,87
2015,Percentage of individuals who use a mobile telephone,,,,,,,C2,,,Percentage (%),Units,Normal value,,91
2015,Percentage of individuals who use a mobile telephone,,,,,,,C1,,,Percentage (%),Units,Normal value,,95
2015,Percentage of individuals who use a mobile telephone,,,,,,,,,,Percentage (%),Units,Normal value,,93
2015,Percentage of individuals who use a mobile telephone,,,,,,London,,,,Percentage (%),Units,Missing value,E12000007,95
2015,Percentage of individuals who use a mobile telephone,,,,,,South East,,,,Percentage (%),Units,Missing value,E12000008,94
2015,Percentage of individuals who use a mobile telephone,,,,,,South West,,,,Percentage (%),Units,Missing value,E12000009,96
2015,Percentage of individuals who use a mobile telephone,,,,,,East Midlands,,,,Percentage (%),Units,Missing value,E12000004,93
2015,Percentage of individuals who use a mobile telephone,,,,,,West Midlands,,,,Percentage (%),Units,Missing value,E12000005,93
2015,Percentage of individuals who use a mobile telephone,,,,,,East of England,,,,Percentage (%),Units,Missing value,E12000006,93
2015,Percentage of individuals who use a mobile telephone,,,,,,Yorkshire and the Humber,,,,Percentage (%),Units,Missing value,,89
2015,Percentage of individuals who use a mobile telephone,,,,,,North East,,,,Percentage (%),Units,Missing value,E12000001,94
2015,Percentage of individuals who use a mobile telephone,,,,,,North West,,,,Percentage (%),Units,Missing value,E12000002,90
2015,Percentage of individuals who use a mobile telephone,,,,,,,,,Working,Percentage (%),Units,Normal value,,98
2015,Percentage of individuals who use a mobile telephone,,,,,,,,,Not-working,Percentage (%),Units,Normal value,,85
2015,Percentage of individuals who use a mobile telephone,,,,Low,,,,,,Percentage (%),Units,Normal value,,93
2015,Percentage of individuals who use a mobile telephone,,,,Medium/high,,,,,,Percentage (%),Units,Normal value,,92
2016,Percentage of individuals who use a mobile telephone,Female,,,,,,,,,Percentage (%),Units,Normal value,,94
2016,Percentage of individuals who use a mobile telephone,Male,,,,,,,,,Percentage (%),Units,Normal value,,93
2016,Percentage of individuals who use a mobile telephone,,,England,,,,,,,Percentage (%),Units,Normal value,E92000001,94
2016,Percentage of individuals who use a mobile telephone,,,Northern Ireland,,,,,,,Percentage (%),Units,Normal value,N92000002,92
2016,Percentage of individuals who use a mobile telephone,,,Scotland,,,,,,,Percentage (%),Units,Normal value,S92000003,91
2016,Percentage of individuals who use a mobile telephone,,,Wales,,,,,,,Percentage (%),Units,Normal value,W92000004,91
2016,Percentage of individuals who use a mobile telephone,,,,,,,,Rural,,Percentage (%),Units,Normal value,,94
2016,Percentage of individuals who use a mobile telephone,,,,,,,,Urban,,Percentage (%),Units,Normal value,,93
2016,Percentage of individuals who use a mobile telephone,,,,,,,AB,,,Percentage (%),Units,Normal value,,94
2016,Percentage of individuals who use a mobile telephone,,,,,,,DE,,,Percentage (%),Units,Normal value,,89
2016,Percentage of individuals who use a mobile telephone,,,,,,,C2,,,Percentage (%),Units,Normal value,,95
2016,Percentage of individuals who use a mobile telephone,,,,,,,C1,,,Percentage (%),Units,Normal value,,95
2016,Percentage of individuals who use a mobile telephone,,,,,,,,,,Percentage (%),Units,Normal value,,93
2016,Percentage of individuals who use a mobile telephone,,,,,,London,,,,Percentage (%),Units,Normal value,E12000007,94
2016,Percentage of individuals who use a mobile telephone,,,,,,South East,,,,Percentage (%),Units,Normal value,E12000008,94
2016,Percentage of individuals who use a mobile telephone,,,,,,South West,,,,Percentage (%),Units,Normal value,E12000009,93
2016,Percentage of individuals who use a mobile telephone,,,,,,East Midlands,,,,Percentage (%),Units,Normal value,E12000004,90
2016,Percentage of individuals who use a mobile telephone,,,,,,West Midlands,,,,Percentage (%),Units,Normal value,E12000005,94
2016,Percentage of individuals who use a mobile telephone,,,,,,East of England,,,,Percentage (%),Units,Normal value,E12000006,96
2016,Percentage of individuals who use a mobile telephone,,,,,,Yorkshire and the Humber,,,,Percentage (%),Units,Normal value,,94
2016,Percentage of individuals who use a mobile telephone,,,,,,North East,,,,Percentage (%),Units,Normal value,E12000001,91
2016,Percentage of individuals who use a mobile telephone,,,,,,North West,,,,Percentage (%),Units,Normal value,E12000002,95
2016,Percentage of individuals who use a mobile telephone,,,,,,,,,Working,Percentage (%),Units,Normal value,,98
2016,Percentage of individuals who use a mobile telephone,,,,,,,,,Not-working,Percentage (%),Units,Normal value,,87
2016,Percentage of individuals who use a mobile telephone,,,,Low,,,,,,Percentage (%),Units,Normal value,,93
2016,Percentage of individuals who use a mobile telephone,,,,Medium/high,,,,,,Percentage (%),Units,Normal value,,94
2017,Percentage of individuals who use a mobile telephone,Female,,,,,,,,,Percentage (%),Units,Normal value,,95
2017,Percentage of individuals who use a mobile telephone,Male,,,,,,,,,Percentage (%),Units,Normal value,,94
2017,Percentage of individuals who use a mobile telephone,,,England,,,,,,,Percentage (%),Units,Normal value,E92000001,95
2017,Percentage of individuals who use a mobile telephone,,,Northern Ireland,,,,,,,Percentage (%),Units,Normal value,N92000002,94
2017,Percentage of individuals who use a mobile telephone,,,Scotland,,,,,,,Percentage (%),Units,Normal value,S92000003,90
2017,Percentage of individuals who use a mobile telephone,,,Wales,,,,,,,Percentage (%),Units,Normal value,W92000004,94
2017,Percentage of individuals who use a mobile telephone,,,,,,,,Rural,,Percentage (%),Units,Normal value,,94
2017,Percentage of individuals who use a mobile telephone,,,,,,,,Urban,,Percentage (%),Units,Normal value,,94
2017,Percentage of individuals who use a mobile telephone,,,,,,,AB,,,Percentage (%),Units,Normal value,,97
2017,Percentage of individuals who use a mobile telephone,,,,,,,DE,,,Percentage (%),Units,Normal value,,97
2017,Percentage of individuals who use a mobile telephone,,,,,,,C2,,,Percentage (%),Units,Normal value,,90
2017,Percentage of individuals who use a mobile telephone,,,,,,,C1,,,Percentage (%),Units,Normal value,,92
2017,Percentage of individuals who use a mobile telephone,,,,,,,,,,Percentage (%),Units,Normal value,,97
2017,Percentage of individuals who use a mobile telephone,,,,,,London,,,,Percentage (%),Units,Normal value,E12000007,98
2017,Percentage of individuals who use a mobile telephone,,,,,,South East,,,,Percentage (%),Units,Normal value,E12000008,94
2017,Percentage of individuals who use a mobile telephone,,,,,,South West,,,,Percentage (%),Units,Normal value,E12000009,89
2017,Percentage of individuals who use a mobile telephone,,,,,,East Midlands,,,,Percentage (%),Units,Normal value,E12000004,95
2017,Percentage of individuals who use a mobile telephone,,,,,,West Midlands,,,,Percentage (%),Units,Normal value,E12000005,94
2017,Percentage of individuals who use a mobile telephone,,,,,,East of England,,,,Percentage (%),Units,Normal value,E12000006,97
2017,Percentage of individuals who use a mobile telephone,,,,,,Yorkshire and the Humber,,,,Percentage (%),Units,Normal value,,95
2017,Percentage of individuals who use a mobile telephone,,,,,,North East,,,,Percentage (%),Units,Normal value,E12000001,92
2017,Percentage of individuals who use a mobile telephone,,,,,,North West,,,,Percentage (%),Units,Normal value,E12000002,94
2017,Percentage of individuals who use a mobile telephone,,,,,,,,,Working,Percentage (%),Units,Normal value,,99
2017,Percentage of individuals who use a mobile telephone,,,,,,,,,Not-working,Percentage (%),Units,Normal value,,87
2017,Percentage of individuals who use a mobile telephone,,,,Low,,,,,,Percentage (%),Units,Normal value,,94
2017,Percentage of individuals who use a mobile telephone,,,,Medium/high,,,,,,Percentage (%),Units,Normal value,,94
2018,Percentage of individuals who use a mobile telephone,Female,,,,,,,,,Percentage (%),Units,Normal value,,94
2018,Percentage of individuals who use a mobile telephone,Male,,,,,,,,,Percentage (%),Units,Normal value,,95
2018,Percentage of individuals who use a mobile telephone,,,England,,,,,,,Percentage (%),Units,Normal value,E92000001,95
2018,Percentage of individuals who use a mobile telephone,,,Northern Ireland,,,,,,,Percentage (%),Units,Normal value,N92000002,94
2018,Percentage of individuals who use a mobile telephone,,,Scotland,,,,,,,Percentage (%),Units,Normal value,S92000003,94
2018,Percentage of individuals who use a mobile telephone,,,Wales,,,,,,,Percentage (%),Units,Normal value,W92000004,93
2018,Percentage of individuals who use a mobile telephone,,,,,,,,Rural,,Percentage (%),Units,Normal value,,95
2018,Percentage of individuals who use a mobile telephone,,,,,,,,Urban,,Percentage (%),Units,Normal value,,94
2018,Percentage of individuals who use a mobile telephone,,,,,,,AB,,,Percentage (%),Units,Normal value,,98
2018,Percentage of individuals who use a mobile telephone,,,,,,,DE,,,Percentage (%),Units,Normal value,,88
