Year,Use a smartphone,Sex,Age,Country,Environment,Socio-economic classification,GeoCode,Value
2014,,,,England,,,E92000001,94.0
2014,,,,Northern Ireland,,,N92000002,94.0
2014,,,,Scotland,,,S92000003,90.0
2014,,,,Wales,,,W92000004,92.0
2014,,,,,Rural,,,93.0
2014,,,,,Urban,,,93.0
2014,,,,,,"Higher and intermediate managerial, administrative, professional occupations",,96.0
2014,,,,,,"Semi-skilled and unskilled manual occupations, unemployed and lowest grade occupations",,88.0
2014,,,,,,Skilled manual occupations,,93.0
2014,,,,,,"Supervisory, clerical and junior managerial, administrative, professional occupations",,96.0
2014,,,,,,,,93.0
2015,Yes,Female,,,,,,65.0
2015,Yes,Male,,,,,,67.0
2015,Yes,,16 to 24,,,,,90.0
2015,Yes,,25 to 34,,,,,87.0
2015,Yes,,35 to 54,,,,,80.0
2015,Yes,,55 to 64,,,,,50.0
2015,Yes,,65 and over,,,,,20.0
2015,Yes,,,England,,,E92000001,67.0
2015,Yes,,,Northern Ireland,,,N92000002,63.0
2015,Yes,,,Scotland,,,S92000003,63.0
2015,Yes,,,Wales,,,W92000004,63.0
2015,Yes,,,,Rural,,,59.0
2015,Yes,,,,Urban,,,67.0
2015,Yes,,,,,"Higher and intermediate managerial, administrative, professional occupations",,72.0
2015,Yes,,,,,"Semi-skilled and unskilled manual occupations, unemployed and lowest grade occupations",,56.0
2015,Yes,,,,,Skilled manual occupations,,63.0
2015,Yes,,,,,"Supervisory, clerical and junior managerial, administrative, professional occupations",,71.0
2015,Yes,,,,,,,66.0
2015,,Female,,,,,,93.0
2015,,Male,,,,,,92.0
2015,,,16 to 24,,,,,98.0
2015,,,25 to 34,,,,,98.0
2015,,,35 to 54,,,,,98.0
2015,,,55 to 64,,,,,92.0
2015,,,65 and over,,,,,75.0
2015,,,,England,,,E92000001,93.0
2015,,,,Northern Ireland,,,N92000002,91.0
2015,,,,Scotland,,,S92000003,91.0
2015,,,,Wales,,,W92000004,90.0
2015,,,,,Rural,,,93.0
2015,,,,,Urban,,,92.0
2015,,,,,,"Higher and intermediate managerial, administrative, professional occupations",,96.0
2015,,,,,,"Semi-skilled and unskilled manual occupations, unemployed and lowest grade occupations",,87.0
2015,,,,,,Skilled manual occupations,,91.0
2015,,,,,,"Supervisory, clerical and junior managerial, administrative, professional occupations",,95.0
2015,,,,,,,,93.0
2016,Yes,Female,,,,,,72.0
2016,Yes,Male,,,,,,69.0
2016,Yes,,16 to 24,,,,,90.0
2016,Yes,,25 to 34,,,,,91.0
2016,Yes,,35 to 54,,,,,83.0
2016,Yes,,55 to 64,,,,,60.0
2016,Yes,,65 and over,,,,,28.0
2016,Yes,,,England,,,E92000001,71.0
2016,Yes,,,Northern Ireland,,,N92000002,72.0
2016,Yes,,,Scotland,,,S92000003,70.0
2016,Yes,,,Wales,,,W92000004,65.0
2016,Yes,,,,Rural,,,68.0
2016,Yes,,,,Urban,,,71.0
2016,Yes,,,,,"Higher and intermediate managerial, administrative, professional occupations",,76.0
2016,Yes,,,,,"Semi-skilled and unskilled manual occupations, unemployed and lowest grade occupations",,62.0
2016,Yes,,,,,Skilled manual occupations,,71.0
2016,Yes,,,,,"Supervisory, clerical and junior managerial, administrative, professional occupations",,74.0
2016,Yes,,,,,,,71.0
2016,,Female,,,,,,94.0
2016,,Male,,,,,,93.0
2016,,,16 to 24,,,,,99.0
2016,,,25 to 34,,,,,97.0
2016,,,35 to 54,,,,,98.0
2016,,,55 to 64,,,,,95.0
2016,,,65 and over,,,,,77.0
2016,,,,England,,,E92000001,94.0
2016,,,,Northern Ireland,,,N92000002,92.0
2016,,,,Scotland,,,S92000003,91.0
2016,,,,Wales,,,W92000004,91.0
2016,,,,,Rural,,,94.0
2016,,,,,Urban,,,93.0
2016,,,,,,"Higher and intermediate managerial, administrative, professional occupations",,94.0
2016,,,,,,"Semi-skilled and unskilled manual occupations, unemployed and lowest grade occupations",,89.0
2016,,,,,,Skilled manual occupations,,95.0
2016,,,,,,"Supervisory, clerical and junior managerial, administrative, professional occupations",,95.0
2016,,,,,,,,93.0
2017,Yes,Female,,,,,,76.0
2017,Yes,Male,,,,,,76.0
2017,Yes,,16 to 24,,,,,96.0
2017,Yes,,25 to 34,,,,,96.0
2017,Yes,,35 to 54,,,,,88.0
2017,Yes,,55 to 64,,,,,65.0
2017,Yes,,65 and over,,,,,33.0
2017,Yes,,,England,,,E92000001,77.0
2017,Yes,,,Northern Ireland,,,N92000002,76.0
2017,Yes,,,Scotland,,,S92000003,70.0
2017,Yes,,,Wales,,,W92000004,74.0
2017,Yes,,,,Rural,,,75.0
2017,Yes,,,,Urban,,,76.0
2017,Yes,,,,,"Higher and intermediate managerial, administrative, professional occupations",,86.0
2017,Yes,,,,,"Semi-skilled and unskilled manual occupations, unemployed and lowest grade occupations",,65.0
2017,Yes,,,,,Skilled manual occupations,,72.0
2017,Yes,,,,,"Supervisory, clerical and junior managerial, administrative, professional occupations",,82.0
2017,Yes,,,,,,,76.0
2017,,Female,,,,,,95.0
2017,,Male,,,,,,94.0
2017,,,16 to 24,,,,,100.0
2017,,,25 to 34,,,,,100.0
2017,,,35 to 54,,,,,98.0
2017,,,55 to 64,,,,,93.0
2017,,,65 and over,,,,,79.0
2017,,,,England,,,E92000001,95.0
2017,,,,Northern Ireland,,,N92000002,94.0
2017,,,,Scotland,,,S92000003,90.0
2017,,,,Wales,,,W92000004,94.0
2017,,,,,Rural,,,94.0
2017,,,,,Urban,,,94.0
2017,,,,,,"Higher and intermediate managerial, administrative, professional occupations",,97.0
2017,,,,,,"Semi-skilled and unskilled manual occupations, unemployed and lowest grade occupations",,90.0
2017,,,,,,Skilled manual occupations,,92.0
2017,,,,,,"Supervisory, clerical and junior managerial, administrative, professional occupations",,97.0
2017,,,,,,,,94.0
2018,Yes,Female,,,,,,78.0
2018,Yes,Male,,,,,,79.0
2018,Yes,,16 to 24,,,,,95.0
2018,Yes,,25 to 34,,,,,95.0
2018,Yes,,35 to 54,,,,,91.0
2018,Yes,,55 to 64,,,,,71.0
2018,Yes,,65 and over,,,,,35.0
2018,Yes,,,England,,,E92000001,79.0
2018,Yes,,,Northern Ireland,,,N92000002,80.0
2018,Yes,,,Scotland,,,S92000003,77.0
2018,Yes,,,Wales,,,W92000004,73.0
2018,Yes,,,,Rural,,,76.0
2018,Yes,,,,Urban,,,79.0
2018,Yes,,,,,"Higher and intermediate managerial, administrative, professional occupations",,89.0
2018,Yes,,,,,"Semi-skilled and unskilled manual occupations, unemployed and lowest grade occupations",,63.0
2018,Yes,,,,,Skilled manual occupations,,78.0
2018,Yes,,,,,"Supervisory, clerical and junior managerial, administrative, professional occupations",,83.0
2018,Yes,,,,,,,78.0
2018,,Female,,,,,,94.0
2018,,Male,,,,,,95.0
2018,,,16 to 24,,,,,99.0
2018,,,25 to 34,,,,,98.0
2018,,,35 to 54,,,,,98.0
2018,,,55 to 64,,,,,96.0
2018,,,65 and over,,,,,79.0
2018,,,,England,,,E92000001,95.0
2018,,,,Northern Ireland,,,N92000002,94.0
2018,,,,Scotland,,,S92000003,94.0
2018,,,,Wales,,,W92000004,93.0
2018,,,,,Rural,,,95.0
2018,,,,,Urban,,,94.0
2018,,,,,,"Higher and intermediate managerial, administrative, professional occupations",,98.0
2018,,,,,,"Semi-skilled and unskilled manual occupations, unemployed and lowest grade occupations",,88.0
2018,,,,,,Skilled manual occupations,,95.0
2018,,,,,,"Supervisory, clerical and junior managerial, administrative, professional occupations",,97.0
2018,,,,,,,,94.0
