Year,Series,Seasonally adjusted or not,Age,Sex,Units,Unit multiplier,Observation status,Value
2008 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.235472903
2009 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.676555009
2009 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.697032242
2009 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,5.255805803
2009 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,5.429822087
2010 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,5.067566976
2010 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.587899213
2010 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.962768618
2010 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,5.128213896
2011 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.609147295
2011 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.27642535
2011 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,5.251295863
2011 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,5.081732006
2012 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,5.552252532
2012 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.729401368
2012 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.632210868
2012 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.712768856
2013 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.575168436
2013 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.503609116
2013 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.859328892
2013 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.610182976
2014 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.450438377
2014 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.321528463
2014 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.750156367
2014 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.667405106
2015 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.163009164
2015 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,2.837621935
2015 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.074305186
2015 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,2.513297892
2016 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.396324079
2016 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.204161391
2016 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.75700967
2016 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.755854612
2017 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.270822536
2017 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.984469794
2017 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.931456956
2017 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.231711632
2018 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.609179802
2018 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.085535407
2018 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.03998215
2018 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.963587858
2019 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,2.817711316
2019 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.295190933
2019 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.433759808
2019 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.28229688
2020 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.307593947
2020 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.324970207
2020 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,2.787288353
2020 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.179267676
2021 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.355564404
2021 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.793201772
2001 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,7.505284403
2002 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.99112958
2002 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.762797119
2002 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,9.679929921
2002 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.743770456
2003 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.408053815
2003 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.906188229
2003 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,9.454581942
2003 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,5.477759152
2004 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.108702602
2004 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.236966434
2004 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,10.20526834
2004 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,7.226030729
2005 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,7.620329171
2005 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.237713903
2005 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,8.572643389
2005 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.168789641
2006 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,5.888066648
2006 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.257406948
2006 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,9.87860776
2006 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.08998857
2007 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,5.985284164
2007 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,5.90961659
2007 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,9.897349248
2007 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,5.68036761
2008 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,5.273305903
2008 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,5.919826304
2008 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,8.952623959
2008 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,5.693323723
2009 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,5.770065572
2009 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.257819117
2009 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,7.267640077
2009 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.895114785
2010 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.206146986
2010 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.242532174
2010 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.867457498
2010 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.602036428
2011 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.848781993
2011 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.005022454
2011 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.961324452
2011 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.583619126
2012 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.883192928
2012 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.460520792
2012 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,5.244577435
2012 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.175294027
2013 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.907702171
2013 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.315873357
2013 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,5.348265129
2013 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.019947335
2014 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,2.757830997
2014 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.218164515
2014 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,5.158251264
2014 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.057025392
2015 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,2.40047228
2015 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,2.755390057
2015 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.378337329
2015 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,1.875990781
2016 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,2.604683384
2016 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.120646556
2016 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,5.039814869
2016 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.113542017
2017 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.454630958
2017 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.848433047
2017 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,5.173751599
2017 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.583420299
2018 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,2.808360314
2018 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,2.911380919
2018 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,5.273103428
2018 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.351369407
2019 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,1.674191792
2019 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,2.987510353
2019 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.830102004
2019 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,2.922882714
2020 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,2.291729369
2020 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.008188411
2020 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,4.021157731
2020 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,2.843717937
2021 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,2.304586471
2021 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,3.740882106
2001 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,8.398679592
2002 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,9.196726942
2002 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,8.82791095
2002 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,9.782624062
2002 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,9.677778774
2003 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,11.15311886
2003 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,9.633132822
2003 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,10.22977839
2003 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,9.536593742
2004 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,8.795811893
2004 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,8.873282995
2004 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,9.211050506
2004 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,9.299205988
2005 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,9.300893771
2005 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,9.817440965
2005 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,11.1245779
2005 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,11.35031388
2006 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,10.49694372
2006 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,10.49784415
2006 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,10.2252683
2006 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,9.66118326
2007 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,9.290747287
2007 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,9.141674544
2007 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,8.100100219
2007 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,9.520437405
2008 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,7.918679329
2008 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,8.275840474
2008 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,7.913666903
2008 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,7.783603376
2009 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,7.890114761
2009 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,7.802503438
2009 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,6.514741223
2009 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,6.675657218
2010 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,6.835255835
2010 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,6.897124966
2010 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,6.603225996
2010 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,6.004055064
2011 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,6.952244827
2011 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,7.476660013
2011 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,8.188127974
2011 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,7.570164618
2012 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,6.84871392
2012 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,7.44677178
2012 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,6.088734871
2012 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,5.369430165
2013 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,5.715529858
2013 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,4.884978773
2013 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,4.447600933
2013 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,5.189745357
2014 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,3.890709426
2014 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,3.358877979
2014 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,3.725936321
2014 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,3.836027024
2015 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,4.005792892
2015 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,3.653680931
2015 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,4.046782387
2015 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,4.151992491
2016 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Male,Percentage (%),Units,Normal value,4.798984437
