Year,Series,Sector,Age,Sex,Country,Region,Observation status,Unit multiplier,Units,GeoCode,Value
2009,Public sector employment,,16 to 17,Female,,,Undefined,Units,Percentage (%),,1.25548811167
2006,Public sector employment,,16 to 17,Female,,,Undefined,Units,Percentage (%),,1.25592937105
2007,Public sector employment,,16 to 17,Female,,,Undefined,Units,Percentage (%),,1.26956579172
2004,Public sector employment,,16 to 17,Female,,,Undefined,Units,Percentage (%),,1.2739038582
2005,Public sector employment,,16 to 17,Female,,,Undefined,Units,Percentage (%),,1.27426958273
2008,Public sector employment,,16 to 17,Female,,,Undefined,Units,Percentage (%),,1.2795692893
2016,Public sector employment,Public sector,65 and over,Female,,,Undefined,Units,Percentage (%),,1.44625932124
2013,Public sector employment,Public sector,65 and over,Female,,,Undefined,Units,Percentage (%),,1.45857525726
2015,Public sector employment,Public sector,65 and over,Female,,,Undefined,Units,Percentage (%),,1.4790328954
2014,Public sector employment,Public sector,65 and over,Female,,,Undefined,Units,Percentage (%),,1.56285306218
2011,Public sector employment,Public sector,18 to 24,Female,,,Undefined,Units,Percentage (%),,3.32893027347
2013,Public sector employment,Public sector,18 to 24,Female,,,Undefined,Units,Percentage (%),,3.35825329155
2012,Public sector employment,Public sector,18 to 24,Female,,,Undefined,Units,Percentage (%),,3.37049484837
2000,Public sector employment,Public sector,18 to 24,Female,,,Undefined,Units,Percentage (%),,3.70645139637
2010,Public sector employment,Public sector,18 to 24,Female,,,Undefined,Units,Percentage (%),,3.74302068025
2006,Public sector employment,Public sector,18 to 24,Female,,,Undefined,Units,Percentage (%),,3.76444523182
2014,Public sector employment,Public sector,18 to 24,Female,,,Undefined,Units,Percentage (%),,3.7849150224
2009,Public sector employment,Public sector,18 to 24,Female,,,Undefined,Units,Percentage (%),,3.79833045607
2016,Public sector employment,Public sector,18 to 24,Female,,,Undefined,Units,Percentage (%),,3.82551470027
2007,Public sector employment,Public sector,18 to 24,Female,,,Undefined,Units,Percentage (%),,3.89350713532
2008,Public sector employment,Public sector,18 to 24,Female,,,Undefined,Units,Percentage (%),,3.93221452975
2005,Public sector employment,Public sector,18 to 24,Female,,,Undefined,Units,Percentage (%),,3.97418121288
2015,Public sector employment,Public sector,18 to 24,Female,,,Undefined,Units,Percentage (%),,4.03275259384
2001,Public sector employment,Public sector,18 to 24,Female,,,Undefined,Units,Percentage (%),,4.05599093461
2004,Public sector employment,Public sector,18 to 24,Female,,,Undefined,Units,Percentage (%),,4.1433236466
2000,Public sector employment,,18 to 24,Female,,,Undefined,Units,Percentage (%),,4.17554475749
2003,Public sector employment,Public sector,18 to 24,Female,,,Undefined,Units,Percentage (%),,4.18755149902
2001,Public sector employment,,18 to 24,Female,,,Undefined,Units,Percentage (%),,4.21810655034
2002,Public sector employment,,18 to 24,Female,,,Undefined,Units,Percentage (%),,4.2923000777
2002,Public sector employment,Public sector,18 to 24,Female,,,Undefined,Units,Percentage (%),,4.29276054862
2016,Public sector employment,,18 to 24,Female,,,Undefined,Units,Percentage (%),,4.33201264427
2003,Public sector employment,,18 to 24,Female,,,Undefined,Units,Percentage (%),,4.3821651185
2015,Public sector employment,,18 to 24,Female,,,Undefined,Units,Percentage (%),,4.41712870247
2004,Public sector employment,,18 to 24,Female,,,Undefined,Units,Percentage (%),,4.45129907802
2014,Public sector employment,,18 to 24,Female,,,Undefined,Units,Percentage (%),,4.46108188226
2013,Public sector employment,,18 to 24,Female,,,Undefined,Units,Percentage (%),,4.52387085857
2005,Public sector employment,,18 to 24,Female,,,Undefined,Units,Percentage (%),,4.52557480909
2006,Public sector employment,,18 to 24,Female,,,Undefined,Units,Percentage (%),,4.58088008748
2012,Public sector employment,,18 to 24,Female,,,Undefined,Units,Percentage (%),,4.60067595918
2007,Public sector employment,,18 to 24,Female,,,Undefined,Units,Percentage (%),,4.60884969318
2008,Public sector employment,,18 to 24,Female,,,Undefined,Units,Percentage (%),,4.6304599467
2009,Public sector employment,,18 to 24,Female,,,Undefined,Units,Percentage (%),,4.63860818562
2010,Public sector employment,,18 to 24,Female,,,Undefined,Units,Percentage (%),,4.64157942988
2011,Public sector employment,,18 to 24,Female,,,Undefined,Units,Percentage (%),,4.64341039275
2008,Public sector employment,,25 to 34,Female,,,Undefined,Units,Percentage (%),,6.58916929236
2007,Public sector employment,,25 to 34,Female,,,Undefined,Units,Percentage (%),,6.5927690527
2009,Public sector employment,,25 to 34,Female,,,Undefined,Units,Percentage (%),,6.60221155357
2006,Public sector employment,,25 to 34,Female,,,Undefined,Units,Percentage (%),,6.63546213728
2010,Public sector employment,,25 to 34,Female,,,Undefined,Units,Percentage (%),,6.6519888254
2005,Public sector employment,,25 to 34,Female,,,Undefined,Units,Percentage (%),,6.6865484997
2011,Public sector employment,,25 to 34,Female,,,Undefined,Units,Percentage (%),,6.7001995492
2004,Public sector employment,,25 to 34,Female,,,Undefined,Units,Percentage (%),,6.71202596868
2012,Public sector employment,,25 to 34,Female,,,Undefined,Units,Percentage (%),,6.74448626741
2016,Public sector employment,,25 to 34,Female,,,Undefined,Units,Percentage (%),,6.77050381417
2015,Public sector employment,,25 to 34,Female,,,Undefined,Units,Percentage (%),,6.7800056747
2014,Public sector employment,,25 to 34,Female,,,Undefined,Units,Percentage (%),,6.79344682841
2013,Public sector employment,,25 to 34,Female,,,Undefined,Units,Percentage (%),,6.79664854523
2003,Public sector employment,,25 to 34,Female,,,Undefined,Units,Percentage (%),,6.83530208314
2002,Public sector employment,,25 to 34,Female,,,Undefined,Units,Percentage (%),,7.00484389321
2001,Public sector employment,,25 to 34,Female,,,Undefined,Units,Percentage (%),,7.20601364681
2000,Public sector employment,,25 to 34,Female,,,Undefined,Units,Percentage (%),,7.39279658099
2000,Public sector employment,,50 to 64,Female,,,Undefined,Units,Percentage (%),,8.74831252521
2001,Public sector employment,,50 to 64,Female,,,Undefined,Units,Percentage (%),,8.8209507023
2002,Public sector employment,,50 to 64,Female,,,Undefined,Units,Percentage (%),,8.88027942476
2003,Public sector employment,,50 to 64,Female,,,Undefined,Units,Percentage (%),,8.92089332565
2004,Public sector employment,,50 to 64,Female,,,Undefined,Units,Percentage (%),,8.95974876816
2005,Public sector employment,,50 to 64,Female,,,Undefined,Units,Percentage (%),,8.97437510259
2007,Public sector employment,,65 and over,Female,,,Undefined,Units,Percentage (%),,9.00680742493
2008,Public sector employment,,65 and over,Female,,,Undefined,Units,Percentage (%),,9.02941671045
2006,Public sector employment,,65 and over,Female,,,Undefined,Units,Percentage (%),,9.03460625514
2006,Public sector employment,,50 to 64,Female,,,Undefined,Units,Percentage (%),,9.04432561248
2009,Public sector employment,,65 and over,Female,,,Undefined,Units,Percentage (%),,9.08341769128
2007,Public sector employment,,50 to 64,Female,,,Undefined,Units,Percentage (%),,9.09292092224
2005,Public sector employment,,65 and over,Female,,,Undefined,Units,Percentage (%),,9.09547265737
2008,Public sector employment,,50 to 64,Female,,,Undefined,Units,Percentage (%),,9.11800237617
2010,Public sector employment,,65 and over,Female,,,Undefined,Units,Percentage (%),,9.13942912443
2004,Public sector employment,,65 and over,Female,,,Undefined,Units,Percentage (%),,9.14075017126
2009,Public sector employment,,50 to 64,Female,,,Undefined,Units,Percentage (%),,9.1486388333
2003,Public sector employment,,65 and over,Female,,,Undefined,Units,Percentage (%),,9.16806678415
2010,Public sector employment,,50 to 64,Female,,,Undefined,Units,Percentage (%),,9.18176059397
2012,Public sector employment,,50 to 64,Female,,,Undefined,Units,Percentage (%),,9.18376147064
2002,Public sector employment,,65 and over,Female,,,Undefined,Units,Percentage (%),,9.18901674447
2011,Public sector employment,,65 and over,Female,,,Undefined,Units,Percentage (%),,9.19755339108
2013,Public sector employment,,50 to 64,Female,,,Undefined,Units,Percentage (%),,9.20808638814
2001,Public sector employment,,65 and over,Female,,,Undefined,Units,Percentage (%),,9.2101746255
2000,Public sector employment,,65 and over,Female,,,Undefined,Units,Percentage (%),,9.22155352034
2011,Public sector employment,,50 to 64,Female,,,Undefined,Units,Percentage (%),,9.23673478191
2014,Public sector employment,,50 to 64,Female,,,Undefined,Units,Percentage (%),,9.27864608425
2015,Public sector employment,,50 to 64,Female,,,Undefined,Units,Percentage (%),,9.36957888856
2012,Public sector employment,,65 and over,Female,,,Undefined,Units,Percentage (%),,9.42109908747
2016,Public sector employment,,50 to 64,Female,,,Undefined,Units,Percentage (%),,9.46361791623
2013,Public sector employment,,65 and over,Female,,,Undefined,Units,Percentage (%),,9.57150831033
2014,Public sector employment,,65 and over,Female,,,Undefined,Units,Percentage (%),,9.70171379515
2015,Public sector employment,,65 and over,Female,,,Undefined,Units,Percentage (%),,9.76637333656
2016,Public sector employment,,65 and over,Female,,,Undefined,Units,Percentage (%),,9.83135006561
2016,Public sector employment,,35 to 49,Female,,,Undefined,Units,Percentage (%),,9.97251952053
2015,Public sector employment,,35 to 49,Female,,,Undefined,Units,Percentage (%),,10.088386684
2014,Public sector employment,,35 to 49,Female,,,Undefined,Units,Percentage (%),,10.2088089506
2013,Public sector employment,,35 to 49,Female,,,Undefined,Units,Percentage (%),,10.3617740176
2012,Public sector employment,,35 to 49,Female,,,Undefined,Units,Percentage (%),,10.5394550477
2000,Public sector employment,,35 to 49,Female,,,Undefined,Units,Percentage (%),,10.6360460662
2011,Public sector employment,,35 to 49,Female,,,Undefined,Units,Percentage (%),,10.7214544582
2001,Public sector employment,,35 to 49,Female,,,Undefined,Units,Percentage (%),,10.7538295796
2002,Public sector employment,,35 to 49,Female,,,Undefined,Units,Percentage (%),,10.8831067487
2010,Public sector employment,,35 to 49,Female,,,Undefined,Units,Percentage (%),,10.8910807003
2003,Public sector employment,,35 to 49,Female,,,Undefined,Units,Percentage (%),,10.978074192
2009,Public sector employment,,35 to 49,Female,,,Undefined,Units,Percentage (%),,11.0157219139
2004,Public sector employment,,35 to 49,Female,,,Undefined,Units,Percentage (%),,11.0638927897
2008,Public sector employment,,35 to 49,Female,,,Undefined,Units,Percentage (%),,11.0955701635
2005,Public sector employment,,35 to 49,Female,,,Undefined,Units,Percentage (%),,11.1094985149
2006,Public sector employment,,35 to 49,Female,,,Undefined,Units,Percentage (%),,11.1557622859
2007,Public sector employment,,35 to 49,Female,,,Undefined,Units,Percentage (%),,11.1620747704
2007,Public sector employment,Public sector,25 to 34,Female,,,Undefined,Units,Percentage (%),,12.812798731
2008,Public sector employment,Public sector,25 to 34,Female,,,Undefined,Units,Percentage (%),,12.8361022924
2006,Public sector employment,Public sector,25 to 34,Female,,,Undefined,Units,Percentage (%),,13.0418164972
2010,Public sector employment,Public sector,25 to 34,Female,,,Undefined,Units,Percentage (%),,13.0662867395
2014,Public sector employment,Public sector,25 to 34,Female,,,Undefined,Units,Percentage (%),,13.1589312784
2002,Public sector employment,Public sector,25 to 34,Female,,,Undefined,Units,Percentage (%),,13.208037711
2009,Public sector employment,Public sector,25 to 34,Female,,,Undefined,Units,Percentage (%),,13.2292126077
2011,Public sector employment,Public sector,25 to 34,Female,,,Undefined,Units,Percentage (%),,13.2420761251
2012,Public sector employment,Public sector,25 to 34,Female,,,Undefined,Units,Percentage (%),,13.2530769329
2005,Public sector employment,Public sector,25 to 34,Female,,,Undefined,Units,Percentage (%),,13.2659793531
2003,Public sector employment,Public sector,25 to 34,Female,,,Undefined,Units,Percentage (%),,13.3192713446
2013,Public sector employment,Public sector,25 to 34,Female,,,Undefined,Units,Percentage (%),,13.3407221182
2016,Public sector employment,Public sector,25 to 34,Female,,,Undefined,Units,Percentage (%),,13.4411695995
2004,Public sector employment,Public sector,25 to 34,Female,,,Undefined,Units,Percentage (%),,13.5660510954
2001,Public sector employment,Public sector,25 to 34,Female,,,Undefined,Units,Percentage (%),,13.6161837119
2015,Public sector employment,Public sector,25 to 34,Female,,,Undefined,Units,Percentage (%),,13.6220942991
2000,Public sector employment,Public sector,25 to 34,Female,,,Undefined,Units,Percentage (%),,14.0718349969
2000,Public sector employment,Public sector,50 to 64,Female,,,Undefined,Units,Percentage (%),,15.9881473467
2001,Public sector employment,Public sector,50 to 64,Female,,,Undefined,Units,Percentage (%),,16.8059895375
2003,Public sector employment,Public sector,50 to 64,Female,,,Undefined,Units,Percentage (%),,16.954677745
2002,Public sector employment,Public sector,50 to 64,Female,,,Undefined,Units,Percentage (%),,17.0288015498
2004,Public sector employment,Public sector,50 to 64,Female,,,Undefined,Units,Percentage (%),,17.2225928527
2005,Public sector employment,Public sector,50 to 64,Female,,,Undefined,Units,Percentage (%),,17.3461949053
2006,Public sector employment,Public sector,50 to 64,Female,,,Undefined,Units,Percentage (%),,18.1147944628
2009,Public sector employment,Public sector,50 to 64,Female,,,Undefined,Units,Percentage (%),,18.3526309593
2007,Public sector employment,Public sector,50 to 64,Female,,,Undefined,Units,Percentage (%),,18.4763159623
2008,Public sector employment,Public sector,50 to 64,Female,,,Undefined,Units,Percentage (%),,18.6179919171
2010,Public sector employment,Public sector,50 to 64,Female,,,Undefined,Units,Percentage (%),,18.9382550447
2011,Public sector employment,Public sector,50 to 64,Female,,,Undefined,Units,Percentage (%),,19.7675779956
2012,Public sector employment,Public sector,50 to 64,Female,,,Undefined,Units,Percentage (%),,20.0259707843
2014,Public sector employment,Public sector,50 to 64,Female,,,Undefined,Units,Percentage (%),,20.4521203764
2015,Public sector employment,Public sector,50 to 64,Female,,,Undefined,Units,Percentage (%),,20.8417607502
2013,Public sector employment,Public sector,50 to 64,Female,,,Undefined,Units,Percentage (%),,20.8591329714
2016,Public sector employment,Public sector,50 to 64,Female,,,Undefined,Units,Percentage (%),,21.6017727987
2016,Public sector employment,Public sector,35 to 49,Female,,,Undefined,Units,Percentage (%),,25.3643129017
2015,Public sector employment,Public sector,35 to 49,Female,,,Undefined,Units,Percentage (%),,25.6257124275
2014,Public sector employment,Public sector,35 to 49,Female,,,Undefined,Units,Percentage (%),,26.7669833775
2013,Public sector employment,Public sector,35 to 49,Female,,,Undefined,Units,Percentage (%),,26.9277151399
2011,Public sector employment,Public sector,35 to 49,Female,,,Undefined,Units,Percentage (%),,27.1839585442
2012,Public sector employment,Public sector,35 to 49,Female,,,Undefined,Units,Percentage (%),,27.4155397413
2010,Public sector employment,Public sector,35 to 49,Female,,,Undefined,Units,Percentage (%),,27.8655384098
2009,Public sector employment,Public sector,35 to 49,Female,,,Undefined,Units,Percentage (%),,27.9942516226
2000,Public sector employment,Public sector,35 to 49,Female,,,Undefined,Units,Percentage (%),,28.236599936
2001,Public sector employment,Public sector,35 to 49,Female,,,Undefined,Units,Percentage (%),,28.2723066731
2008,Public sector employment,Public sector,35 to 49,Female,,,Undefined,Units,Percentage (%),,28.284064517
2003,Public sector employment,Public sector,35 to 49,Female,,,Undefined,Units,Percentage (%),,28.4491898373
2006,Public sector employment,Public sector,35 to 49,Female,,,Undefined,Units,Percentage (%),,28.5104259077
2004,Public sector employment,Public sector,35 to 49,Female,,,Undefined,Units,Percentage (%),,28.5331254718
2002,Public sector employment,Public sector,35 to 49,Female,,,Undefined,Units,Percentage (%),,28.6568434076
2005,Public sector employment,Public sector,35 to 49,Female,,,Undefined,Units,Percentage (%),,28.6885832698
2007,Public sector employment,Public sector,35 to 49,Female,,,Undefined,Units,Percentage (%),,28.9592322127
2000,Public sector employment,Public sector,,Female,,,Undefined,Units,Percentage (%),,62.6595103357
2001,Public sector employment,Public sector,,Female,,,Undefined,Units,Percentage (%),,63.5206230671
2003,Public sector employment,Public sector,,Female,,,Undefined,Units,Percentage (%),,63.8263256693
2002,Public sector employment,Public sector,,Female,,,Undefined,Units,Percentage (%),,64.0694409143
2005,Public sector employment,Public sector,,Female,,,Undefined,Units,Percentage (%),,64.1048114527
2004,Public sector employment,Public sector,,Female,,,Undefined,Units,Percentage (%),,64.2816390326
2006,Public sector employment,Public sector,,Female,,,Undefined,Units,Percentage (%),,64.3176407026
2009,Public sector employment,Public sector,,Female,,,Undefined,Units,Percentage (%),,64.6165607136
2008,Public sector employment,Public sector,,Female,,,Undefined,Units,Percentage (%),,64.6645477859
2010,Public sector employment,Public sector,,Female,,,Undefined,Units,Percentage (%),,64.6984904371
2011,Public sector employment,Public sector,,Female,,,Undefined,Units,Percentage (%),,64.8189289622
2007,Public sector employment,Public sector,,Female,,,Undefined,Units,Percentage (%),,64.9830668814
2012,Public sector employment,Public sector,,Female,,,Undefined,Units,Percentage (%),,65.3966895075
2015,Public sector employment,Public sector,,Female,,,Undefined,Units,Percentage (%),,65.7155691231
2016,Public sector employment,Public sector,,Female,,,Undefined,Units,Percentage (%),,65.8133359872
2014,Public sector employment,Public sector,,Female,,,Undefined,Units,Percentage (%),,65.8461392565
2013,Public sector employment,Public sector,,Female,,,Undefined,Units,Percentage (%),,66.0524142836
2014,Public sector employment,Public sector,16 to 17,Male,,,Undefined,Units,Percentage (%),,0.096248688236
2012,Public sector employment,Public sector,16 to 17,Male,,,Undefined,Units,Percentage (%),,0.105680931056
2009,Public sector employment,Public sector,16 to 17,Male,,,Undefined,Units,Percentage (%),,0.12550447286
2011,Public sector employment,Public sector,16 to 17,Male,,,Undefined,Units,Percentage (%),,0.129728498967
2010,Public sector employment,Public sector,16 to 17,Male,,,Undefined,Units,Percentage (%),,0.13399388415
2005,Public sector employment,Public sector,16 to 17,Male,,,Undefined,Units,Percentage (%),,0.156078767589
2016,Public sector employment,Public sector,16 to 17,Male,,,Undefined,Units,Percentage (%),,0.167330637439
2007,Public sector employment,Public sector,16 to 17,Male,,,Undefined,Units,Percentage (%),,0.182231396822
2003,Public sector employment,Public sector,16 to 17,Male,,,Undefined,Units,Percentage (%),,0.193852551707
2008,Public sector employment,Public sector,16 to 17,Male,,,Undefined,Units,Percentage (%),,0.194164711024
2006,Public sector employment,Public sector,16 to 17,Male,,,Undefined,Units,Percentage (%),,0.204507691853
2004,Public sector employment,Public sector,16 to 17,Male,,,Undefined,Units,Percentage (%),,0.211276404984
2002,Public sector employment,Public sector,16 to 17,Male,,,Undefined,Units,Percentage (%),,0.216076755749
2001,Public sector employment,Public sector,16 to 17,Male,,,Undefined,Units,Percentage (%),,0.23654034102
2000,Public sector employment,Public sector,16 to 17,Male,,,Undefined,Units,Percentage (%),,0.261765558889
2000,Public sector employment,Public sector,65 and over,Male,,,Undefined,Units,Percentage (%),,0.354488228422
2001,Public sector employment,Public sector,65 and over,Male,,,Undefined,Units,Percentage (%),,0.402553447177
2005,Public sector employment,Public sector,65 and over,Male,,,Undefined,Units,Percentage (%),,0.423858159465
2004,Public sector employment,Public sector,65 and over,Male,,,Undefined,Units,Percentage (%),,0.456629295913
2003,Public sector employment,Public sector,65 and over,Male,,,Undefined,Units,Percentage (%),,0.468220410492
2002,Public sector employment,Public sector,65 and over,Male,,,Undefined,Units,Percentage (%),,0.473900281977
2006,Public sector employment,Public sector,65 and over,Male,,,Undefined,Units,Percentage (%),,0.495057778089
2007,Public sector employment,Public sector,65 and over,Male,,,Undefined,Units,Percentage (%),,0.542709167694
2009,Public sector employment,Public sector,65 and over,Male,,,Undefined,Units,Percentage (%),,0.667197550082
2008,Public sector employment,Public sector,65 and over,Male,,,Undefined,Units,Percentage (%),,0.68956792656
2010,Public sector employment,Public sector,65 and over,Male,,,Undefined,Units,Percentage (%),,0.80932429504
2012,Public sector employment,Public sector,65 and over,Male,,,Undefined,Units,Percentage (%),,0.824765951562
2011,Public sector employment,Public sector,65 and over,Male,,,Undefined,Units,Percentage (%),,0.830461851436
2013,Public sector employment,Public sector,65 and over,Male,,,Undefined,Units,Percentage (%),,0.952866952795
2014,Public sector employment,Public sector,65 and over,Male,,,Undefined,Units,Percentage (%),,1.01248910873
2016,Public sector employment,Public sector,65 and over,Male,,,Undefined,Units,Percentage (%),,1.01423676752
2015,Public sector employment,Public sector,65 and over,Male,,,Undefined,Units,Percentage (%),,1.05167220943
2016,Public sector employment,,16 to 17,Male,,,Undefined,Units,Percentage (%),,1.16669109491
2015,Public sector employment,,16 to 17,Male,,,Undefined,Units,Percentage (%),,1.19221255513
2014,Public sector employment,,16 to 17,Male,,,Undefined,Units,Percentage (%),,1.21773150452
2013,Public sector employment,,16 to 17,Male,,,Undefined,Units,Percentage (%),,1.23955369054
2012,Public sector employment,,16 to 17,Male,,,Undefined,Units,Percentage (%),,1.24450298509
2000,Public sector employment,,16 to 17,Male,,,Undefined,Units,Percentage (%),,1.25711575396
2011,Public sector employment,,16 to 17,Male,,,Undefined,Units,Percentage (%),,1.26817280738
2010,Public sector employment,,16 to 17,Male,,,Undefined,Units,Percentage (%),,1.28509240106
2009,Public sector employment,,16 to 17,Male,,,Undefined,Units,Percentage (%),,1.29838851563
2001,Public sector employment,,16 to 17,Male,,,Undefined,Units,Percentage (%),,1.29848559918
2003,Public sector employment,,16 to 17,Male,,,Undefined,Units,Percentage (%),,1.30403173806
2004,Public sector employment,,16 to 17,Male,,,Undefined,Units,Percentage (%),,1.31093449241
2005,Public sector employment,,16 to 17,Male,,,Undefined,Units,Percentage (%),,1.31371952085
2002,Public sector employment,,16 to 17,Male,,,Undefined,Units,Percentage (%),,1.31373049111
2006,Public sector employment,,16 to 17,Male,,,Undefined,Units,Percentage (%),,1.3162396931
2008,Public sector employment,,16 to 17,Male,,,Undefined,Units,Percentage (%),,1.32879469082
2007,Public sector employment,,16 to 17,Male,,,Undefined,Units,Percentage (%),,1.33769467331
2013,Public sector employment,Public sector,18 to 24,Male,,,Undefined,Units,Percentage (%),,1.81568869607
2012,Public sector employment,Public sector,18 to 24,Male,,,Undefined,Units,Percentage (%),,1.84921930964
2011,Public sector employment,Public sector,18 to 24,Male,,,Undefined,Units,Percentage (%),,2.10676863
2014,Public sector employment,Public sector,18 to 24,Male,,,Undefined,Units,Percentage (%),,2.1790115095
2016,Public sector employment,Public sector,18 to 24,Male,,,Undefined,Units,Percentage (%),,2.29001599662
2010,Public sector employment,Public sector,18 to 24,Male,,,Undefined,Units,Percentage (%),,2.34911179403
2015,Public sector employment,Public sector,18 to 24,Male,,,Undefined,Units,Percentage (%),,2.36883290414
2007,Public sector employment,Public sector,18 to 24,Male,,,Undefined,Units,Percentage (%),,2.41360741442
2001,Public sector employment,Public sector,18 to 24,Male,,,Undefined,Units,Percentage (%),,2.4148995897
2008,Public sector employment,Public sector,18 to 24,Male,,,Undefined,Units,Percentage (%),,2.43014484199
2005,Public sector employment,Public sector,18 to 24,Male,,,Undefined,Units,Percentage (%),,2.43332039001
2006,Public sector employment,Public sector,18 to 24,Male,,,Undefined,Units,Percentage (%),,2.46017026601
2009,Public sector employment,Public sector,18 to 24,Male,,,Undefined,Units,Percentage (%),,2.46938548983
2004,Public sector employment,Public sector,18 to 24,Male,,,Undefined,Units,Percentage (%),,2.47003190994
2002,Public sector employment,Public sector,18 to 24,Male,,,Undefined,Units,Percentage (%),,2.47269750355
2000,Public sector employment,Public sector,18 to 24,Male,,,Undefined,Units,Percentage (%),,2.52801809459
2003,Public sector employment,Public sector,18 to 24,Male,,,Undefined,Units,Percentage (%),,2.5816456612
2000,Public sector employment,,18 to 24,Male,,,Undefined,Units,Percentage (%),,4.20792423471
2001,Public sector employment,,18 to 24,Male,,,Undefined,Units,Percentage (%),,4.25636377613
2002,Public sector employment,,18 to 24,Male,,,Undefined,Units,Percentage (%),,4.34710784146
2003,Public sector employment,,18 to 24,Male,,,Undefined,Units,Percentage (%),,4.44771707712
2004,Public sector employment,,18 to 24,Male,,,Undefined,Units,Percentage (%),,4.53687654007
2016,Public sector employment,,18 to 24,Male,,,Undefined,Units,Percentage (%),,4.54715230401
2005,Public sector employment,,18 to 24,Male,,,Undefined,Units,Percentage (%),,4.57021565922
2006,Public sector employment,,18 to 24,Male,,,Undefined,Units,Percentage (%),,4.60968141042
2015,Public sector employment,,18 to 24,Male,,,Undefined,Units,Percentage (%),,4.61139061915
2014,Public sector employment,,18 to 24,Male,,,Undefined,Units,Percentage (%),,4.64790242085
2007,Public sector employment,,18 to 24,Male,,,Undefined,Units,Percentage (%),,4.66589719431
