Year,Units,Subject,Sex,Special Educational Needs,Free School Meals,Ethnicity,Ethnic group,Region,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2016,Attainment at age 7,Maths,,Special educational needs,,,,,Percentage (%),Units,Undefined,,30.0
2016,Attainment at age 7,Maths,Boys,Special educational needs,,,,,Percentage (%),Units,Undefined,,33.0
2016,Attainment at age 7,Maths,Girls,Special educational needs,,,,,Percentage (%),Units,Undefined,,24.0
2017,Attainment at age 7,Reading,,Special educational needs,,,,,Percentage (%),Units,Undefined,,31.0
2017,Attainment at age 7,Reading,Boys,Special educational needs,,,,,Percentage (%),Units,Undefined,,31.0
2017,Attainment at age 7,Reading,Girls,Special educational needs,,,,,Percentage (%),Units,Undefined,,29.0
2017,Attainment at age 7,Maths,,Special educational needs,,,,,Percentage (%),Units,Undefined,,32.0
2017,Attainment at age 7,Maths,Boys,Special educational needs,,,,,Percentage (%),Units,Undefined,,35.0
2017,Attainment at age 7,Maths,Girls,Special educational needs,,,,,Percentage (%),Units,Undefined,,26.0
2018,Attainment at age 7,Reading,,Special educational needs,,,,,Percentage (%),Units,Undefined,,30.0
2018,Attainment at age 7,Reading,Boys,Special educational needs,,,,,Percentage (%),Units,Undefined,,31.0
2018,Attainment at age 7,Reading,Girls,Special educational needs,,,,,Percentage (%),Units,Undefined,,30.0
2018,Attainment at age 7,Maths,,Special educational needs,,,,,Percentage (%),Units,Undefined,,33.0
2018,Attainment at age 7,Maths,Boys,Special educational needs,,,,,Percentage (%),Units,Undefined,,36.0
2018,Attainment at age 7,Maths,Girls,Special educational needs,,,,,Percentage (%),Units,Undefined,,27.0
2016,Attainment at age 7,Reading,,No special educational needs,,,,,Percentage (%),Units,Undefined,,82.0
2016,Attainment at age 7,Reading,Boys,No special educational needs,,,,,Percentage (%),Units,Undefined,,80.0
2016,Attainment at age 7,Reading,Girls,No special educational needs,,,,,Percentage (%),Units,Undefined,,84.0
2016,Attainment at age 7,Maths,,No special educational needs,,,,,Percentage (%),Units,Undefined,,80.0
2016,Attainment at age 7,Maths,Boys,No special educational needs,,,,,Percentage (%),Units,Undefined,,82.0
2016,Attainment at age 7,Maths,Girls,No special educational needs,,,,,Percentage (%),Units,Undefined,,79.0
2017,Attainment at age 7,Reading,,No special educational needs,,,,,Percentage (%),Units,Undefined,,84.0
2017,Attainment at age 7,Reading,Boys,No special educational needs,,,,,Percentage (%),Units,Undefined,,82.0
2017,Attainment at age 7,Reading,Girls,No special educational needs,,,,,Percentage (%),Units,Undefined,,85.0
2017,Attainment at age 7,Maths,,No special educational needs,,,,,Percentage (%),Units,Undefined,,83.0
2017,Attainment at age 7,Maths,Boys,No special educational needs,,,,,Percentage (%),Units,Undefined,,84.0
2017,Attainment at age 7,Maths,Girls,No special educational needs,,,,,Percentage (%),Units,Undefined,,82.0
2018,Attainment at age 7,Reading,,No special educational needs,,,,,Percentage (%),Units,Undefined,,84.0
2018,Attainment at age 7,Reading,Boys,No special educational needs,,,,,Percentage (%),Units,Undefined,,82.0
2018,Attainment at age 7,Reading,Girls,No special educational needs,,,,,Percentage (%),Units,Undefined,,85.0
2018,Attainment at age 7,Maths,,No special educational needs,,,,,Percentage (%),Units,Undefined,,84.0
2018,Attainment at age 7,Maths,Boys,No special educational needs,,,,,Percentage (%),Units,Undefined,,85.0
2018,Attainment at age 7,Maths,Girls,No special educational needs,,,,,Percentage (%),Units,Undefined,,83.0
2016,Attainment at age 7,Reading,,,Free school meals,,,,Percentage (%),Units,Undefined,,60.0
2016,Attainment at age 7,Reading,Boys,,Free school meals,,,,Percentage (%),Units,Undefined,,54.0
2016,Attainment at age 7,Reading,Girls,,Free school meals,,,,Percentage (%),Units,Undefined,,65.0
2016,Attainment at age 7,Maths,,,Free school meals,,,,Percentage (%),Units,Undefined,,58.0
2016,Attainment at age 7,Maths,Boys,,Free school meals,,,,Percentage (%),Units,Undefined,,56.0
2016,Attainment at age 7,Maths,Girls,,Free school meals,,,,Percentage (%),Units,Undefined,,59.0
2017,Attainment at age 7,Reading,,,Free school meals,,,,Percentage (%),Units,Undefined,,61.0
2017,Attainment at age 7,Reading,Boys,,Free school meals,,,,Percentage (%),Units,Undefined,,56.0
2017,Attainment at age 7,Reading,Girls,,Free school meals,,,,Percentage (%),Units,Undefined,,66.0
2017,Attainment at age 7,Maths,,,Free school meals,,,,Percentage (%),Units,Undefined,,60.0
2017,Attainment at age 7,Maths,Boys,,Free school meals,,,,Percentage (%),Units,Undefined,,59.0
2017,Attainment at age 7,Maths,Girls,,Free school meals,,,,Percentage (%),Units,Undefined,,61.0
2018,Attainment at age 7,Reading,,,Free school meals,,,,Percentage (%),Units,Undefined,,60.0
2018,Attainment at age 7,Reading,Boys,,Free school meals,,,,Percentage (%),Units,Undefined,,55.0
2018,Attainment at age 7,Reading,Girls,,Free school meals,,,,Percentage (%),Units,Undefined,,66.0
2018,Attainment at age 7,Maths,,,Free school meals,,,,Percentage (%),Units,Undefined,,61.0
2018,Attainment at age 7,Maths,Boys,,Free school meals,,,,Percentage (%),Units,Undefined,,59.0
2018,Attainment at age 7,Maths,Girls,,Free school meals,,,,Percentage (%),Units,Undefined,,63.0
2016,Attainment at age 7,Reading,,,No free school meals,,,,Percentage (%),Units,Undefined,,77.0
2016,Attainment at age 7,Reading,Boys,,No free school meals,,,,Percentage (%),Units,Undefined,,73.0
2016,Attainment at age 7,Reading,Girls,,No free school meals,,,,Percentage (%),Units,Undefined,,81.0
2016,Attainment at age 7,Maths,,,No free school meals,,,,Percentage (%),Units,Undefined,,75.0
2016,Attainment at age 7,Maths,Boys,,No free school meals,,,,Percentage (%),Units,Undefined,,74.0
2016,Attainment at age 7,Maths,Girls,,No free school meals,,,,Percentage (%),Units,Undefined,,76.0
2017,Attainment at age 7,Reading,,,No free school meals,,,,Percentage (%),Units,Undefined,,78.0
2017,Attainment at age 7,Reading,Boys,,No free school meals,,,,Percentage (%),Units,Undefined,,74.0
2017,Attainment at age 7,Reading,Girls,,No free school meals,,,,Percentage (%),Units,Undefined,,82.0
2017,Attainment at age 7,Maths,,,No free school meals,,,,Percentage (%),Units,Undefined,,78.0
2017,Attainment at age 7,Maths,Boys,,No free school meals,,,,Percentage (%),Units,Undefined,,77.0
2017,Attainment at age 7,Maths,Girls,,No free school meals,,,,Percentage (%),Units,Undefined,,79.0
2018,Attainment at age 7,Reading,,,No free school meals,,,,Percentage (%),Units,Undefined,,78.0
2018,Attainment at age 7,Reading,Boys,,No free school meals,,,,Percentage (%),Units,Undefined,,74.0
2018,Attainment at age 7,Reading,Girls,,No free school meals,,,,Percentage (%),Units,Undefined,,82.0
2018,Attainment at age 7,Maths,,,No free school meals,,,,Percentage (%),Units,Undefined,,79.0
2018,Attainment at age 7,Maths,Boys,,No free school meals,,,,Percentage (%),Units,Undefined,,77.0
2018,Attainment at age 7,Maths,Girls,,No free school meals,,,,Percentage (%),Units,Undefined,,80.0
2016,Attainment at age 7,Reading,,,,,,North East,Percentage (%),Units,Undefined,E12000001,75.0
2016,Attainment at age 7,Reading,,,,,,North West,Percentage (%),Units,Undefined,E12000002,72.0
2016,Attainment at age 7,Reading,,,,,,Yorkshire and The Humber,Percentage (%),Units,Undefined,E12000003,71.0
2016,Attainment at age 7,Reading,,,,,,East Midlands,Percentage (%),Units,Undefined,E12000004,72.0
2016,Attainment at age 7,Reading,,,,,,West Midlands,Percentage (%),Units,Undefined,E12000005,73.0
2016,Attainment at age 7,Reading,,,,,,East,Percentage (%),Units,Undefined,E12000007,75.0
2016,Attainment at age 7,Reading,,,,,,London,Percentage (%),Units,Undefined,E12000007,77.0
2016,Attainment at age 7,Reading,,,,,,Inner London,Percentage (%),Units,Undefined,E13000001,78.0
2016,Attainment at age 7,Reading,,,,,,Outer London,Percentage (%),Units,Undefined,E13000002,77.0
2016,Attainment at age 7,Reading,,,,,,South East,Percentage (%),Units,Undefined,E12000008,76.0
2016,Attainment at age 7,Reading,,,,,,South West,Percentage (%),Units,Undefined,E12000009,73.0
2016,Attainment at age 7,Maths,,,,,,North East,Percentage (%),Units,Undefined,E12000001,74.0
2016,Attainment at age 7,Maths,,,,,,North West,Percentage (%),Units,Undefined,E12000002,71.0
2016,Attainment at age 7,Maths,,,,,,Yorkshire and The Humber,Percentage (%),Units,Undefined,E12000003,70.0
2016,Attainment at age 7,Maths,,,,,,East Midlands,Percentage (%),Units,Undefined,E12000004,70.0
2016,Attainment at age 7,Maths,,,,,,West Midlands,Percentage (%),Units,Undefined,E12000005,71.0
2016,Attainment at age 7,Maths,,,,,,East,Percentage (%),Units,Undefined,E12000007,74.0
2016,Attainment at age 7,Maths,,,,,,London,Percentage (%),Units,Undefined,E12000007,77.0
2016,Attainment at age 7,Maths,,,,,,Inner London,Percentage (%),Units,Undefined,E13000001,77.0
2016,Attainment at age 7,Maths,,,,,,Outer London,Percentage (%),Units,Undefined,E13000002,76.0
2016,Attainment at age 7,Maths,,,,,,South East,Percentage (%),Units,Undefined,E12000008,74.0
2016,Attainment at age 7,Maths,,,,,,South West,Percentage (%),Units,Undefined,E12000009,71.0
2017,Attainment at age 7,Reading,,,,,,North East,Percentage (%),Units,Undefined,E12000001,77.0
2017,Attainment at age 7,Reading,,,,,,North West,Percentage (%),Units,Undefined,E12000002,73.0
2017,Attainment at age 7,Reading,,,,,,Yorkshire and The Humber,Percentage (%),Units,Undefined,E12000003,72.0
2017,Attainment at age 7,Reading,,,,,,East Midlands,Percentage (%),Units,Undefined,E12000004,73.0
2017,Attainment at age 7,Reading,,,,,,West Midlands,Percentage (%),Units,Undefined,E12000005,74.0
2017,Attainment at age 7,Reading,,,,,,East,Percentage (%),Units,Undefined,E12000007,76.0
2017,Attainment at age 7,Reading,,,,,,London,Percentage (%),Units,Undefined,E12000007,78.0
2017,Attainment at age 7,Reading,,,,,,Inner London,Percentage (%),Units,Undefined,E13000001,79.0
2017,Attainment at age 7,Reading,,,,,,Outer London,Percentage (%),Units,Undefined,E13000002,78.0
2017,Attainment at age 7,Reading,,,,,,South East,Percentage (%),Units,Undefined,E12000008,78.0
2017,Attainment at age 7,Reading,,,,,,South West,Percentage (%),Units,Undefined,E12000009,76.0
2017,Attainment at age 7,Maths,,,,,,North East,Percentage (%),Units,Undefined,E12000001,77.0
2017,Attainment at age 7,Maths,,,,,,North West,Percentage (%),Units,Undefined,E12000002,73.0
2017,Attainment at age 7,Maths,,,,,,Yorkshire and The Humber,Percentage (%),Units,Undefined,E12000003,73.0
2017,Attainment at age 7,Maths,,,,,,East Midlands,Percentage (%),Units,Undefined,E12000004,74.0
2017,Attainment at age 7,Maths,,,,,,West Midlands,Percentage (%),Units,Undefined,E12000005,74.0
2017,Attainment at age 7,Maths,,,,,,East,Percentage (%),Units,Undefined,E12000007,75.0
2017,Attainment at age 7,Maths,,,,,,London,Percentage (%),Units,Undefined,E12000007,78.0
2017,Attainment at age 7,Maths,,,,,,Inner London,Percentage (%),Units,Undefined,E13000001,79.0
2017,Attainment at age 7,Maths,,,,,,Outer London,Percentage (%),Units,Undefined,E13000002,78.0
2017,Attainment at age 7,Maths,,,,,,South East,Percentage (%),Units,Undefined,E12000008,77.0
2017,Attainment at age 7,Maths,,,,,,South West,Percentage (%),Units,Undefined,E12000009,75.0
2018,Attainment at age 7,Reading,,,,,,North East,Percentage (%),Units,Undefined,E12000001,77.0
2018,Attainment at age 7,Reading,,,,,,North West,Percentage (%),Units,Undefined,E12000002,74.0
2018,Attainment at age 7,Reading,,,,,,Yorkshire and The Humber,Percentage (%),Units,Undefined,E12000003,72.0
2018,Attainment at age 7,Reading,,,,,,East Midlands,Percentage (%),Units,Undefined,E12000004,73.0
2018,Attainment at age 7,Reading,,,,,,West Midlands,Percentage (%),Units,Undefined,E12000005,74.0
2018,Attainment at age 7,Reading,,,,,,East,Percentage (%),Units,Undefined,E12000007,75.0
2018,Attainment at age 7,Reading,,,,,,London,Percentage (%),Units,Undefined,E12000007,78.0
2018,Attainment at age 7,Reading,,,,,,Inner London,Percentage (%),Units,Undefined,E13000001,79.0
2018,Attainment at age 7,Reading,,,,,,Outer London,Percentage (%),Units,Undefined,E13000002,78.0
2018,Attainment at age 7,Reading,,,,,,South East,Percentage (%),Units,Undefined,E12000008,78.0
2018,Attainment at age 7,Reading,,,,,,South West,Percentage (%),Units,Undefined,E12000009,75.0
2018,Attainment at age 7,Maths,,,,,,North East,Percentage (%),Units,Undefined,E12000001,77.0
2018,Attainment at age 7,Maths,,,,,,North West,Percentage (%),Units,Undefined,E12000002,75.0
2018,Attainment at age 7,Maths,,,,,,Yorkshire and The Humber,Percentage (%),Units,Undefined,E12000003,74.0
2018,Attainment at age 7,Maths,,,,,,East Midlands,Percentage (%),Units,Undefined,E12000004,75.0
2018,Attainment at age 7,Maths,,,,,,West Midlands,Percentage (%),Units,Undefined,E12000005,75.0
2018,Attainment at age 7,Maths,,,,,,East,Percentage (%),Units,Undefined,E12000007,76.0
2018,Attainment at age 7,Maths,,,,,,London,Percentage (%),Units,Undefined,E12000007,79.0
2018,Attainment at age 7,Maths,,,,,,Inner London,Percentage (%),Units,Undefined,E13000001,79.0
2018,Attainment at age 7,Maths,,,,,,Outer London,Percentage (%),Units,Undefined,E13000002,79.0
2018,Attainment at age 7,Maths,,,,,,South East,Percentage (%),Units,Undefined,E12000008,78.0
2018,Attainment at age 7,Maths,,,,,,South West,Percentage (%),Units,Undefined,E12000009,76.0
2016,Attainment at age 7,Reading,,,,White,,,Percentage (%),Units,Undefined,,74.0
2016,Attainment at age 7,Reading,,,,Mixed,,,Percentage (%),Units,Undefined,,76.0
2016,Attainment at age 7,Reading,,,,Asian,,,Percentage (%),Units,Undefined,,76.0
2016,Attainment at age 7,Reading,,,,Black,,,Percentage (%),Units,Undefined,,76.0
2016,Attainment at age 7,Reading,,,,Chinese,,,Percentage (%),Units,Undefined,,80.0
2016,Attainment at age 7,Reading,,,,Any other,,,Percentage (%),Units,Undefined,,68.0
2016,Attainment at age 7,Reading,,,,Unclassified,,,Percentage (%),Units,Undefined,,55.0
2017,Attainment at age 7,Reading,,,,White,,,Percentage (%),Units,Undefined,,76.0
2017,Attainment at age 7,Reading,,,,Mixed,,,Percentage (%),Units,Undefined,,78.0
2017,Attainment at age 7,Reading,,,,Asian,,,Percentage (%),Units,Undefined,,77.0
2017,Attainment at age 7,Reading,,,,Black,,,Percentage (%),Units,Undefined,,77.0
2017,Attainment at age 7,Reading,,,,Chinese,,,Percentage (%),Units,Undefined,,84.0
2017,Attainment at age 7,Reading,,,,Any other,,,Percentage (%),Units,Undefined,,68.0
2017,Attainment at age 7,Reading,,,,Unclassified,,,Percentage (%),Units,Undefined,,57.0
2018,Attainment at age 7,Reading,,,,White,,,Percentage (%),Units,Undefined,,75.0
2018,Attainment at age 7,Reading,,,,Mixed,,,Percentage (%),Units,Undefined,,77.0
2018,Attainment at age 7,Reading,,,,Asian,,,Percentage (%),Units,Undefined,,78.0
2018,Attainment at age 7,Reading,,,,Black,,,Percentage (%),Units,Undefined,,77.0
2018,Attainment at age 7,Reading,,,,Chinese,,,Percentage (%),Units,Undefined,,84.0
2018,Attainment at age 7,Reading,,,,Any other,,,Percentage (%),Units,Undefined,,69.0
2018,Attainment at age 7,Reading,,,,Unclassified,,,Percentage (%),Units,Undefined,,58.0
2016,Attainment at age 7,Maths,,,,White,,,Percentage (%),Units,Undefined,,73.0
2016,Attainment at age 7,Maths,,,,Mixed,,,Percentage (%),Units,Undefined,,74.0
2016,Attainment at age 7,Maths,,,,Asian,,,Percentage (%),Units,Undefined,,75.0
2016,Attainment at age 7,Maths,,,,Black,,,Percentage (%),Units,Undefined,,71.0
2016,Attainment at age 7,Maths,,,,Chinese,,,Percentage (%),Units,Undefined,,88.0
2016,Attainment at age 7,Maths,,,,Any other,,,Percentage (%),Units,Undefined,,70.0
2016,Attainment at age 7,Maths,,,,Unclassified,,,Percentage (%),Units,Undefined,,55.0
2017,Attainment at age 7,Maths,,,,White,,,Percentage (%),Units,Undefined,,75.0
2017,Attainment at age 7,Maths,,,,Mixed,,,Percentage (%),Units,Undefined,,76.0
2017,Attainment at age 7,Maths,,,,Asian,,,Percentage (%),Units,Undefined,,77.0
2017,Attainment at age 7,Maths,,,,Black,,,Percentage (%),Units,Undefined,,73.0
2017,Attainment at age 7,Maths,,,,Chinese,,,Percentage (%),Units,Undefined,,91.0
2017,Attainment at age 7,Maths,,,,Any other,,,Percentage (%),Units,Undefined,,72.0
2017,Attainment at age 7,Maths,,,,Unclassified,,,Percentage (%),Units,Undefined,,58.0
2018,Attainment at age 7,Maths,,,,White,,,Percentage (%),Units,Undefined,,76.0
2018,Attainment at age 7,Maths,,,,Mixed,,,Percentage (%),Units,Undefined,,77.0
2018,Attainment at age 7,Maths,,,,Asian,,,Percentage (%),Units,Undefined,,78.0
2018,Attainment at age 7,Maths,,,,Black,,,Percentage (%),Units,Undefined,,74.0
2018,Attainment at age 7,Maths,,,,Chinese,,,Percentage (%),Units,Undefined,,91.0
2018,Attainment at age 7,Maths,,,,Any other,,,Percentage (%),Units,Undefined,,72.0
2018,Attainment at age 7,Maths,,,,Unclassified,,,Percentage (%),Units,Undefined,,59.0
2016,Attainment at age 7,Reading,,,,White,White British,,Percentage (%),Units,Undefined,,75.0
2016,Attainment at age 7,Reading,,,,White,Irish,,Percentage (%),Units,Undefined,,77.0
2016,Attainment at age 7,Reading,,,,White,Traveller of Irish heritage,,Percentage (%),Units,Undefined,,32.0
2016,Attainment at age 7,Reading,,,,White,Gypsy / Roma,,Percentage (%),Units,Undefined,,26.0
2016,Attainment at age 7,Reading,,,,White,Any other white background,,Percentage (%),Units,Undefined,,67.0
2017,Attainment at age 7,Reading,,,,White,White British,,Percentage (%),Units,Undefined,,76.0
2017,Attainment at age 7,Reading,,,,White,Irish,,Percentage (%),Units,Undefined,,77.0
2017,Attainment at age 7,Reading,,,,White,Traveller of Irish heritage,,Percentage (%),Units,Undefined,,33.0
2017,Attainment at age 7,Reading,,,,White,Gypsy / Roma,,Percentage (%),Units,Undefined,,27.0
2017,Attainment at age 7,Reading,,,,White,Any other white background,,Percentage (%),Units,Undefined,,70.0
2018,Attainment at age 7,Reading,,,,White,White British,,Percentage (%),Units,Undefined,,76.0
2018,Attainment at age 7,Reading,,,,White,Irish,,Percentage (%),Units,Undefined,,77.0
2018,Attainment at age 7,Reading,,,,White,Traveller of Irish heritage,,Percentage (%),Units,Undefined,,31.0
2018,Attainment at age 7,Reading,,,,White,Gypsy / Roma,,Percentage (%),Units,Undefined,,29.0
2018,Attainment at age 7,Reading,,,,White,Any other white background,,Percentage (%),Units,Undefined,,71.0
2016,Attainment at age 7,Maths,,,,White,White British,,Percentage (%),Units,Undefined,,73.0
2016,Attainment at age 7,Maths,,,,White,Irish,,Percentage (%),Units,Undefined,,75.0
2016,Attainment at age 7,Maths,,,,White,Traveller of Irish heritage,,Percentage (%),Units,Undefined,,33.0
2016,Attainment at age 7,Maths,,,,White,Gypsy / Roma,,Percentage (%),Units,Undefined,,29.0
2016,Attainment at age 7,Maths,,,,White,Any other white background,,Percentage (%),Units,Undefined,,71.0
2017,Attainment at age 7,Maths,,,,White,White British,,Percentage (%),Units,Undefined,,76.0
2017,Attainment at age 7,Maths,,,,White,Irish,,Percentage (%),Units,Undefined,,75.0
2017,Attainment at age 7,Maths,,,,White,Traveller of Irish heritage,,Percentage (%),Units,Undefined,,35.0
2017,Attainment at age 7,Maths,,,,White,Gypsy / Roma,,Percentage (%),Units,Undefined,,30.0
2017,Attainment at age 7,Maths,,,,White,Any other white background,,Percentage (%),Units,Undefined,,75.0
2018,Attainment at age 7,Maths,,,,White,White British,,Percentage (%),Units,Undefined,,76.0
2018,Attainment at age 7,Maths,,,,White,Irish,,Percentage (%),Units,Undefined,,76.0
2018,Attainment at age 7,Maths,,,,White,Traveller of Irish heritage,,Percentage (%),Units,Undefined,,36.0
2018,Attainment at age 7,Maths,,,,White,Gypsy / Roma,,Percentage (%),Units,Undefined,,34.0
2018,Attainment at age 7,Maths,,,,White,Any other white background,,Percentage (%),Units,Undefined,,75.0
2016,Attainment at age 7,Reading,,,,Mixed,White and black Caribbean,,Percentage (%),Units,Undefined,,71.0
2016,Attainment at age 7,Reading,,,,Mixed,White and black African,,Percentage (%),Units,Undefined,,77.0
2016,Attainment at age 7,Reading,,,,Mixed,White and Asian,,Percentage (%),Units,Undefined,,81.0
2016,Attainment at age 7,Reading,,,,Mixed,Any other mixed background,,Percentage (%),Units,Undefined,,77.0
2017,Attainment at age 7,Reading,,,,Mixed,White and black Caribbean,,Percentage (%),Units,Undefined,,73.0
2017,Attainment at age 7,Reading,,,,Mixed,White and black African,,Percentage (%),Units,Undefined,,77.0
2017,Attainment at age 7,Reading,,,,Mixed,White and Asian,,Percentage (%),Units,Undefined,,81.0
2017,Attainment at age 7,Reading,,,,Mixed,Any other mixed background,,Percentage (%),Units,Undefined,,79.0
2018,Attainment at age 7,Reading,,,,Mixed,White and black Caribbean,,Percentage (%),Units,Undefined,,72.0
2018,Attainment at age 7,Reading,,,,Mixed,White and black African,,Percentage (%),Units,Undefined,,78.0
2018,Attainment at age 7,Reading,,,,Mixed,White and Asian,,Percentage (%),Units,Undefined,,81.0
2018,Attainment at age 7,Reading,,,,Mixed,Any other mixed background,,Percentage (%),Units,Undefined,,78.0
2016,Attainment at age 7,Maths,,,,Mixed,White and black Caribbean,,Percentage (%),Units,Undefined,,67.0
2016,Attainment at age 7,Maths,,,,Mixed,White and black African,,Percentage (%),Units,Undefined,,74.0
2016,Attainment at age 7,Maths,,,,Mixed,White and Asian,,Percentage (%),Units,Undefined,,79.0
2016,Attainment at age 7,Maths,,,,Mixed,Any other mixed background,,Percentage (%),Units,Undefined,,75.0
2017,Attainment at age 7,Maths,,,,Mixed,White and black Caribbean,,Percentage (%),Units,Undefined,,70.0
2017,Attainment at age 7,Maths,,,,Mixed,White and black African,,Percentage (%),Units,Undefined,,75.0
2017,Attainment at age 7,Maths,,,,Mixed,White and Asian,,Percentage (%),Units,Undefined,,80.0
2017,Attainment at age 7,Maths,,,,Mixed,Any other mixed background,,Percentage (%),Units,Undefined,,77.0
2018,Attainment at age 7,Maths,,,,Mixed,White and black Caribbean,,Percentage (%),Units,Undefined,,71.0
2018,Attainment at age 7,Maths,,,,Mixed,White and black African,,Percentage (%),Units,Undefined,,76.0
2018,Attainment at age 7,Maths,,,,Mixed,White and Asian,,Percentage (%),Units,Undefined,,81.0
2018,Attainment at age 7,Maths,,,,Mixed,Any other mixed background,,Percentage (%),Units,Undefined,,78.0
2016,Attainment at age 7,Reading,,,,Asian,Indian,,Percentage (%),Units,Undefined,,83.0
2016,Attainment at age 7,Reading,,,,Asian,Pakistani,,Percentage (%),Units,Undefined,,71.0
2016,Attainment at age 7,Reading,,,,Asian,Bangladeshi,,Percentage (%),Units,Undefined,,75.0
2016,Attainment at age 7,Reading,,,,Asian,Any other Asian background,,Percentage (%),Units,Undefined,,77.0
2017,Attainment at age 7,Reading,,,,Asian,Indian,,Percentage (%),Units,Undefined,,83.0
2017,Attainment at age 7,Reading,,,,Asian,Pakistani,,Percentage (%),Units,Undefined,,72.0
2017,Attainment at age 7,Reading,,,,Asian,Bangladeshi,,Percentage (%),Units,Undefined,,75.0
2017,Attainment at age 7,Reading,,,,Asian,Any other Asian background,,Percentage (%),Units,Undefined,,78.0
2018,Attainment at age 7,Reading,,,,Asian,Indian,,Percentage (%),Units,Undefined,,84.0
2018,Attainment at age 7,Reading,,,,Asian,Pakistani,,Percentage (%),Units,Undefined,,73.0
2018,Attainment at age 7,Reading,,,,Asian,Bangladeshi,,Percentage (%),Units,Undefined,,77.0
2018,Attainment at age 7,Reading,,,,Asian,Any other Asian background,,Percentage (%),Units,Undefined,,79.0
2016,Attainment at age 7,Maths,,,,Asian,Indian,,Percentage (%),Units,Undefined,,82.0
2016,Attainment at age 7,Maths,,,,Asian,Pakistani,,Percentage (%),Units,Undefined,,69.0
2016,Attainment at age 7,Maths,,,,Asian,Bangladeshi,,Percentage (%),Units,Undefined,,73.0
2016,Attainment at age 7,Maths,,,,Asian,Any other Asian background,,Percentage (%),Units,Undefined,,78.0
2017,Attainment at age 7,Maths,,,,Asian,Indian,,Percentage (%),Units,Undefined,,85.0
2017,Attainment at age 7,Maths,,,,Asian,Pakistani,,Percentage (%),Units,Undefined,,72.0
2017,Attainment at age 7,Maths,,,,Asian,Bangladeshi,,Percentage (%),Units,Undefined,,76.0
2017,Attainment at age 7,Maths,,,,Asian,Any other Asian background,,Percentage (%),Units,Undefined,,79.0
2018,Attainment at age 7,Maths,,,,Asian,Indian,,Percentage (%),Units,Undefined,,85.0
2018,Attainment at age 7,Maths,,,,Asian,Pakistani,,Percentage (%),Units,Undefined,,73.0
2018,Attainment at age 7,Maths,,,,Asian,Bangladeshi,,Percentage (%),Units,Undefined,,78.0
2018,Attainment at age 7,Maths,,,,Asian,Any other Asian background,,Percentage (%),Units,Undefined,,81.0
2016,Attainment at age 7,Reading,,,,Black,Black Caribbean,,Percentage (%),Units,Undefined,,73.0
2016,Attainment at age 7,Reading,,,,Black,Black African,,Percentage (%),Units,Undefined,,77.0
2016,Attainment at age 7,Reading,,,,Black,Any other black background,,Percentage (%),Units,Undefined,,73.0
2017,Attainment at age 7,Reading,,,,Black,Black Caribbean,,Percentage (%),Units,Undefined,,74.0
2017,Attainment at age 7,Reading,,,,Black,Black African,,Percentage (%),Units,Undefined,,78.0
2017,Attainment at age 7,Reading,,,,Black,Any other black background,,Percentage (%),Units,Undefined,,74.0
2018,Attainment at age 7,Reading,,,,Black,Black Caribbean,,Percentage (%),Units,Undefined,,73.0
2018,Attainment at age 7,Reading,,,,Black,Black African,,Percentage (%),Units,Undefined,,78.0
