Year,Country,Sustainably managed status,Observation status,Unit measure,Unit multiplier,GeoCode,Value
2011,Wales,Certified,Undefined,percentage (%),Units,W92000004,6.44293324889871
2012,Wales,Certified,Undefined,percentage (%),Units,W92000004,6.66914914711476
2013,Wales,Certified,Undefined,percentage (%),Units,W92000004,6.77263979200982
2014,Wales,Certified,Undefined,percentage (%),Units,W92000004,6.80542665650539
2015,Wales,Certified,Undefined,percentage (%),Units,W92000004,6.81704765300566
2016,Wales,Certified,Undefined,percentage (%),Units,W92000004,6.81023593951377
2017,Wales,Certified,Undefined,percentage (%),Units,W92000004,6.99748335410929
2018,Wales,Certified,Undefined,percentage (%),Units,W92000004,6.98086520665179
2019,Wales,Certified,Undefined,percentage (%),Units,W92000004,7.05631176123011
2020,Wales,Certified,Undefined,percentage (%),Units,W92000004,7.03705369477438
2021,Wales,Certified,Undefined,percentage (%),Units,W92000004,6.97711290898399
2004,,Certified,Undefined,percentage (%),Units,,4.77851872730541
2005,,Certified,Undefined,percentage (%),Units,,5.17872483401471
2006,,Certified,Undefined,percentage (%),Units,,5.24224521421517
2007,,Certified,Undefined,percentage (%),Units,,5.45815506196717
2008,,Certified,Undefined,percentage (%),Units,,5.39536920616675
2009,,Certified,Undefined,percentage (%),Units,,5.487525252734
2010,,Certified,Undefined,percentage (%),Units,,5.55017795637574
2011,,Certified,Undefined,percentage (%),Units,,5.45458240819545
2012,,Certified,Undefined,percentage (%),Units,,5.6255740684147
2013,,Certified,Undefined,percentage (%),Units,,5.61734123104218
2014,,Certified,Undefined,percentage (%),Units,,5.67257926107395
2015,,Certified,Undefined,percentage (%),Units,,5.6664628786376
2016,,Certified,Undefined,percentage (%),Units,,5.56152889267436
2017,,Certified,Undefined,percentage (%),Units,,5.71815384991481
2018,,Certified,Undefined,percentage (%),Units,,5.66496260424615
2019,,Certified,Undefined,percentage (%),Units,,5.77370864623903
2020,,Certified,Undefined,percentage (%),Units,,5.75344550812665
2021,,Certified,Undefined,percentage (%),Units,,5.8193849266426
2004,England,Non-certified,Undefined,percentage (%),Units,E92000001,7.47048783852482
2005,England,Non-certified,Undefined,percentage (%),Units,E92000001,7.15978466939276
2006,England,Non-certified,Undefined,percentage (%),Units,E92000001,7.10997112401104
2007,England,Non-certified,Undefined,percentage (%),Units,E92000001,7.05359834138586
2008,England,Non-certified,Undefined,percentage (%),Units,E92000001,7.21467851121766
2009,England,Non-certified,Undefined,percentage (%),Units,E92000001,7.17701152077963
2010,England,Non-certified,Undefined,percentage (%),Units,E92000001,7.15739193336855
2011,England,Non-certified,Undefined,percentage (%),Units,E92000001,7.34527473139907
2012,England,Non-certified,Undefined,percentage (%),Units,E92000001,7.2343415310912
2013,England,Non-certified,Undefined,percentage (%),Units,E92000001,7.2402843205271
2014,England,Non-certified,Undefined,percentage (%),Units,E92000001,7.31078365831896
2015,England,Non-certified,Undefined,percentage (%),Units,E92000001,7.28539491641226
2016,England,Non-certified,Undefined,percentage (%),Units,E92000001,7.42912559474082
2017,England,Non-certified,Undefined,percentage (%),Units,E92000001,7.43835029724635
2018,England,Non-certified,Undefined,percentage (%),Units,E92000001,7.48460141299558
2019,England,Non-certified,Undefined,percentage (%),Units,E92000001,7.60499191296283
2020,England,Non-certified,Undefined,percentage (%),Units,E92000001,7.63502890702693
2021,England,Non-certified,Undefined,percentage (%),Units,E92000001,7.70455575367407
2013,Northern Ireland,Non-certified,Undefined,percentage (%),Units,N92000002,3.35918552481439
2014,Northern Ireland,Non-certified,Undefined,percentage (%),Units,N92000002,3.38027745854466
2015,Northern Ireland,Non-certified,Undefined,percentage (%),Units,N92000002,3.3923850927154
2016,Northern Ireland,Non-certified,Undefined,percentage (%),Units,N92000002,3.39489797056186
2017,Northern Ireland,Non-certified,Undefined,percentage (%),Units,N92000002,3.40994043725496
2018,Northern Ireland,Non-certified,Undefined,percentage (%),Units,N92000002,3.4272761121411
2019,Northern Ireland,Non-certified,Undefined,percentage (%),Units,N92000002,3.4432509313852
2020,Northern Ireland,Non-certified,Undefined,percentage (%),Units,N92000002,3.82305402123263
2021,Northern Ireland,Non-certified,Undefined,percentage (%),Units,N92000002,3.8500710645625
2004,Scotland,Non-certified,Undefined,percentage (%),Units,S92000003,8.75846755016258
2005,Scotland,Non-certified,Undefined,percentage (%),Units,S92000003,8.20376126950603
2006,Scotland,Non-certified,Undefined,percentage (%),Units,S92000003,8.18124589708226
2007,Scotland,Non-certified,Undefined,percentage (%),Units,S92000003,7.75151891427525
2008,Scotland,Non-certified,Undefined,percentage (%),Units,S92000003,7.73104203230756
2009,Scotland,Non-certified,Undefined,percentage (%),Units,S92000003,7.63641702087872
2010,Scotland,Non-certified,Undefined,percentage (%),Units,S92000003,7.52025236864567
2011,Scotland,Non-certified,Undefined,percentage (%),Units,S92000003,7.59460655145214
2012,Scotland,Non-certified,Undefined,percentage (%),Units,S92000003,7.64157190511279
2013,Scotland,Non-certified,Undefined,percentage (%),Units,S92000003,7.79144472483953
2014,Scotland,Non-certified,Undefined,percentage (%),Units,S92000003,7.73394556826725
2015,Scotland,Non-certified,Undefined,percentage (%),Units,S92000003,7.93709958336459
2016,Scotland,Non-certified,Undefined,percentage (%),Units,S92000003,8.07011614398115
2017,Scotland,Non-certified,Undefined,percentage (%),Units,S92000003,7.66289491864013
2018,Scotland,Non-certified,Undefined,percentage (%),Units,S92000003,7.86994469606971
2019,Scotland,Non-certified,Undefined,percentage (%),Units,S92000003,7.63364512930864
2020,Scotland,Non-certified,Undefined,percentage (%),Units,S92000003,7.79406864810195
2021,Scotland,Non-certified,Undefined,percentage (%),Units,S92000003,7.61792965508484
2004,Wales,Non-certified,Undefined,percentage (%),Units,W92000004,8.42161161974106
2005,Wales,Non-certified,Undefined,percentage (%),Units,W92000004,8.22527415509595
2006,Wales,Non-certified,Undefined,percentage (%),Units,W92000004,8.25329468561312
2007,Wales,Non-certified,Undefined,percentage (%),Units,W92000004,8.20691701998609
2008,Wales,Non-certified,Undefined,percentage (%),Units,W92000004,8.3412562056355
2009,Wales,Non-certified,Undefined,percentage (%),Units,W92000004,8.16675527495237
2010,Wales,Non-certified,Undefined,percentage (%),Units,W92000004,8.18824460488732
2011,Wales,Non-certified,Undefined,percentage (%),Units,W92000004,8.19626523793691
2012,Wales,Non-certified,Undefined,percentage (%),Units,W92000004,8.01817410250047
2013,Wales,Non-certified,Undefined,percentage (%),Units,W92000004,8.00353413146348
2014,Wales,Non-certified,Undefined,percentage (%),Units,W92000004,7.9430464106
2015,Wales,Non-certified,Undefined,percentage (%),Units,W92000004,7.93925583783406
2016,Wales,Non-certified,Undefined,percentage (%),Units,W92000004,7.9750342234997
2017,Wales,Non-certified,Undefined,percentage (%),Units,W92000004,7.83950589324441
2018,Wales,Non-certified,Undefined,percentage (%),Units,W92000004,7.89822996024492
2019,Wales,Non-certified,Undefined,percentage (%),Units,W92000004,7.88953625520936
2020,Wales,Non-certified,Undefined,percentage (%),Units,W92000004,7.91326216710886
2021,Wales,Non-certified,Undefined,percentage (%),Units,W92000004,7.98728101570688
2013,,Non-certified,Undefined,percentage (%),Units,,7.26183624100874
2014,,Non-certified,Undefined,percentage (%),Units,,7.27726067864457
2015,,Non-certified,Undefined,percentage (%),Units,,7.32919237120227
2016,,Non-certified,Undefined,percentage (%),Units,,7.45223844576177
2017,,Non-certified,Undefined,percentage (%),Units,,7.31578064581233
2018,,Non-certified,Undefined,percentage (%),Units,,7.41305835466259
2019,,Non-certified,Undefined,percentage (%),Units,,7.40201831478485
2020,,Non-certified,Undefined,percentage (%),Units,,7.49323455770128
2021,,Non-certified,Undefined,percentage (%),Units,,7.4818896851399
2004,England,,Undefined,percentage (%),Units,E92000001,9.75934877735089
2005,England,,Undefined,percentage (%),Units,E92000001,9.79733307758894
2006,England,,Undefined,percentage (%),Units,E92000001,9.82331736643677
2007,England,,Undefined,percentage (%),Units,E92000001,9.84587133120361
2008,England,,Undefined,percentage (%),Units,E92000001,9.86424318085792
2009,England,,Undefined,percentage (%),Units,E92000001,9.88207435397496
2010,England,,Undefined,percentage (%),Units,E92000001,9.89830498131614
2011,England,,Undefined,percentage (%),Units,E92000001,9.91773549643118
2012,England,,Undefined,percentage (%),Units,E92000001,9.95840236742624
2013,England,,Undefined,percentage (%),Units,E92000001,9.9625453200573
2014,England,,Undefined,percentage (%),Units,E92000001,9.99085422082075
2015,England,,Undefined,percentage (%),Units,E92000001,10.0148361961853
2016,England,,Undefined,percentage (%),Units,E92000001,10.0166976856168
2017,England,,Undefined,percentage (%),Units,E92000001,10.0235539014995
2018,England,,Undefined,percentage (%),Units,E92000001,10.0336006830557
2019,England,,Undefined,percentage (%),Units,E92000001,10.098086080415
2020,England,,Undefined,percentage (%),Units,E92000001,10.1162598590323
2021,England,,Undefined,percentage (%),Units,E92000001,10.1329770095103
2013,Northern Ireland,,Undefined,percentage (%),Units,N92000002,8.04874919221417
2014,Northern Ireland,,Undefined,percentage (%),Units,N92000002,8.08115705134186
2015,Northern Ireland,,Undefined,percentage (%),Units,N92000002,8.11370991207639
2016,Northern Ireland,,Undefined,percentage (%),Units,N92000002,8.12639755267448
2017,Northern Ireland,,Undefined,percentage (%),Units,N92000002,8.14749528646902
2018,Northern Ireland,,Undefined,percentage (%),Units,N92000002,8.16482297848584
2019,Northern Ireland,,Undefined,percentage (%),Units,N92000002,8.19295329021189
2020,Northern Ireland,,Undefined,percentage (%),Units,N92000002,8.58271760938519
2021,Northern Ireland,,Undefined,percentage (%),Units,N92000002,8.59178020981239
2004,Scotland,,Undefined,percentage (%),Units,S92000003,17.3579061142151
2005,Scotland,,Undefined,percentage (%),Units,S92000003,17.4295082661224
2006,Scotland,,Undefined,percentage (%),Units,S92000003,17.4797855492923
2007,Scotland,,Undefined,percentage (%),Units,S92000003,17.5628054031603
2008,Scotland,,Undefined,percentage (%),Units,S92000003,17.6154782070801
2009,Scotland,,Undefined,percentage (%),Units,S92000003,17.658747554212
2010,Scotland,,Undefined,percentage (%),Units,S92000003,17.6929143136392
2011,Scotland,,Undefined,percentage (%),Units,S92000003,17.7584073027245
2012,Scotland,,Undefined,percentage (%),Units,S92000003,18.0102693083906
2013,Scotland,,Undefined,percentage (%),Units,S92000003,18.1083026854407
2014,Scotland,,Undefined,percentage (%),Units,S92000003,18.282768985281
2015,Scotland,,Undefined,percentage (%),Units,S92000003,18.3775655955834
2016,Scotland,,Undefined,percentage (%),Units,S92000003,18.4209321050673
2017,Scotland,,Undefined,percentage (%),Units,S92000003,18.4548017363675
2018,Scotland,,Undefined,percentage (%),Units,S92000003,18.5610934415395
2019,Scotland,,Undefined,percentage (%),Units,S92000003,18.7349277655113
2020,Scotland,,Undefined,percentage (%),Units,S92000003,18.8554181323569
2021,Scotland,,Undefined,percentage (%),Units,S92000003,18.9922192512565
2004,Wales,,Undefined,percentage (%),Units,W92000004,14.5293381512607
2005,Wales,,Undefined,percentage (%),Units,W92000004,14.5542345530977
2006,Wales,,Undefined,percentage (%),Units,W92000004,14.5770044436192
2007,Wales,,Undefined,percentage (%),Units,W92000004,14.6008471533612
2008,Wales,,Undefined,percentage (%),Units,W92000004,14.6085848233784
2009,Wales,,Undefined,percentage (%),Units,W92000004,14.6161452486987
2010,Wales,,Undefined,percentage (%),Units,W92000004,14.6248894305677
2011,Wales,,Undefined,percentage (%),Units,W92000004,14.6391984868356
2012,Wales,,Undefined,percentage (%),Units,W92000004,14.6873232496152
2013,Wales,,Undefined,percentage (%),Units,W92000004,14.7761739234733
2014,Wales,,Undefined,percentage (%),Units,W92000004,14.7484730671054
2015,Wales,,Undefined,percentage (%),Units,W92000004,14.7563034908397
2016,Wales,,Undefined,percentage (%),Units,W92000004,14.7852701630135
2017,Wales,,Undefined,percentage (%),Units,W92000004,14.8369892473537
2018,Wales,,Undefined,percentage (%),Units,W92000004,14.8790951668967
2019,Wales,,Undefined,percentage (%),Units,W92000004,14.9458480164395
2020,Wales,,Undefined,percentage (%),Units,W92000004,14.9503158618832
2021,Wales,,Undefined,percentage (%),Units,W92000004,14.9643939246909
2013,,,Undefined,percentage (%),Units,,12.8791774720509
2014,,,Undefined,percentage (%),Units,,12.9498399397185
2015,,,Undefined,percentage (%),Units,,12.9956552498399
2016,,,Undefined,percentage (%),Units,,13.0137673384361
2017,,,Undefined,percentage (%),Units,,13.0339344957271
2018,,,Undefined,percentage (%),Units,,13.0780209589087
2019,,,Undefined,percentage (%),Units,,13.1757269610239
2020,,,Undefined,percentage (%),Units,,13.2466800658279
2021,,,Undefined,percentage (%),Units,,13.3012746117825
