Year,Units,Type of sexual assault,Age,Place of occurrence,Ethnicity,Ethnic group,Disability status,Region,Household income,Highest qualification,Relationship with perpetrator,Frequency of sexual assault,GeoCode,Value
2008/09,Percentage (%),Rape or assault by penetration (excluding attempts),,,,,,,,,,,,0.7435811723810799
2009/10,Percentage (%),Rape or assault by penetration (excluding attempts),,,,,,,,,,,,0.7326044224322291
2010/11,Percentage (%),Rape or assault by penetration (excluding attempts),,,,,,,,,,,,1.0239826158392
2011/12,Percentage (%),Rape or assault by penetration (excluding attempts),,,,,,,,,,,,0.7693784224796758
2012/13,Percentage (%),Rape or assault by penetration (excluding attempts),,,,,,,,,,,,0.563379775720515
2013/14,Percentage (%),Rape or assault by penetration (excluding attempts),,,,,,,,,,,,0.417947563840658
2014/15,Percentage (%),Rape or assault by penetration (excluding attempts),,,,,,,,,,,,0.372734662112618
2015/16,Percentage (%),Rape or assault by penetration (excluding attempts),,,,,,,,,,,,0.448260265330201
2016/17,Percentage (%),Rape or assault by penetration (excluding attempts),,,,,,,,,,,,0.5570527652116679
2004/05,Percentage (%),Indecent exposure or unwanted touching,,,,,,,,,,,,3.4319645378623505
2005/06,Percentage (%),Indecent exposure or unwanted touching,,,,,,,,,,,,3.88884977847294
2006/07,Percentage (%),Indecent exposure or unwanted touching,,,,,,,,,,,,3.96781856193896
2007/08,Percentage (%),Indecent exposure or unwanted touching,,,,,,,,,,,,3.5428076108685804
2008/09,Percentage (%),Indecent exposure or unwanted touching,,,,,,,,,,,,2.97965005603573
2009/10,Percentage (%),Indecent exposure or unwanted touching,,,,,,,,,,,,2.7505176563159197
2010/11,Percentage (%),Indecent exposure or unwanted touching,,,,,,,,,,,,2.9241257833519
2011/12,Percentage (%),Indecent exposure or unwanted touching,,,,,,,,,,,,3.3450652048261
2012/13,Percentage (%),Indecent exposure or unwanted touching,,,,,,,,,,,,2.3453355670110603
2013/14,Percentage (%),Indecent exposure or unwanted touching,,,,,,,,,,,,1.81329734758378
2014/15,Percentage (%),Indecent exposure or unwanted touching,,,,,,,,,,,,2.37010363034848
2015/16,Percentage (%),Indecent exposure or unwanted touching,,,,,,,,,,,,2.82457269025702
2016/17,Percentage (%),Indecent exposure or unwanted touching,,,,,,,,,,,,2.67349397329834
2016/17,Percentage (%),,16 to 19,,,,,,,,,,,8.763125514630211
2016/17,Percentage (%),,20 to 24,,,,,,,,,,,7.20293266111977
2016/17,Percentage (%),,25 to 34,,,,,,,,,,,3.2431032491484304
2016/17,Percentage (%),,35 to 44,,,,,,,,,,,1.73740430128504
2016/17,Percentage (%),,45 to 54,,,,,,,,,,,1.32670004683913
2016/17,Percentage (%),,55 to 59,,,,,,,,,,,1.1808262038730402
2016/17,Percentage (%),,,In own home,,,,,,,,,,38.786403946389605
2016/17,Percentage (%),,,At the offender's home,,,,,,,,,,23.4470484590445
2016/17,Percentage (%),,,In a park/other open public place,,,,,,,,,,5.55589406899073
2016/17,Percentage (%),,,In a pub/club/disco,,,,,,,,,,3.89637426722419
2016/17,Percentage (%),,,On the street,,,,,,,,,,3.4242749676931203
2016/17,Percentage (%),,,At school/university/place of study,,,,,,,,,,2.9921625676921
2016/17,Percentage (%),,,In a car park,,,,,,,,,,1.2811040954201598
2016/17,Percentage (%),,,At work,,,,,,,,,,0.8171291183332949
2016/17,Percentage (%),,,On public transport,,,,,,,,,,0.20310806110506
2016/17,Percentage (%),,,Somewhere else,,,,,,,,,,19.5965004481071
2016/17,Percentage (%),,,,White,,,,,,,,,3.09793565278408
2016/17,Percentage (%),,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,,,,3.0604976418115
2016/17,Percentage (%),,,,White,Irish,,,,,,,,0.0
2016/17,Percentage (%),,,,White,Any other white background,,,,,,,,3.70442742420943
2016/17,Percentage (%),,,,Mixed,,,,,,,,,8.62659119414787
2016/17,Percentage (%),,,,Mixed,White and Black Caribbean,,,,,,,,1.5191878427335102
2016/17,Percentage (%),,,,Asian or Asian British,,,,,,,,,1.47119861319926
2016/17,Percentage (%),,,,Asian or Asian British,Indian,,,,,,,,1.38629727985519
2016/17,Percentage (%),,,,Asian or Asian British,Pakistani,,,,,,,,2.66233454227889
2016/17,Percentage (%),,,,Asian or Asian British,Bangladeshi,,,,,,,,0.0
2016/17,Percentage (%),,,,Asian or Asian British,Chinese,,,,,,,,1.5840120521168302
2016/17,Percentage (%),,,,Asian or Asian British,Any other Asian background,,,,,,,,0.7312225050093258
2016/17,Percentage (%),,,,Black or Black British,,,,,,,,,3.77739492578194
2016/17,Percentage (%),,,,Black or Black British,African,,,,,,,,2.92999873687238
2016/17,Percentage (%),,,,Black or Black British,Caribbean,,,,,,,,7.49803377912905
2016/17,Percentage (%),,,,Other ethnic group,,,,,,,,,3.31876277249554
2016/17,Percentage (%),,,,Other ethnic group,Any other ethnic group,,,,,,,,2.48271334537793
2016/17,Percentage (%),,,,,,Long-standing illness or disability,,,,,,,5.3204258502347805
2016/17,Percentage (%),,,,,,Long-standing illness or disability - Limits activities,,,,,,,5.04686881283446
2016/17,Percentage (%),,,,,,Long-standing illness or disability - Does not limit activities,,,,,,,6.2647559419654
2016/17,Percentage (%),,,,,,No long-standing illness or disability,,,,,,,2.66982555143505
2016/17,Percentage (%),,,,,,,North East,,,,,E12000001,5.474557499415621
2016/17,Percentage (%),,,,,,,North West,,,,,E12000002,2.20292970501806
2016/17,Percentage (%),,,,,,,Yorkshire and The Humber,,,,,E12000003,2.12773454390767
2016/17,Percentage (%),,,,,,,East Midlands,,,,,E12000004,2.81482627125337
2016/17,Percentage (%),,,,,,,West Midlands,,,,,E12000005,2.76547118892744
2016/17,Percentage (%),,,,,,,East of England,,,,,E12000006,2.51840804153813
2016/17,Percentage (%),,,,,,,London,,,,,E12000007,3.4231515132196098
2016/17,Percentage (%),,,,,,,South East,,,,,E12000008,3.32452519468005
2016/17,Percentage (%),,,,,,,South West,,,,,E12000009,3.91218093297578
2016/17,Percentage (%),,,,,,,Wales,,,,,W92000004,3.3866776831105603
2016/17,Percentage (%),,,,,,,,"Less than £10,000",,,,,2.7808374133122795
2016/17,Percentage (%),,,,,,,,"£10,000 to less than £20,000",,,,,2.65298389992482
2016/17,Percentage (%),,,,,,,,"£20,000 to less than £30,000",,,,,3.2768996785163904
2016/17,Percentage (%),,,,,,,,"£30,000 to less than £40,000",,,,,2.3270991563346
2016/17,Percentage (%),,,,,,,,"£40,000 to less than £50,000",,,,,2.55963681765362
2016/17,Percentage (%),,,,,,,,"£50,000 or more",,,,,2.85846875153692
2016/17,Percentage (%),,,,,,,,No income stated or not enough information provided,,,,,4.56479123863908
2016/17,Percentage (%),,,,,,,,,Degree or diploma,,,,3.05646935431306
2016/17,Percentage (%),,,,,,,,,Apprenticeship or A/AS level,,,,5.36424473479569
2016/17,Percentage (%),,,,,,,,,O level/GCSE,,,,1.99421068819884
2016/17,Percentage (%),,,,,,,,,Other,,,,2.42907868578994
2016/17,Percentage (%),,,,,,,,,No qualifications,,,,1.5068704429008002
2016/17,Percentage (%),,,,,,,,,,Partner/ex-partner,,,45.1838083791801
2016/17,Percentage (%),,,,,,,,,,Other known,,,38.0759596551431
2016/17,Percentage (%),,,,,,,,,,Stranger,,,13.3322169748493
2016/17,Percentage (%),,,,,,,,,,Family member,,,4.75211208664416
2016/17,Percentage (%),,,,,,,,,,,Once,,51.4994539545532
2016/17,Percentage (%),,,,,,,,,,,Twice,,21.589321193142098
2016/17,Percentage (%),,,,,,,,,,,Three times,,6.090446178339749
2016/17,Percentage (%),,,,,,,,,,,More than three times,,20.8207786739648
2016/17,Percentage (%),,,,,,,,,,Stranger,,,13.332216974849393
2016/17,Percentage (%),,,,,,,,,,Family member,,,4.752112086644164
2016/17,Percentage (%),,,,,,,,,,,Once,,51.499453954553225
2016/17,Percentage (%),,,,,,,,,,,Twice,,21.589321193142194
2016/17,Percentage (%),,,,,,,,,,,Three times,,6.090446178339759
2016/17,Percentage (%),,,,,,,,,,,More than three times,,20.820778673964817
