Year,Age,Sex,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2011/12,1 to 4,,"Rate per 100,000 population",Units,Undefined,,0.6447915174093709
2012/13,1 to 4,Female,"Rate per 100,000 population",Units,Undefined,,0.5046499891860716
2012/13,1 to 4,Male,"Rate per 100,000 population",Units,Undefined,,0.9627286480539127
2012/13,1 to 4,,"Rate per 100,000 population",Units,Undefined,,0.7390983000739098
2013/14,1 to 4,Female,"Rate per 100,000 population",Units,Undefined,,0.8532259406282728
2013/14,1 to 4,Male,"Rate per 100,000 population",Units,Undefined,,0.40662721027302984
2013/14,1 to 4,,"Rate per 100,000 population",Units,Undefined,,0.6245706077072013
2014/15,1 to 4,Female,"Rate per 100,000 population",Units,Undefined,,0.42264116919453054
2014/15,1 to 4,Male,"Rate per 100,000 population",Units,Undefined,,0.46942847083675626
2014/15,1 to 4,,"Rate per 100,000 population",Units,Undefined,,0.44660969988171717
2015/16,1 to 4,Female,"Rate per 100,000 population",Units,Undefined,,0.3518653791208714
2015/16,1 to 4,Male,"Rate per 100,000 population",Units,Undefined,,
2015/16,1 to 4,,"Rate per 100,000 population",Units,Undefined,,0.2745288998288656
2016/17,1 to 4,Female,"Rate per 100,000 population",Units,Undefined,,
2016/17,1 to 4,Male,"Rate per 100,000 population",Units,Undefined,,0.5383105527036312
2016/17,1 to 4,,"Rate per 100,000 population",Units,Undefined,,0.4138132233325827
2017/18,1 to 4,Female,"Rate per 100,000 population",Units,Undefined,,0.5720786980060912
2017/18,1 to 4,Male,"Rate per 100,000 population",Units,Undefined,,0.47578169232829215
2017/18,1 to 4,,"Rate per 100,000 population",Units,Undefined,,0.5227078216604546
2018/19,1 to 4,Female,"Rate per 100,000 population",Units,Undefined,,0.865333860225506
2018/19,1 to 4,Male,"Rate per 100,000 population",Units,Undefined,,0.4112729927307498
2018/19,1 to 4,,"Rate per 100,000 population",Units,Undefined,,0.6325481887509738
2019/20,1 to 4,Female,"Rate per 100,000 population",Units,Undefined,,0.36452607236279966
2019/20,1 to 4,Male,"Rate per 100,000 population",Units,Undefined,,0.4154701702804493
2019/20,1 to 4,,"Rate per 100,000 population",Units,Undefined,,0.3906539938511061
2020/21,1 to 4,Female,"Rate per 100,000 population",Units,Undefined,,0.8157139128164971
2020/21,1 to 4,Male,"Rate per 100,000 population",Units,Undefined,,0.4926240110572978
2020/21,1 to 4,,"Rate per 100,000 population",Units,Undefined,,0.6499429133474444
2009/10,5 to 15,Female,"Rate per 100,000 population",Units,Undefined,,0.08692124934809063
2009/10,5 to 15,Male,"Rate per 100,000 population",Units,Undefined,,0.19309812143113292
2009/10,5 to 15,,"Rate per 100,000 population",Units,Undefined,,0.14131279587366635
2010/11,5 to 15,Female,"Rate per 100,000 population",Units,Undefined,,0.23224757591592637
2010/11,5 to 15,Male,"Rate per 100,000 population",Units,Undefined,,0.4149262814306659
2010/11,5 to 15,,"Rate per 100,000 population",Units,Undefined,,0.3257928807173109
2011/12,5 to 15,Female,"Rate per 100,000 population",Units,Undefined,,0.20275162925416365
2011/12,5 to 15,Male,"Rate per 100,000 population",Units,Undefined,,0.19303954552975566
2011/12,5 to 15,,"Rate per 100,000 population",Units,Undefined,,0.19777642787517483
2012/13,5 to 15,Female,"Rate per 100,000 population",Units,Undefined,,0.2592613930978856
2012/13,5 to 15,Male,"Rate per 100,000 population",Units,Undefined,,0.38438306518038545
2012/13,5 to 15,,"Rate per 100,000 population",Units,Undefined,,0.32332433648223124
2013/14,5 to 15,Female,"Rate per 100,000 population",Units,Undefined,,0.1428792279035131
2013/14,5 to 15,Male,"Rate per 100,000 population",Units,Undefined,,0.16339704638052394
2013/14,5 to 15,,"Rate per 100,000 population",Units,Undefined,,0.1533850119974968
2014/15,5 to 15,Female,"Rate per 100,000 population",Units,Undefined,,0.19784434454875238
2014/15,5 to 15,Male,"Rate per 100,000 population",Units,Undefined,,0.24248106627007543
2014/15,5 to 15,,"Rate per 100,000 population",Units,Undefined,,0.22069680879311263
2015/16,5 to 15,Female,"Rate per 100,000 population",Units,Undefined,,0.1951666151333866
2015/16,5 to 15,Male,"Rate per 100,000 population",Units,Undefined,,0.18601576031816136
2015/16,5 to 15,,"Rate per 100,000 population",Units,Undefined,,0.1904813477262854
2016/17,5 to 15,Female,"Rate per 100,000 population",Units,Undefined,,0.2738867598758088
2016/17,5 to 15,Male,"Rate per 100,000 population",Units,Undefined,,0.5218215328611893
2016/17,5 to 15,,"Rate per 100,000 population",Units,Undefined,,0.40086201367420504
2017/18,5 to 15,Female,"Rate per 100,000 population",Units,Undefined,,0.5366161362082006
2017/18,5 to 15,Male,"Rate per 100,000 population",Units,Undefined,,0.3576411826887362
2017/18,5 to 15,,"Rate per 100,000 population",Units,Undefined,,0.4449331730003558
2018/19,5 to 15,Female,"Rate per 100,000 population",Units,Undefined,,0.13150478559065243
2018/19,5 to 15,Male,"Rate per 100,000 population",Units,Undefined,,0.3004812206749109
2018/19,5 to 15,,"Rate per 100,000 population",Units,Undefined,,0.21806790044353724
2019/20,5 to 15,Female,"Rate per 100,000 population",Units,Undefined,,
2019/20,5 to 15,Male,"Rate per 100,000 population",Units,Undefined,,0.3451496975872311
2019/20,5 to 15,,"Rate per 100,000 population",Units,Undefined,,0.18950556104068872
2020/21,5 to 15,Female,"Rate per 100,000 population",Units,Undefined,,
2020/21,5 to 15,Male,"Rate per 100,000 population",Units,Undefined,,0.29203389929503015
2020/21,5 to 15,,"Rate per 100,000 population",Units,Undefined,,0.18716819757774406
2009/10,16 to 24,Female,"Rate per 100,000 population",Units,Undefined,,0.6158014656074882
2009/10,16 to 24,Male,"Rate per 100,000 population",Units,Undefined,,2.7358117761498013
2009/10,16 to 24,,"Rate per 100,000 population",Units,Undefined,,1.6826003824091778
2010/11,16 to 24,Female,"Rate per 100,000 population",Units,Undefined,,0.67538527660097
2010/11,16 to 24,Male,"Rate per 100,000 population",Units,Undefined,,2.5187406296851576
2010/11,16 to 24,,"Rate per 100,000 population",Units,Undefined,,1.6079121412535646
2011/12,16 to 24,Female,"Rate per 100,000 population",Units,Undefined,,1.0079413561392792
2011/12,16 to 24,Male,"Rate per 100,000 population",Units,Undefined,,1.925811803744963
2011/12,16 to 24,,"Rate per 100,000 population",Units,Undefined,,1.4738615171749985
2012/13,16 to 24,Female,"Rate per 100,000 population",Units,Undefined,,0.5834484876401044
2012/13,16 to 24,Male,"Rate per 100,000 population",Units,Undefined,,2.0115367549179117
2012/13,16 to 24,,"Rate per 100,000 population",Units,Undefined,,1.310833207774597
2013/14,16 to 24,Female,"Rate per 100,000 population",Units,Undefined,,0.7424267827987139
2013/14,16 to 24,Male,"Rate per 100,000 population",Units,Undefined,,2.1374162733969153
2013/14,16 to 24,,"Rate per 100,000 population",Units,Undefined,,1.4542821413395606
2014/15,16 to 24,Female,"Rate per 100,000 population",Units,Undefined,,0.5909845616169835
2014/15,16 to 24,Male,"Rate per 100,000 population",Units,Undefined,,1.9907936194767362
2014/15,16 to 24,,"Rate per 100,000 population",Units,Undefined,,1.3068983260456022
2015/16,16 to 24,Female,"Rate per 100,000 population",Units,Undefined,,0.49982896477611566
2015/16,16 to 24,Male,"Rate per 100,000 population",Units,Undefined,,2.055180708465468
2015/16,16 to 24,,"Rate per 100,000 population",Units,Undefined,,1.2960351692103518
2016/17,16 to 24,Female,"Rate per 100,000 population",Units,Undefined,,0.6639201449495753
2016/17,16 to 24,Male,"Rate per 100,000 population",Units,Undefined,,3.8986670457370627
2016/17,16 to 24,,"Rate per 100,000 population",Units,Undefined,,2.323969327298606
2017/18,16 to 24,Female,"Rate per 100,000 population",Units,Undefined,,0.9304396872952632
2017/18,16 to 24,Male,"Rate per 100,000 population",Units,Undefined,,3.5828081078340226
2017/18,16 to 24,,"Rate per 100,000 population",Units,Undefined,,2.2931801135420553
2018/19,16 to 24,Female,"Rate per 100,000 population",Units,Undefined,,0.5185952033833151
2018/19,16 to 24,Male,"Rate per 100,000 population",Units,Undefined,,2.9079893794105782
2018/19,16 to 24,,"Rate per 100,000 population",Units,Undefined,,1.7474480960687138
2019/20,16 to 24,Female,"Rate per 100,000 population",Units,Undefined,,0.5890281722357644
2019/20,16 to 24,Male,"Rate per 100,000 population",Units,Undefined,,3.7669237540668115
2019/20,16 to 24,,"Rate per 100,000 population",Units,Undefined,,2.240015962893897
2020/21,16 to 24,Female,"Rate per 100,000 population",Units,Undefined,,0.32791669604253737
2020/21,16 to 24,Male,"Rate per 100,000 population",Units,Undefined,,2.5872535871962983
2020/21,16 to 24,,"Rate per 100,000 population",Units,Undefined,,1.4929542881220716
2009/10,25 to 34,Female,"Rate per 100,000 population",Units,Undefined,,0.8749863283386198
2009/10,25 to 34,Male,"Rate per 100,000 population",Units,Undefined,,2.3776338443879643
2009/10,25 to 34,,"Rate per 100,000 population",Units,Undefined,,1.6265052007162093
2010/11,25 to 34,Female,"Rate per 100,000 population",Units,Undefined,,1.0496003444842157
2010/11,25 to 34,Male,"Rate per 100,000 population",Units,Undefined,,2.268431001890359
2010/11,25 to 34,,"Rate per 100,000 population",Units,Undefined,,1.6579724210441185
2011/12,25 to 34,Female,"Rate per 100,000 population",Units,Undefined,,0.7682933290944736
2011/12,25 to 34,Male,"Rate per 100,000 population",Units,Undefined,,2.0939910408990907
2011/12,25 to 34,,"Rate per 100,000 population",Units,Undefined,,1.4309753156758045
2012/13,25 to 34,Female,"Rate per 100,000 population",Units,Undefined,,0.7321409894362515
2012/13,25 to 34,Male,"Rate per 100,000 population",Units,Undefined,,1.8128316956544583
2012/13,25 to 34,,"Rate per 100,000 population",Units,Undefined,,1.271197546719786
2013/14,25 to 34,Female,"Rate per 100,000 population",Units,Undefined,,0.7218336637440996
2013/14,25 to 34,Male,"Rate per 100,000 population",Units,Undefined,,1.7104281434883355
2013/14,25 to 34,,"Rate per 100,000 population",Units,Undefined,,1.2148323796252964
2014/15,25 to 34,Female,"Rate per 100,000 population",Units,Undefined,,0.5632591196772012
2014/15,25 to 34,Male,"Rate per 100,000 population",Units,Undefined,,1.361094874989856
2014/15,25 to 34,,"Rate per 100,000 population",Units,Undefined,,0.9615675551208985
2015/16,25 to 34,Female,"Rate per 100,000 population",Units,Undefined,,0.6874211852516077
2015/16,25 to 34,Male,"Rate per 100,000 population",Units,Undefined,,1.8550080006749181
2015/16,25 to 34,,"Rate per 100,000 population",Units,Undefined,,1.271776631257014
2016/17,25 to 34,Female,"Rate per 100,000 population",Units,Undefined,,0.6832374523441878
2016/17,25 to 34,Male,"Rate per 100,000 population",Units,Undefined,,2.6545625293473156
2016/17,25 to 34,,"Rate per 100,000 population",Units,Undefined,,1.6740300915090298
2017/18,25 to 34,Female,"Rate per 100,000 population",Units,Undefined,,1.0078651274886394
2017/18,25 to 34,Male,"Rate per 100,000 population",Units,Undefined,,2.3442507250967006
2017/18,25 to 34,,"Rate per 100,000 population",Units,Undefined,,1.6794936953185367
2018/19,25 to 34,Female,"Rate per 100,000 population",Units,Undefined,,0.9563309106283597
2018/19,25 to 34,Male,"Rate per 100,000 population",Units,Undefined,,2.335530222506461
2018/19,25 to 34,,"Rate per 100,000 population",Units,Undefined,,1.650350286848384
2019/20,25 to 34,Female,"Rate per 100,000 population",Units,Undefined,,0.8555411259877411
2019/20,25 to 34,Male,"Rate per 100,000 population",Units,Undefined,,2.477403601748452
2019/20,25 to 34,,"Rate per 100,000 population",Units,Undefined,,1.672788364683343
2020/21,25 to 34,Female,"Rate per 100,000 population",Units,Undefined,,0.9103214522054687
2020/21,25 to 34,Male,"Rate per 100,000 population",Units,Undefined,,2.1748349843955586
2020/21,25 to 34,,"Rate per 100,000 population",Units,Undefined,,1.5498196397394255
2009/10,35 to 44,Female,"Rate per 100,000 population",Units,Undefined,,1.1564391516165542
2009/10,35 to 44,Male,"Rate per 100,000 population",Units,Undefined,,1.8712574850299402
2009/10,35 to 44,,"Rate per 100,000 population",Units,Undefined,,1.5113599762146626
2010/11,35 to 44,Female,"Rate per 100,000 population",Units,Undefined,,1.1502012852249144
2010/11,35 to 44,Male,"Rate per 100,000 population",Units,Undefined,,2.2078416444613627
2010/11,35 to 44,,"Rate per 100,000 population",Units,Undefined,,1.6751051663769867
2011/12,35 to 44,Female,"Rate per 100,000 population",Units,Undefined,,0.6622179206357293
2011/12,35 to 44,Male,"Rate per 100,000 population",Units,Undefined,,2.2473651580905147
2011/12,35 to 44,,"Rate per 100,000 population",Units,Undefined,,1.4492010157231898
2012/13,35 to 44,Female,"Rate per 100,000 population",Units,Undefined,,0.6231500233681259
2012/13,35 to 44,Male,"Rate per 100,000 population",Units,Undefined,,2.001896533558108
2012/13,35 to 44,,"Rate per 100,000 population",Units,Undefined,,1.3075655744135568
2013/14,35 to 44,Female,"Rate per 100,000 population",Units,Undefined,,0.6070164770663896
2013/14,35 to 44,Male,"Rate per 100,000 population",Units,Undefined,,1.7904519207540637
2013/14,35 to 44,,"Rate per 100,000 population",Units,Undefined,,1.1950451833305538
2014/15,35 to 44,Female,"Rate per 100,000 population",Units,Undefined,,0.8788282290279626
2014/15,35 to 44,Male,"Rate per 100,000 population",Units,Undefined,,1.4813972862417786
2014/15,35 to 44,,"Rate per 100,000 population",Units,Undefined,,1.178406609468417
2015/16,35 to 44,Female,"Rate per 100,000 population",Units,Undefined,,0.7990652002577252
2015/16,35 to 44,Male,"Rate per 100,000 population",Units,Undefined,,1.938849755839573
2015/16,35 to 44,,"Rate per 100,000 population",Units,Undefined,,1.3658405161591654
2016/17,35 to 44,Female,"Rate per 100,000 population",Units,Undefined,,1.0154302645249282
2016/17,35 to 44,Male,"Rate per 100,000 population",Units,Undefined,,2.212485487309372
2016/17,35 to 44,,"Rate per 100,000 population",Units,Undefined,,1.611063711528302
2017/18,35 to 44,Female,"Rate per 100,000 population",Units,Undefined,,0.7753152458524644
2017/18,35 to 44,Male,"Rate per 100,000 population",Units,Undefined,,2.352629401377505
2017/18,35 to 44,,"Rate per 100,000 population",Units,Undefined,,1.5594743173401175
2018/19,35 to 44,Female,"Rate per 100,000 population",Units,Undefined,,0.8789778074085044
2018/19,35 to 44,Male,"Rate per 100,000 population",Units,Undefined,,1.8076376738670903
2018/19,35 to 44,,"Rate per 100,000 population",Units,Undefined,,1.3403287772877535
2019/20,35 to 44,Female,"Rate per 100,000 population",Units,Undefined,,0.8205332354340131
2019/20,35 to 44,Male,"Rate per 100,000 population",Units,Undefined,,2.604457542509043
2019/20,35 to 44,,"Rate per 100,000 population",Units,Undefined,,1.7061172968970655
2020/21,35 to 44,Female,"Rate per 100,000 population",Units,Undefined,,0.7343185615538601
2020/21,35 to 44,Male,"Rate per 100,000 population",Units,Undefined,,1.8881693161316675
2020/21,35 to 44,,"Rate per 100,000 population",Units,Undefined,,1.3072214743477593
2009/10,45 to 54,Female,"Rate per 100,000 population",Units,Undefined,,0.5633500549936958
2009/10,45 to 54,Male,"Rate per 100,000 population",Units,Undefined,,1.661944202266783
2009/10,45 to 54,,"Rate per 100,000 population",Units,Undefined,,1.1083926954217975
2010/11,45 to 54,Female,"Rate per 100,000 population",Units,Undefined,,0.4973952197701511
2010/11,45 to 54,Male,"Rate per 100,000 population",Units,Undefined,,1.8351551902976144
2010/11,45 to 54,,"Rate per 100,000 population",Units,Undefined,,1.1609805008047707
2011/12,45 to 54,Female,"Rate per 100,000 population",Units,Undefined,,0.6402376562179882
2011/12,45 to 54,Male,"Rate per 100,000 population",Units,Undefined,,1.0175063268021602
2011/12,45 to 54,,"Rate per 100,000 population",Units,Undefined,,0.8271191697791334
2012/13,45 to 54,Female,"Rate per 100,000 population",Units,Undefined,,0.5534451963472617
2012/13,45 to 54,Male,"Rate per 100,000 population",Units,Undefined,,1.6933063088488083
2012/13,45 to 54,,"Rate per 100,000 population",Units,Undefined,,1.1177725840869832
2013/14,45 to 54,Female,"Rate per 100,000 population",Units,Undefined,,0.620322920261955
2013/14,45 to 54,Male,"Rate per 100,000 population",Units,Undefined,,1.4453574990345266
2013/14,45 to 54,,"Rate per 100,000 population",Units,Undefined,,1.0283653255277896
2014/15,45 to 54,Female,"Rate per 100,000 population",Units,Undefined,,0.8085066661374624
2014/15,45 to 54,Male,"Rate per 100,000 population",Units,Undefined,,1.27898948796032
2014/15,45 to 54,,"Rate per 100,000 population",Units,Undefined,,1.0410054526378458
2015/16,45 to 54,Female,"Rate per 100,000 population",Units,Undefined,,0.8987890639233358
2015/16,45 to 54,Male,"Rate per 100,000 population",Units,Undefined,,1.5681526614039796
2015/16,45 to 54,,"Rate per 100,000 population",Units,Undefined,,1.2293898931365128
2016/17,45 to 54,Female,"Rate per 100,000 population",Units,Undefined,,0.6510652150323724
2016/17,45 to 54,Male,"Rate per 100,000 population",Units,Undefined,,1.607420048781489
2016/17,45 to 54,,"Rate per 100,000 population",Units,Undefined,,1.123211819313798
2017/18,45 to 54,Female,"Rate per 100,000 population",Units,Undefined,,0.8439715952919888
2017/18,45 to 54,Male,"Rate per 100,000 population",Units,Undefined,,1.6572979858882313
2017/18,45 to 54,,"Rate per 100,000 population",Units,Undefined,,1.2454540925621482
2018/19,45 to 54,Female,"Rate per 100,000 population",Units,Undefined,,0.8003931142908007
2018/19,45 to 54,Male,"Rate per 100,000 population",Units,Undefined,,1.6917299780025346
2018/19,45 to 54,,"Rate per 100,000 population",Units,Undefined,,1.2404010155077145
2019/20,45 to 54,Female,"Rate per 100,000 population",Units,Undefined,,0.49111909343344307
2019/20,45 to 54,Male,"Rate per 100,000 population",Units,Undefined,,1.6622620918863227
2019/20,45 to 54,,"Rate per 100,000 population",Units,Undefined,,1.0692760317425782
2020/21,45 to 54,Female,"Rate per 100,000 population",Units,Undefined,,0.6235203861237284
2020/21,45 to 54,Male,"Rate per 100,000 population",Units,Undefined,,1.635183841930866
2020/21,45 to 54,,"Rate per 100,000 population",Units,Undefined,,1.1232516241398132
2009/10,55 to 64,Female,"Rate per 100,000 population",Units,Undefined,,0.48474566001151265
2009/10,55 to 64,Male,"Rate per 100,000 population",Units,Undefined,,1.2181028828434894
2009/10,55 to 64,,"Rate per 100,000 population",Units,Undefined,,0.845841535433071
2010/11,55 to 64,Female,"Rate per 100,000 population",Units,Undefined,,0.5436259853220984
2010/11,55 to 64,Male,"Rate per 100,000 population",Units,Undefined,,1.2757086405924267
2010/11,55 to 64,,"Rate per 100,000 population",Units,Undefined,,0.9042145593869731
2011/12,55 to 64,Female,"Rate per 100,000 population",Units,Undefined,,0.27042456656951414
2011/12,55 to 64,Male,"Rate per 100,000 population",Units,Undefined,,1.0218932895673984
2011/12,55 to 64,,"Rate per 100,000 population",Units,Undefined,,0.640497758257846
2012/13,55 to 64,Female,"Rate per 100,000 population",Units,Undefined,,0.5189413596263622
2012/13,55 to 64,Male,"Rate per 100,000 population",Units,Undefined,,0.8190266183650969
2012/13,55 to 64,,"Rate per 100,000 population",Units,Undefined,,0.6666253255612056
2013/14,55 to 64,Female,"Rate per 100,000 population",Units,Undefined,,0.5507514391441077
2013/14,55 to 64,Male,"Rate per 100,000 population",Units,Undefined,,0.9475825747145171
2013/14,55 to 64,,"Rate per 100,000 population",Units,Undefined,,0.7460119831283173
2014/15,55 to 64,Female,"Rate per 100,000 population",Units,Undefined,,0.5466938839229174
2014/15,55 to 64,Male,"Rate per 100,000 population",Units,Undefined,,0.8468675310988576
2014/15,55 to 64,,"Rate per 100,000 population",Units,Undefined,,0.694365256801732
2015/16,55 to 64,Female,"Rate per 100,000 population",Units,Undefined,,0.47988386810391886
2015/16,55 to 64,Male,"Rate per 100,000 population",Units,Undefined,,0.9904054472299597
2015/16,55 to 64,,"Rate per 100,000 population",Units,Undefined,,0.7311344464855283
2016/17,55 to 64,Female,"Rate per 100,000 population",Units,Undefined,,0.20589416157691395
2016/17,55 to 64,Male,"Rate per 100,000 population",Units,Undefined,,1.4562841695842914
2016/17,55 to 64,,"Rate per 100,000 population",Units,Undefined,,0.8214024625645828
2017/18,55 to 64,Female,"Rate per 100,000 population",Units,Undefined,,0.4595499799377712
2017/18,55 to 64,Male,"Rate per 100,000 population",Units,Undefined,,1.2445100808279665
2017/18,55 to 64,,"Rate per 100,000 population",Units,Undefined,,0.8459139947573752
2018/19,55 to 64,Female,"Rate per 100,000 population",Units,Undefined,,0.4765758752245864
2018/19,55 to 64,Male,"Rate per 100,000 population",Units,Undefined,,0.8110119198476919
2018/19,55 to 64,,"Rate per 100,000 population",Units,Undefined,,0.6410630820318566
2019/20,55 to 64,Female,"Rate per 100,000 population",Units,Undefined,,0.6564188740118845
2019/20,55 to 64,Male,"Rate per 100,000 population",Units,Undefined,,0.9896463201980875
2019/20,55 to 64,,"Rate per 100,000 population",Units,Undefined,,0.8202625424051403
2020/21,55 to 64,Female,"Rate per 100,000 population",Units,Undefined,,0.3996637495653656
2020/21,55 to 64,Male,"Rate per 100,000 population",Units,Undefined,,0.9930820798890396
2020/21,55 to 64,,"Rate per 100,000 population",Units,Undefined,,0.6912224105690347
2009/10,65 to 74,Female,"Rate per 100,000 population",Units,Undefined,,0.41023957991467
2009/10,65 to 74,Male,"Rate per 100,000 population",Units,Undefined,,0.5354513408593994
2009/10,65 to 74,,"Rate per 100,000 population",Units,Undefined,,0.4702160856648213
2010/11,65 to 74,Female,"Rate per 100,000 population",Units,Undefined,,0.6026032460228186
