Year,Units,Sector,Waste type,Household Waste disposal routes,Observation status,Unit measure,Unit multiplier,Value
2009,Food (Kilogrammes per person),,Supply chain,,estimate,Kg per person,Units,
2011,Food (Kilogrammes per person),,Supply chain,,estimate,Kg per person,Units,
2012,Food (Kilogrammes per person),,Supply chain,,estimate,Kg per person,Units,
2015,Food (Kilogrammes per person),,Supply chain,,estimate,Kg per person,Units,29.4
2017,Food (Kilogrammes per person),,Supply chain,,estimate,Kg per person,Units,
2018,Food (Kilogrammes per person),,Supply chain,,estimate,Kg per person,Units,28
2007,Food (Kilogrammes per person),,,,estimate,Kg per person,Units,132.3
2009,Food (Kilogrammes per person),,,,estimate,Kg per person,Units,
2011,Food (Kilogrammes per person),,,,estimate,Kg per person,Units,
2012,Food (Kilogrammes per person),,,,estimate,Kg per person,Units,
2015,Food (Kilogrammes per person),,,,estimate,Kg per person,Units,106.1
2017,Food (Kilogrammes per person),,,,estimate,Kg per person,Units,
2018,Food (Kilogrammes per person),,,,estimate,Kg per person,Units,96.4
2007,Food (Kilotonnes),,Household,,estimate,Kilotonnes,Thousands,6125
2009,Food (Kilotonnes),,Household,,estimate,Kilotonnes,Thousands,
2011,Food (Kilotonnes),,Household,,estimate,Kilotonnes,Thousands,
2012,Food (Kilotonnes),,Household,,estimate,Kilotonnes,Thousands,
2015,Food (Kilotonnes),,Household,,estimate,Kilotonnes,Thousands,4995
2017,Food (Kilotonnes),,Household,,estimate,Kilotonnes,Thousands,
2018,Food (Kilotonnes),,Household,,estimate,Kilotonnes,Thousands,4549
2007,Food (Kilotonnes),Hospitality and Food Serivces,Supply chain,,estimate,Kilotonnes,Thousands,
2009,Food (Kilotonnes),Hospitality and Food Serivces,Supply chain,,estimate,Kilotonnes,Thousands,
2011,Food (Kilotonnes),Hospitality and Food Serivces,Supply chain,,estimate,Kilotonnes,Thousands,680
2012,Food (Kilotonnes),Hospitality and Food Serivces,Supply chain,,estimate,Kilotonnes,Thousands,
2015,Food (Kilotonnes),Hospitality and Food Serivces,Supply chain,,estimate,Kilotonnes,Thousands,755
2017,Food (Kilotonnes),Hospitality and Food Serivces,Supply chain,,estimate,Kilotonnes,Thousands,
2018,Food (Kilotonnes),Hospitality and Food Serivces,Supply chain,,estimate,Kilotonnes,Thousands,812
2007,Food (Kilotonnes),Manufacture,Supply chain,,estimate,Kilotonnes,Thousands,
2009,Food (Kilotonnes),Manufacture,Supply chain,,estimate,Kilotonnes,Thousands,
2011,Food (Kilotonnes),Manufacture,Supply chain,,estimate,Kilotonnes,Thousands,1070
2012,Food (Kilotonnes),Manufacture,Supply chain,,estimate,Kilotonnes,Thousands,
2015,Food (Kilotonnes),Manufacture,Supply chain,,estimate,Kilotonnes,Thousands,898
2017,Food (Kilotonnes),Manufacture,Supply chain,,estimate,Kilotonnes,Thousands,
2018,Food (Kilotonnes),Manufacture,Supply chain,,estimate,Kilotonnes,Thousands,770
2007,Food (Kilotonnes),Retail,Supply chain,,estimate,Kilotonnes,Thousands,
2009,Food (Kilotonnes),Retail,Supply chain,,estimate,Kilotonnes,Thousands,290
2011,Food (Kilotonnes),Retail,Supply chain,,estimate,Kilotonnes,Thousands,
2012,Food (Kilotonnes),Retail,Supply chain,,estimate,Kilotonnes,Thousands,
2015,Food (Kilotonnes),Retail,Supply chain,,estimate,Kilotonnes,Thousands,261
2017,Food (Kilotonnes),Retail,Supply chain,,estimate,Kilotonnes,Thousands,
2018,Food (Kilotonnes),Retail,Supply chain,,estimate,Kilotonnes,Thousands,277
2007,Food (Kilotonnes),,Supply chain,,estimate,Kilotonnes,Thousands,2040
2009,Food (Kilotonnes),,Supply chain,,estimate,Kilotonnes,Thousands,
2011,Food (Kilotonnes),,Supply chain,,estimate,Kilotonnes,Thousands,
2012,Food (Kilotonnes),,Supply chain,,estimate,Kilotonnes,Thousands,
2015,Food (Kilotonnes),,Supply chain,,estimate,Kilotonnes,Thousands,1914
2017,Food (Kilotonnes),,Supply chain,,estimate,Kilotonnes,Thousands,
2018,Food (Kilotonnes),,Supply chain,,estimate,Kilotonnes,Thousands,1859
2007,Food (Kilotonnes),,,,estimate,Kilotonnes,Thousands,8165
2009,Food (Kilotonnes),,,,estimate,Kilotonnes,Thousands,
2011,Food (Kilotonnes),,,,estimate,Kilotonnes,Thousands,
2012,Food (Kilotonnes),,,,estimate,Kilotonnes,Thousands,
2015,Food (Kilotonnes),,,,estimate,Kilotonnes,Thousands,6910
2017,Food (Kilotonnes),,,,estimate,Kilotonnes,Thousands,
2018,Food (Kilotonnes),,,,estimate,Kilotonnes,Thousands,6408
2007,Food and inedible waste (Kilogrammes per person),,Household,Disposed to sewer,estimate,Kg per person,Units,31.1
2009,Food and inedible waste (Kilogrammes per person),,Household,Disposed to sewer,estimate,Kg per person,Units,
2011,Food and inedible waste (Kilogrammes per person),,Household,Disposed to sewer,estimate,Kg per person,Units,
2012,Food and inedible waste (Kilogrammes per person),,Household,Disposed to sewer,estimate,Kg per person,Units,
2015,Food and inedible waste (Kilogrammes per person),,Household,Disposed to sewer,estimate,Kg per person,Units,25.1
2017,Food and inedible waste (Kilogrammes per person),,Household,Disposed to sewer,estimate,Kg per person,Units,
2018,Food and inedible waste (Kilogrammes per person),,Household,Disposed to sewer,estimate,Kg per person,Units,23.1
2007,Food and inedible waste (Kilogrammes per person),,Household,Home composted,estimate,Kg per person,Units,7.9
2009,Food and inedible waste (Kilogrammes per person),,Household,Home composted,estimate,Kg per person,Units,
2011,Food and inedible waste (Kilogrammes per person),,Household,Home composted,estimate,Kg per person,Units,
2012,Food and inedible waste (Kilogrammes per person),,Household,Home composted,estimate,Kg per person,Units,
2015,Food and inedible waste (Kilogrammes per person),,Household,Home composted,estimate,Kg per person,Units,8
2017,Food and inedible waste (Kilogrammes per person),,Household,Home composted,estimate,Kg per person,Units,
2018,Food and inedible waste (Kilogrammes per person),,Household,Home composted,estimate,Kg per person,Units,7.9
2007,Food and inedible waste (Kilogrammes per person),,Household,LA collected organics,estimate,Kg per person,Units,1.1
2009,Food and inedible waste (Kilogrammes per person),,Household,LA collected organics,estimate,Kg per person,Units,
2011,Food and inedible waste (Kilogrammes per person),,Household,LA collected organics,estimate,Kg per person,Units,
2012,Food and inedible waste (Kilogrammes per person),,Household,LA collected organics,estimate,Kg per person,Units,
2015,Food and inedible waste (Kilogrammes per person),,Household,LA collected organics,estimate,Kg per person,Units,9.8
2017,Food and inedible waste (Kilogrammes per person),,Household,LA collected organics,estimate,Kg per person,Units,
2018,Food and inedible waste (Kilogrammes per person),,Household,LA collected organics,estimate,Kg per person,Units,11.7
2007,Food and inedible waste (Kilogrammes per person),,Household,LA collected other,estimate,Kg per person,Units,2.4
2009,Food and inedible waste (Kilogrammes per person),,Household,LA collected other,estimate,Kg per person,Units,
2011,Food and inedible waste (Kilogrammes per person),,Household,LA collected other,estimate,Kg per person,Units,
2012,Food and inedible waste (Kilogrammes per person),,Household,LA collected other,estimate,Kg per person,Units,
2015,Food and inedible waste (Kilogrammes per person),,Household,LA collected other,estimate,Kg per person,Units,2.2
2017,Food and inedible waste (Kilogrammes per person),,Household,LA collected other,estimate,Kg per person,Units,
2018,Food and inedible waste (Kilogrammes per person),,Household,LA collected other,estimate,Kg per person,Units,2.5
2007,Food and inedible waste (Kilogrammes per person),,Household,LA collected residual waste,estimate,Kg per person,Units,89.6
2009,Food and inedible waste (Kilogrammes per person),,Household,LA collected residual waste,estimate,Kg per person,Units,
2011,Food and inedible waste (Kilogrammes per person),,Household,LA collected residual waste,estimate,Kg per person,Units,
2012,Food and inedible waste (Kilogrammes per person),,Household,LA collected residual waste,estimate,Kg per person,Units,
2015,Food and inedible waste (Kilogrammes per person),,Household,LA collected residual waste,estimate,Kg per person,Units,63.2
2017,Food and inedible waste (Kilogrammes per person),,Household,LA collected residual waste,estimate,Kg per person,Units,
2018,Food and inedible waste (Kilogrammes per person),,Household,LA collected residual waste,estimate,Kg per person,Units,54.8
2007,Food and inedible waste (Kilogrammes per person),,Household,,estimate,Kg per person,Units,132
2009,Food and inedible waste (Kilogrammes per person),,Household,,estimate,Kg per person,Units,
2011,Food and inedible waste (Kilogrammes per person),,Household,,estimate,Kg per person,Units,
2012,Food and inedible waste (Kilogrammes per person),,Household,,estimate,Kg per person,Units,
2015,Food and inedible waste (Kilogrammes per person),,Household,,estimate,Kg per person,Units,108.3
2017,Food and inedible waste (Kilogrammes per person),,Household,,estimate,Kg per person,Units,
2018,Food and inedible waste (Kilogrammes per person),,Household,,estimate,Kg per person,Units,100
2007,Food and inedible waste (Kilogrammes per person),Hospitality and Food Serivces,Supply chain,,estimate,Kg per person,Units,
2009,Food and inedible waste (Kilogrammes per person),Hospitality and Food Serivces,Supply chain,,estimate,Kg per person,Units,
2011,Food and inedible waste (Kilogrammes per person),Hospitality and Food Serivces,Supply chain,,estimate,Kg per person,Units,14.5
2012,Food and inedible waste (Kilogrammes per person),Hospitality and Food Serivces,Supply chain,,estimate,Kg per person,Units,
2015,Food and inedible waste (Kilogrammes per person),Hospitality and Food Serivces,Supply chain,,estimate,Kg per person,Units,15.7
2017,Food and inedible waste (Kilogrammes per person),Hospitality and Food Serivces,Supply chain,,estimate,Kg per person,Units,
2018,Food and inedible waste (Kilogrammes per person),Hospitality and Food Serivces,Supply chain,,estimate,Kg per person,Units,16.5
2007,Food and inedible waste (Kilogrammes per person),Manufacture,Supply chain,,estimate,Kg per person,Units,
2009,Food and inedible waste (Kilogrammes per person),Manufacture,Supply chain,,estimate,Kg per person,Units,
2011,Food and inedible waste (Kilogrammes per person),Manufacture,Supply chain,,estimate,Kg per person,Units,30
2012,Food and inedible waste (Kilogrammes per person),Manufacture,Supply chain,,estimate,Kg per person,Units,
2015,Food and inedible waste (Kilogrammes per person),Manufacture,Supply chain,,estimate,Kg per person,Units,25.6
2017,Food and inedible waste (Kilogrammes per person),Manufacture,Supply chain,,estimate,Kg per person,Units,
2018,Food and inedible waste (Kilogrammes per person),Manufacture,Supply chain,,estimate,Kg per person,Units,22.7
2007,Food and inedible waste (Kilogrammes per person),Retail,Supply chain,,estimate,Kg per person,Units,
2009,Food and inedible waste (Kilogrammes per person),Retail,Supply chain,,estimate,Kg per person,Units,4.7
2011,Food and inedible waste (Kilogrammes per person),Retail,Supply chain,,estimate,Kg per person,Units,
2012,Food and inedible waste (Kilogrammes per person),Retail,Supply chain,,estimate,Kg per person,Units,
2015,Food and inedible waste (Kilogrammes per person),Retail,Supply chain,,estimate,Kg per person,Units,4
2017,Food and inedible waste (Kilogrammes per person),Retail,Supply chain,,estimate,Kg per person,Units,
2018,Food and inedible waste (Kilogrammes per person),Retail,Supply chain,,estimate,Kg per person,Units,4.2
2007,Food and inedible waste (Kilogrammes per person),,Supply chain,,estimate,Kg per person,Units,49.2
2009,Food and inedible waste (Kilogrammes per person),,Supply chain,,estimate,Kg per person,Units,
2011,Food and inedible waste (Kilogrammes per person),,Supply chain,,estimate,Kg per person,Units,
2012,Food and inedible waste (Kilogrammes per person),,Supply chain,,estimate,Kg per person,Units,
2015,Food and inedible waste (Kilogrammes per person),,Supply chain,,estimate,Kg per person,Units,45.3
2017,Food and inedible waste (Kilogrammes per person),,Supply chain,,estimate,Kg per person,Units,
2018,Food and inedible waste (Kilogrammes per person),,Supply chain,,estimate,Kg per person,Units,43.3
2007,Food and inedible waste (Kilogrammes per person),,,,estimate,Kg per person,Units,181.2
2009,Food and inedible waste (Kilogrammes per person),,,,estimate,Kg per person,Units,
2011,Food and inedible waste (Kilogrammes per person),,,,estimate,Kg per person,Units,
2012,Food and inedible waste (Kilogrammes per person),,,,estimate,Kg per person,Units,
2015,Food and inedible waste (Kilogrammes per person),,,,estimate,Kg per person,Units,153.6
2017,Food and inedible waste (Kilogrammes per person),,,,estimate,Kg per person,Units,
2018,Food and inedible waste (Kilogrammes per person),,,,estimate,Kg per person,Units,143.4
2007,Food and inedible waste (Kilotonnes),,Household,Disposed to sewer,estimate,Kilotonnes,Thousands,1904
2009,Food and inedible waste (Kilotonnes),,Household,Disposed to sewer,estimate,Kilotonnes,Thousands,
2011,Food and inedible waste (Kilotonnes),,Household,Disposed to sewer,estimate,Kilotonnes,Thousands,
2012,Food and inedible waste (Kilotonnes),,Household,Disposed to sewer,estimate,Kilotonnes,Thousands,
2015,Food and inedible waste (Kilotonnes),,Household,Disposed to sewer,estimate,Kilotonnes,Thousands,1636
2017,Food and inedible waste (Kilotonnes),,Household,Disposed to sewer,estimate,Kilotonnes,Thousands,
2018,Food and inedible waste (Kilotonnes),,Household,Disposed to sewer,estimate,Kilotonnes,Thousands,1532
2007,Food and inedible waste (Kilotonnes),,Household,Home composted,estimate,Kilotonnes,Thousands,482
2009,Food and inedible waste (Kilotonnes),,Household,Home composted,estimate,Kilotonnes,Thousands,
2011,Food and inedible waste (Kilotonnes),,Household,Home composted,estimate,Kilotonnes,Thousands,
2012,Food and inedible waste (Kilotonnes),,Household,Home composted,estimate,Kilotonnes,Thousands,
2015,Food and inedible waste (Kilotonnes),,Household,Home composted,estimate,Kilotonnes,Thousands,518
2017,Food and inedible waste (Kilotonnes),,Household,Home composted,estimate,Kilotonnes,Thousands,
2018,Food and inedible waste (Kilotonnes),,Household,Home composted,estimate,Kilotonnes,Thousands,528
2007,Food and inedible waste (Kilotonnes),,Household,LA collected organics,estimate,Kilotonnes,Thousands,65
2009,Food and inedible waste (Kilotonnes),,Household,LA collected organics,estimate,Kilotonnes,Thousands,
2011,Food and inedible waste (Kilotonnes),,Household,LA collected organics,estimate,Kilotonnes,Thousands,
2012,Food and inedible waste (Kilotonnes),,Household,LA collected organics,estimate,Kilotonnes,Thousands,
2015,Food and inedible waste (Kilotonnes),,Household,LA collected organics,estimate,Kilotonnes,Thousands,639
2017,Food and inedible waste (Kilotonnes),,Household,LA collected organics,estimate,Kilotonnes,Thousands,
2018,Food and inedible waste (Kilotonnes),,Household,LA collected organics,estimate,Kilotonnes,Thousands,777
2007,Food and inedible waste (Kilotonnes),,Household,LA collected other,estimate,Kilotonnes,Thousands,146
2009,Food and inedible waste (Kilotonnes),,Household,LA collected other,estimate,Kilotonnes,Thousands,
2011,Food and inedible waste (Kilotonnes),,Household,LA collected other,estimate,Kilotonnes,Thousands,
2012,Food and inedible waste (Kilotonnes),,Household,LA collected other,estimate,Kilotonnes,Thousands,
2015,Food and inedible waste (Kilotonnes),,Household,LA collected other,estimate,Kilotonnes,Thousands,140
2017,Food and inedible waste (Kilotonnes),,Household,LA collected other,estimate,Kilotonnes,Thousands,
2018,Food and inedible waste (Kilotonnes),,Household,LA collected other,estimate,Kilotonnes,Thousands,166
2007,Food and inedible waste (Kilotonnes),,Household,LA collected residual waste,estimate,Kilotonnes,Thousands,5488
2009,Food and inedible waste (Kilotonnes),,Household,LA collected residual waste,estimate,Kilotonnes,Thousands,
2011,Food and inedible waste (Kilotonnes),,Household,LA collected residual waste,estimate,Kilotonnes,Thousands,
2012,Food and inedible waste (Kilotonnes),,Household,LA collected residual waste,estimate,Kilotonnes,Thousands,
2015,Food and inedible waste (Kilotonnes),,Household,LA collected residual waste,estimate,Kilotonnes,Thousands,4117
2017,Food and inedible waste (Kilotonnes),,Household,LA collected residual waste,estimate,Kilotonnes,Thousands,
2018,Food and inedible waste (Kilotonnes),,Household,LA collected residual waste,estimate,Kilotonnes,Thousands,3642
2007,Food and inedible waste (Kilotonnes),,Household,,estimate,Kilotonnes,Thousands,8085
2008,Food and inedible waste (Kilotonnes),,Household,,estimate,Kilotonnes,Thousands,
2010,Food and inedible waste (Kilotonnes),,Household,,estimate,Kilotonnes,Thousands,
2013,Food and inedible waste (Kilotonnes),,Household,,estimate,Kilotonnes,Thousands,
2014,Food and inedible waste (Kilotonnes),,Household,,estimate,Kilotonnes,Thousands,
2016,Food and inedible waste (Kilotonnes),,Household,,estimate,Kilotonnes,Thousands,
2009,Food and inedible waste (Kilotonnes),,Household,,estimate,Kilotonnes,Thousands,
2011,Food and inedible waste (Kilotonnes),,Household,,estimate,Kilotonnes,Thousands,
2012,Food and inedible waste (Kilotonnes),,Household,,estimate,Kilotonnes,Thousands,
2015,Food and inedible waste (Kilotonnes),,Household,,estimate,Kilotonnes,Thousands,7050
2017,Food and inedible waste (Kilotonnes),,Household,,estimate,Kilotonnes,Thousands,
2018,Food and inedible waste (Kilotonnes),,Household,,estimate,Kilotonnes,Thousands,6646
2007,Food and inedible waste (Kilotonnes),Hospitality and Food Serivces,Supply chain,,estimate,Kilotonnes,Thousands,
2009,Food and inedible waste (Kilotonnes),Hospitality and Food Serivces,Supply chain,,estimate,Kilotonnes,Thousands,
2011,Food and inedible waste (Kilotonnes),Hospitality and Food Serivces,Supply chain,,estimate,Kilotonnes,Thousands,920
2012,Food and inedible waste (Kilotonnes),Hospitality and Food Serivces,Supply chain,,estimate,Kilotonnes,Thousands,
2015,Food and inedible waste (Kilotonnes),Hospitality and Food Serivces,Supply chain,,estimate,Kilotonnes,Thousands,1022
2017,Food and inedible waste (Kilotonnes),Hospitality and Food Serivces,Supply chain,,estimate,Kilotonnes,Thousands,
2018,Food and inedible waste (Kilotonnes),Hospitality and Food Serivces,Supply chain,,estimate,Kilotonnes,Thousands,1098
2007,Food and inedible waste (Kilotonnes),Manufacture,Supply chain,,estimate,Kilotonnes,Thousands,
2009,Food and inedible waste (Kilotonnes),Manufacture,Supply chain,,estimate,Kilotonnes,Thousands,
2011,Food and inedible waste (Kilotonnes),Manufacture,Supply chain,,estimate,Kilotonnes,Thousands,1900
2012,Food and inedible waste (Kilotonnes),Manufacture,Supply chain,,estimate,Kilotonnes,Thousands,
2015,Food and inedible waste (Kilotonnes),Manufacture,Supply chain,,estimate,Kilotonnes,Thousands,1668
2017,Food and inedible waste (Kilotonnes),Manufacture,Supply chain,,estimate,Kilotonnes,Thousands,
2018,Food and inedible waste (Kilotonnes),Manufacture,Supply chain,,estimate,Kilotonnes,Thousands,1505
2007,Food and inedible waste (Kilotonnes),Retail,Supply chain,,estimate,Kilotonnes,Thousands,
2009,Food and inedible waste (Kilotonnes),Retail,Supply chain,,estimate,Kilotonnes,Thousands,290
2011,Food and inedible waste (Kilotonnes),Retail,Supply chain,,estimate,Kilotonnes,Thousands,
2012,Food and inedible waste (Kilotonnes),Retail,Supply chain,,estimate,Kilotonnes,Thousands,240
2015,Food and inedible waste (Kilotonnes),Retail,Supply chain,,estimate,Kilotonnes,Thousands,261
2017,Food and inedible waste (Kilotonnes),Retail,Supply chain,,estimate,Kilotonnes,Thousands,278
2018,Food and inedible waste (Kilotonnes),Retail,Supply chain,,estimate,Kilotonnes,Thousands,277
2007,Food and inedible waste (Kilotonnes),,Supply chain,,estimate,Kilotonnes,Thousands,3110
2009,Food and inedible waste (Kilotonnes),,Supply chain,,estimate,Kilotonnes,Thousands,
2011,Food and inedible waste (Kilotonnes),,Supply chain,,estimate,Kilotonnes,Thousands,
2012,Food and inedible waste (Kilotonnes),,Supply chain,,estimate,Kilotonnes,Thousands,
2015,Food and inedible waste (Kilotonnes),,Supply chain,,estimate,Kilotonnes,Thousands,2951
2017,Food and inedible waste (Kilotonnes),,Supply chain,,estimate,Kilotonnes,Thousands,
2018,Food and inedible waste (Kilotonnes),,Supply chain,,estimate,Kilotonnes,Thousands,2880
2007,Food and inedible waste (Kilotonnes),,,,estimate,Kilotonnes,Thousands,11195
2009,Food and inedible waste (Kilotonnes),,,,estimate,Kilotonnes,Thousands,
2011,Food and inedible waste (Kilotonnes),,,,estimate,Kilotonnes,Thousands,
2012,Food and inedible waste (Kilotonnes),,,,estimate,Kilotonnes,Thousands,
2015,Food and inedible waste (Kilotonnes),,,,estimate,Kilotonnes,Thousands,10001
2017,Food and inedible waste (Kilotonnes),,,,estimate,Kilotonnes,Thousands,
2018,Food and inedible waste (Kilotonnes),,,,estimate,Kilotonnes,Thousands,9525
