Year,Units,Material category,Observation status,Unit multiplier,Unit measure,Value
2003,Material footprint (Million metric tonnes),Metal Ores excluding precious metals,Undefined,Units,Million metric tonnes,105.9
2004,Material footprint (Million metric tonnes),Metal Ores excluding precious metals,Undefined,Units,Million metric tonnes,92.4
2005,Material footprint (Million metric tonnes),Metal Ores excluding precious metals,Undefined,Units,Million metric tonnes,99.1
2006,Material footprint (Million metric tonnes),Metal Ores excluding precious metals,Undefined,Units,Million metric tonnes,75.0
2007,Material footprint (Million metric tonnes),Metal Ores excluding precious metals,Undefined,Units,Million metric tonnes,90.9
2008,Material footprint (Million metric tonnes),Metal Ores excluding precious metals,Undefined,Units,Million metric tonnes,72.4
2009,Material footprint (Million metric tonnes),Metal Ores excluding precious metals,Undefined,Units,Million metric tonnes,34.6
2010,Material footprint (Million metric tonnes),Metal Ores excluding precious metals,Undefined,Units,Million metric tonnes,67.8
2011,Material footprint (Million metric tonnes),Metal Ores excluding precious metals,Undefined,Units,Million metric tonnes,52.2
2012,Material footprint (Million metric tonnes),Metal Ores excluding precious metals,Undefined,Units,Million metric tonnes,39.7
2013,Material footprint (Million metric tonnes),Metal Ores excluding precious metals,Undefined,Units,Million metric tonnes,98.8
2014,Material footprint (Million metric tonnes),Metal Ores excluding precious metals,Undefined,Units,Million metric tonnes,86.7
2015,Material footprint (Million metric tonnes),Metal Ores excluding precious metals,Undefined,Units,Million metric tonnes,96.2
2016,Material footprint (Million metric tonnes),Metal Ores excluding precious metals,Undefined,Units,Million metric tonnes,69.1
2000,Material footprint (Million metric tonnes),Non-Metallic Minerals,Undefined,Units,Million metric tonnes,313.2
2001,Material footprint (Million metric tonnes),Non-Metallic Minerals,Undefined,Units,Million metric tonnes,324.4
2002,Material footprint (Million metric tonnes),Non-Metallic Minerals,Undefined,Units,Million metric tonnes,311.2
2003,Material footprint (Million metric tonnes),Non-Metallic Minerals,Undefined,Units,Million metric tonnes,305.7
2004,Material footprint (Million metric tonnes),Non-Metallic Minerals,Undefined,Units,Million metric tonnes,315.5
2005,Material footprint (Million metric tonnes),Non-Metallic Minerals,Undefined,Units,Million metric tonnes,305.9
2006,Material footprint (Million metric tonnes),Non-Metallic Minerals,Undefined,Units,Million metric tonnes,302.7
2007,Material footprint (Million metric tonnes),Non-Metallic Minerals,Undefined,Units,Million metric tonnes,314.8
2008,Material footprint (Million metric tonnes),Non-Metallic Minerals,Undefined,Units,Million metric tonnes,274.6
2009,Material footprint (Million metric tonnes),Non-Metallic Minerals,Undefined,Units,Million metric tonnes,226.2
2010,Material footprint (Million metric tonnes),Non-Metallic Minerals,Undefined,Units,Million metric tonnes,229.5
2011,Material footprint (Million metric tonnes),Non-Metallic Minerals,Undefined,Units,Million metric tonnes,219.5
2012,Material footprint (Million metric tonnes),Non-Metallic Minerals,Undefined,Units,Million metric tonnes,204.1
2013,Material footprint (Million metric tonnes),Non-Metallic Minerals,Undefined,Units,Million metric tonnes,221.2
2014,Material footprint (Million metric tonnes),Non-Metallic Minerals,Undefined,Units,Million metric tonnes,241.0
2015,Material footprint (Million metric tonnes),Non-Metallic Minerals,Undefined,Units,Million metric tonnes,270.9
2016,Material footprint (Million metric tonnes),Non-Metallic Minerals,Undefined,Units,Million metric tonnes,274.4
2000,Material footprint (Million metric tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Million metric tonnes,268.8
2001,Material footprint (Million metric tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Million metric tonnes,287.0
2002,Material footprint (Million metric tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Million metric tonnes,269.5
2003,Material footprint (Million metric tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Million metric tonnes,270.7
2004,Material footprint (Million metric tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Million metric tonnes,278.7
2005,Material footprint (Million metric tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Million metric tonnes,277.8
2006,Material footprint (Million metric tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Million metric tonnes,280.9
2007,Material footprint (Million metric tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Million metric tonnes,268.0
2008,Material footprint (Million metric tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Million metric tonnes,267.0
2009,Material footprint (Million metric tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Million metric tonnes,232.2
2010,Material footprint (Million metric tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Million metric tonnes,240.5
2011,Material footprint (Million metric tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Million metric tonnes,224.3
2012,Material footprint (Million metric tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Million metric tonnes,227.1
2013,Material footprint (Million metric tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Million metric tonnes,238.8
2014,Material footprint (Million metric tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Million metric tonnes,226.3
2015,Material footprint (Million metric tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Million metric tonnes,219.7
2016,Material footprint (Million metric tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Million metric tonnes,206.6
2000,Material footprint per capita (tonnes),Biomass,Undefined,Units,Material footprint per capita (tonnes),3.241851642407971
2001,Material footprint per capita (tonnes),Biomass,Undefined,Units,Material footprint per capita (tonnes),3.1211408657994015
2002,Material footprint per capita (tonnes),Biomass,Undefined,Units,Material footprint per capita (tonnes),3.251035530617848
2003,Material footprint per capita (tonnes),Biomass,Undefined,Units,Material footprint per capita (tonnes),3.0954093704044663
2004,Material footprint per capita (tonnes),Biomass,Undefined,Units,Material footprint per capita (tonnes),3.1509381088366384
2005,Material footprint per capita (tonnes),Biomass,Undefined,Units,Material footprint per capita (tonnes),3.120173868999045
2006,Material footprint per capita (tonnes),Biomass,Undefined,Units,Material footprint per capita (tonnes),3.0183914735372883
2007,Material footprint per capita (tonnes),Biomass,Undefined,Units,Material footprint per capita (tonnes),3.0153736763912056
2008,Material footprint per capita (tonnes),Biomass,Undefined,Units,Material footprint per capita (tonnes),3.1120701089224534
2009,Material footprint per capita (tonnes),Biomass,Undefined,Units,Material footprint per capita (tonnes),2.9472940307257414
2010,Material footprint per capita (tonnes),Biomass,Undefined,Units,Material footprint per capita (tonnes),2.931827054071495
2011,Material footprint per capita (tonnes),Biomass,Undefined,Units,Material footprint per capita (tonnes),2.8474317019329987
2012,Material footprint per capita (tonnes),Biomass,Undefined,Units,Material footprint per capita (tonnes),2.7658739502393845
2013,Material footprint per capita (tonnes),Biomass,Undefined,Units,Material footprint per capita (tonnes),2.913937450179937
2014,Material footprint per capita (tonnes),Biomass,Undefined,Units,Material footprint per capita (tonnes),3.0760037648923784
2015,Material footprint per capita (tonnes),Biomass,Undefined,Units,Material footprint per capita (tonnes),3.1116571955152814
2016,Material footprint per capita (tonnes),Biomass,Undefined,Units,Material footprint per capita (tonnes),2.888126236707536
2000,Material footprint per capita (tonnes),Metal Ores excluding precious metals,Undefined,Units,Material footprint per capita (tonnes),2.0904763602955536
2001,Material footprint per capita (tonnes),Metal Ores excluding precious metals,Undefined,Units,Material footprint per capita (tonnes),2.6931470234973696
2002,Material footprint per capita (tonnes),Metal Ores excluding precious metals,Undefined,Units,Material footprint per capita (tonnes),2.043267408621477
2003,Material footprint per capita (tonnes),Metal Ores excluding precious metals,Undefined,Units,Material footprint per capita (tonnes),1.7757521794465492
2004,Material footprint per capita (tonnes),Metal Ores excluding precious metals,Undefined,Units,Material footprint per capita (tonnes),1.5412741199391498
2005,Material footprint per capita (tonnes),Metal Ores excluding precious metals,Undefined,Units,Material footprint per capita (tonnes),1.6403672701209833
2006,Material footprint per capita (tonnes),Metal Ores excluding precious metals,Undefined,Units,Material footprint per capita (tonnes),1.2330030529155591
2007,Material footprint per capita (tonnes),Metal Ores excluding precious metals,Undefined,Units,Material footprint per capita (tonnes),1.4824092330122265
2008,Material footprint per capita (tonnes),Metal Ores excluding precious metals,Undefined,Units,Material footprint per capita (tonnes),1.1710700409874517
2009,Material footprint per capita (tonnes),Metal Ores excluding precious metals,Undefined,Units,Material footprint per capita (tonnes),0.5557295556572787
2010,Material footprint per capita (tonnes),Metal Ores excluding precious metals,Undefined,Units,Material footprint per capita (tonnes),1.0803145340546052
2011,Material footprint per capita (tonnes),Metal Ores excluding precious metals,Undefined,Units,Material footprint per capita (tonnes),0.8248387061093371
2012,Material footprint per capita (tonnes),Metal Ores excluding precious metals,Undefined,Units,Material footprint per capita (tonnes),0.6231849933286241
2013,Material footprint per capita (tonnes),Metal Ores excluding precious metals,Undefined,Units,Material footprint per capita (tonnes),1.541204604270759
2014,Material footprint per capita (tonnes),Metal Ores excluding precious metals,Undefined,Units,Material footprint per capita (tonnes),1.3421717484457434
2015,Material footprint per capita (tonnes),Metal Ores excluding precious metals,Undefined,Units,Material footprint per capita (tonnes),1.4774996160344034
2016,Material footprint per capita (tonnes),Metal Ores excluding precious metals,Undefined,Units,Material footprint per capita (tonnes),1.05258187213339
2000,Material footprint per capita (tonnes),Non-Metallic Minerals,Undefined,Units,Material footprint per capita (tonnes),5.3187424536520505
2001,Material footprint per capita (tonnes),Non-Metallic Minerals,Undefined,Units,Material footprint per capita (tonnes),5.487794562955696
2002,Material footprint per capita (tonnes),Non-Metallic Minerals,Undefined,Units,Material footprint per capita (tonnes),5.242084233825255
2003,Material footprint per capita (tonnes),Non-Metallic Minerals,Undefined,Units,Material footprint per capita (tonnes),5.12603816106525
2004,Material footprint per capita (tonnes),Non-Metallic Minerals,Undefined,Units,Material footprint per capita (tonnes),5.262683818623397
2005,Material footprint per capita (tonnes),Non-Metallic Minerals,Undefined,Units,Material footprint per capita (tonnes),5.0634545704339935
2006,Material footprint per capita (tonnes),Non-Metallic Minerals,Undefined,Units,Material footprint per capita (tonnes),4.976400321567196
2007,Material footprint per capita (tonnes),Non-Metallic Minerals,Undefined,Units,Material footprint per capita (tonnes),5.133800072081946
2008,Material footprint per capita (tonnes),Non-Metallic Minerals,Undefined,Units,Material footprint per capita (tonnes),4.441655155457932
2009,Material footprint per capita (tonnes),Non-Metallic Minerals,Undefined,Units,Material footprint per capita (tonnes),3.633122123979088
2010,Material footprint per capita (tonnes),Non-Metallic Minerals,Undefined,Units,Material footprint per capita (tonnes),3.656816896246784
2011,Material footprint per capita (tonnes),Non-Metallic Minerals,Undefined,Units,Material footprint per capita (tonnes),3.468430957681982
2012,Material footprint per capita (tonnes),Non-Metallic Minerals,Undefined,Units,Material footprint per capita (tonnes),3.2038301546189465
2013,Material footprint per capita (tonnes),Non-Metallic Minerals,Undefined,Units,Material footprint per capita (tonnes),3.4505511990353432
2014,Material footprint per capita (tonnes),Non-Metallic Minerals,Undefined,Units,Material footprint per capita (tonnes),3.730834963961063
2015,Material footprint per capita (tonnes),Non-Metallic Minerals,Undefined,Units,Material footprint per capita (tonnes),4.160651205651973
2016,Material footprint per capita (tonnes),Non-Metallic Minerals,Undefined,Units,Material footprint per capita (tonnes),4.179862021901624
2000,Material footprint per capita (tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Material footprint per capita (tonnes),4.564744481295247
2001,Material footprint per capita (tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Material footprint per capita (tonnes),4.855108013465736
2002,Material footprint per capita (tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Material footprint per capita (tonnes),4.5396584222876175
2003,Material footprint per capita (tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Material footprint per capita (tonnes),4.5391512273482615
2004,Material footprint per capita (tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Material footprint per capita (tonnes),4.648843043582695
2005,Material footprint per capita (tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Material footprint per capita (tonnes),4.598325203225118
2006,Material footprint per capita (tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Material footprint per capita (tonnes),4.618007434186407
2007,Material footprint per capita (tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Material footprint per capita (tonnes),4.3705794768677295
2008,Material footprint per capita (tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Material footprint per capita (tonnes),4.31872515115538
2009,Material footprint per capita (tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Material footprint per capita (tonnes),3.7294914110872863
2010,Material footprint per capita (tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Material footprint per capita (tonnes),3.8320891657836658
2011,Material footprint per capita (tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Material footprint per capita (tonnes),3.544278195025369
2012,Material footprint per capita (tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Material footprint per capita (tonnes),3.5648693195196612
2013,Material footprint per capita (tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Material footprint per capita (tonnes),3.725097768217178
2014,Material footprint per capita (tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Material footprint per capita (tonnes),3.503269511802442
2015,Material footprint per capita (tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Material footprint per capita (tonnes),3.374289663646137
2016,Material footprint per capita (tonnes),Fossil Energy Materials and Carriers,Undefined,Units,Material footprint per capita (tonnes),3.1470827030789925
2000,Material footprint per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),126.97817225929356
2001,Material footprint per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),119.17650007363753
2002,Material footprint per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),121.83497358138008
2003,Material footprint per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),112.82453096226612
2004,Material footprint per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),112.7753787885572
2005,Material footprint per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),109.06841685312449
2006,Material footprint per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),103.35149302377422
2007,Material footprint per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),101.61345012560172
2008,Material footprint per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),106.03320095716455
2009,Material footprint per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),105.61467163333808
2010,Material footprint per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),103.8772757732788
2011,Material footprint per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),100.18886880540065
2012,Material footprint per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),96.53715420303705
2013,Material footprint per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),100.2008845356456
2014,Material footprint per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),103.87554590859995
2015,Material footprint per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),103.47715943450191
2016,Material footprint per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),95.01482852730022
2000,Material footprint per GDP (Tonnes per £m),Metal Ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),81.88063386652195
2001,Material footprint per GDP (Tonnes per £m),Metal Ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),102.83413990093815
2002,Material footprint per GDP (Tonnes per £m),Metal Ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),76.5729652612508
2003,Material footprint per GDP (Tonnes per £m),Metal Ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),64.72436527033577
2004,Material footprint per GDP (Tonnes per £m),Metal Ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),55.16381683463572
2005,Material footprint per GDP (Tonnes per £m),Metal Ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),57.34047803790258
2006,Material footprint per GDP (Tonnes per £m),Metal Ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),42.21874715023457
2007,Material footprint per GDP (Tonnes per £m),Metal Ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),49.95490868803242
2008,Material footprint per GDP (Tonnes per £m),Metal Ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),39.90022738720746
2009,Material footprint per GDP (Tonnes per £m),Metal Ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),19.914265060019066
2010,Material footprint per GDP (Tonnes per £m),Metal Ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),38.276517920806
2011,Material footprint per GDP (Tonnes per £m),Metal Ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),29.022524703895193
2012,Material footprint per GDP (Tonnes per £m),Metal Ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),21.750993313624118
2013,Material footprint per GDP (Tonnes per £m),Metal Ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),52.99704171371405
2014,Material footprint per GDP (Tonnes per £m),Metal Ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),45.32465943772329
2015,Material footprint per GDP (Tonnes per £m),Metal Ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),49.13377461796192
2016,Material footprint per GDP (Tonnes per £m),Metal Ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),34.628294574031884
2000,Material footprint per GDP (Tonnes per £m),Non-Metallic Minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),208.3266817789981
2001,Material footprint per GDP (Tonnes per £m),Non-Metallic Minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),209.54393834085639
2002,Material footprint per GDP (Tonnes per £m),Non-Metallic Minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),196.45100403381082
2003,Material footprint per GDP (Tonnes per £m),Non-Metallic Minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),186.83889011465197
2004,Material footprint per GDP (Tonnes per £m),Non-Metallic Minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),188.3569719840646
2005,Material footprint per GDP (Tonnes per £m),Non-Metallic Minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),176.9974998162906
2006,Material footprint per GDP (Tonnes per £m),Non-Metallic Minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),170.39486349834672
2007,Material footprint per GDP (Tonnes per £m),Non-Metallic Minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),173.00115792071077
2008,Material footprint per GDP (Tonnes per £m),Non-Metallic Minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),151.3342878525852
2009,Material footprint per GDP (Tonnes per £m),Non-Metallic Minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),130.19094672185872
2010,Material footprint per GDP (Tonnes per £m),Non-Metallic Minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),129.56431951069285
2011,Material footprint per GDP (Tonnes per £m),Non-Metallic Minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),122.03916039281602
2012,Material footprint per GDP (Tonnes per £m),Non-Metallic Minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),111.82311675845551
2013,Material footprint per GDP (Tonnes per £m),Non-Metallic Minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),118.65329582058249
2014,Material footprint per GDP (Tonnes per £m),Non-Metallic Minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),125.98896106679716
2015,Material footprint per GDP (Tonnes per £m),Non-Metallic Minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),138.36111792105908
2016,Material footprint per GDP (Tonnes per £m),Non-Metallic Minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),137.51091217242183
2000,Material footprint per GDP (Tonnes per £m),Fossil Energy Materials and Carriers,Undefined,Units,Tonnes of Material Footprint per GDP (£m),178.79378053063442
2001,Material footprint per GDP (Tonnes per £m),Fossil Energy Materials and Carriers,Undefined,Units,Tonnes of Material Footprint per GDP (£m),185.3856667812139
2002,Material footprint per GDP (Tonnes per £m),Fossil Energy Materials and Carriers,Undefined,Units,Tonnes of Material Footprint per GDP (£m),170.12707450871468
2003,Material footprint per GDP (Tonnes per £m),Fossil Energy Materials and Carriers,Undefined,Units,Tonnes of Material Footprint per GDP (£m),165.44745683361558
2004,Material footprint per GDP (Tonnes per £m),Fossil Energy Materials and Carriers,Undefined,Units,Tonnes of Material Footprint per GDP (£m),166.3869670109629
2005,Material footprint per GDP (Tonnes per £m),Fossil Energy Materials and Carriers,Undefined,Units,Tonnes of Material Footprint per GDP (£m),160.7384944392466
