Year,Series,Region,Local Authority,County,Observation status,Units,Unit multiplier,GeoCode,Value
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),Yorkshire and The Humber,Kirklees,,Undefined,Percentage (%),Units,E08000034,5.4
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),Yorkshire and The Humber,Leeds,,Undefined,Percentage (%),Units,E08000035,5.5
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),Yorkshire and The Humber,Wakefield,,Undefined,Percentage (%),Units,E08000036,5.7
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North East,Gateshead,,Undefined,Percentage (%),Units,E08000037,4.9
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,City of London,,Undefined,Percentage (%),Units,E09000001,9.0
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Barking and Dagenham,,Undefined,Percentage (%),Units,E09000002,7.1
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),West Midlands,Coventry,,Undefined,Percentage (%),Units,E08000026,6.2
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,Trafford,,Undefined,Percentage (%),Units,E08000009,5.6
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,Tameside,,Undefined,Percentage (%),Units,E08000008,5.8
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,Stockport,,Undefined,Percentage (%),Units,E08000007,5.7
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),East of England,Thurrock,,Undefined,Percentage (%),Units,E06000034,6.5
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South East,Medway,,Undefined,Percentage (%),Units,E06000035,6.1
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South East,Bracknell Forest,,Undefined,Percentage (%),Units,E06000036,5.6
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South East,West Berkshire,,Undefined,Percentage (%),Units,E06000037,5.5
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South East,Reading,,Undefined,Percentage (%),Units,E06000038,5.9
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South East,Slough,,Undefined,Percentage (%),Units,E06000039,6.8
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South East,Windsor and Maidenhead,,Undefined,Percentage (%),Units,E06000040,5.9
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South East,Wokingham,,Undefined,Percentage (%),Units,E06000041,5.7
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South East,Milton Keynes,,Undefined,Percentage (%),Units,E06000042,5.8
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South East,Brighton and Hove,,Undefined,Percentage (%),Units,E06000043,5.4
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South East,Portsmouth,,Undefined,Percentage (%),Units,E06000044,5.9
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South East,Southampton,,Undefined,Percentage (%),Units,E06000045,6.2
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South East,Isle of Wight,,Undefined,Percentage (%),Units,E06000046,4.6
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North East,County Durham,,Undefined,Percentage (%),Units,E06000047,4.3
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,Cheshire East,,Undefined,Percentage (%),Units,E06000049,4.9
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,Cheshire West and Chester,,Undefined,Percentage (%),Units,E06000050,4.7
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),West Midlands,Shropshire,,Undefined,Percentage (%),Units,E06000051,4.2
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South West,Cornwall,,Undefined,Percentage (%),Units,E06000052,3.8
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South West,Isles of Scilly,,Undefined,Percentage (%),Units,E06000053,3.2
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South West,Wiltshire,,Undefined,Percentage (%),Units,E06000054,4.9
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),East of England,Bedford,,Undefined,Percentage (%),Units,E06000055,5.5
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),East of England,Central Bedfordshire,,Undefined,Percentage (%),Units,E06000056,5.5
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North East,Northumberland,,Undefined,Percentage (%),Units,E06000057,3.9
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,Bolton,,Undefined,Percentage (%),Units,E08000001,5.5
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,Bury,,Undefined,Percentage (%),Units,E08000002,5.5
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,Manchester,,Undefined,Percentage (%),Units,E08000003,5.9
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,Oldham,,Undefined,Percentage (%),Units,E08000004,5.7
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,Rochdale,,Undefined,Percentage (%),Units,E08000005,5.5
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,Salford,,Undefined,Percentage (%),Units,E08000006,5.9
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Barnet,,Undefined,Percentage (%),Units,E09000003,6.8
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Bexley,,Undefined,Percentage (%),Units,E09000004,6.6
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Brent,,Undefined,Percentage (%),Units,E09000005,7.2
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Bromley,,Undefined,Percentage (%),Units,E09000006,6.3
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),West Midlands,,Staffordshire,Undefined,Percentage (%),Units,E10000028,5.2
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South West,,Somerset,Undefined,Percentage (%),Units,E10000027,4.4
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South East,,Oxfordshire,Undefined,Percentage (%),Units,E10000025,5.6
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),East Midlands,,Nottinghamshire,Undefined,Percentage (%),Units,E10000024,5.7
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),Yorkshire and The Humber,,North Yorkshire,Undefined,Percentage (%),Units,E10000023,4.3
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),East Midlands,,Northamptonshire,Undefined,Percentage (%),Units,E10000021,5.7
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),East of England,,Norfolk,Undefined,Percentage (%),Units,E10000020,5.0
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),East Midlands,,Lincolnshire,Undefined,Percentage (%),Units,E10000019,5.2
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),East Midlands,,Leicestershire,Undefined,Percentage (%),Units,E10000018,5.7
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,,Lancashire,Undefined,Percentage (%),Units,E10000017,4.6
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South East,,Kent,Undefined,Percentage (%),Units,E10000016,5.6
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),East of England,,Hertfordshire,Undefined,Percentage (%),Units,E10000015,5.8
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South East,,Hampshire,Undefined,Percentage (%),Units,E10000014,5.3
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South West,,Gloucestershire,Undefined,Percentage (%),Units,E10000013,5.0
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),East of England,,Essex,Undefined,Percentage (%),Units,E10000012,5.7
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South East,,East Sussex,Undefined,Percentage (%),Units,E10000011,4.8
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South West,,Dorset (Cty),Undefined,Percentage (%),Units,,4.4
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South West,,Devon,Undefined,Percentage (%),Units,E10000008,3.9
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),East Midlands,,Derbyshire,Undefined,Percentage (%),Units,E10000007,5.4
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,,Cumbria,Undefined,Percentage (%),Units,E10000006,3.6
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),East of England,,Cambridgeshire,Undefined,Percentage (%),Units,E10000003,5.5
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South East,,Buckinghamshire,Undefined,Percentage (%),Units,E10000002,5.6
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),England,,South West region,Undefined,Percentage (%),Units,,4.7
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),England,,South East region,Undefined,Percentage (%),Units,,5.5
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),England,,London region,Undefined,Percentage (%),Units,,7.2
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),England,,East of England region,Undefined,Percentage (%),Units,,5.6
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),England,,West Midlands region,Undefined,Percentage (%),Units,,5.7
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),England,,East Midlands region,Undefined,Percentage (%),Units,,5.7
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),England,,Yorkshire and the Humber region,Undefined,Percentage (%),Units,,5.3
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),East of England,,Suffolk,Undefined,Percentage (%),Units,E10000029,5.3
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),East of England,Southend-on-Sea,,Undefined,Percentage (%),Units,E06000033,6.1
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South East,,Surrey,Undefined,Percentage (%),Units,E10000030,5.7
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South East,,West Sussex,Undefined,Percentage (%),Units,E10000032,5.0
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Camden,,Undefined,Percentage (%),Units,E09000007,7.7
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Croydon,,Undefined,Percentage (%),Units,E09000008,6.5
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Ealing,,Undefined,Percentage (%),Units,E09000009,7.2
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Enfield,,Undefined,Percentage (%),Units,E09000010,6.6
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Greenwich,,Undefined,Percentage (%),Units,E09000011,7.2
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Hackney,,Undefined,Percentage (%),Units,E09000012,7.8
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Hammersmith and Fulham,,Undefined,Percentage (%),Units,E09000013,7.9
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Haringey,,Undefined,Percentage (%),Units,E09000014,7.1
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Harrow,,Undefined,Percentage (%),Units,E09000015,6.4
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Havering,,Undefined,Percentage (%),Units,E09000016,6.3
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Hillingdon,,Undefined,Percentage (%),Units,E09000017,6.5
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Hounslow,,Undefined,Percentage (%),Units,E09000018,7.1
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Islington,,Undefined,Percentage (%),Units,E09000019,7.9
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Kensington and Chelsea,,Undefined,Percentage (%),Units,E09000020,8.3
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Kingston upon Thames,,Undefined,Percentage (%),Units,E09000021,6.7
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Lambeth,,Undefined,Percentage (%),Units,E09000022,7.7
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Lewisham,,Undefined,Percentage (%),Units,E09000023,7.2
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Merton,,Undefined,Percentage (%),Units,E09000024,6.9
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Newham,,Undefined,Percentage (%),Units,E09000025,7.6
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Redbridge,,Undefined,Percentage (%),Units,E09000026,7.0
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Richmond upon Thames,,Undefined,Percentage (%),Units,E09000027,6.8
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Southwark,,Undefined,Percentage (%),Units,E09000028,7.9
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Sutton,,Undefined,Percentage (%),Units,E09000029,6.4
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Tower Hamlets,,Undefined,Percentage (%),Units,E09000030,8.1
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Waltham Forest,,Undefined,Percentage (%),Units,E09000031,7.3
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Wandsworth,,Undefined,Percentage (%),Units,E09000032,7.3
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,Westminster,,Undefined,Percentage (%),Units,E09000033,8.3
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),England,,North West region,Undefined,Percentage (%),Units,,5.1
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),West Midlands,,Worcestershire,Undefined,Percentage (%),Units,E10000034,5.2
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),West Midlands,,Warwickshire,Undefined,Percentage (%),Units,E10000031,5.5
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),East of England,Luton,,Undefined,Percentage (%),Units,E06000032,6.4
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),England,,North East region,Undefined,Percentage (%),Units,,4.6
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South West,Swindon,,Undefined,Percentage (%),Units,E06000030,5.8
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,Blackburn with Darwen,,Undefined,Percentage (%),Units,E06000008,5.1
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,Warrington,,Undefined,Percentage (%),Units,E06000007,5.4
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,Halton,,Undefined,Percentage (%),Units,E06000006,5.5
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North East,Darlington,,Undefined,Percentage (%),Units,E06000005,4.5
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North East,Stockton-on-Tees,,Undefined,Percentage (%),Units,E06000004,4.6
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North East,Redcar and Cleveland,,Undefined,Percentage (%),Units,E06000003,4.5
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North East,Middlesbrough,,Undefined,Percentage (%),Units,E06000002,5.0
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North East,Hartlepool,,Undefined,Percentage (%),Units,E06000001,4.7
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,,,Undefined,Percentage (%),Units,E12000002,5.1
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),Yorkshire and The Humber,,,Undefined,Percentage (%),Units,E12000003,5.3
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),East Midlands,,,Undefined,Percentage (%),Units,E12000004,5.7
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),West Midlands,,,Undefined,Percentage (%),Units,E12000005,5.7
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),East of England,,,Undefined,Percentage (%),Units,E12000006,5.6
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),London,,,Undefined,Percentage (%),Units,E12000007,7.2
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South East,,,Undefined,Percentage (%),Units,E12000008,5.5
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South West,,,Undefined,Percentage (%),Units,E12000009,4.7
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),East of England,Peterborough,,Undefined,Percentage (%),Units,E06000031,5.7
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,Blackpool,,Undefined,Percentage (%),Units,E06000009,4.3
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),Yorkshire and The Humber,Kingston upon Hull,,Undefined,Percentage (%),Units,E06000010,5.9
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North East,,,Undefined,Percentage (%),Units,E12000001,4.6
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),Yorkshire and The Humber,North East Lincolnshire,,Undefined,Percentage (%),Units,E06000012,5.6
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),Yorkshire and The Humber,East Riding of Yorkshire,,Undefined,Percentage (%),Units,E06000011,4.9
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South West,Bournemouth,,Undefined,Percentage (%),Units,E06000028,5.1
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South West,Torbay,,Undefined,Percentage (%),Units,E06000027,4.0
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South West,Plymouth,,Undefined,Percentage (%),Units,E06000026,4.5
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South West,South Gloucestershire,,Undefined,Percentage (%),Units,E06000025,5.4
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South West,Bristol,,Undefined,Percentage (%),Units,E06000023,5.8
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South West,Bath and North East Somerset,,Undefined,Percentage (%),Units,E06000022,4.9
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),West Midlands,Stoke-on-Trent,,Undefined,Percentage (%),Units,E06000021,5.6
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South West,North Somerset,,Undefined,Percentage (%),Units,E06000024,4.6
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),West Midlands,Telford and Wrekin,,Undefined,Percentage (%),Units,E06000020,4.8
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),Yorkshire and The Humber,North Lincolnshire,,Undefined,Percentage (%),Units,E06000013,5.5
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),Yorkshire and The Humber,York,,Undefined,Percentage (%),Units,E06000014,4.8
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),East Midlands,Derby,,Undefined,Percentage (%),Units,E06000015,6.1
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),East Midlands,Leicester,,Undefined,Percentage (%),Units,E06000016,6.6
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),South West,Poole,,Undefined,Percentage (%),Units,E06000029,5.2
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),East Midlands,Nottingham,,Undefined,Percentage (%),Units,E06000018,6.4
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),West Midlands,Herefordshire,,Undefined,Percentage (%),Units,E06000019,4.5
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),East Midlands,Rutland,,Undefined,Percentage (%),Units,E06000017,5.1
2011,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),Yorkshire and The Humber,Rotherham,,Undefined,Percentage (%),Units,E08000018,5.4
2011,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,Wigan,,Undefined,Percentage (%),Units,E08000010,4.8
2011,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,Liverpool,,Undefined,Percentage (%),Units,E08000012,4.7
2011,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,St. Helens,,Undefined,Percentage (%),Units,E08000013,4.9
2011,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,Sefton,,Undefined,Percentage (%),Units,E08000014,4.1
2011,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,Wirral,,Undefined,Percentage (%),Units,E08000015,4.0
2011,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),Yorkshire and The Humber,Barnsley,,Undefined,Percentage (%),Units,E08000016,5.1
2011,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),Yorkshire and The Humber,Doncaster,,Undefined,Percentage (%),Units,E08000017,5.3
2011,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,Knowsley,,Undefined,Percentage (%),Units,E08000011,4.9
2011,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),West Midlands,Sandwell,,Undefined,Percentage (%),Units,E08000028,6.2
2011,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North East,Newcastle upon Tyne,,Undefined,Percentage (%),Units,E08000021,4.3
2011,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North East,North Tyneside,,Undefined,Percentage (%),Units,E08000022,4.3
2011,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North East,South Tyneside,,Undefined,Percentage (%),Units,E08000023,4.4
2011,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North East,Sunderland,,Undefined,Percentage (%),Units,E08000024,4.3
2011,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),West Midlands,Birmingham,,Undefined,Percentage (%),Units,E08000025,5.9
2011,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),West Midlands,Coventry,,Undefined,Percentage (%),Units,E08000026,5.8
