Year,Series,Age,Sex,Country,Region,Industry sector,Occupation,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2006/07,Fatal injury,,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Normal Value,,8.63
2006/07,Fatal injury,,,,,Service industries,,"Rate per 100,000 workers",Units,Normal Value,,0.35
2006/07,Fatal injury,,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.84
2007/08,Fatal injury,,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Normal Value,,15.84
2007/08,Fatal injury,,,,,Construction,,"Rate per 100,000 workers",Units,Normal Value,,2.87
2007/08,Fatal injury,,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Normal Value,,3.6
2007/08,Fatal injury,,,,,Manufacturing,,"Rate per 100,000 workers",Units,Normal Value,,0.83
2007/08,Fatal injury,,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Normal Value,,4.65
2007/08,Fatal injury,,,,,Service industries,,"Rate per 100,000 workers",Units,Normal Value,,0.3
2007/08,Fatal injury,,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.79
2008/09,Fatal injury,,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Normal Value,,7.46
2008/09,Fatal injury,,,,,Construction,,"Rate per 100,000 workers",Units,Normal Value,,2.04
2008/09,Fatal injury,,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Normal Value,,2.16
2008/09,Fatal injury,,,,,Manufacturing,,"Rate per 100,000 workers",Units,Normal Value,,0.88
2008/09,Fatal injury,,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Normal Value,,4.22
2008/09,Fatal injury,,,,,Service industries,,"Rate per 100,000 workers",Units,Normal Value,,0.26
2008/09,Fatal injury,,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.6
2009/10,Fatal injury,,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Normal Value,,12.28
2009/10,Fatal injury,,,,,Construction,,"Rate per 100,000 workers",Units,Normal Value,,1.79
2009/10,Fatal injury,,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Normal Value,,1.35
2009/10,Fatal injury,,,,,Manufacturing,,"Rate per 100,000 workers",Units,Normal Value,,0.86
2009/10,Fatal injury,,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Normal Value,,4.76
2009/10,Fatal injury,,,,,Service industries,,"Rate per 100,000 workers",Units,Normal Value,,0.14
2009/10,Fatal injury,,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.5
2010/11,Fatal injury,,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Normal Value,,9.77
2010/11,Fatal injury,,,,,Construction,,"Rate per 100,000 workers",Units,Normal Value,,2.31
2010/11,Fatal injury,,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Normal Value,,3.06
2010/11,Fatal injury,,,,,Manufacturing,,"Rate per 100,000 workers",Units,Normal Value,,0.99
2010/11,Fatal injury,,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Normal Value,,2.94
2010/11,Fatal injury,,,,,Service industries,,"Rate per 100,000 workers",Units,Normal Value,,0.21
2010/11,Fatal injury,,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.6
2011/12,Fatal injury,,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Normal Value,,10.23
2011/12,Fatal injury,,,,,Construction,,"Rate per 100,000 workers",Units,Normal Value,,2.25
2011/12,Fatal injury,,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Normal Value,,1.46
2011/12,Fatal injury,,,,,Manufacturing,,"Rate per 100,000 workers",Units,Normal Value,,1.07
2011/12,Fatal injury,,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Normal Value,,10.24
2011/12,Fatal injury,,,,,Service industries,,"Rate per 100,000 workers",Units,Normal Value,,0.18
2011/12,Fatal injury,,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.58
2012/13,Fatal injury,,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Normal Value,,9.4
2012/13,Fatal injury,,,,,Construction,,"Rate per 100,000 workers",Units,Normal Value,,1.94
2012/13,Fatal injury,,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Normal Value,,3.03
2012/13,Fatal injury,,,,,Manufacturing,,"Rate per 100,000 workers",Units,Normal Value,,0.74
2012/13,Fatal injury,,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Normal Value,,1.75
2012/13,Fatal injury,,,,,Service industries,,"Rate per 100,000 workers",Units,Normal Value,,0.18
2012/13,Fatal injury,,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.5
2013/14,Fatal injury,,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Normal Value,,8.68
2013/14,Fatal injury,,,,,Construction,,"Rate per 100,000 workers",Units,Normal Value,,2.07
2013/14,Fatal injury,,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Normal Value,,1.51
2013/14,Fatal injury,,,,,Manufacturing,,"Rate per 100,000 workers",Units,Normal Value,,0.53
2013/14,Fatal injury,,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Normal Value,,2.39
2013/14,Fatal injury,,,,,Service industries,,"Rate per 100,000 workers",Units,Normal Value,,0.17
2013/14,Fatal injury,,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.45
2014/15,Fatal injury,,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Normal Value,,8.84
2014/15,Fatal injury,,,,,Construction,,"Rate per 100,000 workers",Units,Normal Value,,1.63
2014/15,Fatal injury,,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Normal Value,,1.55
2014/15,Fatal injury,,,,,Manufacturing,,"Rate per 100,000 workers",Units,Normal Value,,0.62
2014/15,Fatal injury,,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Normal Value,,0.71
2014/15,Fatal injury,,,,,Service industries,,"Rate per 100,000 workers",Units,Normal Value,,0.2
2014/15,Fatal injury,,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.46
2014/15,Fatal injury,,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.06
2014/15,Fatal injury,,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.82
2014/15,Fatal injury,16 to 19,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.49
2001/02,Non-fatal injury,16 to 24,,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,4500
2014/15,Fatal injury,20 to 24,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.33
2014/15,Fatal injury,25 to 34,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.36
2014/15,Fatal injury,35 to 44,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.27
2014/15,Fatal injury,45 to 54,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.34
2014/15,Fatal injury,55 to 59,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.46
2001/02,Non-fatal injury,55 and over,,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3460
2014/15,Fatal injury,60 to 64,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.83
2014/15,Fatal injury,65 and over,,,,,,"Rate per 100,000 workers",Units,Normal Value,,2.23
2014/15,Fatal injury,,,England,,,,"Rate per 100,000 workers",Units,Normal Value,E92000001,0.43
2014/15,Fatal injury,,,England,North East,,,"Rate per 100,000 workers",Units,Normal Value,E12000001,0.09
2014/15,Fatal injury,,,England,North West,,,"Rate per 100,000 workers",Units,Normal Value,E12000002,0.57
2014/15,Fatal injury,,,England,Yorkshire and The Humber,,,"Rate per 100,000 workers",Units,Normal Value,E12000003,0.6
2014/15,Fatal injury,,,England,East Midlands,,,"Rate per 100,000 workers",Units,Normal Value,E12000004,0.69
2014/15,Fatal injury,,,England,West Midlands,,,"Rate per 100,000 workers",Units,Normal Value,E12000005,0.42
2014/15,Fatal injury,,,England,East,,,"Rate per 100,000 workers",Units,Normal Value,E12000006,0.36
2014/15,Fatal injury,,,England,London,,,"Rate per 100,000 workers",Units,Normal Value,E12000007,0.18
2014/15,Fatal injury,,,England,South East,,,"Rate per 100,000 workers",Units,Normal Value,E12000008,0.23
2014/15,Fatal injury,,,England,South West,,,"Rate per 100,000 workers",Units,Normal Value,E12000009,0.76
2014/15,Fatal injury,,,England and Wales,,,,"Rate per 100,000 workers",Units,Normal Value,K04000001,0.44
2014/15,Fatal injury,,,Scotland,,,,"Rate per 100,000 workers",Units,Normal Value,S92000003,0.68
2014/15,Fatal injury,,,Wales,,,,"Rate per 100,000 workers",Units,Normal Value,W92000004,0.72
2014/15,Fatal injury,16 to 19,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0
2014/15,Fatal injury,20 to 24,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0
2014/15,Fatal injury,25 to 34,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0
2014/15,Fatal injury,35 to 44,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.03
2014/15,Fatal injury,45 to 54,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.05
2014/15,Fatal injury,55 to 59,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0
2014/15,Fatal injury,60 to 64,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.28
2014/15,Fatal injury,65 and over,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.44
2014/15,Fatal injury,16 to 19,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,1.03
2014/15,Fatal injury,20 to 24,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.64
2014/15,Fatal injury,25 to 34,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.67
2014/15,Fatal injury,35 to 44,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.49
2014/15,Fatal injury,45 to 54,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.62
2014/15,Fatal injury,55 to 59,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.89
2014/15,Fatal injury,60 to 64,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,1.25
2014/15,Fatal injury,65 and over,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,3.44
2015/16,Fatal injury,,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Normal Value,,7.72
2015/16,Fatal injury,,,,,Construction,,"Rate per 100,000 workers",Units,Normal Value,,2.12
2015/16,Fatal injury,,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Normal Value,,2.04
2015/16,Fatal injury,,,,,Manufacturing,,"Rate per 100,000 workers",Units,Normal Value,,0.96
2015/16,Fatal injury,,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Normal Value,,1.45
2015/16,Fatal injury,,,,,Service industries,,"Rate per 100,000 workers",Units,Normal Value,,0.14
2015/16,Fatal injury,,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.47
2015/16,Fatal injury,,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.85
2015/16,Fatal injury,,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.03
2015/16,Fatal injury,16 to 19,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.19
2015/16,Fatal injury,20 to 24,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.21
2015/16,Fatal injury,25 to 34,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.28
2015/16,Fatal injury,35 to 44,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.4
2015/16,Fatal injury,45 to 54,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.47
2015/16,Fatal injury,55 to 59,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.52
2015/16,Fatal injury,60 to 64,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.97
2015/16,Fatal injury,65 and over,,,,,,"Rate per 100,000 workers",Units,Normal Value,,1.8
2015/16,Fatal injury,,,England and Wales,,,,"Rate per 100,000 workers",Units,Normal Value,K04000001,0.46
2015/16,Fatal injury,,,England,,,,"Rate per 100,000 workers",Units,Normal Value,E92000001,0.44
2015/16,Fatal injury,,,England,North East,,,"Rate per 100,000 workers",Units,Normal Value,E12000001,0.52
2015/16,Fatal injury,,,England,North West,,,"Rate per 100,000 workers",Units,Normal Value,E12000002,0.5
2015/16,Fatal injury,,,England,Yorkshire and The Humber,,,"Rate per 100,000 workers",Units,Normal Value,E12000003,0.57
2015/16,Fatal injury,,,England,East Midlands,,,"Rate per 100,000 workers",Units,Normal Value,E12000004,0.54
2015/16,Fatal injury,,,England,West Midlands,,,"Rate per 100,000 workers",Units,Normal Value,E12000005,0.6
2015/16,Fatal injury,,,England,East,,,"Rate per 100,000 workers",Units,Normal Value,E12000006,0.46
2015/16,Fatal injury,,,England,London,,,"Rate per 100,000 workers",Units,Normal Value,E12000007,0.34
2015/16,Fatal injury,,,England,South East,,,"Rate per 100,000 workers",Units,Normal Value,E12000008,0.25
2015/16,Fatal injury,,,England,South West,,,"Rate per 100,000 workers",Units,Normal Value,E12000009,0.43
2015/16,Fatal injury,,,Scotland,,,,"Rate per 100,000 workers",Units,Normal Value,S92000003,0.56
2015/16,Fatal injury,,,Wales,,,,"Rate per 100,000 workers",Units,Normal Value,W92000004,0.93
2015/16,Fatal injury,16 to 19,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.38
2015/16,Fatal injury,20 to 24,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.4
2015/16,Fatal injury,25 to 34,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.52
2015/16,Fatal injury,35 to 44,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.73
2015/16,Fatal injury,45 to 54,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.87
2015/16,Fatal injury,55 to 59,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,1
2015/16,Fatal injury,60 to 64,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,1.61
2015/16,Fatal injury,65 and over,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,2.83
2015/16,Fatal injury,16 to 19,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0
2015/16,Fatal injury,20 to 24,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0
2015/16,Fatal injury,25 to 34,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0
2015/16,Fatal injury,35 to 44,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.03
2015/16,Fatal injury,45 to 54,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.05
2015/16,Fatal injury,55 to 59,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0
2015/16,Fatal injury,60 to 64,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.13
2015/16,Fatal injury,65 and over,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.22
2016/17,Fatal injury,,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Normal Value,,7.31
2016/17,Fatal injury,,,,,Construction,,"Rate per 100,000 workers",Units,Normal Value,,1.42
2016/17,Fatal injury,,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Normal Value,,4.55
2016/17,Fatal injury,,,,,Manufacturing,,"Rate per 100,000 workers",Units,Normal Value,,0.63
2016/17,Fatal injury,,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Normal Value,,4.1
2016/17,Fatal injury,,,,,Service industries,,"Rate per 100,000 workers",Units,Normal Value,,0.14
2016/17,Fatal injury,,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.42
2016/17,Fatal injury,,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.78
2016/17,Fatal injury,,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.03
2016/17,Fatal injury,16 to 19,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.19
2016/17,Fatal injury,20 to 24,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.32
2016/17,Fatal injury,25 to 34,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.22
2016/17,Fatal injury,35 to 44,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.39
2016/17,Fatal injury,45 to 54,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.28
2016/17,Fatal injury,55 to 59,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.73
2016/17,Fatal injury,60 to 64,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.66
2016/17,Fatal injury,65 and over,,,,,,"Rate per 100,000 workers",Units,Normal Value,,1.92
2016/17,Fatal injury,,,England and Wales,,,,"Rate per 100,000 workers",Units,Normal Value,K04000001,0.41
2016/17,Fatal injury,,,England,,,,"Rate per 100,000 workers",Units,Normal Value,E92000001,0.39
2016/17,Fatal injury,,,England,North East,,,"Rate per 100,000 workers",Units,Normal Value,E12000001,0.51
2016/17,Fatal injury,,,England,North West,,,"Rate per 100,000 workers",Units,Normal Value,E12000002,0.32
2016/17,Fatal injury,,,England,Yorkshire and The Humber,,,"Rate per 100,000 workers",Units,Normal Value,E12000003,0.53
2016/17,Fatal injury,,,England,East Midlands,,,"Rate per 100,000 workers",Units,Normal Value,E12000004,0.76
2016/17,Fatal injury,,,England,West Midlands,,,"Rate per 100,000 workers",Units,Normal Value,E12000005,0.48
2016/17,Fatal injury,,,England,East,,,"Rate per 100,000 workers",Units,Normal Value,E12000006,0.32
2016/17,Fatal injury,,,England,London,,,"Rate per 100,000 workers",Units,Normal Value,E12000007,0.21
2016/17,Fatal injury,,,England,South East,,,"Rate per 100,000 workers",Units,Normal Value,E12000008,0.34
2016/17,Fatal injury,,,England,South West,,,"Rate per 100,000 workers",Units,Normal Value,E12000009,0.36
2016/17,Fatal injury,,,Wales,,,,"Rate per 100,000 workers",Units,Normal Value,W92000004,0.78
2016/17,Fatal injury,,,Scotland,,,,"Rate per 100,000 workers",Units,Normal Value,S92000003,0.67
2016/17,Fatal injury,16 to 19,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.4
2016/17,Fatal injury,20 to 24,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.62
2016/17,Fatal injury,25 to 34,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.41
2016/17,Fatal injury,35 to 44,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.71
2016/17,Fatal injury,45 to 54,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.53
2016/17,Fatal injury,55 to 59,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,1.35
2016/17,Fatal injury,60 to 64,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,1.17
2016/17,Fatal injury,65 and over,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,3.03
2016/17,Fatal injury,16 to 19,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0
2016/17,Fatal injury,20 to 24,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0
2016/17,Fatal injury,25 to 34,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0
2016/17,Fatal injury,35 to 44,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.03
2016/17,Fatal injury,45 to 54,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.03
2016/17,Fatal injury,55 to 59,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.07
2016/17,Fatal injury,60 to 64,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0
2016/17,Fatal injury,65 and over,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.21
2017/18,Fatal injury,,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Normal Value,,8.39
2017/18,Fatal injury,,,,,Construction,,"Rate per 100,000 workers",Units,Normal Value,,1.6
2017/18,Fatal injury,,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Normal Value,,3.06
2017/18,Fatal injury,,,,,Manufacturing,,"Rate per 100,000 workers",Units,Normal Value,,0.52
2017/18,Fatal injury,,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Normal Value,,3.35
2017/18,Fatal injury,,,,,Service industries,,"Rate per 100,000 workers",Units,Normal Value,,0.17
2017/18,Fatal injury,16 to 19,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.19
2017/18,Fatal injury,20 to 24,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.48
2017/18,Fatal injury,25 to 34,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.43
2017/18,Fatal injury,35 to 44,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.56
2017/18,Fatal injury,45 to 54,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.53
2017/18,Fatal injury,55 to 59,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.94
2017/18,Fatal injury,60 to 64,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,2.32
2017/18,Fatal injury,65 and over,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,3.73
2017/18,Fatal injury,16 to 19,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0
2017/18,Fatal injury,20 to 24,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.07
2017/18,Fatal injury,25 to 34,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0
2017/18,Fatal injury,35 to 44,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0
2017/18,Fatal injury,45 to 54,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.03
2017/18,Fatal injury,55 to 59,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.07
2017/18,Fatal injury,60 to 64,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0
2017/18,Fatal injury,65 and over,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.42
2017/18,Fatal injury,,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.44
2017/18,Fatal injury,,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.79
2017/18,Fatal injury,,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.04
2017/18,Fatal injury,16 to 19,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.1
2017/18,Fatal injury,20 to 24,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.29
2017/18,Fatal injury,25 to 34,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.23
2017/18,Fatal injury,35 to 44,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.3
2017/18,Fatal injury,45 to 54,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.28
2017/18,Fatal injury,55 to 59,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.52
2017/18,Fatal injury,60 to 64,,,,,,"Rate per 100,000 workers",Units,Normal Value,,1.27
2017/18,Fatal injury,65 and over,,,,,,"Rate per 100,000 workers",Units,Normal Value,,2.42
2017/18,Fatal injury,,,England and Wales,,,,"Rate per 100,000 workers",Units,Normal Value,K04000001,0.42
2017/18,Fatal injury,,,England,,,,"Rate per 100,000 workers",Units,Normal Value,E92000001,0.4
2017/18,Fatal injury,,,England,North East,,,"Rate per 100,000 workers",Units,Normal Value,E12000001,0.17
2017/18,Fatal injury,,,England,North West,,,"Rate per 100,000 workers",Units,Normal Value,E12000002,0.46
2017/18,Fatal injury,,,England,Yorkshire and The Humber,,,"Rate per 100,000 workers",Units,Normal Value,E12000003,0.49
2017/18,Fatal injury,,,England,East Midlands,,,"Rate per 100,000 workers",Units,Normal Value,E12000004,0.45
2017/18,Fatal injury,,,England,West Midlands,,,"Rate per 100,000 workers",Units,Normal Value,E12000005,0.51
2017/18,Fatal injury,,,England,East,,,"Rate per 100,000 workers",Units,Normal Value,E12000006,0.53
2017/18,Fatal injury,,,England,London,,,"Rate per 100,000 workers",Units,Normal Value,E12000007,0.21
2017/18,Fatal injury,,,England,South East,,,"Rate per 100,000 workers",Units,Normal Value,E12000008,0.36
2017/18,Fatal injury,,,England,South West,,,"Rate per 100,000 workers",Units,Normal Value,E12000009,0.41
2017/18,Fatal injury,,,Wales,,,,"Rate per 100,000 workers",Units,Normal Value,W92000004,0.91
2017/18,Fatal injury,,,Scotland,,,,"Rate per 100,000 workers",Units,Normal Value,S92000003,0.63
2018/19,Fatal injury,,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Normal Value,,9.21
2018/19,Fatal injury,,,,,Construction,,"Rate per 100,000 workers",Units,Normal Value,,1.36
2018/19,Fatal injury,,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Normal Value,,1.68
2018/19,Fatal injury,,,,,Manufacturing,,"Rate per 100,000 workers",Units,Normal Value,,0.92
2018/19,Fatal injury,,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Normal Value,,0
2018/19,Fatal injury,,,,,Service industries,,"Rate per 100,000 workers",Units,Normal Value,,0.2
2018/19,Fatal injury,,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.46
2018/19,Fatal injury,,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.83
2018/19,Fatal injury,,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.05
2018/19,Fatal injury,16 to 19,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.1
