Year,Units,Sustainability level,Unit measure,Unit multiplier,Observation status,Value
2015,B) State,B) Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,57.89473684210521
2016,B) State,B) Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,56.140350877193
1990,B) State,B) Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,29.824561403508802
1991,B) State,B) Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,35.0877192982456
1992,B) State,B) Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,36.8421052631579
1993,B) State,B) Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,38.5964912280702
1994,B) State,B) Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,33.3333333333333
1995,B) State,B) Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,38.5964912280702
1996,B) State,B) Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,38.5964912280702
1997,B) State,B) Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,35.0877192982456
1998,B) State,B) Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,35.0877192982456
1999,B) State,B) Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,35.0877192982456
2000,B) State,B) Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,40.3508771929825
2001,B) State,B) Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,38.5964912280702
2002,B) State,B) Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,35.0877192982456
2003,B) State,B) Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,33.3333333333333
2004,B) State,B) Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,33.3333333333333
2005,B) State,B) Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,36.8421052631579
2006,B) State,B) Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,38.5964912280702
2007,B) State,B) Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,40.3508771929825
2008,B) State,B) Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,35.0877192982456
2009,B) State,B) Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,31.5789473684211
2010,B) State,B) Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,31.5789473684211
2011,B) State,B) Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,31.5789473684211
2012,B) State,B) Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,26.315789473684102
2013,B) State,B) Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,22.8070175438596
2014,B) State,B) Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,26.315789473684102
2015,B) State,B) Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,26.315789473684102
2016,B) State,B) Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,22.8070175438596
1990,B) State,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,42.105263157894704
1991,B) State,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,40.3508771929825
1992,B) State,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,36.8421052631579
1993,B) State,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,29.824561403508802
1994,B) State,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,28.0701754385965
1995,B) State,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,28.0701754385965
1996,B) State,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,24.561403508771896
1997,B) State,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,26.315789473684102
1998,B) State,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,22.8070175438596
1999,B) State,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,21.0526315789474
2000,B) State,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,21.0526315789474
2001,B) State,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,19.2982456140351
2002,B) State,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,17.5438596491228
2003,B) State,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,15.7894736842105
2004,B) State,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,15.7894736842105
2005,B) State,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,14.035087719298199
2006,B) State,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,14.035087719298199
2007,B) State,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,14.035087719298199
2008,B) State,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,14.035087719298199
2009,B) State,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,14.035087719298199
2010,B) State,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,14.035087719298199
2011,B) State,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,14.035087719298199
2012,B) State,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,14.035087719298199
2013,B) State,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,14.035087719298199
2014,B) State,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,14.035087719298199
2015,B) State,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,15.7894736842105
2016,B) State,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,21.0526315789474
1990,A) Pressure,A) Percentage of fish stocks exploited below FMSY,Percentage (%),Units,Undefined,12.280701754386001
1991,A) Pressure,A) Percentage of fish stocks exploited below FMSY,Percentage (%),Units,Undefined,14.035087719298199
1992,A) Pressure,A) Percentage of fish stocks exploited below FMSY,Percentage (%),Units,Undefined,17.5438596491228
1993,A) Pressure,A) Percentage of fish stocks exploited below FMSY,Percentage (%),Units,Undefined,17.5438596491228
1994,A) Pressure,A) Percentage of fish stocks exploited below FMSY,Percentage (%),Units,Undefined,19.2982456140351
1995,A) Pressure,A) Percentage of fish stocks exploited below FMSY,Percentage (%),Units,Undefined,10.5263157894737
1996,A) Pressure,A) Percentage of fish stocks exploited below FMSY,Percentage (%),Units,Undefined,14.035087719298199
1997,A) Pressure,A) Percentage of fish stocks exploited below FMSY,Percentage (%),Units,Undefined,10.5263157894737
1998,A) Pressure,A) Percentage of fish stocks exploited below FMSY,Percentage (%),Units,Undefined,10.5263157894737
1999,A) Pressure,A) Percentage of fish stocks exploited below FMSY,Percentage (%),Units,Undefined,12.280701754386001
2000,A) Pressure,A) Percentage of fish stocks exploited below FMSY,Percentage (%),Units,Undefined,14.035087719298199
2001,A) Pressure,A) Percentage of fish stocks exploited below FMSY,Percentage (%),Units,Undefined,17.5438596491228
2002,A) Pressure,A) Percentage of fish stocks exploited below FMSY,Percentage (%),Units,Undefined,19.2982456140351
2003,A) Pressure,A) Percentage of fish stocks exploited below FMSY,Percentage (%),Units,Undefined,31.5789473684211
2004,A) Pressure,A) Percentage of fish stocks exploited below FMSY,Percentage (%),Units,Undefined,29.824561403508802
2005,A) Pressure,A) Percentage of fish stocks exploited below FMSY,Percentage (%),Units,Undefined,29.824561403508802
2006,A) Pressure,A) Percentage of fish stocks exploited below FMSY,Percentage (%),Units,Undefined,24.561403508771896
2007,A) Pressure,A) Percentage of fish stocks exploited below FMSY,Percentage (%),Units,Undefined,28.0701754385965
2008,A) Pressure,A) Percentage of fish stocks exploited below FMSY,Percentage (%),Units,Undefined,28.0701754385965
2009,A) Pressure,A) Percentage of fish stocks exploited below FMSY,Percentage (%),Units,Undefined,31.5789473684211
2010,A) Pressure,A) Percentage of fish stocks exploited below FMSY,Percentage (%),Units,Undefined,36.8421052631579
2011,A) Pressure,A) Percentage of fish stocks exploited below FMSY,Percentage (%),Units,Undefined,42.105263157894704
2012,A) Pressure,A) Percentage of fish stocks exploited below FMSY,Percentage (%),Units,Undefined,45.614035087719294
2013,A) Pressure,A) Percentage of fish stocks exploited below FMSY,Percentage (%),Units,Undefined,59.6491228070175
2014,A) Pressure,A) Percentage of fish stocks exploited below FMSY,Percentage (%),Units,Undefined,52.6315789473683
2015,A) Pressure,A) Percentage of fish stocks exploited below FMSY,Percentage (%),Units,Undefined,52.6315789473683
1990,A) Pressure,A) Percentage of fish stocks exploited above FMSY,Percentage (%),Units,Undefined,47.3684210526316
1991,A) Pressure,A) Percentage of fish stocks exploited above FMSY,Percentage (%),Units,Undefined,47.3684210526316
1992,A) Pressure,A) Percentage of fish stocks exploited above FMSY,Percentage (%),Units,Undefined,47.3684210526316
1993,A) Pressure,A) Percentage of fish stocks exploited above FMSY,Percentage (%),Units,Undefined,54.385964912280706
1994,A) Pressure,A) Percentage of fish stocks exploited above FMSY,Percentage (%),Units,Undefined,54.385964912280706
1995,A) Pressure,A) Percentage of fish stocks exploited above FMSY,Percentage (%),Units,Undefined,63.157894736842096
1996,A) Pressure,A) Percentage of fish stocks exploited above FMSY,Percentage (%),Units,Undefined,63.157894736842096
1997,A) Pressure,A) Percentage of fish stocks exploited above FMSY,Percentage (%),Units,Undefined,61.4035087719298
1998,A) Pressure,A) Percentage of fish stocks exploited above FMSY,Percentage (%),Units,Undefined,64.9122807017544
1999,A) Pressure,A) Percentage of fish stocks exploited above FMSY,Percentage (%),Units,Undefined,64.9122807017544
2000,A) Pressure,A) Percentage of fish stocks exploited above FMSY,Percentage (%),Units,Undefined,63.157894736842096
2001,A) Pressure,A) Percentage of fish stocks exploited above FMSY,Percentage (%),Units,Undefined,64.9122807017544
2002,A) Pressure,A) Percentage of fish stocks exploited above FMSY,Percentage (%),Units,Undefined,64.9122807017544
2003,A) Pressure,A) Percentage of fish stocks exploited above FMSY,Percentage (%),Units,Undefined,54.385964912280706
2004,A) Pressure,A) Percentage of fish stocks exploited above FMSY,Percentage (%),Units,Undefined,52.6315789473683
2005,A) Pressure,A) Percentage of fish stocks exploited above FMSY,Percentage (%),Units,Undefined,57.89473684210521
2006,A) Pressure,A) Percentage of fish stocks exploited above FMSY,Percentage (%),Units,Undefined,63.157894736842096
2007,A) Pressure,A) Percentage of fish stocks exploited above FMSY,Percentage (%),Units,Undefined,59.6491228070175
2008,A) Pressure,A) Percentage of fish stocks exploited above FMSY,Percentage (%),Units,Undefined,56.140350877193
2009,A) Pressure,A) Percentage of fish stocks exploited above FMSY,Percentage (%),Units,Undefined,56.140350877193
2010,A) Pressure,A) Percentage of fish stocks exploited above FMSY,Percentage (%),Units,Undefined,50.8771929824561
2011,A) Pressure,A) Percentage of fish stocks exploited above FMSY,Percentage (%),Units,Undefined,45.614035087719294
2012,A) Pressure,A) Percentage of fish stocks exploited above FMSY,Percentage (%),Units,Undefined,43.859649122807
2013,A) Pressure,A) Percentage of fish stocks exploited above FMSY,Percentage (%),Units,Undefined,29.824561403508802
2014,A) Pressure,A) Percentage of fish stocks exploited above FMSY,Percentage (%),Units,Undefined,36.8421052631579
2015,A) Pressure,A) Percentage of fish stocks exploited above FMSY,Percentage (%),Units,Undefined,35.0877192982456
1990,A) Pressure,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,40.3508771929825
1991,A) Pressure,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,38.5964912280702
1992,A) Pressure,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,35.0877192982456
1993,A) Pressure,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,28.0701754385965
1994,A) Pressure,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,26.315789473684102
1995,A) Pressure,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,26.315789473684102
1996,A) Pressure,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,22.8070175438596
1997,A) Pressure,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,28.0701754385965
1998,A) Pressure,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,24.561403508771896
1999,A) Pressure,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,22.8070175438596
2000,A) Pressure,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,22.8070175438596
2001,A) Pressure,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,17.5438596491228
2002,A) Pressure,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,15.7894736842105
2003,A) Pressure,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,14.035087719298199
2004,A) Pressure,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,17.5438596491228
2005,A) Pressure,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,12.280701754386001
2006,A) Pressure,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,12.280701754386001
2007,A) Pressure,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,12.280701754386001
2008,A) Pressure,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,15.7894736842105
2009,A) Pressure,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,12.280701754386001
2010,A) Pressure,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,12.280701754386001
2011,A) Pressure,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,12.280701754386001
2012,A) Pressure,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,10.5263157894737
2013,A) Pressure,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,10.5263157894737
2014,A) Pressure,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,10.5263157894737
2015,A) Pressure,Percentage of fish stocks unknown,Percentage (%),Units,Undefined,12.280701754386001
