Year,Country,Sustainably managed status,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2016,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.8
2017,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.81
2018,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.81
2004,England,Certified,Undefined,Units,Percentage (%),E92000001,2.29
2005,England,Certified,Undefined,Units,Percentage (%),E92000001,2.64
2006,England,Certified,Undefined,Units,Percentage (%),E92000001,2.71
2007,England,Certified,Undefined,Units,Percentage (%),E92000001,2.79
2008,England,Certified,Undefined,Units,Percentage (%),E92000001,2.65
2009,England,Certified,Undefined,Units,Percentage (%),E92000001,2.71
2010,England,Certified,Undefined,Units,Percentage (%),E92000001,2.74
2011,England,Certified,Undefined,Units,Percentage (%),E92000001,2.57
2012,England,Certified,Undefined,Units,Percentage (%),E92000001,2.72
2013,England,Certified,Undefined,Units,Percentage (%),E92000001,2.72
2014,England,Certified,Undefined,Units,Percentage (%),E92000001,2.68
2015,England,Certified,Undefined,Units,Percentage (%),E92000001,2.73
2016,England,Certified,Undefined,Units,Percentage (%),E92000001,2.59
2017,England,Certified,Undefined,Units,Percentage (%),E92000001,2.58
2018,England,Certified,Undefined,Units,Percentage (%),E92000001,2.55
2004,,Certified,Undefined,Units,Percentage (%),,4.78
2005,,Certified,Undefined,Units,Percentage (%),,5.18
2006,,Certified,Undefined,Units,Percentage (%),,5.25
2007,,Certified,Undefined,Units,Percentage (%),,5.46
2008,,Certified,Undefined,Units,Percentage (%),,5.4
2009,,Certified,Undefined,Units,Percentage (%),,5.49
2010,,Certified,Undefined,Units,Percentage (%),,5.55
2011,,Certified,Undefined,Units,Percentage (%),,5.46
2012,,Certified,Undefined,Units,Percentage (%),,5.63
2013,,Certified,Undefined,Units,Percentage (%),,5.62
2014,,Certified,Undefined,Units,Percentage (%),,5.68
2015,,Certified,Undefined,Units,Percentage (%),,5.67
2016,,Certified,Undefined,Units,Percentage (%),,5.57
2017,,Certified,Undefined,Units,Percentage (%),,5.72
2018,,Certified,Undefined,Units,Percentage (%),,5.67
2004,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,8.42
2005,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,8.23
2006,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,8.25
2007,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,8.21
2008,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,8.34
2009,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,8.17
2010,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,8.19
2011,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,8.2
2012,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,8.02
2013,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,8.0
2014,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,7.94
2015,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,7.94
2016,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,7.98
2017,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,7.84
2018,Wales,Non-certified,Undefined,Units,Percentage (%),W92000004,7.87
2004,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,8.76
2005,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,8.2
2006,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,8.18
2007,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,7.75
2008,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,7.73
2009,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,7.64
2010,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,7.52
2011,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,7.59
2012,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,7.64
2013,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,7.79
2014,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,7.73
2015,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,7.94
2016,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,8.07
2017,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,7.66
2018,Scotland,Non-certified,Undefined,Units,Percentage (%),S92000003,7.85
2004,Northern Ireland,Non-certified,Undefined,Units,Percentage (%),N92000002,1.52
2005,Northern Ireland,Non-certified,Undefined,Units,Percentage (%),N92000002,1.59
2006,Northern Ireland,Non-certified,Undefined,Units,Percentage (%),N92000002,1.63
2007,Northern Ireland,Non-certified,Undefined,Units,Percentage (%),N92000002,1.67
2008,Northern Ireland,Non-certified,Undefined,Units,Percentage (%),N92000002,1.69
2009,Northern Ireland,Non-certified,Undefined,Units,Percentage (%),N92000002,1.66
2010,Northern Ireland,Non-certified,Undefined,Units,Percentage (%),N92000002,1.74
2011,Northern Ireland,Non-certified,Undefined,Units,Percentage (%),N92000002,1.8
2012,Northern Ireland,Non-certified,Undefined,Units,Percentage (%),N92000002,2.99
2013,Northern Ireland,Non-certified,Undefined,Units,Percentage (%),N92000002,3.41
2014,Northern Ireland,Non-certified,Undefined,Units,Percentage (%),N92000002,3.43
2015,Northern Ireland,Non-certified,Undefined,Units,Percentage (%),N92000002,3.44
2016,Northern Ireland,Non-certified,Undefined,Units,Percentage (%),N92000002,3.45
2017,Northern Ireland,Non-certified,Undefined,Units,Percentage (%),N92000002,3.46
2018,Northern Ireland,Non-certified,Undefined,Units,Percentage (%),N92000002,3.48
2004,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.47
2005,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.16
2006,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.11
2007,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.05
2008,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.21
2009,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.18
2010,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.16
2011,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.35
2012,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.23
2013,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.24
2014,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.31
2015,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.29
2016,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.43
2017,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.44
2018,England,Non-certified,Undefined,Units,Percentage (%),E92000001,7.48
2004,,Non-certified,Undefined,Units,Percentage (%),,7.63
2005,,Non-certified,Undefined,Units,Percentage (%),,7.27
2006,,Non-certified,Undefined,Units,Percentage (%),,7.24
2007,,Non-certified,Undefined,Units,Percentage (%),,7.07
2008,,Non-certified,Undefined,Units,Percentage (%),,7.17
2009,,Non-certified,Undefined,Units,Percentage (%),,7.1
2010,,Non-certified,Undefined,Units,Percentage (%),,7.06
2011,,Non-certified,Undefined,Units,Percentage (%),,7.19
2012,,Non-certified,Undefined,Units,Percentage (%),,7.19
2013,,Non-certified,Undefined,Units,Percentage (%),,7.27
2014,,Non-certified,Undefined,Units,Percentage (%),,7.28
2015,,Non-certified,Undefined,Units,Percentage (%),,7.34
2016,,Non-certified,Undefined,Units,Percentage (%),,7.46
2017,,Non-certified,Undefined,Units,Percentage (%),,7.32
2018,,Non-certified,Undefined,Units,Percentage (%),,7.41
2004,Wales,,Undefined,Units,Percentage (%),W92000004,14.53
2005,Wales,,Undefined,Units,Percentage (%),W92000004,14.55
2006,Wales,,Undefined,Units,Percentage (%),W92000004,14.58
2007,Wales,,Undefined,Units,Percentage (%),W92000004,14.6
2008,Wales,,Undefined,Units,Percentage (%),W92000004,14.61
2009,Wales,,Undefined,Units,Percentage (%),W92000004,14.62
2010,Wales,,Undefined,Units,Percentage (%),W92000004,14.63
2011,Wales,,Undefined,Units,Percentage (%),W92000004,14.64
2012,Wales,,Undefined,Units,Percentage (%),W92000004,14.69
2013,Wales,,Undefined,Units,Percentage (%),W92000004,14.73
2014,Wales,,Undefined,Units,Percentage (%),W92000004,14.75
2015,Wales,,Undefined,Units,Percentage (%),W92000004,14.76
2016,Wales,,Undefined,Units,Percentage (%),W92000004,14.79
2017,Wales,,Undefined,Units,Percentage (%),W92000004,14.84
2018,Wales,,Undefined,Units,Percentage (%),W92000004,14.85
2004,Scotland,,Undefined,Units,Percentage (%),S92000003,17.36
2005,Scotland,,Undefined,Units,Percentage (%),S92000003,17.43
2006,Scotland,,Undefined,Units,Percentage (%),S92000003,17.48
2007,Scotland,,Undefined,Units,Percentage (%),S92000003,17.56
2008,Scotland,,Undefined,Units,Percentage (%),S92000003,17.61
2009,Scotland,,Undefined,Units,Percentage (%),S92000003,17.66
2010,Scotland,,Undefined,Units,Percentage (%),S92000003,17.69
2011,Scotland,,Undefined,Units,Percentage (%),S92000003,17.76
2012,Scotland,,Undefined,Units,Percentage (%),S92000003,18.01
2013,Scotland,,Undefined,Units,Percentage (%),S92000003,18.11
2014,Scotland,,Undefined,Units,Percentage (%),S92000003,18.28
2015,Scotland,,Undefined,Units,Percentage (%),S92000003,18.38
2016,Scotland,,Undefined,Units,Percentage (%),S92000003,18.42
2017,Scotland,,Undefined,Units,Percentage (%),S92000003,18.45
2018,Scotland,,Undefined,Units,Percentage (%),S92000003,18.54
2004,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,6.31
2005,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,6.26
2006,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,6.3
2007,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,6.39
2008,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,6.43
2009,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,6.45
2010,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,6.46
2011,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,6.47
2012,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,7.74
2013,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,8.17
2014,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,8.2
2015,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,8.24
2016,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,8.25
2017,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,8.27
2018,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,8.29
2004,England,,Undefined,Units,Percentage (%),E92000001,9.76
2005,England,,Undefined,Units,Percentage (%),E92000001,9.8
2006,England,,Undefined,Units,Percentage (%),E92000001,9.82
2007,England,,Undefined,Units,Percentage (%),E92000001,9.85
2008,England,,Undefined,Units,Percentage (%),E92000001,9.86
2009,England,,Undefined,Units,Percentage (%),E92000001,9.88
2010,England,,Undefined,Units,Percentage (%),E92000001,9.9
2011,England,,Undefined,Units,Percentage (%),E92000001,9.92
2012,England,,Undefined,Units,Percentage (%),E92000001,9.96
2013,England,,Undefined,Units,Percentage (%),E92000001,9.96
2014,England,,Undefined,Units,Percentage (%),E92000001,9.99
2015,England,,Undefined,Units,Percentage (%),E92000001,10.01
2016,England,,Undefined,Units,Percentage (%),E92000001,10.02
2017,England,,Undefined,Units,Percentage (%),E92000001,10.02
2018,England,,Undefined,Units,Percentage (%),E92000001,10.03
2004,,,Undefined,Units,Percentage (%),,12.41
2005,,,Undefined,Units,Percentage (%),,12.46
2006,,,Undefined,Units,Percentage (%),,12.49
2007,,,Undefined,Units,Percentage (%),,12.54
2008,,,Undefined,Units,Percentage (%),,12.57
2009,,,Undefined,Units,Percentage (%),,12.59
2010,,,Undefined,Units,Percentage (%),,12.61
2011,,,Undefined,Units,Percentage (%),,12.65
2012,,,Undefined,Units,Percentage (%),,12.82
2013,,,Undefined,Units,Percentage (%),,12.89
2014,,,Undefined,Units,Percentage (%),,12.96
2015,,,Undefined,Units,Percentage (%),,13.01
2016,,,Undefined,Units,Percentage (%),,13.02
2017,,,Undefined,Units,Percentage (%),,13.04
2018,,,Undefined,Units,Percentage (%),,13.08
