Year,Flow of offical development assistance (ODA),Aid sub-category description (DAC 5 code),Aid description (CRS code),Value
2015,Bilateral,"Energy generation, distribution and efficiency – general (231)",Energy education/training (23181),0.0
2015,Bilateral,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),32435.114488
2015,Bilateral,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),8503.88692
2015,Bilateral,"Energy generation, distribution and efficiency – general (231)",,40939.001408
2015,Bilateral,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),0.0
2015,Bilateral,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",-209.12648
2015,Bilateral,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),0.0
2015,Bilateral,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),0.0
2015,Bilateral,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),4453.60016
2015,Bilateral,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),0.0
2015,Bilateral,"Energy generation, non-renewable sources (233)",,4244.47368
2015,Bilateral,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),0.0
2015,Bilateral,"Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",39894.01288
2015,Bilateral,"Energy generation, renewable sources (232)",Geothermal energy (23260),16237.55421
2015,Bilateral,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),0.0
2015,Bilateral,"Energy generation, renewable sources (232)",Marine energy (23250),0.0
2015,Bilateral,"Energy generation, renewable sources (232)",Solar energy (23230),0.0
2015,Bilateral,"Energy generation, renewable sources (232)",Wind energy (23240),0.0
2015,Bilateral,"Energy generation, renewable sources (232)",,56131.56709
2015,Bilateral,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),0.0
2015,Bilateral,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),11196.79771
2015,Bilateral,"Heating, cooling and energy distribution (236)",Gas distribution (23640),0.0
2015,Bilateral,"Heating, cooling and energy distribution (236)",Heat plants (23610),0.0
2015,Bilateral,"Heating, cooling and energy distribution (236)",,11196.79771
2015,Bilateral,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),0.0
2015,Bilateral,Hybrid energy electric power plants (234),,0.0
2015,Bilateral,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),0.0
2015,Bilateral,Nuclear energy electric power plants (235),,0.0
2015,Bilateral,,,112511.839888
2015,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),477.1489572626482
2015,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy education/training (23181),2716.818610064537
2015,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),103663.4903535324
2015,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),55.48050272976255
2015,Multilateral,"Energy generation, distribution and efficiency – general (231)",,106912.9384235893
2015,Multilateral,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),4.28011753382141
2015,Multilateral,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",2942.875981343039
2015,Multilateral,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),1207.794094038401
2015,Multilateral,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),7995.96746515409
2015,Multilateral,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),0.0
2015,Multilateral,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),0.9072943374569166
2015,Multilateral,"Energy generation, non-renewable sources (233)",,12151.82495240681
2015,Multilateral,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),1208.118760515438
2015,Multilateral,"Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",25339.51367941503
2015,Multilateral,"Energy generation, renewable sources (232)",Geothermal energy (23260),4543.101357533258
2015,Multilateral,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),19956.88405155237
2015,Multilateral,"Energy generation, renewable sources (232)",Marine energy (23250),0.0
2015,Multilateral,"Energy generation, renewable sources (232)",Solar energy (23230),171469.2527693109
2015,Multilateral,"Energy generation, renewable sources (232)",Wind energy (23240),5774.36250127971
2015,Multilateral,"Energy generation, renewable sources (232)",,228291.2331196067
2015,Multilateral,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),2.783074332451858
2015,Multilateral,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),84252.20705927117
2015,Multilateral,"Heating, cooling and energy distribution (236)",Gas distribution (23640),225.9318917830327
2015,Multilateral,"Heating, cooling and energy distribution (236)",Heat plants (23610),0.0
2015,Multilateral,"Heating, cooling and energy distribution (236)",,84480.92202538665
2015,Multilateral,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),0.0
2015,Multilateral,Hybrid energy electric power plants (234),,0.0
2015,Multilateral,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),3621.606004077079
2015,Multilateral,Nuclear energy electric power plants (235),,3621.606004077079
2015,Multilateral,,,435458.5245250665
2015,,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),477.1489572626482
2015,,"Energy generation, distribution and efficiency – general (231)",Energy education/training (23181),2716.818610064537
2015,,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),136098.6048415324
2015,,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),8559.367422729763
2015,,"Energy generation, distribution and efficiency – general (231)",,147851.9398315893
2015,,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),4.28011753382141
2015,,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",2733.749501343039
2015,,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),1207.794094038401
2015,,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),7995.96746515409
2015,,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),4453.60016
2015,,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),0.9072943374569166
2015,,"Energy generation, non-renewable sources (233)",,16396.29863240681
2015,,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),1208.118760515438
2015,,"Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",65233.52655941503
2015,,"Energy generation, renewable sources (232)",Geothermal energy (23260),20780.65556753326
2015,,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),19956.88405155237
2015,,"Energy generation, renewable sources (232)",Marine energy (23250),0.0
2015,,"Energy generation, renewable sources (232)",Solar energy (23230),171469.2527693109
2015,,"Energy generation, renewable sources (232)",Wind energy (23240),5774.36250127971
2015,,"Energy generation, renewable sources (232)",,284422.8002096067
2015,,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),2.783074332451858
2015,,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),95449.00476927117
2015,,"Heating, cooling and energy distribution (236)",Gas distribution (23640),225.9318917830327
2015,,"Heating, cooling and energy distribution (236)",Heat plants (23610),0.0
2015,,"Heating, cooling and energy distribution (236)",,95677.71973538665
2015,,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),0.0
2015,,Hybrid energy electric power plants (234),,0.0
2015,,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),3621.606004077079
2015,,Nuclear energy electric power plants (235),,3621.606004077079
2015,,,,547970.3644130665
2016,Bilateral,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),0.0
2016,Bilateral,"Energy generation, distribution and efficiency – general (231)",Energy education/training (23181),145.82242
2016,Bilateral,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),95155.03722
2016,Bilateral,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),11520.81623
2016,Bilateral,"Energy generation, distribution and efficiency – general (231)",,106821.67587
2016,Bilateral,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),0.0
2016,Bilateral,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",31.35747999999995
2016,Bilateral,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),0.0
2016,Bilateral,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),0.0
2016,Bilateral,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),0.0
2016,Bilateral,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),0.0
2016,Bilateral,"Energy generation, non-renewable sources (233)",,31.35747999999995
2016,Bilateral,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),29.64
2016,Bilateral,"Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",72454.54288
2016,Bilateral,"Energy generation, renewable sources (232)",Geothermal energy (23260),6719.52444
2016,Bilateral,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),26.11686
2016,Bilateral,"Energy generation, renewable sources (232)",Marine energy (23250),0.0
2016,Bilateral,"Energy generation, renewable sources (232)",Solar energy (23230),13.25212
2016,Bilateral,"Energy generation, renewable sources (232)",Wind energy (23240),56.70396
2016,Bilateral,"Energy generation, renewable sources (232)",,79299.78026
2016,Bilateral,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),0.0
2016,Bilateral,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),13932.91832
2016,Bilateral,"Heating, cooling and energy distribution (236)",Gas distribution (23640),0.0
2016,Bilateral,"Heating, cooling and energy distribution (236)",Heat plants (23610),0.0
2016,Bilateral,"Heating, cooling and energy distribution (236)",,13932.91832
2016,Bilateral,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),0.0
2016,Bilateral,Hybrid energy electric power plants (234),,0.0
2016,Bilateral,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),0.0
2016,Bilateral,Nuclear energy electric power plants (235),,0.0
2016,Bilateral,,,200085.73193
2016,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),705.1148451638783
2016,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy education/training (23181),456.8354790202105
2016,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),43395.13941531904
2016,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),61.80075743523507
2016,Multilateral,"Energy generation, distribution and efficiency – general (231)",,44618.89049693837
2016,Multilateral,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),41.62110766810692
2016,Multilateral,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",8378.158823630183
2016,Multilateral,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),328.8950997431086
2016,Multilateral,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),5282.001605786051
2016,Multilateral,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),1.0
2016,Multilateral,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),117.093057861586
2016,Multilateral,"Energy generation, non-renewable sources (233)",,14147.76969468904
2016,Multilateral,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),810.1685617259056
2016,Multilateral,"Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",48811.78907943275
2016,Multilateral,"Energy generation, renewable sources (232)",Geothermal energy (23260),4337.502630231261
2016,Multilateral,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),19058.53098773506
2016,Multilateral,"Energy generation, renewable sources (232)",Marine energy (23250),1.0
2016,Multilateral,"Energy generation, renewable sources (232)",Solar energy (23230),16938.36647179378
2016,Multilateral,"Energy generation, renewable sources (232)",Wind energy (23240),7924.713493272822
2016,Multilateral,"Energy generation, renewable sources (232)",,97882.07122419158
2016,Multilateral,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),0.0
2016,Multilateral,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),104711.0769396542
2016,Multilateral,"Heating, cooling and energy distribution (236)",Gas distribution (23640),21513.8585007615
2016,Multilateral,"Heating, cooling and energy distribution (236)",Heat plants (23610),1.0
2016,Multilateral,"Heating, cooling and energy distribution (236)",,126225.9354404157
2016,Multilateral,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),1.0
2016,Multilateral,Hybrid energy electric power plants (234),,1.0
2016,Multilateral,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),9669.302548393445
2016,Multilateral,Nuclear energy electric power plants (235),,9669.302548393445
2016,Multilateral,,,292544.969404628
2016,,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),705.1148451638783
2016,,"Energy generation, distribution and efficiency – general (231)",Energy education/training (23181),602.6578990202105
2016,,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),138550.176635319
2016,,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),11582.61698743523
2016,,"Energy generation, distribution and efficiency – general (231)",,151440.5663669384
2016,,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),41.62110766810692
2016,,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",8409.516303630184
2016,,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),328.8950997431086
2016,,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),5282.001605786051
2016,,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),1.0
2016,,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),117.093057861586
2016,,"Energy generation, non-renewable sources (233)",,14179.12717468904
2016,,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),839.8085617259056
2016,,"Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",121266.3319594327
