Year,Cause of death,Region of Origin,Age,Sex,Observation status,Unit multiplier,Units,Value
2015,Sickness/lack of acess to adequate healthcare,,,Male,Normal value,Units,Number,1.0
2016,Sickness/lack of acess to adequate healthcare,,,Male,Normal value,Units,Number,1.0
2017,Sickness/lack of acess to adequate healthcare,,,Male,Normal value,Units,Number,0.0
2018,Sickness/lack of acess to adequate healthcare,,,Male,Normal value,Units,Number,0.0
2019,Sickness/lack of acess to adequate healthcare,,,Male,Normal value,Units,Number,0.0
2020,Sickness/lack of acess to adequate healthcare,,,Male,Normal value,Units,Number,0.0
2021,Sickness/lack of acess to adequate healthcare,,,Male,Normal value,Units,Number,1.0
2014,Sickness/lack of acess to adequate healthcare,,Under 18,,Normal value,Units,Number,0.0
2015,Sickness/lack of acess to adequate healthcare,,Under 18,,Normal value,Units,Number,0.0
2016,Sickness/lack of acess to adequate healthcare,,Under 18,,Normal value,Units,Number,0.0
2017,Sickness/lack of acess to adequate healthcare,,Under 18,,Normal value,Units,Number,0.0
2018,Sickness/lack of acess to adequate healthcare,,Under 18,,Normal value,Units,Number,0.0
2019,Sickness/lack of acess to adequate healthcare,,Under 18,,Normal value,Units,Number,0.0
2020,Sickness/lack of acess to adequate healthcare,,Under 18,,Normal value,Units,Number,0.0
2021,Sickness/lack of acess to adequate healthcare,,Under 18,,Normal value,Units,Number,0.0
2014,Vehicle accident/death linked to hazardous transport,,,,Normal value,Units,Number,12.0
2015,Vehicle accident/death linked to hazardous transport,,,,Normal value,Units,Number,27.0
2016,Vehicle accident/death linked to hazardous transport,,,,Normal value,Units,Number,15.0
2017,Vehicle accident/death linked to hazardous transport,,,,Normal value,Units,Number,8.0
2018,Vehicle accident/death linked to hazardous transport,,,,Normal value,Units,Number,8.0
2019,Vehicle accident/death linked to hazardous transport,,,,Normal value,Units,Number,45.0
2020,Vehicle accident/death linked to hazardous transport,,,,Normal value,Units,Number,2.0
2021,Vehicle accident/death linked to hazardous transport,,,,Normal value,Units,Number,6.0
2014,Vehicle accident/death linked to hazardous transport,,,Female,Normal value,Units,Number,1.0
2015,Vehicle accident/death linked to hazardous transport,,,Female,Normal value,Units,Number,4.0
2016,Vehicle accident/death linked to hazardous transport,,,Female,Normal value,Units,Number,1.0
2017,Vehicle accident/death linked to hazardous transport,,,Female,Normal value,Units,Number,0.0
2018,Vehicle accident/death linked to hazardous transport,,,Female,Normal value,Units,Number,0.0
2019,Vehicle accident/death linked to hazardous transport,,,Female,Normal value,Units,Number,8.0
2020,Vehicle accident/death linked to hazardous transport,,,Female,Normal value,Units,Number,0.0
2021,Vehicle accident/death linked to hazardous transport,,,Female,Normal value,Units,Number,0.0
2014,Vehicle accident/death linked to hazardous transport,,,Male,Normal value,Units,Number,9.0
2015,Vehicle accident/death linked to hazardous transport,,,Male,Normal value,Units,Number,22.0
2016,Vehicle accident/death linked to hazardous transport,,,Male,Normal value,Units,Number,13.0
2017,Vehicle accident/death linked to hazardous transport,,,Male,Normal value,Units,Number,8.0
2018,Vehicle accident/death linked to hazardous transport,,,Male,Normal value,Units,Number,8.0
2019,Vehicle accident/death linked to hazardous transport,,,Male,Normal value,Units,Number,36.0
2020,Vehicle accident/death linked to hazardous transport,,,Male,Normal value,Units,Number,2.0
2021,Vehicle accident/death linked to hazardous transport,,,Male,Normal value,Units,Number,5.0
2014,Vehicle accident/death linked to hazardous transport,,Under 18,,Normal value,Units,Number,4.0
2015,Vehicle accident/death linked to hazardous transport,,Under 18,,Normal value,Units,Number,4.0
2016,Vehicle accident/death linked to hazardous transport,,Under 18,,Normal value,Units,Number,5.0
2017,Vehicle accident/death linked to hazardous transport,,Under 18,,Normal value,Units,Number,4.0
2018,Vehicle accident/death linked to hazardous transport,,Under 18,,Normal value,Units,Number,1.0
2019,Vehicle accident/death linked to hazardous transport,,Under 18,,Normal value,Units,Number,4.0
2020,Vehicle accident/death linked to hazardous transport,,Under 18,,Normal value,Units,Number,1.0
2021,Vehicle accident/death linked to hazardous transport,,Under 18,,Normal value,Units,Number,2.0
2014,Violence,,,,Normal value,Units,Number,2.0
2015,Violence,,,,Normal value,Units,Number,1.0
2016,Violence,,,,Normal value,Units,Number,3.0
2017,Violence,,,,Normal value,Units,Number,0.0
2018,Violence,,,,Normal value,Units,Number,2.0
2019,Violence,,,,Normal value,Units,Number,0.0
2020,Violence,,,,Normal value,Units,Number,0.0
2021,Violence,,,,Normal value,Units,Number,0.0
2014,Violence,,,Female,Normal value,Units,Number,0.0
2015,Violence,,,Female,Normal value,Units,Number,0.0
2016,Violence,,,Female,Normal value,Units,Number,0.0
2017,Violence,,,Female,Normal value,Units,Number,0.0
2018,Violence,,,Female,Normal value,Units,Number,0.0
2019,Violence,,,Female,Normal value,Units,Number,0.0
2020,Violence,,,Female,Normal value,Units,Number,0.0
2021,Violence,,,Female,Normal value,Units,Number,0.0
2014,Violence,,,Male,Normal value,Units,Number,2.0
2015,Violence,,,Male,Normal value,Units,Number,1.0
2016,Violence,,,Male,Normal value,Units,Number,3.0
2017,Violence,,,Male,Normal value,Units,Number,0.0
2018,Violence,,,Male,Normal value,Units,Number,2.0
2019,Violence,,,Male,Normal value,Units,Number,0.0
2020,Violence,,,Male,Normal value,Units,Number,0.0
2021,Violence,,,Male,Normal value,Units,Number,0.0
2014,Violence,,Under 18,,Normal value,Units,Number,0.0
2015,Violence,,Under 18,,Normal value,Units,Number,0.0
2016,Violence,,Under 18,,Normal value,Units,Number,0.0
2017,Violence,,Under 18,,Normal value,Units,Number,0.0
2018,Violence,,Under 18,,Normal value,Units,Number,0.0
2019,Violence,,Under 18,,Normal value,Units,Number,0.0
2020,Violence,,Under 18,,Normal value,Units,Number,0.0
2021,Violence,,Under 18,,Normal value,Units,Number,0.0
2014,Mixed or Unknown,,,,Normal value,Units,Number,1.0
2015,Mixed or Unknown,,,,Normal value,Units,Number,0.0
2016,Mixed or Unknown,,,,Normal value,Units,Number,2.0
2017,Mixed or Unknown,,,,Normal value,Units,Number,0.0
2018,Mixed or Unknown,,,,Normal value,Units,Number,0.0
2019,Mixed or Unknown,,,,Normal value,Units,Number,0.0
2020,Mixed or Unknown,,,,Normal value,Units,Number,1.0
2021,Mixed or Unknown,,,,Normal value,Units,Number,1.0
2014,Mixed or Unknown,,,Female,Normal value,Units,Number,0.0
2015,Mixed or Unknown,,,Female,Normal value,Units,Number,0.0
2016,Mixed or Unknown,,,Female,Normal value,Units,Number,0.0
2017,Mixed or Unknown,,,Female,Normal value,Units,Number,0.0
2018,Mixed or Unknown,,,Female,Normal value,Units,Number,0.0
2019,Mixed or Unknown,,,Female,Normal value,Units,Number,0.0
2020,Mixed or Unknown,,,Female,Normal value,Units,Number,0.0
2021,Mixed or Unknown,,,Female,Normal value,Units,Number,0.0
2014,Mixed or Unknown,,,Male,Normal value,Units,Number,1.0
2015,Mixed or Unknown,,,Male,Normal value,Units,Number,0.0
2016,Mixed or Unknown,,,Male,Normal value,Units,Number,2.0
2017,Mixed or Unknown,,,Male,Normal value,Units,Number,0.0
2018,Mixed or Unknown,,,Male,Normal value,Units,Number,0.0
2019,Mixed or Unknown,,,Male,Normal value,Units,Number,0.0
2020,Mixed or Unknown,,,Male,Normal value,Units,Number,1.0
2021,Mixed or Unknown,,,Male,Normal value,Units,Number,1.0
2014,Mixed or Unknown,,Under 18,,Normal value,Units,Number,0.0
2015,Mixed or Unknown,,Under 18,,Normal value,Units,Number,0.0
2016,Mixed or Unknown,,Under 18,,Normal value,Units,Number,1.0
2017,Mixed or Unknown,,Under 18,,Normal value,Units,Number,0.0
2018,Mixed or Unknown,,Under 18,,Normal value,Units,Number,0.0
2019,Mixed or Unknown,,Under 18,,Normal value,Units,Number,0.0
2020,Mixed or Unknown,,Under 18,,Normal value,Units,Number,0.0
2021,Mixed or Unknown,,Under 18,,Normal value,Units,Number,0.0
2014,,Eastern Africa,,,Normal value,Units,Number,7.0
2015,,Eastern Africa,,,Normal value,Units,Number,8.0
2016,,Eastern Africa,,,Normal value,Units,Number,5.0
2017,,Eastern Africa,,,Normal value,Units,Number,3.0
2018,,Eastern Africa,,,Normal value,Units,Number,4.0
2019,,Eastern Africa,,,Normal value,Units,Number,3.0
2020,,Eastern Africa,,,Normal value,Units,Number,0.0
2021,,Eastern Africa,,,Normal value,Units,Number,3.0
2014,,Europe,,,Normal value,Units,Number,1.0
2015,,Europe,,,Normal value,Units,Number,0.0
2016,,Europe,,,Normal value,Units,Number,0.0
2017,,Europe,,,Normal value,Units,Number,0.0
2018,,Europe,,,Normal value,Units,Number,0.0
2019,,Europe,,,Normal value,Units,Number,0.0
2020,,Europe,,,Normal value,Units,Number,0.0
2021,,Europe,,,Normal value,Units,Number,0.0
2014,,Middle Africa,,,Normal value,Units,Number,0.0
2015,,Middle Africa,,,Normal value,Units,Number,0.0
2016,,Middle Africa,,,Normal value,Units,Number,1.0
2017,,Middle Africa,,,Normal value,Units,Number,0.0
2018,,Middle Africa,,,Normal value,Units,Number,1.0
2019,,Middle Africa,,,Normal value,Units,Number,0.0
2020,,Middle Africa,,,Normal value,Units,Number,0.0
2021,,Middle Africa,,,Normal value,Units,Number,0.0
2014,,Northern Africa,,,Normal value,Units,Number,3.0
2015,,Northern Africa,,,Normal value,Units,Number,9.0
2016,,Northern Africa,,,Normal value,Units,Number,4.0
2017,,Northern Africa,,,Normal value,Units,Number,2.0
2018,,Northern Africa,,,Normal value,Units,Number,0.0
2019,,Northern Africa,,,Normal value,Units,Number,0.0
2020,,Northern Africa,,,Normal value,Units,Number,2.0
2021,,Northern Africa,,,Normal value,Units,Number,2.0
2014,,Sub-Sahran Africa,,,Normal value,Units,Number,0.0
2015,,Sub-Sahran Africa,,,Normal value,Units,Number,0.0
2016,,Sub-Sahran Africa,,,Normal value,Units,Number,1.0
2017,,Sub-Sahran Africa,,,Normal value,Units,Number,0.0
2018,,Sub-Sahran Africa,,,Normal value,Units,Number,1.0
2019,,Sub-Sahran Africa,,,Normal value,Units,Number,0.0
2020,,Sub-Sahran Africa,,,Normal value,Units,Number,0.0
2021,,Sub-Sahran Africa,,,Normal value,Units,Number,0.0
2014,,Southern Asia,,,Normal value,Units,Number,2.0
2015,,Southern Asia,,,Normal value,Units,Number,8.0
2016,,Southern Asia,,,Normal value,Units,Number,7.0
2017,,Southern Asia,,,Normal value,Units,Number,3.0
2018,,Southern Asia,,,Normal value,Units,Number,3.0
2019,,Southern Asia,,,Normal value,Units,Number,40.0
2020,,Southern Asia,,,Normal value,Units,Number,0.0
2021,,Southern Asia,,,Normal value,Units,Number,2.0
2014,,Western Africa,,,Normal value,Units,Number,0.0
2015,,Western Africa,,,Normal value,Units,Number,0.0
2016,,Western Africa,,,Normal value,Units,Number,1.0
2017,,Western Africa,,,Normal value,Units,Number,0.0
2018,,Western Africa,,,Normal value,Units,Number,1.0
2019,,Western Africa,,,Normal value,Units,Number,2.0
2020,,Western Africa,,,Normal value,Units,Number,0.0
2021,,Western Africa,,,Normal value,Units,Number,0.0
2014,,Western Asia,,,Normal value,Units,Number,2.0
2015,,Western Asia,,,Normal value,Units,Number,4.0
2016,,Western Asia,,,Normal value,Units,Number,2.0
2017,,Western Asia,,,Normal value,Units,Number,0.0
2018,,Western Asia,,,Normal value,Units,Number,0.0
2019,,Western Asia,,,Normal value,Units,Number,3.0
2020,,Western Asia,,,Normal value,Units,Number,1.0
2021,,Western Asia,,,Normal value,Units,Number,27.0
2014,,Unknown,,,Normal value,Units,Number,2.0
2015,,Unknown,,,Normal value,Units,Number,2.0
2016,,Unknown,,,Normal value,Units,Number,1.0
2017,,Unknown,,,Normal value,Units,Number,0.0
2018,,Unknown,,,Normal value,Units,Number,1.0
2019,,Unknown,,,Normal value,Units,Number,2.0
2020,,Unknown,,,Normal value,Units,Number,2.0
2021,,Unknown,,,Normal value,Units,Number,11.0
