Year,Material category,Observation status,Unit multiplier,Unit measure,Value
2001,Metal ores,Undefined,Units,1000 metric tonnes,20304.7
2002,Metal ores,Undefined,Units,1000 metric tonnes,18886.7
2003,Metal ores,Undefined,Units,1000 metric tonnes,17402.6
2004,Metal ores,Undefined,Units,1000 metric tonnes,19292.5
2005,Metal ores,Undefined,Units,1000 metric tonnes,17271.4
2006,Metal ores,Undefined,Units,1000 metric tonnes,18078.5
2007,Metal ores,Undefined,Units,1000 metric tonnes,20529.9
2008,Metal ores,Undefined,Units,1000 metric tonnes,15437.2
2009,Metal ores,Undefined,Units,1000 metric tonnes,6254.2
2010,Metal ores,Undefined,Units,1000 metric tonnes,9437.8
2011,Metal ores,Undefined,Units,1000 metric tonnes,8977.4
2012,Metal ores,Undefined,Units,1000 metric tonnes,9852.3
2013,Metal ores,Undefined,Units,1000 metric tonnes,12656.4
2014,Metal ores,Undefined,Units,1000 metric tonnes,14883.8
2015,Metal ores,Undefined,Units,1000 metric tonnes,13633.5
2016,Metal ores,Undefined,Units,1000 metric tonnes,12191.2
2017,Metal ores,Undefined,Units,1000 metric tonnes,11323.4
2000,Non-metallic minerals,Undefined,Units,1000 metric tonnes,298038.9
2001,Non-metallic minerals,Undefined,Units,1000 metric tonnes,303859.5
2002,Non-metallic minerals,Undefined,Units,1000 metric tonnes,289732.3
2003,Non-metallic minerals,Undefined,Units,1000 metric tonnes,283812.5
2004,Non-metallic minerals,Undefined,Units,1000 metric tonnes,295079.5
2005,Non-metallic minerals,Undefined,Units,1000 metric tonnes,284719.5
2006,Non-metallic minerals,Undefined,Units,1000 metric tonnes,284162.3
2007,Non-metallic minerals,Undefined,Units,1000 metric tonnes,289537.1
2008,Non-metallic minerals,Undefined,Units,1000 metric tonnes,256282.8
2009,Non-metallic minerals,Undefined,Units,1000 metric tonnes,205879.2
2010,Non-metallic minerals,Undefined,Units,1000 metric tonnes,203157.2
2011,Non-metallic minerals,Undefined,Units,1000 metric tonnes,206576.7
2012,Non-metallic minerals,Undefined,Units,1000 metric tonnes,191642.6
2013,Non-metallic minerals,Undefined,Units,1000 metric tonnes,195567.2
2014,Non-metallic minerals,Undefined,Units,1000 metric tonnes,215078.4
2015,Non-metallic minerals,Undefined,Units,1000 metric tonnes,206398.9
2016,Non-metallic minerals,Undefined,Units,1000 metric tonnes,219219.6
2017,Non-metallic minerals,Undefined,Units,1000 metric tonnes,219302.9
2000,Fossil energy materials,Undefined,Units,1000 metric tonnes,240583.6
2001,Fossil energy materials,Undefined,Units,1000 metric tonnes,242228.8
2002,Fossil energy materials,Undefined,Units,1000 metric tonnes,231508.5
2003,Fossil energy materials,Undefined,Units,1000 metric tonnes,244318.5
2004,Fossil energy materials,Undefined,Units,1000 metric tonnes,254160.8
2005,Fossil energy materials,Undefined,Units,1000 metric tonnes,250832.6
2006,Fossil energy materials,Undefined,Units,1000 metric tonnes,245699.9
2007,Fossil energy materials,Undefined,Units,1000 metric tonnes,239396.4
2008,Fossil energy materials,Undefined,Units,1000 metric tonnes,226307.8
2009,Fossil energy materials,Undefined,Units,1000 metric tonnes,208732.5
2010,Fossil energy materials,Undefined,Units,1000 metric tonnes,193340.4
2011,Fossil energy materials,Undefined,Units,1000 metric tonnes,192713.8
2012,Fossil energy materials,Undefined,Units,1000 metric tonnes,194183.8
2013,Fossil energy materials,Undefined,Units,1000 metric tonnes,183288.7
2014,Fossil energy materials,Undefined,Units,1000 metric tonnes,170658.9
2015,Fossil energy materials,Undefined,Units,1000 metric tonnes,160871.0
2016,Fossil energy materials,Undefined,Units,1000 metric tonnes,149039.1
2017,Fossil energy materials,Undefined,Units,1000 metric tonnes,144382.8
2000,,Undefined,Units,DMC per capita (tonnes),12.5
2001,,Undefined,Units,DMC per capita (tonnes),12.6
2002,,Undefined,Units,DMC per capita (tonnes),12.2
2003,,Undefined,Units,DMC per capita (tonnes),12.1
2004,,Undefined,Units,DMC per capita (tonnes),12.5
2005,,Undefined,Units,DMC per capita (tonnes),12.1
2006,,Undefined,Units,DMC per capita (tonnes),11.9
2007,,Undefined,Units,DMC per capita (tonnes),11.7
2008,,Undefined,Units,DMC per capita (tonnes),10.9
2009,,Undefined,Units,DMC per capita (tonnes),9.5
2010,,Undefined,Units,DMC per capita (tonnes),9.2
2011,,Undefined,Units,DMC per capita (tonnes),9.2
2012,,Undefined,Units,DMC per capita (tonnes),8.8
2013,,Undefined,Units,DMC per capita (tonnes),8.9
2014,,Undefined,Units,DMC per capita (tonnes),9.1
2015,,Undefined,Units,DMC per capita (tonnes),8.7
2016,,Undefined,Units,DMC per capita (tonnes),8.5
2017,,Undefined,Units,DMC per capita (tonnes),8.5
2000,Biomass,Undefined,Units,DMC per capita (tonnes),2.976305104260598
2001,Biomass,Undefined,Units,DMC per capita (tonnes),2.8569993064131407
2002,Biomass,Undefined,Units,DMC per capita (tonnes),2.952418652521574
2003,Biomass,Undefined,Units,DMC per capita (tonnes),2.861214654734417
2004,Biomass,Undefined,Units,DMC per capita (tonnes),2.900062384904855
2005,Biomass,Undefined,Units,DMC per capita (tonnes),2.8528535934967962
2006,Biomass,Undefined,Units,DMC per capita (tonnes),2.75613501219029
2007,Biomass,Undefined,Units,DMC per capita (tonnes),2.6411118232328916
2008,Biomass,Undefined,Units,DMC per capita (tonnes),2.7364024857740867
2009,Biomass,Undefined,Units,DMC per capita (tonnes),2.627688502340971
2010,Biomass,Undefined,Units,DMC per capita (tonnes),2.5584684390411017
2011,Biomass,Undefined,Units,DMC per capita (tonnes),2.6074194399629613
2012,Biomass,Undefined,Units,DMC per capita (tonnes),2.498720665567852
2013,Biomass,Undefined,Units,DMC per capita (tonnes),2.648347962817659
2014,Biomass,Undefined,Units,DMC per capita (tonnes),2.8029298664949343
2015,Biomass,Undefined,Units,DMC per capita (tonnes),2.6820749500844725
2016,Biomass,Undefined,Units,DMC per capita (tonnes),2.56026602445463
2017,Biomass,Undefined,Units,DMC per capita (tonnes),2.6873495234720672
2000,Metal ores,Undefined,Units,DMC per capita (tonnes),0.2881070405409766
2001,Metal ores,Undefined,Units,DMC per capita (tonnes),0.34348958773873767
2002,Metal ores,Undefined,Units,DMC per capita (tonnes),0.31814162049803174
2003,Metal ores,Undefined,Units,DMC per capita (tonnes),0.291810244362951
2004,Metal ores,Undefined,Units,DMC per capita (tonnes),0.32180769436067147
2005,Metal ores,Undefined,Units,DMC per capita (tonnes),0.285887379103608
2006,Metal ores,Undefined,Units,DMC per capita (tonnes),0.2972112758951191
2007,Metal ores,Undefined,Units,DMC per capita (tonnes),0.3348043268736821
2008,Metal ores,Undefined,Units,DMC per capita (tonnes),0.24969671873938518
2009,Metal ores,Undefined,Units,DMC per capita (tonnes),0.10045213257201596
2010,Metal ores,Undefined,Units,DMC per capita (tonnes),0.15038042049410846
2011,Metal ores,Undefined,Units,DMC per capita (tonnes),0.1418564559430261
2012,Metal ores,Undefined,Units,DMC per capita (tonnes),0.15465505062396984
2013,Metal ores,Undefined,Units,DMC per capita (tonnes),0.19743018171551047
2014,Metal ores,Undefined,Units,DMC per capita (tonnes),0.2304107943427538
2015,Metal ores,Undefined,Units,DMC per capita (tonnes),0.20939179849485487
2016,Metal ores,Undefined,Units,DMC per capita (tonnes),0.1857052984016293
2017,Metal ores,Undefined,Units,DMC per capita (tonnes),0.17146223058076748
2000,Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),5.061277618996674
2001,Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),5.140316004939692
2002,Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),4.880466329884092
2003,Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),4.759024225015804
2004,Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),4.922060570071259
2005,Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),4.712861240819488
2006,Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),4.671639778980092
2007,Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),4.721809354670894
2008,Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),4.1453744350881045
2009,Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),3.306738622401041
2010,Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),3.2370748651598564
2011,Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),3.2642233321903578
2012,Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),3.0082819244957224
2013,Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),3.0506990798010167
2014,Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),3.3295519282688923
2015,Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),3.1700030717247736
2016,Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),3.339313704433182
2017,Non-metallic minerals,Undefined,Units,DMC per capita (tonnes),3.320748574353197
2000,Fossil energy materials,Undefined,Units,DMC per capita (tonnes),4.085575373475234
2001,Fossil energy materials,Undefined,Units,DMC per capita (tonnes),4.097724696767209
2002,Fossil energy materials,Undefined,Units,DMC per capita (tonnes),3.899701342694519
2003,Fossil energy materials,Undefined,Units,DMC per capita (tonnes),4.096781009009552
2004,Fossil energy materials,Undefined,Units,DMC per capita (tonnes),4.239518001547946
2005,Fossil energy materials,Undefined,Units,DMC per capita (tonnes),4.151943363464668
2006,Fossil energy materials,Undefined,Units,DMC per capita (tonnes),4.0393163573473005
2007,Fossil energy materials,Undefined,Units,DMC per capita (tonnes),3.9041081816269316
2008,Fossil energy materials,Undefined,Units,DMC per capita (tonnes),3.6605287931185075
2009,Fossil energy materials,Undefined,Units,DMC per capita (tonnes),3.3525670368853446
2010,Fossil energy materials,Undefined,Units,DMC per capita (tonnes),3.0806555182880677
2011,Fossil energy materials,Undefined,Units,DMC per capita (tonnes),3.0451686099887647
2012,Fossil energy materials,Undefined,Units,DMC per capita (tonnes),3.0481720430107524
2013,Fossil energy materials,Undefined,Units,DMC per capita (tonnes),2.8591638497044727
2014,Fossil energy materials,Undefined,Units,DMC per capita (tonnes),2.641909506353256
2015,Fossil energy materials,Undefined,Units,DMC per capita (tonnes),2.470757180156658
2016,Fossil energy materials,Undefined,Units,DMC per capita (tonnes),2.270272863951889
2017,Fossil energy materials,Undefined,Units,DMC per capita (tonnes),2.1862865345653097
2000,,Undefined,Units,Tonnes of DMC per GDP (£m),491.44909432436174
2001,,Undefined,Units,Tonnes of DMC per GDP (£m),480.11586927145373
2002,,Undefined,Units,Tonnes of DMC per GDP (£m),455.758754126923
2003,,Undefined,Units,Tonnes of DMC per GDP (£m),441.90123391899
2004,,Undefined,Units,Tonnes of DMC per GDP (£m),448.9304249345228
2005,,Undefined,Units,Tonnes of DMC per GDP (£m),423.9292634902009
2006,,Undefined,Units,Tonnes of DMC per GDP (£m),407.69979881359694
2007,,Undefined,Units,Tonnes of DMC per GDP (£m),395.0904051953105
2008,,Undefined,Units,Tonnes of DMC per GDP (£m),371.9591232090364
2009,,Undefined,Units,Tonnes of DMC per GDP (£m),340.5109678102596
2010,,Undefined,Units,Tonnes of DMC per GDP (£m),324.8133455200949
2011,,Undefined,Units,Tonnes of DMC per GDP (£m),323.11310500427277
2012,,Undefined,Units,Tonnes of DMC per GDP (£m),308.05099046462755
2013,,Undefined,Units,Tonnes of DMC per GDP (£m),305.4508637498626
2014,,Undefined,Units,Tonnes of DMC per GDP (£m),308.41956519693485
2015,,Undefined,Units,Tonnes of DMC per GDP (£m),287.6620597368636
2016,,Undefined,Units,Tonnes of DMC per GDP (£m),279.25579735782605
2017,,Undefined,Units,Tonnes of DMC per GDP (£m),277.1921972581611
2000,Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),116.57713674531465
2001,Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),109.09061548041372
2002,Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),110.64408405981906
2003,Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),104.28837118903976
2004,Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),103.79627357671085
2005,Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),99.72400193719395
2006,Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),94.37167808824506
2007,Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),89.00140192488519
2008,Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),93.23360480918984
2009,Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),94.1617821080113
2010,Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),90.64884343379885
2011,Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),91.74387010363043
2012,Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),87.21271704423177
2013,Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),91.06812104567241
2014,Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),94.6539381221685
2015,Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),89.1915400016344
2016,Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),84.22874118381661
2017,Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),87.28611660045033
2000,Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),11.284694507412492
2001,Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),13.115680656071477
2002,Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),11.922593759271768
2003,Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),10.636187337616102
2004,Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),11.51783480824902
2005,Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),9.993444322742993
2006,Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),10.176688271406876
2007,Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),11.28239031765057
2008,Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),8.507566163284517
2009,Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),3.5996472987968557
2010,Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),5.328113876592667
2011,Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),4.991318262006679
2012,Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),5.397917164327933
2013,Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),6.7889854124033455
2014,Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),7.78089003620745
2015,Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),6.963256925717087
2016,Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),6.109413383660457
2017,Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),5.569157312931025
2000,Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),198.24219373583222
2001,Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),196.27594430420302
2002,Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),182.89910422887297
2003,Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),173.46160451640387
2004,Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),176.1657087625096
2005,Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),164.7422021868073
2006,Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),159.95968391105467
2007,Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),159.11770508578337
2008,Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),141.2395303236217
2009,Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),118.49517222961494
2010,Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),114.69248092243022
2011,Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),114.85397277776141
2012,Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),104.99790708326303
2013,Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),104.9036746582415
2014,Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),112.43777661373039
2015,Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),105.41743278581352
2016,Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),109.85818936615688
2017,Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),107.85915443082301
2000,Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),160.02548875621255
2001,Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),156.4660195178164
2002,Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),146.14420715733127
2003,Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),149.32351120208241
2004,Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),151.7367945643342
2005,Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),145.13482534298691
2006,Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),138.30855937250558
2007,Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),131.56243456813735
2008,Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),124.7200646339595
2009,Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),120.13740842891413
2010,Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),109.15040243976105
2011,Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),107.14637971803671
2012,Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),106.39018980891998
2013,Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),98.31739756632007
2014,Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),89.21633820664908
2015,Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),82.16423551524066
2016,Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),74.688420518793
2017,Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),71.01140350790907
