Year,Series,Country income classification,Observation status,Unit multiplier,Units,Value
2018,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,GBP (£ thousands),26642.7721985
2019,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,GBP (£ thousands),18388.6524617
2009,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,USD ($ thousands),10868.38099
2010,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,USD ($ thousands),11623.745223589998
2011,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,USD ($ thousands),22693.642100369998
2012,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,USD ($ thousands),6396.4929999999995
2013,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,USD ($ thousands),20635.61756061
2014,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,USD ($ thousands),4999.47681116
2015,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,USD ($ thousands),12583.65451566
2016,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,USD ($ thousands),9963.67006124
2017,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,USD ($ thousands),11840.5112020795
2018,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,USD ($ thousands),18435.5153116905
2019,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,USD ($ thousands),6419.1591466175
2009,Value of all resources made available to strengthen statistical capacity in developing countries,LMICs,Normal value,Thousands,USD ($ thousands),375.71894000000003
2010,Value of all resources made available to strengthen statistical capacity in developing countries,LMICs,Normal value,Thousands,USD ($ thousands),190.19514131
2011,Value of all resources made available to strengthen statistical capacity in developing countries,LMICs,Normal value,Thousands,USD ($ thousands),3667.9320228349998
2012,Value of all resources made available to strengthen statistical capacity in developing countries,LMICs,Normal value,Thousands,USD ($ thousands),3457.4404733849997
2013,Value of all resources made available to strengthen statistical capacity in developing countries,LMICs,Normal value,Thousands,USD ($ thousands),4061.7587142899997
2014,Value of all resources made available to strengthen statistical capacity in developing countries,LMICs,Normal value,Thousands,USD ($ thousands),446.76529472
2015,Value of all resources made available to strengthen statistical capacity in developing countries,LMICs,Normal value,Thousands,USD ($ thousands),3081.687048
2017,Value of all resources made available to strengthen statistical capacity in developing countries,LMICs,Normal value,Thousands,USD ($ thousands),2301.1003200279997
2018,Value of all resources made available to strengthen statistical capacity in developing countries,LMICs,Normal value,Thousands,USD ($ thousands),133.7468504
2019,Value of all resources made available to strengthen statistical capacity in developing countries,LMICs,Normal value,Thousands,USD ($ thousands),475.84827247799996
2009,Value of all resources made available to strengthen statistical capacity in developing countries,Other LICs,Normal value,Thousands,USD ($ thousands),2887.98658
2010,Value of all resources made available to strengthen statistical capacity in developing countries,Other LICs,Normal value,Thousands,USD ($ thousands),3076.34098966
2011,Value of all resources made available to strengthen statistical capacity in developing countries,Other LICs,Normal value,Thousands,USD ($ thousands),609.6166224499999
2012,Value of all resources made available to strengthen statistical capacity in developing countries,Other LICs,Normal value,Thousands,USD ($ thousands),3275.5049999999997
2013,Value of all resources made available to strengthen statistical capacity in developing countries,Other LICs,Normal value,Thousands,USD ($ thousands),2107.0499999999997
2014,Value of all resources made available to strengthen statistical capacity in developing countries,Other LICs,Normal value,Thousands,USD ($ thousands),3320.2
2015,Value of all resources made available to strengthen statistical capacity in developing countries,Other LICs,Normal value,Thousands,USD ($ thousands),2554.0
2019,Value of all resources made available to strengthen statistical capacity in developing countries,Other LICs,Normal value,Thousands,USD ($ thousands),34.5521506464
2011,Value of all resources made available to strengthen statistical capacity in developing countries,UMICs,Normal value,Thousands,USD ($ thousands),225.35439921
2012,Value of all resources made available to strengthen statistical capacity in developing countries,UMICs,Normal value,Thousands,USD ($ thousands),52.42948251999999
2014,Value of all resources made available to strengthen statistical capacity in developing countries,UMICs,Normal value,Thousands,USD ($ thousands),49.182378
2015,Value of all resources made available to strengthen statistical capacity in developing countries,UMICs,Normal value,Thousands,USD ($ thousands),4.667434999999999
2016,Value of all resources made available to strengthen statistical capacity in developing countries,UMICs,Normal value,Thousands,USD ($ thousands),5.88767235
2009,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,USD ($ thousands),15209.95113
2010,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,USD ($ thousands),28728.663725989998
2011,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,USD ($ thousands),35125.429952909995
2012,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,USD ($ thousands),17540.872
2013,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,USD ($ thousands),31955.305763999997
2014,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,USD ($ thousands),7649.9962
2015,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,USD ($ thousands),17287.195949999998
2016,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,USD ($ thousands),21729.44959706
2017,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,USD ($ thousands),17357.839743239998
2018,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,USD ($ thousands),15453.557935394
2019,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,USD ($ thousands),16552.749623849
2009,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,USD ($ thousands),29342.03764
2010,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,USD ($ thousands),43618.94508055
2011,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,USD ($ thousands),62321.975097775
2012,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,USD ($ thousands),30722.739955904995
2013,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,USD ($ thousands),58759.732038899994
2014,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,USD ($ thousands),16465.62068388
2015,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,USD ($ thousands),35511.20494866
2016,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,USD ($ thousands),31699.00733065
2017,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,USD ($ thousands),31499.4512653475
2018,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,USD ($ thousands),34022.820097484495
2019,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,USD ($ thousands),23482.309193590896
