Year,Age,Main method of contraception,Types of contraception,Observation status,Unit multiplier,Unit measure,Value
2014/15,16 to 17,User dependent,Female condom,Undefined,Thousands,Number,0.111
2014/15,18 to 19,User dependent,Female condom,Undefined,Thousands,Number,0.128
2014/15,20 to 24,User dependent,Female condom,Undefined,Thousands,Number,0.288
2014/15,25 to 34,User dependent,Female condom,Undefined,Thousands,Number,0.384
2014/15,35 to 44,User dependent,Female condom,Undefined,Thousands,Number,0.182
2014/15,45 and over,User dependent,Female condom,Undefined,Thousands,Number,0.125
2014/15,,User dependent,Female condom,Undefined,Thousands,Number,1.267
2014/15,15 and under,User dependent,Male condom,Undefined,Thousands,Number,7.444
2014/15,16 to 17,User dependent,Male condom,Undefined,Thousands,Number,16.106
2014/15,18 to 19,User dependent,Male condom,Undefined,Thousands,Number,16.656
2014/15,20 to 24,User dependent,Male condom,Undefined,Thousands,Number,32.241
2014/15,25 to 34,User dependent,Male condom,Undefined,Thousands,Number,38.839
2014/15,35 to 44,User dependent,Male condom,Undefined,Thousands,Number,20.35
2014/15,45 and over,User dependent,Male condom,Undefined,Thousands,Number,9.501
2014/15,,User dependent,Male condom,Undefined,Thousands,Number,141.156
2014/15,15 and under,User dependent,Natural family planning incl. rhythm method,Undefined,Thousands,Number,0.086
2014/15,16 to 17,User dependent,Natural family planning incl. rhythm method,Undefined,Thousands,Number,0.303
2014/15,18 to 19,User dependent,Natural family planning incl. rhythm method,Undefined,Thousands,Number,0.502
2014/15,20 to 24,User dependent,Natural family planning incl. rhythm method,Undefined,Thousands,Number,1.584
2014/15,25 to 34,User dependent,Natural family planning incl. rhythm method,Undefined,Thousands,Number,2.663
2014/15,35 to 44,User dependent,Natural family planning incl. rhythm method,Undefined,Thousands,Number,1.393
2014/15,45 and over,User dependent,Natural family planning incl. rhythm method,Undefined,Thousands,Number,1.119
2014/15,,User dependent,Natural family planning incl. rhythm method,Undefined,Thousands,Number,7.652
2014/15,15 and under,User dependent,Oral contraceptives,Undefined,Thousands,Number,14.182
2014/15,16 to 17,User dependent,Oral contraceptives,Undefined,Thousands,Number,45.075
2014/15,18 to 19,User dependent,Oral contraceptives,Undefined,Thousands,Number,63.405
2014/15,20 to 24,User dependent,Oral contraceptives,Undefined,Thousands,Number,140.51
2014/15,25 to 34,User dependent,Oral contraceptives,Undefined,Thousands,Number,113.935
2014/15,35 to 44,User dependent,Oral contraceptives,Undefined,Thousands,Number,34.801
2014/15,45 and over,User dependent,Oral contraceptives,Undefined,Thousands,Number,14.818
2014/15,,User dependent,Oral contraceptives,Undefined,Thousands,Number,426.758
2014/15,15 and under,User dependent,Other methods,Undefined,Thousands,Number,0.011
2014/15,16 to 17,User dependent,Other methods,Undefined,Thousands,Number,0.076
2014/15,18 to 19,User dependent,Other methods,Undefined,Thousands,Number,0.169
2014/15,20 to 24,User dependent,Other methods,Undefined,Thousands,Number,0.997
2014/15,25 to 34,User dependent,Other methods,Undefined,Thousands,Number,2.045
2014/15,35 to 44,User dependent,Other methods,Undefined,Thousands,Number,0.712
2014/15,45 and over,User dependent,Other methods,Undefined,Thousands,Number,0.414
2014/15,,User dependent,Other methods,Undefined,Thousands,Number,4.425
2014/15,15 and under,User dependent,,Undefined,Thousands,Number,22.253999999999998
2014/15,16 to 17,User dependent,,Undefined,Thousands,Number,63.262
2014/15,18 to 19,User dependent,,Undefined,Thousands,Number,83.06700000000001
2014/15,20 to 24,User dependent,,Undefined,Thousands,Number,180.477
2014/15,25 to 34,User dependent,,Undefined,Thousands,Number,161.698
2014/15,35 to 44,User dependent,,Undefined,Thousands,Number,58.119
2014/15,45 and over,User dependent,,Undefined,Thousands,Number,26.164
2014/15,,User dependent,,Undefined,Thousands,Number,595.095
2014/15,15 and under,,,Undefined,Thousands,Number,31.765
2014/15,16 to 17,,,Undefined,Thousands,Number,89.429
2014/15,18 to 19,,,Undefined,Thousands,Number,117.568
2014/15,20 to 24,,,Undefined,Thousands,Number,263.695
2014/15,25 to 34,,,Undefined,Thousands,Number,267.807
2014/15,35 to 44,,,Undefined,Thousands,Number,120.163
2014/15,45 and over,,,Undefined,Thousands,Number,50.671
2014/15,,,,Undefined,Thousands,Number,941.169
2015/16,15 and under,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,5.917
2015/16,16 to 17,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,14.458
2015/16,18 to 19,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,17.697
2015/16,20 to 24,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,39.821
2015/16,25 to 34,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,42.425
2015/16,35 to 44,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,15.742
2015/16,45 and over,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,3.917
2015/16,,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,140.019
2015/16,15 and under,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,1.841
2015/16,16 to 17,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,7.377
2015/16,18 to 19,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,11.742
2015/16,20 to 24,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,26.586
2015/16,25 to 34,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,23.648
2015/16,35 to 44,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,10.615
2015/16,45 and over,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,2.363
2015/16,,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,84.179
2015/16,15 and under,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,0.121
2015/16,16 to 17,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,0.601
2015/16,18 to 19,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,1.768
2015/16,20 to 24,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,9.081
2015/16,25 to 34,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,23.651
2015/16,35 to 44,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,14.073
2015/16,45 and over,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,3.55
2015/16,,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,52.855
2015/16,15 and under,Long acting reversible contraceptives,IU system,Undefined,Thousands,Number,0.067
2015/16,16 to 17,Long acting reversible contraceptives,IU system,Undefined,Thousands,Number,0.54
2015/16,18 to 19,Long acting reversible contraceptives,IU system,Undefined,Thousands,Number,1.564
2015/16,20 to 24,Long acting reversible contraceptives,IU system,Undefined,Thousands,Number,8.303
2015/16,25 to 34,Long acting reversible contraceptives,IU system,Undefined,Thousands,Number,20.416
2015/16,35 to 44,Long acting reversible contraceptives,IU system,Undefined,Thousands,Number,23.489
2015/16,45 and over,Long acting reversible contraceptives,IU system,Undefined,Thousands,Number,16.226
2015/16,,Long acting reversible contraceptives,IU system,Undefined,Thousands,Number,70.621
2015/16,15 and under,Long acting reversible contraceptives,,Undefined,Thousands,Number,7.946
2015/16,16 to 17,Long acting reversible contraceptives,,Undefined,Thousands,Number,22.976
2015/16,18 to 19,Long acting reversible contraceptives,,Undefined,Thousands,Number,32.771
2015/16,20 to 24,Long acting reversible contraceptives,,Undefined,Thousands,Number,83.791
2015/16,25 to 34,Long acting reversible contraceptives,,Undefined,Thousands,Number,110.13999999999999
2015/16,35 to 44,Long acting reversible contraceptives,,Undefined,Thousands,Number,63.919000000000004
2015/16,45 and over,Long acting reversible contraceptives,,Undefined,Thousands,Number,26.055999999999997
2015/16,,Long acting reversible contraceptives,,Undefined,Thousands,Number,347.674
2015/16,15 and under,User dependent,Contraceptive patch,Undefined,Thousands,Number,0.399
2015/16,16 to 17,User dependent,Contraceptive patch,Undefined,Thousands,Number,1.407
2015/16,18 to 19,User dependent,Contraceptive patch,Undefined,Thousands,Number,2.227
2015/16,20 to 24,User dependent,Contraceptive patch,Undefined,Thousands,Number,4.963
2015/16,25 to 34,User dependent,Contraceptive patch,Undefined,Thousands,Number,4.169
2015/16,35 to 44,User dependent,Contraceptive patch,Undefined,Thousands,Number,0.726
2015/16,45 and over,User dependent,Contraceptive patch,Undefined,Thousands,Number,0.07
2015/16,,User dependent,Contraceptive patch,Undefined,Thousands,Number,13.962
2015/16,15 and under,User dependent,Female condom,Undefined,Thousands,Number,0.024
2015/16,16 to 17,User dependent,Female condom,Undefined,Thousands,Number,0.078
2015/16,18 to 19,User dependent,Female condom,Undefined,Thousands,Number,0.117
2015/16,20 to 24,User dependent,Female condom,Undefined,Thousands,Number,0.249
2015/16,25 to 34,User dependent,Female condom,Undefined,Thousands,Number,0.322
2015/16,35 to 44,User dependent,Female condom,Undefined,Thousands,Number,0.177
2015/16,45 and over,User dependent,Female condom,Undefined,Thousands,Number,0.093
2015/16,,User dependent,Female condom,Undefined,Thousands,Number,1.061
2015/16,15 and under,User dependent,Male condom,Undefined,Thousands,Number,5.263
2015/16,16 to 17,User dependent,Male condom,Undefined,Thousands,Number,11.931
2015/16,18 to 19,User dependent,Male condom,Undefined,Thousands,Number,13.734
2015/16,20 to 24,User dependent,Male condom,Undefined,Thousands,Number,29.14
2015/16,25 to 34,User dependent,Male condom,Undefined,Thousands,Number,37.879
2015/16,35 to 44,User dependent,Male condom,Undefined,Thousands,Number,19.625
2015/16,45 and over,User dependent,Male condom,Undefined,Thousands,Number,9.282
2015/16,,User dependent,Male condom,Undefined,Thousands,Number,126.874
2015/16,15 and under,User dependent,Natural family planning incl. rhythm method,Undefined,Thousands,Number,0.054
2015/16,16 to 17,User dependent,Natural family planning incl. rhythm method,Undefined,Thousands,Number,0.153
2015/16,18 to 19,User dependent,Natural family planning incl. rhythm method,Undefined,Thousands,Number,0.349
2015/16,20 to 24,User dependent,Natural family planning incl. rhythm method,Undefined,Thousands,Number,1.217
2015/16,25 to 34,User dependent,Natural family planning incl. rhythm method,Undefined,Thousands,Number,2.417
2015/16,35 to 44,User dependent,Natural family planning incl. rhythm method,Undefined,Thousands,Number,1.24
2015/16,45 and over,User dependent,Natural family planning incl. rhythm method,Undefined,Thousands,Number,0.894
2015/16,,User dependent,Natural family planning incl. rhythm method,Undefined,Thousands,Number,6.324
2015/16,15 and under,User dependent,Oral contraceptives,Undefined,Thousands,Number,11.58
2015/16,16 to 17,User dependent,Oral contraceptives,Undefined,Thousands,Number,39.467
2015/16,18 to 19,User dependent,Oral contraceptives,Undefined,Thousands,Number,59.044
2015/16,20 to 24,User dependent,Oral contraceptives,Undefined,Thousands,Number,134.734
2015/16,25 to 34,User dependent,Oral contraceptives,Undefined,Thousands,Number,111.772
2015/16,35 to 44,User dependent,Oral contraceptives,Undefined,Thousands,Number,34.619
2015/16,45 and over,User dependent,Oral contraceptives,Undefined,Thousands,Number,14.169
2015/16,,User dependent,Oral contraceptives,Undefined,Thousands,Number,405.433
2015/16,15 and under,User dependent,Other methods,Undefined,Thousands,Number,0.017
2015/16,16 to 17,User dependent,Other methods,Undefined,Thousands,Number,0.058
2015/16,18 to 19,User dependent,Other methods,Undefined,Thousands,Number,0.152
2015/16,20 to 24,User dependent,Other methods,Undefined,Thousands,Number,1.046
2015/16,25 to 34,User dependent,Other methods,Undefined,Thousands,Number,2.226
2015/16,35 to 44,User dependent,Other methods,Undefined,Thousands,Number,0.666
2015/16,45 and over,User dependent,Other methods,Undefined,Thousands,Number,0.393
2015/16,,User dependent,Other methods,Undefined,Thousands,Number,4.558
2015/16,15 and under,User dependent,,Undefined,Thousands,Number,17.331
2015/16,16 to 17,User dependent,,Undefined,Thousands,Number,53.111999999999995
2015/16,18 to 19,User dependent,,Undefined,Thousands,Number,75.64
2015/16,20 to 24,User dependent,,Undefined,Thousands,Number,171.30000000000004
2015/16,25 to 34,User dependent,,Undefined,Thousands,Number,158.604
2015/16,35 to 44,User dependent,,Undefined,Thousands,Number,57.099000000000004
2015/16,45 and over,User dependent,,Undefined,Thousands,Number,24.922
2015/16,,User dependent,,Undefined,Thousands,Number,558.079
2015/16,15 and under,,,Undefined,Thousands,Number,25.277
2015/16,16 to 17,,,Undefined,Thousands,Number,76.088
2015/16,18 to 19,,,Undefined,Thousands,Number,108.411
2015/16,20 to 24,,,Undefined,Thousands,Number,255.091
2015/16,25 to 34,,,Undefined,Thousands,Number,268.744
2015/16,35 to 44,,,Undefined,Thousands,Number,121.018
2015/16,45 and over,,,Undefined,Thousands,Number,50.978
2015/16,,,,Undefined,Thousands,Number,905.753
2016/17,15 and under,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,4.676
2016/17,16 to 17,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,11.96
2016/17,18 to 19,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,15.742
2016/17,20 to 24,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,38.262
2016/17,25 to 34,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,43.118
2016/17,35 to 44,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,16.403
2016/17,45 and over,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,4.447
2016/17,,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,134.623
2016/17,15 and under,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,1.561
2016/17,16 to 17,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,6.532
2016/17,18 to 19,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,10.833
2016/17,20 to 24,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,25.764
2016/17,25 to 34,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,23.425
2016/17,35 to 44,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,10.376
2016/17,45 and over,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,2.341
2016/17,,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,80.843
2016/17,15 and under,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,0.091
2016/17,16 to 17,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,0.623
2016/17,18 to 19,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,1.863
2016/17,20 to 24,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,9.91
2016/17,25 to 34,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,24.222
2016/17,35 to 44,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,14.102
2016/17,45 and over,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,3.385
2016/17,,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,54.198
2016/17,15 and under,Long acting reversible contraceptives,IU system,Undefined,Thousands,Number,0.053
2016/17,16 to 17,Long acting reversible contraceptives,IU system,Undefined,Thousands,Number,0.556
2016/17,18 to 19,Long acting reversible contraceptives,IU system,Undefined,Thousands,Number,1.66
2016/17,20 to 24,Long acting reversible contraceptives,IU system,Undefined,Thousands,Number,9.184
2016/17,25 to 34,Long acting reversible contraceptives,IU system,Undefined,Thousands,Number,21.532
2016/17,35 to 44,Long acting reversible contraceptives,IU system,Undefined,Thousands,Number,23.026
2016/17,45 and over,Long acting reversible contraceptives,IU system,Undefined,Thousands,Number,16.215
2016/17,,Long acting reversible contraceptives,IU system,Undefined,Thousands,Number,72.229
2016/17,15 and under,Long acting reversible contraceptives,,Undefined,Thousands,Number,6.381
2016/17,16 to 17,Long acting reversible contraceptives,,Undefined,Thousands,Number,19.671
2016/17,18 to 19,Long acting reversible contraceptives,,Undefined,Thousands,Number,30.098
2016/17,20 to 24,Long acting reversible contraceptives,,Undefined,Thousands,Number,83.12
2016/17,25 to 34,Long acting reversible contraceptives,,Undefined,Thousands,Number,112.29700000000001
2016/17,35 to 44,Long acting reversible contraceptives,,Undefined,Thousands,Number,63.907
2016/17,45 and over,Long acting reversible contraceptives,,Undefined,Thousands,Number,26.388
2016/17,,Long acting reversible contraceptives,,Undefined,Thousands,Number,341.893
2016/17,15 and under,User dependent,Contraceptive patch,Undefined,Thousands,Number,0.298
2016/17,16 to 17,User dependent,Contraceptive patch,Undefined,Thousands,Number,1.341
2016/17,18 to 19,User dependent,Contraceptive patch,Undefined,Thousands,Number,2.106
2016/17,20 to 24,User dependent,Contraceptive patch,Undefined,Thousands,Number,5.022
2016/17,25 to 34,User dependent,Contraceptive patch,Undefined,Thousands,Number,4.292
2016/17,35 to 44,User dependent,Contraceptive patch,Undefined,Thousands,Number,0.734
2016/17,45 and over,User dependent,Contraceptive patch,Undefined,Thousands,Number,0.061
2016/17,,User dependent,Contraceptive patch,Undefined,Thousands,Number,13.854
2016/17,15 and under,User dependent,Female condom,Undefined,Thousands,Number,0.03
2016/17,16 to 17,User dependent,Female condom,Undefined,Thousands,Number,0.104
2016/17,18 to 19,User dependent,Female condom,Undefined,Thousands,Number,0.104
2016/17,20 to 24,User dependent,Female condom,Undefined,Thousands,Number,0.254
2016/17,25 to 34,User dependent,Female condom,Undefined,Thousands,Number,0.334
2016/17,35 to 44,User dependent,Female condom,Undefined,Thousands,Number,0.166
2016/17,45 and over,User dependent,Female condom,Undefined,Thousands,Number,0.112
2016/17,,User dependent,Female condom,Undefined,Thousands,Number,1.105
2016/17,15 and under,User dependent,Male condom,Undefined,Thousands,Number,3.692
2016/17,16 to 17,User dependent,Male condom,Undefined,Thousands,Number,9.719
2016/17,18 to 19,User dependent,Male condom,Undefined,Thousands,Number,12.796
2016/17,20 to 24,User dependent,Male condom,Undefined,Thousands,Number,28.119
2016/17,25 to 34,User dependent,Male condom,Undefined,Thousands,Number,37.271
2016/17,35 to 44,User dependent,Male condom,Undefined,Thousands,Number,18.283
2016/17,45 and over,User dependent,Male condom,Undefined,Thousands,Number,8.221
2016/17,,User dependent,Male condom,Undefined,Thousands,Number,118.121
2016/17,15 and under,User dependent,Natural family planning incl. rhythm method,Undefined,Thousands,Number,0.041
2016/17,16 to 17,User dependent,Natural family planning incl. rhythm method,Undefined,Thousands,Number,0.135
2016/17,18 to 19,User dependent,Natural family planning incl. rhythm method,Undefined,Thousands,Number,0.284
2016/17,20 to 24,User dependent,Natural family planning incl. rhythm method,Undefined,Thousands,Number,1.138
2016/17,25 to 34,User dependent,Natural family planning incl. rhythm method,Undefined,Thousands,Number,2.733
2016/17,35 to 44,User dependent,Natural family planning incl. rhythm method,Undefined,Thousands,Number,1.254
2016/17,45 and over,User dependent,Natural family planning incl. rhythm method,Undefined,Thousands,Number,0.914
2016/17,,User dependent,Natural family planning incl. rhythm method,Undefined,Thousands,Number,6.499
2016/17,15 and under,User dependent,Oral contraceptives,Undefined,Thousands,Number,9.655
2016/17,16 to 17,User dependent,Oral contraceptives,Undefined,Thousands,Number,34.914
2016/17,18 to 19,User dependent,Oral contraceptives,Undefined,Thousands,Number,55.303
2016/17,20 to 24,User dependent,Oral contraceptives,Undefined,Thousands,Number,129.045
2016/17,25 to 34,User dependent,Oral contraceptives,Undefined,Thousands,Number,108.915
2016/17,35 to 44,User dependent,Oral contraceptives,Undefined,Thousands,Number,33.14
2016/17,45 and over,User dependent,Oral contraceptives,Undefined,Thousands,Number,13.689
2016/17,,User dependent,Oral contraceptives,Undefined,Thousands,Number,384.7
2016/17,15 and under,User dependent,Other methods,Undefined,Thousands,Number,0.017
2016/17,16 to 17,User dependent,Other methods,Undefined,Thousands,Number,0.098
2016/17,18 to 19,User dependent,Other methods,Undefined,Thousands,Number,0.334
2016/17,20 to 24,User dependent,Other methods,Undefined,Thousands,Number,1.241
2016/17,25 to 34,User dependent,Other methods,Undefined,Thousands,Number,2.254
2016/17,35 to 44,User dependent,Other methods,Undefined,Thousands,Number,0.644
2016/17,45 and over,User dependent,Other methods,Undefined,Thousands,Number,0.325
2016/17,,User dependent,Other methods,Undefined,Thousands,Number,4.913
2016/17,15 and under,User dependent,,Undefined,Thousands,Number,13.732999999999999
2016/17,16 to 17,User dependent,,Undefined,Thousands,Number,46.271
2016/17,18 to 19,User dependent,,Undefined,Thousands,Number,70.74499999999999
2016/17,20 to 24,User dependent,,Undefined,Thousands,Number,164.62399999999997
2016/17,25 to 34,User dependent,,Undefined,Thousands,Number,155.77100000000002
2016/17,35 to 44,User dependent,,Undefined,Thousands,Number,54.242999999999995
2016/17,45 and over,User dependent,,Undefined,Thousands,Number,23.39
2016/17,,User dependent,,Undefined,Thousands,Number,528.837
2016/17,15 and under,,,Undefined,Thousands,Number,20.114
2016/17,16 to 17,,,Undefined,Thousands,Number,65.942
2016/17,18 to 19,,,Undefined,Thousands,Number,100.843
2016/17,20 to 24,,,Undefined,Thousands,Number,247.744
2016/17,25 to 34,,,Undefined,Thousands,Number,268.068
2016/17,35 to 44,,,Undefined,Thousands,Number,118.15
2016/17,45 and over,,,Undefined,Thousands,Number,49.778
2016/17,,,,Undefined,Thousands,Number,870.73
2017/18,15 and under,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,4.432
2017/18,16 to 17,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,11.14
2017/18,18 to 19,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,14.544
2017/18,20 to 24,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,35.695
2017/18,25 to 34,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,42.849
2017/18,35 to 44,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,16.56
2017/18,45 and over,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,4.535
2017/18,,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,129.76
2017/18,15 and under,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,1.425
2017/18,16 to 17,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,5.699
2017/18,18 to 19,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,9.845
2017/18,20 to 24,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,24.0
2017/18,25 to 34,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,21.98
2017/18,35 to 44,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,9.58
2017/18,45 and over,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,2.216
2017/18,,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,74.752
2017/18,15 and under,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,0.127
2017/18,16 to 17,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,0.803
2017/18,18 to 19,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,2.467
2017/18,20 to 24,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,11.47
2017/18,25 to 34,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,24.799
2017/18,35 to 44,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,13.71
2017/18,45 and over,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,3.215
2017/18,,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,56.593
2017/18,15 and under,Long acting reversible contraceptives,IU system,Undefined,Thousands,Number,0.06
2017/18,16 to 17,Long acting reversible contraceptives,IU system,Undefined,Thousands,Number,0.628
