Year,Sex,Age,Ethnicity,Disability status,Region,Urbanisation,Citizenship,Household income,GeoCode,Value
2017/18,,,,,West Midlands,,,,E12000005,24.0
2017/18,,,,,East of England,,,,E12000006,22.0
2017/18,,,,,London,,,,E12000007,33.0
2017/18,,,,,South East,,,,E12000008,28.0
2017/18,,,,,South West,,,,E12000009,27.0
2017/18,,,,,,Urban,,,,26.0
2017/18,,,,,,Rural,,,,27.0
2017/18,,,,,,,United Kingdom,,,25.0
2017/18,,,,,,,Republic of Ireland,,,32.0
2017/18,,,,,,,EU Member State,,,33.0
2017/18,,,,,,,Elsewhere in the world,,,35.0
2013/14,,,,,,,,Band A1,,24.0
2013/14,,,,,,,,Band A2,,23.0
2013/14,,,,,,,,Band A3,,25.0
2013/14,,,,,,,,Band A4,,26.0
2013/14,,,,,,,,Band A5,,25.0
2013/14,,,,,,,,Band A6,,27.0
2013/14,,,,,,,,Band A7,,32.0
2013/14,,,,,,,,Band A8,,27.0
2013/14,,,,,,,,No income,,26.0
2014/15,,,,,,,,Band A1,,25.0
2014/15,,,,,,,,Band A2,,26.0
2014/15,,,,,,,,Band A3,,21.0
2014/15,,,,,,,,Band A4,,24.0
2014/15,,,,,,,,Band A5,,26.0
2014/15,,,,,,,,Band A6,,23.0
2014/15,,,,,,,,Band A7,,32.0
2014/15,,,,,,,,Band A8,,39.0
2014/15,,,,,,,,No income,,25.0
2015/16,,,,,,,,Band A1,,38.0
2015/16,,,,,,,,Band A2,,26.0
2015/16,,,,,,,,Band A3,,22.0
2015/16,,,,,,,,Band A4,,31.0
2015/16,,,,,,,,Band A5,,24.0
2015/16,,,,,,,,Band A6,,31.0
2015/16,,,,,,,,Band A7,,28.0
2015/16,,,,,,,,Band A8,,35.0
2015/16,,,,,,,,No income,,32.0
2016/17,,,,,,,,Band B1,,26.0
2016/17,,,,,,,,Band B2,,26.0
2016/17,,,,,,,,Band B3,,24.0
2016/17,,,,,,,,Band B4,,26.0
2016/17,,,,,,,,Band B5,,27.0
2016/17,,,,,,,,Band B6,,27.0
2016/17,,,,,,,,Band B7,,27.0
2016/17,,,,,,,,Band B8,,33.0
2017/18,,,,,,,,Band B1,,27.0
2017/18,,,,,,,,Band B2,,26.0
2017/18,,,,,,,,Band B3,,23.0
2017/18,,,,,,,,Band B4,,22.0
2017/18,,,,,,,,Band B5,,25.0
2017/18,,,,,,,,Band B6,,25.0
2017/18,,,,,,,,Band B7,,26.0
2017/18,,,,,,,,Band B8,,34.0
