Year,Units,Educational measure,Education indicator,Value
2009,Immigration Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in reading,0.9150799999999999
2012,Immigration Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in reading,0.9409700000000001
2015,Immigration Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in reading,0.9542700000000001
2003,Language Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in reading,0.8291299999999999
2006,Language Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in reading,0.82068
2009,Language Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in reading,0.82634
2012,Language Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in reading,0.9782299999999999
2015,Language Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in reading,0.91355
2003,Gender Parity Index (GPI),Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in mathematics,0.9920100000000001
2006,Gender Parity Index (GPI),Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in mathematics,0.96393
2009,Gender Parity Index (GPI),Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in mathematics,0.93674
2012,Gender Parity Index (GPI),Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in mathematics,0.9485299999999999
2015,Gender Parity Index (GPI),Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in mathematics,0.9670700000000001
2003,Location Parity Index (LPI),Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in mathematics,1.0324200000000001
2006,Location Parity Index (LPI),Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in mathematics,1.10673
2009,Location Parity Index (LPI),Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in mathematics,1.02993
2012,Location Parity Index (LPI),Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in mathematics,0.9995200000000001
2015,Location Parity Index (LPI),Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in mathematics,1.18436
2003,Social Economic Status (SES) Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in mathematics,0.6823
2006,Social Economic Status (SES) Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in mathematics,0.74931
2009,Social Economic Status (SES) Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in mathematics,0.70875
2012,Social Economic Status (SES) Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in mathematics,0.74827
2015,Social Economic Status (SES) Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in mathematics,0.75151
2003,Immigration Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in mathematics,0.91679
2006,Immigration Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in mathematics,0.85231
2009,Immigration Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in mathematics,0.89481
2012,Immigration Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in mathematics,0.9072
2015,Immigration Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in mathematics,0.93266
2003,Language Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in mathematics,0.84431
2006,Language Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in mathematics,0.78178
2009,Language Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in mathematics,0.8365799999999999
2012,Language Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in mathematics,0.96986
2015,Language Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in mathematics,0.90694
2016,Gender Parity Index (GPI),Gross intake ratio,Gross intake ratio to the last grade of primary education,0.99898
2000,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,0.19771
2002,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,0.57602
2003,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,0.02508
2004,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,0.79095
2005,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,0.4598
2006,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,0.27771999999999997
2007,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,0.81116
2008,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,1.0813
2009,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,1.0610700000000002
2010,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,1.02568
2011,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,0.94401
2012,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,1.02377
2016,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,1.4534200000000002
2000,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents of lower secondary school age,0.82816
2006,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents of lower secondary school age,0.14347000000000001
2007,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents of lower secondary school age,0.65582
2008,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents of lower secondary school age,0.84309
2011,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents of lower secondary school age,0.9180200000000001
2012,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents of lower secondary school age,0.99075
2013,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents of lower secondary school age,0.97445
2014,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents of lower secondary school age,1.00334
2015,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents of lower secondary school age,1.03954
2000,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,0.76539
2001,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,0.78313
2002,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,0.66059
2003,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,0.50397
2004,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,0.35042
2005,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,0.30169
2006,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,0.58929
2007,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,0.64784
2008,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,0.6755399999999999
2009,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,0.68202
2010,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,0.7208
2011,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,0.86361
2012,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,0.94284
2013,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,0.77352
2016,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,0.6019899999999999
2000,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,0.62364
2002,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,0.24522
2003,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,0.006809999999999999
2004,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,0.50293
2006,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,0.19069
2007,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,0.73326
2008,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,0.9708600000000001
2009,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,1.0963100000000001
2010,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,1.04921
2011,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,0.93561
2012,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,1.00121
2013,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,1.113
2014,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,1.1192
2015,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,1.1940600000000001
2016,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,1.56884
2000,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,0.76935
2001,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,0.75754
2002,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,0.61605
2003,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,0.4726
2004,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,0.32329
2005,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,0.27796
2006,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,0.5321
2007,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,0.64953
2008,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,0.6936100000000001
2009,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,0.6927399999999999
2010,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,0.72858
2011,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,0.86959
2012,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,0.95768
2013,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,0.82585
2014,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,0.56221
2015,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,0.38435
2016,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,0.65146
2000,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",0.76448
2001,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",0.74593
2002,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",0.61458
2003,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",0.46202
2004,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",0.37878
2005,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",0.27721
2006,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",0.5139100000000001
2007,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",0.6781699999999999
2008,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",0.73405
2009,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",0.76641
2010,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",0.79578
2011,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",0.8831700000000001
2012,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",0.96596
2013,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",0.8656200000000001
2014,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",0.63653
2015,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",0.45831000000000005
2016,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",0.75917
2006,Gender Parity Index (GPI),Gross enrolment ratio,"Gross enrolment ratio, early childhood education",1.02715
2007,Gender Parity Index (GPI),Gross enrolment ratio,"Gross enrolment ratio, early childhood education",1.02892
2008,Gender Parity Index (GPI),Gross enrolment ratio,"Gross enrolment ratio, early childhood education",1.0198399999999999
2011,Gender Parity Index (GPI),Gross enrolment ratio,"Gross enrolment ratio, early childhood education",1.0041799999999999
2012,Gender Parity Index (GPI),Gross enrolment ratio,"Gross enrolment ratio, early childhood education",1.00699
2013,Gender Parity Index (GPI),Gross enrolment ratio,"Gross enrolment ratio, early childhood education",0.96342
2014,Gender Parity Index (GPI),Gross enrolment ratio,"Gross enrolment ratio, early childhood education",0.9954200000000001
2015,Gender Parity Index (GPI),Gross enrolment ratio,"Gross enrolment ratio, early childhood education",0.9559799999999999
2016,Gender Parity Index (GPI),Gross enrolment ratio,"Gross enrolment ratio, early childhood education",0.99585
2013,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in early childhood educational development,1.00934
2014,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in early childhood educational development,0.98287
2015,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in early childhood educational development,0.9534299999999999
2016,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in early childhood educational development,0.97703
2000,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,1.00071
2001,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,0.99739
2002,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,1.00243
2003,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,1.00522
2004,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,1.00235
2005,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,1.02604
2006,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,1.02715
2007,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,1.02892
2008,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,1.0198399999999999
2009,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,1.01455
2010,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,1.03965
2011,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,1.0041799999999999
2012,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,1.00699
2013,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,0.95425
2014,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,0.99684
2015,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,0.9565600000000001
2016,Gender Parity Index (GPI),Gross enrolment ratio,Gross early childhood enrolment ratio in pre-primary education,1.0002
2007,Gender Parity Index (GPI),Participation rate in formal and non-formal education and training in the previous 12 months,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,1.07992
2011,Gender Parity Index (GPI),Participation rate in formal and non-formal education and training in the previous 12 months,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,1.1134600000000001
2016,Gender Parity Index (GPI),Participation rate in formal and non-formal education and training in the previous 12 months,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,1.06865
2000,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,1.18398
2001,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,1.21694
2002,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,1.26039
2003,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,1.3033
2004,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,1.37352
2005,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,1.39014
2006,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,1.4056799999999998
2007,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,1.3936600000000001
2008,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,1.38575
2009,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,1.36537
2010,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,1.33855
2011,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,1.32599
2012,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,1.32881
2013,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,1.32479
2014,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,1.32334
2015,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,1.33699
2016,Gender Parity Index (GPI),Gross enrolment ratio,Gross enrolment ratio for tertiary education,1.3523100000000001
2000,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,0.96924
2001,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,0.95695
2002,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,0.97421
2003,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,1.05761
2004,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,1.01268
2005,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,1.00931
2006,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,0.9971
2007,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,0.96191
2008,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,0.97403
2009,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,0.94981
2010,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,0.9245700000000001
2011,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,0.9320200000000001
2012,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,0.9245399999999999
2013,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,0.91004
2014,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,0.90559
2015,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,0.8846200000000001
2016,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,0.90912
2016,Gender Parity Index (GPI),Proportion of youth and adults,Proportion of youth and adults who have copied or moved a file or folder,0.8945799999999999
2016,Gender Parity Index (GPI),Proportion of youth and adults,Proportion of youth and adults who have created electronic presentations with presentation software,1.00425
2016,Gender Parity Index (GPI),Proportion of youth and adults,Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document,0.9448799999999999
2016,Gender Parity Index (GPI),Proportion of youth and adults,Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet,0.94021
2016,Gender Parity Index (GPI),Proportion of youth and adults,"Proportion of youth and adults who have found, downloaded, installed and configured software",0.90125
2016,Gender Parity Index (GPI),Proportion of youth and adults,Proportion of youth and adults who have Transferred files between a computer and other devices,0.8972100000000001
2016,Gender Parity Index (GPI),Proportion of youth and adults,Proportion of youth and adults who have wrote a computer program using a specialised programming language,0.49057
2009,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed primary education or higher, population 25+ years",0.9984700000000001
2010,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed primary education or higher, population 25+ years",0.99864
2011,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed primary education or higher, population 25+ years",0.9992200000000001
2012,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed primary education or higher, population 25+ years",0.99895
2013,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed primary education or higher, population 25+ years",0.99929
2014,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed primary education or higher, population 25+ years",0.99869
2009,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed lower secondary education or higher, population 25+ years",0.9984700000000001
2010,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed lower secondary education or higher, population 25+ years",0.99864
2011,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed lower secondary education or higher, population 25+ years",0.9992200000000001
2012,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed lower secondary education or higher, population 25+ years",0.99895
2013,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed lower secondary education or higher, population 25+ years",0.99929
2014,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed lower secondary education or higher, population 25+ years",0.99869
2009,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed upper secondary education or higher, population 25+ years",0.95275
2010,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed upper secondary education or higher, population 25+ years",0.95689
2011,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed upper secondary education or higher, population 25+ years",0.9639700000000001
