Year,Units,Sex,Age,Value
2009,2.5th percentile,Male,4 to 10,1016.1
2009,2.5th percentile,Female,4 to 10,898.9
2009,2.5th percentile,,4 to 10,951.5
2009,2.5th percentile,Male,11 to 18,1071.9
2009,2.5th percentile,Female,11 to 18,858.1
2009,2.5th percentile,,11 to 18,953.5
2009,2.5th percentile,Male,19 to 64,1095.7
2009,2.5th percentile,Female,19 to 64,779.3
2009,2.5th percentile,,19 to 64,862.9
2009,2.5th percentile,Male,65 and over,860.4
2009,2.5th percentile,Female,65 and over,962.8
2009,2.5th percentile,,65 and over,947.4
2009,2.5th percentile,Male,65 to 74,1002.3
2009,2.5th percentile,Female,65 to 74,1035.2
2009,2.5th percentile,,65 to 74,1031.7
2009,2.5th percentile,Male,75 and over,752.6
2009,2.5th percentile,Female,75 and over,955.3
2009,2.5th percentile,,75 and over,866.6
2011,2.5th percentile,,1.5 to 3,721.2
2011,2.5th percentile,Male,4 to 10,970.8
2011,2.5th percentile,Female,4 to 10,799.8
2011,2.5th percentile,,4 to 10,903.5
2011,2.5th percentile,Male,11 to 18,1097.1
2011,2.5th percentile,Female,11 to 18,746.8
2011,2.5th percentile,,11 to 18,793.0
2011,2.5th percentile,Male,19 to 64,1045.1
2011,2.5th percentile,Female,19 to 64,737.9
2011,2.5th percentile,,19 to 64,847.9
2011,2.5th percentile,Male,65 and over,929.7
2011,2.5th percentile,Female,65 and over,893.2
2011,2.5th percentile,,65 and over,912.8
2011,2.5th percentile,Male,65 to 74,1051.3
2011,2.5th percentile,Female,65 to 74,904.9
2011,2.5th percentile,,65 to 74,913.7
2011,2.5th percentile,Male,75 and over,853.0
2011,2.5th percentile,Female,75 and over,854.7
2011,2.5th percentile,,75 and over,879.9
2013,2.5th percentile,,1.5 to 3,687.8
2013,2.5th percentile,Male,4 to 10,1014.0
2013,2.5th percentile,Female,4 to 10,834.0
2013,2.5th percentile,,4 to 10,865.2
2013,2.5th percentile,Male,11 to 18,904.7
2013,2.5th percentile,Female,11 to 18,891.0
2013,2.5th percentile,,11 to 18,896.7
2013,2.5th percentile,Male,19 to 64,1079.8
2013,2.5th percentile,Female,19 to 64,745.1
2013,2.5th percentile,,19 to 64,829.3
2013,2.5th percentile,Male,65 and over,957.7
2013,2.5th percentile,Female,65 and over,761.8
2013,2.5th percentile,,65 and over,802.6
2013,2.5th percentile,Male,65 to 74,697.2
2013,2.5th percentile,Female,65 to 74,831.0
2013,2.5th percentile,,65 to 74,832.3
2013,2.5th percentile,Male,75 and over,1086.4
2013,2.5th percentile,Female,75 and over,653.3
2013,2.5th percentile,,75 and over,757.0
2015,2.5th percentile,,1.5 to 3,667.5
2015,2.5th percentile,Male,4 to 10,893.3
2015,2.5th percentile,Female,4 to 10,840.4
2015,2.5th percentile,,4 to 10,852.0
2015,2.5th percentile,Male,11 to 18,964.1
2015,2.5th percentile,Female,11 to 18,683.3
2015,2.5th percentile,,11 to 18,833.6
2015,2.5th percentile,Male,19 to 64,1007.6
2015,2.5th percentile,Female,19 to 64,714.9
2015,2.5th percentile,,19 to 64,815.8
2015,2.5th percentile,Male,65 and over,1073.5
2015,2.5th percentile,Female,65 and over,682.3
2015,2.5th percentile,,65 and over,718.1
2015,2.5th percentile,Male,65 to 74,986.2
2015,2.5th percentile,Female,65 to 74,681.2
2015,2.5th percentile,,65 to 74,799.1
2015,2.5th percentile,Male,75 and over,1130.2
2015,2.5th percentile,Female,75 and over,679.1
2015,2.5th percentile,,75 and over,709.1
