Year,Fatality,Employment status,Industry,Sex,Age,Unit measure,Unit multiplier,Observation status,Value
2003,,Employees,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,2.5
2003,,Employees,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,0.8
2003,,Employees,Construction,,,"Rate per 100,000 workers",Units,Undefined,4.6
2003,,Self-employed,,,,"Rate per 100,000 workers",Units,Undefined,1.8
2003,,Self-employed,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,21.3
2003,,Self-employed,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,1.2
2003,,Self-employed,Construction,,,"Rate per 100,000 workers",Units,Undefined,2.5
2004,,,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,12.8
2004,,,Mining and quarrying,,,"Rate per 100,000 workers",Units,Undefined,2.3
2004,,,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,1.1
2004,,,Construction,,,"Rate per 100,000 workers",Units,Undefined,3.0
2004,,Employees,,,,"Rate per 100,000 workers",Units,Undefined,0.7
2004,,Employees,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,8.0
2004,,Employees,Mining and quarrying,,,"Rate per 100,000 workers",Units,Undefined,2.4
2004,,Employees,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,1.2
2004,,Employees,Construction,,,"Rate per 100,000 workers",Units,Undefined,3.6
2004,,Self-employed,,,,"Rate per 100,000 workers",Units,Undefined,1.3
2004,,Self-employed,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,19.0
2004,,Self-employed,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,0.4
2004,,Self-employed,Construction,,,"Rate per 100,000 workers",Units,Undefined,1.7
2005,,,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,11.9
2005,,,Mining and quarrying,,,"Rate per 100,000 workers",Units,Undefined,4.3
2005,,,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,1.1
2005,,,Construction,,,"Rate per 100,000 workers",Units,Undefined,2.5
2005,,Employees,,,,"Rate per 100,000 workers",Units,Undefined,0.7
2005,,Employees,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,6.6
2005,,Employees,Mining and quarrying,,,"Rate per 100,000 workers",Units,Undefined,4.6
2005,,Employees,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,1.1
2005,,Employees,Construction,,,"Rate per 100,000 workers",Units,Undefined,2.8
2005,,Self-employed,,,,"Rate per 100,000 workers",Units,Undefined,1.4
2005,,Self-employed,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,18.1
2005,,Self-employed,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,1.4
2005,,Self-employed,Construction,,,"Rate per 100,000 workers",Units,Undefined,2.0
2006,,,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,11.5
2006,,,Mining and quarrying,,,"Rate per 100,000 workers",Units,Undefined,8.6
2006,,,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,1.0
2006,,,Construction,,,"Rate per 100,000 workers",Units,Undefined,3.2
2006,,Employees,,,,"Rate per 100,000 workers",Units,Undefined,0.8
2006,,Employees,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,8.7
2006,,Employees,Mining and quarrying,,,"Rate per 100,000 workers",Units,Undefined,9.2
2006,,Employees,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,1.0
2006,,Employees,Construction,,,"Rate per 100,000 workers",Units,Undefined,3.3
2006,,Self-employed,,,,"Rate per 100,000 workers",Units,Undefined,1.4
2006,,Self-employed,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,14.7
2006,,Self-employed,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,0.4
2006,,Self-employed,Construction,,,"Rate per 100,000 workers",Units,Undefined,2.9
2007,,,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,15.8
2007,,,Mining and quarrying,,,"Rate per 100,000 workers",Units,Undefined,4.6
2007,,,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,0.8
2007,,,Construction,,,"Rate per 100,000 workers",Units,Undefined,2.9
2007,,Employees,,,,"Rate per 100,000 workers",Units,Undefined,0.7
2007,,Employees,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,13.7
2007,,Employees,Mining and quarrying,,,"Rate per 100,000 workers",Units,Undefined,4.9
2007,,Employees,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,0.9
2007,,Employees,Construction,,,"Rate per 100,000 workers",Units,Undefined,3.3
2007,,Self-employed,,,,"Rate per 100,000 workers",Units,Undefined,1.4
2007,,Self-employed,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,18.5
2007,,Self-employed,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,0.4
2007,,Self-employed,Construction,,,"Rate per 100,000 workers",Units,Undefined,2.1
2008,,,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,7.5
2008,,,Mining and quarrying,,,"Rate per 100,000 workers",Units,Undefined,4.2
2008,,,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,0.9
2008,,,Construction,,,"Rate per 100,000 workers",Units,Undefined,2.0
2008,,Employees,,,,"Rate per 100,000 workers",Units,Undefined,0.5
2008,,Employees,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,5.0
2008,,Employees,Mining and quarrying,,,"Rate per 100,000 workers",Units,Undefined,4.6
2008,,Employees,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,0.9
2008,,Employees,Construction,,,"Rate per 100,000 workers",Units,Undefined,1.9
2008,,Self-employed,,,,"Rate per 100,000 workers",Units,Undefined,1.3
2008,,Self-employed,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,10.2
2008,,Self-employed,Construction,,,"Rate per 100,000 workers",Units,Undefined,2.3
2009,,,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,12.3
2009,,,Mining and quarrying,,,"Rate per 100,000 workers",Units,Undefined,4.8
2009,,,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,0.9
2009,,,Construction,,,"Rate per 100,000 workers",Units,Undefined,1.8
2009,,Employees,,,,"Rate per 100,000 workers",Units,Undefined,0.4
2009,,Employees,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,9.3
2009,,Employees,Mining and quarrying,,,"Rate per 100,000 workers",Units,Undefined,5.1
2009,,Employees,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,0.8
2009,,Employees,Construction,,,"Rate per 100,000 workers",Units,Undefined,2.0
2009,,Self-employed,,,,"Rate per 100,000 workers",Units,Undefined,1.0
2009,,Self-employed,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,14.9
2009,,Self-employed,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,1.0
2009,,Self-employed,Construction,,,"Rate per 100,000 workers",Units,Undefined,1.4
2010,,,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,9.8
2010,,,Mining and quarrying,,,"Rate per 100,000 workers",Units,Undefined,2.9
2010,,,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,1.0
2010,,,Construction,,,"Rate per 100,000 workers",Units,Undefined,2.3
2010,,Employees,,,,"Rate per 100,000 workers",Units,Undefined,0.5
2010,,Employees,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,6.9
2010,,Employees,Mining and quarrying,,,"Rate per 100,000 workers",Units,Undefined,3.2
2010,,Employees,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,1.0
2010,,Employees,Construction,,,"Rate per 100,000 workers",Units,Undefined,2.5
2010,,Self-employed,,,,"Rate per 100,000 workers",Units,Undefined,1.3
2010,,Self-employed,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,12.3
2010,,Self-employed,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,1.5
2010,,Self-employed,Construction,,,"Rate per 100,000 workers",Units,Undefined,2.1
2011,,,,,16 to 19,"Rate per 100,000 workers",Units,Undefined,0.47
2011,,,,,20 to 24,"Rate per 100,000 workers",Units,Undefined,0.31
2011,,,,,25 to 34,"Rate per 100,000 workers",Units,Undefined,0.34
2011,,,,,35 to 44,"Rate per 100,000 workers",Units,Undefined,0.42
2011,,,,,45 to 54,"Rate per 100,000 workers",Units,Undefined,0.59
2011,,,,,55 to 59,"Rate per 100,000 workers",Units,Undefined,0.91
2011,,,,,60 to 64,"Rate per 100,000 workers",Units,Undefined,0.9
2011,,,,,65 and over,"Rate per 100,000 workers",Units,Undefined,2.67
2011,,,,Male,,"Rate per 100,000 workers",Units,Undefined,1.06
2011,,,,Male,16 to 19,"Rate per 100,000 workers",Units,Undefined,0.99
2011,,,,Male,20 to 24,"Rate per 100,000 workers",Units,Undefined,0.6
2011,,,,Male,25 to 34,"Rate per 100,000 workers",Units,Undefined,0.62
2011,,,,Male,35 to 44,"Rate per 100,000 workers",Units,Undefined,0.8
2011,,,,Male,45 to 54,"Rate per 100,000 workers",Units,Undefined,1.09
2011,,,,Male,55 to 59,"Rate per 100,000 workers",Units,Undefined,1.6
2011,,,,Male,60 to 64,"Rate per 100,000 workers",Units,Undefined,1.5
2011,,,,Male,65 and over,"Rate per 100,000 workers",Units,Undefined,4.21
2011,,,,Female,,"Rate per 100,000 workers",Units,Undefined,0.04
2011,,,,Female,45 to 54,"Rate per 100,000 workers",Units,Undefined,0.06
2011,,,,Female,55 to 59,"Rate per 100,000 workers",Units,Undefined,0.16
2011,,,,Female,65 and over,"Rate per 100,000 workers",Units,Undefined,0.3
2011,,,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,10.23
2011,,,"Agriculture, forestry and fishing",,16 to 19,"Rate per 100,000 workers",Units,Undefined,20.18
2011,,,"Agriculture, forestry and fishing",,20 to 24,"Rate per 100,000 workers",Units,Undefined,5.94
2011,,,"Agriculture, forestry and fishing",,25 to 34,"Rate per 100,000 workers",Units,Undefined,16.19
2011,,,"Agriculture, forestry and fishing",,35 to 44,"Rate per 100,000 workers",Units,Undefined,4.73
2011,,,"Agriculture, forestry and fishing",,45 to 54,"Rate per 100,000 workers",Units,Undefined,2.37
2011,,,"Agriculture, forestry and fishing",,55 to 59,"Rate per 100,000 workers",Units,Undefined,8.79
2011,,,"Agriculture, forestry and fishing",,60 to 64,"Rate per 100,000 workers",Units,Undefined,13.78
2011,,,"Agriculture, forestry and fishing",,65 and over,"Rate per 100,000 workers",Units,Undefined,22.44
2011,,,"Agriculture, forestry and fishing",Male,,"Rate per 100,000 workers",Units,Undefined,13.57
2011,,,"Agriculture, forestry and fishing",Male,16 to 19,"Rate per 100,000 workers",Units,Undefined,27.88
2011,,,"Agriculture, forestry and fishing",Male,20 to 24,"Rate per 100,000 workers",Units,Undefined,7.53
2011,,,"Agriculture, forestry and fishing",Male,25 to 34,"Rate per 100,000 workers",Units,Undefined,22.04
2011,,,"Agriculture, forestry and fishing",Male,35 to 44,"Rate per 100,000 workers",Units,Undefined,6.13
2011,,,"Agriculture, forestry and fishing",Male,45 to 54,"Rate per 100,000 workers",Units,Undefined,3.32
2011,,,"Agriculture, forestry and fishing",Male,55 to 59,"Rate per 100,000 workers",Units,Undefined,7.69
2011,,,"Agriculture, forestry and fishing",Male,60 to 64,"Rate per 100,000 workers",Units,Undefined,20.51
2011,,,"Agriculture, forestry and fishing",Male,65 and over,"Rate per 100,000 workers",Units,Undefined,31.2
2011,,,"Agriculture, forestry and fishing",Female,,"Rate per 100,000 workers",Units,Undefined,1.09
2011,,,Mining and quarrying,,,"Rate per 100,000 workers",Units,Undefined,10.24
2011,,,Mining and quarrying,,25 to 34,"Rate per 100,000 workers",Units,Undefined,4.47
2011,,,Mining and quarrying,,35 to 44,"Rate per 100,000 workers",Units,Undefined,7.38
2011,,,Mining and quarrying,,45 to 54,"Rate per 100,000 workers",Units,Undefined,15.53
2011,,,Mining and quarrying,,55 to 59,"Rate per 100,000 workers",Units,Undefined,10.48
2011,,,Mining and quarrying,Male,,"Rate per 100,000 workers",Units,Undefined,11.77
2011,,,Mining and quarrying,Male,25 to 34,"Rate per 100,000 workers",Units,Undefined,5.49
2011,,,Mining and quarrying,Male,35 to 44,"Rate per 100,000 workers",Units,Undefined,8.66
2011,,,Mining and quarrying,Male,45 to 54,"Rate per 100,000 workers",Units,Undefined,17.31
2011,,,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,1.07
2011,,,Manufacturing,,16 to 19,"Rate per 100,000 workers",Units,Undefined,1.95
2011,,,Manufacturing,,20 to 24,"Rate per 100,000 workers",Units,Undefined,0.52
2011,,,Manufacturing,,25 to 34,"Rate per 100,000 workers",Units,Undefined,0.33
2011,,,Manufacturing,,35 to 44,"Rate per 100,000 workers",Units,Undefined,1.13
2011,,,Manufacturing,,45 to 54,"Rate per 100,000 workers",Units,Undefined,1.59
2011,,,Manufacturing,,55 to 59,"Rate per 100,000 workers",Units,Undefined,1.57
2011,,,Manufacturing,,60 to 64,"Rate per 100,000 workers",Units,Undefined,1.08
2011,,,Manufacturing,Male,,"Rate per 100,000 workers",Units,Undefined,1.41
2011,,,Manufacturing,Male,16 to 19,"Rate per 100,000 workers",Units,Undefined,2.48
2011,,,Manufacturing,Male,20 to 24,"Rate per 100,000 workers",Units,Undefined,0.71
2011,,,Manufacturing,Male,25 to 34,"Rate per 100,000 workers",Units,Undefined,0.47
2011,,,Manufacturing,Male,35 to 44,"Rate per 100,000 workers",Units,Undefined,1.49
2011,,,Manufacturing,Male,45 to 54,"Rate per 100,000 workers",Units,Undefined,2.06
2011,,,Manufacturing,Male,55 to 59,"Rate per 100,000 workers",Units,Undefined,2.05
2011,,,Manufacturing,Male,60 to 64,"Rate per 100,000 workers",Units,Undefined,1.32
2011,,,"Water supply; sewerage, waste management and remediation activities",,,"Rate per 100,000 workers",Units,Undefined,2.66
2011,,,"Water supply; sewerage, waste management and remediation activities",,25 to 34,"Rate per 100,000 workers",Units,Undefined,4.08
2011,,,"Water supply; sewerage, waste management and remediation activities",,35 to 44,"Rate per 100,000 workers",Units,Undefined,1.9
2011,,,"Water supply; sewerage, waste management and remediation activities",,55 to 59,"Rate per 100,000 workers",Units,Undefined,9.35
2011,,,"Water supply; sewerage, waste management and remediation activities",Male,,"Rate per 100,000 workers",Units,Undefined,2.67
2011,,,"Water supply; sewerage, waste management and remediation activities",Male,25 to 34,"Rate per 100,000 workers",Units,Undefined,5.08
2011,,,"Water supply; sewerage, waste management and remediation activities",Male,35 to 44,"Rate per 100,000 workers",Units,Undefined,2.41
2011,,,"Water supply; sewerage, waste management and remediation activities",Male,55 to 59,"Rate per 100,000 workers",Units,Undefined,5.21
2011,,,"Water supply; sewerage, waste management and remediation activities",Female,,"Rate per 100,000 workers",Units,Undefined,2.6
2011,,,Construction,,,"Rate per 100,000 workers",Units,Undefined,2.25
2011,,,Construction,,16 to 19,"Rate per 100,000 workers",Units,Undefined,1.8
2011,,,Construction,,20 to 24,"Rate per 100,000 workers",Units,Undefined,2.63
2011,,,Construction,,25 to 34,"Rate per 100,000 workers",Units,Undefined,1.04
2011,,,Construction,,35 to 44,"Rate per 100,000 workers",Units,Undefined,0.98
2011,,,Construction,,45 to 54,"Rate per 100,000 workers",Units,Undefined,2.9
2011,,,Construction,,55 to 59,"Rate per 100,000 workers",Units,Undefined,4.54
2011,,,Construction,,60 to 64,"Rate per 100,000 workers",Units,Undefined,2.78
2011,,,Construction,,65 and over,"Rate per 100,000 workers",Units,Undefined,8.95
2011,,,Construction,Male,,"Rate per 100,000 workers",Units,Undefined,2.55
2011,,,Construction,Male,16 to 19,"Rate per 100,000 workers",Units,Undefined,1.9
2011,,,Construction,Male,20 to 24,"Rate per 100,000 workers",Units,Undefined,2.89
2011,,,Construction,Male,25 to 34,"Rate per 100,000 workers",Units,Undefined,1.16
2011,,,Construction,Male,35 to 44,"Rate per 100,000 workers",Units,Undefined,1.13
2011,,,Construction,Male,45 to 54,"Rate per 100,000 workers",Units,Undefined,3.31
2011,,,Construction,Male,55 to 59,"Rate per 100,000 workers",Units,Undefined,5.2
2011,,,Construction,Male,60 to 64,"Rate per 100,000 workers",Units,Undefined,3.1
2011,,,Construction,Male,65 and over,"Rate per 100,000 workers",Units,Undefined,10.53
2011,,,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,,"Rate per 100,000 workers",Units,Undefined,0.24
2011,,,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,25 to 34,"Rate per 100,000 workers",Units,Undefined,0.17
2011,,,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,35 to 44,"Rate per 100,000 workers",Units,Undefined,0.28
2011,,,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,45 to 54,"Rate per 100,000 workers",Units,Undefined,0.29
2011,,,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,55 to 59,"Rate per 100,000 workers",Units,Undefined,0.53
2011,,,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,60 to 64,"Rate per 100,000 workers",Units,Undefined,0.39
2011,,,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,65 and over,"Rate per 100,000 workers",Units,Undefined,0.69
2011,,,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,,"Rate per 100,000 workers",Units,Undefined,0.43
2011,,,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,25 to 34,"Rate per 100,000 workers",Units,Undefined,0.31
2011,,,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,35 to 44,"Rate per 100,000 workers",Units,Undefined,0.54
2011,,,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,45 to 54,"Rate per 100,000 workers",Units,Undefined,0.41
2011,,,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,55 to 59,"Rate per 100,000 workers",Units,Undefined,1.19
2011,,,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,60 to 64,"Rate per 100,000 workers",Units,Undefined,0.76
2011,,,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,65 and over,"Rate per 100,000 workers",Units,Undefined,1.25
2011,,,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Female,,"Rate per 100,000 workers",Units,Undefined,0.04
2011,,,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Female,45 to 54,"Rate per 100,000 workers",Units,Undefined,0.18
2011,,,Transportation and storage,,,"Rate per 100,000 workers",Units,Undefined,0.62
2011,,,Transportation and storage,,20 to 24,"Rate per 100,000 workers",Units,Undefined,1.17
2011,,,Transportation and storage,,35 to 44,"Rate per 100,000 workers",Units,Undefined,0.26
2011,,,Transportation and storage,,45 to 54,"Rate per 100,000 workers",Units,Undefined,0.76
2011,,,Transportation and storage,,55 to 59,"Rate per 100,000 workers",Units,Undefined,0.67
2011,,,Transportation and storage,,65 and over,"Rate per 100,000 workers",Units,Undefined,4.4
2011,,,Transportation and storage,Male,,"Rate per 100,000 workers",Units,Undefined,0.68
2011,,,Transportation and storage,Male,20 to 24,"Rate per 100,000 workers",Units,Undefined,1.69
2011,,,Transportation and storage,Male,35 to 44,"Rate per 100,000 workers",Units,Undefined,0.32
2011,,,Transportation and storage,Male,45 to 54,"Rate per 100,000 workers",Units,Undefined,0.92
2011,,,Transportation and storage,Male,55 to 59,"Rate per 100,000 workers",Units,Undefined,0.8
2011,,,Transportation and storage,Male,65 and over,"Rate per 100,000 workers",Units,Undefined,2.62
2011,,,Transportation and storage,Female,,"Rate per 100,000 workers",Units,Undefined,0.37
2011,,,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,,"Rate per 100,000 workers",Units,Undefined,0.24
2011,,,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,25 to 34,"Rate per 100,000 workers",Units,Undefined,0.06
2011,,,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,35 to 44,"Rate per 100,000 workers",Units,Undefined,0.33
2011,,,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,45 to 54,"Rate per 100,000 workers",Units,Undefined,0.15
2011,,,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,55 to 59,"Rate per 100,000 workers",Units,Undefined,0.46
2011,,,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,60 to 64,"Rate per 100,000 workers",Units,Undefined,0.35
2011,,,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,65 and over,"Rate per 100,000 workers",Units,Undefined,1.61
2011,,,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,,"Rate per 100,000 workers",Units,Undefined,0.38
2011,,,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,25 to 34,"Rate per 100,000 workers",Units,Undefined,0.11
2011,,,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,35 to 44,"Rate per 100,000 workers",Units,Undefined,0.55
2011,,,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,45 to 54,"Rate per 100,000 workers",Units,Undefined,0.13
2011,,,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,55 to 59,"Rate per 100,000 workers",Units,Undefined,0.76
2011,,,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,60 to 64,"Rate per 100,000 workers",Units,Undefined,0.52
2011,,,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,65 and over,"Rate per 100,000 workers",Units,Undefined,2.36
2011,,,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Female,,"Rate per 100,000 workers",Units,Undefined,0.04
2011,,,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Female,45 to 54,"Rate per 100,000 workers",Units,Undefined,0.19
2011,,,Public administration and defence; compulsory social security; education; human health and social work activities,,,"Rate per 100,000 workers",Units,Undefined,0.04
2011,,,Public administration and defence; compulsory social security; education; human health and social work activities,,25 to 34,"Rate per 100,000 workers",Units,Undefined,0.11
2011,,,Public administration and defence; compulsory social security; education; human health and social work activities,,35 to 44,"Rate per 100,000 workers",Units,Undefined,0.09
2011,,,Public administration and defence; compulsory social security; education; human health and social work activities,Male,,"Rate per 100,000 workers",Units,Undefined,0.15
2011,,,Public administration and defence; compulsory social security; education; human health and social work activities,Male,25 to 34,"Rate per 100,000 workers",Units,Undefined,0.34
2011,,,Public administration and defence; compulsory social security; education; human health and social work activities,Male,35 to 44,"Rate per 100,000 workers",Units,Undefined,0.29
