Year,Series,Country,Country of birth,Sex,Age,Ethnic Group,Fatality,Malaria species,Region,Region of travel,Observation status,Unit multiplier,Units,GeoCode,Value,Foo
2019,"Rate per 100,000 population",England,,,,,,,South East,,Normal value,Units,"Rate per 100,000 population",E12000008,1.328956491,Bar
2014,Number of cases,England,,,,,,,South East,,Normal value,Units,Number,E12000008,133,Bar
2015,Number of cases,England,,,,,,,South East,,Normal value,Units,Number,E12000008,120,Bar
2016,Number of cases,England,,,,,,,South East,,Normal value,Units,Number,E12000008,141,Bar
2017,Number of cases,England,,,,,,,South East,,Normal value,Units,Number,E12000008,155,Bar
2018,Number of cases,England,,,,,,,South East,,Normal value,Units,Number,E12000008,161,Bar
2019,Number of cases,England,,,,,,,South East,,Normal value,Units,Number,E12000008,122,Bar
2014,"Rate per 100,000 population",England,,,,,,,South West,,Normal value,Units,"Rate per 100,000 population",E12000009,1.087902925,Bar
2015,"Rate per 100,000 population",England,,,,,,,South West,,Normal value,Units,"Rate per 100,000 population",E12000009,0.950360132,Bar
2016,"Rate per 100,000 population",England,,,,,,,South West,,Normal value,Units,"Rate per 100,000 population",E12000009,1.187950165,Bar
2017,"Rate per 100,000 population",England,,,,,,,South West,,Normal value,Units,"Rate per 100,000 population",E12000009,1.313111181,Bar
2018,"Rate per 100,000 population",England,,,,,,,South West,,Normal value,Units,"Rate per 100,000 population",E12000009,0.928615372,Bar
2019,"Rate per 100,000 population",England,,,,,,,South West,,Normal value,Units,"Rate per 100,000 population",E12000009,0.90671567,Bar
2014,Number of cases,England,,,,,,,South West,,Normal value,Units,Number,E12000009,59,Bar
2015,Number of cases,England,,,,,,,South West,,Normal value,Units,Number,E12000009,52,Bar
2016,Number of cases,England,,,,,,,South West,,Normal value,Units,Number,E12000009,65,Bar
2017,Number of cases,England,,,,,,,South West,,Normal value,Units,Number,E12000009,73,Bar
2018,Number of cases,England,,,,,,,South West,,Normal value,Units,Number,E12000009,52,Bar
2019,Number of cases,England,,,,,,,South West,,Normal value,Units,Number,E12000009,51,Bar
2014,"Rate per 100,000 population",England,,,,,,,West Midlands,,Normal value,Units,"Rate per 100,000 population",E12000005,2.012798246,Bar
2015,"Rate per 100,000 population",England,,,,,,,West Midlands,,Normal value,Units,"Rate per 100,000 population",E12000005,2.119883955,Bar
2016,"Rate per 100,000 population",England,,,,,,,West Midlands,,Normal value,Units,"Rate per 100,000 population",E12000005,2.030710888,Bar
2017,"Rate per 100,000 population",England,,,,,,,West Midlands,,Normal value,Units,"Rate per 100,000 population",E12000005,2.747109307,Bar
2018,"Rate per 100,000 population",England,,,,,,,West Midlands,,Normal value,Units,"Rate per 100,000 population",E12000005,2.033637379,Bar
2019,"Rate per 100,000 population",England,,,,,,,West Midlands,,Normal value,Units,"Rate per 100,000 population",E12000005,2.039084016,Bar
2014,Number of cases,England,,,,,,,West Midlands,,Normal value,Units,Number,E12000005,115,Bar
2015,Number of cases,England,,,,,,,West Midlands,,Normal value,Units,Number,E12000005,122,Bar
2016,Number of cases,England,,,,,,,West Midlands,,Normal value,Units,Number,E12000005,118,Bar
2017,Number of cases,England,,,,,,,West Midlands,,Normal value,Units,Number,E12000005,161,Bar
2018,Number of cases,England,,,,,,,West Midlands,,Normal value,Units,Number,E12000005,120,Bar
2019,Number of cases,England,,,,,,,West Midlands,,Normal value,Units,Number,E12000005,121,Bar
2014,"Rate per 100,000 population",England,,,,,,,Yorkshire and The Humber,,Normal value,Units,"Rate per 100,000 population",E12000003,1.809661991,Bar
2015,"Rate per 100,000 population",England,,,,,,,Yorkshire and The Humber,,Normal value,Units,"Rate per 100,000 population",E12000003,1.261546162,Bar
2016,"Rate per 100,000 population",England,,,,,,,Yorkshire and The Humber,,Normal value,Units,"Rate per 100,000 population",E12000003,1.253370738,Bar
2017,"Rate per 100,000 population",England,,,,,,,Yorkshire and The Humber,,Normal value,Units,"Rate per 100,000 population",E12000003,1.449506709,Bar
2018,"Rate per 100,000 population",England,,,,,,,Yorkshire and The Humber,,Normal value,Units,"Rate per 100,000 population",E12000003,1.6242017,Bar
2019,"Rate per 100,000 population",England,,,,,,,Yorkshire and The Humber,,Normal value,Units,"Rate per 100,000 population",E12000003,1.471933232,Bar
2014,Number of cases,England,,,,,,,Yorkshire and The Humber,,Normal value,Units,Number,E12000003,97,Bar
2015,Number of cases,England,,,,,,,Yorkshire and The Humber,,Normal value,Units,Number,E12000003,68,Bar
2016,Number of cases,England,,,,,,,Yorkshire and The Humber,,Normal value,Units,Number,E12000003,68,Bar
2017,Number of cases,England,,,,,,,Yorkshire and The Humber,,Normal value,Units,Number,E12000003,79,Bar
2018,Number of cases,England,,,,,,,Yorkshire and The Humber,,Normal value,Units,Number,E12000003,89,Bar
2019,Number of cases,England,,,,,,,Yorkshire and The Humber,,Normal value,Units,Number,E12000003,81,Bar
2014,"Rate per 100,000 population",England,,,,,,,,,Normal value,Units,"Rate per 100,000 population",E92000001,2.715559352,Bar
2015,"Rate per 100,000 population",England,,,,,,,,,Normal value,Units,"Rate per 100,000 population",E92000001,2.407535004,Bar
2016,"Rate per 100,000 population",England,,,,,,,,,Normal value,Units,"Rate per 100,000 population",E92000001,2.766516151,Bar
2017,"Rate per 100,000 population",England,,,,,,,,,Normal value,Units,"Rate per 100,000 population",E92000001,3.070869299,Bar
2018,"Rate per 100,000 population",England,,,,,,,,,Normal value,Units,"Rate per 100,000 population",E92000001,2.852948393,Bar
2019,"Rate per 100,000 population",England,,,,,,,,,Normal value,Units,"Rate per 100,000 population",E92000001,2.888768502,Bar
2014,Number of cases,England,,,,,,,,,Normal value,Units,Number,E92000001,1475,Bar
2015,Number of cases,England,,,,,,,,,Normal value,Units,Number,E92000001,1319,Bar
2016,Number of cases,England,,,,,,,,,Normal value,Units,Number,E92000001,1529,Bar
2017,Number of cases,England,,,,,,,,,Normal value,Units,Number,E92000001,1708,Bar
2018,Number of cases,England,,,,,,,,,Normal value,Units,Number,E92000001,1597,Bar
2019,Number of cases,England,,,,,,,,,Normal value,Units,Number,E92000001,1626,Bar
2014,"Rate per 100,000 population",Northern Ireland,,,,,,,,,Normal value,Units,"Rate per 100,000 population",N92000002,0.108666241,Bar
2015,"Rate per 100,000 population",Northern Ireland,,,,,,,,,Normal value,Units,"Rate per 100,000 population",N92000002,0.594074057,Bar
2016,"Rate per 100,000 population",Northern Ireland,,,,,,,,,Normal value,Units,"Rate per 100,000 population",N92000002,0.32221045,Bar
2017,"Rate per 100,000 population",Northern Ireland,,,,,,,,,Normal value,Units,"Rate per 100,000 population",N92000002,0.534520968,Bar
2018,"Rate per 100,000 population",Northern Ireland,,,,,,,,,Normal value,Units,"Rate per 100,000 population",N92000002,0.584596105,Bar
2019,"Rate per 100,000 population",Northern Ireland,,,,,,,,,Normal value,Units,"Rate per 100,000 population",N92000002,0.52807595,Bar
2014,Number of cases,Northern Ireland,,,,,,,,,Normal value,Units,Number,N92000002,2,Bar
2015,Number of cases,Northern Ireland,,,,,,,,,Normal value,Units,Number,N92000002,11,Bar
2016,Number of cases,Northern Ireland,,,,,,,,,Normal value,Units,Number,N92000002,6,Bar
2017,Number of cases,Northern Ireland,,,,,,,,,Normal value,Units,Number,N92000002,10,Bar
2018,Number of cases,Northern Ireland,,,,,,,,,Normal value,Units,Number,N92000002,11,Bar
2019,Number of cases,Northern Ireland,,,,,,,,,Normal value,Units,Number,N92000002,10,Bar
2014,"Rate per 100,000 population",Scotland,,,,,,,,,Normal value,Units,"Rate per 100,000 population",S92000003,1.421198295,Bar
2015,"Rate per 100,000 population",Scotland,,,,,,,,,Normal value,Units,"Rate per 100,000 population",S92000003,0.911967244,Bar
2016,"Rate per 100,000 population",Scotland,,,,,,,,,Normal value,Units,"Rate per 100,000 population",S92000003,1.073140045,Bar
2017,"Rate per 100,000 population",Scotland,,,,,,,,,Normal value,Units,"Rate per 100,000 population",S92000003,0.921692966,Bar
2018,"Rate per 100,000 population",Scotland,,,,,,,,,Normal value,Units,"Rate per 100,000 population",S92000003,0.956216326,Bar
2019,"Rate per 100,000 population",Scotland,,,,,,,,,Normal value,Units,"Rate per 100,000 population",S92000003,1.061629418,Bar
2014,Number of cases,Scotland,,,,,,,,,Normal value,Units,Number,S92000003,76,Bar
2015,Number of cases,Scotland,,,,,,,,,Normal value,Units,Number,S92000003,49,Bar
2016,Number of cases,Scotland,,,,,,,,,Normal value,Units,Number,S92000003,58,Bar
2017,Number of cases,Scotland,,,,,,,,,Normal value,Units,Number,S92000003,50,Bar
2018,Number of cases,Scotland,,,,,,,,,Normal value,Units,Number,S92000003,52,Bar
2019,Number of cases,Scotland,,,,,,,,,Normal value,Units,Number,S92000003,58,Bar
2014,"Rate per 100,000 population",Wales,,,,,,,,,Normal value,Units,"Rate per 100,000 population",W92000004,1.067257949,Bar
2015,"Rate per 100,000 population",Wales,,,,,,,,,Normal value,Units,"Rate per 100,000 population",W92000004,0.677619143,Bar
2016,"Rate per 100,000 population",Wales,,,,,,,,,Normal value,Units,"Rate per 100,000 population",W92000004,0.803045147,Bar
2017,"Rate per 100,000 population",Wales,,,,,,,,,Normal value,Units,"Rate per 100,000 population",W92000004,0.767959452,Bar
2018,"Rate per 100,000 population",Wales,,,,,,,,,Normal value,Units,"Rate per 100,000 population",W92000004,0.732803569,Bar
2019,"Rate per 100,000 population",Wales,,,,,,,,,Normal value,Units,"Rate per 100,000 population",W92000004,0.792926084,Bar
2014,Number of cases,Wales,,,,,,,,,Normal value,Units,Number,W92000004,33,Bar
2015,Number of cases,Wales,,,,,,,,,Normal value,Units,Number,W92000004,21,Bar
2016,Number of cases,Wales,,,,,,,,,Normal value,Units,Number,W92000004,25,Bar
2017,Number of cases,Wales,,,,,,,,,Normal value,Units,Number,W92000004,24,Bar
2018,Number of cases,Wales,,,,,,,,,Normal value,Units,Number,W92000004,23,Bar
2019,Number of cases,Wales,,,,,,,,,Normal value,Units,Number,W92000004,25,Bar
2014,"Rate per 100,000 population",,,Female,,,,,,,Normal value,Units,"Rate per 100,000 population",,1.521202329,Bar
2014,"Rate per 100,000 population",,,Female,4 and under,,,,,,Normal value,Units,"Rate per 100,000 population",,0.916543612,Bar
2014,"Rate per 100,000 population",,,Female,5 to 9,,,,,,Normal value,Units,"Rate per 100,000 population",,1.008529506,Bar
2014,"Rate per 100,000 population",,,Female,10 to 14,,,,,,Normal value,Units,"Rate per 100,000 population",,1.279812356,Bar
2014,"Rate per 100,000 population",,,Female,15 to 19,,,,,,Normal value,Units,"Rate per 100,000 population",,1.655088168,Bar
2014,"Rate per 100,000 population",,,Female,20 to 24,,,,,,Normal value,Units,"Rate per 100,000 population",,1.840009738,Bar
2014,"Rate per 100,000 population",,,Female,25 to 29,,,,,,Normal value,Units,"Rate per 100,000 population",,2.232132689,Bar
2014,"Rate per 100,000 population",,,Female,30 to 34,,,,,,Normal value,Units,"Rate per 100,000 population",,2.143049952,Bar
2014,"Rate per 100,000 population",,,Female,35 to 39,,,,,,Normal value,Units,"Rate per 100,000 population",,1.545848624,Bar
2014,"Rate per 100,000 population",,,Female,40 to 44,,,,,,Normal value,Units,"Rate per 100,000 population",,2.79370641,Bar
2014,"Rate per 100,000 population",,,Female,45 to 49,,,,,,Normal value,Units,"Rate per 100,000 population",,2.278563695,Bar
2014,"Rate per 100,000 population",,,Female,50 to 54,,,,,,Normal value,Units,"Rate per 100,000 population",,1.817714291,Bar
2014,"Rate per 100,000 population",,,Female,55 to 59,,,,,,Normal value,Units,"Rate per 100,000 population",,1.747798802,Bar
2014,"Rate per 100,000 population",,,Female,60 to 64,,,,,,Normal value,Units,"Rate per 100,000 population",,1.11556096,Bar
2014,"Rate per 100,000 population",,,Female,65 to 69,,,,,,Normal value,Units,"Rate per 100,000 population",,0.928502571,Bar
2014,"Rate per 100,000 population",,,Female,70 and over,,,,,,Normal value,Units,"Rate per 100,000 population",,0.338135839,Bar
2015,"Rate per 100,000 population",,,Female,,,,,,,Normal value,Units,"Rate per 100,000 population",,1.322815828,Bar
2015,"Rate per 100,000 population",,,Female,4 and under,,,,,,Normal value,Units,"Rate per 100,000 population",,0.356531115,Bar
2015,"Rate per 100,000 population",,,Female,5 to 9,,,,,,Normal value,Units,"Rate per 100,000 population",,0.621596758,Bar
2015,"Rate per 100,000 population",,,Female,10 to 14,,,,,,Normal value,Units,"Rate per 100,000 population",,1.558253579,Bar
2015,"Rate per 100,000 population",,,Female,15 to 19,,,,,,Normal value,Units,"Rate per 100,000 population",,1.290597353,Bar
2015,"Rate per 100,000 population",,,Female,20 to 24,,,,,,Normal value,Units,"Rate per 100,000 population",,1.423852375,Bar
2015,"Rate per 100,000 population",,,Female,25 to 29,,,,,,Normal value,Units,"Rate per 100,000 population",,1.808292922,Bar
2015,"Rate per 100,000 population",,,Female,30 to 34,,,,,,Normal value,Units,"Rate per 100,000 population",,1.543747301,Bar
2015,"Rate per 100,000 population",,,Female,35 to 39,,,,,,Normal value,Units,"Rate per 100,000 population",,2.000625561,Bar
2015,"Rate per 100,000 population",,,Female,40 to 44,,,,,,Normal value,Units,"Rate per 100,000 population",,1.888683744,Bar
2015,"Rate per 100,000 population",,,Female,45 to 49,,,,,,Normal value,Units,"Rate per 100,000 population",,2.001389049,Bar
2015,"Rate per 100,000 population",,,Female,50 to 54,,,,,,Normal value,Units,"Rate per 100,000 population",,2.161328474,Bar
2015,"Rate per 100,000 population",,,Female,55 to 59,,,,,,Normal value,Units,"Rate per 100,000 population",,1.899956301,Bar
2015,"Rate per 100,000 population",,,Female,60 to 64,,,,,,Normal value,Units,"Rate per 100,000 population",,0.839349605,Bar
2015,"Rate per 100,000 population",,,Female,65 to 69,,,,,,Normal value,Units,"Rate per 100,000 population",,0.914154936,Bar
2015,"Rate per 100,000 population",,,Female,70 and over,,,,,,Normal value,Units,"Rate per 100,000 population",,0.31116311,Bar
2016,"Rate per 100,000 population",,,Female,,,,,,,Normal value,Units,"Rate per 100,000 population",,1.71022994,Bar
2016,"Rate per 100,000 population",,,Female,4 and under,,,,,,Normal value,Units,"Rate per 100,000 population",,0.255566755,Bar
2016,"Rate per 100,000 population",,,Female,5 to 9,,,,,,Normal value,Units,"Rate per 100,000 population",,0.659704919,Bar
2016,"Rate per 100,000 population",,,Female,10 to 14,,,,,,Normal value,Units,"Rate per 100,000 population",,1.413672931,Bar
2016,"Rate per 100,000 population",,,Female,15 to 19,,,,,,Normal value,Units,"Rate per 100,000 population",,1.739732723,Bar
2016,"Rate per 100,000 population",,,Female,20 to 24,,,,,,Normal value,Units,"Rate per 100,000 population",,2.21439162,Bar
2016,"Rate per 100,000 population",,,Female,25 to 29,,,,,,Normal value,Units,"Rate per 100,000 population",,2.907230282,Bar
2016,"Rate per 100,000 population",,,Female,30 to 34,,,,,,Normal value,Units,"Rate per 100,000 population",,2.354113973,Bar
2016,"Rate per 100,000 population",,,Female,35 to 39,,,,,,Normal value,Units,"Rate per 100,000 population",,2.524540438,Bar
2016,"Rate per 100,000 population",,,Female,40 to 44,,,,,,Normal value,Units,"Rate per 100,000 population",,3.040118641,Bar
2016,"Rate per 100,000 population",,,Female,45 to 49,,,,,,Normal value,Units,"Rate per 100,000 population",,2.390922691,Bar
2016,"Rate per 100,000 population",,,Female,50 to 54,,,,,,Normal value,Units,"Rate per 100,000 population",,2.127452261,Bar
2016,"Rate per 100,000 population",,,Female,55 to 59,,,,,,Normal value,Units,"Rate per 100,000 population",,1.747986902,Bar
2016,"Rate per 100,000 population",,,Female,60 to 64,,,,,,Normal value,Units,"Rate per 100,000 population",,1.663948883,Bar
2016,"Rate per 100,000 population",,,Female,65 to 69,,,,,,Normal value,Units,"Rate per 100,000 population",,0.747677127,Bar
2016,"Rate per 100,000 population",,,Female,70 and over,,,,,,Normal value,Units,"Rate per 100,000 population",,0.611137012,Bar
2017,"Rate per 100,000 population",,,Female,,,,,,,Normal value,Units,"Rate per 100,000 population",,1.763382308,Bar
2017,"Rate per 100,000 population",,,Female,4 and under,,,,,,Normal value,Units,"Rate per 100,000 population",,0.984650338,Bar
2017,"Rate per 100,000 population",,,Female,5 to 9,,,,,,Normal value,Units,"Rate per 100,000 population",,1.244921963,Bar
2017,"Rate per 100,000 population",,,Female,10 to 14,,,,,,Normal value,Units,"Rate per 100,000 population",,1.098806312,Bar
2017,"Rate per 100,000 population",,,Female,15 to 19,,,,,,Normal value,Units,"Rate per 100,000 population",,1.275934053,Bar
2017,"Rate per 100,000 population",,,Female,20 to 24,,,,,,Normal value,Units,"Rate per 100,000 population",,2.147627945,Bar
2017,"Rate per 100,000 population",,,Female,25 to 29,,,,,,Normal value,Units,"Rate per 100,000 population",,2.180180822,Bar
2017,"Rate per 100,000 population",,,Female,30 to 34,,,,,,Normal value,Units,"Rate per 100,000 population",,2.839075777,Bar
2017,"Rate per 100,000 population",,,Female,35 to 39,,,,,,Normal value,Units,"Rate per 100,000 population",,1.90163977,Bar
2017,"Rate per 100,000 population",,,Female,40 to 44,,,,,,Normal value,Units,"Rate per 100,000 population",,2.639638076,Bar
2017,"Rate per 100,000 population",,,Female,45 to 49,,,,,,Normal value,Units,"Rate per 100,000 population",,2.715678777,Bar
2017,"Rate per 100,000 population",,,Female,50 to 54,,,,,,Normal value,Units,"Rate per 100,000 population",,2.574244807,Bar
2017,"Rate per 100,000 population",,,Female,55 to 59,,,,,,Normal value,Units,"Rate per 100,000 population",,2.49941641,Bar
2017,"Rate per 100,000 population",,,Female,60 to 64,,,,,,Normal value,Units,"Rate per 100,000 population",,1.525713448,Bar
2017,"Rate per 100,000 population",,,Female,65 to 69,,,,,,Normal value,Units,"Rate per 100,000 population",,1.22808702,Bar
2017,"Rate per 100,000 population",,,Female,70 and over,,,,,,Normal value,Units,"Rate per 100,000 population",,0.526958679,Bar
2018,"Rate per 100,000 population",,,Female,,,,,,,Normal value,Units,"Rate per 100,000 population",,1.801140532,Bar
2018,"Rate per 100,000 population",,,Female,4 and under,,,,,,Normal value,Units,"Rate per 100,000 population",,0.629490365,Bar
2018,"Rate per 100,000 population",,,Female,5 to 9,,,,,,Normal value,Units,"Rate per 100,000 population",,0.989955417,Bar
2018,"Rate per 100,000 population",,,Female,10 to 14,,,,,,Normal value,Units,"Rate per 100,000 population",,2.178957225,Bar
2018,"Rate per 100,000 population",,,Female,15 to 19,,,,,,Normal value,Units,"Rate per 100,000 population",,1.68066097,Bar
2018,"Rate per 100,000 population",,,Female,20 to 24,,,,,,Normal value,Units,"Rate per 100,000 population",,1.967042208,Bar
2018,"Rate per 100,000 population",,,Female,25 to 29,,,,,,Normal value,Units,"Rate per 100,000 population",,2.371923939,Bar
2018,"Rate per 100,000 population",,,Female,30 to 34,,,,,,Normal value,Units,"Rate per 100,000 population",,2.813416872,Bar
2018,"Rate per 100,000 population",,,Female,35 to 39,,,,,,Normal value,Units,"Rate per 100,000 population",,3.084028903,Bar
2018,"Rate per 100,000 population",,,Female,40 to 44,,,,,,Normal value,Units,"Rate per 100,000 population",,2.982472012,Bar
2018,"Rate per 100,000 population",,,Female,45 to 49,,,,,,Normal value,Units,"Rate per 100,000 population",,2.845406026,Bar
2018,"Rate per 100,000 population",,,Female,50 to 54,,,,,,Normal value,Units,"Rate per 100,000 population",,2.443074264,Bar
2018,"Rate per 100,000 population",,,Female,55 to 59,,,,,,Normal value,Units,"Rate per 100,000 population",,1.514417947,Bar
2018,"Rate per 100,000 population",,,Female,60 to 64,,,,,,Normal value,Units,"Rate per 100,000 population",,1.494628678,Bar
2018,"Rate per 100,000 population",,,Female,65 to 69,,,,,,Normal value,Units,"Rate per 100,000 population",,0.627961409,Bar
2018,"Rate per 100,000 population",,,Female,70 and over,,,,,,Normal value,Units,"Rate per 100,000 population",,0.493256972,Bar
2019,"Rate per 100,000 population",,,Female,,,,,,,Normal value,Units,"Rate per 100,000 population",,1.774172764,Bar
2019,"Rate per 100,000 population",,,Female,4 and under,,,,,,Normal value,Units,"Rate per 100,000 population",,0.745687132,Bar
2019,"Rate per 100,000 population",,,Female,5 to 9,,,,,,Normal value,Units,"Rate per 100,000 population",,0.83980477,Bar
2019,"Rate per 100,000 population",,,Female,10 to 14,,,,,,Normal value,Units,"Rate per 100,000 population",,1.60835598,Bar
2019,"Rate per 100,000 population",,,Female,15 to 19,,,,,,Normal value,Units,"Rate per 100,000 population",,1.912524504,Bar
2019,"Rate per 100,000 population",,,Female,20 to 24,,,,,,Normal value,Units,"Rate per 100,000 population",,2.031705508,Bar
2019,"Rate per 100,000 population",,,Female,25 to 29,,,,,,Normal value,Units,"Rate per 100,000 population",,2.205072657,Bar
2019,"Rate per 100,000 population",,,Female,30 to 34,,,,,,Normal value,Units,"Rate per 100,000 population",,2.084451324,Bar
