Year,Units,Age,Disability Status,Region,GeoCode,Value
2014,Percentage (%),,,West Midlands,E12000005,36.4
2015,Percentage (%),,,West Midlands,E12000005,37.6
2016,Percentage (%),,,West Midlands,E12000005,35.1
2017,Percentage (%),,,West Midlands,E12000005,37.2
2012,Percentage (%),,,East of England,E12000006,35.5
2013,Percentage (%),,,East of England,E12000006,35.0
2014,Percentage (%),,,East of England,E12000006,36.3
2015,Percentage (%),,,East of England,E12000006,37.0
2016,Percentage (%),,,East of England,E12000006,36.0
2017,Percentage (%),,,East of England,E12000006,34.1
2012,Percentage (%),,,London,E12000007,35.9
2013,Percentage (%),,,London,E12000007,33.9
2014,Percentage (%),,,London,E12000007,35.9
2015,Percentage (%),,,London,E12000007,38.1
2016,Percentage (%),,,London,E12000007,37.2
2017,Percentage (%),,,London,E12000007,38.8
2012,Percentage (%),,,South East,E12000008,34.6
2013,Percentage (%),,,South East,E12000008,36.2
2014,Percentage (%),,,South East,E12000008,35.8
2015,Percentage (%),,,South East,E12000008,34.1
2016,Percentage (%),,,South East,E12000008,34.7
2017,Percentage (%),,,South East,E12000008,36.6
2012,Percentage (%),,,South West,E12000009,35.7
2013,Percentage (%),,,South West,E12000009,36.5
2014,Percentage (%),,,South West,E12000009,37.6
2015,Percentage (%),,,South West,E12000009,39.7
2016,Percentage (%),,,South West,E12000009,39.1
2017,Percentage (%),,,South West,E12000009,38.0
2012,Percentage (%),,,Wales,,38.7
2013,Percentage (%),,,Wales,,36.7
2014,Percentage (%),,,Wales,,35.8
2015,Percentage (%),,,Wales,,38.3
2016,Percentage (%),,,Wales,,39.8
2017,Percentage (%),,,Wales,,41.6
2012,Percentage (%),,,Scotland,,38.6
2013,Percentage (%),,,Scotland,,38.3
2014,Percentage (%),,,Scotland,,39.3
2015,Percentage (%),,,Scotland,,38.7
2016,Percentage (%),,,Scotland,,40.7
2017,Percentage (%),,,Scotland,,41.2
2012,Percentage (%),,,Northern Ireland,,38.3
2013,Percentage (%),,,Northern Ireland,,41.2
2014,Percentage (%),,,Northern Ireland,,44.1
2015,Percentage (%),,,Northern Ireland,,35.4
2016,Percentage (%),,,Northern Ireland,,36.1
2017,Percentage (%),,,Northern Ireland,,38.2
