Year,Series,Units,Material category,Observation status,Unit multiplier,Value
2008,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,226.3067
2009,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,208.73170000000002
2010,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,193.3395
2011,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,192.7129
2012,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,194.1826
2013,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,183.2874
2014,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,170.6576
2015,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,160.86970000000002
2016,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,149.03379999999999
2017,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,145.56529999999998
2018,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,148.52870000000001
2019,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,141.0641
2020,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,120.89410000000001
2021,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,122.7676
2000,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,16.9655
2001,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,20.3047
2002,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,18.8867
2003,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,17.4026
2004,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,19.2925
2005,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,17.2714
2006,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,18.078599999999998
2007,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,20.529400000000003
2008,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,15.436399999999999
2009,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,6.2533
2010,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,9.4369
2011,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,8.9764
2012,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,9.851899999999999
2013,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,12.6563
2014,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,14.883899999999999
2015,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,13.634
2016,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,12.1943
2017,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,11.5625
2018,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,11.2525
2019,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,13.396700000000001
2020,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,7.860600000000001
2021,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,7.4811000000000005
2000,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,295.27259999999995
2001,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,303.8595
2002,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,289.6793
2003,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,283.7565
2004,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,295.0295
2005,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,284.6635
2006,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,284.1127
2007,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,289.537
2008,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,256.2833
2009,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,205.86020000000002
2010,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,203.1571
2011,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,206.7767
2012,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,184.7587
2013,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,189.10320000000002
2014,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,211.4004
2015,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,209.42010000000002
2016,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,219.74020000000002
2017,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,219.38729999999998
2018,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,227.2599
2019,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,221.0995
2020,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,196.387
2021,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,217.5626
2000,Domestic material consumption,Tonnes,,Normal value,Millions,736.0925
2001,Domestic material consumption,Tonnes,,Normal value,Millions,743.2284000000001
2002,Domestic material consumption,Tonnes,,Normal value,Millions,721.9182
2003,Domestic material consumption,Tonnes,,Normal value,Millions,722.968
2004,Domestic material consumption,Tonnes,,Normal value,Millions,751.9122
2005,Domestic material consumption,Tonnes,,Normal value,Millions,732.608
2006,Domestic material consumption,Tonnes,,Normal value,Millions,724.2121
2007,Domestic material consumption,Tonnes,,Normal value,Millions,718.9167
2008,Domestic material consumption,Tonnes,,Normal value,Millions,674.9923
2009,Domestic material consumption,Tonnes,,Normal value,Millions,591.5994000000001
2010,Domestic material consumption,Tonnes,,Normal value,Millions,575.3452
2011,Domestic material consumption,Tonnes,,Normal value,Millions,581.3488000000001
2012,Domestic material consumption,Tonnes,,Normal value,Millions,555.3701
2013,Domestic material consumption,Tonnes,,Normal value,Millions,562.9723
2014,Domestic material consumption,Tonnes,,Normal value,Millions,586.39
2015,Domestic material consumption,Tonnes,,Normal value,Millions,566.4305
2016,Domestic material consumption,Tonnes,,Normal value,Millions,558.2432
2017,Domestic material consumption,Tonnes,,Normal value,Millions,567.8934
2018,Domestic material consumption,Tonnes,,Normal value,Millions,570.8358000000001
2019,Domestic material consumption,Tonnes,,Normal value,Millions,577.3412
2020,Domestic material consumption,Tonnes,,Normal value,Millions,509.5677
2021,Domestic material consumption,Tonnes,,Normal value,Millions,544.1757
2000,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.976300009679704
2001,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.856995923062609
2002,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.952415283572838
2003,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.8612114474146795
2004,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.9000624583363663
2005,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.8528497610359684
2006,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.756131575438283
2007,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.6411080075816535
2008,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.7374389255964515
2009,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.6276890932075285
2010,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.558441551819697
2011,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.607392303517674
2012,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.4987163493997255
2013,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.6483389437069
2014,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.8045419373407503
2015,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.685002437565921
2016,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.5675216511368335
2017,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.766598522848853
2018,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.6332136935721917
2019,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.8000619849987745
2020,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.5361429695822233
2021,Domestic material consumption per capita,Tonnes,Biomass,Normal value,Units,2.776613392249119
2000,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,4.085753683806535
2001,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,4.097719621741411
2002,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,3.8996912358483096
2003,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,4.096766851236577
2004,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,4.239502198852371
2005,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,4.151925149697228
2006,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,4.039298820704277
2007,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,3.9040902035785767
2008,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,3.6605126584641265
2009,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,3.352554941508166
2010,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,3.080643337635049
2011,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,3.0451522233219186
2012,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,3.048151770747145
2013,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,2.859145622319055
2014,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,2.6418913446298355
2015,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,2.470735923744104
2016,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,2.2701937212030683
2017,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,2.2041913270773184
2018,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,2.2356810472706257
2019,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,2.11183896859022
2020,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,1.802204473459746
2021,Domestic material consumption per capita,Tonnes,Fossil fuels,Normal value,Units,1.8316334730257793
2000,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.2881070405409766
2001,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.34348789606347163
2002,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.31814162049803174
2003,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.291810430302085
2004,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.32180788760515283
2005,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.28588749267627867
2006,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.2972130811436297
2007,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.3347963093050572
2008,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.24968389182077083
2009,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.10043769976353863
2010,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.15036618545578215
2011,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.14184055357698874
2012,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.1546486988547058
2013,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.1974287634597722
2014,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.23041251361987983
2015,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.20939936845985982
2016,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.1857526500328555
2017,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.17508267574299297
2018,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.16937467967074857
2019,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.2005589877971263
2020,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.11718031305148621
2021,Domestic material consumption per capita,Tonnes,Metal ores,Normal value,Units,0.111614409461887
2000,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,5.01430048857031
2001,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,5.139470167306683
2002,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,4.879573558468947
2003,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,4.758088237735372
2004,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,4.921229502459735
2005,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,4.711936164494705
2006,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,4.670826886984375
2007,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,4.721809648955077
2008,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,4.145384400033048
2009,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,3.3064341964821797
2010,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,3.237075541253895
2011,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,3.267381310416529
2012,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,2.900221536666728
2013,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,2.9498677292957654
2014,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,3.2726165550862367
2015,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,3.216402866568923
2016,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,3.3472462108320835
2017,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,3.3220251250188726
2018,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,3.4207574107537306
2019,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,3.3100309719894248
2020,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,2.9275996920390583
2021,Domestic material consumption per capita,Tonnes,Non-metallic minerals,Normal value,Units,3.2459292243109616
2000,Domestic material consumption per capita,Tonnes,,Normal value,Units,12.500275956465108
2001,Domestic material consumption per capita,Tonnes,,Normal value,Units,12.573011012805983
2002,Domestic material consumption per capita,Tonnes,,Normal value,Units,12.16052703834032
2003,Domestic material consumption per capita,Tonnes,,Normal value,Units,12.122878373038382
2004,Domestic material consumption per capita,Tonnes,,Normal value,Units,12.542245781860473
2005,Domestic material consumption per capita,Tonnes,,Normal value,Units,12.126606079100892
2006,Domestic material consumption per capita,Tonnes,,Normal value,Units,11.906082862749242
2007,Domestic material consumption per capita,Tonnes,,Normal value,Units,11.724193491177093
2008,Domestic material consumption per capita,Tonnes,,Normal value,Units,10.91800577939502
2009,Domestic material consumption per capita,Tonnes,,Normal value,Units,9.502004208576206
2010,Domestic material consumption per capita,Tonnes,,Normal value,Units,9.167466333678863
2011,Domestic material consumption per capita,Tonnes,,Normal value,Units,9.186181054021446
2012,Domestic material consumption per capita,Tonnes,,Normal value,Units,8.71783750827839
2013,Domestic material consumption per capita,Tonnes,,Normal value,Units,8.7819445691951
2014,Domestic material consumption per capita,Tonnes,,Normal value,Units,9.07770099648354
2015,Domestic material consumption per capita,Tonnes,,Normal value,Units,8.699588453601484
2016,Domestic material consumption per capita,Tonnes,,Normal value,Units,8.503575749556871
2017,Domestic material consumption per capita,Tonnes,,Normal value,Units,8.599203979138233
2018,Domestic material consumption per capita,Tonnes,,Normal value,Units,8.592324440754988
2019,Domestic material consumption per capita,Tonnes,,Normal value,Units,8.643245477287559
2020,Domestic material consumption per capita,Tonnes,,Normal value,Units,7.596277969483984
2021,Domestic material consumption per capita,Tonnes,,Normal value,Units,8.118839395143624
2000,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,49.822022282617496
2001,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,47.848555564014745
2002,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,49.87865148926764
2003,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,48.27390282768092
2004,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,49.33492489540994
2005,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,49.06966649336848
2006,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,48.12501035727235
2007,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,46.38385176025747
2008,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,50.16082348572618
2009,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,51.74989370267052
2010,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,50.29579286974099
2011,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,52.22781585058154
2012,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,50.39687052754153
2013,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,53.93605042912259
2014,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,56.482987873481605
2015,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,53.610595011156455
2016,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,51.54350919123104
2017,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,55.51599148674996
2018,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,53.17288183280033
2019,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,57.13438767966678
2020,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,61.87874241726195
2021,Domestic material consumption per unit of GDP,Tonnes per $m,Biomass,Normal value,Units,63.14310695007977
2000,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,68.39381460668073
2001,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,68.62801708042572
2002,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,65.88210715168876
2003,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,69.11999637879131
2004,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,72.12104069451318
2005,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,71.41405943756719
2006,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,70.53048530587623
2007,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,68.56468601118486
2008,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,67.07522407590452
2009,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,66.02545267013758
2010,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,60.56163335255252
2011,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,60.99644052108328
2012,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,61.478490816112156
2013,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,58.229337614072655
2014,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,53.20723316523993
2015,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,49.33240325377122
2016,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,45.57459170125971
2017,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,44.23043890849275
2018,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,45.145445063018826
2019,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,43.09141261689395
2020,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,43.971553549610455
2021,Domestic material consumption per unit of GDP,Tonnes per $m,Fossil fuels,Normal value,Units,41.65327034849805
2000,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,4.822791837828283
2001,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,5.75268573108124
2002,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,5.374743553640287
2003,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,4.923379000610081
2004,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,5.474491737277372
2005,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,4.917330071793237
2006,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,5.189658844962605
2007,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,5.879783157715854
2008,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,4.575206959958731
2009,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,1.9780271189386724
2010,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,2.9560130122644512
2011,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,2.8411613788877235
2012,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,3.119125728418794
2013,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,4.0208326685030595
2014,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,4.6404680348728355
2015,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,4.181011004321613
2016,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,3.729021494336663
2017,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,3.5132991851728916
2018,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,3.420208488808017
2019,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,4.092343320552452
2020,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,2.859054278348306
2021,Domestic material consumption per unit of GDP,Tonnes per $m,Metal ores,Normal value,Units,2.5382289855315956
2000,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,83.93730130054142
2001,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,86.07510493272096
2002,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,82.43642088337458
2003,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,80.27770525017034
2004,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,83.71836516797067
2005,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,81.04637660478677
2006,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,81.55764199225645
2007,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,82.92569564310574
2008,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,75.96001256000048
2009,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,65.11714747575503
2010,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,63.636896770540154
2011,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,65.44783811927422
2012,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,58.49487050408647
2013,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,60.07698334256204
2014,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,65.90992943780404
2015,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,64.22089941514835
2016,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,67.19663522874107
2017,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,66.66146787695399
2018,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,69.07587106382235
2019,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,67.54014511054862
2020,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,71.42980085006091
2021,Domestic material consumption per unit of GDP,Tonnes per $m,Non-metallic minerals,Normal value,Units,73.81584225416267
2000,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,209.24941209434533
2001,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,210.57097463699557
2002,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,205.44219962754735
2003,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,204.53526882839742
2004,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,213.36463009242192
2005,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,208.58039008049724
2006,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,207.89296352560171
2007,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,205.90345087828484
