Year,Series,Manufacturing industry,Observation status,Unit multiplier,Units,Value
1997,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),8.50666726630838
1997,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),6.818675841184891
1997,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.06071372355017877
1997,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.5854002233665385
1997,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),41.58365376687429
1998,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),6.138519444303971
1998,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),7.933044841461917
1998,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),4.729773661510897
1998,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),3.700305589469806
1998,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),3.1433091799654678
1998,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),8.818026166549874
1998,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),6.293120263543826
1998,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.047680626494534785
1998,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.5988975661207475
1998,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),41.40267733942104
1999,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),6.521408944672273
1999,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),8.544246993358463
1999,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),4.905900059373403
1999,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),3.672866354611104
1999,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),3.0494456181047456
1999,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),8.703726716650788
1999,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),5.510680308741698
1999,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.10631981552821618
1999,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.6116841334935034
1999,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),41.62627894453419
2000,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),7.78799923283975
2000,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),8.521430886136223
2000,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),4.8965987024410245
2000,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),3.488595104723988
2000,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),3.1175805352926784
2000,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),8.703962118155905
2000,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),6.026176036823692
2000,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.12962362853571593
2000,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.5780155680623251
2000,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),43.2499818130113
2001,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),7.819883678662305
2001,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),8.900659500441398
2001,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),4.663888456145817
2001,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),3.618164823181181
2001,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),3.600638728773952
2001,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),8.75655605753752
2001,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),6.717687074829932
2001,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.1395596406501532
2001,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.4251700680272109
2001,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),44.64220802824947
2002,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),7.244316394700753
2002,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),9.390058251449995
2002,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),4.7330875784759
2002,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),4.590289747493174
2002,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),3.753003786973315
2002,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),8.832077299548331
2002,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),5.911956015751796
2002,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.14279783098272586
2002,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.40826340223695634
2002,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),45.005850307612945
2003,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),7.731451183784809
2003,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),8.79077192188427
2003,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),4.987125461006355
2003,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),3.9314744252328735
2003,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),3.8501293570069905
2003,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),9.135112323472027
2003,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),5.880086360328071
2003,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.1767573287013535
2003,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.4642173442364267
2003,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),44.94712570565317
2004,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),8.344870158279246
2004,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),8.903432280335856
2004,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),4.29709272011363
2004,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),4.554199104622521
2004,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),3.1529992748281463
2004,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),9.646583601527055
2004,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),5.912847528122884
2004,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.21395566263327281
2004,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.6226888892884326
2004,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),45.64866921975104
2005,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),8.552821400601788
2005,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),9.35245867853757
2005,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),4.855529450558509
2005,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),4.624117484263397
2005,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),3.104924423089379
2005,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),9.582104141273177
2005,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),6.107391639727487
2005,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.22729012465626786
2005,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.7030684166828596
2005,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),47.109705759390444
2006,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),8.755908478840304
2006,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),9.897429361468683
2006,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),4.715146208876156
2006,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),5.08087620039787
2006,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),3.061603338117377
2006,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),9.344955419730578
2006,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),6.372013897739678
2006,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.23883276719069493
2006,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.7757908911066657
2006,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),48.24255656346801
2007,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),7.887448519859587
2007,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),9.863180297962906
2007,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),4.318527322479892
2007,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),5.383233367423091
2007,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),3.104010613892037
2007,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),10.059979546145554
2007,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),6.845960363746925
2007,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.20730257884408082
2007,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.6196965090245723
2007,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),48.289339119378646
2008,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),7.253976961053208
2008,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),10.809654415798136
2008,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),4.196928140427866
2008,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),6.3038946791003845
2008,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),3.2347778387273727
2008,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),9.588590235874932
2008,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),9.033461327482172
2008,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.30499177180471754
2008,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.6785518376302798
2008,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),51.40482720789906
2009,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),6.245143569634435
2009,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),10.0700530668546
2009,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),4.5043579874350215
2009,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),7.297445442334219
2009,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),2.884041995699236
2009,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),7.801610678424499
2009,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),7.383581199515713
2009,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.17287386231530505
2009,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.6686062270731311
2009,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),47.02771402928615
2010,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),5.885250376841181
2010,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),9.866710977650648
2010,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),4.488860930768044
2010,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),7.157608631146665
2010,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),2.523945734869975
2010,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),8.879209048935943
2010,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),7.824647193571741
2010,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.2718004106678694
2010,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.7305377850046882
2010,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),47.628571089456756
2011,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),7.949104584312053
2011,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),9.480412594092238
2011,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),3.7733015337110034
2011,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),7.571233757261547
2011,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),2.7916784313254315
2011,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),9.87089914032885
2011,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),8.74629788716741
2011,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.4139157390108074
2011,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.7118870112159751
2011,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),51.30873067842532
2012,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),5.107170121557343
2012,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),8.672264959774502
2012,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),4.795349110341183
