Year,Series,Series.1,Sustainability level,Unit measure,Unit multiplier,Observation status,Value
2009,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,49.122807017543856
2010,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,56.14035087719298
2011,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,59.64912280701754
2012,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,56.14035087719298
2013,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,57.89473684210527
2014,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,59.64912280701754
2015,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,59.64912280701754
2016,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,57.89473684210527
2017,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,61.40350877192983
2018,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,61.40350877192983
1990,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,22.807017543859647
1991,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,28.07017543859649
1992,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,28.07017543859649
1993,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,29.82456140350877
1994,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,29.82456140350877
1995,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,31.57894736842105
1996,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,33.33333333333333
1997,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,31.57894736842105
1998,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,29.82456140350877
1999,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,29.82456140350877
2000,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,33.33333333333333
2001,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,29.82456140350877
2002,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,29.82456140350877
2003,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,31.57894736842105
2004,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,29.82456140350877
2005,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,33.33333333333333
2006,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,33.33333333333333
2007,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,35.08771929824561
2008,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,31.57894736842105
2009,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,29.82456140350877
2010,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,22.807017543859647
2011,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,19.298245614035086
2012,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,22.807017543859647
2013,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,21.052631578947366
2014,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,19.298245614035086
2015,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,19.298245614035086
2016,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,21.052631578947366
2017,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,17.543859649122805
2018,Proportion of fish stocks not within biologically sustainable levels (overexploited),B) State (biomass remaining),Below MSY Btrigger,Percentage (%),Units,Undefined,17.543859649122805
1990,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,45.614035087719294
1991,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,42.10526315789473
1992,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,40.35087719298245
1993,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,33.33333333333333
1994,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,31.57894736842105
1995,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,33.33333333333333
1996,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,29.82456140350877
1997,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,31.57894736842105
1998,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,28.07017543859649
1999,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,26.31578947368421
2000,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,26.31578947368421
2001,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,24.561403508771928
2002,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,24.561403508771928
2003,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,22.807017543859647
2004,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,22.807017543859647
2005,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,22.807017543859647
2006,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,22.807017543859647
2007,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,22.807017543859647
2008,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,21.052631578947366
2009,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,21.052631578947366
2010,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,21.052631578947366
2011,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,21.052631578947366
2012,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,21.052631578947366
2013,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,21.052631578947366
2014,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,21.052631578947366
2015,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,21.052631578947366
2016,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,21.052631578947366
2017,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,21.052631578947366
2018,Proportion of fish stocks where biologically sustainable status is unknown,B) State (biomass remaining),Unknown,Percentage (%),Units,Undefined,21.052631578947366
1990,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,8.771929824561402
1991,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,8.771929824561402
1992,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,8.771929824561402
1993,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,7.017543859649122
1994,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,10.526315789473683
1995,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,3.508771929824561
1996,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,5.263157894736842
1997,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,5.263157894736842
1998,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,3.508771929824561
1999,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,3.508771929824561
2000,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,5.263157894736842
2001,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,7.017543859649122
2002,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,12.280701754385964
2003,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,21.052631578947366
2004,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,17.543859649122805
2005,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,14.035087719298245
2006,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,14.035087719298245
2007,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,15.789473684210526
2008,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,19.298245614035086
2009,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,22.807017543859647
2010,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,28.07017543859649
2011,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,31.57894736842105
2012,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,33.33333333333333
2013,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,45.614035087719294
2014,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,42.10526315789473
2015,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,45.614035087719294
2016,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,42.10526315789473
2017,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,40.35087719298245
2018,Proportion of fish stocks that are not fully exploited,A) Pressure (stocks harvested),Below FMSY,Percentage (%),Units,Undefined,50.877192982456144
1990,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,43.859649122807014
1991,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,47.368421052631575
1992,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,49.122807017543856
1993,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,57.89473684210527
1994,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,56.14035087719298
1995,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,61.40350877192983
1996,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,63.1578947368421
1997,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,59.64912280701754
1998,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,64.91228070175438
1999,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,66.66666666666666
2000,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,64.91228070175438
2001,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,66.66666666666666
2002,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,61.40350877192983
2003,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,56.14035087719298
2004,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,57.89473684210527
2005,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,63.1578947368421
2006,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,63.1578947368421
2007,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,61.40350877192983
2008,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,57.89473684210527
2009,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,56.14035087719298
2010,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,49.122807017543856
2011,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,45.614035087719294
2012,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,45.614035087719294
2013,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,35.08771929824561
2014,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,38.59649122807017
2015,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,35.08771929824561
2016,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,38.59649122807017
2017,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,40.35087719298245
2018,Proportion of fish stocks that are overexploited,A) Pressure (stocks harvested),Above FMSY,Percentage (%),Units,Undefined,28.07017543859649
1990,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,47.368421052631575
1991,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,43.859649122807014
1992,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,42.10526315789473
1993,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,35.08771929824561
1994,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,33.33333333333333
1995,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,35.08771929824561
1996,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,31.57894736842105
1997,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,35.08771929824561
1998,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,31.57894736842105
1999,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,29.82456140350877
2000,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,29.82456140350877
2001,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,26.31578947368421
2002,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,26.31578947368421
2003,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,22.807017543859647
2004,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,24.561403508771928
2005,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,22.807017543859647
2006,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,22.807017543859647
2007,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,22.807017543859647
2008,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,22.807017543859647
2009,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,21.052631578947366
2010,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,22.807017543859647
2011,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,22.807017543859647
2012,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,21.052631578947366
2013,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,19.298245614035086
2014,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,19.298245614035086
2015,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,19.298245614035086
2016,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,19.298245614035086
2017,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,19.298245614035086
2018,Proportion of fish stocks with unknown level of exploitation,A) Pressure (stocks harvested),Unknown,Percentage (%),Units,Undefined,21.052631578947366
