Year,Series,Sex,Age,Unit multiplier,Units,Observation status,Value
2018,Detected victims of human trafficking (Number),,15 to 17,Units,Number,Normal value,1689.0
2019,Detected victims of human trafficking (Number),,15 to 17,Units,Number,Normal value,3045.0
2020,Detected victims of human trafficking (Number),,15 to 17,Units,Number,Normal value,3399.0
2021,Detected victims of human trafficking (Number),,15 to 17,Units,Number,Normal value,3405.0
2009,Detected victims of human trafficking (Number),,18 to 24,Units,Number,Normal value,79.0
2010,Detected victims of human trafficking (Number),,18 to 24,Units,Number,Normal value,120.0
2011,Detected victims of human trafficking (Number),,18 to 24,Units,Number,Normal value,171.0
2012,Detected victims of human trafficking (Number),,18 to 24,Units,Number,Normal value,234.0
2013,Detected victims of human trafficking (Number),,18 to 24,Units,Number,Normal value,321.0
2014,Detected victims of human trafficking (Number),,18 to 24,Units,Number,Normal value,511.0
2015,Detected victims of human trafficking (Number),,18 to 24,Units,Number,Normal value,607.0
2016,Detected victims of human trafficking (Number),,18 to 24,Units,Number,Normal value,640.0
2017,Detected victims of human trafficking (Number),,18 to 24,Units,Number,Normal value,734.0
2018,Detected victims of human trafficking (Number),,18 to 24,Units,Number,Normal value,1052.0
2019,Detected victims of human trafficking (Number),,18 to 24,Units,Number,Normal value,1652.0
2020,Detected victims of human trafficking (Number),,18 to 24,Units,Number,Normal value,1806.0
2021,Detected victims of human trafficking (Number),,18 to 24,Units,Number,Normal value,2472.0
2009,Detected victims of human trafficking (Number),,25 to 34,Units,Number,Normal value,73.0
2010,Detected victims of human trafficking (Number),,25 to 34,Units,Number,Normal value,118.0
2011,Detected victims of human trafficking (Number),,25 to 34,Units,Number,Normal value,191.0
2012,Detected victims of human trafficking (Number),,25 to 34,Units,Number,Normal value,236.0
2013,Detected victims of human trafficking (Number),,25 to 34,Units,Number,Normal value,388.0
2014,Detected victims of human trafficking (Number),,25 to 34,Units,Number,Normal value,628.0
2015,Detected victims of human trafficking (Number),,25 to 34,Units,Number,Normal value,803.0
2016,Detected victims of human trafficking (Number),,25 to 34,Units,Number,Normal value,863.0
2017,Detected victims of human trafficking (Number),,25 to 34,Units,Number,Normal value,997.0
2018,Detected victims of human trafficking (Number),,25 to 34,Units,Number,Normal value,1296.0
2019,Detected victims of human trafficking (Number),,25 to 34,Units,Number,Normal value,2125.0
2020,Detected victims of human trafficking (Number),,25 to 34,Units,Number,Normal value,2247.0
2021,Detected victims of human trafficking (Number),,25 to 34,Units,Number,Normal value,3051.0
2009,Detected victims of human trafficking (Number),,35 to 44,Units,Number,Normal value,39.0
2010,Detected victims of human trafficking (Number),,35 to 44,Units,Number,Normal value,45.0
2011,Detected victims of human trafficking (Number),,35 to 44,Units,Number,Normal value,76.0
2012,Detected victims of human trafficking (Number),,35 to 44,Units,Number,Normal value,97.0
2013,Detected victims of human trafficking (Number),,35 to 44,Units,Number,Normal value,173.0
2014,Detected victims of human trafficking (Number),,35 to 44,Units,Number,Normal value,286.0
2015,Detected victims of human trafficking (Number),,35 to 44,Units,Number,Normal value,400.0
2016,Detected victims of human trafficking (Number),,35 to 44,Units,Number,Normal value,452.0
2017,Detected victims of human trafficking (Number),,35 to 44,Units,Number,Normal value,507.0
2018,Detected victims of human trafficking (Number),,35 to 44,Units,Number,Normal value,685.0
2019,Detected victims of human trafficking (Number),,35 to 44,Units,Number,Normal value,1126.0
2020,Detected victims of human trafficking (Number),,35 to 44,Units,Number,Normal value,977.0
2021,Detected victims of human trafficking (Number),,35 to 44,Units,Number,Normal value,1120.0
2009,Detected victims of human trafficking (Number),,45 to 54,Units,Number,Normal value,13.0
2010,Detected victims of human trafficking (Number),,45 to 54,Units,Number,Normal value,22.0
2011,Detected victims of human trafficking (Number),,45 to 54,Units,Number,Normal value,46.0
2012,Detected victims of human trafficking (Number),,45 to 54,Units,Number,Normal value,38.0
2013,Detected victims of human trafficking (Number),,45 to 54,Units,Number,Normal value,66.0
2014,Detected victims of human trafficking (Number),,45 to 54,Units,Number,Normal value,106.0
2015,Detected victims of human trafficking (Number),,45 to 54,Units,Number,Normal value,168.0
2016,Detected victims of human trafficking (Number),,45 to 54,Units,Number,Normal value,177.0
2017,Detected victims of human trafficking (Number),,45 to 54,Units,Number,Normal value,207.0
2018,Detected victims of human trafficking (Number),,45 to 54,Units,Number,Normal value,313.0
2019,Detected victims of human trafficking (Number),,45 to 54,Units,Number,Normal value,624.0
2020,Detected victims of human trafficking (Number),,45 to 54,Units,Number,Normal value,415.0
2021,Detected victims of human trafficking (Number),,45 to 54,Units,Number,Normal value,449.0
2009,Detected victims of human trafficking (Number),,55 to 64,Units,Number,Normal value,0.0
2010,Detected victims of human trafficking (Number),,55 to 64,Units,Number,Normal value,5.0
2011,Detected victims of human trafficking (Number),,55 to 64,Units,Number,Normal value,9.0
2012,Detected victims of human trafficking (Number),,55 to 64,Units,Number,Normal value,12.0
2013,Detected victims of human trafficking (Number),,55 to 64,Units,Number,Normal value,35.0
2014,Detected victims of human trafficking (Number),,55 to 64,Units,Number,Normal value,37.0
2015,Detected victims of human trafficking (Number),,55 to 64,Units,Number,Normal value,42.0
2016,Detected victims of human trafficking (Number),,55 to 64,Units,Number,Normal value,48.0
2017,Detected victims of human trafficking (Number),,55 to 64,Units,Number,Normal value,65.0
2018,Detected victims of human trafficking (Number),,55 to 64,Units,Number,Normal value,91.0
2019,Detected victims of human trafficking (Number),,55 to 64,Units,Number,Normal value,149.0
2020,Detected victims of human trafficking (Number),,55 to 64,Units,Number,Normal value,117.0
2021,Detected victims of human trafficking (Number),,55 to 64,Units,Number,Normal value,122.0
2009,Detected victims of human trafficking (Number),,65 to 74,Units,Number,Normal value,0.0
2010,Detected victims of human trafficking (Number),,65 to 74,Units,Number,Normal value,1.0
2011,Detected victims of human trafficking (Number),,65 to 74,Units,Number,Normal value,0.0
2012,Detected victims of human trafficking (Number),,65 to 74,Units,Number,Normal value,2.0
2013,Detected victims of human trafficking (Number),,65 to 74,Units,Number,Normal value,1.0
2014,Detected victims of human trafficking (Number),,65 to 74,Units,Number,Normal value,6.0
2015,Detected victims of human trafficking (Number),,65 to 74,Units,Number,Normal value,7.0
2016,Detected victims of human trafficking (Number),,65 to 74,Units,Number,Normal value,5.0
2017,Detected victims of human trafficking (Number),,65 to 74,Units,Number,Normal value,13.0
2018,Detected victims of human trafficking (Number),,65 to 74,Units,Number,Normal value,5.0
2019,Detected victims of human trafficking (Number),,65 to 74,Units,Number,Normal value,17.0
2020,Detected victims of human trafficking (Number),,65 to 74,Units,Number,Normal value,30.0
2021,Detected victims of human trafficking (Number),,65 to 74,Units,Number,Normal value,24.0
2009,Detected victims of human trafficking (Number),,75 and over,Units,Number,Normal value,0.0
2010,Detected victims of human trafficking (Number),,75 and over,Units,Number,Normal value,0.0
2011,Detected victims of human trafficking (Number),,75 and over,Units,Number,Normal value,0.0
2012,Detected victims of human trafficking (Number),,75 and over,Units,Number,Normal value,1.0
2013,Detected victims of human trafficking (Number),,75 and over,Units,Number,Normal value,1.0
2014,Detected victims of human trafficking (Number),,75 and over,Units,Number,Normal value,0.0
2015,Detected victims of human trafficking (Number),,75 and over,Units,Number,Normal value,0.0
2016,Detected victims of human trafficking (Number),,75 and over,Units,Number,Normal value,0.0
2017,Detected victims of human trafficking (Number),,75 and over,Units,Number,Normal value,1.0
2018,Detected victims of human trafficking (Number),,75 and over,Units,Number,Normal value,2.0
2019,Detected victims of human trafficking (Number),,75 and over,Units,Number,Normal value,2.0
2020,Detected victims of human trafficking (Number),,75 and over,Units,Number,Normal value,4.0
2021,Detected victims of human trafficking (Number),,75 and over,Units,Number,Normal value,3.0
2009,Detected victims of human trafficking (Number),,Age not known,Units,Number,Normal value,0.0
2010,Detected victims of human trafficking (Number),,Age not known,Units,Number,Normal value,1.0
2011,Detected victims of human trafficking (Number),,Age not known,Units,Number,Normal value,1.0
2012,Detected victims of human trafficking (Number),,Age not known,Units,Number,Normal value,0.0
2013,Detected victims of human trafficking (Number),,Age not known,Units,Number,Normal value,1.0
2014,Detected victims of human trafficking (Number),,Age not known,Units,Number,Normal value,2.0
2015,Detected victims of human trafficking (Number),,Age not known,Units,Number,Normal value,5.0
2016,Detected victims of human trafficking (Number),,Age not known,Units,Number,Normal value,4.0
2017,Detected victims of human trafficking (Number),,Age not known,Units,Number,Normal value,0.0
2018,Detected victims of human trafficking (Number),,Age not known,Units,Number,Normal value,2.0
2019,Detected victims of human trafficking (Number),,Age not known,Units,Number,Normal value,16.0
2020,Detected victims of human trafficking (Number),,Age not known,Units,Number,Normal value,50.0
2021,Detected victims of human trafficking (Number),,Age not known,Units,Number,Normal value,16.0
2009,Detected victims of human trafficking (Number),Male,,Units,Number,Normal value,76.0
2010,Detected victims of human trafficking (Number),Male,,Units,Number,Normal value,127.0
2011,Detected victims of human trafficking (Number),Male,,Units,Number,Normal value,246.0
2012,Detected victims of human trafficking (Number),Male,,Units,Number,Normal value,296.0
2013,Detected victims of human trafficking (Number),Male,,Units,Number,Normal value,434.0
2014,Detected victims of human trafficking (Number),Male,,Units,Number,Normal value,759.0
2015,Detected victims of human trafficking (Number),Male,,Units,Number,Normal value,1150.0
2016,Detected victims of human trafficking (Number),Male,,Units,Number,Normal value,1332.0
2017,Detected victims of human trafficking (Number),Male,,Units,Number,Normal value,1955.0
2018,Detected victims of human trafficking (Number),Male,,Units,Number,Normal value,3128.0
2019,Detected victims of human trafficking (Number),Male,,Units,Number,Normal value,6226.0
2020,Detected victims of human trafficking (Number),Male,,Units,Number,Normal value,7088.0
2021,Detected victims of human trafficking (Number),Male,,Units,Number,Normal value,8699.0
2009,Detected victims of human trafficking (Number),Male,0 to 14,Units,Number,Normal value,9.0
2010,Detected victims of human trafficking (Number),Male,0 to 14,Units,Number,Normal value,9.0
2011,Detected victims of human trafficking (Number),Male,0 to 14,Units,Number,Normal value,19.0
2012,Detected victims of human trafficking (Number),Male,0 to 14,Units,Number,Normal value,19.0
2013,Detected victims of human trafficking (Number),Male,0 to 14,Units,Number,Normal value,29.0
2014,Detected victims of human trafficking (Number),Male,0 to 14,Units,Number,Normal value,70.0
2015,Detected victims of human trafficking (Number),Male,0 to 14,Units,Number,Normal value,70.0
2016,Detected victims of human trafficking (Number),Male,0 to 14,Units,Number,Normal value,81.0
2017,Detected victims of human trafficking (Number),Male,0 to 14,Units,Number,Normal value,124.0
2018,Detected victims of human trafficking (Number),Male,0 to 14,Units,Number,Normal value,213.0
2019,Detected victims of human trafficking (Number),Male,0 to 14,Units,Number,Normal value,415.0
2020,Detected victims of human trafficking (Number),Male,0 to 14,Units,Number,Normal value,489.0
2021,Detected victims of human trafficking (Number),Male,0 to 14,Units,Number,Normal value,525.0
2009,Detected victims of human trafficking (Number),Male,15 to 17,Units,Number,Normal value,24.0
2010,Detected victims of human trafficking (Number),Male,15 to 17,Units,Number,Normal value,28.0
2011,Detected victims of human trafficking (Number),Male,15 to 17,Units,Number,Normal value,50.0
2012,Detected victims of human trafficking (Number),Male,15 to 17,Units,Number,Normal value,69.0
2013,Detected victims of human trafficking (Number),Male,15 to 17,Units,Number,Normal value,70.0
2014,Detected victims of human trafficking (Number),Male,15 to 17,Units,Number,Normal value,178.0
2015,Detected victims of human trafficking (Number),Male,15 to 17,Units,Number,Normal value,342.0
2016,Detected victims of human trafficking (Number),Male,15 to 17,Units,Number,Normal value,377.0
2017,Detected victims of human trafficking (Number),Male,15 to 17,Units,Number,Normal value,724.0
2018,Detected victims of human trafficking (Number),Male,15 to 17,Units,Number,Normal value,1190.0
2019,Detected victims of human trafficking (Number),Male,15 to 17,Units,Number,Normal value,2400.0
2020,Detected victims of human trafficking (Number),Male,15 to 17,Units,Number,Normal value,2714.0
2021,Detected victims of human trafficking (Number),Male,15 to 17,Units,Number,Normal value,2748.0
2009,Detected victims of human trafficking (Number),Male,18 to 24,Units,Number,Normal value,13.0
2010,Detected victims of human trafficking (Number),Male,18 to 24,Units,Number,Normal value,24.0
2011,Detected victims of human trafficking (Number),Male,18 to 24,Units,Number,Normal value,46.0
2012,Detected victims of human trafficking (Number),Male,18 to 24,Units,Number,Normal value,60.0
2013,Detected victims of human trafficking (Number),Male,18 to 24,Units,Number,Normal value,78.0
2014,Detected victims of human trafficking (Number),Male,18 to 24,Units,Number,Normal value,160.0
2015,Detected victims of human trafficking (Number),Male,18 to 24,Units,Number,Normal value,215.0
2016,Detected victims of human trafficking (Number),Male,18 to 24,Units,Number,Normal value,231.0
2017,Detected victims of human trafficking (Number),Male,18 to 24,Units,Number,Normal value,318.0
2018,Detected victims of human trafficking (Number),Male,18 to 24,Units,Number,Normal value,564.0
2019,Detected victims of human trafficking (Number),Male,18 to 24,Units,Number,Normal value,1043.0
2020,Detected victims of human trafficking (Number),Male,18 to 24,Units,Number,Normal value,1325.0
2021,Detected victims of human trafficking (Number),Male,18 to 24,Units,Number,Normal value,1992.0
2009,Detected victims of human trafficking (Number),Male,25 to 34,Units,Number,Normal value,9.0
2010,Detected victims of human trafficking (Number),Male,25 to 34,Units,Number,Normal value,29.0
2011,Detected victims of human trafficking (Number),Male,25 to 34,Units,Number,Normal value,50.0
2012,Detected victims of human trafficking (Number),Male,25 to 34,Units,Number,Normal value,63.0
2013,Detected victims of human trafficking (Number),Male,25 to 34,Units,Number,Normal value,118.0
2014,Detected victims of human trafficking (Number),Male,25 to 34,Units,Number,Normal value,145.0
2015,Detected victims of human trafficking (Number),Male,25 to 34,Units,Number,Normal value,262.0
2016,Detected victims of human trafficking (Number),Male,25 to 34,Units,Number,Normal value,312.0
2017,Detected victims of human trafficking (Number),Male,25 to 34,Units,Number,Normal value,422.0
2018,Detected victims of human trafficking (Number),Male,25 to 34,Units,Number,Normal value,609.0
2019,Detected victims of human trafficking (Number),Male,25 to 34,Units,Number,Normal value,1274.0
2020,Detected victims of human trafficking (Number),Male,25 to 34,Units,Number,Normal value,1604.0
2021,Detected victims of human trafficking (Number),Male,25 to 34,Units,Number,Normal value,2334.0
2009,Detected victims of human trafficking (Number),Male,35 to 44,Units,Number,Normal value,13.0
2010,Detected victims of human trafficking (Number),Male,35 to 44,Units,Number,Normal value,22.0
2011,Detected victims of human trafficking (Number),Male,35 to 44,Units,Number,Normal value,37.0
2012,Detected victims of human trafficking (Number),Male,35 to 44,Units,Number,Normal value,43.0
2013,Detected victims of human trafficking (Number),Male,35 to 44,Units,Number,Normal value,72.0
2014,Detected victims of human trafficking (Number),Male,35 to 44,Units,Number,Normal value,108.0
2015,Detected victims of human trafficking (Number),Male,35 to 44,Units,Number,Normal value,150.0
2016,Detected victims of human trafficking (Number),Male,35 to 44,Units,Number,Normal value,196.0
2017,Detected victims of human trafficking (Number),Male,35 to 44,Units,Number,Normal value,219.0
2018,Detected victims of human trafficking (Number),Male,35 to 44,Units,Number,Normal value,327.0
2019,Detected victims of human trafficking (Number),Male,35 to 44,Units,Number,Normal value,628.0
2020,Detected victims of human trafficking (Number),Male,35 to 44,Units,Number,Normal value,603.0
2021,Detected victims of human trafficking (Number),Male,35 to 44,Units,Number,Normal value,757.0
2009,Detected victims of human trafficking (Number),Male,45 to 54,Units,Number,Normal value,8.0
2010,Detected victims of human trafficking (Number),Male,45 to 54,Units,Number,Normal value,13.0
2011,Detected victims of human trafficking (Number),Male,45 to 54,Units,Number,Normal value,31.0
2012,Detected victims of human trafficking (Number),Male,45 to 54,Units,Number,Normal value,28.0
2013,Detected victims of human trafficking (Number),Male,45 to 54,Units,Number,Normal value,42.0
2014,Detected victims of human trafficking (Number),Male,45 to 54,Units,Number,Normal value,56.0
2015,Detected victims of human trafficking (Number),Male,45 to 54,Units,Number,Normal value,83.0
2016,Detected victims of human trafficking (Number),Male,45 to 54,Units,Number,Normal value,98.0
2017,Detected victims of human trafficking (Number),Male,45 to 54,Units,Number,Normal value,107.0
2018,Detected victims of human trafficking (Number),Male,45 to 54,Units,Number,Normal value,172.0
2019,Detected victims of human trafficking (Number),Male,45 to 54,Units,Number,Normal value,372.0
2020,Detected victims of human trafficking (Number),Male,45 to 54,Units,Number,Normal value,243.0
2021,Detected victims of human trafficking (Number),Male,45 to 54,Units,Number,Normal value,257.0
2009,Detected victims of human trafficking (Number),Male,55 to 64,Units,Number,Normal value,0.0
2010,Detected victims of human trafficking (Number),Male,55 to 64,Units,Number,Normal value,2.0
2011,Detected victims of human trafficking (Number),Male,55 to 64,Units,Number,Normal value,7.0
2012,Detected victims of human trafficking (Number),Male,55 to 64,Units,Number,Normal value,8.0
2013,Detected victims of human trafficking (Number),Male,55 to 64,Units,Number,Normal value,24.0
2014,Detected victims of human trafficking (Number),Male,55 to 64,Units,Number,Normal value,25.0
2015,Detected victims of human trafficking (Number),Male,55 to 64,Units,Number,Normal value,26.0
2016,Detected victims of human trafficking (Number),Male,55 to 64,Units,Number,Normal value,26.0
2017,Detected victims of human trafficking (Number),Male,55 to 64,Units,Number,Normal value,37.0
2018,Detected victims of human trafficking (Number),Male,55 to 64,Units,Number,Normal value,50.0
2019,Detected victims of human trafficking (Number),Male,55 to 64,Units,Number,Normal value,88.0
2020,Detected victims of human trafficking (Number),Male,55 to 64,Units,Number,Normal value,82.0
2021,Detected victims of human trafficking (Number),Male,55 to 64,Units,Number,Normal value,70.0
2009,Detected victims of human trafficking (Number),Male,65 to 74,Units,Number,Normal value,0.0
2010,Detected victims of human trafficking (Number),Male,65 to 74,Units,Number,Normal value,0.0
2011,Detected victims of human trafficking (Number),Male,65 to 74,Units,Number,Normal value,0.0
2012,Detected victims of human trafficking (Number),Male,65 to 74,Units,Number,Normal value,1.0
2013,Detected victims of human trafficking (Number),Male,65 to 74,Units,Number,Normal value,0.0
2014,Detected victims of human trafficking (Number),Male,65 to 74,Units,Number,Normal value,2.0
2015,Detected victims of human trafficking (Number),Male,65 to 74,Units,Number,Normal value,2.0
2016,Detected victims of human trafficking (Number),Male,65 to 74,Units,Number,Normal value,2.0
2017,Detected victims of human trafficking (Number),Male,65 to 74,Units,Number,Normal value,4.0
2018,Detected victims of human trafficking (Number),Male,65 to 74,Units,Number,Normal value,2.0
2019,Detected victims of human trafficking (Number),Male,65 to 74,Units,Number,Normal value,5.0
2020,Detected victims of human trafficking (Number),Male,65 to 74,Units,Number,Normal value,19.0
2021,Detected victims of human trafficking (Number),Male,65 to 74,Units,Number,Normal value,15.0
2009,Detected victims of human trafficking (Number),Male,75 and over,Units,Number,Normal value,0.0
2010,Detected victims of human trafficking (Number),Male,75 and over,Units,Number,Normal value,0.0
2011,Detected victims of human trafficking (Number),Male,75 and over,Units,Number,Normal value,0.0
2012,Detected victims of human trafficking (Number),Male,75 and over,Units,Number,Normal value,0.0
2013,Detected victims of human trafficking (Number),Male,75 and over,Units,Number,Normal value,1.0
2014,Detected victims of human trafficking (Number),Male,75 and over,Units,Number,Normal value,0.0
2015,Detected victims of human trafficking (Number),Male,75 and over,Units,Number,Normal value,0.0
2016,Detected victims of human trafficking (Number),Male,75 and over,Units,Number,Normal value,0.0
2017,Detected victims of human trafficking (Number),Male,75 and over,Units,Number,Normal value,0.0
2018,Detected victims of human trafficking (Number),Male,75 and over,Units,Number,Normal value,1.0
2019,Detected victims of human trafficking (Number),Male,75 and over,Units,Number,Normal value,1.0
2020,Detected victims of human trafficking (Number),Male,75 and over,Units,Number,Normal value,1.0
2021,Detected victims of human trafficking (Number),Male,75 and over,Units,Number,Normal value,1.0
2009,Detected victims of human trafficking (Number),Male,Age not known,Units,Number,Normal value,0.0
2010,Detected victims of human trafficking (Number),Male,Age not known,Units,Number,Normal value,0.0
2011,Detected victims of human trafficking (Number),Male,Age not known,Units,Number,Normal value,0.0
2012,Detected victims of human trafficking (Number),Male,Age not known,Units,Number,Normal value,0.0
2013,Detected victims of human trafficking (Number),Male,Age not known,Units,Number,Normal value,0.0
2014,Detected victims of human trafficking (Number),Male,Age not known,Units,Number,Normal value,0.0
2015,Detected victims of human trafficking (Number),Male,Age not known,Units,Number,Normal value,1.0
2016,Detected victims of human trafficking (Number),Male,Age not known,Units,Number,Normal value,1.0
2017,Detected victims of human trafficking (Number),Male,Age not known,Units,Number,Normal value,0.0
2018,Detected victims of human trafficking (Number),Male,Age not known,Units,Number,Normal value,1.0
2019,Detected victims of human trafficking (Number),Male,Age not known,Units,Number,Normal value,11.0
2020,Detected victims of human trafficking (Number),Male,Age not known,Units,Number,Normal value,36.0
2021,Detected victims of human trafficking (Number),Male,Age not known,Units,Number,Normal value,14.0
2009,Detected victims of human trafficking (Number),Female,,Units,Number,Normal value,227.0
2010,Detected victims of human trafficking (Number),Female,,Units,Number,Normal value,293.0
2011,Detected victims of human trafficking (Number),Female,,Units,Number,Normal value,427.0
2012,Detected victims of human trafficking (Number),Female,,Units,Number,Normal value,538.0
2013,Detected victims of human trafficking (Number),Female,,Units,Number,Normal value,821.0
2014,Detected victims of human trafficking (Number),Female,,Units,Number,Normal value,1366.0
2015,Detected victims of human trafficking (Number),Female,,Units,Number,Normal value,1553.0
2016,Detected victims of human trafficking (Number),Female,,Units,Number,Normal value,1677.0
2017,Detected victims of human trafficking (Number),Female,,Units,Number,Normal value,2018.0
2018,Detected victims of human trafficking (Number),Female,,Units,Number,Normal value,2350.0
2019,Detected victims of human trafficking (Number),Female,,Units,Number,Normal value,3058.0
2020,Detected victims of human trafficking (Number),Female,,Units,Number,Normal value,2540.0
2021,Detected victims of human trafficking (Number),Female,,Units,Number,Normal value,2657.0
2009,Detected victims of human trafficking (Number),Female,0 to 14,Units,Number,Normal value,21.0
2010,Detected victims of human trafficking (Number),Female,0 to 14,Units,Number,Normal value,9.0
2011,Detected victims of human trafficking (Number),Female,0 to 14,Units,Number,Normal value,19.0
2012,Detected victims of human trafficking (Number),Female,0 to 14,Units,Number,Normal value,34.0
2013,Detected victims of human trafficking (Number),Female,0 to 14,Units,Number,Normal value,49.0
2014,Detected victims of human trafficking (Number),Female,0 to 14,Units,Number,Normal value,71.0
2015,Detected victims of human trafficking (Number),Female,0 to 14,Units,Number,Normal value,51.0
2016,Detected victims of human trafficking (Number),Female,0 to 14,Units,Number,Normal value,85.0
2017,Detected victims of human trafficking (Number),Female,0 to 14,Units,Number,Normal value,130.0
2018,Detected victims of human trafficking (Number),Female,0 to 14,Units,Number,Normal value,134.0
2019,Detected victims of human trafficking (Number),Female,0 to 14,Units,Number,Normal value,156.0
2020,Detected victims of human trafficking (Number),Female,0 to 14,Units,Number,Normal value,172.0
2021,Detected victims of human trafficking (Number),Female,0 to 14,Units,Number,Normal value,197.0
2009,Detected victims of human trafficking (Number),Female,15 to 17,Units,Number,Normal value,45.0
2010,Detected victims of human trafficking (Number),Female,15 to 17,Units,Number,Normal value,64.0
2011,Detected victims of human trafficking (Number),Female,15 to 17,Units,Number,Normal value,80.0
2012,Detected victims of human trafficking (Number),Female,15 to 17,Units,Number,Normal value,79.0
2013,Detected victims of human trafficking (Number),Female,15 to 17,Units,Number,Normal value,122.0
2014,Detected victims of human trafficking (Number),Female,15 to 17,Units,Number,Normal value,206.0
2015,Detected victims of human trafficking (Number),Female,15 to 17,Units,Number,Normal value,215.0
2016,Detected victims of human trafficking (Number),Female,15 to 17,Units,Number,Normal value,275.0
2017,Detected victims of human trafficking (Number),Female,15 to 17,Units,Number,Normal value,468.0
2018,Detected victims of human trafficking (Number),Female,15 to 17,Units,Number,Normal value,499.0
2019,Detected victims of human trafficking (Number),Female,15 to 17,Units,Number,Normal value,637.0
2020,Detected victims of human trafficking (Number),Female,15 to 17,Units,Number,Normal value,665.0
2021,Detected victims of human trafficking (Number),Female,15 to 17,Units,Number,Normal value,652.0
2009,Detected victims of human trafficking (Number),Female,18 to 24,Units,Number,Normal value,66.0
2010,Detected victims of human trafficking (Number),Female,18 to 24,Units,Number,Normal value,95.0
2011,Detected victims of human trafficking (Number),Female,18 to 24,Units,Number,Normal value,125.0
2012,Detected victims of human trafficking (Number),Female,18 to 24,Units,Number,Normal value,174.0
2013,Detected victims of human trafficking (Number),Female,18 to 24,Units,Number,Normal value,243.0
2014,Detected victims of human trafficking (Number),Female,18 to 24,Units,Number,Normal value,351.0
2015,Detected victims of human trafficking (Number),Female,18 to 24,Units,Number,Normal value,392.0
2016,Detected victims of human trafficking (Number),Female,18 to 24,Units,Number,Normal value,408.0
2017,Detected victims of human trafficking (Number),Female,18 to 24,Units,Number,Normal value,415.0
2018,Detected victims of human trafficking (Number),Female,18 to 24,Units,Number,Normal value,488.0
2019,Detected victims of human trafficking (Number),Female,18 to 24,Units,Number,Normal value,605.0
2020,Detected victims of human trafficking (Number),Female,18 to 24,Units,Number,Normal value,474.0
2021,Detected victims of human trafficking (Number),Female,18 to 24,Units,Number,Normal value,479.0
2009,Detected victims of human trafficking (Number),Female,25 to 34,Units,Number,Normal value,64.0
2010,Detected victims of human trafficking (Number),Female,25 to 34,Units,Number,Normal value,89.0
2011,Detected victims of human trafficking (Number),Female,25 to 34,Units,Number,Normal value,141.0
2012,Detected victims of human trafficking (Number),Female,25 to 34,Units,Number,Normal value,173.0
2013,Detected victims of human trafficking (Number),Female,25 to 34,Units,Number,Normal value,270.0
