Year,Sex,Index of Multiple Deprivation,Ethnicity,Urban or Rural,Units,Observation status,Unit multiplier,Value
2008/09,,,White and Black Caribbean,,Percentage,Observed,Units,1.246660730187
2008/09,,,White and Asian,,Percentage,Observed,Units,1.83106910809214
2008/09,,,White and Black African,,Percentage,Observed,Units,0.88008800880088
2008/09,,,Any Other Mixed Background,,Percentage,Observed,Units,1.32525558500568
2008/09,,,Any Other Ethnic Group,,Percentage,Observed,Units,2.43171219187209
2008/09,,,Not stated / Invalid,,Percentage,Observed,Units,1.81398923904689
2008/09,,,,,Percentage,Observed,Units,1.77671110642245
2009/10,Male,,,,Percentage,Observed,Units,1.8346394984326
2009/10,Female,,,,Percentage,Observed,Units,1.97634609399315
2009/10,,1.0,,,Percentage,Observed,Units,2.48446215139442
2009/10,,2.0,,,Percentage,Observed,Units,2.12315082040001
2009/10,,3.0,,,Percentage,Observed,Units,1.72745145684685
2009/10,,4.0,,,Percentage,Observed,Units,1.48615125514918
2009/10,,5.0,,,Percentage,Observed,Units,1.44961977186312
2009/10,,,White - British,,Percentage,Observed,Units,1.99266389108288
2009/10,,,White - Irish,,Percentage,Observed,Units,1.60513643659711
2009/10,,,Any Other White Background,,Percentage,Observed,Units,1.59175320245585
2009/10,,,Pakistani,,Percentage,Observed,Units,2.0641194554238
2009/10,,,Indian,,Percentage,Observed,Units,2.73067999286097
2009/10,,,Bangladeshi,,Percentage,Observed,Units,3.06513409961686
2009/10,,,Chinese,,Percentage,Observed,Units,2.22841225626741
2009/10,,,Any Other Asian Background,,Percentage,Observed,Units,2.40815066378512
2009/10,,,Black - African,,Percentage,Observed,Units,0.424728645587541
2009/10,,,Black - Caribbean,,Percentage,Observed,Units,0.890688259109312
2009/10,,,Any Other Black Background,,Percentage,Observed,Units,0.68661108386464
2009/10,,,White and Black Caribbean,,Percentage,Observed,Units,1.08822386319471
2009/10,,,White and Asian,,Percentage,Observed,Units,1.61443494776828
2009/10,,,White and Black African,,Percentage,Observed,Units,0.734094616639478
2009/10,,,Any Other Mixed Background,,Percentage,Observed,Units,1.34868421052632
2009/10,,,Any Other Ethnic Group,,Percentage,Observed,Units,1.95671509042395
2009/10,,,Not stated / Invalid,,Percentage,Observed,Units,1.89174860227492
2009/10,,,,,Percentage,Observed,Units,1.90393041082285
2010/11,Male,,,,Percentage,Observed,Units,1.87925324793479
2010/11,Female,,,,Percentage,Observed,Units,1.98760677617293
2010/11,,1.0,,,Percentage,Observed,Units,2.52085130859937
2010/11,,2.0,,,Percentage,Observed,Units,2.08777867706571
2010/11,,3.0,,,Percentage,Observed,Units,1.79928110448493
2010/11,,4.0,,,Percentage,Observed,Units,1.58662549249281
2010/11,,5.0,,,Percentage,Observed,Units,1.37017070979335
2010/11,,,White - British,,Percentage,Observed,Units,2.03814707140333
2010/11,,,White - Irish,,Percentage,Observed,Units,2.287166454892
2010/11,,,Any Other White Background,,Percentage,Observed,Units,1.47350075259447
2010/11,,,Pakistani,,Percentage,Observed,Units,1.99560775327031
2010/11,,,Indian,,Percentage,Observed,Units,2.26531942633638
2010/11,,,Bangladeshi,,Percentage,Observed,Units,2.95823665893271
2010/11,,,Chinese,,Percentage,Observed,Units,2.937576499388
2010/11,,,Any Other Asian Background,,Percentage,Observed,Units,2.56712894659191
2010/11,,,Black - African,,Percentage,Observed,Units,0.564384375464132
2010/11,,,Black - Caribbean,,Percentage,Observed,Units,0.487987987987988
2010/11,,,Any Other Black Background,,Percentage,Observed,Units,0.911728139245752
2010/11,,,White and Black Caribbean,,Percentage,Observed,Units,1.43317807237549
2010/11,,,White and Asian,,Percentage,Observed,Units,2.0185708518369
2010/11,,,White and Black African,,Percentage,Observed,Units,1.16618075801749
2010/11,,,Any Other Mixed Background,,Percentage,Observed,Units,1.82501341921632
2010/11,,,Any Other Ethnic Group,,Percentage,Observed,Units,2.54965110037574
2010/11,,,Not stated / Invalid,,Percentage,Observed,Units,1.82241525992925
2010/11,,,,,Percentage,Observed,Units,1.93237969461798
2011/12,Male,,,,Percentage,Observed,Units,1.72100181894501
2011/12,Female,,,,Percentage,Observed,Units,1.98657436542899
2011/12,,1.0,,,Percentage,Observed,Units,2.39602292792915
2011/12,,2.0,,,Percentage,Observed,Units,1.93502990500762
2011/12,,3.0,,,Percentage,Observed,Units,1.71898776982472
2011/12,,4.0,,,Percentage,Observed,Units,1.59547193626001
2011/12,,5.0,,,Percentage,Observed,Units,1.38265793925131
2011/12,,,White - British,,Percentage,Observed,Units,1.90291843684485
2011/12,,,White - Irish,,Percentage,Observed,Units,1.67310167310167
2011/12,,,Any Other White Background,,Percentage,Observed,Units,1.34821992837582
2011/12,,,Pakistani,,Percentage,Observed,Units,1.92773328366549
2011/12,,,Indian,,Percentage,Observed,Units,2.42116275594082
2011/12,,,Bangladeshi,,Percentage,Observed,Units,3.3641975308642
2011/12,,,Chinese,,Percentage,Observed,Units,3.43473994111874
2011/12,,,Any Other Asian Background,,Percentage,Observed,Units,2.66232522505267
2011/12,,,Black - African,,Percentage,Observed,Units,0.455253384449503
2011/12,,,Black - Caribbean,,Percentage,Observed,Units,0.934915498022294
2011/12,,,Any Other Black Background,,Percentage,Observed,Units,0.804195804195804
2011/12,,,White and Black Caribbean,,Percentage,Observed,Units,1.38561320754717
2011/12,,,White and Asian,,Percentage,Observed,Units,1.91978059650326
2011/12,,,White and Black African,,Percentage,Observed,Units,0.923411189570885
2011/12,,,Any Other Mixed Background,,Percentage,Observed,Units,1.65929203539823
2011/12,,,Any Other Ethnic Group,,Percentage,Observed,Units,2.61453031004165
2011/12,,,Not stated / Invalid,,Percentage,Observed,Units,1.85770156438026
2011/12,,,,,Percentage,Observed,Units,1.85058188927215
2012/13,Male,,,,Percentage,Observed,Units,1.83419595024062
2012/13,Female,,,,Percentage,Observed,Units,1.91792260966773
2012/13,,1.0,,,Percentage,Observed,Units,2.38301391814528
2012/13,,2.0,,,Percentage,Observed,Units,2.02793128965724
2012/13,,3.0,,,Percentage,Observed,Units,1.8021245723089
2012/13,,4.0,,,Percentage,Observed,Units,1.54306104735269
2012/13,,5.0,,,Percentage,Observed,Units,1.35595122316152
2012/13,,,White - British,,Percentage,Observed,Units,2.02416967130752
2012/13,,,White - Irish,,Percentage,Observed,Units,1.54838709677419
2012/13,,,Any Other White Background,,Percentage,Observed,Units,1.16524110573943
2012/13,,,Pakistani,,Percentage,Observed,Units,1.47175464880585
2012/13,,,Indian,,Percentage,Observed,Units,2.17979962090441
2012/13,,,Bangladeshi,,Percentage,Observed,Units,3.08170766186033
2012/13,,,Chinese,,Percentage,Observed,Units,2.99065420560748
2012/13,,,Any Other Asian Background,,Percentage,Observed,Units,2.80898876404494
2012/13,,,Black - African,,Percentage,Observed,Units,0.565995019243831
2012/13,,,Black - Caribbean,,Percentage,Observed,Units,0.641025641025641
2012/13,,,Any Other Black Background,,Percentage,Observed,Units,0.688156465048895
2012/13,,,White and Black Caribbean,,Percentage,Observed,Units,1.11494558003717
2012/13,,,White and Asian,,Percentage,Observed,Units,1.58391714894913
2012/13,,,White and Black African,,Percentage,Observed,Units,0.741839762611276
2012/13,,,Any Other Mixed Background,,Percentage,Observed,Units,1.7025641025641
2012/13,,,Any Other Ethnic Group,,Percentage,Observed,Units,2.31884057971015
2012/13,,,Not stated / Invalid,,Percentage,Observed,Units,1.85341196293176
2012/13,,,,,Percentage,Observed,Units,1.87527256868731
2013/14,Male,,,,Percentage,Observed,Units,1.707926531
2013/14,Female,,,,Percentage,Observed,Units,1.938885576
2013/14,,,,Urban,Percentage,Observed,Units,1.87166512433795
2013/14,,,,Rural,Percentage,Observed,Units,1.55712841253792
2013/14,,,,Not Classified,Percentage,Observed,Units,2.01401050788091
2013/14,,1.0,,,Percentage,Observed,Units,2.19548264
2013/14,,2.0,,,Percentage,Observed,Units,1.909267421
2013/14,,3.0,,,Percentage,Observed,Units,1.70894239
2013/14,,4.0,,,Percentage,Observed,Units,1.712593854
2013/14,,5.0,,,Percentage,Observed,Units,1.36458253
2013/14,,,White - British,,Percentage,Observed,Units,1.933041052
2013/14,,,White - Irish,,Percentage,Observed,Units,1.437908497
2013/14,,,Any Other White Background,,Percentage,Observed,Units,1.063096196
2013/14,,,Pakistani,,Percentage,Observed,Units,1.617250674
2013/14,,,Indian,,Percentage,Observed,Units,2.81147424
2013/14,,,Bangladeshi,,Percentage,Observed,Units,2.908399021
2013/14,,,Chinese,,Percentage,Observed,Units,3.102836879
2013/14,,,Any Other Asian Background,,Percentage,Observed,Units,2.858399296
2013/14,,,Black - African,,Percentage,Observed,Units,0.519451813
2013/14,,,Black - Caribbean,,Percentage,Observed,Units,0.779036827
2013/14,,,Any Other Black Background,,Percentage,Observed,Units,0.573065903
2013/14,,,White and Black Caribbean,,Percentage,Observed,Units,1.068315997
2013/14,,,White and Asian,,Percentage,Observed,Units,2.124183007
2013/14,,,White and Black African,,Percentage,Observed,Units,0.797209766
2013/14,,,Any Other Mixed Background,,Percentage,Observed,Units,1.501318726
2013/14,,,Any Other Ethnic Group,,Percentage,Observed,Units,2.564641581
2013/14,,,Not stated / Invalid,,Percentage,Observed,Units,1.79236772953681
2013/14,,,,,Percentage,Observed,Units,1.821125183
2014/15,Male,,,,Percentage,Observed,Units,1.756206264
2014/15,Female,,,,Percentage,Observed,Units,1.906713181
2014/15,,,,Urban,Percentage,Observed,Units,1.867872165
2014/15,,,,Rural,Percentage,Observed,Units,1.634827333
2014/15,,,,Not Classified,Percentage,Observed,Units,1.926977688
2014/15,,1.0,,,Percentage,Observed,Units,2.284829576
2014/15,,2.0,,,Percentage,Observed,Units,1.96684261
2014/15,,3.0,,,Percentage,Observed,Units,1.736413131
2014/15,,4.0,,,Percentage,Observed,Units,1.585558134
2014/15,,5.0,,,Percentage,Observed,Units,1.327510613
2014/15,,,White - British,,Percentage,Observed,Units,1.915934462
2014/15,,,White - Irish,,Percentage,Observed,Units,0.527704485
2014/15,,,Any Other White Background,,Percentage,Observed,Units,1.172615085
2014/15,,,Pakistani,,Percentage,Observed,Units,1.62594557
2014/15,,,Indian,,Percentage,Observed,Units,2.66209805
2014/15,,,Bangladeshi,,Percentage,Observed,Units,2.850995159
2014/15,,,Chinese,,Percentage,Observed,Units,2.465078061
2014/15,,,Any Other Asian Background,,Percentage,Observed,Units,2.830188679
2014/15,,,Black - African,,Percentage,Observed,Units,0.571731075
2014/15,,,Black - Caribbean,,Percentage,Observed,Units,0.813871196
2014/15,,,Any Other Black Background,,Percentage,Observed,Units,0.634668782
2014/15,,,White and Black Caribbean,,Percentage,Observed,Units,1.140155729
2014/15,,,White and Asian,,Percentage,Observed,Units,2.153261558
2014/15,,,White and Black African,,Percentage,Observed,Units,1.158860454
2014/15,,,Any Other Mixed Background,,Percentage,Observed,Units,2.174273859
2014/15,,,Any Other Ethnic Group,,Percentage,Observed,Units,1.929587001
2014/15,,,Not stated / Invalid,,Percentage,Observed,Units,1.86601978
2014/15,,,,,Percentage,Observed,Units,1.829852058
2015/16,Male,,,,Percentage,Observed,Units,1.66264033
2015/16,Female,,,,Percentage,Observed,Units,1.99481657
2015/16,,,,Urban,Percentage,Observed,Units,1.869701755
2015/16,,,,Rural,Percentage,Observed,Units,1.59270226
2015/16,,,,Not Classified,Percentage,Observed,Units,2.300405954
2015/16,,1.0,,,Percentage,Observed,Units,2.295677855
2015/16,,2.0,,,Percentage,Observed,Units,2.034698488
2015/16,,3.0,,,Percentage,Observed,Units,1.60630076
2015/16,,4.0,,,Percentage,Observed,Units,1.502729811
2015/16,,5.0,,,Percentage,Observed,Units,1.378364725
2015/16,,,White - British,,Percentage,Observed,Units,1.931009683
2015/16,,,White - Irish,,Percentage,Observed,Units,2.949438202
2015/16,,,Any Other White Background,,Percentage,Observed,Units,1.187969925
2015/16,,,Pakistani,,Percentage,Observed,Units,1.681023668
2015/16,,,Indian,,Percentage,Observed,Units,2.390599676
2015/16,,,Bangladeshi,,Percentage,Observed,Units,3.116147309
2015/16,,,Chinese,,Percentage,Observed,Units,3.703703704
2015/16,,,Any Other Asian Background,,Percentage,Observed,Units,2.840568114
2015/16,,,Black - African,,Percentage,Observed,Units,0.467453547
2015/16,,,Black - Caribbean,,Percentage,Observed,Units,0.893945551
2015/16,,,Any Other Black Background,,Percentage,Observed,Units,0.802310655
2015/16,,,White and Black Caribbean,,Percentage,Observed,Units,1.289083928
2015/16,,,White and Asian,,Percentage,Observed,Units,1.715615004
2015/16,,,White and Black African,,Percentage,Observed,Units,0.817810086
2015/16,,,Any Other Mixed Background,,Percentage,Observed,Units,2.001640689
2015/16,,,Any Other Ethnic Group,,Percentage,Observed,Units,1.888457466
2015/16,,,Not stated / Invalid,,Percentage,Observed,Units,1.754003488
2015/16,,,,,Percentage,Observed,Units,1.825101268
2016/17,Male,,,,Percentage,Observed,Units,1.638127887
2016/17,Female,,,,Percentage,Observed,Units,1.845283742
2016/17,,,,Urban,Percentage,Observed,Units,1.763631327
2016/17,,,,Rural,Percentage,Observed,Units,1.617633664
2016/17,,,,Not Classified,Percentage,Observed,Units,1.499250375
2016/17,,1.0,,,Percentage,Observed,Units,2.112540156
2016/17,,2.0,,,Percentage,Observed,Units,1.872390846
2016/17,,3.0,,,Percentage,Observed,Units,1.721722982
2016/17,,4.0,,,Percentage,Observed,Units,1.472696908
2016/17,,5.0,,,Percentage,Observed,Units,1.291336914
2016/17,,,White - British,,Percentage,Observed,Units,1.796005692
2016/17,,,White - Irish,,Percentage,Observed,Units,1.348039216
2016/17,,,Any Other White Background,,Percentage,Observed,Units,1.186678576
2016/17,,,Pakistani,,Percentage,Observed,Units,1.800673295
2016/17,,,Indian,,Percentage,Observed,Units,2.276348737
2016/17,,,Bangladeshi,,Percentage,Observed,Units,2.798982188
2016/17,,,Chinese,,Percentage,Observed,Units,2.440550688
2016/17,,,Any Other Asian Background,,Percentage,Observed,Units,2.834507042
2016/17,,,Black - African,,Percentage,Observed,Units,0.669079741
2016/17,,,Black - Caribbean,,Percentage,Observed,Units,0.83032491
2016/17,,,Any Other Black Background,,Percentage,Observed,Units,0.863398088
2016/17,,,White and Black Caribbean,,Percentage,Observed,Units,1.377345049
2016/17,,,White and Asian,,Percentage,Observed,Units,1.888236795
2016/17,,,White and Black African,,Percentage,Observed,Units,1.307465205
2016/17,,,Any Other Mixed Background,,Percentage,Observed,Units,1.831345826
2016/17,,,Any Other Ethnic Group,,Percentage,Observed,Units,1.93072955
2016/17,,,Not stated / Invalid,,Percentage,Observed,Units,1.740153579
2016/17,,,,,Percentage,Observed,Units,1.739594858
2017/18,Male,,,,Percentage,Observed,Units,1.647602975
2017/18,Female,,,,Percentage,Observed,Units,1.903021949
2017/18,,,,Urban,Percentage,Observed,Units,1.79306201
2017/18,,,,Rural,Percentage,Observed,Units,1.654888809
2017/18,,,,Not Classified,Percentage,Observed,Units,2.54691689
2017/18,,1.0,,,Percentage,Observed,Units,2.132399366
2017/18,,2.0,,,Percentage,Observed,Units,1.821243409
2017/18,,3.0,,,Percentage,Observed,Units,1.720381769
2017/18,,4.0,,,Percentage,Observed,Units,1.593086605
2017/18,,5.0,,,Percentage,Observed,Units,1.34678797
2017/18,,,White - British,,Percentage,Observed,Units,1.844319417
2017/18,,,White - Irish,,Percentage,Observed,Units,2.332361516
2017/18,,,Any Other White Background,,Percentage,Observed,Units,1.260089686
2017/18,,,Pakistani,,Percentage,Observed,Units,1.732539253
2017/18,,,Indian,,Percentage,Observed,Units,2.565217391
2017/18,,,Bangladeshi,,Percentage,Observed,Units,2.925470165
2017/18,,,Chinese,,Percentage,Observed,Units,3.206997085
2017/18,,,Any Other Asian Background,,Percentage,Observed,Units,2.379693284
2017/18,,,Black - African,,Percentage,Observed,Units,0.444090184
2017/18,,,Black - Caribbean,,Percentage,Observed,Units,0.769854133
2017/18,,,Any Other Black Background,,Percentage,Observed,Units,0.692760651
2017/18,,,White and Black Caribbean,,Percentage,Observed,Units,1.109307359
2017/18,,,White and Asian,,Percentage,Observed,Units,1.933262712
2017/18,,,White and Black African,,Percentage,Observed,Units,1.182136602
2017/18,,,Any Other Mixed Background,,Percentage,Observed,Units,1.882845188
2017/18,,,Any Other Ethnic Group,,Percentage,Observed,Units,1.875616979
2017/18,,,Not stated / Invalid,,Percentage,Observed,Units,1.773704339
2017/18,,,,,Percentage,Observed,Units,1.772796512
2018/19,Male,,,,Percentage,Observed,Units,1.642997953
2018/19,Female,,,,Percentage,Observed,Units,1.915013128
2018/19,,,,Urban,Percentage,Observed,Units,1.815949606
2018/19,,,,Rural,Percentage,Observed,Units,1.562407176
2018/19,,,,Not Classified,Percentage,Observed,Units,2.803738318
2018/19,,1.0,,,Percentage,Observed,Units,2.210614342
2018/19,,2.0,,,Percentage,Observed,Units,1.828887501
2018/19,,3.0,,,Percentage,Observed,Units,1.715737093
2018/19,,4.0,,,Percentage,Observed,Units,1.512422127
2018/19,,5.0,,,Percentage,Observed,Units,1.340466812
2018/19,,,White - British,,Percentage,Observed,Units,1.859646741
2018/19,,,White - Irish,,Percentage,Observed,Units,1.968503937
2018/19,,,Any Other White Background,,Percentage,Observed,Units,1.40306696
2018/19,,,Pakistani,,Percentage,Observed,Units,1.514544435
2018/19,,,Indian,,Percentage,Observed,Units,2.470575761
2018/19,,,Bangladeshi,,Percentage,Observed,Units,2.924124023
2018/19,,,Chinese,,Percentage,Observed,Units,2.580645161
2018/19,,,Any Other Asian Background,,Percentage,Observed,Units,2.639196322
2018/19,,,Black - African,,Percentage,Observed,Units,0.515685432
2018/19,,,Black - Caribbean,,Percentage,Observed,Units,0.961923848
2018/19,,,Any Other Black Background,,Percentage,Observed,Units,0.693962526
2018/19,,,White and Black Caribbean,,Percentage,Observed,Units,1.177394035
2018/19,,,White and Asian,,Percentage,Observed,Units,2.191494913
2018/19,,,White and Black African,,Percentage,Observed,Units,0.583203733
2018/19,,,Any Other Mixed Background,,Percentage,Observed,Units,1.608143995
2018/19,,,Any Other Ethnic Group,,Percentage,Observed,Units,1.903208265
2018/19,,,Not stated / Invalid,,Percentage,Observed,Units,1.782711898
2018/19,,,,,Percentage,Observed,Units,1.776316632
2019/20,Male,,,,Percentage,Observed,Units,1.870703162
2019/20,Female,,,,Percentage,Observed,Units,2.121012532
2019/20,,,,Urban,Percentage,Observed,Units,2.015866686
2019/20,,,,Rural,Percentage,Observed,Units,1.887383507
2019/20,,,,Not Classified,Percentage,Observed,Units,1.162790698
2019/20,,1.0,,,Percentage,Observed,Units,2.437066639
2019/20,,2.0,,,Percentage,Observed,Units,2.025826797
2019/20,,3.0,,,Percentage,Observed,Units,2.021089631
2019/20,,4.0,,,Percentage,Observed,Units,1.730540889
2019/20,,5.0,,,Percentage,Observed,Units,1.491467483
2019/20,,,White - British,,Percentage,Observed,Units,2.083758457
2019/20,,,White - Irish,,Percentage,Observed,Units,1.570680628
2019/20,,,Any Other White Background,,Percentage,Observed,Units,1.616426387
2019/20,,,Pakistani,,Percentage,Observed,Units,1.711491443
2019/20,,,Indian,,Percentage,Observed,Units,2.875778239
2019/20,,,Bangladeshi,,Percentage,Observed,Units,3.197674419
2019/20,,,Chinese,,Percentage,Observed,Units,4.35706695
2019/20,,,Any Other Asian Background,,Percentage,Observed,Units,2.788752033
2019/20,,,Black - African,,Percentage,Observed,Units,0.512434062
2019/20,,,Black - Caribbean,,Percentage,Observed,Units,0.925925926
2019/20,,,Any Other Black Background,,Percentage,Observed,Units,1.014002897
2019/20,,,White and Black Caribbean,,Percentage,Observed,Units,1.48409894
2019/20,,,White and Asian,,Percentage,Observed,Units,2.332256907
2019/20,,,White and Black African,,Percentage,Observed,Units,1.085187195
2019/20,,,Any Other Mixed Background,,Percentage,Observed,Units,1.950078003
2019/20,,,Any Other Ethnic Group,,Percentage,Observed,Units,1.801969162
2019/20,,,Not stated / Invalid,,Percentage,Observed,Units,1.974886518
2019/20,,,,,Percentage,Observed,Units,1.993427972
