Year,Series,Poverty reduction aid type,Observation status,Unit multiplier,Units,Value
2015,Official development assistance grants for poverty reduction (percentage of GNI),,Normal value,Units,Percentage (%),0.050819424
2016,Official development assistance grants for poverty reduction (percentage of GNI),Basic education,Normal value,Units,Percentage (%),0.023503947
2016,Official development assistance grants for poverty reduction (percentage of GNI),Basic health,Normal value,Units,Percentage (%),0.025673544
2016,Official development assistance grants for poverty reduction (percentage of GNI),Basic social services,Normal value,Units,Percentage (%),2.62E-07
2016,Official development assistance grants for poverty reduction (percentage of GNI),Development food aid,Normal value,Units,Percentage (%),0.001852284
2016,Official development assistance grants for poverty reduction (percentage of GNI),Water supply and sanitation,Normal value,Units,Percentage (%),0.008898125
2016,Official development assistance grants for poverty reduction (percentage of GNI),,Normal value,Units,Percentage (%),0.059928161
2017,Official development assistance grants for poverty reduction (percentage of GNI),Basic education,Normal value,Units,Percentage (%),0.018304345
2017,Official development assistance grants for poverty reduction (percentage of GNI),Basic health,Normal value,Units,Percentage (%),0.025875547
2017,Official development assistance grants for poverty reduction (percentage of GNI),Development food aid,Normal value,Units,Percentage (%),0.002415377
2017,Official development assistance grants for poverty reduction (percentage of GNI),Water supply and sanitation,Normal value,Units,Percentage (%),0.008798225
2017,Official development assistance grants for poverty reduction (percentage of GNI),,Normal value,Units,Percentage (%),0.055393495
2018,Official development assistance grants for poverty reduction (percentage of GNI),Basic education,Normal value,Units,Percentage (%),0.011681453
2018,Official development assistance grants for poverty reduction (percentage of GNI),Basic health,Normal value,Units,Percentage (%),0.020832354
2018,Official development assistance grants for poverty reduction (percentage of GNI),Development food aid,Normal value,Units,Percentage (%),0.001700041
2018,Official development assistance grants for poverty reduction (percentage of GNI),Water supply and sanitation,Normal value,Units,Percentage (%),0.009877376
2018,Official development assistance grants for poverty reduction (percentage of GNI),,Normal value,Units,Percentage (%),0.044091224
2019,Official development assistance grants for poverty reduction (percentage of GNI),Basic education,Normal value,Units,Percentage (%),0.015288449
2019,Official development assistance grants for poverty reduction (percentage of GNI),Basic health,Normal value,Units,Percentage (%),0.022628508
2019,Official development assistance grants for poverty reduction (percentage of GNI),Basic social services,Normal value,Units,Percentage (%),0.000693633
2019,Official development assistance grants for poverty reduction (percentage of GNI),Development food aid,Normal value,Units,Percentage (%),0.003290955
2019,Official development assistance grants for poverty reduction (percentage of GNI),Water supply and sanitation,Normal value,Units,Percentage (%),0.008141867
2019,Official development assistance grants for poverty reduction (percentage of GNI),,Normal value,Units,Percentage (%),0.050043413
2020,Official development assistance grants for poverty reduction (percentage of GNI),Basic education,Provisional value,Units,Percentage (%),0.0069565
2020,Official development assistance grants for poverty reduction (percentage of GNI),Basic health,Provisional value,Units,Percentage (%),0.035544915
2020,Official development assistance grants for poverty reduction (percentage of GNI),Development food aid,Provisional value,Units,Percentage (%),0.003149573
2020,Official development assistance grants for poverty reduction (percentage of GNI),Water supply and sanitation,Provisional value,Units,Percentage (%),0.005298272
2020,Official development assistance grants for poverty reduction (percentage of GNI),,Provisional value,Units,Percentage (%),0.05094926
