Year,Units,Sex,Age,Region,Disability,Ethnicity,Country of birth,Nationality,GeoCode,Value
2010 Q3 Jul-Sep,Percentage (%),,35 to 44,,,,,,,10.5
2010 Q4 Oct-Dec,Percentage (%),,35 to 44,,,,,,,10.4
2011 Q1 Jan-Mar,Percentage (%),,35 to 44,,,,,,,10.6
2011 Q2 Apr-Jun,Percentage (%),,35 to 44,,,,,,,10.3
2011 Q3 Jul-Sep,Percentage (%),,35 to 44,,,,,,,10.1
2011 Q4 Oct-Dec,Percentage (%),,35 to 44,,,,,,,10.5
2012 Q1 Jan-Mar,Percentage (%),,35 to 44,,,,,,,10.5
2012 Q2 Apr-Jun,Percentage (%),,35 to 44,,,,,,,10.2
2012 Q3 Jul-Sep,Percentage (%),,35 to 44,,,,,,,10.2
2012 Q4 Oct-Dec,Percentage (%),,35 to 44,,,,,,,10.0
2013 Q1 Jan-Mar,Percentage (%),,35 to 44,,,,,,,10.0
2013 Q2 Apr-Jun,Percentage (%),,35 to 44,,,,,,,10.0
2013 Q3 Jul-Sep,Percentage (%),,35 to 44,,,,,,,10.2
2013 Q4 Oct-Dec,Percentage (%),,35 to 44,,,,,,,10.4
2014 Q1 Jan-Mar,Percentage (%),,35 to 44,,,,,,,10.2
2014 Q2 Apr-Jun,Percentage (%),,35 to 44,,,,,,,10.4
2014 Q3 Jul-Sep,Percentage (%),,35 to 44,,,,,,,10.5
2014 Q4 Oct-Dec,Percentage (%),,35 to 44,,,,,,,10.4
2015 Q1 Jan-Mar,Percentage (%),,35 to 44,,,,,,,9.9
2015 Q2 Apr-Jun,Percentage (%),,35 to 44,,,,,,,9.7
2015 Q3 Jul-Sep,Percentage (%),,35 to 44,,,,,,,9.5
2015 Q4 Oct-Dec,Percentage (%),,35 to 44,,,,,,,9.4
2016 Q1 Jan-Mar,Percentage (%),,35 to 44,,,,,,,9.3
2016 Q2 Apr-Jun,Percentage (%),,35 to 44,,,,,,,9.2
2016 Q3 Jul-Sep,Percentage (%),,35 to 44,,,,,,,9.6
2016 Q4 Oct-Dec,Percentage (%),,35 to 44,,,,,,,9.3
2017 Q1 Jan-Mar,Percentage (%),,35 to 44,,,,,,,9.0
2017 Q2 Apr-Jun,Percentage (%),,35 to 44,,,,,,,9.6
2017 Q3 Jul-Sep,Percentage (%),,35 to 44,,,,,,,9.6
2017 Q4 Oct-Dec,Percentage (%),,35 to 44,,,,,,,10.0
2009 Q1 Jan-Mar,Percentage (%),,45 to 54,,,,,,,10.9
2009 Q2 Apr-Jun,Percentage (%),,45 to 54,,,,,,,10.6
2009 Q3 Jul-Sep,Percentage (%),,45 to 54,,,,,,,10.7
2009 Q4 Oct-Dec,Percentage (%),,45 to 54,,,,,,,10.4
2010 Q1 Jan-Mar,Percentage (%),,45 to 54,,,,,,,10.7
2010 Q2 Apr-Jun,Percentage (%),,45 to 54,,,,,,,10.7
2010 Q3 Jul-Sep,Percentage (%),,45 to 54,,,,,,,10.8
2010 Q4 Oct-Dec,Percentage (%),,45 to 54,,,,,,,10.8
2011 Q1 Jan-Mar,Percentage (%),,45 to 54,,,,,,,10.7
2011 Q2 Apr-Jun,Percentage (%),,45 to 54,,,,,,,10.8
2011 Q3 Jul-Sep,Percentage (%),,45 to 54,,,,,,,11.0
2011 Q4 Oct-Dec,Percentage (%),,45 to 54,,,,,,,11.0
2012 Q1 Jan-Mar,Percentage (%),,45 to 54,,,,,,,11.4
2012 Q2 Apr-Jun,Percentage (%),,45 to 54,,,,,,,11.5
2012 Q3 Jul-Sep,Percentage (%),,45 to 54,,,,,,,11.7
2012 Q4 Oct-Dec,Percentage (%),,45 to 54,,,,,,,11.5
2013 Q1 Jan-Mar,Percentage (%),,45 to 54,,,,,,,11.3
2013 Q2 Apr-Jun,Percentage (%),,45 to 54,,,,,,,11.0
2013 Q3 Jul-Sep,Percentage (%),,45 to 54,,,,,,,11.2
2013 Q4 Oct-Dec,Percentage (%),,45 to 54,,,,,,,11.2
2014 Q1 Jan-Mar,Percentage (%),,45 to 54,,,,,,,11.1
2014 Q2 Apr-Jun,Percentage (%),,45 to 54,,,,,,,10.9
2014 Q3 Jul-Sep,Percentage (%),,45 to 54,,,,,,,10.7
2014 Q4 Oct-Dec,Percentage (%),,45 to 54,,,,,,,10.9
2015 Q1 Jan-Mar,Percentage (%),,45 to 54,,,,,,,10.6
2015 Q2 Apr-Jun,Percentage (%),,45 to 54,,,,,,,10.6
2015 Q3 Jul-Sep,Percentage (%),,45 to 54,,,,,,,10.3
2015 Q4 Oct-Dec,Percentage (%),,45 to 54,,,,,,,10.6
2016 Q1 Jan-Mar,Percentage (%),,45 to 54,,,,,,,10.7
2016 Q2 Apr-Jun,Percentage (%),,45 to 54,,,,,,,10.5
2016 Q3 Jul-Sep,Percentage (%),,45 to 54,,,,,,,10.3
2016 Q4 Oct-Dec,Percentage (%),,45 to 54,,,,,,,10.1
2017 Q1 Jan-Mar,Percentage (%),,45 to 54,,,,,,,10.3
2017 Q2 Apr-Jun,Percentage (%),,45 to 54,,,,,,,9.8
2017 Q3 Jul-Sep,Percentage (%),,45 to 54,,,,,,,9.9
2017 Q4 Oct-Dec,Percentage (%),,45 to 54,,,,,,,9.6
2009 Q1 Jan-Mar,Percentage (%),,55 to 64,,,,,,,10.6
2009 Q2 Apr-Jun,Percentage (%),,55 to 64,,,,,,,10.5
2009 Q3 Jul-Sep,Percentage (%),,55 to 64,,,,,,,10.4
2009 Q4 Oct-Dec,Percentage (%),,55 to 64,,,,,,,10.9
2010 Q1 Jan-Mar,Percentage (%),,55 to 64,,,,,,,11.1
