Year,Type of violence,Unit measure,Unit multiplier,Observation status,Value
2008/09,Assault with minor injury or without injury,Percentage (%),Units,Undefined,37.106640983446106
2008/09,Domestic violence,Percentage (%),Units,Undefined,49.14633696430236
2008/09,Stranger violence,Percentage (%),Units,Undefined,45.18895485996673
2008/09,Wounding,Percentage (%),Units,Undefined,64.56894785313007
2008/09,,Percentage (%),Units,Undefined,43.82221391137489
2009/10,Acquaintance violence,Percentage (%),Units,Undefined,45.84573514791697
2009/10,Assault with minor injury or without injury,Percentage (%),Units,Undefined,40.83641944600151
2009/10,Domestic violence,Percentage (%),Units,Undefined,42.84873542349965
2009/10,Stranger violence,Percentage (%),Units,Undefined,47.707326850477
2009/10,Wounding,Percentage (%),Units,Undefined,59.70745703500185
2009/10,,Percentage (%),Units,Undefined,46.205015707830015
2010/11,Acquaintance violence,Percentage (%),Units,Undefined,38.355347387948036
2010/11,Assault with minor injury or without injury,Percentage (%),Units,Undefined,34.59317986276471
2010/11,Domestic violence,Percentage (%),Units,Undefined,41.56839652257553
2010/11,Stranger violence,Percentage (%),Units,Undefined,43.320066911603156
2010/11,Wounding,Percentage (%),Units,Undefined,58.09085903302966
2010/11,,Percentage (%),Units,Undefined,40.879260679420625
2011/12,Acquaintance violence,Percentage (%),Units,Undefined,45.133433676977134
2011/12,Assault with minor injury or without injury,Percentage (%),Units,Undefined,32.99616642910482
2011/12,Domestic violence,Percentage (%),Units,Undefined,39.18161742496868
2011/12,Stranger violence,Percentage (%),Units,Undefined,40.63712502488471
2011/12,Wounding,Percentage (%),Units,Undefined,67.16626942138593
2011/12,,Percentage (%),Units,Undefined,42.42954393865437
2012/13,Acquaintance violence,Percentage (%),Units,Undefined,44.54790975636906
2012/13,Assault with minor injury or without injury,Percentage (%),Units,Undefined,39.61271349008938
2012/13,Domestic violence,Percentage (%),Units,Undefined,49.03410378502919
2012/13,Stranger violence,Percentage (%),Units,Undefined,40.19189768029515
2012/13,Wounding,Percentage (%),Units,Undefined,56.036468472100275
2012/13,,Percentage (%),Units,Undefined,44.07574452427797
2013/14,Acquaintance violence,Percentage (%),Units,Undefined,54.37146119796636
2013/14,Assault with minor injury or without injury,Percentage (%),Units,Undefined,50.77600253541641
2013/14,Domestic violence,Percentage (%),Units,Undefined,55.14470592625986
2013/14,Stranger violence,Percentage (%),Units,Undefined,48.122421130157576
2013/14,Wounding,Percentage (%),Units,Undefined,58.85166368284447
2013/14,,Percentage (%),Units,Undefined,52.43987337398034
2014/15,Acquaintance violence,Percentage (%),Units,Undefined,47.00668502516493
2014/15,Assault with minor injury or without injury,Percentage (%),Units,Undefined,46.98983136690153
2014/15,Domestic violence,Percentage (%),Units,Undefined,54.54760436190224
2014/15,Stranger violence,Percentage (%),Units,Undefined,55.60472203551866
2014/15,Wounding,Percentage (%),Units,Undefined,70.8188477528176
2014/15,,Percentage (%),Units,Undefined,52.91097909245056
2015/16,Acquaintance violence,Percentage (%),Units,Undefined,46.2306580590958
2015/16,Assault with minor injury or without injury,Percentage (%),Units,Undefined,49.006386507234915
2015/16,Domestic violence,Percentage (%),Units,Undefined,52.23918796739929
2015/16,Stranger violence,Percentage (%),Units,Undefined,59.87208191074651
2015/16,Wounding,Percentage (%),Units,Undefined,65.23580927307339
2015/16,,Percentage (%),Units,Undefined,52.681149744327435
2016/17,Acquaintance violence,Percentage (%),Units,Undefined,42.09236467921027
2016/17,Assault with minor injury or without injury,Percentage (%),Units,Undefined,40.26020659699539
2016/17,Domestic violence,Percentage (%),Units,Undefined,39.33174139692712
2016/17,Stranger violence,Percentage (%),Units,Undefined,42.61045800591107
2016/17,Wounding,Percentage (%),Units,Undefined,46.03191716636335
2016/17,,Percentage (%),Units,Undefined,41.78909874258952
2017/18,Acquaintance violence,Percentage (%),Units,Undefined,41.65834787998609
2017/18,Assault with minor injury or without injury,Percentage (%),Units,Undefined,34.2024215057827
2017/18,Domestic violence,Percentage (%),Units,Undefined,26.61154419050676
2017/18,Stranger violence,Percentage (%),Units,Undefined,39.370501313770255
2017/18,Wounding,Percentage (%),Units,Undefined,57.33423935295981
2017/18,,Percentage (%),Units,Undefined,38.12099539755057
2018/19,Acquaintance violence,Percentage (%),Units,Undefined,44.631668095411506
2018/19,Assault with minor injury or without injury,Percentage (%),Units,Undefined,39.167639676951744
2018/19,Domestic violence,Percentage (%),Units,Undefined,40.149650370232415
2018/19,Stranger violence,Percentage (%),Units,Undefined,45.65845692463486
2018/19,Wounding,Percentage (%),Units,Undefined,59.98260085844266
2018/19,,Percentage (%),Units,Undefined,44.28668947857067
2019/20,Acquaintance violence,Percentage (%),Units,Undefined,39.689387360042225
2019/20,Assault with minor injury or without injury,Percentage (%),Units,Undefined,42.59577552743943
2019/20,Domestic violence,Percentage (%),Units,Undefined,57.7496665031052
2019/20,Stranger violence,Percentage (%),Units,Undefined,56.321528916042304
2019/20,Wounding,Percentage (%),Units,Undefined,67.52772093975142
2019/20,,Percentage (%),Units,Undefined,49.48698681001483
2020/21,Acquaintance violence,Percentage (%),Units,Undefined,
2020/21,Assault with minor injury or without injury,Percentage (%),Units,Undefined,
2020/21,Domestic violence,Percentage (%),Units,Undefined,
2020/21,Stranger violence,Percentage (%),Units,Undefined,
2020/21,Wounding,Percentage (%),Units,Undefined,
2020/21,,Percentage (%),Units,Undefined,
2021/22,Acquaintance violence,Percentage (%),Units,Undefined,
2021/22,Assault with minor injury or without injury,Percentage (%),Units,Undefined,
2021/22,Domestic violence,Percentage (%),Units,Undefined,
2021/22,Stranger violence,Percentage (%),Units,Undefined,
2021/22,Wounding,Percentage (%),Units,Undefined,
2021/22,,Percentage (%),Units,Undefined,
2022/23,Acquaintance violence,Percentage (%),Units,Undefined,49.6673790582477
2022/23,Assault with minor injury or without injury,Percentage (%),Units,Undefined,41.99111672589406
2022/23,Domestic violence,Percentage (%),Units,Undefined,49.96423019235402
2022/23,Stranger violence,Percentage (%),Units,Undefined,35.67129506231292
2022/23,Wounding,Percentage (%),Units,Undefined,50.74292767602707
2022/23,,Percentage (%),Units,Undefined,43.38051206313863
