Year,Series,Institution,Observation status,Unit multiplier,Units,Value
2015,"Proportion of voting rights of developing countries in international organizations, by organization",Asian Development Bank,Normal value,Units,Percentage (%),1.49254
2016,"Proportion of voting rights of developing countries in international organizations, by organization",Asian Development Bank,Normal value,Units,Percentage (%),1.493
2017,"Proportion of voting rights of developing countries in international organizations, by organization",Asian Development Bank,Normal value,Units,Percentage (%),1.493
2019,"Proportion of voting rights of developing countries in international organizations, by organization",Asian Development Bank,Normal value,Units,Percentage (%),1.92992
2019,"Proportion of members of developing countries in international organizations, by organization",Economic and Social Council,Normal value,Units,Percentage (%),1.85185
2019,"Proportion of voting rights of developing countries in international organizations, by organization",Economic and Social Council,Normal value,Units,Percentage (%),1.8519
2010,"Proportion of members of developing countries in international organizations, by organization",Financial Stability Board,Normal value,Units,Percentage (%),5.76923
2015,"Proportion of members of developing countries in international organizations, by organization",Financial Stability Board,Normal value,Units,Percentage (%),5.26316
2016,"Proportion of members of developing countries in international organizations, by organization",Financial Stability Board,Normal value,Units,Percentage (%),5.26316
2017,"Proportion of members of developing countries in international organizations, by organization",Financial Stability Board,Normal value,Units,Percentage (%),5.26316
2018,"Proportion of members of developing countries in international organizations, by organization",Financial Stability Board,Normal value,Units,Percentage (%),5.26316
2019,"Proportion of members of developing countries in international organizations, by organization",Financial Stability Board,Normal value,Units,Percentage (%),4.166
2020,"Proportion of members of developing countries in international organizations, by organization",Financial Stability Board,Normal value,Units,Percentage (%),4.167
2010,"Proportion of voting rights of developing countries in international organizations, by organization",Financial Stability Board,Normal value,Units,Percentage (%),4.16667
2015,"Proportion of voting rights of developing countries in international organizations, by organization",Financial Stability Board,Normal value,Units,Percentage (%),4.16667
2016,"Proportion of voting rights of developing countries in international organizations, by organization",Financial Stability Board,Normal value,Units,Percentage (%),4.16667
2017,"Proportion of voting rights of developing countries in international organizations, by organization",Financial Stability Board,Normal value,Units,Percentage (%),4.16667
2018,"Proportion of voting rights of developing countries in international organizations, by organization",Financial Stability Board,Normal value,Units,Percentage (%),4.16667
2019,"Proportion of voting rights of developing countries in international organizations, by organization",Financial Stability Board,Normal value,Units,Percentage (%),5.2632
2020,"Proportion of voting rights of developing countries in international organizations, by organization",Financial Stability Board,Normal value,Units,Percentage (%),5.26316
2000,"Proportion of members of developing countries in international organizations, by organization",Inter-American Development Bank,Normal value,Units,Percentage (%),0.964
2005,"Proportion of members of developing countries in international organizations, by organization",Inter-American Development Bank,Normal value,Units,Percentage (%),0.964
2010,"Proportion of members of developing countries in international organizations, by organization",Inter-American Development Bank,Normal value,Units,Percentage (%),0.964
2015,"Proportion of members of developing countries in international organizations, by organization",Inter-American Development Bank,Normal value,Units,Percentage (%),0.964
2016,"Proportion of members of developing countries in international organizations, by organization",Inter-American Development Bank,Normal value,Units,Percentage (%),0.964
2017,"Proportion of members of developing countries in international organizations, by organization",Inter-American Development Bank,Normal value,Units,Percentage (%),0.964
2019,"Proportion of members of developing countries in international organizations, by organization",Inter-American Development Bank,Normal value,Units,Percentage (%),2.083
2000,"Proportion of voting rights of developing countries in international organizations, by organization",Inter-American Development Bank,Normal value,Units,Percentage (%),2.17391
2005,"Proportion of voting rights of developing countries in international organizations, by organization",Inter-American Development Bank,Normal value,Units,Percentage (%),2.12766
2010,"Proportion of voting rights of developing countries in international organizations, by organization",Inter-American Development Bank,Normal value,Units,Percentage (%),2.08333
2015,"Proportion of voting rights of developing countries in international organizations, by organization",Inter-American Development Bank,Normal value,Units,Percentage (%),2.08333
2016,"Proportion of voting rights of developing countries in international organizations, by organization",Inter-American Development Bank,Normal value,Units,Percentage (%),2.08333
2017,"Proportion of voting rights of developing countries in international organizations, by organization",Inter-American Development Bank,Normal value,Units,Percentage (%),2.08333
2019,"Proportion of voting rights of developing countries in international organizations, by organization",Inter-American Development Bank,Normal value,Units,Percentage (%),0.964
2000,"Proportion of members of developing countries in international organizations, by organization",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),4.32714
2005,"Proportion of members of developing countries in international organizations, by organization",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),4.30275
2010,"Proportion of members of developing countries in international organizations, by organization",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),4.29581
2015,"Proportion of members of developing countries in international organizations, by organization",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),3.93197
2016,"Proportion of members of developing countries in international organizations, by organization",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),3.94
2017,"Proportion of members of developing countries in international organizations, by organization",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),3.85952
2018,"Proportion of members of developing countries in international organizations, by organization",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),3.77874
2019,"Proportion of members of developing countries in international organizations, by organization",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),0.5291
2020,"Proportion of members of developing countries in international organizations, by organization",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),0.5291
2000,"Proportion of voting rights of developing countries in international organizations, by organization",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),0.54945
2005,"Proportion of voting rights of developing countries in international organizations, by organization",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),0.54348
2010,"Proportion of voting rights of developing countries in international organizations, by organization",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),0.53476
2015,"Proportion of voting rights of developing countries in international organizations, by organization",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),0.53191
2016,"Proportion of voting rights of developing countries in international organizations, by organization",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),0.53191
2017,"Proportion of voting rights of developing countries in international organizations, by organization",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),0.5291
2018,"Proportion of voting rights of developing countries in international organizations, by organization",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),0.5291
2019,"Proportion of voting rights of developing countries in international organizations, by organization",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),3.7087
2020,"Proportion of voting rights of developing countries in international organizations, by organization",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),3.89409
2000,"Proportion of members of developing countries in international organizations, by organization",International Finance Corporation,Normal value,Units,Percentage (%),5.05049
2005,"Proportion of members of developing countries in international organizations, by organization",International Finance Corporation,Normal value,Units,Percentage (%),5.0351
2010,"Proportion of members of developing countries in international organizations, by organization",International Finance Corporation,Normal value,Units,Percentage (%),5.02154
2015,"Proportion of members of developing countries in international organizations, by organization",International Finance Corporation,Normal value,Units,Percentage (%),4.48893
2016,"Proportion of members of developing countries in international organizations, by organization",International Finance Corporation,Normal value,Units,Percentage (%),4.48893
2017,"Proportion of members of developing countries in international organizations, by organization",International Finance Corporation,Normal value,Units,Percentage (%),4.48893
2018,"Proportion of members of developing countries in international organizations, by organization",International Finance Corporation,Normal value,Units,Percentage (%),4.48404
2019,"Proportion of members of developing countries in international organizations, by organization",International Finance Corporation,Normal value,Units,Percentage (%),0.5435
2020,"Proportion of members of developing countries in international organizations, by organization",International Finance Corporation,Normal value,Units,Percentage (%),0.54348
2000,"Proportion of voting rights of developing countries in international organizations, by organization",International Finance Corporation,Normal value,Units,Percentage (%),0.57471
2005,"Proportion of voting rights of developing countries in international organizations, by organization",International Finance Corporation,Normal value,Units,Percentage (%),0.5618
2010,"Proportion of voting rights of developing countries in international organizations, by organization",International Finance Corporation,Normal value,Units,Percentage (%),0.54945
2015,"Proportion of voting rights of developing countries in international organizations, by organization",International Finance Corporation,Normal value,Units,Percentage (%),0.54348
2016,"Proportion of voting rights of developing countries in international organizations, by organization",International Finance Corporation,Normal value,Units,Percentage (%),0.54348
2017,"Proportion of voting rights of developing countries in international organizations, by organization",International Finance Corporation,Normal value,Units,Percentage (%),0.54348
2018,"Proportion of voting rights of developing countries in international organizations, by organization",International Finance Corporation,Normal value,Units,Percentage (%),0.54348
2019,"Proportion of voting rights of developing countries in international organizations, by organization",International Finance Corporation,Normal value,Units,Percentage (%),4.4542
2020,"Proportion of voting rights of developing countries in international organizations, by organization",International Finance Corporation,Normal value,Units,Percentage (%),4.4849116
2000,"Proportion of members of developing countries in international organizations, by organization",International Monetary Fund,Normal value,Units,Percentage (%),5.02788
2005,"Proportion of members of developing countries in international organizations, by organization",International Monetary Fund,Normal value,Units,Percentage (%),4.94795
2010,"Proportion of members of developing countries in international organizations, by organization",International Monetary Fund,Normal value,Units,Percentage (%),4.86023
2015,"Proportion of members of developing countries in international organizations, by organization",International Monetary Fund,Normal value,Units,Percentage (%),4.28962
2016,"Proportion of members of developing countries in international organizations, by organization",International Monetary Fund,Normal value,Units,Percentage (%),4.069
2017,"Proportion of members of developing countries in international organizations, by organization",International Monetary Fund,Normal value,Units,Percentage (%),4.03566
2018,"Proportion of members of developing countries in international organizations, by organization",International Monetary Fund,Normal value,Units,Percentage (%),4.03481
2019,"Proportion of members of developing countries in international organizations, by organization",International Monetary Fund,Normal value,Units,Percentage (%),0.5291
2020,"Proportion of members of developing countries in international organizations, by organization",International Monetary Fund,Normal value,Units,Percentage (%),0.5291
2000,"Proportion of voting rights of developing countries in international organizations, by organization",International Monetary Fund,Normal value,Units,Percentage (%),0.5618
2005,"Proportion of voting rights of developing countries in international organizations, by organization",International Monetary Fund,Normal value,Units,Percentage (%),0.55249
2010,"Proportion of voting rights of developing countries in international organizations, by organization",International Monetary Fund,Normal value,Units,Percentage (%),0.54945
2015,"Proportion of voting rights of developing countries in international organizations, by organization",International Monetary Fund,Normal value,Units,Percentage (%),0.53191
2016,"Proportion of voting rights of developing countries in international organizations, by organization",International Monetary Fund,Normal value,Units,Percentage (%),0.53191
2017,"Proportion of voting rights of developing countries in international organizations, by organization",International Monetary Fund,Normal value,Units,Percentage (%),0.5291
2018,"Proportion of voting rights of developing countries in international organizations, by organization",International Monetary Fund,Normal value,Units,Percentage (%),0.5291
2019,"Proportion of voting rights of developing countries in international organizations, by organization",International Monetary Fund,Normal value,Units,Percentage (%),4.03481
2020,"Proportion of voting rights of developing countries in international organizations, by organization",International Monetary Fund,Normal value,Units,Percentage (%),4.03267
2000,"Proportion of members of developing countries in international organizations, by organization",UN Economic and Social Council,Normal value,Units,Percentage (%),1.85185
2005,"Proportion of members of developing countries in international organizations, by organization",UN Economic and Social Council,Normal value,Units,Percentage (%),1.85185
2010,"Proportion of members of developing countries in international organizations, by organization",UN Economic and Social Council,Normal value,Units,Percentage (%),1.85185
2015,"Proportion of members of developing countries in international organizations, by organization",UN Economic and Social Council,Normal value,Units,Percentage (%),1.85185
2016,"Proportion of members of developing countries in international organizations, by organization",UN Economic and Social Council,Normal value,Units,Percentage (%),1.85185
2017,"Proportion of members of developing countries in international organizations, by organization",UN Economic and Social Council,Normal value,Units,Percentage (%),1.85185
2018,"Proportion of members of developing countries in international organizations, by organization",UN Economic and Social Council,Normal value,Units,Percentage (%),1.85185
2000,"Proportion of voting rights of developing countries in international organizations, by organization",UN Economic and Social Council,Normal value,Units,Percentage (%),1.85185
2005,"Proportion of voting rights of developing countries in international organizations, by organization",UN Economic and Social Council,Normal value,Units,Percentage (%),1.85185
2010,"Proportion of voting rights of developing countries in international organizations, by organization",UN Economic and Social Council,Normal value,Units,Percentage (%),1.85185
2015,"Proportion of voting rights of developing countries in international organizations, by organization",UN Economic and Social Council,Normal value,Units,Percentage (%),1.85185
2016,"Proportion of voting rights of developing countries in international organizations, by organization",UN Economic and Social Council,Normal value,Units,Percentage (%),1.85185
2017,"Proportion of voting rights of developing countries in international organizations, by organization",UN Economic and Social Council,Normal value,Units,Percentage (%),1.85185
2018,"Proportion of voting rights of developing countries in international organizations, by organization",UN Economic and Social Council,Normal value,Units,Percentage (%),1.85185
2000,"Proportion of members of developing countries in international organizations, by organization",UN General Assembly,Normal value,Units,Percentage (%),0.5291
2005,"Proportion of members of developing countries in international organizations, by organization",UN General Assembly,Normal value,Units,Percentage (%),0.52356
2010,"Proportion of members of developing countries in international organizations, by organization",UN General Assembly,Normal value,Units,Percentage (%),0.52083
2015,"Proportion of members of developing countries in international organizations, by organization",UN General Assembly,Normal value,Units,Percentage (%),0.51813
2016,"Proportion of members of developing countries in international organizations, by organization",UN General Assembly,Normal value,Units,Percentage (%),0.51813
2017,"Proportion of members of developing countries in international organizations, by organization",UN General Assembly,Normal value,Units,Percentage (%),0.51813
2018,"Proportion of members of developing countries in international organizations, by organization",UN General Assembly,Normal value,Units,Percentage (%),0.51813
2019,"Proportion of members of developing countries in international organizations, by organization",UN General Assembly,Normal value,Units,Percentage (%),0.51813
2020,"Proportion of members of developing countries in international organizations, by organization",UN General Assembly,Normal value,Units,Percentage (%),0.51813
2000,"Proportion of voting rights of developing countries in international organizations, by organization",UN General Assembly,Normal value,Units,Percentage (%),0.5291
2005,"Proportion of voting rights of developing countries in international organizations, by organization",UN General Assembly,Normal value,Units,Percentage (%),0.52356
2010,"Proportion of voting rights of developing countries in international organizations, by organization",UN General Assembly,Normal value,Units,Percentage (%),0.52083
2015,"Proportion of voting rights of developing countries in international organizations, by organization",UN General Assembly,Normal value,Units,Percentage (%),0.51813
2016,"Proportion of voting rights of developing countries in international organizations, by organization",UN General Assembly,Normal value,Units,Percentage (%),0.51813
2017,"Proportion of voting rights of developing countries in international organizations, by organization",UN General Assembly,Normal value,Units,Percentage (%),0.51813
2018,"Proportion of voting rights of developing countries in international organizations, by organization",UN General Assembly,Normal value,Units,Percentage (%),0.51813
2019,"Proportion of voting rights of developing countries in international organizations, by organization",UN General Assembly,Normal value,Units,Percentage (%),0.5181
2020,"Proportion of voting rights of developing countries in international organizations, by organization",UN General Assembly,Normal value,Units,Percentage (%),0.5181
2000,"Proportion of members of developing countries in international organizations, by organization",UN Security Council,Normal value,Units,Percentage (%),6.66667
2005,"Proportion of members of developing countries in international organizations, by organization",UN Security Council,Normal value,Units,Percentage (%),6.66667
2010,"Proportion of members of developing countries in international organizations, by organization",UN Security Council,Normal value,Units,Percentage (%),6.66667
2015,"Proportion of members of developing countries in international organizations, by organization",UN Security Council,Normal value,Units,Percentage (%),6.66667
2016,"Proportion of members of developing countries in international organizations, by organization",UN Security Council,Normal value,Units,Percentage (%),6.66667
2017,"Proportion of members of developing countries in international organizations, by organization",UN Security Council,Normal value,Units,Percentage (%),6.66667
2018,"Proportion of members of developing countries in international organizations, by organization",UN Security Council,Normal value,Units,Percentage (%),6.66667
2019,"Proportion of members of developing countries in international organizations, by organization",UN Security Council,Normal value,Units,Percentage (%),6.67
2020,"Proportion of members of developing countries in international organizations, by organization",UN Security Council,Normal value,Units,Percentage (%),6.67
2000,"Proportion of voting rights of developing countries in international organizations, by organization",UN Security Council,Normal value,Units,Percentage (%),6.66667
2005,"Proportion of voting rights of developing countries in international organizations, by organization",UN Security Council,Normal value,Units,Percentage (%),6.66667
2010,"Proportion of voting rights of developing countries in international organizations, by organization",UN Security Council,Normal value,Units,Percentage (%),6.66667
2015,"Proportion of voting rights of developing countries in international organizations, by organization",UN Security Council,Normal value,Units,Percentage (%),6.66667
2016,"Proportion of voting rights of developing countries in international organizations, by organization",UN Security Council,Normal value,Units,Percentage (%),6.66667
2017,"Proportion of voting rights of developing countries in international organizations, by organization",UN Security Council,Normal value,Units,Percentage (%),6.66667
2018,"Proportion of voting rights of developing countries in international organizations, by organization",UN Security Council,Normal value,Units,Percentage (%),6.66667
2019,"Proportion of voting rights of developing countries in international organizations, by organization",UN Security Council,Normal value,Units,Percentage (%),6.67
2020,"Proportion of voting rights of developing countries in international organizations, by organization",UN Security Council,Normal value,Units,Percentage (%),6.67
2000,"Proportion of members of developing countries in international organizations, by organization",World Trade Organisation,Normal value,Units,Percentage (%),0.71429
2005,"Proportion of members of developing countries in international organizations, by organization",World Trade Organisation,Normal value,Units,Percentage (%),0.67114
2010,"Proportion of members of developing countries in international organizations, by organization",World Trade Organisation,Normal value,Units,Percentage (%),0.65359
2015,"Proportion of members of developing countries in international organizations, by organization",World Trade Organisation,Normal value,Units,Percentage (%),0.625
2016,"Proportion of members of developing countries in international organizations, by organization",World Trade Organisation,Normal value,Units,Percentage (%),0.61728
2017,"Proportion of members of developing countries in international organizations, by organization",World Trade Organisation,Normal value,Units,Percentage (%),0.60976
2018,"Proportion of members of developing countries in international organizations, by organization",World Trade Organisation,Normal value,Units,Percentage (%),0.60976
2019,"Proportion of members of developing countries in international organizations, by organization",World Trade Organisation,Normal value,Units,Percentage (%),0.60976
2020,"Proportion of members of developing countries in international organizations, by organization",World Trade Organisation,Normal value,Units,Percentage (%),0.60976
2000,"Proportion of voting rights of developing countries in international organizations, by organization",World Trade Organisation,Normal value,Units,Percentage (%),0.71429
2005,"Proportion of voting rights of developing countries in international organizations, by organization",World Trade Organisation,Normal value,Units,Percentage (%),0.67114
2010,"Proportion of voting rights of developing countries in international organizations, by organization",World Trade Organisation,Normal value,Units,Percentage (%),0.65359
2015,"Proportion of voting rights of developing countries in international organizations, by organization",World Trade Organisation,Normal value,Units,Percentage (%),0.625
2016,"Proportion of voting rights of developing countries in international organizations, by organization",World Trade Organisation,Normal value,Units,Percentage (%),0.61728
2017,"Proportion of voting rights of developing countries in international organizations, by organization",World Trade Organisation,Normal value,Units,Percentage (%),0.60976
2018,"Proportion of voting rights of developing countries in international organizations, by organization",World Trade Organisation,Normal value,Units,Percentage (%),0.60976
2019,"Proportion of voting rights of developing countries in international organizations, by organization",World Trade Organisation,Normal value,Units,Percentage (%),0.6098
2020,"Proportion of voting rights of developing countries in international organizations, by organization",World Trade Organisation,Normal value,Units,Percentage (%),0.60976
